Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA251219C00005000,6/16/2025 2:18 PM,5,323.89,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00010000,2025-04-06 10:39:00,10,320.66,0.00,0.00,0.00,0.00%,20,0,0.00%
TSLA251219C00015000,2025-04-06 11:11:00,15,320.20,0.00,0.00,0.00,0.00%,50,0,0.00%
TSLA251219C00020000,2025-03-06 11:36:00,20,333.05,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA251219C00025000,6/13/2025 10:23 AM,25,291.26,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA251219C00030000,2025-11-06 10:02:00,30,302.14,0.00,0.00,0.00,0.00%,8,0,0.00%
TSLA251219C00035000,2025-12-06 13:23:00,35,290.97,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00040000,2025-01-05 10:40:00,40,249.40,305.50,309.50,0.00,0.00%,30,57,477.05%
TSLA251219C00045000,2025-11-06 10:02:00,45,287.72,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251219C00050000,2025-12-06 12:05:00,50,281.75,0.00,0.00,0.00,0.00%,65,0,0.00%
TSLA251219C00055000,2025-11-06 10:28:00,55,280.97,0.00,0.00,0.00,0.00%,7,0,0.00%
TSLA251219C00060000,2025-05-06 15:06:00,60,228.53,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00070000,2025-05-06 15:06:00,70,219.63,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00075000,6/17/2025 9:56 AM,75,251.58,0.00,0.00,0.00,0.00%,9,0,0.00%
TSLA251219C00080000,2025-06-06 09:30:00,80,221.20,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA251219C00085000,2025-10-06 14:56:00,85,241.90,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00090000,5/14/2025 2:12 PM,90,263.15,238.05,239.35,0.00,0.00%,1,8.051,162.52%
TSLA251219C00095000,6/16/2025 9:42 AM,95,238.15,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00100000,6/17/2025 9:59 AM,100,227.27,0.00,0.00,0.00,0.00%,12,0,0.00%
TSLA251219C00105000,2025-05-06 15:53:00,105,187.45,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00110000,4/25/2025 10:15 AM,110,168.00,233.00,235.35,0.00,0.00%,1,306,191.11%
TSLA251219C00115000,4/29/2025 11:40 AM,115,173.85,246.10,249.30,0.00,0.00%,2,302,241.19%
TSLA251219C00120000,6/17/2025 9:34 AM,120,211.05,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00125000,6/17/2025 10:01 AM,125,203.38,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251219C00130000,2025-12-06 14:46:00,130,194.84,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00135000,6/16/2025 12:23 PM,135,202.00,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251219C00140000,2025-05-06 12:06:00,140,185.44,0.00,0.00,0.00,0.00%,14,0,0.00%
TSLA251219C00145000,2025-05-06 15:39:00,145,152.18,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00150000,6/17/2025 9:54 AM,150,179.85,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00155000,6/17/2025 3:34 PM,155,170.15,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00160000,6/17/2025 11:22 AM,160,167.81,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00165000,6/13/2025 10:54 AM,165,160.00,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251219C00170000,6/17/2025 1:01 PM,170,157.20,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00175000,2025-12-06 11:44:00,175,160.66,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA251219C00180000,6/16/2025 12:06 PM,180,160.09,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00185000,6/17/2025 12:23 PM,185,146.75,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00190000,6/16/2025 1:05 PM,190,151.57,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00195000,6/16/2025 10:39 AM,195,148.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00200000,6/17/2025 3:59 PM,200,130.50,0.00,0.00,0.00,0.00%,56,0,0.00%
TSLA251219C00205000,6/16/2025 2:26 PM,205,138.95,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA251219C00210000,6/17/2025 10:22 AM,210,128.25,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00215000,6/16/2025 12:46 PM,215,130.65,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00220000,6/17/2025 12:59 PM,220,116.58,0.00,0.00,0.00,0.00%,97,0,0.00%
TSLA251219C00225000,6/13/2025 3:46 PM,225,119.34,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251219C00230000,6/16/2025 1:21 PM,230,119.38,0.00,0.00,0.00,0.00%,207,0,0.00%
TSLA251219C00235000,6/16/2025 11:21 AM,235,116.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00240000,6/17/2025 2:27 PM,240,99.90,0.00,0.00,0.00,0.00%,9,0,0.00%
TSLA251219C00245000,6/13/2025 1:01 PM,245,110.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00250000,6/17/2025 3:52 PM,250,94.79,0.00,0.00,0.00,0.00%,48,0,0.00%
TSLA251219C00255000,6/16/2025 3:21 PM,255,101.30,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA251219C00260000,6/16/2025 3:29 PM,260,98.30,0.00,0.00,0.00,0.00%,12,0,0.00%
TSLA251219C00265000,6/17/2025 11:23 AM,265,87.10,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA251219C00270000,6/17/2025 12:52 PM,270,83.42,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251219C00275000,6/17/2025 3:34 PM,275,79.78,0.00,0.00,0.00,0.00%,25,0,0.00%
TSLA251219C00280000,6/17/2025 3:14 PM,280,76.30,0.00,0.00,0.00,0.00%,23,0,0.00%
TSLA251219C00285000,6/17/2025 3:28 PM,285,73.57,0.00,0.00,0.00,0.00%,119,0,0.00%
TSLA251219C00290000,6/17/2025 3:50 PM,290,71.95,0.00,0.00,0.00,0.00%,21,0,0.00%
TSLA251219C00295000,6/17/2025 3:46 PM,295,69.35,0.00,0.00,0.00,0.00%,57,0,0.00%
TSLA251219C00300000,6/17/2025 3:50 PM,300,66.83,0.00,0.00,0.00,0.00%,203,0,0.00%
TSLA251219C00305000,6/17/2025 2:46 PM,305,63.15,0.00,0.00,0.00,0.00%,58,0,0.00%
TSLA251219C00310000,6/17/2025 3:57 PM,310,61.50,0.00,0.00,0.00,0.00%,34,0,0.00%
TSLA251219C00315000,6/17/2025 3:30 PM,315,59.60,0.00,0.00,0.00,0.00%,51,0,0.00%
TSLA251219C00320000,6/17/2025 3:59 PM,320,56.50,0.00,0.00,0.00,0.00%,217,0,0.39%
TSLA251219C00325000,6/17/2025 3:58 PM,325,54.84,0.00,0.00,0.00,0.00%,270,0,0.78%
TSLA251219C00330000,6/17/2025 2:47 PM,330,52.59,0.00,0.00,0.00,0.00%,116,0,1.56%
TSLA251219C00335000,6/17/2025 3:37 PM,335,51.70,0.00,0.00,0.00,0.00%,33,0,1.56%
TSLA251219C00340000,6/17/2025 3:59 PM,340,48.65,0.00,0.00,0.00,0.00%,160,0,1.56%
TSLA251219C00345000,6/17/2025 3:46 PM,345,48.11,0.00,0.00,0.00,0.00%,29,0,3.13%
TSLA251219C00350000,6/17/2025 3:59 PM,350,45.40,0.00,0.00,0.00,0.00%,332,0,3.13%
TSLA251219C00360000,6/17/2025 3:58 PM,360,42.24,0.00,0.00,0.00,0.00%,241,0,3.13%
TSLA251219C00370000,6/17/2025 3:14 PM,370,39.40,0.00,0.00,0.00,0.00%,58,0,6.25%
TSLA251219C00380000,6/17/2025 3:58 PM,380,36.50,0.00,0.00,0.00,0.00%,626,0,6.25%
TSLA251219C00390000,6/17/2025 3:21 PM,390,34.10,0.00,0.00,0.00,0.00%,34,0,6.25%
TSLA251219C00400000,6/17/2025 3:57 PM,400,31.90,0.00,0.00,0.00,0.00%,466,0,6.25%
TSLA251219C00405000,6/17/2025 3:43 PM,405,30.90,0.00,0.00,0.00,0.00%,9,0,6.25%
TSLA251219C00410000,6/17/2025 3:38 PM,410,30.10,0.00,0.00,0.00,0.00%,11,0,6.25%
TSLA251219C00420000,6/17/2025 3:34 PM,420,28.00,0.00,0.00,0.00,0.00%,110,0,6.25%
TSLA251219C00425000,6/17/2025 3:58 PM,425,26.56,0.00,0.00,0.00,0.00%,15,0,6.25%
TSLA251219C00430000,6/17/2025 3:58 PM,430,25.59,0.00,0.00,0.00,0.00%,32,0,6.25%
TSLA251219C00440000,6/17/2025 3:28 PM,440,24.07,0.00,0.00,0.00,0.00%,14,0,12.50%
TSLA251219C00450000,6/17/2025 3:57 PM,450,22.55,0.00,0.00,0.00,0.00%,71,0,12.50%
TSLA251219C00460000,6/17/2025 3:06 PM,460,20.97,0.00,0.00,0.00,0.00%,33,0,12.50%
TSLA251219C00470000,6/17/2025 3:50 PM,470,20.20,0.00,0.00,0.00,0.00%,86,0,12.50%
TSLA251219C00475000,6/17/2025 3:28 PM,475,19.10,0.00,0.00,0.00,0.00%,20,0,12.50%
TSLA251219C00480000,6/17/2025 3:31 PM,480,18.62,0.00,0.00,0.00,0.00%,13,0,12.50%
TSLA251219C00490000,6/17/2025 3:47 PM,490,17.65,0.00,0.00,0.00,0.00%,20,0,12.50%
TSLA251219C00500000,6/17/2025 3:49 PM,500,16.65,0.00,0.00,0.00,0.00%,761,0,12.50%
TSLA251219C00510000,6/17/2025 3:28 PM,510,15.30,0.00,0.00,0.00,0.00%,19,0,12.50%
TSLA251219C00520000,6/17/2025 3:54 PM,520,14.50,0.00,0.00,0.00,0.00%,43,0,12.50%
TSLA251219C00530000,6/17/2025 3:59 PM,530,13.40,0.00,0.00,0.00,0.00%,20,0,12.50%
TSLA251219C00540000,6/17/2025 2:23 PM,540,12.72,0.00,0.00,0.00,0.00%,17,0,12.50%
TSLA251219C00550000,6/17/2025 3:51 PM,550,12.30,0.00,0.00,0.00,0.00%,163,0,12.50%
TSLA251219C00560000,6/17/2025 2:23 PM,560,11.35,0.00,0.00,0.00,0.00%,50,0,12.50%
TSLA251219C00570000,6/17/2025 10:10 AM,570,11.85,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA251219C00580000,6/17/2025 2:15 PM,580,10.07,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA251219C00590000,6/17/2025 1:23 PM,590,9.95,0.00,0.00,0.00,0.00%,101,0,12.50%
TSLA251219C00600000,6/17/2025 3:58 PM,600,9.25,0.00,0.00,0.00,0.00%,116,0,12.50%
TSLA251219C00610000,6/13/2025 10:36 AM,610,8.95,0.00,0.00,0.00,0.00%,25,0,12.50%
TSLA251219C00620000,6/17/2025 9:44 AM,620,9.00,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA251219C00630000,6/17/2025 9:38 AM,630,9.00,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251219C00640000,6/16/2025 2:21 PM,640,9.20,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251219C00650000,6/17/2025 2:44 PM,650,7.28,0.00,0.00,0.00,0.00%,9,0,25.00%
TSLA251219C00660000,6/17/2025 11:03 AM,660,7.40,0.00,0.00,0.00,0.00%,10,0,25.00%
TSLA251219C00670000,6/17/2025 2:36 PM,670,6.70,0.00,0.00,0.00,0.00%,15,0,25.00%
TSLA251219C00680000,6/17/2025 1:54 PM,680,6.55,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA251219C00690000,6/17/2025 2:30 PM,690,6.10,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251219C00700000,6/17/2025 3:15 PM,700,6.00,0.00,0.00,0.00,0.00%,26,0,25.00%
TSLA251219C00710000,6/16/2025 11:16 AM,710,7.10,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA251219C00720000,6/17/2025 2:12 PM,720,5.40,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251219C00730000,6/16/2025 2:07 PM,730,6.28,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251219C00740000,6/13/2025 1:18 PM,740,6.60,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251219C00750000,6/17/2025 3:45 PM,750,5.00,0.00,0.00,0.00,0.00%,19,0,25.00%
TSLA251219C00760000,6/13/2025 2:57 PM,760,5.55,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251219C00770000,6/16/2025 1:49 PM,770,5.55,0.00,0.00,0.00,0.00%,7,0,25.00%
TSLA251219C00780000,6/17/2025 11:13 AM,780,4.69,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA251219C00790000,6/17/2025 11:27 AM,790,4.35,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251219C00800000,6/17/2025 3:57 PM,800,4.10,0.00,0.00,0.00,0.00%,38,0,25.00%
TSLA251219C00810000,6/17/2025 10:21 AM,810,4.25,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251219C00820000,6/13/2025 1:33 PM,820,4.99,0.00,0.00,0.00,0.00%,5,0,25.00%
TSLA251219C00830000,6/13/2025 2:57 PM,830,4.35,0.00,0.00,0.00,0.00%,1,0,25.00%
