Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260116C00005000,6/17/2025 3:47 PM,5,314.24,0.00,0.00,0.00,0.00%,20,0,0.00%
TSLA260116C00010000,6/17/2025 2:58 PM,10,307.15,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00020000,2025-06-06 14:28:00,20,282.05,0.00,0.00,0.00,0.00%,33,0,0.00%
TSLA260116C00030000,4/21/2025 12:13 PM,30,197.00,317.75,319.60,0.00,0.00%,1,160,0.00%
TSLA260116C00040000,2025-12-05 10:49:00,40,280.50,290.15,296.25,0.00,0.00%,2,71,295.07%
TSLA260116C00050000,2025-09-06 10:51:00,50,245.10,0.00,0.00,0.00,0.00%,50,0,0.00%
TSLA260116C00060000,6/16/2025 12:49 PM,60,272.49,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260116C00070000,2025-11-04 09:30:00,70,186.59,230.40,232.90,0.00,0.00%,2,299,0.00%
TSLA260116C00075000,2025-06-06 10:34:00,75,225.95,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA260116C00080000,5/16/2025 9:38 AM,80,272.75,239.80,241.00,0.00,0.00%,1,2.578,120.57%
TSLA260116C00085000,5/14/2025 12:58 PM,85,265.68,243.40,244.85,0.00,0.00%,1,907,159.88%
TSLA260116C00090000,6/16/2025 3:33 PM,90,243.10,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00095000,5/19/2025 2:42 PM,95,251.05,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260116C00100000,6/16/2025 11:34 AM,100,234.45,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00105000,2025-10-06 12:01:00,105,219.29,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00110000,6/17/2025 10:39 AM,110,219.27,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260116C00115000,2025-05-06 15:34:00,115,177.50,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260116C00120000,6/13/2025 11:08 AM,120,205.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00125000,6/17/2025 11:36 AM,125,199.60,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00130000,2025-05-06 12:36:00,130,189.25,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00135000,6/17/2025 12:54 PM,135,191.00,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260116C00140000,6/17/2025 10:59 AM,140,189.30,0.00,0.00,0.00,0.00%,60,0,0.00%
TSLA260116C00145000,6/17/2025 1:06 PM,145,180.95,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260116C00150000,6/17/2025 2:19 PM,150,173.25,0.00,0.00,0.00,0.00%,7,0,0.00%
TSLA260116C00155000,6/16/2025 9:56 AM,155,182.50,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00160000,6/16/2025 10:07 AM,160,178.93,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260116C00165000,6/16/2025 10:07 AM,165,174.48,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00170000,6/17/2025 11:23 AM,170,160.80,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00175000,6/16/2025 2:29 PM,175,166.25,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260116C00180000,6/17/2025 11:35 AM,180,150.75,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA260116C00185000,6/13/2025 1:51 PM,185,159.53,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260116C00190000,6/17/2025 2:57 PM,190,140.95,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260116C00195000,6/17/2025 2:11 PM,195,136.26,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260116C00200000,6/17/2025 3:50 PM,200,134.30,0.00,0.00,0.00,0.00%,26,0,0.00%
TSLA260116C00210000,6/17/2025 3:16 PM,210,125.42,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260116C00220000,6/17/2025 3:48 PM,220,119.07,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260116C00230000,6/17/2025 2:29 PM,230,109.45,0.00,0.00,0.00,0.00%,10,0,0.00%
TSLA260116C00240000,6/17/2025 3:39 PM,240,104.85,0.00,0.00,0.00,0.00%,25,0,0.00%
TSLA260116C00250000,6/17/2025 3:50 PM,250,98.50,0.00,0.00,0.00,0.00%,55,0,0.00%
TSLA260116C00260000,6/17/2025 3:31 PM,260,91.75,0.00,0.00,0.00,0.00%,33,0,0.00%
TSLA260116C00270000,6/17/2025 3:46 PM,270,86.55,0.00,0.00,0.00,0.00%,43,0,0.00%
TSLA260116C00280000,6/17/2025 3:25 PM,280,80.18,0.00,0.00,0.00,0.00%,367,0,0.00%
TSLA260116C00290000,6/17/2025 3:50 PM,290,75.55,0.00,0.00,0.00,0.00%,58,0,0.00%
TSLA260116C00300000,6/17/2025 3:59 PM,300,69.50,0.00,0.00,0.00,0.00%,424,0,0.00%
TSLA260116C00310000,6/17/2025 3:59 PM,310,64.78,0.00,0.00,0.00,0.00%,118,0,0.00%
TSLA260116C00320000,6/17/2025 3:59 PM,320,60.45,0.00,0.00,0.00,0.00%,540,0,0.39%
TSLA260116C00330000,6/17/2025 3:58 PM,330,56.85,0.00,0.00,0.00,0.00%,139,0,1.56%
TSLA260116C00340000,6/17/2025 3:57 PM,340,53.10,0.00,0.00,0.00,0.00%,48,0,1.56%
TSLA260116C00350000,6/17/2025 3:59 PM,350,49.25,0.00,0.00,0.00,0.00%,485,0,3.13%
TSLA260116C00360000,6/17/2025 3:47 PM,360,47.08,0.00,0.00,0.00,0.00%,154,0,3.13%
TSLA260116C00370000,6/17/2025 3:26 PM,370,43.52,0.00,0.00,0.00,0.00%,30,0,3.13%
TSLA260116C00380000,6/17/2025 3:50 PM,380,41.21,0.00,0.00,0.00,0.00%,51,0,6.25%
TSLA260116C00390000,6/17/2025 3:08 PM,390,37.85,0.00,0.00,0.00,0.00%,24,0,6.25%
TSLA260116C00400000,6/17/2025 3:59 PM,400,35.15,0.00,0.00,0.00,0.00%,797,0,6.25%
TSLA260116C00410000,6/17/2025 3:52 PM,410,33.70,0.00,0.00,0.00,0.00%,49,0,6.25%
TSLA260116C00420000,6/17/2025 2:55 PM,420,31.05,0.00,0.00,0.00,0.00%,50,0,6.25%
TSLA260116C00430000,6/17/2025 3:49 PM,430,29.73,0.00,0.00,0.00,0.00%,66,0,6.25%
TSLA260116C00440000,6/17/2025 3:03 PM,440,27.48,0.00,0.00,0.00,0.00%,223,0,6.25%
TSLA260116C00450000,6/17/2025 3:50 PM,450,26.18,0.00,0.00,0.00,0.00%,250,0,12.50%
TSLA260116C00460000,6/17/2025 2:53 PM,460,24.00,0.00,0.00,0.00,0.00%,6,0,12.50%
TSLA260116C00470000,6/17/2025 3:45 PM,470,23.15,0.00,0.00,0.00,0.00%,92,0,12.50%
TSLA260116C00480000,6/17/2025 2:09 PM,480,21.30,0.00,0.00,0.00,0.00%,10,0,12.50%
TSLA260116C00490000,6/17/2025 3:55 PM,490,20.45,0.00,0.00,0.00,0.00%,98,0,12.50%
TSLA260116C00500000,6/17/2025 3:57 PM,500,19.10,0.00,0.00,0.00,0.00%,911,0,12.50%
TSLA260116C00510000,6/17/2025 3:46 PM,510,18.35,0.00,0.00,0.00,0.00%,464,0,12.50%
TSLA260116C00520000,6/17/2025 3:58 PM,520,17.00,0.00,0.00,0.00,0.00%,11,0,12.50%
TSLA260116C00530000,6/17/2025 2:17 PM,530,15.85,0.00,0.00,0.00,0.00%,15,0,12.50%
TSLA260116C00540000,6/17/2025 2:21 PM,540,15.07,0.00,0.00,0.00,0.00%,31,0,12.50%
TSLA260116C00550000,6/17/2025 3:51 PM,550,14.70,0.00,0.00,0.00,0.00%,247,0,12.50%
TSLA260116C00560000,6/17/2025 3:40 PM,560,14.00,0.00,0.00,0.00,0.00%,27,0,12.50%
TSLA260116C00570000,6/17/2025 10:52 AM,570,14.10,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260116C00580000,6/17/2025 3:54 PM,580,12.50,0.00,0.00,0.00,0.00%,29,0,12.50%
TSLA260116C00590000,6/17/2025 2:07 PM,590,11.87,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260116C00600000,6/17/2025 3:59 PM,600,11.15,0.00,0.00,0.00,0.00%,313,0,12.50%
TSLA260116C00610000,6/17/2025 9:35 AM,610,12.20,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260116C00620000,6/16/2025 2:49 PM,620,12.30,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260116C00630000,6/17/2025 2:01 PM,630,9.95,0.00,0.00,0.00,0.00%,9,0,12.50%
TSLA260116C00640000,6/17/2025 3:55 PM,640,9.35,0.00,0.00,0.00,0.00%,44,0,12.50%
TSLA260116C00650000,6/17/2025 2:59 PM,650,9.05,0.00,0.00,0.00,0.00%,36,0,12.50%
TSLA260116C00660000,6/17/2025 1:48 PM,660,8.80,0.00,0.00,0.00,0.00%,42,0,12.50%
TSLA260116C00670000,6/17/2025 11:31 AM,670,8.35,0.00,0.00,0.00,0.00%,11,0,25.00%
TSLA260116C00680000,6/17/2025 3:44 PM,680,8.00,0.00,0.00,0.00,0.00%,12,0,25.00%
TSLA260116C00690000,6/17/2025 3:58 PM,690,7.61,0.00,0.00,0.00,0.00%,44,0,25.00%
TSLA260116C00700000,6/17/2025 3:59 PM,700,7.30,0.00,0.00,0.00,0.00%,761,0,25.00%
TSLA260116C00710000,6/17/2025 11:07 AM,710,7.50,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA260116C00720000,6/17/2025 3:41 PM,720,6.90,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA260116C00730000,6/17/2025 11:08 AM,730,6.97,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260116C00740000,6/17/2025 2:17 PM,740,6.22,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260116C00750000,6/17/2025 3:59 PM,750,5.99,0.00,0.00,0.00,0.00%,5,0,25.00%
TSLA260116C00760000,6/13/2025 3:18 PM,760,7.30,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA260116C00770000,6/16/2025 9:32 AM,770,6.80,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA260116C00780000,6/16/2025 3:45 PM,780,6.55,0.00,0.00,0.00,0.00%,5,0,25.00%
TSLA260116C00790000,6/16/2025 2:35 PM,790,6.40,0.00,0.00,0.00,0.00%,33,0,25.00%
TSLA260116C00800000,6/17/2025 3:15 PM,800,5.20,0.00,0.00,0.00,0.00%,53,0,25.00%
TSLA260116C00810000,6/16/2025 3:41 PM,810,5.80,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260116C00820000,6/17/2025 10:01 AM,820,5.20,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260116C00830000,6/17/2025 3:46 PM,830,4.80,0.00,0.00,0.00,0.00%,19,0,25.00%
TSLA260116C00840000,6/17/2025 9:35 AM,840,5.10,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260116C00850000,6/17/2025 3:18 PM,850,4.45,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA260116C00860000,6/17/2025 9:54 AM,860,4.60,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260116C00870000,6/17/2025 9:56 AM,870,4.55,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260116C00880000,6/17/2025 3:38 PM,880,4.07,0.00,0.00,0.00,0.00%,21,0,25.00%
TSLA260116C00890000,6/17/2025 1:31 PM,890,4.00,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA260116C00900000,6/17/2025 3:59 PM,900,3.77,0.00,0.00,0.00,0.00%,99,0,25.00%
TSLA260116C00910000,6/13/2025 3:42 PM,910,4.40,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260116C00920000,2025-11-06 10:27:00,920,4.60,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260116C00930000,6/17/2025 9:42 AM,930,3.75,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260116C00940000,6/17/2025 3:25 PM,940,3.50,0.00,0.00,0.00,0.00%,14,0,25.00%
TSLA260116C00950000,6/17/2025 1:28 PM,950,3.35,0.00,0.00,0.00,0.00%,55,0,25.00%
TSLA260116C00960000,6/17/2025 3:59 PM,960,3.10,0.00,0.00,0.00,0.00%,1.515,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260116P00005000,6/17/2025 3:42 PM,5,0.01,0.00,0.00,0.00,0.00%,513,0,50.00%
TSLA260116P00010000,6/16/2025 11:58 AM,10,0.02,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260116P00020000,6/17/2025 3:55 PM,20,0.10,0.00,0.00,0.00,0.00%,967,0,50.00%
TSLA260116P00030000,6/17/2025 10:24 AM,30,0.20,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260116P00040000,6/17/2025 3:45 PM,40,0.30,0.00,0.00,0.00,0.00%,12,0,50.00%
TSLA260116P00050000,6/17/2025 2:47 PM,50,0.44,0.00,0.00,0.00,0.00%,7,0,50.00%
TSLA260116P00060000,6/17/2025 9:50 AM,60,0.56,0.00,0.00,0.00,0.00%,2,0,50.00%
TSLA260116P00070000,6/17/2025 12:08 PM,70,0.70,0.00,0.00,0.00,0.00%,1,0,50.00%
