Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA250711C00050000,6/16/2025 12:49 PM,50,280.04,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA250711C00060000,2025-02-06 13:06:00,60,278.58,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00090000,2025-05-06 10:21:00,90,228.52,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00100000,2025-05-06 14:55:00,100,193.22,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00115000,2025-05-06 09:32:00,115,201.95,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00130000,2025-05-06 14:57:00,130,161.99,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00135000,2025-12-06 15:57:00,135,184.85,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00140000,2025-05-06 14:57:00,140,151.89,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00150000,6/17/2025 1:02 PM,150,168.70,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00160000,2025-06-06 15:20:00,160,137.95,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA250711C00175000,2025-11-06 12:06:00,175,155.74,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00180000,6/13/2025 2:25 PM,180,148.81,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00185000,6/16/2025 12:49 PM,185,145.89,0.00,0.00,0.00,0.00%,7,0,0.00%
TSLA250711C00190000,6/17/2025 10:20 AM,190,134.66,0.00,0.00,0.00,0.00%,10,0,0.00%
TSLA250711C00195000,6/17/2025 10:20 AM,195,129.75,0.00,0.00,0.00,0.00%,10,0,0.00%
TSLA250711C00200000,6/17/2025 10:27 AM,200,124.52,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00205000,6/13/2025 1:34 PM,205,127.32,0.00,0.00,0.00,0.00%,-,0,0.00%
TSLA250711C00210000,6/16/2025 12:26 PM,210,122.24,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA250711C00215000,2025-06-06 15:51:00,215,83.58,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA250711C00220000,6/17/2025 1:19 PM,220,100.65,0.00,0.00,0.00,0.00%,30,0,0.00%
TSLA250711C00225000,6/16/2025 11:30 AM,225,107.20,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00230000,6/17/2025 9:43 AM,230,94.60,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00235000,2025-10-06 14:33:00,235,89.58,0.00,0.00,0.00,0.00%,8,0,0.00%
TSLA250711C00240000,6/17/2025 2:23 PM,240,78.65,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA250711C00245000,6/17/2025 10:37 AM,245,81.34,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00250000,6/17/2025 1:02 PM,250,70.80,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA250711C00255000,6/17/2025 9:32 AM,255,73.24,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA250711C00260000,6/17/2025 1:04 PM,260,62.40,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA250711C00265000,6/17/2025 2:24 PM,265,55.96,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA250711C00270000,6/17/2025 1:40 PM,270,54.59,0.00,0.00,0.00,0.00%,12,0,0.00%
TSLA250711C00275000,6/17/2025 2:06 PM,275,48.17,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA250711C00280000,6/17/2025 2:33 PM,280,44.02,0.00,0.00,0.00,0.00%,25,0,0.00%
TSLA250711C00285000,6/17/2025 2:31 PM,285,40.24,0.00,0.00,0.00,0.00%,23,0,0.00%
TSLA250711C00290000,6/17/2025 3:38 PM,290,37.80,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA250711C00295000,6/17/2025 3:57 PM,295,33.60,0.00,0.00,0.00,0.00%,42,0,0.00%
TSLA250711C00300000,6/17/2025 3:59 PM,300,30.00,0.00,0.00,0.00,0.00%,105,0,0.00%
TSLA250711C00305000,6/17/2025 3:36 PM,305,27.85,0.00,0.00,0.00,0.00%,117,0,0.00%
TSLA250711C00310000,6/17/2025 3:58 PM,310,24.50,0.00,0.00,0.00,0.00%,187,0,0.00%
TSLA250711C00315000,6/17/2025 3:58 PM,315,21.85,0.00,0.00,0.00,0.00%,499,0,0.00%
TSLA250711C00320000,6/17/2025 3:59 PM,320,19.28,0.00,0.00,0.00,0.00%,719,0,1.56%
TSLA250711C00325000,6/17/2025 3:59 PM,325,17.07,0.00,0.00,0.00,0.00%,1.152,0,3.13%
TSLA250711C00330000,6/17/2025 3:59 PM,330,15.13,0.00,0.00,0.00,0.00%,1.313,0,3.13%
TSLA250711C00335000,6/17/2025 3:59 PM,335,13.35,0.00,0.00,0.00,0.00%,334,0,6.25%
TSLA250711C00340000,6/17/2025 3:53 PM,340,12.25,0.00,0.00,0.00,0.00%,552,0,6.25%
TSLA250711C00345000,6/17/2025 3:59 PM,345,10.40,0.00,0.00,0.00,0.00%,194,0,6.25%
TSLA250711C00350000,6/17/2025 3:59 PM,350,9.10,0.00,0.00,0.00,0.00%,1.377,0,6.25%
TSLA250711C00355000,6/17/2025 3:42 PM,355,8.40,0.00,0.00,0.00,0.00%,465,0,12.50%
TSLA250711C00360000,6/17/2025 3:57 PM,360,7.21,0.00,0.00,0.00,0.00%,914,0,12.50%
TSLA250711C00365000,6/17/2025 3:58 PM,365,6.35,0.00,0.00,0.00,0.00%,488,0,12.50%
TSLA250711C00370000,6/17/2025 3:56 PM,370,5.65,0.00,0.00,0.00,0.00%,853,0,12.50%
TSLA250711C00375000,6/17/2025 3:59 PM,375,4.85,0.00,0.00,0.00,0.00%,382,0,12.50%
TSLA250711C00380000,6/17/2025 3:59 PM,380,4.30,0.00,0.00,0.00,0.00%,1.657,0,12.50%
TSLA250711C00385000,6/17/2025 3:59 PM,385,3.80,0.00,0.00,0.00,0.00%,254,0,12.50%
TSLA250711C00390000,6/17/2025 3:58 PM,390,3.42,0.00,0.00,0.00,0.00%,218,0,12.50%
TSLA250711C00395000,6/17/2025 3:59 PM,395,2.98,0.00,0.00,0.00,0.00%,253,0,12.50%
TSLA250711C00400000,6/17/2025 3:59 PM,400,2.65,0.00,0.00,0.00,0.00%,545,0,25.00%
TSLA250711C00405000,6/17/2025 3:12 PM,405,2.45,0.00,0.00,0.00,0.00%,295,0,25.00%
TSLA250711C00410000,6/17/2025 3:58 PM,410,2.17,0.00,0.00,0.00,0.00%,78,0,25.00%
TSLA250711C00415000,6/17/2025 3:57 PM,415,1.97,0.00,0.00,0.00,0.00%,45,0,25.00%
TSLA250711C00420000,6/17/2025 3:59 PM,420,1.75,0.00,0.00,0.00,0.00%,144,0,25.00%
TSLA250711C00425000,6/17/2025 3:57 PM,425,1.60,0.00,0.00,0.00,0.00%,27,0,25.00%
TSLA250711C00430000,6/17/2025 3:44 PM,430,1.51,0.00,0.00,0.00,0.00%,149,0,25.00%
TSLA250711C00435000,6/17/2025 3:59 PM,435,1.26,0.00,0.00,0.00,0.00%,200,0,25.00%
TSLA250711C00440000,6/17/2025 3:57 PM,440,1.18,0.00,0.00,0.00,0.00%,38,0,25.00%
TSLA250711C00445000,6/17/2025 3:55 PM,445,1.10,0.00,0.00,0.00,0.00%,17,0,25.00%
TSLA250711C00450000,6/17/2025 3:58 PM,450,0.98,0.00,0.00,0.00,0.00%,218,0,25.00%
TSLA250711C00455000,6/17/2025 2:14 PM,455,0.94,0.00,0.00,0.00,0.00%,31,0,25.00%
TSLA250711C00460000,6/17/2025 3:55 PM,460,0.84,0.00,0.00,0.00,0.00%,73,0,25.00%
TSLA250711C00465000,6/17/2025 12:55 PM,465,0.83,0.00,0.00,0.00,0.00%,23,0,25.00%
TSLA250711C00470000,6/17/2025 3:58 PM,470,0.69,0.00,0.00,0.00,0.00%,33,0,25.00%
TSLA250711C00480000,6/17/2025 3:57 PM,480,0.59,0.00,0.00,0.00,0.00%,45,0,25.00%
TSLA250711C00490000,6/17/2025 1:39 PM,490,0.56,0.00,0.00,0.00,0.00%,8,0,25.00%
TSLA250711C00500000,6/17/2025 2:35 PM,500,0.41,0.00,0.00,0.00,0.00%,49,0,25.00%
TSLA250711C00510000,6/17/2025 3:46 PM,510,0.37,0.00,0.00,0.00,0.00%,16,0,25.00%
TSLA250711C00520000,6/17/2025 11:39 AM,520,0.34,0.00,0.00,0.00,0.00%,14,0,50.00%
TSLA250711C00530000,6/17/2025 3:55 PM,530,0.26,0.00,0.00,0.00,0.00%,36,0,50.00%
TSLA250711C00540000,6/17/2025 12:26 PM,540,0.28,0.00,0.00,0.00,0.00%,44,0,50.00%
TSLA250711C00550000,6/17/2025 3:07 PM,550,0.20,0.00,0.00,0.00,0.00%,50,0,50.00%
TSLA250711C00560000,6/17/2025 11:23 AM,560,0.20,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711C00570000,6/17/2025 11:41 AM,570,0.14,0.00,0.00,0.00,0.00%,6,0,50.00%
TSLA250711C00580000,6/17/2025 3:00 PM,580,0.11,0.00,0.00,0.00,0.00%,2,0,50.00%
TSLA250711C00590000,6/16/2025 12:47 PM,590,0.24,0.00,0.00,0.00,0.00%,26,0,50.00%
TSLA250711C00600000,6/17/2025 1:30 PM,600,0.10,0.00,0.00,0.00,0.00%,24,0,50.00%
TSLA250711C00610000,6/16/2025 3:44 PM,610,0.15,0.00,0.00,0.00,0.00%,5,0,50.00%
TSLA250711C00620000,6/17/2025 12:49 PM,620,0.09,0.00,0.00,0.00,0.00%,3,0,50.00%
TSLA250711C00630000,6/17/2025 2:47 PM,630,0.07,0.00,0.00,0.00,0.00%,6,0,50.00%
TSLA250711C00640000,6/16/2025 12:13 PM,640,0.12,0.00,0.00,0.00,0.00%,2,0,50.00%
TSLA250711C00650000,6/17/2025 10:51 AM,650,0.06,0.00,0.00,0.00,0.00%,4,0,50.00%
TSLA250711C00660000,2025-10-06 10:21:00,660,0.17,0.00,0.00,0.00,0.00%,2,0,50.00%
TSLA250711C00670000,6/16/2025 9:30 AM,670,0.15,0.00,0.00,0.00,0.00%,3,0,50.00%
TSLA250711C00680000,6/17/2025 3:11 PM,680,0.03,0.00,0.00,0.00,0.00%,18,0,50.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA250711P00050000,6/17/2025 10:40 AM,50,0.01,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00060000,2025-10-06 11:06:00,60,0.03,0.00,0.00,0.00,0.00%,14,0,50.00%
TSLA250711P00070000,6/17/2025 10:29 AM,70,0.01,0.00,0.00,0.00,0.00%,200,0,50.00%
TSLA250711P00080000,6/17/2025 12:18 PM,80,0.03,0.00,0.00,0.00,0.00%,46,0,50.00%
TSLA250711P00090000,6/17/2025 10:39 AM,90,0.05,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00095000,2025-11-06 14:20:00,95,0.07,0.00,0.00,0.00,0.00%,32,0,50.00%
TSLA250711P00100000,6/17/2025 2:25 PM,100,0.10,0.00,0.00,0.00,0.00%,13,0,50.00%
TSLA250711P00105000,2025-11-06 15:57:00,105,0.15,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00110000,2025-12-06 12:37:00,110,0.12,0.00,0.00,0.00,0.00%,3,0,50.00%
TSLA250711P00115000,6/13/2025 11:56 AM,115,0.11,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00120000,6/13/2025 12:09 PM,120,0.11,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00125000,6/17/2025 12:52 PM,125,0.12,0.00,0.00,0.00,0.00%,59,0,50.00%
TSLA250711P00130000,6/17/2025 2:14 PM,130,0.14,0.00,0.00,0.00,0.00%,8,0,50.00%
TSLA250711P00135000,6/17/2025 3:49 PM,135,0.16,0.00,0.00,0.00,0.00%,4,0,50.00%
TSLA250711P00140000,6/17/2025 3:21 PM,140,0.18,0.00,0.00,0.00,0.00%,14,0,50.00%
TSLA250711P00145000,6/16/2025 9:56 AM,145,0.17,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00150000,6/17/2025 3:47 PM,150,0.22,0.00,0.00,0.00,0.00%,16,0,50.00%
TSLA250711P00155000,6/17/2025 1:36 PM,155,0.23,0.00,0.00,0.00,0.00%,5,0,50.00%
TSLA250711P00160000,6/17/2025 12:36 PM,160,0.22,0.00,0.00,0.00,0.00%,224,0,50.00%
TSLA250711P00165000,6/17/2025 2:06 PM,165,0.29,0.00,0.00,0.00,0.00%,4,0,50.00%
TSLA250711P00170000,6/17/2025 3:47 PM,170,0.32,0.00,0.00,0.00,0.00%,180,0,50.00%
TSLA250711P00175000,6/17/2025 1:51 PM,175,0.40,0.00,0.00,0.00,0.00%,37,0,50.00%
TSLA250711P00180000,6/17/2025 11:39 AM,180,0.37,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA250711P00185000,6/17/2025 1:31 PM,185,0.45,0.00,0.00,0.00,0.00%,27,0,50.00%
TSLA250711P00190000,6/17/2025 12:25 PM,190,0.44,0.00,0.00,0.00,0.00%,8,0,50.00%
TSLA250711P00195000,6/17/2025 3:20 PM,195,0.60,0.00,0.00,0.00,0.00%,6,0,50.00%
TSLA250711P00200000,6/17/2025 3:45 PM,200,0.62,0.00,0.00,0.00,0.00%,140,0,25.00%
