Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260618C00005000,6/16/2025 1:02 PM,5,326.10,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260618C00010000,5/22/2025 11:19 AM,10,331.90,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00015000,2025-05-06 15:18:00,15,261.70,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260618C00020000,6/17/2025 10:12 AM,20,305.43,0.00,0.00,0.00,0.00%,178,0,0.00%
TSLA260618C00025000,3/24/2025 1:14 PM,25,249.60,233.05,238.50,0.00,0.00%,2,9,0.00%
TSLA260618C00030000,3/21/2025 2:29 PM,30,220.42,208.15,215.00,0.00,0.00%,20,5,0.00%
TSLA260618C00035000,2025-10-03 13:53:00,35,196.21,216.65,224.55,0.00,0.00%,38,25,0.00%
TSLA260618C00040000,4/22/2025 9:57 AM,40,198.80,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00045000,9/25/2024 1:24 PM,45,215.75,226.25,231.50,0.00,0.00%,-,0,0.00%
TSLA260618C00050000,2025-12-06 13:45:00,50,277.83,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260618C00060000,6/17/2025 10:12 AM,60,268.65,0.00,0.00,0.00,0.00%,44,0,0.00%
TSLA260618C00070000,6/17/2025 10:14 AM,70,259.65,0.00,0.00,0.00,0.00%,72,0,0.00%
TSLA260618C00075000,6/17/2025 10:12 AM,75,254.80,0.00,0.00,0.00,0.00%,76,0,0.00%
TSLA260618C00080000,2025-10-06 15:16:00,80,251.54,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00085000,6/16/2025 11:25 AM,85,251.56,0.00,0.00,0.00,0.00%,55,0,0.00%
TSLA260618C00090000,6/17/2025 1:57 PM,90,235.25,0.00,0.00,0.00,0.00%,8,0,0.00%
TSLA260618C00095000,2025-10-06 11:53:00,95,232.75,0.00,0.00,0.00,0.00%,22,0,0.00%
TSLA260618C00100000,6/17/2025 12:04 PM,100,227.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00105000,4/23/2025 2:30 PM,105,163.90,241.55,245.55,0.00,0.00%,4,2.69,151.76%
TSLA260618C00110000,6/13/2025 12:05 PM,110,219.55,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00115000,2025-10-06 13:00:00,115,212.00,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00120000,6/16/2025 1:45 PM,120,220.25,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00125000,2025-12-06 13:35:00,125,212.34,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00130000,2025-05-06 11:30:00,130,203.70,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00135000,2025-04-06 09:42:00,135,218.50,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00140000,2025-05-06 14:24:00,140,174.00,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260618C00145000,2025-05-06 15:30:00,145,157.28,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00150000,6/17/2025 9:58 AM,150,188.72,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00155000,6/17/2025 3:29 PM,155,179.00,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00160000,6/17/2025 3:55 PM,160,174.60,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00165000,2025-09-06 13:33:00,165,152.75,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00170000,6/16/2025 2:03 PM,170,177.14,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260618C00175000,6/17/2025 3:17 PM,175,162.50,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260618C00180000,6/17/2025 3:57 PM,180,159.50,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260618C00185000,6/17/2025 1:01 PM,185,156.50,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260618C00190000,2025-11-06 12:05:00,190,164.14,0.00,0.00,0.00,0.00%,9,0,0.00%
TSLA260618C00195000,6/17/2025 11:36 AM,195,149.75,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA260618C00200000,6/17/2025 2:14 PM,200,143.75,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260618C00210000,6/17/2025 2:27 PM,210,136.95,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260618C00220000,6/17/2025 12:58 PM,220,133.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260618C00230000,6/17/2025 3:33 PM,230,126.00,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260618C00240000,6/17/2025 3:56 PM,240,119.78,0.00,0.00,0.00,0.00%,127,0,0.00%
TSLA260618C00250000,6/17/2025 3:27 PM,250,113.90,0.00,0.00,0.00,0.00%,25,0,0.00%
TSLA260618C00260000,6/17/2025 3:17 PM,260,108.50,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260618C00270000,6/17/2025 3:57 PM,270,103.30,0.00,0.00,0.00,0.00%,14,0,0.00%
TSLA260618C00280000,6/17/2025 3:06 PM,280,98.65,0.00,0.00,0.00,0.00%,19,0,0.00%
TSLA260618C00290000,6/17/2025 3:25 PM,290,93.95,0.00,0.00,0.00,0.00%,25,0,0.00%
TSLA260618C00300000,6/17/2025 3:54 PM,300,89.24,0.00,0.00,0.00,0.00%,61,0,0.00%
TSLA260618C00310000,6/17/2025 3:46 PM,310,85.90,0.00,0.00,0.00,0.00%,106,0,0.00%
TSLA260618C00320000,6/17/2025 3:55 PM,320,81.02,0.00,0.00,0.00,0.00%,78,0,0.39%
TSLA260618C00330000,6/17/2025 3:46 PM,330,78.10,0.00,0.00,0.00,0.00%,90,0,0.78%
TSLA260618C00340000,6/17/2025 3:39 PM,340,74.35,0.00,0.00,0.00,0.00%,15,0,1.56%
TSLA260618C00350000,6/17/2025 3:25 PM,350,70.30,0.00,0.00,0.00,0.00%,74,0,1.56%
TSLA260618C00360000,6/17/2025 3:59 PM,360,66.78,0.00,0.00,0.00,0.00%,62,0,3.13%
TSLA260618C00370000,6/17/2025 3:18 PM,370,63.79,0.00,0.00,0.00,0.00%,12,0,3.13%
TSLA260618C00380000,6/17/2025 3:54 PM,380,61.00,0.00,0.00,0.00,0.00%,3,0,3.13%
TSLA260618C00390000,6/17/2025 2:06 PM,390,58.25,0.00,0.00,0.00,0.00%,32,0,3.13%
TSLA260618C00400000,6/17/2025 3:59 PM,400,55.27,0.00,0.00,0.00,0.00%,195,0,6.25%
TSLA260618C00410000,6/17/2025 2:13 PM,410,52.83,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA260618C00420000,6/17/2025 3:40 PM,420,51.40,0.00,0.00,0.00,0.00%,19,0,6.25%
TSLA260618C00430000,6/17/2025 3:59 PM,430,48.50,0.00,0.00,0.00,0.00%,22,0,6.25%
TSLA260618C00440000,6/17/2025 2:12 PM,440,46.25,0.00,0.00,0.00,0.00%,25,0,6.25%
TSLA260618C00450000,6/17/2025 3:45 PM,450,45.15,0.00,0.00,0.00,0.00%,110,0,6.25%
TSLA260618C00460000,6/17/2025 3:37 PM,460,43.48,0.00,0.00,0.00,0.00%,9,0,6.25%
TSLA260618C00470000,6/17/2025 2:47 PM,470,40.98,0.00,0.00,0.00,0.00%,12,0,6.25%
TSLA260618C00480000,6/17/2025 2:35 PM,480,39.40,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA260618C00490000,6/17/2025 3:44 PM,490,38.36,0.00,0.00,0.00,0.00%,46,0,6.25%
TSLA260618C00500000,6/17/2025 3:57 PM,500,36.45,0.00,0.00,0.00,0.00%,128,0,6.25%
TSLA260618C00510000,6/17/2025 3:58 PM,510,35.00,0.00,0.00,0.00,0.00%,44,0,12.50%
TSLA260618C00520000,6/17/2025 1:33 PM,520,34.58,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00530000,6/17/2025 12:57 PM,530,33.05,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00540000,6/17/2025 2:40 PM,540,31.15,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00550000,6/17/2025 3:37 PM,550,30.65,0.00,0.00,0.00,0.00%,136,0,12.50%
TSLA260618C00560000,6/17/2025 3:13 PM,560,29.00,0.00,0.00,0.00,0.00%,11,0,12.50%
TSLA260618C00570000,6/17/2025 2:20 PM,570,27.61,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00580000,2025-12-06 12:41:00,580,30.35,0.00,0.00,0.00,0.00%,10,0,12.50%
TSLA260618C00590000,6/13/2025 11:51 AM,590,27.11,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260618C00600000,6/17/2025 2:41 PM,600,25.00,0.00,0.00,0.00,0.00%,63,0,12.50%
TSLA260618C00610000,6/17/2025 2:15 PM,610,24.00,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA260618C00620000,6/16/2025 9:33 AM,620,26.80,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260618C00630000,6/17/2025 11:41 AM,630,23.10,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00640000,6/17/2025 9:44 AM,640,23.20,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00650000,6/17/2025 2:20 PM,650,21.10,0.00,0.00,0.00,0.00%,80,0,12.50%
TSLA260618C00660000,6/13/2025 12:44 PM,660,23.50,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260618C00670000,6/17/2025 3:40 PM,670,20.20,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260618C00680000,6/17/2025 3:53 PM,680,19.50,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00690000,6/17/2025 3:40 PM,690,19.15,0.00,0.00,0.00,0.00%,11,0,12.50%
TSLA260618C00700000,6/17/2025 3:57 PM,700,18.35,0.00,0.00,0.00,0.00%,27,0,12.50%
TSLA260618C00710000,6/17/2025 9:56 AM,710,19.10,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260618C00720000,6/17/2025 1:43 PM,720,17.65,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260618C00730000,6/17/2025 11:23 AM,730,17.20,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260618C00740000,6/17/2025 3:47 PM,740,16.55,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00750000,6/17/2025 1:43 PM,750,16.25,0.00,0.00,0.00,0.00%,6,0,12.50%
TSLA260618C00760000,2025-11-06 11:52:00,760,18.57,0.00,0.00,0.00,0.00%,20,0,12.50%
TSLA260618C00770000,2025-12-06 13:10:00,770,16.95,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00780000,6/16/2025 10:08 AM,780,16.90,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260618C00790000,6/16/2025 9:40 AM,790,16.60,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00800000,6/17/2025 3:56 PM,800,13.90,0.00,0.00,0.00,0.00%,22,0,12.50%
TSLA260618C00810000,6/17/2025 10:36 AM,810,14.41,0.00,0.00,0.00,0.00%,16,0,12.50%
TSLA260618C00820000,2025-11-06 10:10:00,820,16.45,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00830000,6/17/2025 1:41 PM,830,13.21,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260618C00840000,2025-11-06 15:08:00,840,14.15,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260618C00850000,6/16/2025 2:53 PM,850,13.90,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260618C00860000,6/16/2025 2:51 PM,860,13.70,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260618C00870000,2025-09-06 15:52:00,870,10.88,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260618C00880000,2025-11-06 10:30:00,880,14.14,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260618C00890000,6/17/2025 11:52 AM,890,11.23,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA260618C00900000,6/17/2025 3:45 PM,900,10.96,0.00,0.00,0.00,0.00%,23,0,25.00%
TSLA260618C00910000,2025-11-06 09:36:00,910,13.31,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260618C00920000,6/17/2025 3:50 PM,920,10.50,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260618C00930000,6/13/2025 12:36 PM,930,11.45,0.00,0.00,0.00,0.00%,24,0,25.00%
TSLA260618C00940000,6/17/2025 3:50 PM,940,10.00,0.00,0.00,0.00,0.00%,9,0,25.00%
TSLA260618C00950000,6/17/2025 2:57 PM,950,9.65,0.00,0.00,0.00,0.00%,9,0,25.00%
TSLA260618C00960000,6/17/2025 3:59 PM,960,9.35,0.00,0.00,0.00,0.00%,160,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260618P00005000,2025-10-06 09:30:00,5,0.03,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260618P00010000,6/13/2025 3:55 PM,10,0.09,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260618P00015000,2025-12-06 13:01:00,15,0.12,0.00,0.00,0.00,0.00%,62,0,50.00%
TSLA260618P00020000,6/17/2025 12:09 PM,20,0.20,0.00,0.00,0.00,0.00%,116,0,50.00%
