Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260320C00110000,6/17/2025 10:15 AM,110,221.00,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320C00115000,6/16/2025 2:47 PM,115,221.95,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320C00120000,2025-11-06 11:08:00,120,218.75,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260320C00125000,2025-03-06 09:35:00,125,228.27,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320C00130000,6/16/2025 12:14 PM,130,206.95,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00135000,2025-11-06 15:59:00,135,200.80,0.00,0.00,0.00,0.00%,19,0,0.00%
TSLA260320C00140000,5/21/2025 10:59 AM,140,215.05,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320C00145000,2025-03-06 15:56:00,145,210.35,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320C00150000,6/16/2025 11:39 AM,150,190.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00155000,2025-05-06 14:56:00,155,150.50,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260320C00160000,6/17/2025 11:36 AM,160,172.50,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00165000,2025-06-06 13:35:00,165,150.62,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00170000,6/13/2025 9:30 AM,170,158.48,0.00,0.00,0.00,0.00%,10,0,0.00%
TSLA260320C00175000,2025-09-06 10:25:00,175,136.85,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA260320C00180000,6/17/2025 11:35 AM,180,155.09,0.00,0.00,0.00,0.00%,25,0,0.00%
TSLA260320C00185000,6/17/2025 11:03 AM,185,153.95,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320C00190000,2025-11-06 14:46:00,190,155.10,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260320C00195000,6/16/2025 3:41 PM,195,152.88,0.00,0.00,0.00,0.00%,7,0,0.00%
TSLA260320C00200000,6/17/2025 10:11 AM,200,143.95,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00210000,6/17/2025 3:07 PM,210,130.60,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00215000,6/13/2025 12:26 PM,215,134.10,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00220000,6/17/2025 3:29 PM,220,123.85,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00225000,6/16/2025 10:33 AM,225,131.67,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00230000,6/16/2025 9:33 AM,230,125.88,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00235000,2025-11-06 09:30:00,235,129.27,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00240000,6/17/2025 2:40 PM,240,110.19,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA260320C00245000,6/17/2025 10:05 AM,245,112.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320C00250000,6/17/2025 2:22 PM,250,103.63,0.00,0.00,0.00,0.00%,23,0,0.00%
TSLA260320C00260000,6/16/2025 12:18 PM,260,109.90,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA260320C00270000,6/17/2025 2:08 PM,270,92.75,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA260320C00280000,6/17/2025 2:22 PM,280,87.12,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA260320C00290000,6/17/2025 10:46 AM,290,88.00,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260320C00300000,6/17/2025 3:54 PM,300,78.48,0.00,0.00,0.00,0.00%,276,0,0.00%
TSLA260320C00310000,6/17/2025 3:16 PM,310,73.95,0.00,0.00,0.00,0.00%,39,0,0.00%
TSLA260320C00320000,6/17/2025 3:59 PM,320,69.25,0.00,0.00,0.00,0.00%,107,0,0.39%
TSLA260320C00330000,6/17/2025 3:51 PM,330,66.55,0.00,0.00,0.00,0.00%,26,0,0.78%
TSLA260320C00340000,6/17/2025 3:53 PM,340,62.40,0.00,0.00,0.00,0.00%,7,0,1.56%
TSLA260320C00350000,6/17/2025 2:56 PM,350,58.65,0.00,0.00,0.00,0.00%,253,0,3.13%
TSLA260320C00360000,6/17/2025 1:07 PM,360,56.14,0.00,0.00,0.00,0.00%,56,0,3.13%
TSLA260320C00370000,6/17/2025 1:00 PM,370,53.00,0.00,0.00,0.00,0.00%,10,0,3.13%
TSLA260320C00380000,6/17/2025 3:28 PM,380,49.50,0.00,0.00,0.00,0.00%,19,0,3.13%
TSLA260320C00390000,6/17/2025 2:00 PM,390,47.00,0.00,0.00,0.00,0.00%,13,0,6.25%
TSLA260320C00400000,6/17/2025 3:59 PM,400,44.00,0.00,0.00,0.00,0.00%,132,0,6.25%
TSLA260320C00410000,6/16/2025 1:32 PM,410,47.96,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA260320C00420000,6/17/2025 3:46 PM,420,40.30,0.00,0.00,0.00,0.00%,124,0,6.25%
TSLA260320C00430000,6/17/2025 11:31 AM,430,38.37,0.00,0.00,0.00,0.00%,8,0,6.25%
TSLA260320C00440000,6/17/2025 2:08 PM,440,35.65,0.00,0.00,0.00,0.00%,11,0,6.25%
TSLA260320C00450000,6/17/2025 3:07 PM,450,33.80,0.00,0.00,0.00,0.00%,20,0,6.25%
TSLA260320C00460000,6/17/2025 3:46 PM,460,32.65,0.00,0.00,0.00,0.00%,99,0,6.25%
TSLA260320C00470000,6/17/2025 2:16 PM,470,30.11,0.00,0.00,0.00,0.00%,3,0,6.25%
TSLA260320C00480000,6/17/2025 2:20 PM,480,28.70,0.00,0.00,0.00,0.00%,89,0,12.50%
TSLA260320C00490000,6/16/2025 3:21 PM,490,31.85,0.00,0.00,0.00,0.00%,14,0,12.50%
TSLA260320C00500000,6/17/2025 3:59 PM,500,26.05,0.00,0.00,0.00,0.00%,69,0,12.50%
TSLA260320C00510000,6/17/2025 2:37 PM,510,24.95,0.00,0.00,0.00,0.00%,10,0,12.50%
TSLA260320C00520000,6/17/2025 2:15 PM,520,23.57,0.00,0.00,0.00,0.00%,107,0,12.50%
TSLA260320C00530000,6/17/2025 2:28 PM,530,22.60,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320C00540000,6/13/2025 3:50 PM,540,25.00,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320C00550000,6/17/2025 3:59 PM,550,20.69,0.00,0.00,0.00,0.00%,65,0,12.50%
TSLA260320C00560000,6/17/2025 1:07 PM,560,20.20,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320C00570000,6/17/2025 3:39 PM,570,19.50,0.00,0.00,0.00,0.00%,21,0,12.50%
TSLA260320C00580000,6/17/2025 9:47 AM,580,19.50,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260320C00590000,6/16/2025 3:02 PM,590,20.20,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260320C00600000,6/17/2025 3:59 PM,600,16.69,0.00,0.00,0.00,0.00%,75,0,12.50%
TSLA260320C00610000,6/16/2025 1:08 PM,610,19.22,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320C00620000,6/17/2025 3:07 PM,620,15.45,0.00,0.00,0.00,0.00%,82,0,12.50%
TSLA260320C00630000,6/17/2025 12:13 PM,630,15.51,0.00,0.00,0.00,0.00%,17,0,12.50%
TSLA260320C00640000,6/17/2025 10:53 AM,640,15.22,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA260320C00650000,6/17/2025 11:00 AM,650,14.55,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA260320C00660000,6/16/2025 3:16 PM,660,15.50,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260320C00670000,6/17/2025 2:32 PM,670,12.65,0.00,0.00,0.00,0.00%,9,0,12.50%
TSLA260320C00680000,6/16/2025 10:09 AM,680,12.75,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260320C00690000,6/17/2025 3:28 PM,690,11.95,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260320C00700000,6/17/2025 3:28 PM,700,11.52,0.00,0.00,0.00,0.00%,130,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260320P00110000,6/17/2025 3:53 PM,110,2.40,0.00,0.00,0.00,0.00%,11,0,25.00%
TSLA260320P00115000,6/16/2025 10:32 AM,115,2.50,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260320P00120000,6/17/2025 1:02 PM,120,3.00,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260320P00125000,6/16/2025 2:55 PM,125,3.15,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260320P00130000,6/17/2025 2:15 PM,130,3.78,0.00,0.00,0.00,0.00%,8,0,25.00%
TSLA260320P00135000,6/17/2025 3:38 PM,135,4.15,0.00,0.00,0.00,0.00%,7,0,25.00%
TSLA260320P00140000,6/17/2025 11:02 AM,140,4.30,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA260320P00145000,6/17/2025 2:23 PM,145,5.10,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320P00150000,6/17/2025 3:22 PM,150,5.50,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320P00155000,6/17/2025 12:47 PM,155,5.85,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260320P00160000,6/17/2025 2:50 PM,160,6.80,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260320P00165000,6/16/2025 1:51 PM,165,6.83,0.00,0.00,0.00,0.00%,7,0,12.50%
TSLA260320P00170000,6/16/2025 1:15 PM,170,7.55,0.00,0.00,0.00,0.00%,7,0,12.50%
TSLA260320P00175000,6/17/2025 2:44 PM,175,9.05,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA260320P00180000,6/17/2025 12:55 PM,180,9.49,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260320P00185000,6/17/2025 2:53 PM,185,10.80,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260320P00190000,6/17/2025 11:50 AM,190,11.27,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260320P00195000,6/13/2025 11:55 AM,195,12.25,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260320P00200000,6/17/2025 2:52 PM,200,13.95,0.00,0.00,0.00,0.00%,100,0,12.50%
TSLA260320P00210000,6/17/2025 3:47 PM,210,16.15,0.00,0.00,0.00,0.00%,32,0,12.50%
TSLA260320P00215000,6/17/2025 11:31 AM,215,17.10,0.00,0.00,0.00,0.00%,1,0,6.25%
TSLA260320P00220000,6/17/2025 11:50 AM,220,18.40,0.00,0.00,0.00,0.00%,15,0,6.25%
TSLA260320P00225000,6/17/2025 1:26 PM,225,20.09,0.00,0.00,0.00,0.00%,3,0,6.25%
TSLA260320P00230000,6/17/2025 3:58 PM,230,21.90,0.00,0.00,0.00,0.00%,54,0,6.25%
TSLA260320P00235000,6/17/2025 3:34 PM,235,23.55,0.00,0.00,0.00,0.00%,1,0,6.25%
TSLA260320P00240000,6/17/2025 1:25 PM,240,24.97,0.00,0.00,0.00,0.00%,262,0,6.25%
TSLA260320P00245000,6/17/2025 12:07 PM,245,26.17,0.00,0.00,0.00,0.00%,5,0,6.25%
TSLA260320P00250000,6/17/2025 3:42 PM,250,28.80,0.00,0.00,0.00,0.00%,12,0,6.25%
TSLA260320P00260000,6/17/2025 3:17 PM,260,32.89,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA260320P00270000,6/17/2025 2:53 PM,270,37.40,0.00,0.00,0.00,0.00%,20,0,3.13%
TSLA260320P00280000,6/17/2025 2:47 PM,280,42.05,0.00,0.00,0.00,0.00%,1.07,0,3.13%
TSLA260320P00290000,6/17/2025 2:47 PM,290,46.85,0.00,0.00,0.00,0.00%,10,0,1.56%
TSLA260320P00300000,6/17/2025 3:39 PM,300,51.20,0.00,0.00,0.00,0.00%,699,0,1.56%
TSLA260320P00310000,6/17/2025 3:27 PM,310,57.07,0.00,0.00,0.00,0.00%,57,0,0.78%
TSLA260320P00320000,6/17/2025 3:26 PM,320,62.55,0.00,0.00,0.00,0.00%,16,0,0.00%
TSLA260320P00330000,6/17/2025 3:15 PM,330,68.20,0.00,0.00,0.00,0.00%,33,0,0.00%
TSLA260320P00340000,6/16/2025 9:45 AM,340,69.60,0.00,0.00,0.00,0.00%,10,0,0.00%
TSLA260320P00350000,6/17/2025 11:33 AM,350,79.95,0.00,0.00,0.00,0.00%,50,0,0.00%
TSLA260320P00360000,6/16/2025 11:27 AM,360,81.88,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260320P00370000,6/17/2025 3:29 PM,370,94.45,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320P00380000,6/16/2025 11:32 AM,380,95.10,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320P00390000,6/13/2025 1:35 PM,390,102.00,0.00,0.00,0.00,0.00%,17,0,0.00%
TSLA260320P00400000,6/17/2025 3:09 PM,400,116.05,0.00,0.00,0.00,0.00%,26,0,0.00%
TSLA260320P00410000,2025-12-06 09:38:00,410,119.20,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260320P00420000,2025-10-06 12:01:00,420,130.05,0.00,0.00,0.00,0.00%,5,0,0.00%
