Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA251017C00100000,2025-11-06 11:15:00,100,234.20,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA251017C00105000,2025-03-06 12:58:00,105,251.77,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00110000,2025-01-05 12:51:00,110,177.93,237.20,240.70,0.00,0.00%,1,4,254.19%
TSLA251017C00115000,4/21/2025 12:11 PM,115,117.60,234.00,235.65,0.00,0.00%,-,1,247.83%
TSLA251017C00120000,6/13/2025 1:35 PM,120,214.07,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00125000,2025-05-06 12:45:00,125,186.96,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00130000,4/21/2025 3:16 PM,130,104.20,208.05,211.55,0.00,0.00%,-,1,187.76%
TSLA251017C00135000,2025-06-06 10:53:00,135,170.37,0.00,0.00,0.00,0.00%,18,0,0.00%
TSLA251017C00140000,2025-02-06 12:18:00,140,202.44,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251017C00145000,6/17/2025 1:49 PM,145,176.47,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00150000,2025-06-06 09:42:00,150,154.51,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251017C00155000,2025-05-06 15:32:00,155,136.55,0.00,0.00,0.00,0.00%,15,0,0.00%
TSLA251017C00160000,2025-06-06 11:04:00,160,149.26,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251017C00165000,6/16/2025 10:38 AM,165,170.07,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00170000,6/16/2025 11:13 AM,170,165.68,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00175000,6/17/2025 1:22 PM,175,149.89,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00180000,6/17/2025 11:21 AM,180,147.00,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA251017C00185000,6/17/2025 1:24 PM,185,140.49,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA251017C00190000,6/16/2025 2:57 PM,190,146.10,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00195000,6/17/2025 12:49 PM,195,132.43,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00200000,6/17/2025 2:07 PM,200,125.24,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA251017C00205000,6/16/2025 1:42 PM,205,133.35,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00210000,2025-12-06 13:43:00,210,124.05,0.00,0.00,0.00,0.00%,76,0,0.00%
TSLA251017C00215000,6/17/2025 11:28 AM,215,115.94,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00220000,6/17/2025 11:28 AM,220,111.51,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251017C00225000,6/16/2025 3:42 PM,225,115.91,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00230000,6/17/2025 10:42 AM,230,106.85,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251017C00235000,6/17/2025 1:19 PM,235,98.50,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00240000,6/17/2025 1:54 PM,240,94.30,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251017C00245000,6/17/2025 1:04 PM,245,90.50,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00250000,6/16/2025 12:56 PM,250,97.95,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA251017C00255000,6/17/2025 11:04 AM,255,86.36,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251017C00260000,6/17/2025 3:02 PM,260,79.70,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA251017C00265000,6/16/2025 9:39 AM,265,85.55,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251017C00270000,6/17/2025 9:46 AM,270,76.40,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA251017C00275000,6/17/2025 12:12 PM,275,71.95,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA251017C00280000,6/17/2025 2:24 PM,280,65.50,0.00,0.00,0.00,0.00%,23,0,0.00%
TSLA251017C00285000,6/17/2025 2:15 PM,285,62.15,0.00,0.00,0.00,0.00%,11,0,0.00%
TSLA251017C00290000,6/17/2025 12:11 PM,290,63.00,0.00,0.00,0.00,0.00%,8,0,0.00%
TSLA251017C00295000,6/17/2025 1:23 PM,295,59.05,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA251017C00300000,6/17/2025 3:54 PM,300,55.10,0.00,0.00,0.00,0.00%,154,0,0.00%
TSLA251017C00305000,6/17/2025 2:33 PM,305,52.44,0.00,0.00,0.00,0.00%,35,0,0.00%
TSLA251017C00310000,6/17/2025 3:58 PM,310,50.12,0.00,0.00,0.00,0.00%,417,0,0.00%
TSLA251017C00315000,6/17/2025 3:58 PM,315,47.95,0.00,0.00,0.00,0.00%,65,0,0.00%
TSLA251017C00320000,6/17/2025 3:58 PM,320,45.55,0.00,0.00,0.00,0.00%,81,0,0.39%
TSLA251017C00325000,6/17/2025 3:51 PM,325,44.05,0.00,0.00,0.00,0.00%,134,0,0.78%
TSLA251017C00330000,6/17/2025 3:59 PM,330,41.35,0.00,0.00,0.00,0.00%,190,0,1.56%
TSLA251017C00335000,6/17/2025 3:53 PM,335,39.85,0.00,0.00,0.00,0.00%,16,0,1.56%
TSLA251017C00340000,6/17/2025 3:56 PM,340,37.90,0.00,0.00,0.00,0.00%,88,0,3.13%
TSLA251017C00345000,6/17/2025 3:54 PM,345,36.00,0.00,0.00,0.00,0.00%,41,0,3.13%
TSLA251017C00350000,6/17/2025 3:51 PM,350,34.70,0.00,0.00,0.00,0.00%,187,0,3.13%
TSLA251017C00355000,6/17/2025 3:46 PM,355,33.45,0.00,0.00,0.00,0.00%,89,0,3.13%
TSLA251017C00360000,6/17/2025 3:48 PM,360,31.77,0.00,0.00,0.00,0.00%,26,0,6.25%
TSLA251017C00365000,6/17/2025 3:28 PM,365,29.80,0.00,0.00,0.00,0.00%,8,0,6.25%
TSLA251017C00370000,6/17/2025 2:18 PM,370,28.00,0.00,0.00,0.00,0.00%,6,0,6.25%
TSLA251017C00375000,6/17/2025 2:55 PM,375,27.00,0.00,0.00,0.00,0.00%,21,0,6.25%
TSLA251017C00380000,6/17/2025 3:31 PM,380,26.10,0.00,0.00,0.00,0.00%,33,0,6.25%
TSLA251017C00385000,6/17/2025 1:51 PM,385,25.05,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA251017C00390000,6/17/2025 12:44 PM,390,24.54,0.00,0.00,0.00,0.00%,6,0,6.25%
TSLA251017C00395000,6/17/2025 3:12 PM,395,22.46,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA251017C00400000,6/17/2025 3:49 PM,400,21.95,0.00,0.00,0.00,0.00%,463,0,6.25%
TSLA251017C00405000,6/17/2025 3:59 PM,405,20.26,0.00,0.00,0.00,0.00%,529,0,6.25%
TSLA251017C00410000,6/17/2025 3:40 PM,410,19.90,0.00,0.00,0.00,0.00%,3,0,6.25%
TSLA251017C00415000,6/17/2025 2:57 PM,415,18.75,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA251017C00420000,6/17/2025 3:46 PM,420,18.32,0.00,0.00,0.00,0.00%,29,0,12.50%
TSLA251017C00425000,6/17/2025 1:59 PM,425,17.45,0.00,0.00,0.00,0.00%,24,0,12.50%
TSLA251017C00430000,6/17/2025 3:49 PM,430,16.68,0.00,0.00,0.00,0.00%,6,0,12.50%
TSLA251017C00435000,6/17/2025 3:59 PM,435,15.51,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA251017C00440000,6/17/2025 2:43 PM,440,14.90,0.00,0.00,0.00,0.00%,36,0,12.50%
TSLA251017C00445000,6/17/2025 1:14 PM,445,14.90,0.00,0.00,0.00,0.00%,23,0,12.50%
TSLA251017C00450000,6/17/2025 3:59 PM,450,13.65,0.00,0.00,0.00,0.00%,98,0,12.50%
TSLA251017C00455000,6/17/2025 11:23 AM,455,13.90,0.00,0.00,0.00,0.00%,11,0,12.50%
TSLA251017C00460000,6/17/2025 1:23 PM,460,13.10,0.00,0.00,0.00,0.00%,23,0,12.50%
TSLA251017C00465000,6/17/2025 1:20 PM,465,12.53,0.00,0.00,0.00,0.00%,19,0,12.50%
TSLA251017C00470000,6/17/2025 3:36 PM,470,11.90,0.00,0.00,0.00,0.00%,7,0,12.50%
TSLA251017C00475000,6/17/2025 1:01 PM,475,11.51,0.00,0.00,0.00,0.00%,15,0,12.50%
TSLA251017C00480000,6/17/2025 2:40 PM,480,10.80,0.00,0.00,0.00,0.00%,46,0,12.50%
TSLA251017C00485000,6/17/2025 1:35 PM,485,10.90,0.00,0.00,0.00,0.00%,7,0,12.50%
TSLA251017C00490000,6/17/2025 2:03 PM,490,10.08,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA251017C00495000,6/17/2025 10:58 AM,495,10.40,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA251017C00500000,6/17/2025 3:29 PM,500,9.35,0.00,0.00,0.00,0.00%,115,0,12.50%
TSLA251017C00510000,6/17/2025 3:27 PM,510,8.60,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA251017C00520000,6/17/2025 2:10 PM,520,7.99,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA251017C00530000,6/17/2025 2:54 PM,530,7.30,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA251017C00540000,6/17/2025 2:58 PM,540,7.00,0.00,0.00,0.00,0.00%,9,0,12.50%
TSLA251017C00550000,6/17/2025 3:52 PM,550,6.62,0.00,0.00,0.00,0.00%,28,0,25.00%
TSLA251017C00560000,6/17/2025 9:30 AM,560,7.22,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA251017C00570000,6/17/2025 1:24 PM,570,5.90,0.00,0.00,0.00,0.00%,29,0,25.00%
TSLA251017C00580000,6/17/2025 1:29 PM,580,5.45,0.00,0.00,0.00,0.00%,14,0,25.00%
TSLA251017C00590000,6/16/2025 2:27 PM,590,6.50,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251017C00600000,6/17/2025 3:45 PM,600,4.90,0.00,0.00,0.00,0.00%,63,0,25.00%
TSLA251017C00610000,6/17/2025 11:10 AM,610,4.90,0.00,0.00,0.00,0.00%,7,0,25.00%
TSLA251017C00620000,6/17/2025 3:28 PM,620,4.30,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA251017C00630000,6/17/2025 2:19 PM,630,4.00,0.00,0.00,0.00,0.00%,27,0,25.00%
TSLA251017C00640000,6/17/2025 2:34 PM,640,3.80,0.00,0.00,0.00,0.00%,19,0,25.00%
TSLA251017C00650000,6/17/2025 2:16 PM,650,3.60,0.00,0.00,0.00,0.00%,86,0,25.00%
TSLA251017C00660000,6/17/2025 1:51 PM,660,3.45,0.00,0.00,0.00,0.00%,6,0,25.00%
TSLA251017C00670000,6/17/2025 10:27 AM,670,3.65,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251017C00680000,6/16/2025 11:15 AM,680,4.10,0.00,0.00,0.00,0.00%,12,0,25.00%
TSLA251017C00690000,6/17/2025 2:13 PM,690,2.95,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251017C00700000,6/17/2025 2:59 PM,700,2.87,0.00,0.00,0.00,0.00%,33,0,25.00%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA251017P00100000,6/17/2025 3:56 PM,100,0.66,0.00,0.00,0.00,0.00%,60,0,50.00%
TSLA251017P00105000,2025-06-06 10:05:00,105,1.15,0.00,0.00,0.00,0.00%,2,0,50.00%
TSLA251017P00110000,6/17/2025 11:10 AM,110,0.80,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251017P00115000,6/17/2025 3:18 PM,115,0.91,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA251017P00120000,6/13/2025 1:22 PM,120,0.95,0.00,0.00,0.00,0.00%,10,0,25.00%
TSLA251017P00125000,6/17/2025 3:56 PM,125,1.10,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251017P00130000,6/17/2025 11:52 AM,130,1.18,0.00,0.00,0.00,0.00%,5,0,25.00%
TSLA251017P00135000,6/17/2025 2:01 PM,135,1.36,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA251017P00140000,6/17/2025 3:20 PM,140,1.52,0.00,0.00,0.00,0.00%,27,0,25.00%
TSLA251017P00145000,6/17/2025 11:46 AM,145,1.56,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251017P00150000,6/17/2025 3:11 PM,150,1.82,0.00,0.00,0.00,0.00%,7,0,25.00%
TSLA251017P00155000,6/17/2025 2:07 PM,155,2.09,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA251017P00160000,6/17/2025 12:52 PM,160,2.16,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA251017P00165000,6/17/2025 3:48 PM,165,2.51,0.00,0.00,0.00,0.00%,6,0,25.00%
TSLA251017P00170000,6/17/2025 1:50 PM,170,2.83,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA251017P00175000,6/17/2025 2:41 PM,175,3.19,0.00,0.00,0.00,0.00%,35,0,25.00%
TSLA251017P00180000,6/17/2025 3:24 PM,180,3.50,0.00,0.00,0.00,0.00%,28,0,25.00%
