Calls,"June 17, 2025 @ close",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260918C00005000,2025-10-06 10:01:00,5,312.50,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260918C00010000,5/21/2025 11:42 AM,10,335.58,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00030000,4/21/2025 11:14 AM,30,197.00,315.50,323.45,0.00,0.00%,-,0,0.00%
TSLA260918C00040000,4/28/2025 2:15 PM,40,245.00,315.25,330.00,0.00,0.00%,-,0,0.00%
TSLA260918C00045000,4/25/2025 10:04 AM,45,222.55,295.65,301.65,0.00,0.00%,2,0,242.71%
TSLA260918C00050000,5/15/2025 10:23 AM,50,294.45,277.35,282.60,0.00,0.00%,3,4,159.27%
TSLA260918C00060000,4/22/2025 10:17 AM,60,183.55,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260918C00070000,2025-09-06 14:51:00,70,236.78,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00080000,2025-06-06 10:47:00,80,229.00,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260918C00090000,2025-06-06 11:14:00,90,223.41,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00100000,2025-09-06 10:48:00,100,205.40,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00110000,5/30/2025 11:54 AM,110,259.85,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00115000,4/28/2025 2:13 PM,115,180.30,251.20,259.00,0.00,0.00%,6,21,168.54%
TSLA260918C00120000,5/14/2025 11:57 AM,120,240.85,216.40,220.95,0.00,0.00%,2,24,102.08%
TSLA260918C00125000,4/22/2025 10:56 AM,125,132.70,0.00,0.00,0.00,0.00%,7,0,0.00%
TSLA260918C00130000,4/30/2025 2:36 PM,130,167.52,228.45,232.75,0.00,0.00%,2,40,133.02%
TSLA260918C00135000,2025-10-06 09:37:00,135,191.95,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00140000,2025-02-06 10:10:00,140,215.50,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260918C00145000,2025-12-06 14:33:00,145,194.65,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00150000,2025-06-06 09:30:00,150,170.88,0.00,0.00,0.00,0.00%,2,0,0.00%
TSLA260918C00155000,5/28/2025 3:40 PM,155,222.61,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00160000,2025-09-06 11:44:00,160,160.75,0.00,0.00,0.00,0.00%,16,0,0.00%
TSLA260918C00165000,2025-11-06 09:49:00,165,189.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00170000,2025-12-06 10:26:00,170,180.20,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00175000,2025-06-06 09:49:00,175,152.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00180000,2025-11-06 14:01:00,180,172.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00185000,5/23/2025 9:57 AM,185,179.50,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00190000,6/16/2025 12:57 PM,190,170.41,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00195000,2025-06-05 14:00:00,195,119.20,127.25,130.25,0.00,0.00%,2,59,41.72%
TSLA260918C00200000,6/17/2025 9:38 AM,200,159.00,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00210000,6/17/2025 11:21 AM,210,148.55,0.00,0.00,0.00,0.00%,6,0,0.00%
TSLA260918C00220000,2025-11-06 12:11:00,220,147.60,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00230000,6/17/2025 3:06 PM,230,133.20,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00240000,2025-12-06 14:13:00,240,133.26,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00250000,6/17/2025 2:56 PM,250,122.08,0.00,0.00,0.00,0.00%,4,0,0.00%
TSLA260918C00260000,6/17/2025 12:13 PM,260,119.96,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260918C00270000,6/17/2025 9:33 AM,270,118.45,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260918C00280000,6/17/2025 2:29 PM,280,106.25,0.00,0.00,0.00,0.00%,1,0,0.00%
TSLA260918C00290000,6/17/2025 11:36 AM,290,104.30,0.00,0.00,0.00,0.00%,10,0,0.00%
TSLA260918C00300000,6/17/2025 3:57 PM,300,98.88,0.00,0.00,0.00,0.00%,5,0,0.00%
TSLA260918C00310000,6/17/2025 3:57 PM,310,94.90,0.00,0.00,0.00,0.00%,3,0,0.00%
TSLA260918C00320000,6/17/2025 3:40 PM,320,91.65,0.00,0.00,0.00,0.00%,10,0,0.20%
TSLA260918C00330000,6/17/2025 2:57 PM,330,87.25,0.00,0.00,0.00,0.00%,10,0,0.78%
TSLA260918C00340000,6/17/2025 1:48 PM,340,84.60,0.00,0.00,0.00,0.00%,38,0,1.56%
TSLA260918C00350000,6/17/2025 3:30 PM,350,81.20,0.00,0.00,0.00,0.00%,6,0,1.56%
TSLA260918C00360000,6/17/2025 3:44 PM,360,77.80,0.00,0.00,0.00,0.00%,34,0,3.13%
TSLA260918C00370000,6/17/2025 3:59 PM,370,74.15,0.00,0.00,0.00,0.00%,28,0,3.13%
TSLA260918C00380000,6/17/2025 1:46 PM,380,72.76,0.00,0.00,0.00,0.00%,2,0,3.13%
TSLA260918C00390000,6/17/2025 1:50 PM,390,69.00,0.00,0.00,0.00,0.00%,12,0,3.13%
TSLA260918C00400000,6/17/2025 2:06 PM,400,66.10,0.00,0.00,0.00,0.00%,27,0,3.13%
TSLA260918C00410000,6/13/2025 3:59 PM,410,69.14,0.00,0.00,0.00,0.00%,3,0,6.25%
TSLA260918C00420000,6/13/2025 2:15 PM,420,68.00,0.00,0.00,0.00,0.00%,13,0,6.25%
TSLA260918C00430000,6/13/2025 11:58 AM,430,61.15,0.00,0.00,0.00,0.00%,11,0,6.25%
TSLA260918C00440000,6/17/2025 3:36 PM,440,57.57,0.00,0.00,0.00,0.00%,15,0,6.25%
TSLA260918C00450000,6/17/2025 3:39 PM,450,55.75,0.00,0.00,0.00,0.00%,26,0,6.25%
TSLA260918C00460000,6/17/2025 12:41 PM,460,54.50,0.00,0.00,0.00,0.00%,2,0,6.25%
TSLA260918C00470000,6/17/2025 2:18 PM,470,50.63,0.00,0.00,0.00,0.00%,201,0,6.25%
TSLA260918C00480000,6/17/2025 2:18 PM,480,48.90,0.00,0.00,0.00,0.00%,265,0,6.25%
TSLA260918C00490000,6/17/2025 11:15 AM,490,50.00,0.00,0.00,0.00,0.00%,20,0,6.25%
TSLA260918C00500000,6/17/2025 3:33 PM,500,46.73,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA260918C00510000,6/17/2025 12:38 PM,510,46.10,0.00,0.00,0.00,0.00%,4,0,6.25%
TSLA260918C00520000,6/17/2025 11:03 AM,520,45.00,0.00,0.00,0.00,0.00%,1,0,6.25%
TSLA260918C00530000,6/17/2025 11:02 AM,530,43.80,0.00,0.00,0.00,0.00%,1,0,6.25%
TSLA260918C00540000,2025-05-06 15:09:00,540,31.60,0.00,0.00,0.00,0.00%,71,0,12.50%
TSLA260918C00550000,2025-11-06 10:01:00,550,45.63,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00560000,2025-12-06 15:18:00,560,39.22,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260918C00570000,6/16/2025 3:28 PM,570,41.55,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00580000,6/16/2025 3:57 PM,580,40.15,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260918C00590000,6/16/2025 9:34 AM,590,38.75,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00600000,6/17/2025 2:25 PM,600,33.45,0.00,0.00,0.00,0.00%,11,0,12.50%
TSLA260918C00610000,2025-10-06 09:56:00,610,32.41,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA260918C00620000,6/17/2025 9:59 AM,620,33.80,0.00,0.00,0.00,0.00%,20,0,12.50%
TSLA260918C00630000,2025-04-06 15:22:00,630,36.73,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00640000,2025-11-06 15:00:00,640,33.38,0.00,0.00,0.00,0.00%,10,0,12.50%
TSLA260918C00650000,6/13/2025 2:44 PM,650,32.21,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260918C00660000,2025-10-06 09:54:00,660,27.88,0.00,0.00,0.00,0.00%,5,0,12.50%
TSLA260918C00670000,5/21/2025 10:54 AM,670,37.55,0.00,0.00,0.00,0.00%,8,0,12.50%
TSLA260918C00680000,2025-06-06 10:12:00,680,22.12,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00690000,6/17/2025 3:01 PM,690,26.40,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260918C00700000,6/17/2025 2:18 PM,700,25.30,0.00,0.00,0.00,0.00%,12,0,12.50%
TSLA260918C00710000,2025-12-06 15:04:00,710,25.90,0.00,0.00,0.00,0.00%,3,0,12.50%
TSLA260918C00720000,6/13/2025 1:47 PM,720,28.60,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260918C00730000,2025-12-06 15:09:00,730,24.30,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00740000,6/13/2025 11:37 AM,740,24.10,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918C00750000,6/17/2025 2:02 PM,750,22.55,0.00,0.00,0.00,0.00%,12,0,12.50%
Puts,,,,,,,,,,
In The Money,,,,,,,,,,
Contract Name,Last Trade Date (EDT),Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
TSLA260918P00005000,6/17/2025 11:16 AM,5,0.07,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260918P00010000,5/23/2025 3:51 PM,10,0.09,0.00,0.00,0.00,0.00%,133,0,50.00%
TSLA260918P00015000,2025-05-06 13:13:00,15,0.20,0.00,0.00,0.00,0.00%,65,0,50.00%
TSLA260918P00020000,2025-10-06 14:07:00,20,0.28,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260918P00025000,5/23/2025 3:00 PM,25,0.37,0.00,0.00,0.00,0.00%,34,0,50.00%
TSLA260918P00030000,2025-10-06 10:30:00,30,0.44,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260918P00035000,2025-10-06 10:19:00,35,0.65,0.00,0.00,0.00,0.00%,1,0,50.00%
TSLA260918P00040000,5/16/2025 12:54 PM,40,0.73,0.65,0.79,0.00,0.00%,8,5,89.28%
TSLA260918P00045000,6/16/2025 10:21 AM,45,0.80,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260918P00050000,6/16/2025 9:30 AM,50,1.03,0.00,0.00,0.00,0.00%,10,0,25.00%
TSLA260918P00060000,6/17/2025 2:25 PM,60,1.43,0.00,0.00,0.00,0.00%,4,0,25.00%
TSLA260918P00070000,2025-12-06 13:47:00,70,1.94,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260918P00080000,2025-12-06 14:33:00,80,2.53,0.00,0.00,0.00,0.00%,2,0,25.00%
TSLA260918P00090000,6/17/2025 3:57 PM,90,3.20,0.00,0.00,0.00,0.00%,11,0,25.00%
TSLA260918P00100000,6/13/2025 12:41 PM,100,3.81,0.00,0.00,0.00,0.00%,3,0,25.00%
TSLA260918P00110000,6/13/2025 12:41 PM,110,4.86,0.00,0.00,0.00,0.00%,1,0,25.00%
TSLA260918P00115000,2025-11-06 13:54:00,115,5.47,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260918P00120000,6/16/2025 2:01 PM,120,5.85,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260918P00125000,2025-10-06 10:07:00,125,6.95,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918P00130000,2025-10-06 13:44:00,130,7.50,0.00,0.00,0.00,0.00%,25,0,12.50%
TSLA260918P00135000,2025-11-06 13:52:00,135,8.05,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260918P00140000,2025-10-06 14:00:00,140,9.00,0.00,0.00,0.00,0.00%,36,0,12.50%
TSLA260918P00145000,6/13/2025 11:31 AM,145,9.68,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918P00150000,6/16/2025 9:49 AM,150,10.04,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918P00155000,6/13/2025 2:42 PM,155,11.45,0.00,0.00,0.00,0.00%,31,0,12.50%
TSLA260918P00160000,6/13/2025 10:53 AM,160,12.71,0.00,0.00,0.00,0.00%,4,0,12.50%
TSLA260918P00165000,2025-11-06 13:46:00,165,13.29,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260918P00170000,2025-11-06 13:45:00,170,14.37,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260918P00175000,6/16/2025 9:52 AM,175,15.15,0.00,0.00,0.00,0.00%,1,0,12.50%
TSLA260918P00180000,6/17/2025 2:58 PM,180,17.40,0.00,0.00,0.00,0.00%,40,0,12.50%
TSLA260918P00185000,2025-12-06 09:40:00,185,18.05,0.00,0.00,0.00,0.00%,2,0,12.50%
TSLA260918P00190000,6/13/2025 2:00 PM,190,18.80,0.00,0.00,0.00,0.00%,10,0,6.25%
TSLA260918P00195000,2025-11-06 15:46:00,195,21.20,0.00,0.00,0.00,0.00%,2,0,6.25%
TSLA260918P00200000,6/17/2025 3:11 PM,200,23.00,0.00,0.00,0.00,0.00%,58,0,6.25%
