"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2015-01-01T23:00:00.000Z","27.33","-0.95","-0.95","212,818,400","42.59","29.07","27.96","26.85","2.04","27.91","27.91","27.91","27.45","-63.92","27.82","0.84","1.07","28.51","-13,601,945.27","0.35","38.03","5.22","27.83","-0.08","1.02","-0.02","72.51","59.60","3,766,717,200.00","28.18","-43.35","29.20","52.45","68.85","52.45","68.85","18.08","23.68","28.81","28.01","27.21","1.06","","","79.16","137.59","","23.02","42.59","34.25","0.05","0.06","-0.01","1.65","0.75","2.22","69.22","-69.22","-61.38","-0.13","25.00","143.60","-12.37","-6.80","1.00","29.00","23.00","67,457,388.20","0.13","-2.05","-0.04","-0.74","107.72","","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.02","28.69","3,015,224,400.00","130.62","","29.31","27.91","26.51","-0.55","27.96","27.91","24.17","27.91","47.26","-0.57","27.86","25.52","0","-0.04","0.03","-0.07","26.57","0.06","0.21","27.34","28.18","-16,229,575.91","-10,305,218.47","-5,924,357.43","31.01","27.91","24.81","37.95","27.76","28.25","27.82","26.74","30.50","22.29","28.69","1.02","29.56","28.15","26.75","27.63","27.78","27.87","27.91","27.93","27.96","27.94","27.87","27.79","27.70","27.60","27.39","0.29","0.06","-0.11","0","28.69","26.57","-0.08","-1.11","-18,320,080.79","0.74","1.44","-0.04","2.73","29.30","27.93","26.57","-1.64","-0.27","","","-0.33","-110.23","53.62","","-34.58","-3.09","3.84","-0.27","-5.52","-5.49","7.93","29.07","27.96","26.85","21.73","1.38","-0.15","-0.33","0.62","28.62","29.21","25.46","57.14","78.57","21.43","27.98","28.05","28.16","16.92","33.87","23.61","1,152.09","2.04"
"2015-01-04T23:00:00.000Z","26.56","-2.82","-2.81","257,142,000","36.10","29.03","27.84","26.66","1.27","27.93","27.93","27.93","","-91.03","27.76","0.83","1.07","14.74","-5,605,885.58","0.35","36.93","5.12","27.77","-0.12","0.98","-0.04","46.73","57.03","3,509,575,200.00","27.81","-110.44","28.77","31.15","51.24","31.15","51.24","-16.35","16.40","28.45","27.62","26.79","1.23","","","69.38","135.19","","14.10","36.10","31.56","-0.09","0.05","-0.13","-0.21","0.32","1.89","66.60","-66.60","-63.55","-0.22","25.00","137.43","-17.48","-9.56","1.00","29.00","23.00","60,213,284.87","0.13","-3.17","-0.15","-1.75","104.68","","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.01","28.66","2,758,082,400.00","130.62","","29.32","27.93","26.53","-1.31","27.84","27.93","24.20","27.93","46.82","-0.87","27.79","25.66","0","-0.15","-0.01","-0.14","26.57","0.01","0.01","27.63","27.81","-21,219,322.41","-11,864,376.18","-9,354,946.23","30.94","27.66","24.38","35.61","27.52","28.10","28.25","26.87","31.22","20.04","28.69","0.81","29.48","28.07","26.67","27.10","27.38","27.58","27.66","27.72","27.79","27.85","27.80","27.73","27.65","27.56","27.37","0.29","0.08","-0.10","0","28.69","26.57","-0.58","-1.39","-43,988,563.20","0.04","0.74","-0.05","2.73","29.30","27.93","26.57","-4.20","-0.94","","","-1.09","-177.40","51.73","","-46.82","-4.70","8.09","-0.26","-5.54","-5.51","8.50","29.03","27.84","26.66","-4.15","1.38","-0.17","-0.60","0.64","28.62","28.65","24.48","-28.57","71.43","100.00","28.00","28.08","28.18","15.08","35.57","24.81","1,041.65","1.27"
"2015-01-05T23:00:00.000Z","26.57","0.01","0.01","263,188,400","36.13","28.97","27.73","26.50","1.68","27.93","27.93","27.93","","-83.93","27.71","0.89","1.11","-2.11","1,205,052.19","0.38","40.24","4.86","27.72","-0.10","0.70","-0.06","33.50","52.32","3,246,386,800.00","27.42","-7.83","28.53","20.37","34.66","20.37","34.66","-38.96","6.33","28.07","27.24","26.40","1.32","","","65.60","136.70","","8.07","36.13","37.98","-0.23","-0.03","-0.19","-1.02","0.52","1.64","82.62","-82.62","-46.51","-0.20","30.00","132.51","-21.22","-12.16","1.00","29.00","23.00","60,238,060.83","0.13","-1.82","-0.23","-1.68","104.69","","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.02","28.56","3,021,270,800.00","130.62","","29.33","27.93","26.54","-1.24","27.73","27.93","24.24","27.93","47.03","-0.49","27.74","25.82","0","-0.23","-0.05","-0.18","26.35","-0.04","0.07","28.01","27.42","-25,842,179.43","-13,861,205.22","-11,980,974.22","30.76","27.46","24.16","36.52","27.42","28.00","28.33","26.87","31.61","20.20","28.69","0.70","29.32","27.92","26.52","26.83","27.11","27.36","27.46","27.54","27.64","27.77","27.73","27.68","27.60","27.52","27.34","0.32","0.12","-0.02","0","28.69","26.57","-0.72","-1.42","-37,610,466.81","-0.58","0.04","-0.04","2.67","29.02","27.69","26.35","-4.07","-0.80","","","-2.15","-167.07","46.08","","-62.66","-3.21","-4.47","-0.23","-5.56","-5.54","8.88","28.97","27.73","26.50","2.49","1.33","-0.14","-0.96","0.65","28.42","28.65","24.48","-35.71","64.29","100.00","28.02","28.14","28.13","13.91","34.97","26.12","1,033.82","1.68"
"2015-01-06T23:00:00.000Z","26.94","1.40","1.41","160,423,600","41.16","28.94","27.68","26.41","2.05","27.95","27.95","27.95","","-69.23","27.72","0.93","1.03","-34.03","-1,670,237.61","0.37","41.32","4.27","27.72","-0.07","0.48","-0.08","18.71","45.60","3,085,963,200.00","27.08","45.93","28.53","18.61","23.38","18.61","23.38","-43.88","-2.80","27.82","27.00","26.18","1.28","","","71.57","135.86","","4.26","41.16","43.81","-0.29","-0.14","-0.15","-1.01","1.27","1.19","66.82","-66.82","-13.77","-0.17","35.00","129.08","-23.84","-14.36","1.00","29.00","23.00","62,487,550.92","0.13","0.94","-0.26","-1.19","104.69","","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.02","28.42","3,181,694,400.00","132.45","","29.34","27.95","26.55","-0.76","27.68","27.95","24.28","27.95","54.60","0.25","27.72","25.41","0","-0.26","-0.09","-0.17","26.16","-0.10","0.37","28.44","27.08","-20,915,066.43","-14,868,899.67","-6,046,166.75","30.58","27.37","24.15","40.15","27.42","27.98","28.53","26.87","31.77","20.95","28.69","0.38","29.09","27.71","26.32","26.88","27.05","27.26","27.37","27.45","27.55","27.71","27.69","27.64","27.58","27.50","27.33","0.35","0.13","-0.18","0","28.69","26.57","-0.44","-0.81","-23,700,727.93","-0.95","-0.58","-0.03","2.56","28.71","27.43","26.16","-2.79","-0.33","","","-2.31","-102.59","43.84","","-40.77","-0.53","-14.07","-0.19","-5.56","-5.55","9.15","28.94","27.68","26.41","20.80","1.28","-0.12","-1.18","0.64","28.42","28.90","24.98","-35.71","57.14","92.86","28.02","28.16","27.97","15.32","33.07","26.87","1,079.74","2.05"
"2015-01-07T23:00:00.000Z","27.97","3.84","3.85","237,458,000","52.38","28.86","27.65","26.44","3.09","27.98","27.98","27.98","","-28.40","27.76","0.95","0.91","11.14","2,241,270.80","0.35","49.39","3.73","27.76","-0.02","1.10","-0.09","11.57","38.79","3,323,421,200.00","27.10","151.83","28.53","39.48","26.15","39.48","26.15","-22.07","-6.30","27.94","27.07","26.21","1.27","","","103.18","125.28","","52.13","52.38","48.91","-0.28","-0.23","-0.04","0.11","2.81","0.87","43.03","-43.03","43.16","-0.14","35.00","130.34","-22.34","-15.88","1.00","29.00","23.00","71,611,225.86","0.14","2.27","-0.20","0.31","108.71","","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.04","28.28","3,419,152,400.00","132.45","","29.38","27.98","26.58","0.27","27.65","27.98","24.32","27.98","55.09","0.62","27.76","25.17","0","-0.20","-0.11","-0.09","26.16","-0.10","0.41","28.51","27.10","-14,741,994.77","-14,850,770.40","108,775.63","30.92","27.48","24.03","37.16","27.42","27.73","28.46","26.87","31.96","29.14","28.69","0.86","28.89","27.51","26.14","27.43","27.36","27.42","27.48","27.53","27.60","27.73","27.70","27.66","27.59","27.52","27.35","0.35","0.08","-0.40","-1.00","28.69","26.16","0.48","-0.38","14,794,946.60","-0.86","-0.95","-0.01","2.56","28.71","27.43","26.16","0.79","0.75","","","-1.75","5.21","45.35","","-0.78","3.13","-6.15","-0.19","-5.55","-5.56","8.77","28.86","27.65","26.44","63.35","1.40","-0.12","-1.21","0.67","28.42","30.20","25.74","-35.71","50.00","85.71","28.04","28.13","27.73","24.06","29.18","25.64","1,231.58","3.09"
"2015-01-08T23:00:00.000Z","28.00","0.11","0.11","214,798,000","52.66","28.86","27.65","26.44","3.54","28.01","28.01","28.01","","-27.22","27.75","0.92","0.94","-8.99","3,472,666.05","0.34","50.22","3.68","27.76","-0.01","0.76","-0.10","11.32","33.30","3,538,219,200.00","27.22","5.16","28.53","58.38","38.82","58.38","38.82","0.52","-5.06","28.08","27.21","26.34","1.25","","","107.40","126.04","","76.06","52.66","53.46","-0.21","-0.26","0.05","1.00","1.63","0.56","56.50","-56.50","39.21","-0.17","40.00","131.02","-21.22","-16.96","1.00","29.00","23.00","71,841,598.10","0.14","-0.57","-0.15","0.36","108.71","101.71","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.05","26.16","3,633,950,400.00","132.59","116.91","29.41","28.01","26.61","0.32","27.65","28.01","24.37","28.01","54.71","-0.16","27.76","25.14","0","-0.15","-0.12","-0.03","26.16","-0.08","0.27","28.35","27.22","-9,585,024.53","-14,098,520.99","4,513,496.46","31.05","27.57","24.09","39.99","27.42","27.73","28.47","26.87","32.18","29.06","28.69","0.76","28.73","27.36","25.99","27.72","27.57","27.55","27.57","27.60","27.65","27.75","27.72","27.67","27.61","27.54","27.37","0.35","0.06","-0.54","0","28.69","26.16","0.69","-0.07","13,601,966.72","-0.54","-0.86","-0.01","2.56","28.71","27.43","26.16","0.94","0.75","","","-1.69","36.76","45.12","","-14.67","2.80","5.00","-0.14","-5.53","-5.55","8.78","28.86","27.65","26.44","64.55","1.37","-0.16","-1.07","0.68","28.42","30.24","25.76","-35.71","42.86","78.57","28.08","28.03","27.48","25.04","26.84","24.06","1,236.74","3.54"
"2015-01-11T23:00:00.000Z","27.31","-2.46","-2.46","198,603,200","45.93","28.84","27.62","26.40","2.69","28.02","28.02","28.02","","-54.44","27.71","0.86","0.98","-43.85","3,105,966.99","0.30","48.90","3.72","27.72","-0.04","0.96","-0.10","10.94","28.83","3,339,616,000.00","27.14","-92.40","28.53","63.31","53.73","63.31","53.73","3.59","-3.49","28.25","27.36","26.46","1.27","","","93.12","137.94","","62.92","45.93","49.18","-0.19","-0.24","0.05","0.69","1.31","1.46","44.52","-44.52","-1.53","-0.24","40.00","126.60","-24.68","-18.35","1.00","29.00","23.00","66,947,881.06","0.13","-2.26","-0.16","-0.52","108.71","101.74","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.03","26.20","3,435,347,200.00","129.33","117.02","29.42","28.02","26.62","-0.30","27.62","28.02","24.41","28.02","43.47","-0.63","27.73","25.23","0","-0.16","-0.13","-0.03","26.16","-0.09","0.30","28.34","27.14","-13,735,427.26","-14,046,650.46","311,223.20","31.13","27.53","23.92","35.88","27.32","27.73","28.51","26.87","32.11","29.64","28.69","0.96","28.61","27.25","25.89","27.51","27.49","27.50","27.53","27.56","27.61","27.72","27.70","27.65","27.60","27.53","27.37","0.35","0.23","-0.51","0","28.69","26.16","0.58","-0.38","-7,917,787.67","-0.30","-0.54","-0.02","2.53","28.69","27.42","26.16","-1.39","-0.01","","","-2.38","-12.62","47.60","","-28.80","0.64","10.98","-0.15","-5.52","-5.53","8.81","28.84","27.62","26.40","37.37","1.43","-0.21","-0.85","0.70","28.42","29.68","24.95","-35.71","35.71","71.43","28.10","27.87","27.36","22.58","27.82","23.08","1,144.33","2.69"
"2015-01-12T23:00:00.000Z","27.56","0.89","0.89","268,367,600","48.43","28.84","27.63","26.41","3.02","28.03","28.03","28.03","","-44.87","27.67","0.86","0.99","48.54","8,348,522.80","0.30","46.72","3.76","27.68","-0.06","0.97","-0.10","11.92","25.45","3,071,248,400.00","27.18","-8.87","28.53","57.82","59.84","57.82","59.84","8.31","-1.34","28.48","27.56","26.63","1.23","","","100.40","135.73","","43.80","48.43","52.67","-0.23","-0.22","-0.01","0.72","1.14","0.97","44.55","-44.55","8.59","-0.20","45.00","124.02","-26.78","-20.10","1.00","29.00","23.00","69,330,644.44","0.14","-2.41","-0.15","-0.12","109.68","101.78","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.04","26.24","3,703,714,800.00","129.33","117.14","29.43","28.03","26.63","-0.02","27.63","28.03","24.45","28.03","45.38","-0.68","27.70","25.42","0","-0.15","-0.13","-0.02","26.16","-0.07","0.22","28.19","27.18","-7,474,357.02","-13,107,751.40","5,633,394.37","31.27","27.53","23.80","35.23","27.23","27.59","28.54","26.87","32.38","30.27","28.69","0.97","28.60","27.24","25.88","27.53","27.51","27.51","27.53","27.56","27.60","27.71","27.69","27.65","27.60","27.53","27.37","0.35","0.38","-0.29","1.00","28.31","26.16","0.63","-0.35","2,510,356.98","-0.05","-0.30","-0.02","2.53","28.69","27.42","26.16","-0.34","0.11","","","-3.14","0.95","49.85","","-14.59","1.37","14.86","-0.12","-5.50","-5.52","8.78","28.84","27.63","26.41","47.08","1.45","-0.26","-0.57","0.72","28.42","30.03","25.08","-35.71","28.57","64.29","28.08","27.70","27.41","20.81","25.12","22.10","1,135.46","3.02"
"2015-01-13T23:00:00.000Z","27.45","-0.38","-0.38","195,826,400","47.41","28.83","27.65","26.46","2.85","28.04","28.04","28.04","","-49.01","27.62","0.85","1.05","88.09","6,574,036.06","0.31","50.90","3.83","27.62","-0.04","0.50","-0.10","15.95","23.55","2,875,422,000.00","27.20","-6.42","28.53","50.56","57.23","50.56","57.23","12.20","1.12","28.56","27.66","26.76","1.21","","","97.09","130.33","","27.96","47.41","49.40","-0.28","-0.22","-0.06","0.68","0.72","1.11","31.91","-31.91","-3.31","-0.11","45.00","120.89","-29.08","-22.11","1.00","29.00","23.00","68,584,439.32","0.14","-2.43","-0.15","-0.20","109.68","101.83","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.04","26.28","3,507,888,400.00","128.83","117.25","29.44","28.04","26.64","-0.04","27.65","28.04","24.49","28.04","43.84","-0.68","27.64","25.46","0","-0.15","-0.14","-0.01","26.16","-0.06","0.17","28.06","27.20","-11,713,654.68","-12,908,594.72","1,194,940.04","31.13","27.52","23.91","40.66","27.23","27.43","28.54","26.87","33.25","29.90","28.69","0.50","28.67","27.31","25.94","27.49","27.49","27.50","27.52","27.54","27.58","27.69","27.68","27.64","27.59","27.53","27.38","0.35","0.43","-0.08","0","28.31","26.16","0.07","-0.43","-785,648.64","0.12","-0.05","-0.03","2.53","28.69","27.42","26.16","-0.54","-0.04","","","-3.80","-36.78","50.96","","-4.13","0.92","10.46","-0.09","-5.48","-5.50","8.60","28.83","27.65","26.46","41.77","1.43","-0.18","-0.41","0.70","28.42","29.73","25.17","-35.71","21.43","57.14","28.03","27.59","27.51","19.75","24.89","21.35","1,129.04","2.85"
"2015-01-14T23:00:00.000Z","26.70","-2.71","-2.71","240,056,000","40.83","28.83","27.65","26.46","2.04","28.03","28.03","28.03","","-78.40","27.54","0.82","1.04","314.47","8,637,138.07","0.26","45.46","4.13","27.55","-0.09","0.85","-0.11","17.88","22.41","2,635,366,000.00","27.02","-95.77","28.53","42.57","50.32","42.57","50.32","-1.16","0.71","28.32","27.41","26.49","1.27","1.07","1.07","99.44","136.28","249,646,816.00","16.90","40.83","46.16","-0.29","-0.25","-0.04","0.03","0.78","1.92","38.07","-38.07","-51.72","-0.15","45.00","117.04","-31.70","-24.26","1.00","29.00","23.00","62,069,251.11","0.13","-4.63","-0.20","-1.06","106.70","101.86","27.99","29.42","26.17","31.24","24.74","32.66","22.92","1.02","26.32","3,267,832,400.00","128.83","117.37","29.43","28.03","26.63","-0.64","27.65","28.03","24.53","28.03","41.05","-1.30","27.57","25.36","0","-0.20","-0.15","-0.05","26.16","-0.07","0.22","28.06","27.02","-16,491,826.63","-13,420,485.00","-3,071,341.63","31.04","27.37","23.69","35.22","27.23","27.43","28.62","26.87","33.04","31.31","28.69","0.85","28.75","27.38","26.01","27.10","27.23","27.32","27.37","27.41","27.47","27.63","27.62","27.59","27.55","27.49","27.36","0.35","0.33","-0.05","0","28.31","26.16","0.08","-0.77","-26,222,259.04","0.09","0.12","-0.03","2.53","28.69","27.42","26.16","-2.91","-0.92","","","-4.99","-97.95","53.50","1.82","-15.72","-1.19","10.69","-0.10","-5.49","-5.49","8.58","28.83","27.65","26.46","10.30","1.49","-0.19","-0.43","0.71","28.42","29.04","24.37","-35.71","14.29","50.00","27.93","27.60","27.55","18.06","27.39","21.29","1,033.26","2.04"
