"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2018-01-01T23:00:00.000Z","43.06","1.79","1.80","102,223,600","51.91","44.11","42.99","41.87","13.17","42.56","42.56","42.56","44.15","-61.90","43.19","0.99","0.84","-27.55","-4,908,105.21","0.13","0.28","46.23","2.14","43.19","0.07","0.77","0.06","34.61","62.57","13,810,732,000.00","42.89","85.38","42.14","23.52","23.51","23.52","23.51","-51.35","-4.24","43.48","42.69","41.90","1.01","","","70.21","84.63","","8.87","51.91","52.07","0.12","0.12","-0.01","1.85","1.66","1.33","39.16","-39.16","12.20","0.06","50.00","101.13","8.84","17.33","-1.00","47.00","41.00","62,353,293.31","0.16","-0.24","0.10","-0.23","126.46","","42.74","43.87","41.18","45.43","40.06","46.55","38.50","1.00","44.11","2,525,627,600.00","117.28","","44.69","42.56","40.44","-0.17","42.99","42.56","39.02","42.56","51.22","-0.10","43.18","24.52","0.01","0.10","0.22","-0.12","42.20","-0.05","0.15","43.56","42.89","-2,121,525.90","-992,773.99","-1,128,751.91","45.94","42.98","40.03","61.69","43.16","42.96","42.19","40.68","38.79","18.90","44.30","0.76","45.35","43.19","41.03","42.82","42.86","42.95","42.98","43.00","43.01","42.83","42.73","42.61","42.48","42.36","42.10","0.28","0.47","-0.13","0","44.01","42.42","0.06","-0.70","-934,361.94","-1.19","-0.86","0.02","2.68","44.30","42.96","41.62","-0.31","-0.23","","","1.41","-23.48","49.86","","-33.12","0.41","-7.53","0","-5.53","-5.53","5.21","44.11","42.99","41.87","53.44","1.99","0.03","-0.34","0.60","42.15","44.78","41.35","35.71","35.71","0","42.82","43.29","43.16","25.75","27.20","13.61","1,879.08","13.17"
"2018-01-02T23:00:00.000Z","43.06","-0.02","-0.01","118,071,600","51.82","44.11","43.02","41.93","12.59","42.64","42.64","42.64","","-62.28","43.21","1.00","0.77","52.08","-2,975,797.75","0.14","0.31","41.90","2.17","43.21","0.02","0.65","0.05","18.83","53.82","13,928,803,600.00","42.81","6.34","42.14","27.02","22.84","27.02","22.84","-42.04","-11.11","43.56","42.77","41.98","1.00","","","75.29","90.38","","4.44","51.82","48.48","0.11","0.11","0","1.94","1.72","0.71","27.92","-27.92","16.41","0.06","50.00","98.81","5.97","15.63","-1.00","47.00","41.00","62,332,731.34","0.16","0.31","0.09","-0.26","126.44","","42.74","43.87","41.18","45.43","40.06","46.55","38.50","1.00","44.04","2,407,556,000.00","117.28","","44.78","42.64","40.51","-0.18","43.02","42.64","39.06","42.64","52.63","0.13","43.21","24.70","0.01","0.09","0.19","-0.10","42.31","-0.06","0.24","43.67","42.81","458,648.32","-785,427.94","1,244,076.26","45.98","43.00","40.02","70.65","43.16","42.96","42.20","40.68","39.10","17.20","44.30","0.65","45.18","43.02","40.87","42.94","42.93","42.97","43.00","43.01","43.02","42.85","42.74","42.63","42.51","42.39","42.14","0.26","0.33","-0.12","-1.00","44.01","42.31","0.62","-0.03","-927,381.80","-0.93","-1.19","0.04","2.68","44.30","42.96","41.62","-0.35","-0.26","","","0.79","32.17","51.58","","-21.57","0.57","2.50","0.01","-5.52","-5.53","5.07","44.11","43.02","41.93","51.79","1.72","0.06","-0.20","0.61","42.15","44.82","41.30","-57.14","28.57","85.71","42.88","43.21","43.09","30.40","25.13","13.32","1,885.42","12.59"
"2018-01-03T23:00:00.000Z","43.26","0.46","0.48","89,738,400","53.99","44.12","43.06","42.00","12.83","42.73","42.73","42.73","","-52.26","43.21","1.00","0.84","-5.81","-3,688,167.72","0.12","0.32","43.20","2.20","43.21","0.04","0.35","0.05","1.26","43.31","14,018,542,000.00","42.80","20.53","42.14","41.19","30.57","41.19","30.57","-27.02","-14.01","43.66","42.89","42.12","1.00","","","82.07","88.10","","2.22","53.99","51.87","0.11","0.11","-0.01","2.11","1.05","0.95","32.18","-32.18","27.39","0.05","55.00","98.40","5.06","13.70","-1.00","47.00","43.00","62,749,563.46","0.16","0.44","0.11","0.06","126.44","","42.74","43.87","41.18","45.43","40.06","46.55","38.50","1.00","43.97","2,497,294,400.00","117.82","","44.86","42.73","40.59","0.04","43.06","42.73","39.10","42.73","46.09","0.19","43.21","24.69","0","0.11","0.18","-0.07","42.31","-0.06","0.27","43.71","42.80","-1,649,506.86","-908,867.79","-740,639.07","45.90","43.05","40.19","70.49","43.16","42.96","42.21","40.68","40.68","16.88","44.30","0.35","45.07","42.93","40.78","43.10","43.04","43.04","43.05","43.05","43.05","42.87","42.77","42.66","42.54","42.42","42.17","0.26","0.18","-0.16","0","44.01","42.31","0.32","-0.03","1,769,065.38","-0.65","-0.93","0.03","2.68","44.30","42.96","41.62","0.08","-0.21","","","0.13","25.70","51.03","","-11.66","1.05","6.58","0.04","-5.51","-5.52","4.92","44.12","43.06","42.00","59.29","1.87","0.09","-0.08","0.59","42.15","44.88","41.64","-57.14","21.43","78.57","42.95","43.13","42.97","29.12","24.07","13.05","1,905.95","12.83"
"2018-01-04T23:00:00.000Z","43.75","1.14","1.15","94,640,000","58.89","44.17","43.14","42.10","13.32","42.82","42.82","42.82","","-27.57","43.26","1.04","0.77","15.55","-3,813,251.11","0.12","0.30","53.76","2.19","43.25","0.06","0.58","0.04","19.14","38.48","14,113,182,000.00","42.92","68.52","42.14","52.63","40.28","52.63","40.28","0.08","-11.45","43.86","43.09","42.32","1.03","","","93.12","81.75","","2.33","58.89","55.17","0.12","0.11","0.01","2.61","2.37","0.53","53.84","-53.84","51.64","0.09","60.00","99.13","5.15","11.79","-1.00","47.00","43.00","63,827,069.77","0.16","1.61","0.15","0.85","127.88","","42.74","43.87","41.18","45.43","40.06","46.55","38.50","1.00","43.91","2,591,934,400.00","117.82","","44.96","42.82","40.68","0.56","43.14","42.82","39.14","42.82","52.35","0.69","43.24","24.44","0.01","0.15","0.17","-0.02","42.31","-0.05","0.18","43.69","42.92","388,124.93","-723,583.12","1,111,708.05","46.04","43.17","40.31","70.58","43.08","42.96","42.21","40.68","41.08","17.85","44.30","0.58","45.04","42.90","40.75","43.42","43.27","43.20","43.17","43.16","43.14","42.93","42.83","42.71","42.59","42.47","42.22","0.26","0.07","-0.17","0","44.01","42.31","0.69","0.11","8,174,945.88","-0.23","-0.65","0.05","2.68","44.30","42.96","41.62","1.10","0.13","","","0.22","79.18","52.08","","-0.08","1.91","2.80","0.05","-5.50","-5.51","4.78","44.17","43.14","42.10","79.79","1.89","0.15","0.04","0.59","42.15","45.40","42.10","-57.14","14.29","71.43","43.01","43.09","42.91","32.82","22.36","13.47","1,974.47","13.32"
"2018-01-07T23:00:00.000Z","43.59","-0.37","-0.36","82,271,200","56.74","44.18","43.20","42.22","13.00","42.91","42.91","42.91","","-35.71","43.27","1.05","0.81","-48.80","-4,854,479.96","0.12","0.30","49.35","2.21","43.27","0.04","0.42","0.04","33.44","37.47","14,195,453,200.00","43.03","-3.36","42.14","61.49","51.77","61.49","51.77","21.29","-5.49","44.10","43.34","42.59","1.04","","","113.39","79.71","","3.12","56.74","51.51","0.16","0.12","0.03","2.70","1.35","0.62","61.99","-61.99","27.78","0.10","55.00","99.21","4.60","9.85","-1.00","47.00","43.00","63,521,493.90","0.16","0.22","0.18","0.57","127.88","120.54","42.74","43.87","41.18","45.43","40.06","46.55","38.50","1.00","42.31","2,509,663,200.00","117.38","107.76","45.05","42.91","40.76","0.41","43.20","42.91","39.18","42.91","49.58","0.10","43.26","24.17","0.01","0.18","0.17","0","42.31","-0.04","0.09","43.57","43.03","1,974,868.68","-338,090.00","2,312,958.68","46.04","43.25","40.46","70.05","43.10","42.96","42.14","40.68","41.84","17.84","44.30","0.42","45.08","42.93","40.79","43.51","43.38","43.28","43.25","43.22","43.19","42.97","42.87","42.76","42.64","42.52","42.27","0.26","0.03","-0.02","0","44.01","42.31","0.69","0.27","5,097,247.26","0.28","-0.23","0.05","2.10","44.30","43.25","42.20","0.71","-0.16","","","0.05","77.69","51.75","","-4.97","1.28","3.31","0.05","-5.49","-5.50","4.53","44.18","43.20","42.22","69.86","1.89","0.14","0.25","0.58","42.15","45.16","42.02","-57.14","7.14","64.29","42.98","43.01","42.99","31.85","21.20","13.94","1,971.11","13.00"
"2018-01-08T23:00:00.000Z","43.58","-0.01","0","86,336,000","56.68","44.17","43.26","42.35","12.82","42.99","42.99","42.99","","-24.85","43.24","0.98","0.90","-26.64","-5,290,678.29","0.09","0.31","49.36","2.21","43.24","0.05","0.41","0.05","49.35","39.85","14,281,789,200.00","43.22","-1.85","42.14","70.62","61.58","70.62","61.58","36.12","2.07","44.19","43.45","42.71","0.95","","","106.30","88.26","","6.67","56.68","48.23","0.18","0.14","0.04","2.75","1.17","1.31","49.69","-49.69","17.17","0.08","50.00","98.98","3.65","8.18","-1.00","47.00","43.00","63,511,588.02","0.16","-1.18","0.19","0.65","127.86","120.65","42.74","43.87","41.18","45.43","40.06","46.55","38.50","0.99","42.34","2,423,327,200.00","117.38","107.83","45.14","42.99","40.84","0.40","43.26","42.99","39.22","42.99","41.70","-0.52","43.23","23.92","0","0.19","0.18","0.02","42.31","0","0","43.26","43.22","-199,531.58","-318,295.94","118,764.36","46.02","43.31","40.59","74.21","43.10","42.96","42.14","40.68","43.25","17.84","44.30","0.41","45.19","43.04","40.89","43.54","43.45","43.35","43.31","43.28","43.24","43.01","42.91","42.80","42.68","42.56","42.31","0.26","0.02","-0.06","0","44.01","42.31","0.50","0.09","4,307,387.33","0.70","0.28","0.02","2.10","44.30","43.25","42.20","0.79","-0.31","","","-0.34","56.39","55.85","","42.44","0.82","-2.85","0.08","-5.47","-5.49","4.20","44.17","43.26","42.35","67.71","1.98","0.08","0.40","0.56","42.15","45.08","42.08","-57.14","0","57.14","42.95","42.97","43.03","30.19","21.73","14.11","1,969.26","12.82"
"2018-01-09T23:00:00.000Z","43.57","-0.02","-0.01","95,839,600","56.53","44.20","43.28","42.36","12.81","43.05","43.05","43.05","","-25.44","43.23","1.03","0.89","-12.67","-4,814,014.56","0.13","0.35","57.24","2.20","43.22","0.09","0.33","0.05","83.82","48.64","14,377,628,800.00","43.36","11.41","42.14","71.33","67.81","71.33","67.81","45.48","9.97","44.27","43.55","42.83","0.94","","","115.92","90.11","","14.33","56.53","45.14","0.19","0.16","0.02","2.76","0.97","1.25","34.67","-34.67","8.58","0.11","45.00","100.10","3.97","6.88","-1.00","47.00","43.00","63,489,592.94","0.16","-0.14","0.20","0.67","127.83","120.75","42.74","43.87","41.18","45.43","40.06","46.55","38.50","0.99","42.37","2,327,487,600.00","117.38","107.90","45.20","43.05","40.90","0.41","43.28","43.05","39.27","43.05","42.16","-0.06","43.21","23.69","0","0.20","0.18","0.02","42.31","0.02","0.03","43.09","43.36","-2,379,702.16","-612,782.55","-1,766,919.62","45.97","43.36","40.75","69.50","43.10","42.96","42.23","40.68","43.11","11.86","44.01","0.33","45.34","43.18","41.02","43.56","43.49","43.40","43.36","43.32","43.28","43.05","42.95","42.83","42.72","42.60","42.35","0.20","0.07","-0.12","1.00","43.90","42.31","0.27","-0.06","3,555,103.32","0.92","0.70","0.02","2.10","44.30","43.25","42.20","0.77","-0.40","","","-0.41","34.50","54.55","","41.60","0.48","-2.73","0.07","-5.47","-5.48","4.24","44.20","43.28","42.36","65.89","1.81","0.17","0.39","0.55","42.15","44.97","42.17","-35.71","14.29","50.00","42.94","43.01","43.14","28.88","22.13","14.05","1,980.66","12.81"
"2018-01-10T23:00:00.000Z","43.82","0.57","0.58","74,670,800","59.34","44.26","43.33","42.39","13.06","43.09","43.09","43.09","","-10.88","43.24","1.11","0.86","-20.48","-6,074,378.70","0.07","0.37","53.31","2.17","43.23","0.11","0.30","0.05","93.10","57.53","14,452,299,600.00","43.56","35.10","42.35","79.61","73.85","79.61","73.85","58.75","18.83","44.36","43.66","42.97","0.97","","","122.70","78.69","","50.37","59.34","48.71","0.20","0.18","0.01","2.81","1.87","0.42","25.91","-25.91","18.05","0.17","50.00","102.72","5.63","5.96","-1.00","47.00","43.00","63,913,739.51","0.16","0.53","0.23","1.20","127.83","120.86","42.74","43.87","41.18","45.43","40.06","46.55","38.50","0.99","42.40","2,402,158,400.00","118.05","107.97","45.25","43.09","40.94","0.65","43.33","43.09","39.31","43.09","48.70","0.23","43.22","23.43","0","0.23","0.19","0.04","42.31","0.05","0.15","42.90","43.56","-703,226.84","-625,703.16","-77,523.68","45.94","43.44","40.94","73.51","43.10","42.96","42.35","40.68","42.96","11.92","44.01","0.25","45.50","43.33","41.16","43.69","43.60","43.49","43.44","43.40","43.35","43.10","42.99","42.88","42.76","42.64","42.40","0.20","0.13","-0.21","0","43.90","42.31","0.49","0.24","5,687,392.21","1.28","0.92","0.03","1.99","44.30","43.30","42.31","1.31","-0.19","","","0.26","79.90","53.25","","44.78","0.58","-4.76","0.11","-5.47","-5.47","4.30","44.26","43.33","42.39","76.55","1.69","0.23","0.48","0.53","42.15","45.12","42.52","-35.71","7.14","42.86","42.90","43.04","43.25","31.72","21.23","14.46","2,015.76","13.06"
"2018-01-11T23:00:00.000Z","44.27","1.03","1.04","101,672,400","63.93","44.40","43.39","42.38","13.51","43.13","43.13","43.13","","-3.32","43.27","1.11","0.81","21.33","-4,838,646.01","0.14","0.36","63.07","2.16","43.26","0.14","0.52","0.06","100.00","66.03","14,553,972,000.00","43.90","61.31","42.71","86.79","79.24","86.79","79.24","72.14","28.53","44.46","43.77","43.07","1.08","0.92","0.92","135.06","72.36","186,756,468.00","75.18","63.93","52.43","0.23","0.20","0.03","3.11","2.44","0.05","29.67","-29.67","30.18","0.13","50.00","105.82","7.94","5.65","-1.00","47.00","43.00","64,963,641.36","0.16","1.19","0.28","2.05","129.15","120.96","42.74","43.87","41.18","45.43","40.06","46.55","38.50","1.00","42.43","2,503,830,800.00","118.05","108.04","45.29","43.13","40.97","0.96","43.39","43.13","39.35","43.13","49.45","0.52","43.25","23.20","0","0.28","0.21","0.07","42.31","0.09","0.48","42.59","43.90","1,401,038.02","-336,168.70","1,737,206.73","46.10","43.59","41.08","76.49","43.33","42.98","42.66","40.68","42.77","12.45","44.01","0.43","45.65","43.48","41.30","43.98","43.82","43.67","43.59","43.53","43.47","43.17","43.07","42.95","42.83","42.71","42.46","0.20","0.21","-0.21","-1.00","43.90","43.25","0.83","0.40","11,447,293.17","1.70","1.28","0.04","1.99","44.30","43.30","42.31","2.26","0.30","","","1.17","132.21","46.65","2.06","84.15","0.85","-5.61","0.17","-5.47","-5.47","4.65","44.40","43.39","42.38","93.92","1.75","0.24","0.58","0.53","42.15","45.63","42.92","64.29","100.00","35.71","42.89","43.10","43.31","35.80","19.75","15.49","2,077.07","13.51"
"2018-01-15T23:00:00.000Z","44.05","-0.51","-0.50","118,263,600","60.29","44.47","43.44","42.40","12.71","43.18","43.18","43.18","","-31.47","43.31","1.10","0.74","80.84","-2,491,823.57","0.09","0.43","52.00","2.16","43.30","0.07","0.81","0.07","100.00","72.82","14,672,235,600.00","44.16","-25.26","42.88","84.78","83.72","84.78","83.72","63.46","34.88","44.58","43.86","43.14","1.13","","","161.10","87.38","","87.59","60.29","49.57","0.25","0.21","0.04","3.23","2.40","0.59","48.80","-48.80","19.67","0.09","50.00","109.03","10.68","5.85","-1.00","47.00","43.00","64,362,610.70","0.16","0.67","0.30","1.40","128.50","121.06","42.74","43.87","41.18","45.43","40.06","46.55","38.50","0.99","42.51","2,385,567,200.00","118.05","108.11","45.34","43.18","41.02","0.62","43.44","43.18","39.39","43.18","56.39","0.30","43.30","23.25","0.01","0.30","0.23","0.07","42.31","0.13","0.86","42.34","44.16","3,666,867.73","235,693.64","3,431,174.09","46.34","43.68","41.01","68.83","43.92","43.52","42.72","40.68","43.13","10.99","44.34","0.81","45.79","43.60","41.42","44.01","43.90","43.75","43.68","43.61","43.54","43.23","43.12","43.00","42.88","42.76","42.51","0.27","0.25","-0.16","0","43.90","43.25","1.26","0.45","6,010,661.36","2.12","1.70","0.05","2.03","44.34","43.32","42.31","1.70","0.13","","","1.77","137.77","41.25","","54.51","-0.25","9.06","0.12","-5.48","-5.47","4.77","44.47","43.44","42.40","79.52","1.88","0.18","0.71","0.55","42.59","45.62","42.48","71.43","100.00","28.57","42.92","43.17","43.33","38.62","17.66","17.04","2,051.81","12.71"
