"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","182.01","2.50","2.61","104,487,900","66.60","183.63","175.49","167.35","48.89","162.75","162.75","162.75","182.01","-5.64","176.18","1.01","0.97","-31.81","-8,067,848.82","0.13","0.36","57.33","2.67","176.13","0.12","5.31","0.45","100.00","96.85","108,743,600.00","180.07","632.85","168.93","78.83","77.22","78.83","77.22","62.65","41.99","184.59","179.29","173.99","7.22","","","169.79","82.71","","79.95","66.60","52.94","0.17","0.12","0.05","8.64","2.85","0.91","14.02","-14.02","25.96","0.98","55.00","228.35","109.09","118.01","1.00","191.00","173.00","17,255,096.60","0.38","3.57","4.82","1.48","89.31","","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.12","169.77","382,365,800.00","155.56","","170.89","162.75","154.61","5.77","175.49","162.75","144.26","162.75","45.58","6.27","176.04","25.73","0.05","4.82","4.98","-0.16","167.46","0.58","0.41","172.00","180.07","-508,215.39","1,230,214.51","-1,738,429.90","197.67","177.70","157.73","64.07","176.00","169.62","156.32","151.99","176.28","19.47","182.13","5.17","186.73","177.84","168.95","180.04","179.28","178.33","177.70","177.06","176.05","170.94","169.43","168.04","166.77","165.61","163.54","1.02","5.56","-3.86","0","181.33","167.46","6.15","0.98","80,544,005.92","2.02","1.73","1.47","22.41","182.13","170.93","159.72","3.23","5.54","","5.91","116.19","50.93","","68.26","1.07","-7.09","0.10","-5.45","-5.45","9.27","183.63","175.49","167.35","90.07","1.50","0.18","10.89","4.08","167.76","192.74","171.28","64.29","100.00","35.71","166.79","172.34","176.20","37.40","11.95","41.51","8,489.34","48.89"
"2022-01-03T23:00:00.000Z","179.70","-1.27","-1.16","99,310,400","61.90","183.06","176.21","169.35","45.65","163.37","163.37","163.37","","-20.93","176.59","1.09","0.89","-28.75","-6,703,911.55","0.16","0.35","52.53","2.58","176.55","0.08","3.82","0.44","100.00","97.48","9,433,200.00","180.65","-162.17","169.65","80.78","78.02","80.78","78.02","62.62","45.74","184.65","179.37","174.10","7.33","","","187.52","81.90","","83.01","61.90","50.32","0.24","0.16","0.08","8.61","1.52","0.71","23.21","-23.21","4.26","0.29","50.00","228.72","108.13","115.98","-1.00","191.00","179.00","15,994,688.99","0.38","3.08","4.67","0.78","89.31","","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.11","170.56","283,055,400.00","153.58","","171.54","163.37","155.20","2.84","176.21","163.37","144.55","163.37","46.78","5.37","176.47","25.63","0.04","4.67","4.92","-0.25","167.46","0.61","0.45","172.15","180.65","-2,990,807.80","627,211.32","-3,618,019.12","197.95","178.06","158.18","59.32","177.54","170.37","156.79","151.99","172.12","20.43","182.88","3.82","187.50","178.57","169.64","179.87","179.42","178.63","178.06","177.46","176.50","171.50","170.00","168.61","167.33","166.16","164.07","1.04","5.95","-3.54","-1.00","181.33","177.26","5.79","1.97","36,265,322.00","2.38","2.02","2.77","18.60","182.88","173.58","164.28","1.70","3.75","","6.11","104.23","49.67","","39.40","-0.53","-5.32","0.08","-5.47","-5.46","7.78","183.06","176.21","169.35","75.46","1.53","0.14","10.22","4.06","169.99","190.57","168.83","71.43","100.00","28.57","167.34","173.29","176.83","34.99","11.14","42.24","8,327.17","45.65"
"2022-01-04T23:00:00.000Z","174.92","-2.66","-2.55","94,537,600","53.49","182.89","176.40","169.91","40.40","163.89","163.89","163.89","","-51.81","176.49","1.02","0.97","-27.87","-5,939,638.05","0.14","0.33","38.71","2.78","176.52","0.03","5.53","0.42","93.17","96.62","-85,104,400.00","180.56","-634.87","169.65","73.87","77.83","73.87","77.83","40.24","44.74","183.88","178.48","173.08","7.23","","","150.69","90.50","","41.51","53.49","48.13","0.23","0.19","0.03","7.99","1.17","2.17","33.74","-33.74","-57.63","-0.35","45.00","225.25","103.45","113.79","-1.00","181.00","173.00","13,479,999.95","0.37","-2.44","4.12","-0.36","89.31","","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.10","171.55","188,517,800.00","149.50","","172.09","163.89","155.70","-2.25","176.40","163.89","144.81","163.89","38.25","-4.38","176.58","25.53","0.06","4.12","4.76","-0.64","167.46","0.64","0.51","171.57","180.56","-5,139,562.31","-196,613.48","-4,942,948.83","198.15","177.49","156.84","52.04","178.79","170.37","156.79","151.99","168.64","24.27","182.94","5.53","187.77","178.83","169.89","177.40","177.92","177.81","177.49","177.07","176.31","171.72","170.27","168.92","167.66","166.50","164.43","1.04","6.04","-3.06","0","181.33","177.26","3.34","-2.19","-33,471,097.23","1.85","2.38","0.89","15.48","182.94","175.20","167.46","-0.83","-0.35","","4.94","4.87","48.56","","-3.76","-3.23","-5.85","0","-5.49","-5.47","7.36","182.89","176.40","169.91","38.63","1.55","0.04","9.03","4.16","169.99","186.94","162.90","71.43","92.86","21.43","168.01","174.05","177.11","31.67","17.77","41.23","7,692.30","40.40"
"2022-01-05T23:00:00.000Z","172.00","-1.67","-1.56","96,904,000","49.10","182.99","176.24","169.49","37.10","164.35","164.35","164.35","","-70.67","176.39","0.99","1.10","-35.48","-5,084,387.44","0.15","0.32","38.41","2.96","176.39","-0.01","3.66","0.39","73.52","92.00","-182,008,400.00","178.85","-301.53","169.65","52.20","68.95","52.20","68.95","4.05","37.34","182.60","177.24","171.88","7.28","","","131.75","104.08","","20.75","49.10","45.35","0.11","0.20","-0.09","6.68","0.65","1.71","57.43","-57.43","-58.98","-0.84","40.00","216.99","94.45","110.85","-1.00","179.00","167.00","11,862,349.00","0.37","-0.15","3.41","-1.09","87.82","","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.08","182.94","91,613,800.00","149.50","","172.56","164.35","156.13","-5.36","176.24","164.35","145.07","164.35","39.85","-0.26","176.40","25.35","0.04","3.41","4.49","-1.08","167.46","0.38","0.18","173.52","178.85","-7,133,394.50","-1,187,582.20","-5,945,812.30","196.92","176.49","156.07","48.31","177.29","170.37","157.20","151.99","168.88","24.38","182.94","3.66","187.61","178.67","169.74","174.70","175.95","176.52","176.49","176.29","175.77","171.74","170.37","169.07","167.85","166.72","164.67","1.04","5.87","-3.04","1.00","182.94","177.26","-0.84","-4.50","-69,112,297.99","0.98","1.85","-0.20","15.48","182.94","175.20","167.46","-2.48","-2.33","","3.70","-84.92","43.69","","-19.96","-3.98","-15.00","-0.07","-5.52","-5.49","7.66","182.99","176.24","169.49","18.57","1.54","0.07","7.26","4.13","169.99","183.81","160.19","71.43","85.71","14.29","168.84","174.71","177.75","29.66","21.84","39.37","7,390.77","37.10"
"2022-01-06T23:00:00.000Z","172.17","0.10","0.21","86,709,100","49.36","183.07","176.12","169.18","38.24","164.81","164.81","164.81","","-69.57","176.46","1.00","0.96","-55.63","-5,169,645.94","0.11","0.34","37.63","3.05","176.47","-0.02","3.11","0.36","55.43","84.68","-268,717,500.00","177.02","-23.78","169.65","35.98","54.02","35.98","54.02","-26.41","25.75","181.43","176.16","170.89","7.08","","","125.45","96.19","","10.38","49.36","49.07","-0.02","0.15","-0.17","5.63","0.68","1.59","69.05","-69.05","-43.48","-0.83","45.00","210.75","87.54","107.15","-1.00","179.00","167.00","11,948,048.93","0.37","0.60","2.83","-1.10","87.82","83.31","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.08","182.71","178,322,900.00","149.64","130.28","173.05","164.81","156.57","-5.12","176.12","164.81","145.32","164.81","43.40","1.03","176.48","25.08","0.04","2.83","4.16","-1.33","167.46","0.09","0.01","175.78","177.02","-8,713,134.08","-2,262,661.04","-6,450,473.04","195.64","175.71","155.77","47.94","176.99","170.37","160.02","154.29","172.79","24.25","182.94","3.11","187.16","178.25","169.34","173.43","174.69","175.55","175.71","175.66","175.32","171.77","170.47","169.22","168.04","166.93","164.92","1.04","5.46","-3.25","0","182.94","177.26","-1.43","-4.54","-57,133,342.82","0.19","0.98","0.18","15.48","182.94","175.20","167.46","-2.42","-1.19","","2.53","-90.13","43.16","","-46.47","-2.82","-13.64","-0.06","-5.54","-5.52","7.89","183.07","176.12","169.18","21.55","1.52","0.03","5.63","4.05","169.99","183.48","160.86","71.43","78.57","7.14","169.69","175.15","178.40","28.04","21.72","37.46","7,366.99","38.24"
"2022-01-09T23:00:00.000Z","172.19","0.01","0.13","106,765,600","49.40","182.73","175.76","168.79","42.26","165.21","165.21","165.21","","-72.78","176.59","1.00","0.95","-0.68","-3,577,581.85","0.14","0.36","45.37","3.05","176.59","0.03","4.33","0.32","41.66","76.08","-375,483,100.00","174.97","123.73","169.65","28.99","39.06","28.99","39.06","-39.45","13.90","179.49","174.20","168.90","6.51","","","135.37","99.35","","5.19","49.40","52.75","-0.09","0.05","-0.14","5.09","0.47","1.92","65.20","-65.20","-30.00","-0.44","45.00","202.18","78.22","102.44","1.00","173.00","167.00","11,960,453.92","0.37","1.44","2.35","-1.12","87.83","83.27","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.08","182.25","285,088,500.00","149.64","130.48","173.47","165.21","156.95","-4.81","175.76","165.21","145.58","165.21","43.39","2.44","176.57","24.87","0.04","2.35","3.80","-1.45","167.46","-0.25","0.10","178.53","174.97","-10,561,407.75","-3,448,196.28","-7,113,211.47","195.17","175.07","154.96","46.69","175.56","171.33","160.84","154.29","172.55","20.46","182.94","4.33","186.33","177.46","168.58","172.81","173.86","174.80","175.07","175.12","174.93","171.80","170.56","169.36","168.22","167.14","165.16","1.04","5.36","-2.41","0","182.94","177.26","-2.59","-6.92","-48,666,326.96","-0.49","0.19","0.06","15.48","182.94","175.20","167.46","-2.51","-0.08","","1.64","-109.51","45.45","","-42.93","-1.61","1.14","-0.06","-5.54","-5.53","7.93","182.73","175.76","168.79","24.40","1.49","0.05","3.30","4.07","169.99","183.84","160.54","71.43","71.43","0","170.44","175.80","178.20","25.91","25.08","34.90","7,490.72","42.26"
"2022-01-10T23:00:00.000Z","175.08","1.68","1.79","76,138,300","54.03","182.70","175.73","168.75","46.52","165.71","165.71","165.71","","-53.22","176.74","1.02","0.95","-16.50","-4,732,671.44","0.13","0.35","51.71","3.07","176.72","0.06","4.36","0.29","34.86","67.83","-299,344,800.00","174.05","293.76","169.65","34.81","33.26","34.81","33.26","-33.36","5.30","178.59","173.27","167.95","6.26","","","147.66","90.35","","2.59","54.03","56.10","-0.10","-0.04","-0.06","5.10","1.62","1.33","50.72","-50.72","7.82","0.06","50.00","197.30","72.25","97.31","1.00","179.00","167.00","13,238,342.52","0.37","1.21","2.17","-0.42","87.83","83.24","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.09","181.40","361,226,800.00","152.16","130.67","174.00","165.71","157.43","-1.82","175.73","165.71","145.85","165.71","42.72","2.09","176.70","24.78","0.06","2.17","3.47","-1.30","168.17","-0.42","0.29","179.90","174.05","-8,300,904.82","-4,141,440.36","-4,159,464.46","195.35","175.07","154.80","55.68","175.56","173.61","160.84","154.29","168.88","22.79","182.94","4.36","185.28","176.45","167.63","173.95","174.26","174.87","175.07","175.12","174.95","172.01","170.81","169.64","168.52","167.45","165.48","1.02","5.33","-0.81","0","182.94","177.26","0.09","-4.27","-10,279,760.18","-0.82","-0.49","0.47","15.48","182.94","175.20","167.46","-0.96","4.26","","0.85","-43.62","45.66","","-22.23","0.59","3.18","0.04","-5.54","-5.54","7.94","182.70","175.73","168.75","45.37","1.44","0.07","1.41","4.09","169.99","187.02","163.14","-28.57","64.29","92.86","171.12","176.45","177.26","28.61","23.18","33.16","7,784.48","46.52"
"2022-01-11T23:00:00.000Z","175.53","0.26","0.37","74,805,200","54.73","182.74","175.79","168.84","47.23","166.24","166.24","166.24","","-50.17","176.80","1.04","0.96","-18.81","-5,690,066.75","0.06","0.32","45.43","3.16","176.82","0.05","2.36","0.26","14.65","57.20","-224,539,600.00","173.57","58.18","169.65","41.28","35.03","41.28","35.03","-23.20","0.12","178.57","173.39","168.22","6.27","","","130.68","89.28","","1.30","54.73","59.07","-0.07","-0.08","0.01","5.14","1.47","0.80","30.47","-30.47","15.11","0.05","55.00","192.55","66.39","92.17","-1.00","179.00","173.00","13,430,609.55","0.37","-0.06","2.04","-0.33","87.83","83.20","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.09","180.61","436,032,000.00","152.55","130.86","174.56","166.24","157.93","-0.97","175.79","166.24","146.13","166.24","41.89","-0.11","176.84","24.69","0.03","2.04","3.18","-1.14","168.17","-0.49","0.40","180.44","173.57","-6,257,318.27","-4,443,708.63","-1,813,609.64","194.58","175.15","155.73","56.09","175.56","175.20","160.84","154.29","167.30","22.88","182.94","2.36","184.23","175.46","166.68","174.74","174.69","175.01","175.15","175.18","175.02","172.24","171.08","169.93","168.82","167.77","165.81","1.02","4.90","-0.25","-1.00","182.94","168.17","2.03","-0.33","-4,002,349.91","-0.75","-0.82","0.32","15.48","182.94","175.20","167.46","-0.70","6.14","","0.10","3.01","44.61","","-14.35","1.11","-2.23","0.05","-5.53","-5.54","7.91","182.74","175.79","168.84","48.15","1.41","0","0.67","3.97","169.99","186.49","164.57","-28.57","57.14","85.71","171.67","176.57","176.32","31.00","22.19","31.97","7,842.66","47.23"
"2022-01-12T23:00:00.000Z","172.19","-1.90","-1.79","84,505,800","48.82","182.35","175.43","168.51","42.80","166.69","166.69","166.69","","-72.78","176.59","0.91","0.99","23.62","-5,601,481.68","0.10","0.26","42.82","3.44","176.63","0.01","4.83","0.23","0","45.76","-309,045,400.00","172.33","-396.92","169.65","41.28","39.12","41.28","39.12","-26.60","-4.74","178.68","173.43","168.19","6.70","","","104.47","100.68","","0.65","48.82","54.96","-0.06","-0.08","0.03","4.87","1.32","2.28","15.63","-15.63","-15.91","-0.92","50.00","185.81","58.54","86.45","-1.00","179.00","167.00","11,822,627.64","0.37","-2.32","1.65","-1.09","86.16","83.16","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.08","179.86","351,526,200.00","152.55","131.05","175.02","166.69","158.35","-3.72","175.43","166.69","146.38","166.69","35.49","-4.09","176.71","24.63","0.06","1.65","2.88","-1.23","168.17","-0.64","0.59","181.24","172.33","-7,800,359.85","-4,923,230.24","-2,877,129.61","194.52","174.62","154.72","47.21","175.56","175.20","161.75","154.93","164.32","24.24","182.94","4.83","183.35","174.62","165.88","173.46","173.85","174.39","174.62","174.72","174.67","172.23","171.14","170.04","168.97","167.94","166.02","1.02","3.85","-1.06","0","182.94","168.17","1.89","-2.94","-43,751,880.28","-0.70","-0.75","-0.75","15.48","182.94","175.20","167.46","-2.42","3.89","","-1.30","-44.46","47.10","","-25.23","-0.08","3.93","-0.06","-5.54","-5.54","7.89","182.35","175.43","168.51","26.59","1.42","-0.07","0.43","4.03","169.99","183.86","160.52","-28.57","50.00","78.57","172.33","176.18","175.13","28.35","25.66","30.05","7,445.74","42.80"
"2022-01-13T23:00:00.000Z","173.07","0.51","0.62","80,440,800","50.34","182.33","175.47","168.62","44.78","167.12","167.12","167.12","","-66.82","176.11","0.88","1.13","7.37","-5,792,516.38","0.08","0.22","48.40","3.69","176.16","0.03","2.69","0.20","0","36.61","-228,604,600.00","172.01","37.56","169.65","36.74","39.77","36.74","39.77","-29.22","-9.19","178.74","173.61","168.48","6.54","0.55","0.55","97.37","105.00","90,492,581.00","0.32","50.34","58.08","-0.05","-0.07","0.01","4.71","0.71","1.20","15.88","-15.88","-4.77","-0.34","55.00","179.85","51.28","80.03","1.00","179.00","167.00","12,233,733.37","0.37","-4.03","1.40","-0.77","86.16","83.12","172.50","187.20","162.87","196.83","148.17","211.53","138.54","1.09","179.16","431,967,000.00","153.33","131.26","175.47","167.12","158.76","-2.32","175.47","167.12","146.63","167.12","28.89","-7.26","176.26","24.59","0.03","1.40","2.58","-1.19","168.17","-0.61","0.56","180.50","172.01","-9,100,241.81","-5,519,946.17","-3,580,295.64","193.59","174.33","155.08","58.31","175.56","175.20","163.94","157.12","160.07","24.58","182.94","2.69","182.71","174.01","165.31","173.27","173.59","174.09","174.33","174.47","174.47","172.29","171.24","170.19","169.15","168.14","166.25","1.02","2.73","-1.03","1.00","177.18","168.17","-0.71","-3.40","-27,388,997.85","-0.78","-0.70","-2.03","15.48","182.94","175.20","167.46","-1.64","5.68","","-2.60","-59.80","46.01","-5.65","-50.34","0.61","5.51","0.02","-5.53","-5.53","7.81","182.33","175.47","168.62","32.49","1.24","-0.09","-0.02","3.94","169.99","184.02","162.12","-28.57","42.86","71.43","173.00","175.73","174.70","26.96","25.68","28.07","7,483.30","44.78"
