"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2016-01-03T23:00:00.000Z","31.85","-5.76","-5.82","186,290,000","40.36","34.66","33.35","32.03","15.99","32.77","32.77","32.77","33.15","-86.25","33.40","0.99","0.91","70.15","5,205,404.66","0.27","45.30","2.89","33.40","-0.06","2.42","0.12","67.41","67.64","14,092,650,000.00","33.58","-295.40","34.85","56.04","76.32","56.04","76.32","-0.41","26.12","34.77","33.71","32.65","1.35","","","81.62","117.95","","52.24","40.36","42.18","-0.03","0.01","-0.04","3.90","0.47","4.57","48.24","-48.24","-67.24","-0.09","45.00","312.63","10.75","21.89","-1.00","37.00","31.00","198,471,630.67","0.16","-0.49","0.22","-1.74","171.28","","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.12","34.82","2,537,014,000.00","123.07","","34.41","32.77","31.13","-1.63","33.35","32.77","25.66","32.77","52.44","-0.16","33.40","24.53","0.01","0.22","0.34","-0.12","31.76","0.03","0.03","33.19","33.58","-6,435,516.61","-3,987,453.36","-2,448,063.25","37.65","33.39","29.14","43.79","33.10","33.10","31.75","29.33","24.52","35.03","34.82","1.51","35.28","33.60","31.92","32.94","33.25","33.37","33.39","33.40","33.38","33.05","32.87","32.67","32.45","32.23","31.77","0.42","0.25","-0.28","0","34.82","32.83","-0.51","-2.02","-47,805,895.75","0.69","1.27","-0.02","3.06","34.82","33.29","31.76","-4.65","-0.03","","","1.91","-201.61","43.91","","-29.72","-5.44","8.28","-0.09","-5.49","-5.48","7.88","34.66","33.35","32.03","-7.02","1.07","-0.10","0.41","0.82","32.49","34.82","28.87","-21.43","78.57","100.00","32.97","33.22","33.50","21.42","37.97","16.24","2,022.72","15.99"
"2016-01-04T23:00:00.000Z","31.69","-0.50","-0.56","116,452,000","39.43","34.74","33.25","31.76","15.33","32.84","32.84","32.84","","-90.89","33.34","1.01","0.97","34.48","6,665,560.98","0.28","40.90","3.61","33.35","-0.08","0.96","0.09","51.48","64.40","13,976,198,000.00","33.07","-29.98","34.60","29.76","56.41","29.76","56.41","-34.19","15.15","34.37","33.30","32.22","1.60","","","78.67","121.63","","34.50","39.43","37.05","-0.12","-0.01","-0.11","1.61","0.40","1.66","75.88","-75.88","-56.43","-0.14","40.00","307.95","6.94","18.28","-1.00","37.00","31.00","197,886,619.85","0.16","-3.67","0.07","-1.80","171.28","","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.11","34.75","2,420,562,000.00","122.45","","34.48","32.84","31.19","-1.62","33.25","32.84","25.73","32.84","44.33","-1.21","33.37","24.83","0.01","0.07","0.29","-0.22","31.38","-0.04","0.04","33.60","33.07","-8,592,203.81","-4,645,274.86","-3,946,928.96","37.40","33.08","28.77","38.46","33.10","33.10","31.75","29.33","25.19","34.95","34.82","0.96","35.30","33.62","31.94","32.31","32.73","33.00","33.08","33.13","33.17","32.97","32.81","32.62","32.42","32.21","31.77","0.47","0.27","-0.45","0","34.82","32.83","-0.81","-1.77","-43,638,239.53","0.05","0.69","-0.03","3.45","34.82","33.10","31.38","-4.88","0.14","","","0.07","-193.81","43.20","","-32.62","-4.35","4.33","-0.15","-5.52","-5.50","8.97","34.74","33.25","31.76","-2.36","1.17","-0.20","0.10","0.83","34.25","34.65","28.73","-21.43","71.43","92.86","32.99","33.26","33.71","19.65","34.83","17.07","1,992.74","15.33"
"2016-01-05T23:00:00.000Z","31.63","-0.18","-0.24","106,584,000","39.08","34.80","33.16","31.51","14.97","32.87","32.87","32.87","","-83.79","33.23","0.88","1.06","12.11","6,946,406.40","0.32","43.67","4.24","33.24","-0.06","0.97","0.06","41.87","59.90","13,869,614,000.00","32.58","2.72","34.27","13.02","32.94","13.02","32.94","-51.02","3.12","33.77","32.68","31.60","1.81","","","75.24","113.91","","21.43","39.08","32.24","-0.17","-0.07","-0.10","0.90","0.63","1.67","74.25","-74.25","-42.91","-0.06","40.00","301.13","1.51","14.94","-1.00","37.00","31.00","197,694,903.15","0.16","-3.95","-0.06","-1.74","171.28","","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.12","34.69","2,313,978,000.00","122.23","","34.51","32.87","31.23","-1.52","33.16","32.87","25.79","32.87","36.36","-1.30","33.24","25.05","0.01","-0.06","0.22","-0.28","31.38","-0.10","0.19","33.96","32.58","-10,324,036.35","-5,456,526.50","-4,867,509.85","37.19","32.82","28.45","43.07","32.92","32.92","31.81","29.33","25.35","34.88","34.82","0.97","35.19","33.52","31.84","31.97","32.36","32.70","32.82","32.90","32.98","32.88","32.74","32.57","32.38","32.18","31.76","0.47","0.40","-0.39","0","34.82","32.83","-0.94","-1.92","-38,272,120.56","-0.56","0.05","-0.10","3.45","34.82","33.10","31.38","-4.79","0.45","","","-1.52","-187.71","40.36","","-32.46","-3.00","0.65","-0.14","-5.55","-5.52","9.92","34.80","33.16","31.51","3.59","1.12","-0.13","-0.46","0.84","34.11","34.58","28.68","-35.71","64.29","100.00","32.99","33.39","33.78","18.02","35.06","18.15","1,995.45","14.97"
"2016-01-06T23:00:00.000Z","30.40","-3.91","-3.97","141,498,000","32.42","34.99","32.99","30.98","13.74","32.87","32.87","32.87","","-97.01","33.02","0.80","1.11","78.46","9,872,443.06","0.35","35.29","5.38","33.04","-0.12","1.37","0.02","28.24","53.57","13,728,116,000.00","31.94","-138.15","33.84","9.44","17.41","9.44","17.41","-68.07","-9.82","33.01","31.87","30.74","2.29","","","65.04","115.36","","12.81","32.42","27.39","-0.17","-0.13","-0.04","-1.07","0.50","1.85","63.77","-63.77","-46.16","-0.14","35.00","290.55","-6.64","11.45","-1.00","37.00","29.00","192,168,282.48","0.16","-10.04","-0.25","-2.65","164.59","","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.10","34.54","2,172,480,000.00","122.23","","34.51","32.87","31.23","-2.52","32.99","32.87","25.85","32.87","28.64","-3.39","33.06","25.30","0.01","-0.25","0.12","-0.38","31.02","-0.16","0.32","34.19","31.94","-12,625,677.90","-6,480,690.98","-6,144,986.91","37.00","32.38","27.76","35.38","32.54","32.54","32.52","29.33","26.06","38.55","34.82","1.24","34.89","33.23","31.57","31.19","31.71","32.19","32.38","32.52","32.66","32.72","32.61","32.47","32.30","32.11","31.72","0.51","0.53","-0.08","0","34.82","32.83","-1.07","-2.31","-57,779,078.55","-1.11","-0.56","-0.15","3.81","34.82","32.92","31.02","-7.83","-0.35","","","-4.82","-213.04","34.97","","-47.21","-5.06","6.36","-0.23","-5.58","-5.55","12.14","34.99","32.99","30.98","-14.64","1.24","-0.21","-1.15","0.88","34.08","33.58","27.21","-42.86","57.14","100.00","33.00","33.54","33.45","16.02","37.29","19.70","1,857.30","13.74"
"2016-01-07T23:00:00.000Z","30.35","-0.15","-0.21","110,258,000","32.20","35.14","32.84","30.54","12.88","32.87","32.87","32.87","","-97.98","32.80","0.76","1.16","49.74","9,560,335.67","0.35","28.87","6.33","32.81","-0.16","0.91","-0.03","13.11","45.47","13,617,858,000.00","31.34","-39.97","33.68","7.07","9.84","7.07","9.84","-79.57","-22.50","32.32","31.18","30.05","2.63","","","63.73","130.58","","7.45","32.20","23.11","-0.17","-0.16","-0.01","-1.63","0.69","1.60","66.16","-66.16","-32.31","-0.28","35.00","278.69","-16.12","7.54","-1.00","37.00","29.00","192,006,874.79","0.16","-9.48","-0.41","-2.49","164.59","156.05","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.10","34.28","2,062,222,000.00","122.05","101.79","34.51","32.87","31.22","-2.32","32.84","32.87","25.91","32.87","22.30","-3.18","32.84","25.53","0.01","-0.41","0.02","-0.43","30.26","-0.22","0.44","34.38","31.34","-14,023,097.55","-7,558,177.64","-6,464,919.92","36.62","32.01","27.40","35.50","32.54","32.54","32.60","29.33","26.70","38.42","34.82","0.91","34.43","32.79","31.15","30.77","31.26","31.78","32.01","32.18","32.37","32.57","32.48","32.36","32.21","32.05","31.68","0.58","0.56","-0.47","0","34.82","32.83","-1.05","-1.95","-50,225,825.81","-1.62","-1.11","-0.18","4.56","34.82","32.54","30.26","-7.33","0.01","","","-7.71","-174.46","36.00","","-47.20","-3.25","6.68","-0.27","-5.61","-5.58","14.02","35.14","32.84","30.54","-4.05","1.18","-0.21","-1.76","0.88","32.92","33.44","27.26","-42.86","50.00","92.86","33.04","33.61","33.14","14.84","34.55","21.14","1,817.34","12.88"
"2016-01-10T23:00:00.000Z","30.89","1.76","1.70","97,832,000","37.51","35.18","32.73","30.28","13.84","32.87","32.87","32.87","","-80.41","32.61","0.77","1.15","-28.50","8,215,609.54","0.38","35.97","6.95","32.61","-0.11","1.06","-0.08","3.23","37.03","13,715,690,000.00","30.92","26.63","33.42","8.20","8.24","8.20","8.24","-76.58","-32.33","32.15","30.99","29.84","2.78","","","65.60","115.39","","4.25","37.51","34.59","-0.18","-0.17","0","-1.58","0.76","1.65","47.49","-47.49","-9.50","-0.35","40.00","269.28","-23.25","3.03","1.00","31.00","29.00","193,729,666.25","0.16","-6.99","-0.48","-1.74","164.59","156.31","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.12","34.04","2,160,054,000.00","124.20","101.88","34.51","32.87","31.22","-1.60","32.73","32.87","25.97","32.87","23.15","-2.32","32.62","25.64","0.01","-0.48","-0.08","-0.40","30.26","-0.26","0.55","34.51","30.92","-14,998,718.70","-8,621,112.07","-6,377,606.62","36.49","31.81","27.13","37.97","32.38","32.38","32.91","29.38","26.25","40.35","34.82","1.06","33.90","32.29","30.68","30.83","31.13","31.58","31.81","31.99","32.18","32.46","32.40","32.29","32.16","32.00","31.65","0.58","0.28","-0.61","0","34.82","32.83","-1.07","-2.13","-35,580,560.79","-2.09","-1.62","-0.20","4.56","34.82","32.54","30.26","-5.22","0.83","","","-9.59","-144.88","34.69","","-49.37","-0.12","7.35","-0.21","-5.63","-5.61","14.96","35.18","32.73","30.28","12.38","1.21","-0.16","-2.01","0.89","32.89","34.00","27.78","-57.14","42.86","100.00","33.14","33.42","32.81","13.58","34.58","22.75","1,843.97","13.84"
"2016-01-11T23:00:00.000Z","30.89","0.02","-0.04","94,482,000","37.59","35.23","32.67","30.11","14.12","32.86","32.86","32.86","","-80.26","32.44","0.85","1.09","45.32","6,801,187.53","0.40","37.48","7.52","32.45","-0.12","0.69","-0.12","0","29.62","13,810,172,000.00","30.58","-6.06","33.42","13.78","9.68","13.78","9.68","-71.56","-39.47","31.97","30.83","29.70","2.89","","","68.64","110.54","","2.12","37.59","43.54","-0.20","-0.18","-0.02","-1.53","1.29","1.34","29.46","-29.46","-3.18","-0.38","45.00","260.61","-29.78","-2.34","-1.00","37.00","29.00","193,752,613.33","0.16","-7.02","-0.53","-1.63","164.59","156.57","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.11","33.71","2,254,536,000.00","124.23","101.97","34.50","32.86","31.21","-1.40","32.67","32.86","26.04","32.86","29.62","-2.33","32.46","25.69","0.01","-0.53","-0.17","-0.36","29.93","-0.28","0.63","34.55","30.58","-11,734,113.59","-9,065,826.58","-2,668,287.02","36.20","31.64","27.08","38.75","32.35","32.38","32.96","29.38","26.75","38.31","34.82","0.69","33.40","31.81","30.22","30.86","31.05","31.43","31.64","31.82","32.02","32.36","32.31","32.22","32.10","31.96","31.62","0.60","0.03","-0.80","0","34.82","32.83","-0.59","-1.28","-30,396,371.20","-2.22","-2.09","-0.15","4.89","34.82","32.38","29.93","-4.71","0.98","","","-11.23","-109.03","35.12","","-77.82","1.02","5.45","-0.16","-5.63","-5.62","15.67","35.23","32.67","30.11","15.25","1.10","-0.18","-2.12","0.88","32.89","33.80","27.99","-57.14","35.71","92.86","33.25","33.23","32.42","15.31","32.65","23.71","1,837.90","14.12"
"2016-01-12T23:00:00.000Z","29.09","-5.84","-5.90","153,104,000","28.78","35.48","32.48","29.49","12.17","32.81","32.81","32.81","","-97.74","32.18","0.75","1.09","186.95","10,291,914.59","0.42","33.98","8.66","32.20","-0.17","2.09","-0.17","0","23.70","13,657,068,000.00","29.83","-255.42","33.32","13.86","11.95","13.86","11.95","-77.57","-46.39","31.57","30.32","29.08","3.32","","","58.24","135.49","","1.06","28.78","38.07","-0.26","-0.20","-0.07","-2.91","0.90","3.41","25.30","-25.30","-30.14","-0.56","40.00","244.41","-43.48","-9.27","-1.00","37.00","23.00","184,812,519.13","0.15","-12.27","-0.71","-2.78","154.98","156.79","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.07","33.41","2,101,432,000.00","124.23","102.06","34.45","32.81","31.17","-2.87","32.48","32.81","26.09","32.81","27.80","-4.07","32.23","25.92","0.01","-0.71","-0.28","-0.43","29.93","-0.35","0.74","34.79","29.83","-14,047,455.05","-9,777,487.79","-4,269,967.26","36.32","31.18","26.03","26.44","31.67","31.89","33.08","29.38","27.98","40.07","34.82","2.09","32.88","31.31","29.75","29.98","30.40","30.91","31.18","31.40","31.66","32.15","32.13","32.07","31.97","31.84","31.54","0.60","0.31","-0.92","0","34.82","32.83","-0.45","-2.53","-65,511,139.14","-2.49","-2.22","-0.24","4.89","34.82","32.38","29.93","-9.46","-0.71","","","-14.81","-152.87","32.94","","-83.19","-2.54","16.26","-0.27","-5.62","-5.63","18.44","35.48","32.48","29.49","-6.66","1.28","-0.22","-2.31","0.97","32.89","32.66","25.52","-71.43","28.57","100.00","33.32","33.01","32.09","12.95","39.84","25.65","1,582.48","12.17"
"2016-01-13T23:00:00.000Z","29.65","1.92","1.86","144,760,000","33.95","35.55","32.32","29.09","13.33","32.78","32.78","32.78","","-81.73","31.92","0.74","1.14","165.82","12,243,909.69","0.45","39.34","9.48","31.94","-0.13","1.62","-0.22","0","18.96","13,801,828,000.00","29.34","18.91","32.85","13.42","13.69","13.42","13.69","-74.14","-51.44","31.47","30.17","28.88","3.49","","","64.65","127.95","","0.53","33.95","44.26","-0.34","-0.24","-0.10","-3.41","0.55","1.71","33.78","-33.78","-14.89","-0.36","40.00","231.35","-54.92","-17.22","1.00","31.00","23.00","187,596,698.94","0.15","-10.65","-0.80","-1.92","154.98","157.02","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.07","32.96","2,246,192,000.00","126.62","102.17","34.42","32.78","31.14","-1.97","32.32","32.78","26.14","32.78","26.37","-3.54","31.96","26.12","0.01","-0.80","-0.38","-0.41","28.96","-0.39","0.81","34.80","29.34","-15,943,239.06","-10,658,309.40","-5,284,929.66","36.34","30.90","25.46","31.72","30.69","31.66","33.13","29.38","27.65","43.58","34.82","1.62","32.44","30.90","29.35","29.81","30.15","30.63","30.90","31.13","31.41","31.99","32.00","31.95","31.87","31.76","31.48","0.67","0.48","-0.98","1.00","31.30","32.83","-1.12","-2.74","-44,581,950.34","-2.84","-2.49","-0.29","5.86","34.82","31.89","28.96","-6.99","0.03","","","-17.55","-141.26","32.97","","-65.29","1.04","24.98","-0.19","-5.60","-5.62","19.98","35.55","32.32","29.09","8.66","1.31","-0.17","-2.51","1.01","31.81","33.48","25.82","-78.57","21.43","100.00","33.23","32.75","31.76","11.47","38.57","27.69","1,601.39","13.33"
"2016-01-14T23:00:00.000Z","28.51","-3.85","-3.91","155,690,000","29.28","35.61","32.06","28.50","12.18","32.72","32.72","32.72","28.51","-96.28","31.60","0.71","1.16","613.39","14,505,627.69","0.44","35.11","10.59","31.62","-0.17","1.39","-0.27","0","15.17","13,646,138,000.00","28.66","-107.19","32.38","8.08","11.79","8.08","11.79","-76.74","-56.04","31.14","29.81","28.47","3.81","1.04","1.27","54.48","142.90","97,783,940.00","0.27","29.28","40.52","-0.38","-0.30","-0.08","-5.08","0.46","1.63","48.43","-48.43","-44.65","-0.29","35.00","216.12","-68.66","-26.04","1.00","31.00","23.00","181,605,396.69","0.15","-13.97","-0.95","-2.55","149.02","157.22","33.46","35.16","32.10","36.52","30.40","38.21","29.04","1.05","32.43","2,090,502,000.00","126.62","102.27","34.36","32.72","31.09","-2.59","32.06","32.72","26.19","32.72","23.04","-4.63","31.65","26.14","0.01","-0.95","-0.50","-0.45","28.49","-0.44","0.88","34.88","28.66","-17,868,531.99","-11,688,341.20","-6,180,190.79","36.05","30.46","24.88","27.21","30.31","31.54","33.12","29.38","27.70","45.09","34.82","0.97","32.08","30.55","29.02","29.16","29.60","30.16","30.46","30.73","31.04","31.76","31.80","31.78","31.72","31.63","31.38","0.70","0.62","-0.89","0","31.30","32.83","-1.61","-2.58","-63,590,544.50","-3.23","-2.84","-0.32","6.33","34.82","31.66","28.49","-9.63","-1.21","","","-20.77","-151.79","34.48","2.21","-60.26","-0.51","14.92","-0.25","-5.59","-5.61","22.16","35.61","32.06","28.50","0.08","1.34","-0.16","-2.76","1.04","31.81","32.40","24.61","-85.71","14.29","100.00","33.12","32.50","31.60","10.38","36.47","29.69","1,494.20","12.18"
