"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2020-01-01T23:00:00.000Z","94.90","2.72","2.47","80,580,000","72.36","94.29","89.62","84.95","27.39","89.05","89.05","89.05","100.34","-2.17","90.49","1.25","0.63","92.08","5,448,605.51","0.11","0.39","65.32","1.55","90.46","0.12","2.51","0.13","100.00","88.43","3,141,564,000.00","93.72","364.29","90.12","77.58","77.30","77.58","77.30","52.47","42.75","95.09","93.31","91.54","4.37","","","220.31","78.80","","99.90","72.36","62.65","0.15","0.21","-0.06","3.43","3.13","0.65","47.55","-47.55","43.09","0.27","60.00","-15.00","27.08","9.37","1.00","97.00","89.00","21,687,321.50","0.29","8.54","1.31","2.81","95.23","","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.98","88.54","1,705,920,000.00","132.85","","93.50","89.05","84.60","3.92","89.62","89.05","91.38","89.05","77.63","7.46","90.42","25.55","0.02","1.31","0.73","0.57","86.79","0.49","0.80","86.92","93.72","6,631,412.56","5,782,533.65","848,878.91","99.06","91.81","84.55","55.12","91.89","90.91","87.74","88.47","106.70","25.04","95.07","1.69","95.91","91.34","86.77","93.65","93.00","92.22","91.81","91.46","91.05","89.97","89.79","89.67","89.59","89.53","89.49","0.80","0.42","-1.70","0","95.07","88.70","3.59","1.90","60,209,606.82","1.90","1.97","0.82","8.32","95.07","90.91","86.75","4.79","1.18","","","10.39","178.47","32.82","","63.70","1.24","8.01","0.07","-5.44","-5.45","10.42","94.29","89.62","84.95","106.53","1.68","0.11","4.03","1.38","89.77","100.02","89.78","78.57","78.57","0","88.40","88.81","90.52","47.21","17.87","23.27","1,934.36","27.39"
"2020-01-02T23:00:00.000Z","93.75","-1.21","-1.46","75,288,000","65.34","94.84","89.90","84.97","26.24","89.16","89.16","89.16","","-18.05","90.91","1.19","0.68","21.59","5,302,053.49","0.09","0.38","61.10","1.34","90.89","0.09","1.68","0.15","100.00","90.74","3,066,276,000.00","94.17","-60.54","90.12","82.48","77.35","82.48","77.35","56.44","45.24","95.18","93.38","91.57","4.41","","","162.95","83.47","","99.95","65.34","55.45","0.16","0.18","-0.03","3.46","1.42","0.67","45.15","-45.15","12.79","0.42","60.00","-8.67","32.53","13.25","1.00","97.00","89.00","20,773,397.86","0.29","6.51","1.39","1.78","95.23","","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.98","88.94","1,630,632,000.00","131.24","","93.62","89.16","84.70","2.32","89.90","89.16","91.40","89.16","70.28","5.73","90.85","25.67","0.01","1.39","0.86","0.53","87.27","0.49","0.81","87.28","94.17","4,371,997.95","5,581,028.55","-1,209,030.60","99.52","92.16","84.80","59.72","92.10","90.91","87.63","88.28","107.54","26.15","95.07","1.08","96.59","91.99","87.39","93.70","93.25","92.56","92.16","91.81","91.39","90.21","90.01","89.87","89.77","89.70","89.63","0.78","0.69","-1.85","-1.00","95.07","91.61","2.65","1.57","39,217,976.10","1.95","1.90","0.73","8.32","95.07","90.91","86.75","3.05","-0.23","","","11.04","128.20","36.71","","42.68","-0.45","7.18","0.11","-5.45","-5.45","10.99","94.84","89.90","84.97","88.91","1.86","0.10","4.26","1.40","90.89","98.85","88.65","71.43","71.43","0","88.49","89.18","91.04","43.17","16.34","24.83","1,873.82","26.24"
"2020-01-05T23:00:00.000Z","95.14","1.49","1.24","81,236,000","69.23","95.56","90.31","85.06","28.38","89.30","89.30","89.30","","-0.55","91.38","1.14","0.67","47.93","5,601,295.61","0.13","0.36","66.17","1.04","91.34","0.14","2.18","0.18","100.00","92.59","3,147,512,000.00","94.83","161.15","90.12","93.07","84.38","93.07","84.38","67.60","49.31","95.58","93.71","91.83","4.58","","","152.59","78.02","","99.98","69.23","60.51","0.21","0.17","0.04","3.95","1.44","0.78","33.51","-33.51","28.35","0.66","65.00","-0.79","39.45","17.77","1.00","97.00","89.00","21,982,642.34","0.29","8.06","1.55","2.23","96.65","","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.99","89.30","1,711,868,000.00","131.24","","93.77","89.30","84.84","3.25","90.31","89.30","91.42","89.30","71.18","7.10","91.27","25.80","0.03","1.55","1.00","0.55","87.75","0.52","0.82","87.61","94.83","5,662,938.34","5,592,729.95","70,208.39","100.42","92.70","84.98","70.75","92.21","90.97","87.87","87.94","108.00","26.56","95.07","2.18","97.19","92.56","87.93","94.42","93.88","93.13","92.70","92.33","91.86","90.53","90.30","90.13","90.00","89.91","89.81","0.75","1.24","-1.45","0","95.07","91.61","3.03","0.84","49,810,387.07","2.15","1.95","0.76","8.32","95.07","90.91","86.75","4.01","1.13","","","12.10","125.87","39.46","","53.91","0.33","9.77","0.21","-5.44","-5.44","11.63","95.56","90.31","85.06","96.02","1.93","0.19","4.06","1.45","90.89","100.54","89.75","100.00","100.00","0","88.56","89.81","91.26","42.83","14.58","26.57","2,034.97","28.38"
"2020-01-06T23:00:00.000Z","95.34","0.21","-0.03","80,898,000","69.75","96.23","90.70","85.17","29.12","89.43","89.43","89.43","","-5.03","91.87","1.21","0.66","28.61","5,744,949.16","0.11","0.41","60.16","0.74","91.84","0.15","1.09","0.20","100.00","94.07","3,228,410,000.00","95.39","26.84","90.39","92.12","89.23","92.12","89.23","75.92","54.15","96.15","94.31","92.46","4.65","","","139.85","79.73","","99.99","69.75","64.62","0.27","0.19","0.08","4.21","1.41","0.27","38.94","-38.94","22.87","0.70","65.00","7.23","46.39","22.89","1.00","97.00","89.00","22,151,850.25","0.30","7.78","1.68","2.15","96.65","","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.99","89.77","1,792,766,000.00","131.51","","93.90","89.43","84.96","2.94","90.70","89.43","91.45","89.43","71.82","6.88","91.77","25.84","0.01","1.68","1.14","0.54","87.85","0.53","0.83","88.02","95.39","6,817,840.40","5,767,745.73","1,050,094.67","100.68","93.18","85.69","70.95","92.54","91.22","88.33","87.94","107.49","26.22","95.18","1.09","97.76","93.10","88.45","94.88","94.37","93.62","93.18","92.79","92.29","90.84","90.58","90.38","90.23","90.13","90.00","0.75","1.58","-1.60","0","95.07","91.61","3.08","1.99","44,994,491.31","2.47","2.15","0.86","8.43","95.18","90.97","86.75","3.67","1.35","","","12.81","126.52","42.11","","53.37","-0.05","11.53","0.20","-5.45","-5.45","12.19","96.23","90.70","85.17","92.02","2.05","0.19","4.24","1.43","90.96","100.31","90.37","100.00","100.00","0","88.64","90.22","91.82","43.04","13.79","28.35","2,061.81","29.12"
"2020-01-07T23:00:00.000Z","94.60","-0.78","-1.02","70,160,000","65.30","96.62","91.06","85.49","28.17","89.56","89.56","89.56","","-15.68","92.26","1.17","0.70","-3.74","4,935,436.15","0.10","0.42","60.58","0.65","92.23","0.12","1.23","0.22","100.00","95.26","3,158,250,000.00","95.72","-70.37","90.39","92.91","92.70","92.91","92.70","75.33","58.00","96.57","94.75","92.92","4.63","","","137.67","77.14","","99.99","65.30","59.01","0.32","0.24","0.08","4.14","1.23","1.26","29.85","-29.85","4.03","0.24","65.00","14.09","52.15","28.42","1.00","97.00","89.00","21,603,996.05","0.29","5.66","1.70","1.49","96.65","99.97","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.98","90.37","1,722,606,000.00","130.48","120.16","94.04","89.56","85.08","1.78","91.06","89.56","91.48","89.56","64.95","5.07","92.18","25.70","0.02","1.70","1.25","0.45","88.70","0.52","0.82","88.42","95.72","4,616,987.38","5,603,351.68","-986,364.30","100.80","93.44","86.08","69.74","92.83","91.22","88.34","87.94","106.74","27.09","95.69","1.23","98.29","93.61","88.93","94.74","94.44","93.84","93.44","93.07","92.58","91.08","90.80","90.59","90.42","90.30","90.15","0.74","1.58","-1.75","-1.00","95.07","93.00","2.65","1.43","31,104,697.65","2.69","2.47","0.75","8.94","95.69","91.22","86.75","2.45","0.44","","","12.85","101.81","42.27","","45.79","-1.19","5.25","0.19","-5.46","-5.45","12.23","96.62","91.06","85.49","81.82","1.94","0.11","4.56","1.41","91.20","99.31","89.89","78.57","92.86","14.29","88.88","90.46","92.21","40.37","14.35","29.72","1,991.44","28.17"
"2020-01-08T23:00:00.000Z","95.05","0.48","0.24","63,346,000","66.69","96.95","91.46","85.97","28.62","89.68","89.68","89.68","","-11.67","92.67","1.16","0.70","-5.49","3,701,391.06","0.15","0.44","63.94","0.61","92.65","0.10","1.29","0.24","100.00","96.21","3,094,904,000.00","95.97","15.96","90.84","89.21","91.42","89.21","91.42","74.31","60.96","96.59","94.78","92.96","4.48","","","172.73","78.12","","100.00","66.69","61.30","0.33","0.29","0.04","4.14","1.28","0.62","39.64","-39.64","14.75","0.27","70.00","21.29","58.15","34.01","1.00","97.00","89.00","21,908,004.57","0.29","6.56","1.73","1.54","96.65","99.93","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.98","90.90","1,785,952,000.00","131.11","120.29","94.17","89.68","85.20","1.76","91.46","89.68","91.51","89.68","64.96","5.85","92.60","25.56","0.02","1.73","1.35","0.39","88.70","0.50","0.80","89.03","95.97","5,467,428.19","5,583,934.04","-116,505.85","101.00","93.73","86.46","69.58","93.75","91.32","88.43","87.94","107.78","26.81","95.69","1.10","98.74","94.04","89.34","94.90","94.65","94.11","93.73","93.37","92.89","91.34","91.04","90.80","90.62","90.49","90.31","0.74","1.62","-1.67","0","95.07","93.00","2.69","1.59","30,769,562.48","3.01","2.69","0.78","8.94","95.69","91.22","86.75","2.48","0.75","","","12.93","101.31","42.09","","20.97","-0.97","4.26","0.18","-5.48","-5.46","12.01","96.95","91.46","85.97","82.70","1.81","0.13","4.59","1.41","91.20","99.60","90.51","92.86","100.00","7.14","89.29","90.91","92.58","39.46","13.40","31.12","2,007.39","28.62"
"2020-01-09T23:00:00.000Z","94.16","-0.94","-1.19","57,074,000","61.44","97.08","91.80","86.51","27.44","89.80","89.80","89.80","","-25.60","93.03","1.14","0.72","7.57","2,192,035.05","0.12","0.44","58.54","0.69","93.02","0.06","1.35","0.25","100.00","96.97","3,037,830,000.00","95.89","-112.67","90.84","82.35","88.16","82.35","88.16","63.67","61.46","96.67","94.86","93.05","4.17","","","190.51","89.25","","100.00","61.44","57.88","0.27","0.30","-0.04","4.01","1.14","1.46","22.08","-22.08","-18.79","0.30","65.00","24.62","60.07","39.26","1.00","97.00","89.00","21,370,904.17","0.29","5.07","1.67","0.74","96.65","99.90","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.98","91.50","1,728,878,000.00","129.88","120.39","94.29","89.80","85.31","0.49","91.80","89.80","91.54","89.80","64.52","4.54","92.99","25.44","0.02","1.67","1.41","0.26","88.70","0.43","0.70","89.83","95.89","3,649,048.50","5,307,521.82","-1,658,473.32","101.03","93.81","86.59","63.79","93.75","91.32","88.78","87.89","108.51","18.85","95.89","1.35","99.01","94.29","89.58","94.53","94.48","94.12","93.81","93.49","93.05","91.52","91.21","90.97","90.78","90.63","90.43","0.75","1.68","-1.83","0","95.07","93.00","2.01","0.66","19,080,662.87","2.65","3.01","0.71","9.11","95.89","91.34","86.79","1.16","-0.09","","","12.44","74.96","45.06","","7.82","-1.84","3.66","0.12","-5.48","-5.47","11.52","97.08","91.80","86.51","72.34","1.86","0.03","4.56","1.40","91.20","98.60","89.71","92.86","92.86","0","89.58","91.27","93.10","36.75","16.51","31.61","1,894.72","27.44"
"2020-01-12T23:00:00.000Z","94.57","0.43","0.19","55,616,000","62.87","97.24","92.12","87.00","27.96","89.91","89.91","89.91","","-19.89","93.39","1.13","0.76","-46.01","868,203.01","0.15","0.45","53.33","0.72","93.37","0.07","0.86","0.26","100.00","97.57","2,982,214,000.00","95.73","8.42","90.84","80.95","84.17","80.95","84.17","55.26","60.33","96.51","94.74","92.98","3.66","","","195.30","80.10","","100.00","62.87","60.24","0.18","0.28","-0.10","3.95","0.97","0.99","17.88","-17.88","-4.54","0.26","65.00","27.71","61.69","44.24","1.00","97.00","89.00","21,611,308.68","0.29","5.87","1.63","0.80","96.65","99.86","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.98","92.03","1,784,494,000.00","130.44","120.50","94.41","89.91","85.42","0.47","92.12","89.91","91.57","89.91","63.01","5.24","93.33","25.30","0.02","1.63","1.45","0.17","89.12","0.35","0.60","90.81","95.73","4,403,146.05","5,178,325.28","-775,179.23","100.87","93.95","87.02","62.52","93.75","91.32","88.78","87.74","107.65","18.92","95.89","0.86","99.25","94.52","89.80","94.55","94.51","94.22","93.95","93.66","93.24","91.72","91.40","91.14","90.94","90.79","90.57","0.72","1.84","-1.84","1.00","95.89","93.00","1.38","0.52","19,588,569.22","2.19","2.65","0.65","8.62","95.89","91.58","87.27","1.19","0.36","","","11.44","69.40","45.36","","28.46","-1.24","1.19","0.11","-5.48","-5.48","11.11","97.24","92.12","87.00","73.85","1.88","0.07","4.41","1.36","91.20","98.64","90.49","85.71","85.71","0","89.78","91.62","93.46","35.09","15.77","32.07","1,903.15","27.96"
"2020-01-13T23:00:00.000Z","93.47","-1.16","-1.40","68,818,000","56.77","97.18","92.39","87.60","26.87","90.01","90.01","90.01","","-37.15","93.68","1.06","0.76","61.06","874,269.61","0.09","0.44","52.61","0.89","93.66","0.05","1.64","0.26","98.22","97.70","2,913,396,000.00","95.20","-160.68","90.84","72.45","78.58","72.45","78.58","37.78","56.23","96.16","94.37","92.58","3.00","","","181.17","76.13","","50.00","56.77","57.33","0.11","0.22","-0.11","3.71","0.87","2.29","28.28","-28.28","-36.83","0.01","60.00","30.75","63.29","48.98","1.00","97.00","89.00","20,815,895.67","0.29","4.26","1.49","-0.18","95.53","99.82","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.97","92.49","1,715,676,000.00","130.44","120.60","94.51","90.01","85.51","-0.63","92.39","90.01","91.59","90.01","61.28","3.82","93.63","25.29","0.02","1.49","1.46","0.03","89.23","0.23","0.37","92.02","95.20","2,413,330.37","4,783,326.01","-2,369,995.64","100.91","93.86","86.81","59.99","94.41","91.32","88.79","87.74","104.80","18.80","95.89","1.43","99.37","94.63","89.90","94.01","94.16","94.05","93.86","93.63","93.27","91.83","91.51","91.26","91.05","90.89","90.66","0.72","1.95","-1.78","0","95.89","93.00","0.85","-0.58","6,044,740.25","1.57","2.19","0.55","8.14","95.89","91.82","87.75","-0.27","-0.47","","","10.04","38.71","48.27","","12.21","-1.85","4.16","0.10","-5.50","-5.49","10.37","97.18","92.39","87.60","61.25","1.95","-0.01","3.91","1.38","91.20","97.71","89.23","78.57","78.57","0","90.11","92.06","93.84","32.12","20.18","31.41","1,742.47","26.87"
"2020-01-14T23:00:00.000Z","93.10","-0.40","-0.64","57,932,000","54.83","97.07","92.63","88.18","26.03","90.08","90.08","90.08","","-47.16","93.94","1.04","0.79","228.67","660.60","0.16","0.44","44.01","1.09","93.93","0.03","1.19","0.25","89.97","96.16","2,855,464,000.00","94.43","-42.84","90.84","65.27","72.89","65.27","72.89","11.65","48.12","95.84","94.07","92.30","1.91","0.75","0.89","168.20","81.27","74,891,520.00","25.00","54.83","54.95","0.08","0.15","-0.08","3.35","0.73","1.22","67.78","-67.78","-51.43","-0.12","55.00","33.07","64.12","53.09","1.00","97.00","89.00","20,585,956.23","0.28","4.07","1.34","-0.63","95.53","99.78","91.40","96.06","87.74","99.72","83.08","104.38","79.42","0.96","95.89","1,657,744,000.00","129.92","120.70","94.58","90.08","85.57","-0.97","92.63","90.08","91.60","90.08","57.34","3.64","93.90","25.28","0.02","1.34","1.44","-0.10","89.38","0.07","0.08","93.47","94.43","832,568.69","4,218,932.11","-3,386,363.41","100.66","93.72","86.78","57.76","94.32","91.32","88.90","87.74","100.46","18.96","95.89","1.19","99.32","94.59","89.86","93.56","93.81","93.84","93.72","93.55","93.25","91.91","91.60","91.35","91.14","90.98","90.74","0.71","2.03","-1.59","0","95.89","93.00","0.49","-0.70","2,110,791.74","0.76","1.57","0.48","8.04","95.89","91.87","87.85","-0.94","-0.64","","","8.88","23.36","53.17","-10.01","-26.82","-1.43","8.98","0.04","-5.51","-5.50","9.59","97.07","92.63","88.18","55.34","2.06","0","3.45","1.37","91.20","97.21","89.00","71.43","71.43","0","90.39","92.42","94.01","30.13","19.83","30.63","1,699.63","26.03"
