"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","170.40","2.21","2.43","63,520,000","48.62","175.81","170.79","165.78","-1.99","172.70","172.70","172.70","158.29","-41.93","169.53","0.91","0.99","2.17","-4,792,335.57","0.10","0.29","45.01","3.65","169.47","-0.07","4.54","-0.11","7.81","2.37","1,107,560,000.00","169.05","355.86","178.61","35.73","33.56","35.73","33.56","-14.42","-14.70","174.45","169.13","163.80","3.25","","","89.39","122.58","","50.00","48.62","44.47","0.05","0.10","-0.06","-1.19","1.48","1.30","47.78","-47.78","29.33","-0.07","45.00","-22.05","-27.63","-23.95","1.00","173.00","163.00","-2,840,707.31","0.36","0.49","-1.23","0.18","98.91","","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.94","172.28","662,216,000.00","107.06","","181.34","172.70","164.07","0.92","170.79","172.70","169.33","172.70","43.91","0.84","169.34","24.07","0.07","-1.23","-1.11","-0.12","165.20","-0.10","0.07","170.51","169.05","-1,159,221.16","-1,956,083.81","796,862.64","189.17","169.63","150.08","53.09","169.30","173.44","178.06","173.46","161.19","19.47","174.17","4.54","178.27","169.78","161.30","169.19","169.20","169.43","169.63","169.84","170.17","171.26","171.40","171.49","171.53","171.54","171.50","0.83","1.17","-0.79","0","172.94","165.60","0.75","-3.79","15,413,306.45","0.20","0.41","0.68","12.30","177.50","171.35","165.20","0.40","4.24","-3.18","-59.84","69.91","","23.73","0.80","-1.91","0.06","-5.50","-5.50","5.87","175.81","170.79","165.78","46.14","0.92","0.05","-4.33","4.07","179.14","180.94","159.87","7.14","21.43","14.29","172.26","171.09","170.30","17.18","18.45","11.38","1,095.03","-1.99"
"2022-01-03T23:00:00.000Z","167.52","-1.69","-1.48","70,726,000","43.79","175.80","170.60","165.40","-5.87","172.72","172.72","172.72","","-74.06","169.51","0.96","0.93","26.35","-3,042,417.99","0.05","0.28","41.23","3.46","169.48","-0.09","5.05","-0.12","6.53","3.20","1,036,834,000.00","168.39","-255.15","178.61","33.66","32.36","33.66","32.36","-20.26","-15.71","173.91","168.50","163.09","3.43","","","86.16","114.67","","49.99","43.79","42.46","0.03","0.07","-0.04","-1.37","1.15","0.96","33.90","-33.90","-32.14","-0.66","40.00","-21.64","-26.82","-24.80","-1.00","173.00","163.00","-4,037,079.11","0.35","-0.93","-1.32","-0.54","97.23","","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.93","172.00","591,490,000.00","107.06","","181.35","172.72","164.08","-1.85","170.60","172.72","169.39","172.72","43.10","-1.57","169.41","24.08","0.07","-1.32","-1.15","-0.17","165.20","-0.19","0.20","171.03","168.39","-2,505,537.96","-2,034,577.26","-470,960.70","189.36","169.24","149.13","47.15","169.55","172.50","178.77","173.46","159.00","19.39","174.17","5.05","178.04","169.56","161.08","168.36","168.64","169.00","169.24","169.48","169.84","171.01","171.19","171.29","171.35","171.38","171.37","0.83","1.07","-0.85","0","172.94","165.60","1.80","-3.26","-15,912,470.73","-0.04","0.20","1.94","12.30","177.50","171.35","165.20","-1.23","1.90","-3.00","-77.23","71.17","","-21.36","-0.52","6.73","0.01","-5.52","-5.51","6.10","175.80","170.60","165.40","20.42","0.93","-0.02","-4.42","4.14","179.14","178.98","156.06","7.14","14.29","7.14","172.11","171.04","170.18","16.88","16.84","10.57","839.88","-5.87"
"2022-01-04T23:00:00.000Z","164.36","-1.89","-1.68","64,302,000","39.19","175.23","170.01","164.79","-9.03","172.68","172.68","172.68","","-100.00","169.06","0.94","1.07","-15.16","-2,149,184.35","0.05","0.28","37.53","3.54","169.09","-0.14","3.17","-0.12","5.08","3.58","972,532,000.00","167.57","-441.58","177.09","28.00","32.46","28.00","32.46","-43.26","-20.72","172.85","167.53","162.20","3.76","","","72.00","120.35","","37.48","39.19","39.67","-0.01","0.04","-0.05","-2.06","0.15","1.39","49.82","-49.82","-57.26","-1.05","35.00","-25.17","-30.12","-25.78","-1.00","173.00","163.00","-5,251,942.69","0.35","-5.17","-1.64","-1.21","97.23","","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.93","171.72","527,188,000.00","105.04","","181.32","172.68","164.05","-4.54","170.01","172.68","169.43","172.68","34.09","-8.96","169.14","24.04","0.04","-1.64","-1.25","-0.38","165.20","-0.22","0.22","170.60","167.57","-3,586,816.73","-2,256,325.75","-1,330,490.97","188.04","168.35","148.67","42.18","168.65","171.82","178.77","173.46","153.29","18.33","174.17","2.77","177.50","169.05","160.60","166.36","167.21","167.97","168.35","168.70","169.15","170.58","170.81","170.95","171.05","171.10","171.14","0.83","1.13","-1.16","0","172.94","165.60","-1.73","-4.50","-42,713,029.12","-0.47","-0.04","-0.16","12.30","177.50","171.35","165.20","-2.73","-0.43","-3.69","-176.29","64.24","","-41.49","-1.95","-6.68","-0.07","-5.53","-5.52","6.14","175.23","170.01","164.79","-4.12","0.82","-0.13","-4.91","4.07","179.14","175.42","153.29","-92.86","7.14","100.00","172.03","170.90","169.74","15.94","19.40","10.52","398.30","-9.03"
"2022-01-05T23:00:00.000Z","163.25","-0.67","-0.46","51,958,000","37.70","174.58","169.36","164.15","-10.58","172.57","172.57","172.57","","-88.03","168.58","0.83","1.14","-14.65","-2,409,571.85","0.10","0.30","38.62","3.48","168.58","-0.14","2.86","-0.14","3.69","3.60","920,574,000.00","166.08","-126.92","174.32","12.64","24.77","12.64","24.77","-58.76","-27.63","171.67","166.45","161.23","4.78","","","71.99","114.14","","24.98","37.70","36.49","-0.10","0","-0.10","-2.84","0.14","1.64","63.66","-63.66","-49.92","-0.90","35.00","-31.20","-35.75","-27.19","1.00","167.00","157.00","-5,600,631.89","0.35","-3.33","-1.95","-1.44","97.23","","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.93","171.40","475,230,000.00","104.33","","181.20","172.57","163.94","-5.33","169.36","172.57","169.48","172.57","34.58","-5.62","168.59","23.94","0.06","-1.95","-1.39","-0.56","164.36","-0.38","0.42","171.45","166.08","-4,298,063.41","-2,548,002.56","-1,750,060.85","186.58","167.43","148.28","41.96","167.44","169.97","178.62","173.46","155.17","17.96","174.17","2.86","176.83","168.41","159.98","164.81","165.89","166.92","167.43","167.86","168.42","170.11","170.39","170.58","170.71","170.80","170.88","0.87","1.21","-1.27","1.00","171.40","165.60","-3.26","-6.12","-44,798,240.55","-0.95","-0.47","-2.33","12.82","177.18","170.77","164.36","-3.16","-0.61","-4.42","-225.22","57.58","","-45.51","-1.73","-15.52","-0.08","-5.54","-5.53","6.16","174.58","169.36","164.15","-8.61","0.82","-0.08","-5.73","3.99","176.82","173.82","152.68","-100.00","0","100.00","171.95","170.75","169.48","15.13","22.74","11.20","271.38","-10.58"
"2022-01-06T23:00:00.000Z","162.55","-0.43","-0.22","46,606,000","36.75","174.30","168.78","163.26","-13.27","172.43","172.43","172.43","","-94.39","168.15","0.87","1.06","-45.52","-3,013,059.81","0.08","0.30","36.04","3.61","168.19","-0.16","3.21","-0.15","3.00","3.48","873,968,000.00","164.74","-84.89","174.32","5.86","15.50","5.86","15.50","-70.70","-35.46","170.77","165.62","160.47","5.61","","","73.38","106.92","","15.60","36.75","33.29","-0.20","-0.06","-0.13","-3.49","1.15","1.46","66.79","-66.79","-42.82","-1.13","35.00","-35.71","-39.80","-29.11","1.00","167.00","157.00","-5,800,468.08","0.35","-4.39","-2.23","-1.52","97.23","95.90","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.93","170.64","428,624,000.00","103.89","108.40","181.05","172.43","163.81","-5.37","168.78","172.43","169.53","172.43","36.49","-7.46","168.26","23.89","0.07","-2.23","-1.56","-0.67","161.94","-0.51","0.53","171.85","164.74","-4,821,260.01","-2,872,753.62","-1,948,506.38","185.38","166.54","147.70","42.27","167.06","169.72","177.99","173.46","156.51","17.78","172.94","3.21","176.09","167.70","159.32","163.68","164.78","165.95","166.54","167.04","167.68","169.62","169.95","170.19","170.36","170.47","170.61","0.91","1.46","-1.04","0","171.40","165.60","-2.03","-5.24","-43,059,071.58","-1.38","-0.95","-0.92","15.03","176.97","169.45","161.94","-3.27","-0.10","-5.40","-198.41","55.99","","-43.19","-1.34","-10.24","-0.07","-5.54","-5.54","6.54","174.30","168.78","163.26","-6.42","0.79","-0.14","-6.07","3.93","175.53","172.94","152.17","-57.14","35.71","92.86","171.85","170.40","169.36","15.05","21.41","11.65","186.49","-13.27"
"2022-01-09T23:00:00.000Z","161.49","-0.66","-0.44","87,798,000","35.28","174.38","168.25","162.11","-14.33","172.21","172.21","172.21","","-68.86","167.67","0.80","1.10","53.03","-165,569.64","0.09","0.39","46.04","3.66","167.68","-0.10","6.25","-0.17","2.48","3.28","786,170,000.00","162.91","-95.82","170.89","16.24","11.58","16.24","11.58","-60.36","-39.99","169.18","163.83","158.49","6.55","","","62.26","93.28","","9.34","35.28","30.10","-0.25","-0.14","-0.11","-3.85","0","2.78","61.81","-61.81","-36.43","-0.81","35.00","-40.08","-43.58","-31.48","1.00","163.00","151.00","-6,377,316.41","0.35","-3.35","-2.51","-1.55","96.59","95.90","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.92","169.95","340,826,000.00","103.89","108.42","180.82","172.21","163.60","-5.64","168.25","172.21","169.57","172.21","35.22","-5.59","167.70","23.88","0.06","-2.51","-1.75","-0.76","161.94","-0.73","0.80","173.10","162.91","-6,169,788.22","-3,343,758.57","-2,826,029.65","185.70","165.62","145.54","47.18","163.85","166.90","177.77","173.46","158.10","17.73","172.94","5.36","175.18","166.84","158.50","162.58","163.68","164.96","165.62","166.19","166.91","169.10","169.48","169.76","169.97","170.12","170.31","0.91","1.55","-1.52","0","171.40","165.60","-4.78","-10.14","-50,303,347.57","-1.82","-1.38","-2.52","13.99","175.93","168.93","161.94","-3.67","0.56","-6.17","-243.65","41.74","","-55.44","-0.88","2.11","0.02","-5.55","-5.54","7.29","174.38","168.25","162.11","-5.11","0.88","-0.14","-7.16","4.10","174.71","173.54","149.43","-71.43","28.57","100.00","171.70","170.15","168.63","13.41","29.06","13.45","90.68","-14.33"
"2022-01-10T23:00:00.000Z","165.36","2.40","2.61","62,806,000","44.01","174.26","168.04","161.81","-9.67","172.15","172.15","172.15","","-45.56","167.33","0.89","1.06","12.24","73,592.96","0.09","0.38","52.36","3.66","167.34","-0.06","5.65","-0.18","2.57","3.14","848,976,000.00","162.72","499.53","170.89","30.39","17.50","30.39","17.50","-34.51","-38.99","168.88","163.40","157.92","6.45","","","71.88","84.46","","5.43","44.01","36.06","-0.23","-0.21","-0.03","-3.59","1.61","1.16","45.60","-45.60","14.39","-0.19","40.00","-40.71","-44.13","-33.71","1.00","167.00","157.00","-4,869,838.91","0.35","-2.97","-2.39","-0.46","96.59","95.89","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.94","168.58","403,632,000.00","106.38","108.44","180.76","172.15","163.54","-1.29","168.04","172.15","169.63","172.15","35.65","-5.06","167.37","23.90","0.09","-2.39","-1.88","-0.51","156.30","-0.70","0.77","172.54","162.72","-4,156,028.08","-3,459,797.07","-696,231.01","186.47","165.57","144.68","55.23","163.85","166.90","176.09","173.46","154.65","22.00","172.94","5.65","174.18","165.89","157.59","163.97","164.24","165.05","165.57","166.06","166.72","168.86","169.25","169.55","169.77","169.93","170.15","1.07","1.56","-2.41","0","171.40","165.60","0.06","-5.59","-8,340,512.11","-1.60","-1.82","-0.53","17.86","174.17","165.24","156.30","-1.15","6.28","-6.22","-100.14","42.18","","-20.24","1.59","8.01","0.10","-5.54","-5.54","7.41","174.26","168.04","161.81","28.52","0.94","-0.12","-7.69","4.21","173.95","178.40","152.33","-71.43","21.43","92.86","171.55","169.99","167.58","20.08","26.28","13.44","590.20","-9.67"
"2022-01-11T23:00:00.000Z","165.21","-0.09","0.12","50,030,000","43.76","174.17","167.84","161.52","-11.34","172.13","172.13","172.13","","-46.49","166.95","0.91","1.08","-9.10","-759,035.68","0.07","0.38","47.14","3.69","166.98","-0.08","2.46","-0.18","0","2.51","899,006,000.00","162.73","5.60","170.89","46.36","31.00","46.36","31.00","-14.65","-34.57","168.90","163.57","158.24","6.17","","","69.28","89.05","","3.09","43.76","33.23","-0.18","-0.22","0.05","-3.35","1.26","0.65","26.96","-26.96","14.23","-0.08","40.00","-41.22","-44.76","-35.68","1.00","167.00","163.00","-4,916,733.53","0.35","-3.41","-2.28","-0.42","96.59","95.89","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.94","167.35","353,602,000.00","106.28","108.46","180.74","172.13","163.53","-1.07","167.84","172.13","169.69","172.13","35.10","-5.83","167.04","23.87","0.05","-2.28","-1.96","-0.32","156.30","-0.64","0.69","171.64","162.73","-2,590,439.97","-3,335,603.20","745,163.22","185.55","165.51","145.47","51.56","163.85","166.90","175.09","173.46","152.60","21.82","172.94","2.46","173.32","165.07","156.81","164.59","164.56","165.08","165.51","165.93","166.53","168.62","169.03","169.34","169.57","169.75","169.99","1.07","1.81","-2.67","-1.00","171.40","156.30","0.74","-1.72","-8,256,808.80","-1.13","-1.60","-0.75","17.86","174.17","165.24","156.30","-0.99","8.09","-6.45","-56.69","41.35","","-18.52","1.50","-1.04","0.05","-5.53","-5.54","7.54","174.17","167.84","161.52","29.16","0.96","-0.20","-7.32","4.08","173.95","177.11","153.30","-71.43","14.29","85.71","171.27","169.46","166.79","20.14","25.15","13.27","595.80","-11.34"
"2022-01-12T23:00:00.000Z","161.21","-2.42","-2.20","52,188,000","37.71","173.67","167.24","160.81","-16.35","172.05","172.05","172.05","","-70.49","166.34","0.82","1.08","41.86","-1,230,581.94","0.10","0.37","43.56","3.90","166.40","-0.11","5.13","-0.19","0","2.01","846,818,000.00","161.88","-477.84","170.89","45.82","40.86","45.82","40.86","-15.60","-31.12","168.58","163.16","157.75","6.34","","","54.92","101.20","","1.72","37.71","30.58","-0.14","-0.20","0.06","-3.69","1.20","2.35","12.96","-12.96","-26.39","-0.95","35.00","-43.76","-47.24","-37.76","-1.00","167.00","157.00","-6,178,099.49","0.35","-5.76","-2.48","-1.20","94.26","95.88","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.93","166.88","301,414,000.00","106.28","108.48","180.65","172.05","163.44","-4.28","167.24","172.05","169.72","172.05","29.67","-9.85","166.51","24.00","0.10","-2.48","-2.06","-0.42","156.30","-0.66","0.70","171.11","161.88","-3,352,131.93","-3,337,964.44","-14,167.49","185.33","164.73","144.13","40.29","163.85","166.74","175.22","173.46","150.20","24.24","172.94","5.13","172.56","164.34","156.12","162.90","163.45","164.22","164.73","165.20","165.86","168.14","168.59","168.94","169.21","169.41","169.70","1.07","2.36","-3.47","0","171.40","156.30","0.79","-4.34","-36,846,762.75","-0.80","-1.13","-2.43","17.86","174.17","165.24","156.30","-2.98","5.92","-7.33","-108.55","43.80","","-26.67","-0.41","4.49","-0.06","-5.53","-5.53","7.69","173.67","167.24","160.81","3.15","0.92","-0.28","-6.82","4.16","173.95","173.82","148.61","-71.43","7.14","78.57","171.05","168.70","165.23","18.37","28.64","13.89","117.96","-16.35"
"2022-01-13T23:00:00.000Z","162.14","0.57","0.79","45,974,000","39.79","173.65","166.90","160.15","-14.01","171.90","171.90","171.90","","-63.25","165.71","0.81","1.18","-21.66","-2,081,706.98","0.10","0.38","50.30","4.00","165.74","-0.07","2.45","-0.20","0","1.61","892,792,000.00","161.34","37.14","170.89","39.92","44.03","39.92","44.03","-17.66","-28.67","168.35","163.08","157.81","6.34","0.69","0.80","54.96","97.57","69,880,900.00","0.86","39.79","36.12","-0.12","-0.16","0.04","-3.76","0.61","1.32","23.89","-23.89","-11.81","-0.33","40.00","-45.51","-48.92","-40.12","1.00","163.00","157.00","-5,914,600.10","0.35","-4.44","-2.55","-0.89","94.26","95.87","169.97","174.74","161.94","182.77","157.17","187.54","149.14","0.93","166.88","347,388,000.00","106.89","108.50","180.50","171.90","163.31","-2.77","166.90","171.90","169.74","171.90","30.27","-7.53","165.79","24.09","0.05","-2.55","-2.16","-0.39","156.30","-0.66","0.70","170.56","161.34","-3,904,651.60","-3,418,919.75","-485,731.84","184.02","164.26","144.49","48.57","163.85","166.64","175.22","173.46","144.83","24.38","172.94","2.45","171.97","163.78","155.59","162.52","163.01","163.76","164.26","164.73","165.40","167.76","168.24","168.61","168.90","169.13","169.45","1.07","2.82","-3.18","1.00","166.88","156.30","-2.71","-5.16","-25,514,397.96","-0.77","-0.80","-3.44","17.86","174.17","165.24","156.30","-2.10","8.53","-7.69","-124.33","44.66","-2.06","-46.27","0.49","4.20","0.02","-5.53","-5.53","8.09","173.65","166.90","160.15","14.71","0.84","-0.19","-6.83","4.04","173.78","173.69","150.59","-71.43","0","71.43","170.89","168.07","164.89","17.57","29.69","14.72","155.10","-14.01"
