"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2021-01-03T23:00:00.000Z","42.52","-2.88","-3.06","24,171,000","55.89","44.20","42.41","40.61","8.24","39.55","39.55","39.55","44.57","-46.96","42.80","1.12","0.67","-9.35","-987,357.19","0.08","0.40","43.18","1.37","42.80","0.11","2.10","0.42","94.56","98.89","1,533,821,000.00","43.51","-149.91","41.12","81.15","85.54","81.15","85.54","37.90","57.77","44.41","43.18","41.94","1.34","","","154.87","84.54","","31.36","55.89","60.82","0.04","0.15","-0.11","9.11","1.69","3.17","29.27","-29.27","-54.35","-0.26","65.00","336.52","105.41","112.29","-1.00","47.00","41.00","4,817,053.58","0.12","4.78","1.02","-0.29","126.85","","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.09","42.12","562,990,000.00","106.85","","41.53","39.55","37.57","-0.51","42.41","39.55","33.11","39.55","74.46","1.94","42.79","25.10","0.09","1.02","1.13","-0.11","39.83","0.11","0.42","42.00","43.51","-240,261.30","371,148.84","-611,410.14","47.75","42.91","38.06","60.05","43.17","41.56","37.48","36.87","47.01","24.06","43.85","2.10","45.26","43.11","40.95","43.02","43.07","43.00","42.91","42.79","42.58","41.48","41.14","40.83","40.53","40.24","39.71","0.53","1.37","-0.82","0","43.56","42.68","1.50","-0.60","-1,621,599.18","2.27","3.10","0.54","4.04","43.85","41.83","39.81","-0.67","-1.27","","","8.50","48.65","48.35","","-19.36","-2.32","9.35","0.24","-5.50","-5.49","8.47","44.20","42.41","40.61","53.23","1.15","0.14","2.39","0.95","41.14","45.68","39.36","100.00","100.00","0","40.59","41.95","42.78","24.69","20.84","31.88","1,040.17","8.24"
"2021-01-04T23:00:00.000Z","42.81","0.68","0.50","15,069,000","57.62","44.20","42.49","40.78","8.81","39.66","39.66","39.66","","-48.34","42.91","1.07","0.83","-42.30","-974,885.22","0.10","0.38","49.34","1.30","42.91","0.13","0.70","0.40","91.84","97.48","1,518,752,000.00","43.27","3.48","41.12","67.69","79.53","67.69","79.53","12.67","49.57","44.31","43.10","41.89","0.99","","","156.65","79.15","","15.68","57.62","62.38","-0.05","0.08","-0.12","8.78","0.67","0.94","50.71","-50.71","-25.18","-0.28","65.00","329.40","100.30","110.98","1.00","43.00","41.00","4,919,116.10","0.12","3.96","0.95","-0.12","126.85","","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.09","44.22","578,059,000.00","107.57","","41.64","39.66","37.68","-0.24","42.49","39.66","33.22","39.66","67.10","1.63","42.90","25.31","0.05","0.95","1.09","-0.14","40.60","0.05","0.19","42.52","43.27","-648,008.25","225,554.97","-873,563.22","47.59","42.89","38.18","57.24","43.17","41.75","37.68","36.95","47.84","22.08","44.22","0.70","45.27","43.11","40.96","42.91","42.99","42.96","42.89","42.79","42.61","41.57","41.24","40.92","40.63","40.34","39.81","0.49","1.36","-0.77","0","43.56","42.68","0.21","-0.49","-769,956.10","1.22","2.27","0.18","4.40","44.22","42.03","39.83","-0.27","-1.09","","","7.59","18.32","56.03","","-1.72","-1.08","9.93","0.22","-5.50","-5.50","8.05","44.20","42.49","40.78","59.42","0.99","0.12","2.08","0.93","41.14","45.76","39.86","92.86","92.86","0","40.78","42.14","42.90","23.37","19.73","30.21","1,043.65","8.81"
"2021-01-05T23:00:00.000Z","42.55","-0.62","-0.80","17,226,000","55.48","44.21","42.51","40.81","7.90","39.77","39.77","39.77","","-66.38","42.98","1.01","0.84","-18.77","-781,935.56","0.09","0.37","44.44","1.46","42.98","0.11","1.40","0.38","81.16","94.22","1,501,526,000.00","43.02","-4.07","41.12","46.11","64.98","46.11","64.98","-10.89","38.57","44.28","43.03","41.78","0.81","","","138.81","81.17","","7.84","55.48","59.64","-0.13","0","-0.13","8.30","1.74","1.27","45.77","-45.77","-38.73","-0.13","60.00","322.00","94.28","108.97","-1.00","47.00","41.00","4,812,887.12","0.11","1.77","0.86","-0.43","126.07","","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.07","44.22","560,833,000.00","107.57","","41.75","39.77","37.78","-0.50","42.51","39.77","33.34","39.77","66.62","0.74","42.98","25.52","0.08","0.86","1.05","-0.19","41.30","0.01","0","42.93","43.02","-325,366.93","146,851.84","-472,218.77","47.76","42.83","37.89","56.10","43.14","41.75","37.92","37.13","48.63","21.39","44.22","1.40","45.27","43.11","40.96","42.73","42.84","42.87","42.83","42.75","42.60","41.63","41.31","41.00","40.71","40.43","39.90","0.41","1.31","-0.78","1.00","44.22","42.68","0.75","-0.65","-1,309,628.51","0.44","1.22","0.15","4.40","44.22","42.03","39.83","-1.00","-1.55","","","6.05","17.52","63.41","","-17.42","-1.11","5.16","0.17","-5.51","-5.50","8.00","44.21","42.51","40.81","51.03","1.03","0.10","1.85","0.97","41.14","45.75","39.35","85.71","85.71","0","40.95","42.26","43.04","24.78","17.68","29.25","1,039.57","7.90"
"2021-01-06T23:00:00.000Z","44.34","4.21","4.03","21,267,000","65.02","44.48","42.61","40.74","9.69","39.93","39.93","39.93","","-4.99","43.10","1.02","0.80","-8.17","-299,494.24","0.09","0.32","54.19","1.46","43.10","0.16","1.91","0.37","82.50","91.87","1,522,793,000.00","43.30","270.00","41.12","60.10","57.97","60.10","57.97","10.66","33.50","44.53","43.20","41.87","1.03","","","163.80","79.19","","4.22","65.02","62.12","-0.16","-0.08","-0.08","9.10","1.71","0.48","33.79","-33.79","69.09","-0.03","60.00","318.58","90.75","106.60","-1.00","47.00","43.00","5,709,133.87","0.12","4.35","0.92","1.08","131.38","","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.10","42.05","582,100,000.00","107.57","","41.92","39.93","37.93","1.22","42.61","39.93","33.45","39.93","66.47","1.85","43.09","25.76","0.07","0.92","1.02","-0.10","41.70","0.03","0.05","42.89","43.30","55,230.16","133,763.03","-78,532.87","48.50","43.10","37.70","59.47","43.26","42.13","38.08","37.28","48.91","29.16","44.22","1.40","45.30","43.14","40.99","43.53","43.34","43.19","43.10","43.00","42.82","41.80","41.48","41.17","40.87","40.58","40.05","0.35","1.29","-0.66","0","44.22","42.68","1.52","0.12","4,324,849.20","0.45","0.44","0.43","4.40","44.22","42.03","39.83","2.85","0.01","","","6.17","127.31","67.74","","33.11","2.35","9.42","0.21","-5.49","-5.50","8.79","44.48","42.61","40.74","96.12","1.38","0.11","1.75","1.03","41.14","48.05","40.63","100.00","100.00","0","41.11","42.40","43.06","28.42","15.34","29.29","1,309.58","9.69"
"2021-01-07T23:00:00.000Z","44.56","0.51","0.33","15,271,000","66.00","44.76","42.76","40.76","10.39","40.10","40.10","40.10","","-14.77","43.23","1.02","0.79","-10.97","-396,413.51","0.09","0.36","56.99","1.46","43.23","0.16","1.13","0.36","84.88","90.47","1,538,064,000.00","43.60","20.50","41.12","71.29","59.16","71.29","59.16","33.75","33.55","44.70","43.36","42.01","1.23","","","159.58","79.36","","12.26","66.00","64.89","-0.12","-0.12","0.01","9.72","1.26","0.31","73.37","-73.37","60.15","-0.01","65.00","316.83","88.75","103.74","-1.00","47.00","43.00","5,786,626.63","0.12","4.59","0.98","1.16","131.38","104.93","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.10","42.05","597,371,000.00","108.12","98.20","42.10","40.10","38.09","1.30","42.76","40.10","33.57","40.10","66.29","1.95","43.22","26.01","0.07","0.98","1.01","-0.03","42.05","0.05","0.13","42.84","43.60","272,664.39","153,606.08","119,058.31","48.79","43.37","37.94","60.70","43.53","42.40","38.30","37.51","48.25","27.14","44.46","1.13","45.35","43.19","41.03","44.05","43.75","43.50","43.37","43.24","43.04","41.98","41.65","41.33","41.03","40.74","40.20","0.33","1.26","-0.42","-1.00","44.22","42.05","1.83","0.69","4,197,863.84","0.74","0.45","0.67","4.63","44.46","42.14","39.83","3.04","0.01","","","6.28","162.83","61.58","","28.13","2.16","7.50","0.26","-5.48","-5.49","9.34","44.76","42.76","40.76","95.20","1.26","0.11","1.74","1.04","41.35","48.21","40.92","14.29","100.00","85.71","41.29","42.55","42.97","29.92","14.15","29.76","1,330.08","10.39"
"2021-01-10T23:00:00.000Z","44.58","0.03","-0.15","11,660,000","66.06","44.91","42.94","40.96","10.93","40.30","40.30","40.30","","-14.36","43.33","1.05","0.83","-74.23","-755,886.85","0.07","0.34","55.92","1.46","43.33","0.16","0.84","0.36","85.50","89.48","1,549,724,000.00","43.97","14.13","41.15","88.63","73.34","88.63","73.34","49.34","36.42","45.09","43.77","42.44","1.40","","","159.04","78.76","","28.30","66.06","67.77","-0.05","-0.12","0.07","9.79","1.10","0.84","74.19","-74.19","46.29","0.14","70.00","315.98","86.64","100.45","-1.00","47.00","43.00","5,789,766.66","0.12","2.58","1.01","1.14","131.38","105.05","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.10","42.17","609,031,000.00","108.15","98.23","42.31","40.30","38.28","1.21","42.94","40.30","33.67","40.30","60.65","1.12","43.33","26.13","0.07","1.01","1.01","0","42.05","0.10","0.32","42.59","43.97","392,417.01","187,721.93","204,695.08","48.89","43.59","38.28","63.71","43.53","42.40","38.30","37.51","48.33","26.73","45.00","0.84","45.44","43.27","41.11","44.31","44.02","43.74","43.59","43.44","43.23","42.15","41.81","41.49","41.18","40.89","40.34","0.41","1.20","-0.30","0","44.22","42.05","1.51","0.67","3,618,159.30","1.15","0.74","0.65","5.17","45.00","42.41","39.83","2.88","-0.17","","","6.36","156.84","60.22","","27.70","1.36","0.44","0.31","-5.47","-5.48","9.21","44.91","42.94","40.96","91.46","1.17","0.10","1.81","1.03","41.56","47.99","41.16","14.29","92.86","78.57","41.43","42.63","42.93","28.18","13.32","30.19","1,344.21","10.93"
"2021-01-11T23:00:00.000Z","44.94","0.81","0.63","13,846,000","67.75","45.00","43.15","41.31","11.30","40.48","40.48","40.48","","-15.69","43.48","1.10","0.78","-27.49","-854,529.65","0.10","0.37","53.71","1.42","43.48","0.15","0.92","0.36","86.33","88.85","1,563,570,000.00","44.32","49.34","41.79","85.06","81.66","85.06","81.66","58.43","40.42","45.51","44.19","42.88","1.60","","","175.83","76.49","","50.38","67.75","70.72","0","-0.08","0.08","9.92","1.72","0.38","67.85","-67.85","40.64","0.12","75.00","316.64","86.44","97.29","1.00","47.00","43.00","5,902,519.79","0.12","4.78","1.06","1.37","132.45","105.19","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.11","42.28","622,877,000.00","108.15","98.26","42.51","40.48","38.46","1.37","43.15","40.48","33.78","40.48","69.52","2.05","43.49","26.13","0.07","1.06","1.02","0.04","42.05","0.13","0.43","42.50","44.32","547,336.15","239,095.39","308,240.76","49.06","43.83","38.60","63.63","43.77","42.65","38.51","37.56","49.00","26.80","45.00","0.92","45.61","43.44","41.27","44.63","44.33","44.01","43.83","43.67","43.44","42.33","41.98","41.66","41.35","41.05","40.49","0.41","1.04","-0.47","0","44.22","42.05","1.88","0.96","3,819,291.35","1.58","1.15","0.95","5.17","45.00","42.41","39.83","3.37","-0.09","","","6.74","190.99","54.08","","39.99","1.37","-3.19","0.25","-5.46","-5.47","8.56","45.00","43.15","41.31","98.30","1.13","0.11","2.11","1.02","41.59","48.22","41.65","28.57","100.00","71.43","41.58","42.62","43.09","30.56","12.47","31.04","1,393.55","11.30"
"2021-01-12T23:00:00.000Z","45.12","0.40","0.22","13,118,000","68.60","45.15","43.35","41.55","11.61","40.69","40.69","40.69","","-10.37","43.62","1.08","0.80","-26.83","-980,149.74","0.08","0.37","59.13","1.42","43.62","0.15","0.54","0.36","92.54","89.59","1,576,688,000.00","44.72","18.99","42.08","86.52","86.74","86.52","86.74","66.20","45.11","45.98","44.71","43.43","1.81","","","159.19","81.28","","68.41","68.60","73.52","0.04","-0.03","0.08","9.93","1.19","0.73","63.46","-63.46","31.09","0.11","75.00","319.20","87.92","94.56","1.00","47.00","43.00","5,955,646.60","0.12","4.18","1.09","1.52","132.45","105.32","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.11","42.48","635,995,000.00","108.59","98.30","42.72","40.69","38.65","1.39","43.35","40.69","33.88","40.69","68.84","1.81","43.63","26.02","0.04","1.09","1.04","0.06","42.05","0.17","0.59","42.32","44.72","671,469.08","300,863.06","370,606.02","49.04","44.07","39.09","61.89","43.77","42.65","38.81","37.84","47.64","26.21","45.48","0.54","45.89","43.71","41.52","44.87","44.59","44.25","44.07","43.90","43.65","42.51","42.16","41.83","41.51","41.21","40.64","0.47","0.91","-0.72","0","44.22","42.05","1.54","1.00","3,614,744.81","2.02","1.58","0.90","4.88","45.48","43.04","40.60","3.48","-0.17","","","7.06","172.19","54.04","","34.91","0.89","0.52","0.24","-5.45","-5.46","8.32","45.15","43.35","41.55","99.07","1.22","0.06","2.38","0.98","41.97","48.07","42.17","28.57","92.86","64.29","41.73","42.64","43.36","29.37","11.98","31.82","1,412.54","11.61"
"2021-01-13T23:00:00.000Z","45.21","0.19","0.01","19,692,000","69.01","45.35","43.52","41.69","11.70","40.89","40.89","40.89","","-16.94","43.80","1.13","0.78","86.96","-542,978.59","0.10","0.40","55.75","1.30","43.80","0.10","0.73","0.37","94.99","90.67","1,596,380,000.00","44.98","3.59","42.61","85.66","85.75","85.66","85.75","67.85","49.24","46.14","44.88","43.63","1.88","","","152.43","89.31","","80.92","69.01","76.15","0.08","0.02","0.06","9.93","1.93","0.40","50.25","-50.25","21.63","0.27","75.00","319.00","87.50","92.00","1.00","47.00","43.00","5,993,180.30","0.12","6.25","1.12","1.47","132.71","105.46","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.11","42.66","655,687,000.00","108.59","98.34","42.93","40.89","38.85","1.31","43.52","40.89","33.99","40.89","75.68","2.66","43.81","25.89","0.04","1.12","1.05","0.07","42.05","0.18","0.61","42.43","44.98","923,829.80","389,858.31","533,971.50","49.12","44.27","39.43","59.71","43.95","42.84","39.41","38.36","47.19","25.85","45.48","0.72","46.22","44.02","41.82","45.04","44.80","44.47","44.27","44.10","43.85","42.68","42.33","41.99","41.67","41.37","40.79","0.47","0.93","-0.80","0","44.22","42.05","1.84","1.12","3,340,289.59","2.46","2.02","1.03","4.18","45.48","43.39","41.30","3.22","-0.22","","","7.89","167.84","49.13","","31.77","0.50","-2.92","0.16","-5.45","-5.45","8.41","45.35","43.52","41.69","96.07","1.27","0.11","2.53","0.97","42.21","48.00","42.41","42.86","100.00","57.14","41.85","42.78","43.58","31.49","11.33","32.91","1,416.13","11.70"
"2021-01-14T23:00:00.000Z","44.58","-1.38","-1.56","18,165,000","62.58","45.45","43.63","41.81","11.08","41.07","41.07","41.07","","-33.32","43.91","1.05","0.82","340.58","-316,089.75","0.08","0.42","56.18","1.34","43.91","0.09","1.14","0.37","100.00","92.53","1,578,215,000.00","45.09","-82.32","42.61","79.79","83.99","79.79","83.99","58.80","50.98","46.15","44.89","43.62","1.89","0.96","1.35","131.77","90.04","39,129,000.00","89.96","62.58","68.73","0.09","0.06","0.03","9.74","1.04","2.45","29.90","-29.90","-7.93","0.20","70.00","315.58","84.44","89.67","-1.00","47.00","43.00","5,743,248.66","0.12","3.34","1.07","0.70","132.71","105.59","42.48","45.15","41.11","46.52","38.44","49.19","37.07","1.10","42.91","637,522,000.00","107.09","98.38","43.13","41.07","39.02","0.55","43.63","41.07","34.10","41.07","68.59","1.44","43.92","25.70","0.05","1.07","1.06","0.02","42.05","0.18","0.62","42.52","45.09","340,165.26","382,759.30","-42,594.04","49.26","44.33","39.40","54.80","43.95","42.84","39.73","38.56","48.09","27.10","45.85","0.93","46.51","44.30","42.08","44.81","44.73","44.49","44.33","44.17","43.94","42.81","42.45","42.12","41.80","41.49","40.92","0.51","1.08","-0.88","0","44.22","42.05","0.91","-0.03","1,249,011.09","2.12","2.46","0.73","4.15","45.85","43.77","41.70","1.57","-0.90","","","7.64","81.11","50.43","3.71","53.79","-1.14","0.86","0.12","-5.44","-5.45","8.35","45.45","43.63","41.81","76.32","1.33","0.05","2.40","0.98","42.33","47.51","41.66","42.86","92.86","50.00","41.90","42.99","43.87","28.87","18.18","32.18","1,333.81","11.08"
