"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","66.33","-0.31","-0.27","22,591,000","67.66","70.01","63.56","57.11","34.92","58.42","58.42","58.42","63.51","-20.02","65.11","1.18","0.82","-16.01","-1,683,317.40","0.08","0.49","49.67","1.30","65.07","0.15","1.05","0.69","100.00","98.64","1,083,290,000.00","67.78","-23.03","62.45","81.76","85.89","81.76","85.89","65.72","73.77","68.69","66.71","64.73","3.68","","","231.48","78.98","","100.00","67.66","60.29","0.28","0.30","-0.02","13.03","1.23","1.25","18.01","-18.01","-13.97","0.15","60.00","322.37","166.17","149.94","1.00","71.00","61.00","12,303,792.32","0.14","6.70","2.70","0.78","111.70","","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.19","65.79","569,834,000.00","138.72","","61.34","58.42","55.50","0.69","63.56","58.42","50.34","58.42","62.51","4.17","65.00","26.57","0.05","2.70","2.68","0.01","60.56","0.39","0.74","62.28","67.78","310,682.18","1,258,188.69","-947,506.50","73.24","65.75","58.26","67.80","65.55","61.05","55.26","52.50","61.13","14.97","67.78","1.05","69.85","66.53","63.20","66.49","66.46","66.11","65.75","65.35","64.73","62.00","61.26","60.58","59.97","59.41","58.42","0.75","3.37","-2.68","0","67.78","60.56","2.02","0.98","8,579,945.10","2.85","3.48","2.24","12.74","67.78","61.41","55.04","1.70","1.74","","21.00","77.07","44.30","","38.03","-2.18","-8.37","0.18","-5.47","-5.45","20.29","70.01","63.56","57.11","71.49","1.30","0.14","6.60","1.52","62.60","70.12","62.55","64.29","71.43","7.14","59.20","62.58","65.26","31.42","9.38","51.49","2,679.39","34.92"
"2022-01-03T23:00:00.000Z","67.09","1.15","1.19","21,103,000","69.77","69.83","64.09","58.35","36.29","58.73","58.73","58.73","","-10.15","65.50","1.22","0.76","-41.31","-1,630,585.11","0.06","0.48","53.62","1.09","65.46","0.18","1.50","0.68","100.00","98.92","1,104,393,000.00","67.72","61.37","62.45","84.24","84.21","84.24","84.21","64.23","72.04","68.72","66.75","64.77","3.15","","","259.58","71.55","","100.00","69.77","61.78","0.25","0.29","-0.04","13.01","1.21","1.38","13.93","-13.93","13.01","0.10","60.00","326.02","165.76","155.10","1.00","71.00","61.00","12,545,580.97","0.14","9.11","2.64","1.02","111.70","","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.20","67.78","590,937,000.00","140.31","","61.67","58.73","55.80","1.03","64.09","58.73","50.44","58.73","70.63","5.60","65.37","26.31","0.07","2.64","2.67","-0.04","60.56","0.32","0.68","63.20","67.72","647,699.52","1,170,975.95","-523,276.43","73.48","65.99","58.50","69.14","65.85","61.09","55.16","52.50","59.14","14.27","67.78","1.50","70.04","66.70","63.37","66.79","66.67","66.32","65.99","65.62","65.03","62.33","61.58","60.90","60.28","59.71","58.70","0.75","3.53","-2.44","0","67.78","60.56","1.80","0.30","9,645,427.96","2.28","2.85","2.56","12.18","67.78","61.69","55.60","2.24","3.06","","19.21","74.16","46.68","","45.30","-0.94","-0.32","0.19","-5.48","-5.47","17.92","69.83","64.09","58.35","76.14","1.33","0.19","6.15","1.52","62.60","71.02","63.17","64.29","64.29","0","59.64","63.16","65.60","29.22","10.59","51.15","2,740.76","36.29"
"2022-01-04T23:00:00.000Z","64.30","-4.16","-4.12","34,961,000","55.46","69.61","64.35","59.10","33.47","58.98","58.98","58.98","","-52.46","65.62","1.13","0.86","20.17","-465,206.99","0.09","0.44","39.32","1.65","65.61","0.10","2.92","0.66","90.32","97.20","1,069,432,000.00","67.15","-370.66","62.45","72.46","79.48","72.46","79.48","36.57","65.59","68.25","66.15","64.06","3.11","","","183.21","85.54","","50.00","55.46","59.17","0.17","0.25","-0.08","12.05","1.13","2.02","37.48","-37.48","-70.06","-0.36","55.00","323.56","159.91","158.54","-1.00","71.00","61.00","11,090,696.61","0.14","0.49","2.34","-0.83","107.05","","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.17","67.73","555,976,000.00","140.31","","61.93","58.98","56.03","-1.82","64.35","58.98","50.53","58.98","61.65","0.31","65.59","26.27","0.08","2.34","2.61","-0.27","61.03","0.23","0.36","63.91","67.15","-248,583.08","968,181.80","-1,216,764.88","73.88","65.68","57.48","56.26","65.99","61.09","55.27","52.50","57.34","26.39","67.78","2.92","70.03","66.70","63.36","65.55","65.88","65.87","65.68","65.42","64.94","62.46","61.73","61.07","60.45","59.89","58.89","0.72","3.53","-2.15","0","67.78","60.56","1.86","-1.06","-5,676,933.98","1.52","2.28","1.06","10.58","67.78","62.49","57.20","-2.05","0.92","","15.08","27.65","47.12","","-16.61","-4.43","0.29","0.09","-5.51","-5.49","16.33","69.61","64.35","59.10","49.49","1.38","0.07","5.56","1.62","62.65","69.19","59.41","57.14","57.14","0","60.15","63.68","65.83","25.46","15.94","49.14","2,370.10","33.47"
"2022-01-05T23:00:00.000Z","63.70","-0.93","-0.88","28,581,000","52.96","69.22","64.60","59.97","32.30","59.18","59.18","59.18","","-65.00","65.73","1.10","0.96","-33.14","-55,805.82","0.05","0.45","39.32","2.07","65.72","0.06","1.42","0.63","72.91","92.34","1,040,851,000.00","66.14","-58.77","62.45","57.46","71.39","57.46","71.39","-0.01","53.66","67.67","65.59","63.51","2.65","","","191.38","85.33","","25.00","52.96","55.76","0.03","0.19","-0.16","10.65","0.60","1.26","73.38","-73.38","-59.82","-0.52","55.00","317.38","150.68","159.65","-1.00","67.00","61.00","10,825,331.62","0.14","2.63","2.03","-1.28","107.05","","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.15","67.59","527,395,000.00","139.00","","62.14","59.18","56.22","-2.35","64.60","59.18","50.62","59.18","63.89","1.63","65.70","26.17","0.05","2.03","2.49","-0.46","61.15","0.06","0.03","65.33","66.14","-926,247.00","697,549.12","-1,623,796.11","73.42","65.32","57.23","56.04","65.61","61.09","55.32","52.50","57.86","25.52","67.78","1.42","69.83","66.51","63.18","64.62","65.16","65.39","65.32","65.15","64.78","62.54","61.84","61.20","60.60","60.04","59.04","0.72","3.41","-1.90","1.00","67.22","60.56","-0.17","-1.60","-7,303,510.49","0.67","1.52","0.50","9.53","67.78","63.01","58.24","-3.13","1.10","","11.69","-19.11","46.69","","-39.78","-3.82","-7.07","0.05","-5.54","-5.51","14.33","69.22","64.60","59.97","40.36","1.39","0.09","4.78","1.61","62.65","68.47","58.94","50.00","50.00","0","60.68","64.09","65.99","23.85","18.30","46.57","2,311.33","32.30"
"2022-01-06T23:00:00.000Z","61.92","-2.81","-2.76","27,832,000","46.23","68.63","64.77","60.91","30.23","59.37","59.37","59.37","","-98.84","65.68","1.01","1.00","-45.06","205,836.76","0.06","0.45","33.07","3.00","65.69","0","2.15","0.58","45.70","83.01","1,013,019,000.00","64.83","-225.63","67.95","27.90","52.61","27.90","52.61","-38.54","36.90","66.80","64.67","62.54","3.12","","","162.83","88.69","","12.50","46.23","51.06","-0.12","0.09","-0.21","8.12","0.43","2.12","67.57","-67.57","-58.98","-0.62","55.00","308.92","139.66","158.69","-1.00","67.00","61.00","10,044,150.73","0.13","-2.49","1.62","-2.23","107.05","98.59","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.12","67.34","499,563,000.00","135.10","117.81","62.34","59.37","56.41","-3.92","64.77","59.37","50.70","59.37","53.42","-1.58","65.71","26.12","0.08","1.62","2.32","-0.70","61.51","-0.13","0.11","66.60","64.83","-1,524,427.66","380,123.86","-1,904,551.52","73.06","64.70","56.35","51.43","64.81","61.09","55.49","52.50","60.28","26.35","67.78","2.15","69.44","66.13","62.83","63.27","64.08","64.62","64.70","64.65","64.42","62.50","61.85","61.23","60.65","60.11","59.14","0.70","3.24","-1.67","0","67.22","60.56","-0.60","-2.75","-13,369,232.69","-0.08","0.67","-0.23","9.53","67.78","63.01","58.24","-5.69","0.15","","7.15","-83.73","48.16","","-70.49","-4.70","-8.04","0.04","-5.56","-5.54","11.92","68.63","64.77","60.91","12.97","1.44","-0.01","3.85","1.65","62.65","67.02","56.81","42.86","42.86","0","61.19","64.42","66.09","21.63","23.53","43.55","2,085.71","30.23"
"2022-01-09T23:00:00.000Z","62.12","0.32","0.37","29,793,000","47.05","68.70","64.72","60.75","31.99","59.56","59.56","59.56","","-76.29","65.52","0.89","1.11","-9.08","564,914.72","0.08","0.46","40.58","3.67","65.53","0.05","1.85","0.52","28.51","72.11","983,226,000.00","63.75","27.42","66.39","19.96","35.11","19.96","35.11","-51.32","20.86","65.97","63.83","61.68","3.58","","","157.31","82.84","","6.25","47.05","55.59","-0.24","-0.04","-0.20","6.64","0.17","1.81","78.23","-78.23","-40.78","-0.50","55.00","297.49","125.53","155.45","-1.00","67.00","59.00","10,140,870.41","0.13","-3.70","1.30","-1.98","107.40","98.63","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.13","66.90","529,356,000.00","135.10","117.95","62.54","59.56","56.58","-3.43","64.72","59.56","50.77","59.56","44.28","-2.39","65.55","26.02","0.06","1.30","2.11","-0.82","61.85","-0.27","0.36","67.47","63.75","-2,107,194.11","24,792.72","-2,131,986.83","72.68","64.23","55.79","52.46","64.03","61.41","55.49","52.50","59.72","24.59","67.78","1.85","68.90","65.62","62.34","62.69","63.42","64.06","64.23","64.26","64.14","62.47","61.86","61.27","60.72","60.19","59.24","0.67","3.04","-1.30","0","67.22","60.56","-2.04","-3.88","-10,603,856.68","-0.72","-0.08","-1.32","7.21","67.78","64.17","60.56","-5.14","1.30","","2.92","-114.74","39.22","","-63.84","-2.63","-2.79","0.09","-5.58","-5.56","12.28","68.70","64.72","60.75","17.22","1.13","-0.03","2.65","1.66","66.63","67.30","56.93","-64.29","35.71","100.00","61.66","64.70","66.00","19.91","28.06","41.65","2,113.13","31.99"
"2022-01-10T23:00:00.000Z","62.21","0.14","0.19","19,037,000","47.43","68.69","64.72","60.75","32.73","59.74","59.74","59.74","","-75.09","65.36","0.90","1.10","-47.89","-18,222.67","0.03","0.46","41.83","4.21","65.37","0.06","1.34","0.46","15.91","60.87","964,189,000.00","62.79","29.92","66.39","16.59","21.48","16.59","21.48","-53.38","7.36","64.97","62.85","60.73","3.94","","","147.59","80.85","","3.12","47.43","59.81","-0.28","-0.16","-0.12","6.15","1.32","1.37","65.63","-65.63","-25.14","-0.32","60.00","287.28","112.75","150.14","-1.00","67.00","61.00","10,168,146.90","0.13","-3.74","1.04","-1.88","107.40","98.64","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.12","66.25","548,393,000.00","135.30","118.09","62.73","59.74","56.75","-2.99","64.72","59.74","50.84","59.74","41.07","-2.42","65.41","25.94","0.07","1.04","1.90","-0.86","60.36","-0.39","0.63","68.21","62.79","-1,586,378.31","-205,374.57","-1,381,003.74","72.13","63.86","55.60","57.00","63.96","61.69","55.40","52.50","57.90","25.01","67.78","1.34","68.22","64.97","61.72","62.45","63.02","63.65","63.86","63.95","63.89","62.46","61.88","61.32","60.78","60.27","59.33","0.76","2.85","-0.71","0","67.22","60.56","-1.15","-2.49","-8,846,976.24","-1.11","-0.72","-1.08","7.42","67.78","64.07","60.36","-4.75","2.25","","-0.70","-91.03","38.72","","-70.01","-0.94","-2.51","0.14","-5.58","-5.58","12.26","68.69","64.72","60.75","18.27","1.03","0.01","1.61","1.64","66.63","67.16","57.25","-64.29","28.57","92.86","62.07","64.92","65.63","21.34","26.42","39.43","2,143.05","32.73"
"2022-01-11T23:00:00.000Z","62.20","-0.01","0.04","18,806,000","47.40","68.62","64.76","60.89","31.84","59.93","59.93","59.93","","-75.16","65.16","0.90","1.13","-33.74","-493,316.37","0.06","0.44","40.12","4.69","65.19","0.03","1.13","0.40","8.18","50.33","945,383,000.00","62.02","-8.17","66.39","24.49","20.35","24.49","20.35","-52.60","-3.54","64.50","62.43","60.35","4.25","","","146.71","85.66","","1.56","47.40","54.37","-0.27","-0.24","-0.03","5.86","1.22","1.21","49.81","-49.81","-14.65","-0.37","60.00","277.64","100.55","143.21","-1.00","67.00","61.00","10,166,634.96","0.13","-5.07","0.82","-1.82","107.40","98.66","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.11","65.66","529,587,000.00","135.28","118.22","62.92","59.93","56.93","-2.56","64.76","59.93","50.93","59.93","39.04","-3.32","65.24","25.73","0.06","0.82","1.68","-0.86","60.36","-0.47","0.79","68.59","62.02","-1,114,573.58","-335,260.14","-779,313.44","71.57","63.56","55.56","56.31","63.79","62.49","55.33","52.50","58.00","24.45","67.78","1.13","67.47","64.25","61.04","62.32","62.74","63.33","63.56","63.68","63.68","62.44","61.90","61.36","60.84","60.35","59.43","0.76","2.59","-0.08","-1.00","67.22","60.36","-0.60","-1.73","-7,596,558.22","-1.26","-1.11","-1.21","7.42","67.78","64.07","60.36","-4.41","3.23","","-3.88","-85.86","37.47","","-66.54","0.29","-4.52","0.10","-5.58","-5.58","11.93","68.62","64.76","60.89","16.89","1.00","-0.07","0.77","1.60","66.63","66.84","57.56","-64.29","21.43","85.71","62.42","65.01","65.09","21.60","25.09","37.15","2,134.87","31.84"
"2022-01-12T23:00:00.000Z","59.72","-3.99","-3.94","30,048,000","38.49","68.98","64.55","60.11","28.77","60.05","60.05","60.05","","-96.36","64.73","0.71","1.20","27.34","36,878.78","0.08","0.40","30.90","5.60","64.78","-0.02","3.37","0.33","0","40.27","915,335,000.00","60.84","-327.84","66.39","17.80","19.63","17.80","19.63","-63.44","-14.43","63.86","61.63","59.40","4.97","","","111.48","104.80","","0.78","38.49","48.94","-0.27","-0.27","0","4.53","0.98","3.27","37.60","-37.60","-35.08","-0.71","55.00","263.46","84.18","133.91","-1.00","67.00","59.00","8,968,097.07","0.13","-10.17","0.44","-2.67","103.11","98.65","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.08","65.13","499,539,000.00","135.28","118.36","63.05","60.05","57.04","-4.44","64.55","60.05","50.99","60.05","30.63","-6.76","64.87","25.83","0.11","0.44","1.43","-0.99","60.36","-0.58","0.87","68.91","60.84","-1,730,213.21","-534,539.15","-1,195,674.06","71.75","62.86","53.97","43.70","63.32","63.01","56.36","53.29","57.75","29.07","67.78","3.37","66.67","63.50","60.32","61.02","61.74","62.53","62.86","63.07","63.19","62.26","61.78","61.28","60.79","60.32","59.44","0.76","2.16","-0.58","0","67.22","60.36","-0.34","-3.72","-17,161,201.01","-1.58","-1.26","-3.03","7.42","67.78","64.07","60.36","-7.54","1.36","","-8.12","-138.87","36.25","","-76.46","-1.88","6.09","0","-5.60","-5.59","13.76","68.98","64.55","60.11","-4.36","1.01","-0.18","-0.01","1.73","66.63","65.46","53.98","-85.71","14.29","100.00","62.75","64.91","64.33","18.59","32.18","36.41","1,807.03","28.77"
"2022-01-13T23:00:00.000Z","59.64","-0.14","-0.09","25,661,000","38.23","69.24","64.42","59.60","28.37","60.15","60.15","60.15","","-94.90","64.19","0.66","1.35","31.99","101,893.46","0.08","0.35","34.26","6.37","64.24","-0.02","0.84","0.26","0","32.21","889,674,000.00","59.98","-26.34","64.69","11.19","17.82","11.19","17.82","-72.86","-25.06","63.33","61.18","59.02","5.31","1.12","1.57","114.28","106.43","46,112,700.00","0.39","38.23","44.10","-0.30","-0.28","-0.02","3.25","0.18","1.51","43.22","-43.22","-26.04","-0.81","55.00","248.32","66.73","122.86","-1.00","61.00","59.00","8,932,861.71","0.13","-11.55","0.14","-2.60","103.11","98.65","62.91","71.41","58.04","76.28","49.53","84.79","44.66","1.08","64.44","473,878,000.00","135.10","118.50","63.16","60.15","57.15","-3.89","64.42","60.15","51.05","60.15","23.77","-7.79","64.34","25.88","0.03","0.14","1.17","-1.04","59.42","-0.62","0.90","68.71","59.98","-2,192,404.52","-771,377.06","-1,421,027.46","70.70","62.28","53.86","47.45","63.21","63.01","56.40","53.29","56.52","28.90","67.78","0.84","65.90","62.76","59.62","60.33","61.04","61.88","62.28","62.54","62.74","62.09","61.66","61.20","60.74","60.29","59.44","0.80","1.62","-0.77","1.00","63.10","60.36","-2.59","-3.43","-15,010,203.84","-1.96","-1.58","-3.68","8.36","67.78","63.60","59.42","-6.86","1.95","","-11.66","-157.95","34.68","-16.16","-76.12","-0.57","7.90","0.03","-5.60","-5.59","14.97","69.24","64.42","59.60","0.35","0.86","-0.23","-0.80","1.66","64.63","64.73","54.55","-92.86","7.14","100.00","63.04","64.66","63.89","17.92","31.94","35.82","1,780.69","28.37"
