"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2015-01-01T23:00:00.000Z","149.17","-0.65","-0.60","3,436,400","49.85","154.31","150.14","145.98","29.43","146.56","146.56","146.56","151.74","-44.68","150.17","0.90","1.02","-5.27","-194,751.43","0.29","33.08","2.12","150.22","-0.01","3.10","0.14","91.51","84.38","100,024,600.00","152.31","-121.38","153.32","71.59","81.04","71.59","81.04","41.30","47.55","153.47","150.96","148.45","4.84","","","169.64","143.36","","60.25","49.85","46.26","0.06","0.01","0.06","3.46","1.03","1.65","57.24","-57.24","-58.48","-0.54","45.00","130.89","29.95","33.54","1.00","157.00","139.00","802,565.03","-0.64","1.19","-0.43","111.12","","149.28","153.81","145.62","157.47","141.09","162.00","137.43","146.08","73,600,400.00","115.45","","153.88","146.56","139.23","-1.49","150.14","146.56","134.41","146.56","44.49","-0.96","150.31","26.97","0.90","1.19","1.47","-0.28","144.75","0.35","0.34","147.41","152.31","-217,614.01","-106,273.27","-111,340.74","160.54","150.59","140.65","35.78","150.60","148.85","143.99","139.72","149.92","16.46","152.74","3.10","159.14","151.56","143.98","150.10","150.51","150.64","150.59","150.50","150.30","148.90","148.37","147.85","147.33","146.82","145.83","0.79","2.06","-1.07","0","152.70","144.75","1.16","-1.94","-338,692.93","1.19","2.02","-17.66","8.19","152.94","148.85","144.75","-0.58","-0.45","","2.60","-23.34","53.61","","-61.84","-2.11","4.82","-0.08","-5.51","-5.49","5.55","154.31","150.14","145.98","38.32","-0.15","2.26","1.94","146.77","155.22","143.12","21.43","35.71","14.29","147.91","149.97","151.04","17.07","21.70","27.27","3,587.26","29.43"
"2015-01-04T23:00:00.000Z","147.00","-1.45","-1.41","4,168,800","42.73","154.38","149.99","145.60","27.26","146.74","146.74","146.74","","-71.84","150.18","0.95","1.06","-19.97","-143,721.37","0.27","32.38","2.13","150.22","-0.05","2.39","0.12","65.11","80.53","95,855,800.00","151.02","-302.73","153.32","50.35","68.52","50.35","68.52","2.99","39.45","152.64","150.09","147.54","4.73","","","144.00","154.25","","30.12","42.73","43.30","-0.08","0.02","-0.10","2.43","0.55","1.55","69.36","-69.36","-68.88","-0.76","40.00","125.62","24.64","31.93","1.00","151.00","139.00","741,920.88","0.37","0.82","-1.49","109.50","","149.28","153.81","145.62","157.47","141.09","162.00","137.43","146.21","69,431,600.00","115.45","","154.08","146.74","139.41","-3.81","149.99","146.74","134.52","146.74","45.23","0.54","150.29","27.27","0.53","0.82","1.34","-0.52","144.75","0.15","0.06","148.99","151.02","-304,037.36","-134,525.28","-169,512.07","160.09","149.94","139.79","32.76","149.74","148.85","144.52","140.02","149.68","9.57","152.74","2.22","158.83","151.26","143.70","148.55","149.34","149.83","149.94","149.96","149.89","148.78","148.30","147.81","147.31","146.83","145.87","0.79","1.97","-0.99","1.00","152.67","144.75","-0.95","-3.17","-1,582,635.14","0.38","1.19","-14.60","8.19","152.94","148.85","144.75","-2.05","-2.33","","2.01","-105.63","51.91","","-67.86","-2.74","-0.14","-0.14","-5.52","-5.51","5.85","154.38","149.99","145.60","15.91","-0.15","1.44","1.97","146.77","153.27","140.73","21.43","28.57","7.14","148.21","150.19","151.17","15.60","26.05","27.11","3,284.53","27.26"
"2015-01-05T23:00:00.000Z","146.84","-0.11","-0.06","4,116,100","42.25","154.38","149.80","145.22","25.57","146.91","146.91","146.91","","-76.23","150.24","0.97","1.03","-12.94","-106,306.69","0.28","33.59","2.13","150.27","-0.07","2.42","0.11","43.99","73.22","91,739,700.00","149.62","-53.93","153.32","35.75","52.56","35.75","52.56","-28.50","27.10","151.64","149.05","146.46","4.57","","","141.99","158.53","","15.06","42.25","39.88","-0.27","-0.04","-0.23","1.75","0.73","1.42","86.02","-86.02","-52.29","-0.80","35.00","121.69","20.85","30.14","1.00","149.00","139.00","737,440.67","0.49","0.51","-1.56","109.50","","149.28","153.81","145.62","157.47","141.09","162.00","137.43","152.74","65,315,500.00","115.32","","154.25","146.91","139.56","-3.83","149.80","146.91","134.63","146.91","45.67","0.72","150.35","27.49","0.59","0.51","1.17","-0.66","144.75","-0.08","0.02","150.71","149.62","-380,862.28","-169,716.28","-211,146.00","159.72","149.38","139.03","30.82","149.40","148.85","144.73","140.17","149.79","9.45","152.74","2.42","158.38","150.84","143.29","147.70","148.51","149.17","149.38","149.48","149.51","148.65","148.22","147.76","147.29","146.83","145.90","0.79","1.85","-0.85","0","152.67","144.75","-0.97","-3.39","-1,450,628.84","-0.32","0.38","-8.62","8.19","152.94","148.85","144.75","-2.19","-2.34","","1.02","-105.71","51.58","","-77.37","-1.90","-8.54","-0.19","-5.53","-5.52","6.12","154.38","149.80","145.22","17.71","-0.14","0.53","2.00","146.77","153.31","140.37","21.43","21.43","0","148.52","150.37","151.22","14.25","26.19","27.29","3,230.60","25.57"
"2015-01-06T23:00:00.000Z","148.88","1.39","1.44","4,159,100","49.95","154.14","149.65","145.16","27.61","147.09","147.09","147.09","","-53.54","150.42","0.99","0.99","-17.16","-72,351.52","0.26","42.10","1.90","150.43","-0.02","2.30","0.09","32.65","65.11","95,898,800.00","148.61","253.60","153.32","32.80","39.63","32.80","39.63","-33.11","16.15","151.02","148.41","145.79","3.79","","","151.25","148.94","","7.53","49.95","44.54","-0.37","-0.17","-0.21","1.75","1.25","0.98","67.80","-67.80","-0.73","-0.57","35.00","118.88","18.18","28.27","1.00","151.00","139.00","795,221.92","2.48","0.42","-0.71","111.02","","149.28","153.81","145.62","157.47","141.09","162.00","137.43","152.61","69,474,600.00","115.32","","154.45","147.09","139.74","-1.48","149.65","147.09","134.75","147.09","53.15","3.60","150.45","27.47","0.36","0.42","1.02","-0.60","145.00","-0.27","0.34","152.44","148.61","-272,607.27","-184,414.99","-88,192.27","159.74","149.29","138.83","30.47","149.39","148.85","145.51","140.76","148.34","12.29","152.74","1.49","157.80","150.28","142.77","148.29","148.63","149.10","149.29","149.39","149.43","148.67","148.25","147.81","147.36","146.91","146.00","0.78","1.75","-0.45","0","152.67","144.75","-0.27","-1.76","-31,310.50","-0.71","-0.32","-7.35","8.19","152.94","148.85","144.75","-1.00","-0.06","","0.87","-47.64","52.42","","-34.05","0.18","-11.91","-0.17","-5.53","-5.53","6.00","154.14","149.65","145.16","41.46","-0.09","-0.22","2.03","146.77","155.44","142.32","14.29","14.29","0","148.79","150.54","150.99","15.25","24.07","26.94","3,484.21","27.61"
"2015-01-07T23:00:00.000Z","151.37","1.67","1.72","4,282,100","57.42","154.23","149.69","145.15","30.10","147.33","147.33","147.33","","-20.66","150.66","1.02","0.95","-11.50","-35,111.99","0.25","45.65","1.81","150.68","0.03","2.49","0.08","24.77","57.04","100,180,900.00","148.59","405.44","153.32","49.86","39.47","49.86","39.47","-10.38","11.33","151.31","148.65","146.00","3.66","","","175.67","138.57","","3.77","57.42","48.75","-0.37","-0.29","-0.08","2.16","1.62","0.39","43.95","-43.95","48.24","-0.44","40.00","118.84","17.82","26.49","-1.00","157.00","149.00","866,839.24","1.97","0.55","0.36","112.88","","149.28","153.81","145.62","157.47","141.09","162.00","137.43","152.48","73,756,700.00","115.32","","154.70","147.33","139.97","1.03","149.69","147.33","134.89","147.33","52.80","2.92","150.73","27.32","0.20","0.55","0.93","-0.38","145.53","-0.31","0.46","152.91","148.59","-170,991.52","-182,497.35","11,505.84","160.32","149.66","139.01","34.03","149.39","148.85","145.82","140.99","149.17","15.17","152.74","0.86","157.25","149.77","142.28","149.83","149.54","149.61","149.66","149.69","149.67","148.84","148.43","147.99","147.54","147.08","146.17","0.75","1.64","-0.28","-1.00","152.67","146.11","1.68","0.82","1,496,360.60","-0.51","-0.71","-4.69","7.99","152.74","148.75","144.75","0.52","2.78","","0.92","44.29","54.45","","-1.59","1.84","-15.97","-0.13","-5.52","-5.53","6.07","154.23","149.69","145.15","68.48","-0.09","-0.47","2.06","146.77","158.11","144.63","7.14","7.14","0","149.01","150.65","150.37","21.67","21.99","25.07","3,889.64","30.10"
"2015-01-08T23:00:00.000Z","149.47","-1.26","-1.21","3,360,200","51.15","154.24","149.71","145.18","27.88","147.51","147.51","147.51","","-49.01","150.51","0.87","1.04","-57.29","-79,077.46","0.24","37.88","1.87","150.56","-0.01","2.43","0.07","7.83","47.20","96,820,700.00","148.59","-225.08","153.32","58.93","47.19","58.93","47.19","-1.55","8.98","151.40","148.71","146.02","3.51","","","150.83","155.80","","1.88","51.15","45.18","-0.34","-0.35","0.01","2.10","1.34","0.85","44.36","-44.36","9.05","-0.84","40.00","117.05","15.86","24.72","-1.00","157.00","149.00","824,662.06","-2.10","0.49","-0.40","112.88","103.48","149.28","153.81","145.62","157.47","141.09","162.00","137.43","152.35","70,396,500.00","113.88","108.72","154.89","147.51","140.14","-0.67","149.71","147.51","135.02","147.51","42.69","-3.20","150.66","27.27","0.72","0.49","0.84","-0.35","146.11","-0.27","0.39","152.41","148.59","-242,018.74","-191,000.41","-51,018.33","160.44","149.63","138.82","32.77","149.39","148.85","145.95","141.01","148.67","16.29","152.74","2.43","156.78","149.31","141.85","149.65","149.52","149.58","149.63","149.66","149.65","148.88","148.48","148.06","147.62","147.17","146.28","0.72","1.36","-0.81","0","152.67","146.11","2.03","-0.40","370,543.44","-0.21","-0.51","-17.35","7.99","152.74","148.75","144.75","-0.60","0.88","","0.02","9.00","52.07","","-15.14","0.59","-9.30","-0.11","-5.52","-5.52","6.06","154.24","149.71","145.18","47.34","-0.20","-0.53","2.09","146.77","156.32","142.62","-78.57","0","78.57","149.21","150.57","149.76","19.86","24.44","24.02","3,664.56","27.88"
"2015-01-11T23:00:00.000Z","148.28","-0.80","-0.75","5,919,400","47.64","154.19","149.62","145.05","26.04","147.68","147.68","147.68","","-67.07","150.30","0.79","1.10","-36.98","91,530.54","0.23","38.77","1.98","150.36","-0.05","2.17","0.06","6.33","39.02","90,901,300.00","148.23","-144.16","153.32","54.42","54.40","54.42","54.40","-7.51","5.99","151.67","148.97","146.27","3.60","","","142.92","160.28","","0.94","47.64","41.91","-0.33","-0.35","0.03","1.86","0.83","1.54","31.94","-31.94","-13.80","-1.14","35.00","113.04","12.01","22.52","1.00","151.00","139.00","777,534.88","-2.16","0.35","-0.84","111.98","103.52","149.28","153.81","145.62","157.47","141.09","162.00","137.43","152.23","64,477,100.00","113.88","108.78","155.06","147.68","140.29","-1.57","149.62","147.68","135.14","147.68","45.71","-3.28","150.47","27.28","0.37","0.35","0.74","-0.40","146.11","-0.29","0.43","152.33","148.23","-360,941.63","-215,277.73","-145,663.90","160.19","149.38","138.57","29.76","149.39","148.85","146.19","141.26","147.48","16.59","152.70","2.17","156.43","148.98","141.53","148.96","149.11","149.29","149.38","149.45","149.48","148.84","148.47","148.07","147.65","147.22","146.35","0.71","0.83","-0.75","0","152.67","146.11","0.66","-1.51","-688,691.40","-0.15","-0.21","-21.54","7.99","152.74","148.75","144.75","-1.23","-0.30","","-0.92","-36.97","52.54","","-29.20","0.04","0.76","-0.14","-5.52","-5.52","6.11","154.19","149.62","145.05","35.35","-0.22","-0.41","2.09","146.77","155.06","141.50","-57.14","14.29","71.43","149.40","150.24","149.49","18.39","27.10","23.67","3,520.40","26.04"
"2015-01-12T23:00:00.000Z","148.63","0.24","0.28","3,908,100","48.75","154.09","149.73","145.36","26.90","147.86","147.86","147.86","","-61.76","150.10","0.79","1.06","-34.19","63,709.10","0.24","38.36","2.06","150.16","-0.07","3.22","0.05","6.13","32.44","86,993,200.00","148.09","-54.35","153.32","40.72","51.35","40.72","51.35","-12.92","2.55","152.12","149.33","146.53","3.53","","","153.38","171.08","","0.47","48.75","45.68","-0.36","-0.34","-0.02","1.76","1.40","1.21","23.79","-23.79","-7.11","-1.05","40.00","110.30","9.05","19.99","1.00","151.00","139.00","786,759.72","-2.15","0.26","-0.54","111.98","103.57","149.28","153.81","145.62","157.47","141.09","162.00","137.43","152.10","68,385,200.00","114.14","108.84","155.25","147.86","140.47","-0.98","149.73","147.86","135.27","147.86","43.36","-3.27","150.29","27.47","0.82","0.26","0.64","-0.39","146.11","-0.28","0.40","151.98","148.09","-257,738.47","-221,343.55","-36,394.92","160.59","149.25","137.91","31.63","149.39","148.85","146.49","141.26","148.72","16.39","152.70","3.22","156.30","148.85","141.41","148.80","148.95","149.14","149.25","149.32","149.37","148.83","148.48","148.10","147.69","147.27","146.42","0.71","0.31","-0.10","1.00","151.69","146.11","1.64","-1.58","-394,898.51","-0.12","-0.15","-19.64","7.99","152.74","148.75","144.75","-0.85","-0.15","","-1.68","-28.75","54.99","","-26.17","0.36","8.97","-0.11","-5.51","-5.51","5.83","154.09","149.73","145.36","37.42","-0.25","-0.07","2.17","146.77","155.99","141.27","-57.14","7.14","64.29","149.56","149.87","149.78","19.30","24.23","22.79","3,466.05","26.90"
"2015-01-13T23:00:00.000Z","147.82","-0.54","-0.50","4,802,800","46.30","153.95","149.81","145.67","26.09","148.01","148.01","148.01","","-73.93","149.78","0.72","1.14","38.30","112,557.73","0.23","43.55","2.19","149.84","-0.05","2.21","0.04","6.82","27.32","82,190,400.00","147.82","-79.32","153.32","32.41","42.52","32.41","42.52","-23.02","-2.10","151.92","149.11","146.31","3.52","","","135.24","167.04","","0.24","46.30","43.20","-0.41","-0.35","-0.06","1.56","0.37","1.42","27.61","-27.61","-24.36","-0.69","40.00","107.01","5.77","17.13","1.00","149.00","139.00","760,585.62","-2.59","0.12","-0.77","111.37","103.61","149.28","153.81","145.62","157.47","141.09","162.00","137.43","151.98","63,582,400.00","114.14","108.89","155.41","148.01","140.61","-1.49","149.81","148.01","135.38","148.01","35.30","-3.93","149.95","27.39","0.41","0.12","0.54","-0.42","146.11","-0.28","0.40","151.69","147.82","-350,043.98","-239,729.32","-110,314.66","160.30","148.99","137.68","35.81","148.90","148.85","146.70","141.35","147.37","16.40","152.70","1.95","156.31","148.86","141.42","148.31","148.57","148.85","148.99","149.09","149.18","148.76","148.45","148.08","147.70","147.30","146.47","0.71","0.09","-0.23","0","151.69","146.11","-0.76","-2.71","-894,235.33","-0.43","-0.12","-26.18","7.99","152.74","148.75","144.75","-1.20","-1.01","","-2.61","-93.73","56.74","","-19.27","0","11.32","-0.07","-5.50","-5.51","5.53","153.95","149.81","145.67","25.93","-0.20","-0.28","2.17","146.77","155.03","140.61","-57.14","0","57.14","149.60","149.69","149.92","17.90","26.91","22.59","3,386.73","26.09"
"2015-01-14T23:00:00.000Z","147.58","-0.16","-0.11","2,892,200","45.57","153.67","149.93","146.19","25.14","148.15","148.15","148.15","","-77.59","149.49","0.75","1.13","79.39","-2,865.80","0.23","45.19","2.32","149.54","-0.06","1.73","0.03","7.88","23.43","79,298,200.00","147.58","-31.54","153.32","28.91","34.01","28.91","34.01","-31.01","-7.36","151.12","148.36","145.59","3.49","0.42","0.90","123.68","170.93","10,234,932.00","0.12","45.57","40.90","-0.43","-0.38","-0.05","1.45","0.95","1.09","35.87","-35.87","-23.87","-0.58","40.00","104.78","3.53","14.19","1.00","149.00","139.00","755,889.75","-2.61","-0.01","-0.78","111.37","103.66","149.28","153.81","145.62","157.47","141.09","162.00","137.43","151.87","60,690,200.00","113.96","108.95","155.56","148.15","140.74","-1.36","149.93","148.15","135.49","148.15","40.01","-3.96","149.64","27.12","0.60","-0.01","0.43","-0.44","146.11","-0.27","0.39","151.36","147.58","-268,359.42","-243,819.34","-24,540.08","159.78","148.73","137.69","34.52","148.90","148.75","148.16","142.49","148.95","15.52","152.67","1.73","156.30","148.85","141.41","147.94","148.24","148.57","148.73","148.86","148.98","148.69","148.40","148.06","147.69","147.31","146.50","0.71","0.38","-0.10","0","151.69","146.11","-0.38","-2.11","-865,650.84","-0.77","-0.43","-24.17","7.74","152.74","148.87","145.00","-1.17","-0.96","","-3.38","-96.39","57.77","-9.27","-14.01","0","6.82","-0.02","-5.50","-5.50","4.99","153.67","149.93","146.19","18.60","-0.17","-0.94","2.14","146.77","154.39","140.77","-21.43","28.57","50.00","149.46","149.84","149.74","17.40","25.36","22.31","3,355.19","25.14"
