"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2017-01-02T23:00:00.000Z","163.83","0.52","0.44","4,091,000","57.63","167.80","164.55","161.31","47.02","156.90","156.90","156.90","172.52","-71.10","165.06","0.91","1.08","-39.48","-265,235.84","","0.44","38.74","1.20","165.09","0.08","2.27","0.23","15.39","63.86","127,983,700.00","163.62","41.10","160.96","12.54","15.61","12.54","15.61","-59.72","-4.97","165.98","163.71","161.44","2.27","","","150.83","90.55","","0.78","57.63","55.04","-0.35","-0.29","-0.06","4.77","1.48","1.17","58.94","-58.94","-4.87","-0.62","55.00","115.21","58.37","74.90","1.00","167.00","157.00","703,764.77","0.73","-1.38","1.76","-0.68","95.78","","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.05","166.20","69,569,100.00","130.32","","164.74","156.90","149.05","-1.01","164.55","156.90","147.53","156.90","38.26","-2.29","165.14","24.25","0.55","1.76","2.54","-0.78","162.62","-0.21","0.55","166.55","163.62","-208,474.19","4,509.53","-212,983.72","172.72","164.17","155.62","42.05","164.56","162.04","153.92","150.50","164.04","6.65","167.25","2.27","173.09","164.84","156.60","163.61","163.83","164.11","164.17","164.13","163.93","161.69","160.86","160.06","159.30","158.60","157.34","0.58","3.33","-1.02","0","166.67","164.33","0.63","-1.64","252,134.60","-1.44","-1.06","-8.62","8.55","167.25","162.97","158.70","-0.70","0.71","","","0.31","-45.83","59.06","","-28.15","0.13","-2.98","0.09","-5.52","-5.51","3.94","167.80","164.55","161.31","38.85","0.92","-0.28","2.32","1.74","160.95","168.86","158.80","-85.71","14.29","100.00","160.75","164.08","165.10","22.95","14.46","45.00","3,896.37","47.02"
"2017-01-03T23:00:00.000Z","164.08","0.15","0.07","3,568,900","58.60","167.32","164.75","162.17","48.10","157.31","157.31","157.31","","-65.90","164.88","0.89","1.10","-18.13","-231,912.14","","0.43","37.72","1.25","164.91","0.09","1.57","0.21","1.83","51.46","131,552,600.00","163.62","-3.06","160.96","23.59","14.82","23.59","14.82","-49.12","-13.00","165.80","163.54","161.28","2.12","","","149.40","88.85","","0.39","58.60","57.69","-0.35","-0.33","-0.01","4.70","0.94","0.85","38.95","-38.95","8.25","-0.61","55.00","111.19","52.91","71.26","1.00","167.00","157.00","709,210.81","0.72","-1.52","1.63","-0.43","95.78","","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.05","165.82","73,138,000.00","130.52","","165.17","157.31","149.44","-0.62","164.75","157.31","147.64","157.31","37.16","-2.54","164.97","24.40","0.44","1.63","2.36","-0.73","162.44","-0.18","0.48","166.16","163.62","-133,904.73","-15,263.94","-118,640.79","172.63","164.15","155.67","41.18","164.56","162.04","154.14","150.50","164.01","6.39","167.25","1.57","172.69","164.47","156.24","163.84","163.91","164.10","164.15","164.12","163.95","161.85","161.04","160.25","159.51","158.82","157.56","0.60","3.07","-0.60","0","166.67","164.33","0.49","-1.08","343,576.08","-1.59","-1.44","-9.78","7.98","167.25","163.26","159.27","-0.44","1.36","","","-0.51","-53.10","59.03","","-49.14","0.28","-0.18","0.09","-5.52","-5.52","3.13","167.32","164.75","162.17","37.06","0.91","-0.30","1.83","1.73","160.95","169.05","159.11","-85.71","7.14","92.86","161.16","164.23","164.83","21.46","13.52","43.41","3,893.31","48.10"
"2017-01-04T23:00:00.000Z","163.30","-0.48","-0.55","2,982,500","54.41","167.01","164.84","162.68","47.26","157.70","157.70","157.70","","-76.86","164.72","0.89","1.14","-34.27","-249,939.29","","0.43","41.23","1.32","164.74","0.09","1.96","0.19","0","41.16","128,570,100.00","163.27","-115.94","160.96","28.71","21.61","28.71","21.61","-46.88","-19.16","165.72","163.45","161.17","2.25","","","143.29","82.52","","0.20","54.41","54.51","-0.35","-0.35","0","4.58","0.73","1.52","21.97","-21.97","-12.04","-0.74","50.00","106.20","46.48","67.06","1.00","167.00","157.00","695,032.69","0.72","-1.07","1.44","-0.80","95.78","","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.04","165.48","70,155,500.00","129.90","","165.58","157.70","149.81","-1.28","164.84","157.70","147.74","157.70","38.45","-1.76","164.77","24.59","0.66","1.44","2.18","-0.74","162.44","-0.22","0.60","166.29","163.27","-206,221.26","-42,543.55","-163,677.70","172.61","164.00","155.39","36.37","164.31","162.04","154.14","150.50","165.85","5.48","167.25","1.96","172.29","164.09","155.88","163.57","163.71","163.93","164.00","164.00","163.87","161.94","161.16","160.40","159.67","158.99","157.75","0.60","2.78","-0.25","1.00","164.71","164.33","0.17","-1.79","-37,841.41","-1.90","-1.59","-11.43","7.32","167.25","163.59","159.93","-0.83","0.90","","","-1.21","-117.83","57.53","","-52.89","0.02","-3.38","0.06","-5.52","-5.52","2.63","167.01","164.84","162.68","14.36","0.92","-0.29","1.36","1.75","160.95","168.45","158.15","-100.00","0","100.00","161.49","164.28","164.53","19.74","15.79","41.10","3,777.37","47.26"
"2017-01-05T23:00:00.000Z","163.41","0.07","-0.01","2,697,000","54.90","167.04","164.78","162.53","48.03","158.10","158.10","158.10","","-72.61","164.55","0.89","1.15","-32.33","-283,989.75","","0.43","44.34","1.40","164.56","0.10","1.16","0.17","0","32.93","125,873,100.00","163.10","-4.64","160.96","28.21","26.84","28.21","26.84","-45.18","-23.89","165.75","163.52","161.29","2.25","","","136.94","83.17","","0.10","54.90","56.80","-0.36","-0.35","0","4.48","0.83","0.81","11.70","-11.70","-5.02","-0.62","50.00","101.32","40.18","62.34","1.00","167.00","157.00","696,849.41","0.72","-1.40","1.29","-0.67","95.78","","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.04","165.09","72,852,500.00","129.99","","166.00","158.10","150.19","-1.01","164.78","158.10","147.85","158.10","36.61","-2.32","164.58","24.71","0.43","1.29","2.00","-0.71","162.18","-0.22","0.60","166.14","163.10","-149,845.83","-57,872.45","-91,973.38","172.22","163.89","155.56","23.03","164.31","162.33","154.14","150.50","166.95","5.59","167.02","1.16","172.00","163.81","155.62","163.49","163.61","163.81","163.89","163.91","163.81","162.04","161.29","160.55","159.84","159.17","157.94","0.60","2.40","-0.13","0","164.71","164.33","-0.09","-1.25","9,946.17","-2.21","-1.90","-11.31","5.85","167.25","164.32","161.40","-0.67","1.32","","","-1.86","-109.09","58.51","","-51.98","0.19","-7.94","0","-5.51","-5.52","2.74","167.04","164.78","162.53","19.61","0.77","-0.29","1.06","1.70","160.95","168.23","158.59","-92.86","0","92.86","161.81","164.21","164.34","18.78","15.02","38.96","3,772.72","48.03"
"2017-01-08T23:00:00.000Z","162.02","-0.85","-0.93","3,564,700","47.90","167.22","164.68","162.13","46.64","158.46","158.46","158.46","","-100.00","164.35","0.88","1.13","-49.41","-238,212.88","","0.43","44.52","1.53","164.37","0.05","1.39","0.15","0","26.35","122,308,400.00","162.49","-201.25","160.96","16.85","24.59","16.85","24.59","-58.86","-30.25","165.53","163.33","161.13","2.59","","","122.81","82.36","","0.05","47.90","54.07","-0.38","-0.36","-0.02","4.10","0.53","1.53","27.56","-27.56","-41.43","-0.68","50.00","95.48","33.21","57.06","1.00","167.00","157.00","666,527.34","0.72","-1.66","1.04","-1.43","94.97","94.61","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.03","164.74","69,287,800.00","129.99","116.45","166.38","158.46","150.53","-2.04","164.68","158.46","147.96","158.46","39.76","-2.74","164.40","24.65","0.35","1.04","1.81","-0.77","162.18","-0.28","0.76","166.41","162.49","-232,463.70","-82,814.06","-149,649.64","171.74","163.55","155.36","22.77","163.92","162.38","154.21","150.50","167.28","6.37","166.67","1.23","171.77","163.59","155.41","162.76","163.08","163.41","163.55","163.62","163.59","162.04","161.33","160.62","159.93","159.28","158.07","0.57","2.02","-0.13","0","164.71","164.33","-0.37","-1.60","-699,321.97","-2.58","-2.21","-11.51","5.07","167.25","164.71","162.18","-1.40","0.14","","","-2.48","-144.70","56.40","","-57.69","-0.29","-7.49","-0.02","-5.51","-5.51","3.09","167.22","164.68","162.13","-2.18","0.82","-0.30","0.77","1.68","160.95","166.71","157.33","-78.57","21.43","100.00","162.08","164.10","164.23","17.67","16.77","36.36","3,571.48","46.64"
"2017-01-09T23:00:00.000Z","161.47","-0.34","-0.42","2,671,300","45.43","167.41","164.51","161.61","45.37","158.80","158.80","158.80","","-98.86","164.11","0.84","1.13","-10.13","-270,901.50","","0.40","43.43","1.71","164.13","0.02","1.33","0.13","0","21.08","119,637,100.00","161.91","-48.61","160.96","9.51","18.19","9.51","18.19","-71.96","-37.83","165.02","162.86","160.69","2.89","","","109.14","96.69","","0.02","45.43","51.31","-0.40","-0.37","-0.03","3.56","0.52","1.33","51.96","-51.96","-44.89","-0.53","45.00","89.76","26.47","51.38","1.00","163.00","157.00","657,459.18","0.71","-2.35","0.79","-1.64","94.97","94.59","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.03","164.36","66,616,500.00","129.55","116.56","166.74","158.80","150.86","-2.21","164.51","158.80","148.07","158.80","32.82","-3.88","164.18","24.61","0.50","0.79","1.60","-0.81","162.02","-0.33","0.83","166.49","161.91","-287,959.81","-112,120.59","-175,839.22","171.21","163.17","155.13","18.50","163.53","162.97","154.91","151.08","167.74","6.32","166.67","1.33","171.57","163.40","155.23","162.11","162.54","162.98","163.17","163.29","163.32","162.00","161.34","160.66","160.00","159.36","158.18","0.58","1.76","-0.02","0","164.71","164.33","-0.58","-1.91","-809,307.86","-2.97","-2.58","-13.01","5.23","167.25","164.64","162.02","-1.56","-0.12","","","-3.14","-152.29","52.02","","-58.98","-0.27","-2.05","-0.09","-5.51","-5.51","3.53","167.41","164.51","161.61","-2.35","0.83","-0.34","0.35","1.66","160.95","166.02","156.92","-85.71","14.29","100.00","162.27","164.03","164.01","16.66","18.44","34.13","3,522.87","45.37"
"2017-01-10T23:00:00.000Z","162.23","0.47","0.39","3,305,900","49.32","167.28","164.31","161.35","46.57","159.16","159.16","159.16","","-78.72","163.81","0.79","1.18","6.54","-242,801.69","","0.39","48.16","1.82","163.84","0.05","1.42","0.11","0","16.86","122,943,000.00","161.78","63.60","160.96","7.47","11.28","7.47","11.28","-68.88","-43.48","164.63","162.49","160.34","2.72","","","119.21","92.37","","0.01","49.32","53.49","-0.40","-0.39","-0.02","3.35","0.78","1.29","65.07","-65.07","-18.01","-0.33","45.00","84.39","19.90","45.43","1.00","163.00","157.00","673,019.13","0.71","-2.48","0.65","-0.98","95.41","94.58","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.03","163.89","69,922,400.00","129.55","116.68","167.12","159.16","151.20","-1.14","164.31","159.16","148.17","159.16","33.02","-4.13","163.88","24.60","0.43","0.65","1.41","-0.76","161.41","-0.30","0.80","166.00","161.78","-209,745.44","-126,067.00","-83,678.44","170.95","163.00","155.06","13.90","162.87","163.26","154.91","151.08","168.57","7.16","166.67","1.42","171.36","163.20","155.04","162.17","162.44","162.81","163.00","163.12","163.18","162.01","161.39","160.74","160.10","159.48","158.32","0.63","1.62","-0.15","0","164.71","164.33","-0.71","-2.13","-334,768.76","-3.37","-2.97","-16.03","5.84","167.25","164.33","161.41","-0.92","0.87","","","-3.49","-131.30","50.01","","-27.84","0.28","2.75","-0.12","-5.51","-5.51","3.61","167.28","164.31","161.35","14.86","0.91","-0.31","-0.17","1.64","160.95","166.72","157.74","-92.86","7.14","100.00","162.39","164.00","163.85","15.63","18.95","32.38","3,586.47","46.57"
"2017-01-11T23:00:00.000Z","161.41","-0.51","-0.58","3,229,400","45.55","167.07","164.05","161.03","45.75","159.50","159.50","159.50","","-82.32","163.48","0.75","1.20","30.19","-224,121.76","","0.37","47.65","1.96","163.50","0.05","1.90","0.09","0","13.49","119,713,600.00","161.50","-85.73","160.96","13.36","10.12","13.36","10.12","-63.63","-47.14","164.27","162.11","159.94","2.67","","","103.43","92.97","","0.01","45.55","50.78","-0.37","-0.39","0.02","3.05","0.79","1.49","55.04","-55.04","-36.55","-0.38","40.00","79.73","14.04","39.39","1.00","163.00","157.00","656,696.12","0.71","-2.74","0.46","-1.26","95.41","94.56","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.03","163.37","66,693,000.00","128.89","116.80","167.48","159.50","151.53","-1.63","164.05","159.50","148.26","159.50","32.49","-4.54","163.54","24.63","0.56","0.46","1.22","-0.76","161.03","-0.30","0.79","165.63","161.50","-278,248.30","-147,807.19","-130,441.11","170.81","162.71","154.61","12.41","162.52","163.59","155.13","151.30","168.92","6.78","166.67","1.82","171.11","162.96","154.81","161.79","162.10","162.50","162.71","162.86","162.96","161.98","161.39","160.77","160.15","159.55","158.42","0.66","1.44","-0.29","0","164.71","164.33","-0.76","-2.58","-665,242.13","-3.78","-3.37","-18.68","6.22","167.25","164.14","161.03","-1.23","0.03","","","-3.83","-144.31","48.35","","-29.39","-0.05","5.35","-0.15","-5.51","-5.51","3.68","167.07","164.05","161.03","6.28","0.95","-0.31","-0.63","1.66","160.95","166.14","156.68","-100.00","0","100.00","162.46","163.90","163.61","14.35","20.42","31.31","3,500.74","45.75"
"2017-01-12T23:00:00.000Z","161.90","0.30","0.23","3,081,600","48.10","167.02","163.89","160.77","46.24","159.87","159.87","159.87","","-74.30","163.22","0.83","1.12","22.69","-218,722.71","","0.35","42.97","2.03","163.25","0.03","1.72","0.07","0","10.79","116,632,000.00","161.48","36.67","160.96","21.55","14.13","21.55","14.13","-53.56","-48.31","163.98","161.81","159.63","2.35","0.38","0.77","106.99","101.79","9,482,240.00","0","48.10","53.41","-0.30","-0.37","0.07","2.97","1.47","0.86","46.43","-46.43","-7.45","-0.31","45.00","76.56","9.64","33.47","1.00","167.00","157.00","666,050.89","0.71","-2.49","0.35","-0.76","95.41","94.55","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.03","160.33","69,774,600.00","129.28","116.91","167.86","159.87","151.88","-0.89","163.89","159.87","148.36","159.87","39.30","-4.13","163.31","24.51","0.53","0.35","1.05","-0.70","160.33","-0.25","0.75","165.02","161.48","-204,726.42","-155,938.50","-48,787.91","170.71","162.56","154.41","14.73","162.52","163.79","155.57","151.74","169.61","6.90","166.44","1.62","170.82","162.68","154.55","161.85","162.03","162.37","162.56","162.71","162.83","161.97","161.41","160.83","160.23","159.64","158.53","0.69","1.27","-0.51","0","164.71","164.33","0.36","-1.26","-354,499.84","-2.75","-3.78","-12.51","6.92","167.25","163.79","160.33","-0.75","0.41","","","-3.87","-90.26","49.19","-2.66","-18.00","0.26","5.20","-0.13","-5.51","-5.51","3.81","167.02","163.89","160.77","18.07","0.90","-0.32","-0.94","1.66","160.95","166.72","157.08","-85.71","7.14","92.86","162.54","163.81","163.30","17.50","18.91","29.35","3,537.41","46.24"
"2017-01-16T23:00:00.000Z","159.64","-1.40","-1.47","4,712,800","39.02","167.10","163.59","160.08","43.88","160.20","160.20","160.20","","-94.79","162.84","0.75","1.18","130.67","-81,875.90","","0.33","36.46","2.20","162.88","-0.02","2.70","0.05","0","8.63","111,919,200.00","160.90","-324.46","165.94","16.20","17.04","16.20","17.04","-60.99","-50.61","163.59","161.33","159.07","2.63","","","82.02","129.49","","0","39.02","49.46","-0.26","-0.33","0.07","2.35","0.65","2.23","37.74","-37.74","-46.82","-0.55","40.00","72.61","4.65","27.50","-1.00","163.00","157.00","600,263.97","0.71","-3.44","0.08","-1.75","94.08","94.53","162.58","167.65","157.91","172.32","152.84","177.39","148.17","1.02","163.13","65,061,800.00","129.28","117.03","168.21","160.20","152.19","-2.80","163.59","160.20","148.44","160.20","37.07","-5.68","162.95","24.49","0.57","0.08","0.86","-0.77","160.33","-0.28","0.73","164.81","160.90","-304,486.57","-177,159.66","-127,326.91","170.72","162.03","153.35","10.80","161.94","163.28","157.14","153.31","170.15","9.37","166.44","2.70","170.43","162.32","154.20","160.74","161.23","161.76","162.03","162.24","162.43","161.82","161.32","160.77","160.20","159.64","158.57","0.69","1.03","-0.67","0","164.71","164.33","-0.32","-3.02","-1,825,414.45","-2.47","-2.75","-19.93","6.69","167.02","163.68","160.33","-1.89","-1.92","","","-4.26","-164.05","48.44","","-56.55","-0.79","6.56","-0.17","-5.52","-5.52","4.29","167.10","163.59","160.08","-6.25","0.99","-0.34","-1.41","1.74","160.95","165.11","154.17","-100.00","0","100.00","162.64","163.67","162.99","15.56","25.90","29.04","3,212.95","43.88"
