"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2020-01-01T23:00:00.000Z","228.39","0.83","0.81","3,764,000","68.76","229.81","224.59","219.36","35.06","220.32","220.32","220.32","226.70","0","226.08","1.15","0.73","6.13","-110,783.71","0.12","0.42","64.34","0.48","226.06","0.15","1.89","0.14","100.00","98.63","43,463,700.00","226.64","244.08","222.24","81.75","76.15","81.75","76.15","32.54","35.69","229.13","226.65","224.17","1.73","","","168.74","66.03","","20.16","68.76","57.62","-0.17","-0.10","-0.07","3.65","2.06","0.29","46.86","-46.86","61.80","-0.02","60.00","75.85","30.06","31.59","1.00","229.00","223.00","452,565.48","2.61","2.10","1.26","102.07","","223.71","231.02","219.19","235.54","211.88","242.85","207.36","224.67","51,534,700.00","116.74","","231.34","220.32","209.30","2.17","224.59","220.32","209.79","220.32","69.71","5.82","226.03","24.81","0.45","2.10","2.14","-0.04","221.01","0.08","0.13","225.55","226.64","195,449.30","156,767.38","38,681.92","235.31","226.13","216.96","55.89","226.28","222.39","217.44","212.35","227.11","7.43","228.23","1.68","237.27","225.97","214.67","227.30","226.86","226.42","226.13","225.84","225.40","223.15","222.43","221.73","221.06","220.43","219.27","0.75","2.59","-1.43","-1.00","226.97","224.67","2.70","1.02","1,920,710.67","0.42","0.19","20.98","11.83","228.23","222.31","216.40","1.00","1.63","","","3.75","101.16","58.44","","52.48","0.76","-0.92","0.08","-5.49","-5.50","4.65","229.81","224.59","219.36","86.39","0.02","4.16","1.90","220.54","233.53","223.25","100.00","100.00","0","221.49","224.09","225.51","35.74","17.62","26.55","4,420.34","35.06"
"2020-01-02T23:00:00.000Z","226.18","-0.97","-1.00","3,023,900","58.63","229.40","224.98","220.55","32.85","220.63","220.63","220.63","","-49.89","226.16","1.01","0.87","-40.96","-148,132.92","0.10","0.40","58.77","0.54","226.16","0.12","2.91","0.14","100.00","98.90","40,439,800.00","226.62","-191.62","222.24","75.38","76.73","75.38","76.73","28.82","34.45","229.16","226.59","224.02","1.72","","","129.85","69.66","","10.08","58.63","55.22","-0.12","-0.14","0.02","3.53","0.93","1.54","43.17","-43.17","-12.35","0.03","55.00","76.44","29.50","31.45","1.00","229.00","223.00","423,304.84","0.12","1.97","0.01","102.07","","223.71","231.02","219.19","235.54","211.88","242.85","207.36","224.74","48,510,800.00","115.61","","231.66","220.63","209.60","0.02","224.98","220.63","209.91","220.63","63.18","0.26","226.16","24.91","0.64","1.97","2.10","-0.13","222.53","0.07","0.11","225.61","226.62","100,236.97","148,691.61","-48,454.63","235.86","226.14","216.43","56.00","226.53","222.39","217.34","212.35","227.33","7.67","228.39","1.95","237.46","226.15","214.85","226.74","226.63","226.36","226.14","225.89","225.49","223.34","222.63","221.94","221.28","220.65","219.50","0.67","2.44","-1.20","0","226.97","224.67","1.67","-0.28","691,632.10","0.48","0.42","0.94","10.85","228.39","222.96","217.54","0.01","-0.79","","","2.93","54.96","67.52","","11.48","-0.20","-7.78","0.06","-5.49","-5.49","3.93","229.40","224.98","220.55","63.62","-0.02","4.03","1.97","222.44","232.04","220.32","92.86","92.86","0","221.89","224.33","225.54","31.97","20.22","26.26","4,228.72","32.85"
"2020-01-05T23:00:00.000Z","226.99","0.36","0.33","4,263,000","60.90","229.09","225.34","221.60","35.14","220.95","220.95","220.95","","-33.10","226.24","0.93","0.88","34.88","-76,861.40","0.13","0.40","62.76","0.56","226.23","0.16","2.43","0.13","100.00","99.12","44,702,800.00","226.73","112.05","222.24","72.34","76.49","72.34","76.49","26.90","33.07","229.37","226.76","224.16","1.72","","","132.95","66.36","","5.04","60.90","57.06","-0.02","-0.12","0.10","3.49","0.59","1.09","33.86","-33.86","10.81","0.42","55.00","76.75","28.51","31.15","1.00","229.00","223.00","438,571.81","0.72","1.91","0.36","102.44","","223.71","231.02","219.19","235.54","211.88","242.85","207.36","228.39","52,773,800.00","115.61","","232.00","220.95","209.90","0.83","225.34","220.95","210.02","220.95","56.43","1.62","226.21","25.01","0.57","1.91","2.07","-0.15","223.96","0.07","0.11","225.74","226.73","-13,085.23","125,580.63","-138,665.86","236.25","226.30","216.34","59.45","226.53","222.39","217.34","212.35","227.44","7.80","228.39","2.43","237.63","226.32","215.00","226.86","226.75","226.50","226.30","226.06","225.68","223.58","222.88","222.19","221.53","220.90","219.74","0.56","2.38","-1.04","1.00","228.39","224.67","1.19","-1.24","1,086,125.32","0.28","0.48","-5.30","10.34","228.39","223.22","218.05","0.32","-0.21","","","2.54","48.70","69.11","","8.33","0.12","-8.35","0.08","-5.49","-5.49","3.33","229.09","225.34","221.60","71.95","0.06","3.76","2.00","222.44","233.13","220.85","85.71","85.71","0","222.19","224.58","225.62","29.20","21.25","25.51","4,340.77","35.14"
"2020-01-06T23:00:00.000Z","225.92","-0.47","-0.50","3,517,000","56.48","229.05","225.51","221.97","33.80","221.27","221.27","221.27","","-58.39","226.18","0.90","0.96","-17.80","-79,655.96","0.12","0.41","57.60","0.63","226.18","0.13","1.82","0.13","94.91","98.28","41,185,800.00","226.72","-82.85","222.24","52.87","66.87","52.87","66.87","12.66","29.36","229.39","226.80","224.20","1.69","","","119.26","74.85","","2.52","56.48","54.61","0.06","-0.06","0.12","3.35","1.05","0.71","21.63","-21.63","-27.05","0.22","50.00","76.04","26.48","30.58","1.00","229.00","223.00","421,993.04","-0.41","1.76","-0.14","102.44","","223.71","231.02","219.19","235.54","211.88","242.85","207.36","228.32","49,256,800.00","115.07","","232.33","221.27","210.20","-0.31","225.51","221.27","210.15","221.27","49.58","-0.93","226.16","25.17","0.52","1.76","2.00","-0.24","224.16","0.08","0.14","225.61","226.72","-100,103.51","93,340.04","-193,443.55","236.10","226.23","216.36","52.87","226.53","222.39","217.38","212.35","226.47","7.88","228.39","1.82","237.78","226.45","215.13","226.39","226.47","226.37","226.23","226.04","225.71","223.73","223.04","222.37","221.72","221.10","219.94","0.55","2.28","-1.29","0","228.39","224.67","1.32","-0.50","393,362.31","0.14","0.28","-8.31","8.18","228.39","224.30","220.21","-0.13","-1.57","","","1.91","41.19","68.21","","5.24","-0.35","0.80","0.03","-5.50","-5.49","3.14","229.05","225.51","221.97","55.79","0","3.70","1.99","222.44","231.93","219.91","57.14","78.57","21.43","222.43","224.71","226.00","27.76","19.86","24.87","4,257.92","33.80"
"2020-01-07T23:00:00.000Z","225.99","0.03","0","3,780,300","56.70","228.73","225.74","222.75","33.92","221.55","221.55","221.55","","-56.74","226.13","0.91","0.95","-22.33","-59,933.68","0.14","0.41","53.56","0.69","226.13","0.09","1.97","0.12","90.83","96.79","37,405,500.00","226.78","-23.74","222.24","50.59","58.60","50.59","58.60","-1.08","23.83","229.28","226.69","224.10","1.63","","","131.71","81.79","","1.26","56.70","56.52","0.09","0.01","0.09","3.21","1.32","0.76","33.41","-33.41","-20.74","0.15","55.00","75.74","24.98","29.71","1.00","229.00","223.00","423,164.47","-0.47","1.63","-0.07","102.47","100.67","223.71","231.02","219.19","235.54","211.88","242.85","207.36","228.24","53,037,100.00","115.07","108.18","232.63","221.55","210.47","-0.31","225.74","221.55","210.28","221.55","48.57","-1.06","226.12","25.34","0.52","1.63","1.93","-0.30","224.16","0.10","0.25","225.37","226.78","-22,644.10","76,770.88","-99,414.98","236.05","226.18","216.31","56.93","226.53","222.39","217.42","212.35","226.80","7.65","228.39","1.97","237.92","226.59","215.26","226.19","226.31","226.29","226.18","226.03","225.75","223.88","223.21","222.55","221.91","221.29","220.14","0.55","2.15","-1.23","-1.00","228.39","224.70","1.90","-0.07","374,974.65","0.21","0.14","-7.27","8.18","228.39","224.30","220.21","-0.06","-1.71","","","1.30","58.17","68.63","","6.15","-0.35","2.50","0.02","-5.50","-5.50","2.65","228.73","225.74","222.75","54.17","0.01","3.66","1.99","222.44","231.98","220.00","57.14","71.43","14.29","222.71","224.86","226.09","27.88","18.46","24.55","4,234.18","33.92"
"2020-01-08T23:00:00.000Z","228.65","1.18","1.15","3,497,300","64.16","228.57","226.11","223.65","36.58","221.87","221.87","221.87","","-4.26","226.32","0.98","0.84","-41.34","-66,374.24","0.14","0.41","59.99","0.65","226.30","0.12","2.86","0.12","93.46","96.12","40,902,800.00","227.27","418.00","222.24","60.20","54.56","60.20","54.56","19.59","23.06","229.41","226.75","224.08","1.96","","","148.32","74.32","","2.93","64.16","58.84","0.12","0.07","0.05","3.36","1.51","0.47","32.12","-32.12","67.08","0.46","60.00","76.72","24.58","28.70","1.00","229.00","223.00","464,329.02","1.62","1.71","1.08","102.47","100.68","223.71","231.02","219.19","235.54","211.88","242.85","207.36","224.70","56,534,400.00","116.42","108.24","232.96","221.87","210.77","2.16","226.11","221.87","210.42","221.87","57.49","3.64","226.26","25.37","0.55","1.71","1.89","-0.17","224.16","0.14","0.31","225.37","227.27","41,762.65","71,769.70","-30,007.05","236.95","226.63","216.32","63.73","226.76","222.63","217.63","212.35","226.77","9.40","228.39","1.93","238.04","226.71","215.37","227.42","227.09","226.81","226.63","226.44","226.11","224.18","223.51","222.85","222.20","221.58","220.42","0.55","2.21","-0.86","0","228.39","224.70","2.52","0.59","1,650,375.05","0.55","0.21","0.51","8.18","228.39","224.30","220.21","1.00","0.73","","","1.44","167.00","65.52","","21.70","0.60","-0.38","0.05","-5.50","-5.50","2.18","228.57","226.11","223.65","101.59","0.14","3.48","2.05","222.44","235.16","222.14","92.86","100.00","7.14","222.98","225.20","226.06","28.62","16.62","24.69","4,652.18","36.58"
"2020-01-09T23:00:00.000Z","226.62","-0.89","-0.92","2,572,900","56.21","228.17","226.31","224.46","34.55","222.14","222.14","222.14","","-53.35","226.47","0.99","0.79","-41.96","-144,405.17","0.10","0.38","52.45","0.66","226.46","0.08","2.06","0.12","92.73","95.44","38,329,900.00","227.16","-214.89","222.24","61.88","57.56","61.88","57.56","17.80","22.10","229.50","226.83","224.17","1.85","","","171.35","83.14","","1.77","56.21","55.65","0.13","0.10","0.02","3.22","0.84","0.79","38.68","-38.68","-8.84","0.27","55.00","77.27","23.77","27.69","1.00","229.00","223.00","441,486.31","0.63","1.60","0.06","102.47","100.69","223.71","231.02","219.19","235.54","211.88","242.85","207.36","224.78","53,961,500.00","115.39","108.29","233.24","222.14","211.03","0.03","226.31","222.14","210.56","222.14","59.55","1.41","226.44","25.44","0.75","1.60","1.83","-0.23","224.16","0.10","0.21","225.71","227.16","-29,840.72","57,253.93","-87,094.65","236.94","226.63","216.32","54.47","226.76","223.19","218.07","212.35","229.24","10.42","228.85","1.94","238.07","226.74","215.40","227.02","226.93","226.77","226.63","226.46","226.17","224.34","223.68","223.03","222.39","221.78","220.62","0.59","2.17","-0.76","0","228.39","224.70","2.16","0.22","668,466.63","0.85","0.55","1.50","7.84","228.85","224.93","221.01","0.06","-1.37","","","1.27","95.90","70.67","","4.05","-0.24","0.25","-0.02","-5.50","-5.50","1.64","228.17","226.31","224.46","58.28","0.04","3.39","2.05","222.44","233.06","220.18","92.86","92.86","0","223.19","225.35","226.12","26.56","16.58","24.58","4,437.29","34.55"
"2020-01-12T23:00:00.000Z","228.45","0.81","0.78","3,286,700","60.91","228.50","226.44","224.38","36.87","222.44","222.44","222.44","","-9.57","226.57","0.93","0.89","-71.60","-146,953.56","0.15","0.36","54.95","0.65","226.54","0.12","2.34","0.11","92.12","94.78","41,616,600.00","227.64","135.62","222.24","77.61","66.56","77.61","66.56","33.54","24.18","229.82","227.13","224.43","2.10","","","177.77","77.10","","0.89","60.91","58.35","0.13","0.12","0.01","3.29","0.91","1.17","33.82","-33.82","49.02","0.40","55.00","78.66","23.70","26.85","1.00","229.00","223.00","468,027.08","0.95","1.64","0.85","103.30","100.70","223.71","231.02","219.19","235.54","211.88","242.85","207.36","224.86","57,248,200.00","115.39","108.34","233.56","222.44","211.32","1.61","226.44","222.44","210.70","222.44","51.69","2.14","226.49","25.51","0.71","1.64","1.79","-0.15","224.67","0.15","0.35","225.49","227.64","30,682.42","53,458.00","-22,775.58","237.41","226.96","216.51","49.97","226.78","223.45","218.15","212.35","228.17","11.03","228.85","2.34","238.17","226.83","215.49","227.74","227.44","227.14","226.96","226.77","226.46","224.61","223.95","223.29","222.66","222.04","220.88","0.54","2.03","-0.84","1.00","228.85","224.70","1.80","-0.54","1,432,209.55","0.98","0.85","-2.27","6.32","228.85","225.69","222.53","0.80","0.42","","","1.32","121.57","70.32","","20.21","0.35","2.27","-0.03","-5.49","-5.50","1.82","228.50","226.44","224.38","98.73","0.08","3.37","2.07","222.44","235.01","221.89","50.00","85.71","35.71","223.40","225.42","226.26","24.42","16.82","24.14","4,572.91","36.87"
"2020-01-13T23:00:00.000Z","227.17","-0.56","-0.59","3,355,400","56.35","228.55","226.53","224.50","35.59","222.73","222.73","222.73","","-40.19","226.69","0.98","0.84","-4.24","-141,795.14","0.16","0.34","55.88","0.65","226.67","0.09","1.57","0.11","92.65","94.35","38,261,200.00","227.61","-105.50","222.24","65.63","68.37","65.63","68.37","33.72","25.92","230.02","227.38","224.73","2.01","","","158.84","84.81","","0.44","56.35","55.00","0.13","0.13","0","3.16","0.97","0.68","41.58","-41.58","-3.26","0.21","55.00","79.79","23.44","26.11","1.00","229.00","223.00","449,226.87","0.75","1.55","0.20","102.72","100.71","223.71","231.02","219.19","235.54","211.88","242.85","207.36","224.94","53,892,800.00","115.39","108.39","233.87","222.73","211.60","0.27","226.53","222.73","210.83","222.73","51.84","1.69","226.62","25.53","0.45","1.55","1.74","-0.19","224.67","0.13","0.27","225.78","227.61","-56,684.26","37,723.39","-94,407.65","237.19","227.00","216.81","49.58","226.78","224.53","218.17","212.35","229.33","11.43","228.85","1.51","238.28","226.93","215.58","227.45","227.35","227.15","227.00","226.83","226.55","224.77","224.13","223.48","222.85","222.24","221.09","0.54","1.82","-1.05","0","228.85","224.70","1.65","0.14","614,049.91","1.16","0.98","1.93","4.89","228.85","226.41","223.96","0.18","-0.54","","","1.27","90.53","70.08","","4.84","-0.19","-0.54","-0.06","-5.50","-5.50","1.79","228.55","226.53","224.50","65.81","0.09","3.32","2.04","222.44","233.36","220.98","50.00","78.57","28.57","223.72","225.54","226.59","23.07","15.90","23.73","4,467.42","35.59"
"2020-01-14T23:00:00.000Z","228.35","0.52","0.49","2,662,500","59.37","228.78","226.60","224.43","37.16","222.98","222.98","222.98","","-11.96","226.88","0.98","0.80","177.03","-191,411.82","0.15","0.32","54.73","0.62","226.85","0.11","1.86","0.11","93.40","94.16","40,923,700.00","227.84","129.26","222.24","79.43","74.22","79.43","74.22","44.37","29.27","230.48","227.85","225.22","2.03","0.66","1.22","133.63","83.52","16,136,662.00","0.22","59.37","57.73","0.15","0.13","0.02","3.16","1.12","1.03","33.65","-33.65","32.71","0.34","55.00","80.82","23.15","25.34","1.00","229.00","223.00","463,056.91","1.28","1.56","0.68","102.72","100.72","223.71","231.02","219.19","235.54","211.88","242.85","207.36","225.02","56,555,300.00","115.99","108.45","234.13","222.98","211.83","1.27","226.60","222.98","210.94","222.98","55.88","2.88","226.79","25.49","0.70","1.56","1.71","-0.15","224.67","0.13","0.28","225.97","227.84","-7,045.94","31,327.77","-38,373.71","237.35","227.24","217.14","53.65","226.78","224.53","218.58","212.35","221.69","11.58","228.85","1.86","238.46","227.10","215.75","227.90","227.68","227.42","227.24","227.06","226.77","225.00","224.36","223.72","223.09","222.48","221.33","0.54","1.78","-1.08","-1.00","228.85","226.13","1.67","-0.19","975,152.94","1.38","1.16","5.37","4.69","228.85","226.51","224.16","0.61","0.78","","","1.45","118.99","71.60","-2.00","-0.30","0.22","3.53","-0.02","-5.50","-5.50","1.92","228.78","226.60","224.43","90.17","0.13","3.23","2.02","222.44","234.42","222.28","50.00","71.43","21.43","223.93","225.70","226.78","22.44","14.85","23.49","4,596.68","37.16"
