"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2024-01-01T23:00:00.000Z","362.46","1.63","1.53","4,737,000","60.52","362.81","357.17","351.54","63.24","352.89","352.89","352.89","355.93","-15.26","358.19","1.02","0.89","52.39","2,084.28","0.26","0.26","63.92","1.21","358.15","0.17","6.63","0.04","56.97","51.62","21,148,300.00","357.49","745.32","352.22","54.70","47.94","54.70","47.94","-0.58","-9.29","362.96","358.09","353.23","4.64","","","85.32","82.92","","10.53","60.52","65.51","-0.12","-0.14","0.03","1.38","2.85","0.86","40.27","-40.27","70.44","0.03","65.00","45.54","11.72","15.83","1.00","367.00","353.00","143,206.35","0.77","1.51","1.03","1.13","102.39","","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.97","362.86","22,166,900.00","114.23","","370.53","352.89","335.25","4.58","357.17","352.89","341.90","352.89","49.28","5.40","358.06","25.00","1.40","1.03","1.06","-0.03","353.63","-0.13","0.05","359.29","357.49","17,984.15","-46,348.42","64,332.57","376.52","358.15","339.78","50.81","358.10","357.45","351.31","351.96","397.49","13.14","364.05","6.63","375.08","357.22","339.36","359.70","358.83","358.32","358.15","358.02","357.84","356.65","356.25","355.89","355.54","355.22","354.59","0.89","0.98","-0.14","0","362.55","353.63","4.61","-2.02","2,939,439.15","-0.39","-0.57","35.43","13.20","364.05","357.45","350.85","1.15","0.11","","1.03","113.89","62.31","","16.03","1.37","6.51","0.23","-5.50","-5.50","3.15","362.81","357.17","351.54","96.93","0.57","0.10","-0.28","3.73","350.54","373.37","351.55","-35.71","21.43","57.14","356.35","357.33","357.20","30.15","20.88","12.59","6,391.98","63.24"
"2024-01-02T23:00:00.000Z","366.75","1.18","1.09","4,321,800","66.04","364.68","357.68","350.68","68.92","353.51","353.51","353.51","","-7.74","358.64","1.06","0.86","35.53","72,595.91","0.32","0.31","66.84","1.20","358.59","0.20","6.78","0.04","83.61","58.02","25,470,100.00","359.90","528.95","352.22","68.69","55.08","68.69","55.08","34.18","-1.39","365.20","360.08","354.95","6.33","","","91.75","77.62","","35.70","66.04","68.51","0","-0.12","0.12","2.24","1.94","0.23","68.20","-68.20","67.83","1.38","70.00","44.59","11.81","14.79","1.00","373.00","359.00","194,358.37","0.78","1.87","1.65","1.96","102.39","","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.99","353.63","26,488,700.00","115.58","","371.18","353.51","335.83","8.16","357.68","353.51","342.26","353.51","50.43","6.73","358.48","25.29","1.57","1.65","1.18","0.47","353.63","0.17","0.05","357.54","359.90","108,917.88","-24,167.52","133,085.41","379.63","359.71","339.79","55.52","360.74","359.35","351.44","351.96","398.36","13.62","364.05","6.78","375.47","357.59","339.71","363.22","361.47","360.19","359.71","359.36","358.95","357.30","356.84","356.42","356.03","355.67","354.99","0.89","0.78","-0.02","-1.00","362.55","355.31","8.63","1.85","5,168,170.55","0.07","-0.39","71.39","13.20","364.05","357.45","350.85","2.21","4.07","","1.73","218.58","52.66","","25.17","1.87","13.00","0.25","-5.49","-5.50","3.91","364.68","357.68","350.68","114.81","0.40","0.11","0.80","3.94","351.00","379.55","353.95","50.00","100.00","50.00","356.51","357.28","357.30","36.01","18.31","14.02","6,920.93","68.92"
"2024-01-03T23:00:00.000Z","363.68","-0.84","-0.93","4,142,800","59.62","365.46","358.11","350.76","63.23","354.04","354.04","354.04","","-36.15","358.91","1.06","0.87","32.24","112,733.56","0.26","0.32","57.82","1.22","358.90","0.13","5.96","0.05","89.58","64.33","21,327,300.00","361.61","-176.55","353.32","80.29","67.89","80.29","67.89","39.06","5.97","366.72","361.42","356.12","6.62","","","96.50","87.94","","67.85","59.62","62.33","0.09","-0.05","0.14","2.26","1.61","0.65","69.78","-69.78","26.57","0.90","70.00","42.56","10.85","13.76","-1.00","373.00","359.00","159,679.63","0.78","0.46","1.87","1.10","102.39","","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.98","353.91","22,345,900.00","114.61","","371.75","354.04","336.34","4.49","358.11","354.04","342.58","354.04","51.40","1.65","358.89","25.59","1.44","1.87","1.32","0.56","353.63","0.41","0.25","355.82","361.61","187,535.36","6,075.75","181,459.61","381.34","360.43","339.53","51.11","361.50","360.11","352.05","351.96","397.71","14.26","367.85","5.96","376.19","358.27","340.36","363.45","362.21","360.97","360.43","360.03","359.54","357.72","357.22","356.77","356.36","355.99","355.27","1.01","0.74","0","0","362.55","355.31","9.52","3.56","2,612,942.42","0.59","0.07","76.97","17.00","367.85","359.35","350.85","1.33","0.82","","1.77","183.74","50.66","","51.14","0.57","11.24","0.18","-5.48","-5.49","4.11","365.46","358.11","350.76","87.88","0.43","0.02","2.44","4.09","354.86","377.49","349.87","57.14","100.00","42.86","356.42","357.16","357.16","34.92","16.41","15.59","6,744.39","63.23"
"2024-01-04T23:00:00.000Z","365.59","0.53","0.43","2,965,200","62.09","366.32","358.77","351.23","65.14","354.58","354.58","354.58","","-24.02","359.35","1.12","0.94","-46.21","48,956.12","0.21","0.32","60.44","1.19","359.32","0.15","2.62","0.06","92.81","70.03","24,292,500.00","363.21","107.86","353.32","77.37","75.45","77.37","75.45","43.80","12.85","368.20","363.03","357.85","7.43","","","105.50","84.53","","83.92","62.09","65.90","0.12","0.03","0.09","2.40","1.13","0.87","63.86","-63.86","33.48","1.00","75.00","42.64","11.75","12.98","1.00","367.00","359.00","175,252.50","0.78","2.09","2.18","1.50","102.39","","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.98","354.53","25,311,100.00","115.21","","372.31","354.58","336.85","5.90","358.77","354.58","342.89","354.58","53.88","7.47","359.25","25.71","0.71","2.18","1.49","0.69","353.63","0.58","0.39","355.12","363.21","106,316.07","20,395.79","85,920.28","381.50","361.37","341.24","56.66","362.34","360.11","352.86","351.96","394.80","10.44","369.37","2.11","377.35","359.39","341.42","364.52","363.33","362.00","361.37","360.88","360.30","358.22","357.68","357.20","356.77","356.36","355.61","1.04","0.77","-0.35","0","362.55","355.31","5.63","3.52","3,048,742.48","0.99","0.59","74.93","18.52","369.37","360.11","350.85","1.71","2.34","","2.11","154.04","47.33","","54.28","0.65","-4.81","0.23","-5.47","-5.48","4.21","366.32","358.77","351.23","95.19","0.38","0.10","3.67","3.98","354.86","378.21","352.97","57.14","92.86","35.71","356.46","357.23","357.58","33.28","15.64","17.05","6,852.25","65.14"
"2024-01-07T23:00:00.000Z","368.18","0.71","0.61","3,445,700","65.19","367.60","359.54","351.49","69.12","355.21","355.21","355.21","","-7.56","360.13","1.16","0.79","-59.83","36,760.62","0.21","0.31","63.19","1.11","360.08","0.19","4.10","0.07","95.68","75.16","27,738,200.00","365.03","244.15","353.93","77.42","78.36","77.42","78.36","54.73","20.46","370.52","365.33","360.15","8.47","","","108.84","74.61","","91.96","65.19","69.38","0.16","0.10","0.06","2.57","1.57","0.85","61.66","-61.66","38.83","1.28","75.00","44.27","13.91","12.56","1.00","373.00","359.00","199,663.32","0.78","3.28","2.60","1.93","103.11","","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.98","355.13","28,756,800.00","115.21","","372.97","355.21","337.45","7.96","359.54","355.21","343.23","355.21","67.09","11.68","359.97","25.86","1.19","2.60","1.71","0.89","353.63","0.73","0.48","354.82","365.03","169,632.27","41,715.29","127,916.98","382.77","362.61","342.44","58.14","362.34","360.11","353.55","351.96","398.68","10.62","369.37","4.10","378.85","360.81","342.77","366.35","364.95","363.37","362.61","362.01","361.28","358.87","358.27","357.74","357.26","356.83","356.02","1.04","0.66","-1.81","1.00","369.37","355.31","6.55","2.45","3,888,115.04","1.41","0.99","96.49","18.52","369.37","360.11","350.85","2.19","4.26","","3.05","165.14","47.45","","59.53","0.85","-8.89","0.24","-5.47","-5.47","4.48","367.60","359.54","351.49","103.61","0.40","0.16","5.38","3.99","354.86","380.74","355.62","57.14","85.71","28.57","356.49","357.15","358.95","34.41","14.49","18.75","7,096.40","69.12"
"2024-01-08T23:00:00.000Z","366.90","-0.35","-0.44","2,998,800","62.47","368.32","360.24","352.15","67.84","355.82","355.82","355.82","","-15.69","360.65","1.13","0.86","-33.75","-8,863.32","0.20","0.31","63.71","1.10","360.60","0.19","3.41","0.08","96.65","79.46","24,739,400.00","366.64","-113.67","354.36","84.24","79.68","84.24","79.68","59.87","27.63","371.35","366.22","361.09","9.11","","","98.49","75.06","","95.98","62.47","62.49","0.21","0.14","0.07","2.59","1.18","0.86","51.43","-51.43","16.38","1.01","70.00","45.97","16.15","12.60","1.00","373.00","359.00","189,237.82","0.77","2.02","2.80","1.52","103.11","103.24","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.97","355.70","25,758,000.00","114.81","104.98","373.62","355.82","338.03","5.72","360.24","355.82","343.57","355.82","59.31","7.25","360.50","25.84","1.08","2.80","1.93","0.87","353.63","0.90","0.63","354.08","366.64","88,755.72","48,435.35","40,320.37","383.24","363.39","343.54","56.61","362.34","360.11","353.76","351.96","403.45","11.07","369.37","3.23","380.48","362.36","344.24","366.63","365.60","364.15","363.39","362.76","361.99","359.38","358.75","358.18","357.68","357.22","356.38","1.04","0.93","-3.03","0","369.37","355.31","5.52","2.29","2,784,318.56","1.84","1.41","78.12","18.35","369.37","360.19","351.02","1.69","2.17","","3.54","136.20","46.59","","48.91","0.07","-1.14","0.23","-5.47","-5.47","4.49","368.32","360.24","352.15","91.20","0.41","0.10","6.60","3.95","356.20","378.99","354.81","57.14","78.57","21.43","356.48","357.41","360.44","32.29","13.60","20.32","6,982.73","67.84"
"2024-01-09T23:00:00.000Z","367.92","0.28","0.18","2,448,100","63.77","369.38","360.78","352.17","70.01","356.55","356.55","356.55","","-9.21","361.10","1.11","0.87","-20.63","-88,438.05","0.19","0.31","64.59","1.10","361.05","0.20","3.08","0.09","100.00","83.57","27,187,500.00","368.61","90.60","355.67","89.18","83.62","89.18","83.62","66.00","34.60","371.51","366.45","361.40","9.82","","","109.29","70.71","","97.99","63.77","66.05","0.26","0.19","0.07","2.66","1.21","0.66","34.69","-34.69","16.79","1.21","70.00","47.61","18.10","13.08","1.00","373.00","359.00","196,043.79","0.77","1.69","3.00","1.72","103.11","103.24","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.97","356.24","28,206,100.00","115.13","105.04","374.38","356.55","338.72","5.76","360.78","356.55","343.92","356.55","58.77","6.12","360.96","25.74","1.26","3.00","2.14","0.86","353.63","1.13","0.87","352.75","368.61","131,762.22","60,339.19","71,423.03","383.62","364.21","344.81","56.21","362.34","360.11","353.06","350.96","405.99","11.03","369.37","3.08","381.94","363.76","345.57","367.27","366.37","364.99","364.21","363.55","362.73","359.93","359.25","358.66","358.13","357.64","356.76","1.04","1.72","-3.11","0","369.37","355.31","5.57","2.49","2,743,288.74","2.28","1.84","72.24","15.74","369.37","361.50","353.63","1.85","2.50","","3.94","133.02","46.32","","51.05","-0.19","-2.39","0.22","-5.47","-5.47","4.77","369.38","360.78","352.17","91.50","0.39","0.10","6.96","3.89","356.20","379.44","356.40","57.14","71.43","14.29","356.57","358.29","361.40","31.99","12.83","21.92","7,073.34","70.01"
"2024-01-10T23:00:00.000Z","363.34","-1.24","-1.34","3,577,800","54.62","369.61","360.94","352.28","65.43","357.07","357.07","357.07","","-38.31","361.62","1.12","0.87","-8.89","-59,656.57","0.22","0.30","56.57","1.05","361.56","0.16","5.79","0.09","100.00","86.85","23,609,700.00","368.31","-598.64","355.67","78.93","84.12","78.93","84.12","54.63","38.25","371.61","366.39","361.16","9.29","","","102.30","78.67","","98.86","54.62","60.60","0.24","0.22","0.02","2.47","1.10","2.18","19.77","-19.77","-25.47","0.76","65.00","46.98","17.95","13.70","-1.00","373.00","359.00","151,505.89","0.76","2.25","2.76","0.37","101.83","103.24","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.96","356.77","24,628,300.00","115.13","105.10","374.92","357.07","339.21","0.60","360.94","357.07","344.22","357.07","59.13","7.99","361.43","25.70","1.61","2.76","2.27","0.50","353.63","1.00","0.75","354.33","368.31","41,467.71","57,643.26","-16,175.56","384.42","364.05","343.69","48.71","362.34","360.11","352.69","348.89","407.15","13.29","369.37","5.76","383.05","364.81","346.57","365.31","365.36","364.62","364.05","363.52","362.80","360.15","359.48","358.89","358.35","357.86","356.97","1.04","2.73","-3.07","0","369.37","355.31","4.62","-1.14","10,478.18","2.17","2.28","74.93","15.74","369.37","361.50","353.63","0.42","-2.79","","4.13","66.70","45.69","","22.67","-1.37","-2.19","0.15","-5.48","-5.47","4.80","369.61","360.94","352.28","63.82","0.41","0.12","6.59","4.02","356.20","376.03","350.65","57.14","64.29","7.14","356.57","359.30","362.37","28.70","17.93","22.00","6,474.69","65.43"
"2024-01-11T23:00:00.000Z","363.62","0.08","-0.02","2,623,100","55.04","369.76","361.02","352.29","66.48","357.51","357.51","357.51","","-40.90","362.22","1.15","0.81","-8.00","-112,585.53","0.19","0.31","49.13","1.01","362.18","0.13","4.28","0.10","100.00","89.48","20,986,600.00","367.96","-148.43","355.67","70.53","79.54","70.53","79.54","42.71","39.06","371.24","365.99","360.75","8.77","0.33","0.62","117.76","84.05","7,200,105.00","98.76","55.04","63.34","0.18","0.23","-0.05","2.30","0.94","1.00","29.52","-29.52","-19.74","-0.37","65.00","46.83","18.30","14.51","1.00","367.00","359.00","153,527.31","0.76","2.10","2.57","0.31","101.83","103.24","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.96","357.27","27,251,400.00","115.22","105.16","375.39","357.51","339.64","0.32","361.02","357.51","344.53","357.51","59.35","7.48","362.10","25.59","1.63","2.57","2.33","0.24","353.63","0.86","0.63","355.88","367.96","-20,253.37","46,515.17","-66,768.54","384.44","363.98","343.51","43.70","362.65","360.11","352.71","347.00","409.25","13.30","369.37","4.28","383.85","365.57","347.29","364.46","364.78","364.40","363.98","363.54","362.91","360.38","359.71","359.12","358.58","358.09","357.19","1.04","3.27","-3.13","1.00","368.83","355.31","3.53","-0.75","113,904.84","1.94","2.17","98.04","15.74","369.37","361.50","353.63","0.35","-3.73","","4.24","58.82","50.47","1.20","28.04","-1.19","-0.13","0.09","-5.49","-5.48","4.84","369.76","361.02","352.29","64.86","0.41","0.07","6.38","4.04","356.20","376.34","350.90","57.14","57.14","0","356.78","360.05","363.17","26.53","16.58","22.08","6,326.26","66.48"
"2024-01-15T23:00:00.000Z","361.10","-0.69","-0.79","3,046,500","50.47","369.81","361.17","352.54","63.96","357.86","357.86","357.86","","-58.82","362.56","1.07","0.89","30.63","-118,995.57","0.18","0.30","52.80","1.06","362.52","0.11","3.73","0.09","94.92","90.57","17,940,100.00","366.80","-349.49","355.67","53.99","67.82","53.99","67.82","23.80","36.28","369.80","364.58","359.36","8.19","","","111.16","78.41","","94.98","50.47","60.13","0.11","0.20","-0.10","1.94","0.58","1.63","60.51","-60.51","-57.01","-1.18","65.00","46.40","18.37","15.24","-1.00","367.00","359.00","132,414.21","0.76","1.30","2.18","-0.39","101.12","103.23","357.19","363.52","350.32","370.39","343.99","376.72","337.12","0.96","357.76","24,204,900.00","115.22","105.22","375.75","357.86","339.97","-2.55","361.17","357.86","344.81","357.86","53.24","4.63","362.45","25.56","1.22","2.18","2.30","-0.12","355.31","0.63","0.39","357.93","366.80","-85,400.68","27,670.05","-113,070.73","383.74","363.45","343.17","47.88","364.63","360.11","353.94","346.88","415.16","13.81","369.37","3.71","384.12","365.83","347.54","362.78","363.55","363.67","363.45","363.16","362.68","360.42","359.79","359.21","358.69","358.21","357.32","1.00","3.45","-3.17","0","368.83","355.31","0.60","-3.11","-999,102.50","1.32","1.94","59.85","15.74","369.37","361.50","353.63","-0.44","-7.67","","3.99","7.85","51.09","","-6.31","-1.58","3.03","0.13","-5.50","-5.49","4.78","369.81","361.17","352.54","49.58","0.45","0.03","5.49","4.02","356.20","373.52","348.68","21.43","50.00","28.57","357.37","360.82","364.00","24.77","20.24","21.22","5,976.77","63.96"
