"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2016-01-03T23:00:00.000Z","37.09","-2.25","-2.27","65,456,000","46.88","38.72","37.69","36.66","11.24","36.98","36.98","36.98","37.80","-68.34","37.64","1.00","0.94","47.13","-489,858.40","0.25","52.34","2.40","37.64","0","1.38","0.11","81.74","59.20","203,139,784.00","38.03","-122.46","36.62","59.25","76.67","59.25","76.67","13.64","28.55","39.08","38.11","37.14","1.05","","81.15","87.12","","50.30","46.88","39.57","-0.09","-0.08","-0.01","4.71","0.40","3.02","47.07","-47.07","-52.39","-0.02","40.00","219.23","14.99","22.83","1.00","41.00","31.00","56,782,442.69","0.18","0.40","0.29","-0.75","132.43","","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.11","39.00","275,677,108.00","109.31","","38.83","36.98","35.13","-0.63","37.69","36.98","31.05","36.98","47.67","0.15","37.63","25.22","0.01","0.29","0.36","-0.07","36.21","0.06","0.19","37.24","38.03","-3,073,409.84","-1,521,866.69","-1,551,543.15","41.54","37.78","34.02","42.96","37.78","37.60","35.98","33.80","34.21","21.43","39.00","0.64","39.76","37.87","35.97","37.64","37.78","37.80","37.78","37.76","37.72","37.35","37.17","36.98","36.78","36.58","36.18","0.39","0.28","-0.32","0","39.00","36.91","-0.55","-1.19","-7,572,684.33","0.79","1.42","0.06","2.79","39.00","37.60","36.21","-1.51","0.15","","","1.33","-119.24","49.93","","3.33","-2.53","1.63","0.09","-5.48","-5.47","5.47","38.72","37.69","36.66","20.77","0.84","-0.15","0.55","0.75","36.64","39.46","34.73","71.43","78.57","7.14","37.15","37.43","37.75","20.85","31.46","18.40","1,496.59","11.24"
"2016-01-04T23:00:00.000Z","37.13","0.10","0.08","39,014,000","47.23","38.65","37.63","36.62","11.44","37.07","37.07","37.07","","-76.76","37.65","1.11","0.91","-19.14","-337,700.48","0.25","48.01","2.58","37.65","-0.02","0.67","0.10","72.92","61.94","164,125,784.00","37.86","-5.53","36.62","39.03","59.43","39.03","59.43","-11.96","21.18","38.87","37.91","36.94","1.08","","83.93","89.13","","33.01","47.23","44.76","-0.10","-0.08","-0.02","3.74","0.75","1.32","68.26","-68.26","-44.66","-0.04","40.00","218.44","14.14","20.14","1.00","41.00","31.00","56,821,362.62","0.18","-0.69","0.22","-0.69","132.43","","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.11","38.95","314,691,108.00","109.42","","38.93","37.07","35.22","-0.53","37.63","37.07","31.09","37.07","56.03","-0.26","37.66","25.30","0.02","0.22","0.33","-0.11","36.21","0.03","0.06","37.40","37.86","-2,064,358.54","-1,599,365.52","-464,993.02","41.38","37.66","33.95","34.68","37.78","37.60","35.98","33.80","34.16","20.37","39.00","0.67","39.86","37.96","36.06","37.38","37.56","37.65","37.66","37.66","37.65","37.33","37.17","36.99","36.80","36.60","36.21","0.39","0.30","-0.44","0","39.00","36.91","-0.06","-0.73","-6,284,641.14","0.25","0.79","0.15","2.79","39.00","37.60","36.21","-1.37","0.38","","","1.02","-68.72","52.98","","-7.62","-1.96","-4.03","0.01","-5.50","-5.48","5.39","38.65","37.63","36.62","25.10","0.84","-0.19","0.41","0.74","36.64","39.42","34.84","71.43","71.43","0","37.18","37.48","37.92","23.33","29.43","17.91","1,491.06","11.44"
"2016-01-05T23:00:00.000Z","37.18","0.14","0.12","38,940,000","47.74","38.59","37.58","36.58","12.18","37.12","37.12","37.12","","-71.21","37.63","0.96","0.98","-26.97","-220,543.13","0.26","53.15","2.70","37.62","0.01","0.91","0.09","66.96","62.95","125,185,784.00","37.67","24.45","36.62","27.90","42.06","27.90","42.06","-26.10","12.59","38.56","37.58","36.60","1.07","","78.57","84.24","","20.42","47.74","49.56","-0.07","-0.09","0.02","3.34","0.64","1.73","62.56","-62.56","-30.56","0.07","45.00","215.89","11.77","17.92","1.00","41.00","31.00","56,875,897.01","0.19","0.03","0.16","-0.60","132.43","","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.12","38.90","353,631,108.00","109.58","","38.97","37.12","35.26","-0.46","37.58","37.12","31.14","37.12","47.03","0.01","37.61","25.39","0.02","0.16","0.29","-0.13","36.56","0","0","37.62","37.67","-2,813,175.45","-1,772,766.94","-1,040,408.51","41.38","37.58","33.77","43.15","37.72","37.60","36.01","33.80","34.12","19.56","39.00","0.91","39.85","37.96","36.06","37.28","37.44","37.55","37.58","37.59","37.59","37.32","37.17","37.00","36.81","36.62","36.24","0.34","0.43","-0.35","0","39.00","36.91","-0.23","-1.15","-5,097,577.05","-0.32","0.25","0.02","2.79","39.00","37.60","36.21","-1.23","0.65","","","1.11","-100.72","51.82","","-9.53","-1.31","-4.30","0.03","-5.51","-5.50","5.33","38.59","37.58","36.58","29.85","0.78","-0.09","0.03","0.75","36.64","39.56","34.80","-35.71","64.29","100.00","37.20","37.63","37.98","21.32","31.49","18.01","1,515.51","12.18"
"2016-01-06T23:00:00.000Z","36.32","-2.32","-2.34","59,274,000","40.66","38.61","37.49","36.38","11.31","37.13","37.13","37.13","","-87.97","37.53","0.91","1.01","48.68","1,495,845.60","0.26","45.58","3.19","37.54","-0.02","1.23","0.07","47.61","59.88","65,911,784.00","37.37","-76.30","38.95","21.35","29.43","21.35","29.43","-44.11","2.28","38.15","37.13","36.11","1.26","","69.05","81.79","","12.15","40.66","44.41","-0.01","-0.07","0.06","2.41","0.52","1.58","54.71","-54.71","-44.26","0.05","45.00","211.90","8.55","15.98","1.00","37.00","31.00","55,502,492.89","0.19","-4.18","0.05","-1.46","129.36","","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.12","38.80","294,357,108.00","109.58","","38.99","37.13","35.27","-1.26","37.49","37.13","31.18","37.13","37.69","-1.58","37.54","25.39","0.02","0.05","0.25","-0.20","36.45","-0.03","0.03","37.72","37.37","-3,923,974.96","-2,080,082.37","-1,843,892.59","41.38","37.35","33.31","39.70","37.48","37.48","36.87","33.80","34.55","22.23","39.00","0.97","39.72","37.83","35.94","36.80","37.06","37.27","37.35","37.39","37.43","37.26","37.12","36.96","36.79","36.61","36.24","0.36","0.53","-0.01","0","39.00","36.91","-0.49","-1.46","-11,664,285.80","-0.86","-0.32","-0.03","2.79","39.00","37.60","36.21","-3.23","0.07","","","-0.29","-186.16","45.76","","-28.52","-2.88","0.84","-0.01","-5.53","-5.51","5.92","38.61","37.49","36.38","-2.91","0.82","-0.13","-0.40","0.79","36.64","38.96","33.68","-42.86","57.14","100.00","37.22","37.75","37.76","18.94","32.46","18.60","1,439.21","11.31"
"2016-01-07T23:00:00.000Z","35.72","-1.64","-1.66","49,018,000","36.62","38.75","37.40","36.05","10.38","37.14","37.14","37.14","","-97.81","37.41","0.84","1.04","57.78","2,005,405.48","0.28","38.85","3.79","37.42","-0.07","1.01","0.04","21.62","52.23","16,893,784.00","36.89","-67.52","38.74","14.34","21.20","14.34","21.20","-63.30","-9.65","37.73","36.69","35.65","1.57","","56.35","98.24","","7.03","36.62","38.86","0","-0.04","0.05","1.21","0.58","1.48","58.95","-58.95","-42.29","-0.12","45.00","205.49","3.16","14.00","1.00","37.00","31.00","54,698,110.64","0.19","-4.66","-0.09","-1.97","129.36","115.23","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.11","38.63","245,339,108.00","107.78","102.34","38.99","37.14","35.28","-1.72","37.40","37.14","31.22","37.14","30.70","-1.75","37.42","25.40","0.02","-0.09","0.18","-0.27","35.95","-0.08","0.17","38.00","36.89","-4,706,116.19","-2,455,230.06","-2,250,886.13","41.19","37.05","32.91","36.88","37.32","37.32","37.08","33.96","35.42","22.99","39.00","1.01","39.48","37.60","35.72","36.26","36.62","36.93","37.05","37.14","37.22","37.16","37.04","36.90","36.75","36.58","36.23","0.42","0.54","-0.15","0","39.00","36.91","-0.51","-1.52","-14,171,496.53","-1.38","-0.86","-0.12","3.05","39.00","37.48","35.95","-4.50","-0.30","","","-2.06","-204.78","43.37","","-36.14","-3.27","2.71","-0.07","-5.56","-5.53","7.22","38.75","37.40","36.05","-12.12","0.82","-0.12","-0.80","0.80","38.64","38.44","33.00","-50.00","50.00","100.00","37.26","37.81","37.66","17.24","32.23","19.44","1,371.69","10.38"
"2016-01-10T23:00:00.000Z","35.80","0.22","0.20","41,812,000","37.50","38.84","37.32","35.80","11.00","37.14","37.14","37.14","","-83.66","37.31","0.84","1.07","-33.60","1,806,942.07","0.32","43.71","4.22","37.31","-0.03","0.77","0.01","4.68","42.72","-24,918,216.00","36.42","-8.31","38.11","10.19","15.29","10.19","15.29","-68.46","-20.34","37.47","36.43","35.39","1.76","","53.91","88.66","","3.97","37.50","46.95","-0.02","-0.02","0","0.48","0.29","1.54","55.73","-55.73","-27.48","-0.18","50.00","200.02","-1.31","11.86","1.00","37.00","31.00","54,789,403.46","0.19","-3.15","-0.19","-1.80","129.36","115.35","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.11","38.39","287,151,108.00","108.01","102.37","39.00","37.14","35.28","-1.50","37.32","37.14","31.26","37.14","32.07","-1.16","37.30","25.29","0.02","-0.19","0.10","-0.29","35.65","-0.14","0.41","38.37","36.42","-5,253,207.63","-2,854,941.14","-2,398,266.49","40.93","36.83","32.72","37.68","37.09","37.09","37.41","34.13","34.87","23.22","39.00","0.77","39.17","37.31","35.44","36.03","36.35","36.68","36.83","36.93","37.04","37.07","36.98","36.85","36.70","36.55","36.21","0.46","0.32","-0.18","0","39.00","36.91","-1.03","-1.80","-11,681,097.17","-1.86","-1.38","-0.15","3.35","39.00","37.32","35.65","-4.08","-0.10","","","-3.39","-207.36","38.24","","-57.14","-1.72","3.33","-0.04","-5.58","-5.55","8.14","38.84","37.32","35.80","0.08","0.82","-0.09","-1.02","0.80","38.08","38.44","33.17","-57.14","42.86","100.00","37.37","37.69","37.51","16.06","34.25","20.63","1,363.38","11.00"
"2016-01-11T23:00:00.000Z","36.30","1.40","1.38","40,490,000","42.96","38.86","37.29","35.71","11.50","37.15","37.15","37.15","","-70.53","37.23","0.90","1.00","32.69","1,525,400.18","0.34","47.66","4.51","37.23","0","0.64","-0.01","0","34.17","15,571,784.00","36.16","62.92","38.11","16.00","13.51","16.00","13.51","-61.76","-27.87","37.29","36.27","35.24","1.84","","60.69","81.22","","1.99","42.96","53.54","-0.06","-0.02","-0.04","0.48","1.65","1.19","39.83","-39.83","-3.19","-0.12","55.00","195.80","-4.52","9.27","1.00","37.00","31.00","55,357,147.57","0.19","-2.90","-0.23","-1.15","129.36","115.48","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.12","38.07","327,641,108.00","109.53","102.41","39.00","37.15","35.29","-0.90","37.29","37.15","31.30","37.15","33.22","-1.08","37.22","25.13","0.01","-0.23","0.04","-0.26","35.18","-0.17","0.53","38.49","36.16","-3,976,279.12","-3,015,132.28","-961,146.84","40.75","36.73","32.72","40.41","37.03","37.09","37.41","34.13","35.05","22.11","39.00","0.57","38.85","37.00","35.15","36.17","36.33","36.60","36.73","36.84","36.95","37.02","36.94","36.82","36.69","36.54","36.22","0.51","0.17","-0.34","0","39.00","36.91","-0.44","-1.01","-7,108,641.87","-1.92","-1.86","-0.08","3.82","39.00","37.09","35.18","-2.53","0.51","","","-4.29","-122.61","38.61","","-65.38","0.38","0.42","0.02","-5.57","-5.57","8.45","38.86","37.29","35.71","18.81","0.86","-0.08","-1.20","0.79","38.08","38.79","33.81","-57.14","35.71","92.86","37.47","37.64","37.29","19.62","32.28","20.90","1,426.29","11.50"
"2016-01-12T23:00:00.000Z","35.03","-3.51","-3.54","50,034,000","34.67","39.02","37.17","35.31","9.79","37.14","37.14","37.14","","-97.60","37.08","0.81","1.00","83.22","2,048,780.17","0.34","40.31","5.18","37.09","-0.06","1.81","-0.04","0","27.34","-34,462,216.00","35.63","-145.89","38.11","16.07","14.09","16.07","14.09","-69.49","-35.44","36.95","35.84","34.72","2.15","","52.02","104.40","","0.99","34.67","47.29","-0.13","-0.05","-0.08","-0.37","1.57","2.37","31.91","-31.91","-31.66","-0.24","50.00","186.51","-12.78","5.71","1.00","37.00","31.00","53,599,233.66","0.19","-6.59","-0.35","-2.15","124.81","115.58","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.10","37.78","277,607,108.00","109.53","102.45","38.99","37.14","35.28","-1.97","37.17","37.14","31.34","37.14","26.90","-2.47","37.10","25.26","0.04","-0.35","-0.04","-0.31","35.18","-0.22","0.69","38.73","35.63","-4,747,001.71","-3,262,542.20","-1,484,459.51","40.94","36.42","31.90","30.28","36.70","36.96","37.44","34.13","35.32","22.79","39.00","1.81","38.49","36.66","34.82","35.60","35.90","36.25","36.42","36.56","36.71","36.89","36.83","36.74","36.62","36.48","36.18","0.51","0.02","-0.48","0","39.00","36.91","0.12","-1.68","-15,210,040.11","-2.00","-1.92","-0.20","3.82","39.00","37.09","35.18","-5.51","-0.66","","","-6.66","-164.31","40.76","","-72.47","-1.72","15.47","-0.09","-5.57","-5.57","9.99","39.02","37.17","35.31","-7.66","0.94","-0.13","-1.36","0.86","38.08","38.10","31.95","-71.43","28.57","100.00","37.52","37.55","37.07","16.68","35.20","21.96","1,280.40","9.79"
"2016-01-13T23:00:00.000Z","35.74","2.02","2.00","44,516,000","41.43","39.05","37.10","35.14","11.07","37.13","37.13","37.13","","-71.81","36.94","0.79","1.04","42.14","1,995,305.47","0.37","46.95","5.57","36.94","-0.02","1.64","-0.07","0","21.87","10,053,784.00","35.35","29.77","38.11","20.02","17.36","20.02","17.36","-62.31","-40.32","36.90","35.72","34.54","2.24","","59.60","96.53","","0.50","41.43","52.27","-0.20","-0.10","-0.10","-0.48","0.65","1.46","36.50","-36.50","-5.48","-0.18","55.00","180.00","-19.10","1.66","1.00","37.00","31.00","54,499,009.17","0.19","-4.74","-0.39","-1.16","124.81","115.69","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.11","37.44","322,123,108.00","111.74","102.50","38.99","37.13","35.27","-1.07","37.10","37.13","31.38","37.13","26.38","-1.78","36.94","25.55","0.04","-0.39","-0.11","-0.28","34.93","-0.24","0.77","38.78","35.35","-5,319,799.48","-3,556,436.10","-1,763,363.39","41.18","36.30","31.41","36.33","36.03","36.73","37.44","34.13","34.79","27.02","39.00","1.64","38.16","36.35","34.53","35.67","35.84","36.13","36.30","36.43","36.59","36.82","36.77","36.69","36.58","36.45","36.16","0.53","0.07","-0.64","0","39.00","36.91","-0.39","-2.03","-8,534,700.65","-2.26","-2.00","-0.34","4.07","39.00","36.96","34.93","-3.26","0.20","","","-8.27","-146.54","40.00","","-44.50","1.08","26.86","0","-5.56","-5.57","10.56","39.05","37.10","35.14","15.26","1.02","-0.08","-1.53","0.92","37.51","39.18","32.29","-78.57","21.43","100.00","37.47","37.41","36.77","14.55","34.40","23.28","1,310.17","11.07"
"2016-01-14T23:00:00.000Z","34.72","-2.84","-2.86","72,162,000","35.73","39.11","36.94","34.76","10.06","37.10","37.10","37.10","34.72","-90.40","36.75","0.76","1.06","584.39","4,136,049.72","0.37","42.56","6.23","36.75","-0.05","1.47","-0.11","0","17.50","-62,108,216.00","34.85","-89.31","38.11","13.39","16.50","13.39","16.50","-62.92","-44.43","36.75","35.52","34.29","2.49","0.49","51.84","100.80","67,283,860.00","0.25","35.73","47.58","-0.22","-0.15","-0.06","-1.35","0.54","1.36","37.30","-37.30","-39.04","-0.14","50.00","171.52","-27.21","-3.03","1.00","37.00","31.00","52,452,439.82","0.18","-7.21","-0.50","-1.85","121.27","115.78","37.72","39.23","36.44","40.51","34.93","42.02","33.64","1.10","37.02","249,961,108.00","111.74","102.55","38.96","37.10","35.25","-1.74","36.94","37.10","31.42","37.10","23.92","-2.70","36.75","25.62","0.01","-0.50","-0.19","-0.31","34.46","-0.29","0.89","38.94","34.85","-6,422,135.42","-3,965,821.71","-2,456,313.71","41.14","36.01","30.88","33.81","35.93","36.63","37.49","34.13","34.98","28.67","39.00","1.07","37.88","36.08","34.27","35.19","35.47","35.82","36.01","36.17","36.35","36.68","36.66","36.59","36.50","36.38","36.11","0.57","0.21","-0.61","1.00","36.74","36.91","-0.90","-1.97","-17,763,486.61","-2.60","-2.26","-0.39","4.54","39.00","36.73","34.46","-5.51","-0.83","","","-10.35","-167.58","41.89","0.38","-46.25","-0.36","18.62","-0.05","-5.56","-5.56","11.77","39.11","36.94","34.76","-0.93","1.04","-0.06","-1.72","0.96","37.51","38.36","31.09","-85.71","14.29","100.00","37.46","37.25","36.64","12.96","32.02","24.65","1,220.86","10.06"
