"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2017-01-02T23:00:00.000Z","39.31","1.86","1.72","33,146,000","52.50","40.41","39.28","38.16","0.69","38.91","38.91","38.91","41.75","-53.69","39.54","0.87","0.98","-21.23","-3,211,242.40","","0.44","45.20","1.27","39.54","-0.05","0.89","0.10","17.29","65.89","739,264,000.00","39.08","73.21","38.20","21.89","29.97","21.89","29.97","-43.22","-0.80","39.93","39.17","38.41","0.68","","145.58","101.88","","9.85","52.50","57.05","-0.23","-0.15","-0.07","1.24","1.55","1.09","49.56","-49.56","8.04","-0.10","55.00","78.50","27.62","24.72","1.00","41.00","37.00","-14,696,764.60","0.17","-0.40","0.14","-0.39","86.88","","38.55","40.26","36.89","41.92","35.19","43.62","33.52","0.98","40.05","-122,164,000.00","121.86","","40.85","38.91","36.96","-0.16","39.28","38.91","37.59","38.91","38.22","-0.16","39.55","23.17","0.02","0.14","0.22","-0.08","38.52","-0.07","0.65","40.03","39.08","-362,722.18","282,001.70","-644,723.89","42.06","39.27","36.48","54.59","39.23","38.54","38.11","38.61","40.48","12.96","40.22","0.69","41.41","39.44","37.46","39.12","39.17","39.25","39.27","39.26","39.24","39.09","39.05","39.02","38.98","38.95","38.89","0.20","0.32","-0.20","0","39.89","39.31","0.22","-0.47","368,169.99","-1.35","-1.30","-0.06","3.06","40.22","38.69","37.15","-0.54","-0.44","","","1.49","-10.82","54.19","","-18.14","0.58","7.19","0.04","-5.52","-5.52","5.72","40.41","39.28","38.16","51.05","1.34","-0.15","0.46","0.58","37.89","40.99","37.63","-85.71","7.14","92.86","38.99","39.32","39.51","21.91","24.27","11.66","208.63","0.69"
"2017-01-03T23:00:00.000Z","39.35","0.10","-0.04","21,460,000","52.96","40.34","39.34","38.35","0.88","38.89","38.89","38.89","","-50.91","39.50","0.89","1.06","-49.98","-3,385,901.35","","0.44","45.44","1.32","39.50","-0.05","0.41","0.09","6.63","54.04","760,724,000.00","39.07","4.84","38.20","33.18","25.84","33.18","25.84","-24.59","-5.13","39.87","39.13","38.38","0.67","","143.51","100.83","","4.92","52.96","59.51","-0.22","-0.20","-0.02","1.28","0.98","0.59","33.20","-33.20","13.31","-0.10","55.00","77.26","27.14","26.12","1.00","41.00","37.00","-14,676,017.07","0.17","-1.16","0.14","-0.27","86.88","","38.55","40.26","36.89","41.92","35.19","43.62","33.52","0.98","39.96","-100,704,000.00","121.97","","40.84","38.89","36.95","-0.08","39.34","38.89","37.60","38.89","34.45","-0.46","39.51","23.27","0.02","0.14","0.20","-0.07","38.52","-0.06","0.59","39.96","39.07","132,660.05","260,667.18","-128,007.13","42.00","39.28","36.56","51.02","39.21","38.54","38.11","38.61","40.68","12.74","40.22","0.41","41.31","39.35","37.38","39.23","39.23","39.27","39.28","39.28","39.25","39.10","39.06","39.03","39.00","38.97","38.90","0.20","0.32","-0.08","-1.00","39.89","38.52","0.30","-0.11","432,077.60","-1.06","-1.35","-0.08","2.57","40.22","38.93","37.65","-0.36","-0.45","","","0.45","3.16","52.72","","-22.16","0.69","3.24","0.01","-5.52","-5.52","5.04","40.34","39.34","38.35","50.04","1.22","-0.18","0.34","0.57","37.89","40.93","37.76","-85.71","0","85.71","39.04","39.36","39.44","21.86","23.01","11.01","213.46","0.88"
"2017-01-04T23:00:00.000Z","39.70","0.90","0.77","26,704,000","57.13","40.20","39.43","38.66","1.33","38.87","38.87","38.87","","-27.55","39.48","0.89","1.03","-21.65","-3,065,831.86","","0.44","50.44","1.32","39.48","-0.01","0.47","0.09","11.99","45.63","787,428,000.00","39.18","41.37","38.20","55.95","37.01","55.95","37.01","4.11","-3.45","39.95","39.22","38.48","0.65","","134.86","92.95","","3.28","57.13","61.77","-0.18","-0.21","0.03","1.56","1.38","0.77","41.35","-41.35","42.43","-0.04","60.00","76.19","26.69","27.02","1.00","41.00","37.00","-14,434,395.60","0.18","-0.38","0.16","0.43","87.66","","38.55","40.26","36.89","41.92","35.19","43.62","33.52","0.99","39.87","-74,000,000.00","121.97","","40.82","38.87","36.93","0.27","39.43","38.87","37.62","38.87","33.01","-0.15","39.48","23.39","0.02","0.16","0.20","-0.03","38.52","-0.05","0.32","39.82","39.18","695,154.18","322,736.75","372,417.43","42.04","39.36","36.68","58.90","39.21","38.54","38.38","38.61","40.96","13.51","40.20","0.47","41.24","39.28","37.31","39.47","39.39","39.37","39.36","39.34","39.31","39.14","39.10","39.06","39.03","39.00","38.93","0.20","0.29","-0.05","0","39.89","38.52","0.39","-0.08","1,728,437.53","-0.57","-1.06","-0.06","2.43","40.22","39.00","37.79","0.57","-0.15","","","-0.16","30.69","53.72","","-1.12","1.31","-2.56","0.09","-5.51","-5.51","3.90","40.20","39.43","38.66","67.52","1.20","-0.11","0.30","0.56","37.89","41.26","38.15","-78.57","0","78.57","39.08","39.37","39.31","22.54","21.63","10.37","254.84","1.33"
"2017-01-05T23:00:00.000Z","40.31","1.53","1.40","32,804,000","63.13","40.27","39.52","38.77","2.03","38.87","38.87","38.87","","-4.67","39.50","0.96","0.93","0.84","-2,293,517.22","","0.43","57.12","1.32","39.49","0.03","0.78","0.09","33.20","43.14","820,232,000.00","39.45","76.78","38.33","72.29","53.81","72.29","53.81","37.66","4.03","40.20","39.45","38.70","0.75","","135.83","82.39","","27.05","63.13","64.56","-0.11","-0.19","0.08","2.48","2.42","0.30","52.79","-52.79","54.23","0.03","60.00","75.98","26.99","27.47","1.00","41.00","37.00","-13,933,260.01","0.18","1.04","0.23","1.44","89.00","","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.52","-41,196,000.00","121.97","","40.82","38.87","36.93","0.82","39.52","38.87","37.64","38.87","42.43","0.41","39.49","23.51","0.02","0.23","0.20","0.03","38.52","-0.01","0.01","39.57","39.45","1,335,860.26","467,468.68","868,391.58","42.33","39.53","36.72","59.24","39.46","38.62","38.43","38.61","41.02","15.30","40.15","0.78","41.23","39.26","37.30","39.89","39.69","39.57","39.53","39.49","39.43","39.22","39.17","39.12","39.09","39.05","38.97","0.19","0.23","-0.06","0","39.89","38.52","0.92","0.14","4,323,744.16","0.02","-0.57","0.03","2.43","40.22","39.00","37.79","2.03","0.40","","","-0.12","143.17","49.96","","26.10","2.12","3.92","0.07","-5.49","-5.51","3.79","40.27","39.52","38.77","102.59","1.16","-0.07","0.42","0.58","37.94","42.02","38.59","28.57","100.00","71.43","39.11","39.34","39.28","28.67","19.52","10.99","331.61","2.03"
"2017-01-08T23:00:00.000Z","40.33","0.06","-0.07","25,492,000","63.36","40.35","39.59","38.84","2.22","38.88","38.88","38.88","","-8.38","39.54","1.05","0.90","-47.84","-2,245,583.90","","0.46","61.45","1.30","39.54","0.03","0.36","0.09","50.69","44.65","845,724,000.00","39.67","6.48","38.73","86.46","71.57","86.46","71.57","58.26","13.89","40.53","39.80","39.06","0.87","","153.36","74.63","","51.24","63.36","67.59","-0.04","-0.14","0.10","2.79","1.40","0.32","67.95","-67.95","41.41","0.03","60.00","75.08","26.62","27.57","1.00","41.00","37.00","-13,917,448.09","0.18","2.00","0.28","1.45","89.00","93.44","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.56","-15,704,000.00","122.05","107.43","40.82","38.88","36.94","0.80","39.59","38.88","37.65","38.88","53.33","0.79","39.53","23.46","0.01","0.28","0.22","0.06","38.52","0.02","0.02","39.44","39.67","1,758,967.81","651,968.56","1,106,999.25","42.38","39.68","36.97","57.42","39.51","38.67","38.48","38.61","40.95","15.03","40.40","0.36","41.30","39.33","37.36","40.11","39.91","39.74","39.68","39.62","39.55","39.29","39.23","39.18","39.14","39.10","39.02","0.24","0.12","-0.02","0","39.89","38.52","0.90","0.55","3,797,114.84","0.61","0.02","0.07","2.03","40.40","39.38","38.36","1.95","0.35","","","0.32","182.52","46.99","","29.79","1.64","1.69","0.04","-5.48","-5.49","3.83","40.35","39.59","38.84","98.70","1.13","0","0.66","0.56","38.52","41.92","38.75","35.71","100.00","64.29","39.15","39.27","39.30","28.68","18.63","11.72","338.09","2.22"
"2017-01-09T23:00:00.000Z","40.24","-0.23","-0.36","23,536,000","61.83","40.44","39.63","38.83","2.00","38.89","38.89","38.89","","-13.09","39.59","1.09","0.87","-4.49","-2,338,472.79","","0.46","59.52","1.30","39.59","0.01","0.28","0.10","65.31","48.78","869,260,000.00","39.87","-9.21","38.83","91.29","83.35","91.29","83.35","66.97","23.54","40.70","39.99","39.28","0.93","","184.58","74.35","","69.48","61.83","61.40","0.02","-0.08","0.09","2.83","1.34","0.90","60.48","-60.48","23.52","0.07","55.00","73.87","26.08","27.41","1.00","41.00","37.00","-13,971,719.53","0.18","1.33","0.31","1.29","89.00","93.40","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.64","-39,240,000.00","121.77","107.51","40.83","38.89","36.95","0.67","39.63","38.89","37.67","38.89","53.45","0.53","39.58","23.39","0.01","0.31","0.24","0.07","38.52","0.04","0.13","39.29","39.87","1,089,460.56","714,467.41","374,993.14","42.35","39.78","37.21","49.94","39.51","38.83","38.24","38.61","41.21","15.06","40.50","0.28","41.43","39.46","37.49","40.17","40.02","39.85","39.78","39.72","39.63","39.35","39.29","39.24","39.19","39.14","39.06","0.26","0.08","-0.08","0","39.89","38.52","0.77","0.49","2,941,969.49","1.14","0.61","0.10","1.98","40.50","39.51","38.52","1.61","0.08","","","0.75","152.14","45.35","","23.47","0.93","-6.82","-0.04","-5.47","-5.48","4.06","40.44","39.63","38.83","87.66","1.04","-0.06","0.84","0.54","38.58","41.68","38.80","35.71","92.86","57.14","39.17","39.26","39.33","27.62","17.94","12.40","328.88","2.00"
"2017-01-10T23:00:00.000Z","40.40","0.39","0.26","21,318,000","63.42","40.55","39.68","38.81","2.33","38.90","38.90","38.90","","-5.20","39.63","1.02","0.89","12.08","-2,561,534.20","","0.50","67.51","1.30","39.62","0.04","0.34","0.10","90.00","57.03","890,578,000.00","40.10","8.63","38.83","91.11","89.62","91.11","89.62","74.95","32.89","40.89","40.20","39.50","1.01","","184.43","72.55","","82.88","63.42","65.17","0.04","-0.02","0.06","2.90","1.31","1.38","46.52","-46.52","20.78","0.09","60.00","73.21","25.89","27.09","1.00","41.00","37.00","-13,889,073.08","0.18","1.44","0.34","1.58","89.00","93.37","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.71","-17,922,000.00","122.24","107.60","40.85","38.90","36.96","0.76","39.68","38.90","37.69","38.90","53.81","0.57","39.61","23.34","0.02","0.34","0.26","0.08","38.52","0.07","0.32","39.11","40.10","1,439,689.25","818,070.53","621,618.71","42.38","39.89","37.41","49.06","39.51","39.07","38.24","38.61","41.40","15.09","40.50","0.34","41.61","39.63","37.65","40.29","40.14","39.97","39.89","39.82","39.73","39.42","39.35","39.29","39.24","39.19","39.10","0.26","0.10","-0.20","1.00","40.50","38.52","0.62","0.28","2,996,781.22","1.55","1.14","0.07","1.98","40.50","39.51","38.52","1.90","0.10","","","1.34","130.49","45.76","","43.10","0.72","-3.32","-0.04","-5.46","-5.47","4.36","40.55","39.68","38.81","91.32","1.05","-0.03","0.95","0.53","38.58","41.75","39.04","35.71","85.71","50.00","39.17","39.27","39.47","26.35","18.57","12.75","337.51","2.33"
"2017-01-11T23:00:00.000Z","40.32","-0.19","-0.32","27,062,000","62.03","40.61","39.71","38.80","2.25","38.92","38.92","38.92","","-9.12","39.67","1.05","0.87","11.71","-2,248,895.31","","0.48","67.44","1.29","39.66","0.07","0.44","0.11","96.42","64.91","917,640,000.00","40.29","-5.75","38.83","90.87","91.09","90.87","91.09","78.58","41.20","41.00","40.32","39.63","1.07","","149.85","73.53","","91.44","62.03","58.85","0.05","0.02","0.03","2.89","1.26","1.32","33.26","-33.26","8.29","0.15","55.00","73.47","26.46","26.80","1.00","41.00","37.00","-13,940,991.94","0.18","1.49","0.35","1.35","88.83","93.33","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.78","-44,984,000.00","122.24","107.69","40.87","38.92","36.98","0.61","39.71","38.92","37.70","38.92","53.29","0.59","39.65","23.31","0.02","0.35","0.28","0.08","38.52","0.09","0.49","38.98","40.29","718,459.03","803,840.32","-85,381.29","42.42","39.97","37.51","47.02","39.51","39.14","38.24","38.61","41.58","14.29","40.50","0.41","41.82","39.83","37.84","40.30","40.20","40.05","39.97","39.90","39.80","39.48","39.40","39.34","39.29","39.24","39.14","0.26","0.15","-0.34","0","40.50","38.52","0.51","0.09","2,269,056.98","1.78","1.55","0.09","1.98","40.50","39.51","38.52","1.60","-0.15","","","1.89","105.26","45.52","","45.04","0.07","0.04","0.04","-5.46","-5.46","4.58","40.61","39.71","38.80","83.71","1.05","-0.03","1.04","0.52","38.72","41.66","38.97","35.71","78.57","42.86","39.14","39.30","39.64","24.76","18.97","12.79","331.75","2.25"
"2017-01-12T23:00:00.000Z","40.39","0.19","0.06","21,984,000","62.89","40.69","39.73","38.78","2.33","38.95","38.95","38.95","","-8.19","39.73","1.10","0.83","13.06","-2,383,404.50","","0.42","67.44","1.27","39.72","0.05","0.24","0.12","100.00","71.93","939,624,000.00","40.46","7.58","39.14","92.50","91.49","92.50","91.49","80.75","48.39","41.00","40.34","39.68","1.13","0.31","157.09","69.37","42,193,640.00","95.72","62.89","62.66","0.09","0.05","0.04","2.90","1.38","0.23","19.21","-19.21","7.26","0.11","55.00","74.70","28.04","26.84","1.00","41.00","37.00","-13,899,551.68","0.18","2.10","0.37","1.48","88.83","93.30","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.85","-23,000,000.00","122.47","107.78","40.90","38.95","37.00","0.62","39.73","38.95","37.72","38.95","59.49","0.83","39.71","23.19","0.01","0.37","0.29","0.07","38.52","0.11","0.61","38.92","40.46","1,112,247.76","847,898.52","264,349.23","42.38","40.05","37.71","47.52","39.68","39.18","38.01","38.61","41.54","14.00","40.50","0.23","42.01","40.01","38.01","40.35","40.27","40.13","40.05","39.97","39.88","39.53","39.46","39.39","39.34","39.28","39.18","0.26","0.24","-0.39","0","40.50","38.52","0.62","0.39","2,183,590.08","2.12","1.78","0.12","1.98","40.50","39.51","38.52","1.64","-0.21","","","2.69","131.38","44.01","-7.65","84.10","-0.15","-1.23","0.04","-5.46","-5.46","4.81","40.69","39.73","38.78","84.61","1.32","0","1.06","0.50","38.72","41.62","39.17","64.29","100.00","35.71","39.14","39.38","39.77","26.64","18.31","13.20","339.33","2.33"
"2017-01-16T23:00:00.000Z","40.23","-0.40","-0.54","27,242,000","59.77","40.73","39.75","38.77","2.16","38.98","38.98","38.98","","-16.21","39.78","1.06","0.85","118.50","-2,042,186.29","","0.43","63.96","1.25","39.77","0.06","0.38","0.12","100.00","77.54","966,866,000.00","40.55","-22.85","39.14","88.83","90.73","88.83","90.73","77.12","53.61","40.96","40.32","39.67","1.15","","137.17","77.03","","97.86","59.77","58.61","0.14","0.08","0.06","2.88","1.20","2.23","14.66","-14.66","-6.93","0.10","50.00","76.74","30.36","27.14","1.00","41.00","37.00","-14,009,818.41","0.18","1.86","0.36","1.01","88.47","93.26","38.55","40.26","36.89","41.92","35.19","43.62","33.52","1.00","38.95","-50,242,000.00","122.47","107.87","40.93","38.98","37.03","0.37","39.75","38.98","37.73","38.98","56.91","0.74","39.76","23.11","0.01","0.36","0.31","0.05","38.52","0.12","0.66","38.93","40.55","413,161.29","785,793.20","-372,631.91","42.36","40.08","37.79","45.62","39.86","39.46","38.00","38.61","41.57","11.46","40.56","0.34","42.17","40.16","38.15","40.29","40.25","40.15","40.08","40.01","39.92","39.58","39.50","39.43","39.37","39.32","39.22","0.27","0.34","-0.36","-1.00","40.50","39.96","0.38","0.04","1,235,346.58","2.07","2.12","0.10","2.04","40.56","39.54","38.52","1.09","-0.43","","","3.33","82.32","44.60","","58.03","-0.78","0.88","0.06","-5.48","-5.47","4.92","40.73","39.75","38.77","74.60","1.34","-0.02","0.98","0.49","38.78","41.43","39.03","64.29","92.86","28.57","39.16","39.50","39.87","25.19","21.90","12.75","316.49","2.16"
