"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","145.07","0.27","0.43","25,214,000","48.01","149.78","146.08","142.37","63.07","146.07","146.07","146.07","134.73","-42.03","145.42","0.92","1.03","4.61","-1,296,400.93","0.07","0.22","44.59","2.34","145.38","-0.01","2.05","0","70.93","60.79","1,288,612,000.00","146.11","24.87","151.35","58.02","61.44","58.02","61.44","28.54","27.81","149.20","145.74","142.29","3.26","","88.20","96.53","","31.46","48.01","50.86","0.12","0.13","-0.01","1.33","0.84","1.70","35.58","-35.58","-17.66","0.12","55.00","103.77","-4.96","-3.91","1.00","149.00","139.00","16,859,834.69","0.30","-1.11","-0.01","-0.20","102.43","","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.97","141.20","682,242,000.00","162.71","","153.37","146.07","138.76","-0.35","146.08","146.07","132.73","146.07","31.05","-1.63","145.30","24.85","0.08","-0.01","0.07","-0.08","140.25","0.09","0.05","144.87","146.11","-2,042,477.30","-1,461,376.01","-581,101.29","158.14","145.74","133.34","59.80","145.15","144.93","146.33","141.51","141.45","13.83","148.57","2.05","153.69","146.38","139.06","145.29","145.55","145.70","145.74","145.76","145.79","145.72","145.61","145.46","145.28","145.07","144.57","0.80","0.42","-0.43","0","148.57","140.25","-0.22","-2.27","-3,765,903.70","0.81","1.03","1.38","9.35","149.60","144.93","140.25","-0.32","2.73","","-0.92","-49.69","57.24","","27.97","-0.71","-1.41","0.14","-5.49","-5.48","5.07","149.78","146.08","142.37","36.48","1.03","0.08","-0.19","2.63","150.54","151.31","138.84","21.43","57.14","35.71","145.26","145.68","146.10","21.27","26.80","9.90","7,573.03","63.07"
"2022-01-03T23:00:00.000Z","144.42","-0.45","-0.29","22,928,000","46.25","149.74","146.11","142.47","60.88","146.18","146.18","146.18","","-49.94","145.45","1.02","0.95","-7.47","-946,884.34","0.07","0.21","43.32","2.34","145.43","-0.04","2.79","-0.01","48.89","58.41","1,265,684,000.00","145.74","-56.09","151.35","53.75","57.58","53.75","57.58","15.81","25.62","148.80","145.34","141.87","3.30","","103.78","95.01","","15.73","46.25","48.63","0.12","0.12","0","1.18","1.52","1.12","51.46","-51.46","-32.45","-0.38","50.00","103.28","-3.59","-3.79","1.00","149.00","139.00","16,755,844.09","0.30","-0.38","-0.12","-0.45","102.43","","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.96","141.35","659,314,000.00","161.97","","153.49","146.18","138.87","-0.98","146.11","146.18","132.95","146.18","38.92","-0.55","145.40","24.76","0.12","-0.12","0.03","-0.15","140.25","0.04","0.01","145.21","145.74","-1,360,954.03","-1,447,030.02","86,075.98","158.05","145.50","132.94","56.40","146.04","144.93","145.73","141.51","138.60","13.99","148.57","2.79","153.62","146.31","138.99","144.85","145.17","145.41","145.50","145.55","145.62","145.63","145.54","145.41","145.25","145.05","144.56","0.80","0.58","-0.30","0","148.57","140.25","1.03","-1.76","-5,383,115.07","0.56","0.81","5.32","9.35","149.60","144.93","140.25","-0.74","2.67","","-0.75","-47.23","55.53","","2.34","-0.92","-1.56","0.07","-5.51","-5.50","4.98","149.74","146.11","142.47","26.75","1.05","0.05","-0.46","2.64","150.54","151.08","137.75","21.43","50.00","28.57","145.29","145.86","146.17","22.53","24.77","9.53","7,516.94","60.88"
"2022-01-04T23:00:00.000Z","137.65","-4.68","-4.52","49,642,000","32.92","150.65","145.59","140.52","54.11","146.16","146.16","146.16","","-98.82","144.95","0.84","1.06","81.97","1,468,775.48","0.09","0.24","29.83","2.99","145.00","-0.13","6.89","-0.02","6.68","48.07","1,216,042,000.00","143.99","-998.54","149.91","36.40","49.39","36.40","49.39","-23.50","16.69","147.40","143.57","139.73","5.05","","74.65","115.98","","7.87","32.92","43.97","0.04","0.11","-0.06","-1.30","0.57","3.25","50.55","-50.55","-66.42","-1.20","45.00","96.19","-8.49","-4.30","-1.00","149.00","137.00","14,431,117.62","0.29","-6.59","-0.74","-2.40","97.64","","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.93","148.57","609,672,000.00","161.97","","153.47","146.16","138.85","-7.31","145.59","146.16","133.12","146.16","27.80","-9.71","145.10","24.86","0.14","-0.74","-0.12","-0.62","140.25","-0.12","0.04","145.73","143.99","-2,293,618.18","-1,567,971.18","-725,647.00","158.82","144.07","129.32","39.41","143.05","143.56","145.73","141.51","134.13","26.17","148.57","6.77","153.10","145.81","138.52","141.25","142.67","143.69","144.07","144.34","144.62","145.12","145.11","145.03","144.92","144.76","144.33","0.80","0.45","-0.12","0","148.57","140.25","-0.15","-6.92","-52,575,365.81","0.05","0.56","-0.47","9.35","149.60","144.93","140.25","-4.94","-3.37","","-2.54","-217.84","46.92","","-74.79","-4.60","4.35","-0.08","-5.54","-5.52","6.96","150.65","145.59","140.52","-28.28","1.19","-0.06","-1.30","2.95","150.54","147.12","128.19","-57.14","42.86","100.00","145.48","145.92","146.04","18.76","35.88","11.09","6,518.41","54.11"
"2022-01-05T23:00:00.000Z","137.55","-0.07","0.09","29,050,000","32.76","150.98","145.03","139.08","51.98","146.12","146.12","146.12","","-93.33","144.40","0.78","1.22","6.02","1,701,981.61","0.07","0.27","31.00","3.47","144.44","-0.15","2.92","-0.04","2.88","39.03","1,186,992,000.00","142.13","-76.21","147.19","19.30","36.49","19.30","36.49","-51.08","4.37","145.71","141.88","138.04","6.28","","84.09","109.05","","3.93","32.76","38.85","-0.13","0.05","-0.18","-2.65","0.31","1.64","77.22","-77.22","-50.76","-1.27","40.00","87.06","-15.34","-5.58","-1.00","149.00","131.00","14,409,484.51","0.29","-5.03","-1.23","-2.26","97.64","","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.93","148.35","580,622,000.00","161.85","","153.42","146.12","138.81","-7.01","145.03","146.12","133.30","146.12","27.79","-7.29","144.52","24.81","0.10","-1.23","-0.34","-0.88","137.52","-0.33","0.18","146.76","142.13","-2,695,643.20","-1,729,067.19","-966,576.01","157.62","142.89","128.15","38.65","142.60","143.18","145.63","141.51","135.30","23.27","148.57","2.92","152.20","144.95","137.70","139.40","140.96","142.33","142.89","143.29","143.74","144.63","144.69","144.67","144.60","144.48","144.11","0.91","0.33","-0.25","1.00","146.61","140.25","-3.77","-6.70","-45,490,009.73","-0.50","0.05","-3.81","12.08","149.60","143.56","137.52","-4.66","-2.70","","-4.06","-227.27","42.84","","-77.74","-3.33","1.21","-0.13","-5.56","-5.54","8.20","150.98","145.03","139.08","-12.86","1.19","-0.01","-2.62","2.95","146.48","146.88","128.22","-64.29","35.71","100.00","145.66","145.98","145.73","17.43","35.18","12.71","6,442.20","51.98"
"2022-01-06T23:00:00.000Z","137.00","-0.40","-0.24","19,408,000","31.91","151.19","144.47","137.76","50.73","145.93","145.93","145.93","","-90.49","143.98","0.82","1.16","-55.29","1,096,134.77","0.05","0.31","31.23","3.86","144.01","-0.15","2.47","-0.07","0.29","31.28","1,167,584,000.00","140.05","-69.89","145.76","5.78","20.50","5.78","20.50","-65.55","-8.34","144.13","140.34","136.55","7.30","","74.48","96.09","","1.97","31.91","34.01","-0.29","-0.06","-0.23","-3.32","0.51","1.64","69.30","-69.30","-38.63","-1.14","40.00","78.63","-21.26","-7.69","1.00","139.00","131.00","14,332,376.04","0.29","-4.06","-1.64","-2.36","97.64","112.22","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.93","147.89","561,214,000.00","161.21","129.23","153.23","145.93","138.63","-6.95","144.47","145.93","133.47","145.93","30.11","-5.80","144.09","24.71","0.13","-1.64","-0.60","-1.04","136.76","-0.59","0.42","148.27","140.05","-2,849,042.18","-1,889,063.61","-959,978.57","156.31","141.82","127.32","37.48","142.08","142.70","146.05","141.51","136.43","22.95","148.57","2.47","151.06","143.87","136.67","138.20","139.64","141.14","141.82","142.33","142.90","144.14","144.26","144.30","144.27","144.18","143.88","0.94","0.15","-0.29","0","146.61","140.25","-4.28","-6.75","-40,506,629.26","-1.03","-0.50","-3.50","12.84","149.60","143.18","136.76","-4.77","-2.35","","-5.59","-205.59","39.22","","-92.45","-2.22","-4.67","-0.11","-5.57","-5.56","9.30","151.19","144.47","137.76","-5.59","1.20","-0.04","-3.93","2.91","146.37","145.95","128.06","-71.43","28.57","100.00","145.77","145.92","145.63","16.38","35.45","14.43","6,372.31","50.73"
"2022-01-09T23:00:00.000Z","138.57","1.15","1.31","34,096,000","37.01","150.86","143.97","137.07","56.16","145.78","145.78","145.78","","-64.79","143.64","0.81","1.10","68.26","1,780,669.18","0.07","0.39","43.47","4.07","143.66","-0.07","5.50","-0.10","0","25.02","1,201,680,000.00","138.48","208.02","145.74","17.13","14.07","17.13","14.07","-56.74","-17.14","143.05","139.04","135.03","7.77","","66.00","87.64","","0.98","37.01","41.63","-0.35","-0.19","-0.16","-3.05","1.16","2.07","66.05","-66.05","-14.63","-0.72","40.00","71.33","-26.11","-10.32","1.00","139.00","131.00","14,722,974.89","0.30","-2.69","-1.82","-1.54","98.75","112.21","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.95","147.16","595,310,000.00","161.21","129.47","153.07","145.78","138.49","-4.69","143.97","145.78","133.66","145.78","28.89","-3.83","143.69","24.75","0.16","-1.82","-0.85","-0.97","135.79","-0.79","0.67","149.49","138.48","-3,297,438.52","-2,090,260.03","-1,207,178.49","157.02","141.23","125.43","45.11","140.16","141.37","146.15","141.51","137.49","23.82","148.57","5.50","149.78","142.65","135.52","138.39","139.29","140.57","141.23","141.75","142.36","143.78","143.94","144.02","144.02","143.96","143.71","0.97","0.07","-1.06","0","146.61","140.25","-3.33","-8.83","-27,075,139.22","-1.53","-1.03","-3.39","13.61","149.40","142.59","135.79","-3.49","0.26","","-6.46","-172.33","35.07","","-66.08","0.07","8.20","-0.05","-5.57","-5.57","9.58","150.86","143.97","137.07","10.88","1.22","-0.05","-5.21","3.10","145.76","149.03","128.12","-78.57","21.43","100.00","145.82","145.75","144.69","14.30","37.06","16.56","6,580.33","56.16"
"2022-01-10T23:00:00.000Z","140.02","1.04","1.20","23,502,000","41.36","150.61","143.63","136.65","59.37","145.61","145.61","145.61","","-55.44","143.33","0.87","1.10","20.23","1,451,587.38","0.08","0.39","49.84","4.24","143.34","-0.03","3.52","-0.12","0","20.02","1,225,182,000.00","137.65","129.72","145.74","29.76","17.56","29.76","17.56","-40.01","-21.30","142.21","138.16","134.11","7.97","","68.01","78.09","","0.49","41.36","47.79","-0.30","-0.29","-0.01","-2.83","1.31","1.25","45.61","-45.61","8.21","-0.43","45.00","66.46","-28.56","-13.17","1.00","149.00","131.00","14,967,790.36","0.30","-2.91","-1.82","-1.00","98.75","112.21","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.95","146.04","618,812,000.00","162.88","129.70","152.90","145.61","138.33","-2.65","143.63","145.61","133.84","145.61","29.62","-4.20","143.36","24.77","0.15","-1.82","-1.04","-0.78","133.14","-0.87","0.77","149.80","137.65","-2,464,140.83","-2,143,671.57","-320,469.26","156.98","141.01","125.03","50.96","140.10","141.37","146.14","141.51","132.31","24.97","148.57","3.52","148.46","141.39","134.32","139.20","139.53","140.45","141.01","141.48","142.06","143.54","143.73","143.82","143.84","143.81","143.58","1.04","0.18","-2.29","0","146.61","140.25","-1.36","-4.88","-18,360,825.11","-1.59","-1.53","-2.45","15.43","148.57","140.86","133.14","-2.28","2.75","","-7.10","-101.97","35.61","","-48.76","1.69","10.40","0.03","-5.56","-5.57","9.72","150.61","143.63","136.65","24.09","1.23","-0.03","-6.24","3.13","145.76","150.49","129.55","-78.57","14.29","92.86","145.86","145.68","143.39","17.01","34.08","17.77","6,710.04","59.37"
"2022-01-11T23:00:00.000Z","141.65","1.16","1.32","23,642,000","45.91","150.47","143.47","136.46","61.00","145.57","145.57","145.57","","-44.87","143.00","0.89","1.12","28.22","1,188,385.54","0.08","0.39","48.26","4.39","143.04","-0.02","2.80","-0.13","0","16.02","1,248,824,000.00","137.75","220.59","145.74","44.97","30.62","44.97","30.62","-20.03","-21.07","142.98","138.96","134.94","7.74","","75.24","84.87","","0.25","45.91","52.66","-0.21","-0.30","0.09","-2.28","1.71","0.74","31.13","-31.13","27.58","-0.31","50.00","63.05","-29.92","-15.94","-1.00","149.00","139.00","15,243,099.65","0.30","-3.61","-1.67","-0.39","99.90","112.21","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.96","145.01","642,454,000.00","162.88","129.94","152.85","145.57","138.29","-0.48","143.47","145.57","134.04","145.57","30.64","-5.30","143.10","24.74","0.07","-1.67","-1.17","-0.51","133.14","-0.79","0.68","148.87","137.75","-1,698,491.31","-2,080,074.39","381,583.08","156.90","141.12","125.35","50.79","139.88","141.37","145.21","141.51","130.47","26.07","148.57","1.70","147.34","140.32","133.31","140.43","140.24","140.72","141.12","141.51","142.01","143.42","143.61","143.72","143.75","143.72","143.52","1.04","0.75","-2.97","-1.00","146.61","133.14","1.13","-0.57","-10,230,975.89","-1.22","-1.59","-3.84","15.43","148.57","140.86","133.14","-0.89","5.65","","-7.36","-34.77","35.08","","-30.17","2.75","-2.79","-0.03","-5.54","-5.56","9.76","150.47","143.47","136.46","37.01","1.23","-0.09","-5.90","3.10","145.76","151.70","131.59","-78.57","7.14","85.71","145.84","145.09","142.12","21.64","31.89","17.87","6,930.63","61.00"
"2022-01-12T23:00:00.000Z","139.13","-1.78","-1.62","26,566,000","40.67","150.06","143.06","136.05","56.94","145.44","145.44","145.44","","-60.81","142.48","0.78","1.14","92.26","1,201,883.98","0.05","0.38","45.04","4.67","142.52","-0.07","4.27","-0.14","0","12.81","1,222,258,000.00","137.38","-244.98","145.74","46.29","40.34","46.29","40.34","-13.02","-19.61","143.40","139.28","135.15","7.59","","61.17","99.97","","0.12","40.67","48.32","-0.16","-0.25","0.10","-2.25","1.47","1.39","28.83","-28.83","-2.37","-0.73","45.00","57.30","-33.66","-19.10","-1.00","149.00","137.00","14,771,038.07","0.30","-5.44","-1.74","-0.95","98.13","112.20","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.95","144.06","615,888,000.00","162.88","130.17","152.71","145.44","138.17","-2.39","143.06","145.44","134.22","145.44","25.23","-8.01","142.62","24.85","0.16","-1.74","-1.28","-0.46","133.14","-0.76","0.66","148.06","137.38","-2,074,794.68","-2,079,320.15","4,525.47","157.09","140.76","124.43","41.36","139.88","141.37","145.36","141.51","129.40","26.98","148.57","4.27","146.59","139.61","132.63","139.78","139.87","140.36","140.76","141.14","141.65","143.14","143.36","143.49","143.55","143.54","143.38","1.04","1.51","-3.35","0","146.61","133.14","1.86","-2.41","-18,321,775.99","-0.86","-1.22","-6.67","15.43","148.57","140.86","133.14","-2.25","3.73","","-8.19","-59.66","37.94","","-35.51","1.26","2.58","-0.13","-5.53","-5.55","9.79","150.06","143.06","136.05","21.99","1.24","-0.14","-5.19","3.19","145.76","149.74","128.52","-78.57","0","78.57","145.74","144.23","140.87","19.57","33.76","18.49","6,685.66","56.94"
"2022-01-13T23:00:00.000Z","139.79","0.47","0.63","23,826,000","42.51","149.90","142.80","135.71","59.23","145.30","145.30","145.30","","-56.37","141.88","0.75","1.17","79.74","980,187.49","0.05","0.39","53.24","4.82","141.92","-0.05","3.70","-0.15","0","10.25","1,246,084,000.00","137.54","53.01","145.74","45.98","45.75","45.98","45.75","-8.38","-17.56","144.00","139.83","135.66","6.97","0.21","62.17","100.53","28,267,480.00","0.06","42.51","52.11","-0.14","-0.19","0.06","-2.16","1.00","1.33","22.25","-22.25","3.93","-0.30","50.00","52.58","-36.60","-22.61","-1.00","149.00","137.00","14,883,291.98","0.30","-5.59","-1.72","-0.58","98.13","112.20","144.84","149.44","140.08","154.20","135.49","158.79","130.73","0.96","143.19","639,714,000.00","163.65","130.42","152.56","145.30","138.03","-1.18","142.80","145.30","134.38","145.30","20.48","-8.28","142.01","25.01","0.16","-1.72","-1.37","-0.35","133.14","-0.65","0.56","146.60","137.54","-2,353,974.99","-2,118,556.55","-235,418.44","157.13","140.58","124.03","50.50","139.88","141.37","145.58","141.51","127.58","27.22","148.43","3.70","146.23","139.27","132.30","139.78","139.84","140.24","140.58","140.93","141.42","142.92","143.16","143.31","143.38","143.40","143.26","1.03","2.37","-2.91","0","146.61","133.14","0.10","-3.60","-13,473,236.82","-0.69","-0.86","-8.61","15.43","148.57","140.86","133.14","-1.38","4.99","","-8.72","-71.09","40.21","-7.20","-33.29","1.60","13.75","-0.08","-5.52","-5.53","9.94","149.90","142.80","135.71","28.74","1.21","-0.13","-4.59","3.22","145.76","150.49","129.08","-71.43","0","71.43","145.70","143.33","140.41","17.96","34.13","19.39","6,738.67","59.23"
