"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2016-01-03T23:00:00.000Z","37.97","-2.39","-2.41","67,382,000","46.77","39.59","38.48","37.37","13.99","38.00","38.00","38.00","39.20","-62.87","38.52","1.02","0.90","56.03","7,235.05","0.27","52.59","2.19","38.52","-0.01","1.52","0.09","86.97","68.28","1,579,408,000.00","38.97","-136.43","37.52","63.52","79.35","63.52","79.35","18.55","32.22","40.05","39.04","38.03","1.13","","","83.48","93.02","","71.87","46.77","42.49","-0.08","-0.04","-0.04","4.34","0.48","3.14","47.99","-47.99","-55.00","0.01","45.00","208.42","10.29","14.15","-1.00","41.00","37.00","63,812,593.15","0.19","1.20","0.27","-0.71","141.89","","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.10","39.93","1,127,552,000.00","103.04","","39.90","38.00","36.10","-0.65","38.48","38.00","32.11","38.00","54.25","0.45","38.51","25.36","0.01","0.27","0.31","-0.04","36.81","0.07","0.22","38.05","38.97","-3,816,649.07","-1,946,222.01","-1,870,427.07","42.62","38.67","34.73","47.45","38.66","38.37","37.14","35.02","35.34","21.90","39.93","0.73","40.70","38.76","36.82","38.55","38.69","38.70","38.67","38.65","38.60","38.26","38.11","37.94","37.76","37.58","37.21","0.43","0.21","-0.36","0","39.93","37.71","-0.52","-1.25","-7,967,753.10","0.84","1.49","0.09","3.12","39.93","38.37","36.81","-1.48","0.14","","","2.62","-96.87","48.73","","3.36","-2.62","2.96","0.03","-5.48","-5.47","5.75","39.59","38.48","37.37","27.00","0.83","-0.13","0.60","0.78","37.43","40.47","35.47","71.43","78.57","7.14","38.05","38.26","38.62","20.74","32.53","15.95","1,474.39","13.99"
"2016-01-04T23:00:00.000Z","38.08","0.28","0.25","45,216,000","47.71","39.53","38.44","37.34","14.28","38.08","38.08","38.08","","-72.65","38.54","1.12","0.89","-16.06","438,827.37","0.27","48.35","2.34","38.55","-0.02","0.68","0.09","78.07","70.24","1,534,192,000.00","38.79","0.39","37.52","43.79","63.09","43.79","63.09","-5.88","25.29","39.84","38.83","37.83","1.13","","","86.29","93.52","","48.44","47.71","47.55","-0.09","-0.06","-0.04","3.49","0.71","1.34","69.69","-69.69","-43.69","-0.03","45.00","208.21","10.63","12.62","-1.00","41.00","37.00","63,937,028.62","0.19","-0.13","0.21","-0.59","141.89","","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.09","39.88","1,172,768,000.00","103.32","","39.98","38.08","36.18","-0.48","38.44","38.08","32.16","38.08","53.60","-0.05","38.55","25.42","0.01","0.21","0.29","-0.08","36.81","0.04","0.07","38.25","38.79","-2,701,224.93","-2,054,079.57","-647,145.36","42.46","38.57","34.67","42.66","38.66","38.37","37.14","35.02","35.32","20.30","39.93","0.68","40.81","38.87","36.92","38.31","38.49","38.56","38.57","38.56","38.53","38.25","38.10","37.95","37.78","37.60","37.24","0.43","0.26","-0.49","0","39.93","37.71","-0.09","-0.77","-6,154,493.55","0.28","0.84","0.16","3.12","39.93","38.37","36.81","-1.20","0.45","","","2.19","-48.72","53.79","","0.97","-1.87","-4.32","-0.02","-5.49","-5.48","5.71","39.53","38.44","37.34","33.57","0.86","-0.17","0.45","0.77","37.43","40.48","35.67","71.43","71.43","0","38.07","38.32","38.82","22.68","30.50","15.86","1,474.79","14.28"
"2016-01-05T23:00:00.000Z","37.97","-0.29","-0.31","48,206,000","46.77","39.51","38.40","37.29","13.96","38.12","38.12","38.12","","-76.95","38.53","0.98","0.96","-2.39","1,010,487.14","0.28","51.27","2.49","38.52","0","0.89","0.08","69.39","70.07","1,485,986,000.00","38.56","6.03","37.52","29.18","45.49","29.18","45.49","-24.14","16.31","39.50","38.49","37.47","1.14","","","81.58","92.75","","30.47","46.77","43.39","-0.06","-0.07","0.01","2.96","0.74","1.56","65.11","-65.11","-38.13","0.04","45.00","206.15","9.31","11.52","-1.00","41.00","37.00","63,797,764.52","0.19","-0.10","0.14","-0.71","141.48","","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.10","39.83","1,124,562,000.00","103.32","","40.03","38.12","36.21","-0.55","38.40","38.12","32.21","38.12","45.01","-0.04","38.52","25.48","0.02","0.14","0.26","-0.11","37.38","0","0","38.51","38.56","-3,683,486.80","-2,286,852.03","-1,396,634.77","42.40","38.46","34.51","48.85","38.66","38.37","37.15","35.02","35.34","20.21","39.93","0.89","40.82","38.87","36.93","38.14","38.31","38.43","38.46","38.47","38.46","38.23","38.10","37.95","37.78","37.61","37.26","0.36","0.41","-0.39","-1.00","39.93","37.38","-0.18","-1.07","-6,032,807.25","-0.27","0.28","0.03","3.12","39.93","38.37","36.81","-1.48","0.56","","","2.00","-76.45","53.97","","-10.99","-1.57","-6.62","0","-5.51","-5.49","5.79","39.51","38.40","37.29","30.36","0.82","-0.11","0.08","0.78","37.43","40.42","35.51","-21.43","64.29","85.71","38.08","38.49","38.88","20.84","31.52","16.18","1,480.82","13.96"
"2016-01-06T23:00:00.000Z","37.05","-2.41","-2.44","63,132,000","39.76","39.56","38.32","37.07","13.05","38.13","38.13","38.13","","-90.98","38.42","0.91","1.02","18.85","2,637,531.27","0.26","42.66","3.05","38.42","-0.04","1.20","0.06","48.64","65.78","1,422,854,000.00","38.22","-93.28","39.84","19.81","30.92","19.81","30.92","-45.55","5.06","39.04","37.99","36.94","1.36","","","73.86","92.00","","18.36","39.76","38.74","-0.01","-0.07","0.06","1.88","0.41","1.72","58.31","-58.31","-47.63","0.02","40.00","201.88","6.38","10.56","1.00","41.00","31.00","62,273,776.67","0.19","-4.58","0.02","-1.59","138.07","","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.10","39.78","1,061,430,000.00","103.32","","40.04","38.13","36.22","-1.40","38.32","38.13","32.25","38.13","35.02","-1.78","38.43","25.50","0.02","0.02","0.21","-0.19","37.38","-0.03","0.03","38.63","38.22","-4,888,868.79","-2,658,568.71","-2,230,300.08","42.35","38.20","34.05","42.44","38.35","38.35","37.85","35.02","35.88","22.61","39.93","1.00","40.68","38.74","36.81","37.60","37.89","38.12","38.20","38.25","38.29","38.16","38.04","37.90","37.75","37.59","37.26","0.36","0.53","-0.03","0","39.93","37.38","-0.50","-1.50","-13,436,761.04","-0.81","-0.27","-0.06","3.12","39.93","38.37","36.81","-3.54","-0.09","","","0.37","-163.64","45.75","","-31.29","-3.16","-1.83","-0.05","-5.53","-5.51","6.49","39.56","38.32","37.07","-0.97","0.87","-0.15","-0.38","0.81","37.43","39.74","34.36","-42.86","57.14","100.00","38.10","38.63","38.65","18.63","33.78","17.09","1,387.53","13.05"
"2016-01-07T23:00:00.000Z","36.55","-1.36","-1.38","47,506,000","36.51","39.70","38.24","36.77","12.09","38.13","38.13","38.13","","-97.15","38.29","0.83","1.05","30.12","2,635,705.09","0.28","36.89","3.68","38.29","-0.08","1.06","0.03","23.71","57.37","1,375,348,000.00","37.75","-53.27","39.64","11.64","20.21","11.64","20.21","-64.69","-7.62","38.59","37.52","36.45","1.66","","","64.03","108.83","","10.74","36.51","33.82","-0.01","-0.04","0.03","0.77","0.62","1.53","62.70","-62.70","-42.59","-0.16","40.00","195.32","1.34","9.44","1.00","41.00","31.00","61,626,903.25","0.19","-5.06","-0.12","-1.96","138.07","120.05","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.10","39.66","1,013,924,000.00","101.91","99.77","40.03","38.13","36.22","-1.78","38.24","38.13","32.29","38.13","28.13","-1.95","38.30","25.54","0.02","-0.12","0.15","-0.26","36.76","-0.08","0.15","38.87","37.75","-5,639,962.28","-3,084,482.08","-2,555,480.21","42.17","37.90","33.63","39.81","38.19","38.19","37.97","35.07","36.60","22.91","39.93","1.06","40.42","38.50","36.57","37.07","37.44","37.77","37.90","37.99","38.07","38.05","37.96","37.84","37.70","37.55","37.23","0.44","0.54","-0.14","0","39.93","37.38","-0.51","-1.57","-14,941,032.26","-1.32","-0.81","-0.15","3.17","39.93","38.35","36.76","-4.51","-0.36","","","-1.65","-182.76","43.69","","-36.63","-3.31","2.38","-0.09","-5.56","-5.53","7.65","39.70","38.24","36.77","-7.83","0.86","-0.15","-0.79","0.83","39.44","39.33","33.76","-50.00","50.00","100.00","38.15","38.69","38.55","16.93","33.44","18.21","1,334.26","12.09"
"2016-01-10T23:00:00.000Z","36.65","0.30","0.27","50,896,000","37.68","39.79","38.17","36.55","12.76","38.12","38.12","38.12","","-82.93","38.18","0.84","1.08","-24.93","2,874,665.14","0.33","42.63","4.11","38.17","-0.03","0.78","0.01","5.89","47.07","1,324,452,000.00","37.28","-4.32","38.98","9.65","13.70","9.65","13.70","-68.97","-18.78","38.33","37.26","36.19","1.85","","","60.97","96.02","","5.37","37.68","42.64","-0.05","-0.02","-0.02","0.12","0.29","1.57","56.97","-56.97","-26.57","-0.19","45.00","189.74","-2.75","8.00","1.00","37.00","31.00","61,777,309.20","0.19","-3.14","-0.21","-1.77","138.47","120.21","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.10","39.47","1,064,820,000.00","101.91","99.78","40.03","38.12","36.22","-1.53","38.17","38.12","32.34","38.12","29.09","-1.19","38.17","25.46","0.02","-0.21","0.07","-0.29","36.45","-0.14","0.37","39.23","37.28","-6,383,976.95","-3,555,838.49","-2,828,138.46","41.90","37.67","33.44","41.39","37.96","37.96","38.34","35.27","35.88","23.22","39.93","0.78","40.10","38.19","36.28","36.86","37.18","37.52","37.67","37.78","37.89","37.96","37.88","37.78","37.65","37.52","37.21","0.47","0.31","-0.17","0","39.93","37.38","-1.07","-1.85","-12,021,361.82","-1.80","-1.32","-0.17","3.49","39.93","38.19","36.45","-4.01","-0.14","","","-3.13","-192.69","38.57","","-60.62","-1.70","3.74","-0.04","-5.58","-5.56","8.47","39.79","38.17","36.55","3.08","0.87","-0.10","-1.02","0.83","38.97","39.35","33.96","-57.14","42.86","100.00","38.26","38.57","38.41","15.79","35.24","19.63","1,329.94","12.76"
"2016-01-11T23:00:00.000Z","37.27","1.67","1.65","46,816,000","44.01","39.80","38.16","36.52","13.38","38.12","38.12","38.12","","-67.42","38.12","0.91","0.98","34.34","2,703,654.76","0.34","47.44","4.38","38.11","0","0.76","-0.02","0","37.66","1,371,268,000.00","37.02","81.72","38.98","17.50","12.93","17.50","12.93","-60.21","-26.31","38.16","37.10","36.03","1.91","","","69.64","88.21","","2.68","44.01","49.71","-0.09","-0.03","-0.05","0.21","1.85","1.17","40.21","-40.21","0.77","-0.14","50.00","185.62","-5.42","6.09","1.00","41.00","31.00","62,560,905.72","0.19","-2.03","-0.24","-1.01","138.47","120.37","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.10","39.19","1,111,636,000.00","103.62","99.79","40.03","38.12","36.22","-0.82","38.16","38.12","32.38","38.12","36.48","-0.77","38.10","25.33","0.01","-0.24","0.01","-0.25","35.98","-0.17","0.52","39.41","37.02","-4,953,565.84","-3,755,513.82","-1,198,052.02","41.79","37.60","33.41","42.76","37.90","37.96","38.39","35.27","36.11","22.02","39.93","0.60","39.76","37.86","35.97","37.06","37.21","37.47","37.60","37.70","37.81","37.92","37.85","37.75","37.64","37.51","37.22","0.52","0.15","-0.34","0","39.93","37.38","-0.33","-0.92","-6,200,945.19","-1.82","-1.80","-0.07","3.96","39.93","37.96","35.98","-2.27","0.57","","","-3.95","-106.38","39.10","","-59.54","0.66","-1.20","0.02","-5.57","-5.57","8.60","39.80","38.16","36.52","22.85","0.93","-0.06","-1.18","0.82","38.97","39.88","34.65","-57.14","35.71","92.86","38.37","38.52","38.18","20.51","32.90","19.89","1,411.66","13.38"
"2016-01-12T23:00:00.000Z","35.98","-3.46","-3.48","51,728,000","35.79","39.95","38.05","36.15","11.70","38.11","38.11","38.11","","-96.59","37.98","0.82","0.98","42.35","2,930,701.84","0.32","40.57","5.03","37.98","-0.05","1.81","-0.05","0","30.13","1,319,540,000.00","36.50","-150.98","38.98","17.69","14.95","17.69","14.95","-67.15","-33.74","37.85","36.70","35.55","2.20","","","60.10","108.34","","1.34","35.79","43.99","-0.15","-0.07","-0.08","-0.47","1.54","2.07","28.39","-28.39","-29.00","-0.27","45.00","176.79","-12.79","3.23","1.00","41.00","31.00","60,772,421.97","0.19","-6.20","-0.36","-2.02","133.69","120.51","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.09","38.93","1,059,908,000.00","103.62","99.81","40.01","38.11","36.20","-1.92","38.05","38.11","32.42","38.11","29.46","-2.38","37.99","25.46","0.04","-0.36","-0.06","-0.30","35.98","-0.22","0.68","39.65","36.50","-5,754,607.24","-4,041,098.60","-1,713,508.65","41.98","37.30","32.63","30.32","37.63","37.89","38.45","35.27","36.45","23.58","39.93","1.81","39.38","37.51","35.63","36.52","36.80","37.14","37.30","37.44","37.58","37.79","37.75","37.67","37.56","37.45","37.17","0.52","0.01","-0.49","0","39.93","37.38","0.16","-1.65","-14,836,727.40","-1.85","-1.82","-0.18","3.96","39.93","37.96","35.98","-5.22","-0.62","","","-6.33","-156.36","42.09","","-68.16","-1.45","14.03","-0.09","-5.57","-5.58","9.97","39.95","38.05","36.15","-4.63","1.00","-0.14","-1.33","0.89","38.97","39.16","32.80","-71.43","28.57","100.00","38.43","38.43","37.94","17.54","36.00","20.93","1,260.68","11.70"
"2016-01-13T23:00:00.000Z","36.57","1.64","1.62","55,558,000","41.21","39.98","37.98","35.98","13.02","38.09","38.09","38.09","","-71.83","37.83","0.80","1.04","81.60","3,380,716.48","0.37","46.02","5.44","37.84","-0.02","1.74","-0.08","0","24.10","1,375,098,000.00","36.21","18.85","38.98","21.38","18.86","21.38","18.86","-60.48","-38.60","37.83","36.60","35.38","2.29","","","66.75","98.57","","0.67","41.21","49.17","-0.21","-0.12","-0.09","-0.62","0.64","1.47","34.02","-34.02","-6.84","-0.21","50.00","169.98","-18.86","-0.21","1.00","37.00","31.00","61,685,043.56","0.19","-4.83","-0.40","-1.16","135.88","120.66","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.09","38.62","1,115,466,000.00","103.62","99.83","39.99","38.09","36.19","-1.11","37.98","38.09","32.47","38.09","28.39","-1.86","37.84","25.69","0.03","-0.40","-0.13","-0.27","35.84","-0.25","0.77","39.70","36.21","-6,553,228.34","-4,399,974.27","-2,153,254.06","42.25","37.17","32.09","34.99","36.85","37.59","38.45","35.27","35.86","26.65","39.93","1.74","39.06","37.20","35.34","36.55","36.72","37.01","37.17","37.30","37.46","37.71","37.68","37.61","37.52","37.41","37.15","0.53","0.09","-0.66","0","39.93","37.38","-0.37","-2.11","-8,026,515.49","-2.10","-1.85","-0.32","4.10","39.93","37.89","35.84","-3.33","0.12","","","-8.03","-147.13","40.02","","-45.13","0.99","25.03","-0.01","-5.56","-5.57","10.55","39.98","37.98","35.98","14.83","1.04","-0.11","-1.50","0.95","38.54","40.16","32.98","-78.57","21.43","100.00","38.37","38.29","37.62","15.24","35.71","22.30","1,279.53","13.02"
"2016-01-14T23:00:00.000Z","35.52","-2.86","-2.88","76,676,000","35.50","40.04","37.81","35.59","11.98","38.05","38.05","38.05","","-90.76","37.64","0.76","1.06","636.42","5,379,392.15","0.36","42.79","6.11","37.64","-0.05","1.49","-0.11","0","19.28","1,298,422,000.00","35.68","-100.90","38.98","13.60","17.56","13.60","17.56","-61.76","-42.81","37.67","36.40","35.13","2.56","0.60","1.41","57.49","104.98","82,251,420.00","0.34","35.50","44.87","-0.24","-0.17","-0.06","-1.54","0.55","1.36","36.56","-36.56","-40.34","-0.19","45.00","161.06","-26.89","-4.34","1.00","37.00","31.00","59,493,975.05","0.19","-7.23","-0.51","-1.85","132.00","120.80","38.55","40.29","37.16","41.67","35.43","43.41","34.04","1.08","38.22","1,038,790,000.00","103.62","99.85","39.95","38.05","36.15","-1.81","37.81","38.05","32.51","38.05","24.24","-2.77","37.65","25.77","0.01","-0.51","-0.21","-0.31","35.25","-0.30","0.89","39.88","35.68","-7,718,476.23","-4,874,045.98","-2,844,430.25","42.19","36.87","31.55","30.70","36.77","37.51","38.48","35.27","36.04","28.35","39.93","1.13","38.78","36.93","35.08","36.03","36.32","36.68","36.87","37.03","37.22","37.57","37.56","37.51","37.43","37.34","37.10","0.59","0.23","-0.60","1.00","37.65","37.38","-0.89","-2.02","-18,326,481.79","-2.43","-2.10","-0.38","4.68","39.93","37.59","35.25","-5.60","-0.95","","","-10.20","-168.15","42.01","-7.20","-46.34","-0.44","17.67","-0.07","-5.56","-5.56","11.79","40.04","37.81","35.59","-1.36","1.05","-0.07","-1.68","0.99","38.54","39.29","31.76","-85.71","14.29","100.00","38.35","38.12","37.52","13.60","33.12","23.69","1,178.63","11.98"
