"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","144.99","0.10","0.26","28,646,000","48.92","149.54","145.61","141.69","69.48","145.49","145.49","145.49","134.57","-37.15","145.04","0.95","1.00","5.82","-2,763,674.55","0.08","0.22","44.72","2.37","145.00","0.01","2.14","0.01","92.59","69.83","1,244,494,000.00","146.39","-8.96","150.65","65.13","69.39","65.13","69.39","40.62","33.75","149.41","145.88","142.35","3.74","","","90.28","96.01","","95.14","48.92","45.47","0.14","0.16","-0.02","1.70","1.00","1.62","30.83","-30.83","-18.45","0.14","50.00","121.55","-2.34","-3.14","1.00","149.00","139.00","23,936,248.11","0.30","-0.57","0.19","-0.07","113.71","","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.97","141.13","1,108,838,000.00","146.56","","152.77","145.49","138.22","-0.16","145.61","145.49","131.23","145.49","44.07","-0.84","144.91","24.85","0.07","0.19","0.19","0","139.32","0.19","0.17","143.74","146.39","-1,985,063.14","-1,087,087.10","-897,976.04","158.33","145.60","132.88","57.56","144.42","144.21","145.37","141.01","141.59","13.78","148.34","2.14","153.59","146.28","138.96","145.32","145.56","145.63","145.60","145.58","145.54","145.30","145.16","144.98","144.78","144.54","143.98","0.83","0.51","-0.74","0","148.34","139.32","0.29","-1.85","-2,631,659.35","1.09","1.25","1.00","9.78","149.10","144.21","139.32","-0.12","2.66","","0","-22.98","55.16","","35.65","-0.96","-1.99","0.13","-5.49","-5.48","5.39","149.54","145.61","141.69","42.06","1.05","0.05","0.61","2.69","150.07","151.45","138.53","28.57","64.29","35.71","144.52","145.03","145.76","22.14","26.88","9.85","6,978.53","69.48"
"2022-01-03T23:00:00.000Z","144.40","-0.41","-0.25","28,400,000","47.30","149.48","145.68","141.87","67.39","145.63","145.63","145.63","","-43.72","145.13","1.04","0.92","-26.13","-2,205,194.85","0.10","0.22","43.09","2.33","145.11","-0.02","2.77","0.01","79.37","71.73","1,216,094,000.00","146.02","-59.33","150.65","60.14","64.82","60.14","64.82","29.38","32.95","148.95","145.42","141.89","3.70","","","106.48","94.37","","75.53","47.30","43.49","0.14","0.15","-0.01","1.55","1.30","1.17","46.40","-46.40","-30.27","-0.40","45.00","121.59","-0.37","-2.63","1.00","149.00","139.00","23,820,291.90","0.30","0.34","0.09","-0.33","113.71","","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.97","141.42","1,080,438,000.00","145.97","","152.91","145.63","138.35","-0.75","145.68","145.63","131.44","145.63","52.85","0.49","145.07","24.80","0.10","0.09","0.17","-0.09","139.32","0.13","0.08","144.25","146.02","-1,246,149.29","-1,109,810.27","-136,339.02","158.22","145.39","132.55","54.89","145.71","144.21","144.80","141.01","138.62","14.05","148.34","2.77","153.62","146.30","138.99","144.86","145.18","145.35","145.39","145.39","145.39","145.24","145.12","144.96","144.76","144.54","143.99","0.83","0.76","-0.64","0","148.34","139.32","1.09","-1.68","-4,657,517.27","0.86","1.09","3.59","9.78","149.10","144.21","139.32","-0.55","2.67","","0.32","-29.33","53.31","","11.28","-1.12","-2.21","0.07","-5.51","-5.49","5.23","149.48","145.68","141.87","33.22","1.08","0.03","0.29","2.70","150.07","151.23","137.57","28.57","57.14","28.57","144.54","145.29","145.94","22.20","24.91","9.55","6,919.20","67.39"
"2022-01-04T23:00:00.000Z","137.77","-4.59","-4.42","54,618,000","33.79","150.26","145.20","140.15","60.67","145.64","145.64","145.64","","-99.18","144.71","0.87","1.03","50.17","348,955.29","0.11","0.23","29.74","2.95","144.76","-0.10","6.81","0","26.28","62.64","1,161,476,000.00","144.29","-969.20","150.20","39.98","55.08","39.98","55.08","-10.60","25.03","147.53","143.64","139.75","5.24","","","76.98","114.84","","49.10","33.79","39.60","0.06","0.13","-0.07","-0.80","0.70","3.18","52.50","-52.50","-67.79","-1.29","40.00","115.06","-4.56","-2.67","-1.00","149.00","137.00","21,314,621.41","0.29","-5.92","-0.53","-2.25","108.49","","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.94","148.34","1,025,820,000.00","145.97","","152.92","145.64","138.35","-7.05","145.20","145.64","131.62","145.64","41.24","-8.67","144.85","24.92","0.12","-0.53","0.03","-0.56","139.32","-0.04","0","144.91","144.29","-2,350,754.87","-1,287,088.07","-1,063,666.80","158.96","144.00","129.04","39.32","143.02","143.39","144.80","141.01","134.28","26.05","148.34","6.81","153.16","145.86","138.57","141.32","142.71","143.67","144.00","144.22","144.44","144.76","144.71","144.61","144.46","144.27","143.79","0.83","0.70","-0.46","0","148.34","139.32","0.19","-6.62","-55,680,383.53","0.30","0.86","-1.32","9.78","149.10","144.21","139.32","-4.70","-3.19","","-1.39","-191.88","48.78","","-72.59","-4.73","3.49","-0.07","-5.54","-5.51","6.97","150.26","145.20","140.15","-23.44","1.22","-0.09","-0.59","2.99","150.07","147.32","128.23","-50.00","50.00","100.00","144.75","145.45","145.91","18.59","35.25","11.08","5,950.01","60.67"
"2022-01-05T23:00:00.000Z","137.75","-0.02","0.14","37,348,000","33.75","150.50","144.68","138.87","58.48","145.60","145.60","145.60","","-89.91","144.21","0.79","1.18","10.99","968,429.55","0.09","0.27","31.33","3.40","144.25","-0.12","3.38","-0.02","11.42","52.40","1,124,128,000.00","142.51","-56.42","147.50","22.40","40.84","22.40","40.84","-40.02","13.21","145.88","141.95","138.03","6.31","","","86.14","106.94","","24.55","33.75","35.22","-0.11","0.07","-0.18","-2.12","0.33","1.64","79.57","-79.57","-51.41","-1.27","35.00","106.34","-10.88","-3.43","-1.00","149.00","131.00","21,307,167.71","0.29","-4.64","-1.01","-2.07","108.49","","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.94","148.13","988,472,000.00","145.94","","152.89","145.60","138.32","-6.75","144.68","145.60","131.80","145.60","32.39","-6.70","144.32","24.90","0.09","-1.01","-0.18","-0.83","137.69","-0.24","0.10","145.93","142.51","-2,980,175.33","-1,528,957.68","-1,451,217.65","158.02","142.86","127.71","39.66","142.45","142.83","144.74","141.01","135.53","22.85","148.34","3.38","152.29","145.04","137.79","139.53","141.06","142.35","142.86","143.23","143.60","144.30","144.32","144.27","144.17","144.02","143.59","0.90","0.62","-0.08","0","148.34","139.32","-3.43","-6.81","-47,872,747.77","-0.29","0.30","-4.41","11.41","149.10","143.39","137.69","-4.41","-2.40","","-2.90","-207.25","44.28","","-80.23","-3.46","3.01","-0.12","-5.56","-5.54","8.04","150.50","144.68","138.87","-9.61","1.22","-0.02","-1.98","3.02","146.72","147.42","128.08","-57.14","42.86","100.00","144.98","145.60","145.68","17.10","35.10","12.75","5,893.58","58.48"
"2022-01-06T23:00:00.000Z","137.02","-0.53","-0.37","29,760,000","32.56","150.68","144.15","137.62","57.05","145.42","145.42","145.42","","-90.06","143.85","0.84","1.14","-40.97","837,425.85","0.08","0.31","31.99","3.76","143.88","-0.11","2.68","-0.05","3.45","42.61","1,094,368,000.00","140.35","-76.46","146.19","6.95","23.11","6.95","23.11","-57.98","0.26","144.28","140.39","136.49","7.22","","","76.19","94.77","","12.27","32.56","30.99","-0.27","-0.04","-0.23","-2.88","0.56","1.59","70.32","-70.32","-39.87","-1.22","35.00","97.85","-16.68","-5.03","1.00","139.00","131.00","21,149,345.18","0.29","-3.32","-1.43","-2.23","108.49","114.51","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.94","147.67","958,712,000.00","145.16","124.87","152.69","145.42","138.15","-6.95","144.15","145.42","131.98","145.42","34.26","-4.71","143.93","24.84","0.09","-1.43","-0.43","-1.00","136.56","-0.52","0.34","147.69","140.35","-3,383,752.16","-1,793,928.32","-1,589,823.84","156.78","141.80","126.82","38.05","142.03","142.43","145.29","141.01","136.61","22.30","148.34","2.68","151.15","143.96","136.76","138.27","139.71","141.17","141.80","142.27","142.78","143.83","143.91","143.92","143.86","143.74","143.38","0.93","0.47","-0.06","0","148.34","139.32","-4.01","-6.70","-44,139,449.26","-0.85","-0.29","-4.04","12.54","149.10","142.83","136.56","-4.69","-2.21","","-4.43","-187.69","41.35","","-97.50","-2.43","-1.43","-0.10","-5.57","-5.56","9.06","150.68","144.15","137.62","-4.58","1.23","-0.03","-3.36","2.99","146.72","146.36","127.67","-64.29","35.71","100.00","145.15","145.62","145.57","16.01","34.75","14.48","5,817.12","57.05"
"2022-01-09T23:00:00.000Z","138.67","1.21","1.37","44,408,000","37.88","150.38","143.68","136.99","62.55","145.28","145.28","145.28","","-63.73","143.58","0.84","1.07","63.31","1,893,745.74","0.08","0.38","43.77","3.93","143.59","-0.04","5.65","-0.08","0","34.09","1,138,776,000.00","138.74","205.44","146.19","18.77","16.04","18.77","16.04","-52.03","-9.24","143.25","139.12","135.00","7.62","","","68.89","86.58","","6.14","37.88","38.76","-0.34","-0.17","-0.17","-2.68","1.14","1.97","64.48","-64.48","-14.17","-0.77","35.00","90.77","-21.14","-7.16","1.00","139.00","131.00","21,684,928.78","0.30","-2.07","-1.61","-1.45","109.80","114.56","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.95","146.95","1,003,120,000.00","145.16","125.04","152.54","145.28","138.01","-4.65","143.68","145.28","132.16","145.28","32.88","-2.94","143.61","24.89","0.13","-1.61","-0.66","-0.95","135.77","-0.74","0.61","149.11","138.74","-4,057,657.71","-2,117,318.23","-1,940,339.48","157.54","141.23","124.92","45.73","140.29","141.13","145.39","141.01","137.74","23.24","148.34","5.65","149.87","142.73","135.60","138.47","139.36","140.61","141.23","141.72","142.27","143.50","143.62","143.66","143.63","143.54","143.22","0.96","0.26","-0.85","0","148.34","139.32","-3.10","-8.76","-27,350,376.88","-1.37","-0.85","-3.75","13.21","148.98","142.37","135.77","-3.40","0.48","","-5.36","-159.84","37.33","","-69.11","-0.05","9.05","-0.04","-5.57","-5.57","9.32","150.38","143.68","136.99","12.57","1.27","-0.03","-4.71","3.18","145.98","149.54","127.80","-71.43","28.57","100.00","145.26","145.52","144.67","13.98","36.18","16.61","6,022.56","62.55"
"2022-01-10T23:00:00.000Z","139.74","0.77","0.93","28,730,000","41.12","150.21","143.38","136.55","65.59","145.11","145.11","145.11","","-56.71","143.31","0.90","1.08","-0.09","1,449,098.98","0.11","0.38","49.41","4.12","143.32","0","3.52","-0.10","0","27.27","1,167,506,000.00","137.74","126.49","146.19","29.83","18.52","29.83","18.52","-38.62","-14.59","142.34","138.19","134.03","7.87","","","70.21","79.31","","3.07","41.12","45.10","-0.30","-0.27","-0.02","-2.53","1.25","1.21","44.87","-44.87","4.71","-0.50","40.00","85.59","-23.69","-9.58","1.00","149.00","131.00","21,905,889.29","0.30","-2.60","-1.65","-1.05","109.80","114.60","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.95","145.85","1,031,850,000.00","146.28","125.21","152.37","145.11","137.86","-2.98","143.38","145.11","132.35","145.11","32.74","-3.74","143.34","24.92","0.12","-1.65","-0.86","-0.79","133.16","-0.85","0.76","149.68","137.74","-3,094,837.85","-2,256,963.89","-837,873.96","157.40","140.96","124.52","51.42","140.23","141.13","145.31","141.01","132.54","24.15","148.34","3.52","148.52","141.45","134.38","139.10","139.49","140.42","140.96","141.41","141.95","143.26","143.41","143.47","143.46","143.39","143.11","1.03","0.10","-2.08","0","148.34","139.32","-1.39","-4.92","-19,065,968.49","-1.50","-1.37","-2.97","15.18","148.34","140.75","133.16","-2.48","2.56","","-6.16","-99.01","37.48","","-54.76","1.43","9.04","0.03","-5.56","-5.57","9.53","150.21","143.38","136.55","23.34","1.25","-0.03","-5.76","3.21","145.98","150.54","128.93","-71.43","21.43","92.86","145.37","145.46","143.39","15.99","33.34","17.93","6,149.05","65.59"
"2022-01-11T23:00:00.000Z","141.43","1.21","1.38","26,108,000","45.93","150.13","143.25","136.38","67.29","145.07","145.07","145.07","","-45.54","143.02","0.91","1.09","-0.81","875,052.67","0.10","0.38","48.46","4.27","143.06","0","2.87","-0.11","0","21.82","1,193,614,000.00","137.71","230.47","146.19","44.67","31.09","44.67","31.09","-21.02","-15.75","143.05","138.92","134.79","7.72","","","77.37","85.00","","1.53","45.93","50.11","-0.21","-0.29","0.08","-2.08","1.68","0.75","27.19","-27.19","24.85","-0.31","45.00","81.96","-25.05","-12.00","-1.00","149.00","139.00","22,222,487.07","0.30","-3.40","-1.52","-0.45","109.80","114.64","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.96","144.84","1,057,958,000.00","148.05","125.39","152.32","145.07","137.82","-0.75","143.25","145.07","132.55","145.07","32.59","-4.98","143.12","24.91","0.07","-1.52","-0.99","-0.53","133.16","-0.80","0.70","148.94","137.71","-2,269,327.47","-2,258,730.12","-10,597.35","157.28","141.05","124.81","51.94","139.93","141.13","144.48","141.01","130.40","25.41","148.34","1.91","147.39","140.37","133.35","140.27","140.13","140.64","141.05","141.42","141.89","143.14","143.30","143.37","143.37","143.32","143.05","1.03","0.48","-2.79","-1.00","148.34","133.16","1.02","-0.89","-10,022,243.74","-1.21","-1.50","-3.71","15.18","148.34","140.75","133.16","-1.05","5.51","","-6.64","-35.50","36.96","","-34.38","2.63","-3.37","-0.02","-5.55","-5.56","9.60","150.13","143.25","136.38","36.74","1.24","-0.09","-5.54","3.18","145.98","151.80","131.06","-71.43","14.29","85.71","145.40","144.92","142.13","20.32","31.19","18.16","6,379.52","67.29"
"2022-01-12T23:00:00.000Z","138.59","-2.01","-1.85","31,436,000","40.02","149.86","142.86","135.86","63.03","144.93","144.93","144.93","","-64.28","142.49","0.78","1.12","19.15","840,354.81","0.07","0.37","44.62","4.58","142.54","-0.04","4.44","-0.13","0","17.45","1,162,178,000.00","137.17","-284.65","146.19","44.49","39.66","44.49","39.66","-16.55","-15.90","143.32","139.09","134.85","7.68","","","62.66","99.61","","0.77","40.02","46.06","-0.16","-0.25","0.09","-2.12","1.39","1.46","24.72","-24.72","-7.87","-0.67","40.00","75.71","-29.08","-14.87","-1.00","149.00","137.00","21,590,459.51","0.30","-5.67","-1.64","-1.08","107.59","114.67","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.95","143.90","1,026,522,000.00","148.05","125.57","152.18","144.93","137.69","-2.92","142.86","144.93","132.72","144.93","25.34","-8.33","142.64","25.03","0.14","-1.64","-1.12","-0.52","133.16","-0.79","0.70","148.29","137.17","-2,747,241.34","-2,328,517.43","-418,723.90","157.43","140.60","123.77","42.69","139.82","141.13","144.70","141.01","129.81","26.62","148.34","4.44","146.59","139.61","132.63","139.43","139.62","140.19","140.60","140.98","141.47","142.85","143.04","143.14","143.16","143.13","142.91","1.03","1.27","-3.18","0","148.34","133.16","1.69","-2.75","-21,360,204.70","-0.92","-1.21","-5.99","15.18","148.34","140.75","133.16","-2.63","3.27","","-7.75","-64.01","39.34","","-40.76","1.02","2.79","-0.12","-5.54","-5.55","9.80","149.86","142.86","135.86","19.48","1.26","-0.15","-4.92","3.27","145.98","149.55","127.63","-71.43","7.14","78.57","145.35","144.08","140.90","18.35","33.16","18.92","6,094.87","63.03"
"2022-01-13T23:00:00.000Z","139.48","0.64","0.81","29,662,000","42.52","149.72","142.61","135.50","65.51","144.79","144.79","144.79","","-58.27","141.87","0.75","1.17","85.67","662,077.52","0.08","0.37","53.01","4.77","141.91","-0.03","3.74","-0.14","0","13.96","1,191,840,000.00","137.23","65.20","146.19","43.97","44.38","43.97","44.38","-12.65","-15.31","143.86","139.58","135.30","7.14","0.32","0.70","63.88","100.52","41,912,400.00","0.38","42.52","49.89","-0.14","-0.20","0.06","-2.05","0.92","1.32","18.44","-18.44","2.68","-0.25","45.00","70.44","-32.38","-18.20","-1.00","149.00","131.00","21,781,695.40","0.30","-5.70","-1.64","-0.64","107.59","114.71","144.42","149.53","139.75","154.20","134.65","159.31","129.97","0.96","143.04","1,056,184,000.00","149.01","125.76","152.03","144.79","137.55","-1.43","142.61","144.79","132.89","144.79","20.47","-8.43","142.00","25.20","0.13","-1.64","-1.22","-0.41","133.16","-0.69","0.61","146.92","137.23","-3,138,131.93","-2,444,176.65","-693,955.28","157.41","140.40","123.38","50.63","139.82","141.13","144.91","141.01","127.59","27.08","148.34","3.74","146.17","139.21","132.25","139.45","139.57","140.03","140.40","140.75","141.22","142.63","142.84","142.96","143.00","142.99","142.79","1.03","2.12","-2.80","0","148.34","133.16","-0.17","-3.92","-14,522,631.36","-0.80","-0.92","-7.79","15.18","148.34","140.75","133.16","-1.59","4.79","","-8.49","-74.91","41.44","3.00","-34.18","1.61","13.38","-0.07","-5.52","-5.54","9.97","149.72","142.61","135.50","27.97","1.26","-0.14","-4.44","3.31","145.98","150.50","128.47","-71.43","0","71.43","145.33","143.21","140.41","16.87","33.52","19.93","6,160.08","65.51"
