"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2024-01-01T23:00:00.000Z","138.17","-1.09","-1.22","23,711,200","54.93","143.74","135.89","128.04","48.71","133.60","133.60","133.60","144.41","-34.72","137.31","1.05","0.77","-23.85","-2,500,202.77","0","0.36","51.64","2.16","137.31","0.06","3.21","0.17","100.00","86.85","795,415,000.00","141.96","-175.23","133.56","74.47","79.80","74.47","79.80","50.99","47.62","143.57","140.00","136.42","6.96","","","104.74","106.86","","99.88","54.93","49.05","0.10","0.11","-0.01","4.65","1.14","2.46","32.90","-32.90","-35.37","-0.14","50.00","133.91","44.34","26.28","-1.00","149.00","131.00","15,469,494.40","0.29","3.66","1.76","0.34","133.15","","136.76","145.61","130.83","151.54","121.98","160.39","116.05","0.98","134.53","672,745,000.00","116.44","","140.28","133.60","126.92","0.07","135.89","133.60","125.10","133.60","64.07","4.88","137.31","25.01","0.13","1.76","1.43","0.33","129.69","0.72","0.69","131.93","141.96","110,937.87","982,398.41","-871,460.54","151.83","138.66","125.49","62.50","139.38","135.29","132.44","130.72","145.91","16.44","142.68","2.97","147.02","140.02","133.02","139.11","139.33","139.01","138.66","138.31","137.82","136.22","135.88","135.59","135.33","135.07","134.57","0.97","2.41","-2.76","0","142.68","129.69","1.31","-1.66","6,773,995.80","1.49","2.04","2.48","14.78","142.68","135.29","127.90","0.63","-1.78","","","10.31","39.97","38.14","","26.13","-2.75","0.63","0.06","-5.48","-5.46","11.56","143.74","135.89","128.04","64.51","0.67","0.04","4.59","2.73","132.59","145.29","131.05","50.00","71.43","21.43","133.47","135.88","138.64","28.09","24.30","18.58","8,546.82","48.71"
"2024-01-02T23:00:00.000Z","138.92","0.54","0.41","24,212,100","56.79","143.71","136.37","129.04","50.55","133.67","133.67","133.67","","-28.95","137.76","1.08","0.77","-16.60","-2,412,038.70","0.01","0.36","50.51","1.89","137.76","0.07","2.55","0.17","100.00","89.48","819,627,100.00","141.70","82.25","133.56","71.11","75.23","71.11","75.23","36.85","45.66","143.04","139.48","135.92","6.46","","","115.80","100.78","","99.94","56.79","51.13","0.09","0.10","0","4.53","1.09","1.27","44.03","-44.03","-17.88","0.14","55.00","133.64","45.41","30.72","-1.00","149.00","137.00","15,600,920.01","0.30","4.83","1.68","0.46","133.87","","136.76","145.61","130.83","151.54","121.98","160.39","116.05","0.99","135.18","696,957,100.00","116.44","","140.35","133.67","126.99","0.24","136.37","133.67","125.29","133.67","70.76","6.40","137.76","25.01","0.11","1.68","1.48","0.20","129.69","0.60","0.57","133.23","141.70","555,786.29","921,453.82","-365,667.53","151.83","138.71","125.58","67.40","139.58","135.29","132.64","130.72","149.00","12.80","142.68","2.55","147.18","140.17","133.17","139.01","139.19","138.99","138.71","138.40","137.96","136.40","136.05","135.75","135.48","135.22","134.71","0.97","2.68","-2.37","0","142.68","129.69","1.38","-1.17","8,400,435.68","0.91","1.49","2.87","14.78","142.68","135.29","127.90","0.84","-1.10","","","10.28","43.65","38.69","","25.31","-2.00","5.77","0.06","-5.50","-5.48","10.76","143.71","136.37","129.04","67.36","0.43","0.05","3.69","2.72","132.59","146.15","131.69","50.00","64.29","14.29","133.96","136.64","139.00","26.68","22.67","17.83","8,629.07","50.55"
"2024-01-03T23:00:00.000Z","136.39","-1.82","-1.96","27,137,700","49.37","143.55","136.64","129.73","47.78","133.67","133.67","133.67","","-48.42","138.08","1.05","0.80","-9.86","-2,082,095.47","0.01","0.35","42.98","1.93","138.10","0.03","2.81","0.17","91.70","89.92","792,489,400.00","140.60","-249.04","133.56","62.64","69.40","62.64","69.40","8.32","38.87","142.25","138.68","135.11","5.85","","","104.23","104.36","","90.20","49.37","48.91","0.05","0.09","-0.04","4.02","1.00","1.29","55.32","-55.32","-54.85","-0.23","50.00","131.39","45.07","34.55","-1.00","149.00","131.00","15,106,690.60","0.29","2.88","1.40","-0.64","131.43","","136.76","145.61","130.83","151.54","121.98","160.39","116.05","0.98","135.78","669,819,400.00","116.44","","140.35","133.67","126.98","-2.61","136.64","133.67","125.46","133.67","63.78","3.82","138.13","25.08","0.10","1.40","1.47","-0.07","129.69","0.39","0.29","135.08","140.60","-141,251.90","769,638.72","-910,890.61","151.51","138.29","125.07","57.51","139.51","135.29","133.09","130.72","147.53","15.88","142.68","2.81","147.01","140.01","133.01","137.70","138.26","138.41","138.29","138.09","137.76","136.40","136.07","135.78","135.52","135.27","134.77","0.97","2.76","-1.94","0","142.68","129.69","1.17","-1.64","-2,607,961.97","0.23","0.91","2.24","14.43","142.68","135.46","128.25","-1.19","-3.63","","","8.97","13.76","39.60","","-19.88","-3.09","5.25","0","-5.52","-5.50","10.11","143.55","136.64","129.73","48.17","0.58","0.03","2.94","2.73","132.59","143.86","128.92","50.00","57.14","7.14","134.42","137.18","139.12","24.71","22.91","16.83","8,380.03","47.78"
"2024-01-04T23:00:00.000Z","135.73","-0.48","-0.62","22,506,000","47.62","143.16","136.93","130.70","46.35","133.61","133.61","133.61","","-60.43","138.38","1.07","0.85","-41.88","-2,169,345.69","0.01","0.36","42.66","1.96","138.40","0.01","2.01","0.16","74.48","86.84","769,983,400.00","139.13","-82.63","133.56","54.07","62.60","54.07","62.60","-21.72","27.86","141.28","137.78","134.28","4.99","","","103.19","113.00","","45.10","47.62","46.23","-0.02","0.06","-0.08","3.47","0.76","1.43","68.28","-68.28","-45.51","-0.44","50.00","127.68","43.18","37.82","1.00","139.00","131.00","14,997,782.01","0.29","2.87","1.11","-1.03","131.43","","136.76","145.61","130.83","151.54","121.98","160.39","116.05","0.97","142.68","647,313,400.00","115.88","","140.29","133.61","126.93","-3.26","136.93","133.61","125.62","133.61","66.27","3.79","138.45","25.02","0.09","1.11","1.39","-0.29","129.69","0.13","0.04","137.36","139.13","-675,448.65","563,197.67","-1,238,646.32","150.72","137.82","124.92","58.65","138.91","135.29","133.16","130.72","145.14","14.52","142.68","2.01","146.54","139.57","132.59","136.72","137.42","137.81","137.82","137.73","137.51","136.35","136.05","135.78","135.53","135.29","134.80","0.97","2.63","-1.30","0","142.68","129.69","-0.50","-2.51","-4,357,402.03","-0.40","0.23","1.83","12.99","142.68","136.18","129.69","-1.86","-4.51","","","7.51","-22.03","42.09","","-55.90","-2.51","-3.46","0.01","-5.54","-5.52","9.10","143.16","136.93","130.70","40.39","0.55","0.02","2.03","2.68","132.59","142.91","128.55","50.00","50.00","0","134.95","137.59","138.89","23.39","24.89","15.85","8,297.40","46.35"
"2024-01-07T23:00:00.000Z","138.84","2.29","2.16","21,404,000","55.60","143.31","137.02","130.74","49.46","133.87","133.87","133.87","","-37.46","138.79","1.04","0.78","-57.88","-2,300,891.08","0","0.34","51.55","1.82","138.80","0.04","3.28","0.16","66.63","82.80","791,387,400.00","138.46","414.26","133.56","51.23","55.98","51.23","55.98","-25.55","18.15","141.16","137.61","134.06","3.85","","","121.00","95.14","","22.55","55.60","49.17","-0.05","0.02","-0.07","3.48","1.92","1.05","46.98","-46.98","16.56","-0.12","50.00","125.16","41.57","40.26","-1.00","149.00","131.00","15,488,214.89","0.29","4.71","1.11","0.03","131.43","","136.76","145.61","130.83","151.54","121.98","160.39","116.05","0.98","142.53","668,717,400.00","118.53","","140.56","133.87","127.18","-0.34","137.02","133.87","125.80","133.87","63.65","6.24","138.82","24.88","0.13","1.11","1.34","-0.23","131.18","-0.05","0.01","139.10","138.46","-218,824.58","451,480.20","-670,304.79","151.26","138.01","124.75","59.96","138.91","135.29","133.17","130.72","145.94","17.03","142.68","2.75","145.99","139.03","132.08","137.78","137.89","138.04","138.01","137.90","137.68","136.51","136.21","135.93","135.67","135.43","134.93","0.93","2.35","-0.94","0","142.68","129.69","1.18","-1.57","5,774,577.27","-0.73","-0.40","2.98","12.99","142.68","136.18","129.69","0.06","-1.84","","","6.73","24.37","47.46","","-25.41","0.28","-4.72","0.03","-5.53","-5.53","9.17","143.31","137.02","130.74","64.45","0.48","0.06","1.59","2.72","132.59","146.55","131.13","42.86","42.86","0","135.49","137.84","138.78","26.23","22.74","15.23","8,711.67","49.46"
"2024-01-08T23:00:00.000Z","140.95","1.52","1.38","24,759,600","60.05","143.76","137.32","130.89","52.26","134.24","134.24","134.24","","-22.97","139.15","1.06","0.81","-23.25","-2,110,049.53","0.15","0.33","55.71","1.81","139.16","0.07","3.34","0.15","61.18","78.47","816,147,000.00","138.60","264.67","133.56","59.71","55.00","59.71","55.00","-7.19","13.54","141.77","138.17","134.56","3.63","","","143.07","83.66","","13.28","60.05","51.91","-0.03","-0.02","-0.01","3.89","1.69","0.66","47.24","-47.24","50.07","0.34","55.00","124.36","40.89","41.85","-1.00","149.00","137.00","15,864,495.31","0.30","3.79","1.27","0.68","133.43","128.50","136.76","145.61","130.83","151.54","121.98","160.39","116.05","1.00","142.38","693,477,000.00","118.53","103.91","140.96","134.24","127.53","1.56","137.32","134.24","125.97","134.24","62.97","5.15","139.18","24.92","0.13","1.27","1.33","-0.05","132.43","-0.08","0.03","139.73","138.60","268,682.86","425,366.30","-156,683.44","152.14","138.54","124.94","62.92","138.61","135.29","132.58","130.72","142.77","18.32","142.68","3.34","145.55","138.62","131.69","139.36","138.91","138.69","138.54","138.37","138.09","136.80","136.47","136.18","135.90","135.64","135.13","0.88","1.94","-0.72","-1.00","142.68","135.15","3.21","-0.13","12,412,890.67","-0.60","-0.73","2.53","12.99","142.68","136.18","129.69","1.31","-0.18","","","5.95","68.87","57.66","","-4.56","1.67","-3.01","0.07","-5.52","-5.53","9.37","143.76","137.32","130.89","78.19","0.45","0.06","1.81","2.76","132.59","149.12","132.78","35.71","35.71","0","135.91","137.85","138.58","30.38","20.78","15.48","8,976.33","52.26"
"2024-01-09T23:00:00.000Z","142.28","0.94","0.81","21,320,200","62.59","144.27","137.77","131.27","53.63","134.65","134.65","134.65","","-9.17","139.54","1.04","0.78","-16.32","-2,210,851.74","0","0.34","56.77","1.81","139.54","0.08","2.09","0.16","61.27","75.03","837,467,200.00","139.06","195.90","134.13","76.80","62.58","76.80","62.58","20.13","14.74","142.38","138.84","135.29","3.70","","","164.02","84.58","","32.82","62.59","54.71","0.03","-0.03","0.05","4.55","1.58","0.23","63.66","-63.66","54.69","0.57","60.00","123.36","40.04","42.64","-1.00","149.00","139.00","16,065,672.36","0.30","4.12","1.49","1.05","133.43","128.64","136.76","145.61","130.83","151.54","121.98","160.39","116.05","1.00","135.15","714,797,200.00","119.65","103.99","141.38","134.65","127.91","2.73","137.77","134.65","126.16","134.65","62.62","5.63","139.55","24.95","0.10","1.49","1.36","0.13","135.15","-0.07","0.02","140.06","139.06","637,666.90","455,694.95","181,971.95","152.50","139.22","125.94","63.52","139.07","135.45","132.43","130.72","140.52","18.91","142.68","2.09","145.35","138.42","131.50","140.82","140.03","139.49","139.22","138.97","138.61","137.15","136.79","136.47","136.18","135.90","135.36","0.77","1.65","-0.18","0","142.68","135.15","4.15","2.06","14,690,464.15","-0.13","-0.60","3.25","12.99","142.68","136.18","129.69","1.98","0.52","","","5.42","104.79","56.55","","15.05","2.26","-2.11","0.03","-5.50","-5.52","9.44","144.27","137.77","131.27","84.68","0.49","0.12","2.33","2.72","132.59","150.07","134.49","21.43","100.00","78.57","136.26","137.92","138.09","32.68","19.64","16.15","9,172.23","53.63"
"2024-01-10T23:00:00.000Z","142.08","-0.14","-0.28","24,008,700","61.96","144.54","138.25","131.96","50.49","135.00","135.00","135.00","","-31.18","139.78","1.02","0.84","-51.11","-2,050,165.70","0.01","0.42","53.84","1.81","139.78","0.06","4.58","0.16","65.75","73.18","861,475,900.00","139.55","-35.10","134.26","78.89","71.80","78.89","71.80","31.81","17.84","143.68","139.98","136.27","3.85","","","203.20","91.27","","54.67","61.96","51.22","0.08","0","0.08","4.76","2.06","1.13","68.85","-68.85","38.53","0.39","60.00","122.82","40.05","42.62","-1.00","149.00","139.00","16,031,924.35","0.30","2.70","1.63","0.80","133.24","128.77","136.76","145.61","130.83","151.54","121.98","160.39","116.05","1.00","135.31","690,788,500.00","119.65","104.07","141.75","135.00","128.25","2.48","138.25","135.00","126.35","135.00","59.71","3.74","139.77","25.01","0.19","1.63","1.41","0.22","135.15","-0.04","0.01","140.08","139.55","1,029,450.53","537,660.04","491,790.49","153.99","139.74","125.50","58.62","140.18","136.74","131.74","130.72","141.12","18.39","143.00","4.58","145.43","138.51","131.58","141.45","140.72","140.06","139.74","139.45","139.04","137.47","137.09","136.75","136.44","136.15","135.58","0.78","1.38","-0.10","0","142.68","135.15","5.91","1.33","11,905,874.03","0.42","-0.13","2.94","13.31","143.00","136.35","129.69","1.64","-0.38","","","4.75","112.07","46.59","","14.51","1.78","5.34","-0.01","-5.48","-5.50","9.10","144.54","138.25","131.96","80.46","0.52","0.11","3.18","2.85","133.92","151.06","133.10","28.57","100.00","71.43","136.52","137.90","138.00","34.49","17.38","17.36","9,137.13","50.49"
"2024-01-11T23:00:00.000Z","142.65","0.40","0.27","18,768,600","63.11","144.75","138.75","132.76","51.32","135.37","135.37","135.37","","-25.52","139.95","1.05","0.89","-31.72","-2,318,922.04","0","0.42","52.09","1.81","139.95","0.06","1.38","0.17","69.56","72.45","880,244,500.00","140.37","13.41","134.48","78.04","77.91","78.04","77.91","39.20","21.72","144.94","141.36","137.78","4.12","0.39","0.83","202.22","94.75","48,701,781.00","71.64","63.11","54.66","0.10","0.05","0.06","4.86","1.18","0.74","63.14","-63.14","31.68","0.43","60.00","122.08","39.82","42.26","-1.00","149.00","139.00","16,107,219.63","0.30","1.59","1.76","1.01","133.24","128.90","136.76","145.61","130.83","151.54","121.98","160.39","116.05","1.00","135.70","709,557,100.00","120.13","104.16","142.14","135.37","128.60","2.96","138.75","135.37","126.56","135.37","52.34","2.23","139.95","25.01","0.07","1.76","1.48","0.28","135.15","0.06","0.02","139.47","140.37","466,896.45","527,550.95","-60,654.50","153.78","140.27","126.76","60.65","140.18","137.46","132.36","130.72","142.55","18.40","145.22","1.38","145.90","138.95","132.01","142.05","141.36","140.64","140.27","139.94","139.49","137.80","137.40","137.04","136.71","136.40","135.82","0.88","1.05","-0.69","0","142.68","135.15","3.41","2.03","11,733,313.89","0.88","0.42","2.70","15.53","145.22","137.46","129.69","1.93","-0.92","","","4.29","102.90","45.51","0.95","23.16","1.60","2.60","0","-5.47","-5.48","8.64","144.75","138.75","132.76","82.49","0.60","0.06","4.33","2.74","133.92","150.66","134.64","28.57","92.86","64.29","136.63","137.68","138.36","33.25","16.76","18.47","9,150.55","51.32"
"2024-01-15T23:00:00.000Z","142.49","-0.11","-0.25","22,670,500","62.54","144.61","139.28","133.96","49.46","135.69","135.69","135.69","","-27.11","140.04","1.00","0.91","-14.50","-2,191,796.99","0.01","0.43","54.34","1.81","140.05","0.05","2.90","0.18","82.46","74.45","902,915,000.00","141.24","4.68","134.78","72.06","76.33","72.06","76.33","42.62","25.52","145.68","142.09","138.50","4.25","","","205.37","92.34","","83.15","62.54","50.54","0.12","0.08","0.03","4.86","1.83","1.27","52.57","-52.57","17.50","0.29","60.00","121.77","40.37","41.82","-1.00","149.00","139.00","16,081,793.64","0.30","0.71","1.84","0.91","133.10","129.03","136.76","145.61","130.83","151.54","121.98","160.39","116.05","1.00","136.08","686,886,600.00","120.13","104.25","142.48","135.69","128.91","2.62","139.28","135.69","126.77","135.69","51.76","1.00","140.07","24.95","0.13","1.84","1.55","0.28","135.15","0.19","0.13","138.61","141.24","842,459.34","572,537.87","269,921.47","154.28","140.67","127.06","65.54","140.18","137.46","132.11","130.72","144.09","18.23","145.22","2.90","146.66","139.67","132.69","142.27","141.74","141.05","140.67","140.33","139.87","138.11","137.68","137.30","136.96","136.64","136.03","0.88","0.91","-1.41","1.00","145.22","135.15","4.18","1.28","9,538,980.89","1.35","0.88","2.57","15.53","145.22","137.46","129.69","1.76","-2.25","","","3.75","104.53","46.99","","37.83","0.88","4.58","-0.02","-5.46","-5.47","7.65","144.61","139.28","133.96","80.13","0.61","0.03","5.21","2.75","134.25","150.64","134.34","28.57","85.71","57.14","136.76","137.67","139.08","33.74","15.50","19.80","9,155.23","49.46"
