"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2017-01-02T23:00:00.000Z","116.86","1.57","1.39","20,663,900","43.42","121.16","118.26","115.36","21.48","121.02","121.02","121.02","115.34","-72.96","118.37","0.91","1.03","16.05","-2,502,024.51","0.34","41.46","2.34","118.40","-0.07","2.79","-0.11","0","30.37","159,757,800.00","115.82","173.93","121.28","11.72","10.60","11.72","10.60","-67.49","-41.23","119.43","116.64","113.84","3.28","","","97.20","131.57","","9.17","43.42","40.78","-0.24","-0.12","-0.12","-3.37","1.49","1.22","43.59","-43.59","3.42","-0.33","40.00","9.43","-19.19","-23.08","-1.00","127.00","113.00","9,535,424.79","0.52","-0.77","-1.11","-0.73","93.21","","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.91","122.07","19,716,200.00","122.05","","127.07","121.02","114.96","-1.11","118.26","121.02","120.41","121.02","45.07","-0.91","118.44","22.98","0.11","-1.11","-0.99","-0.13","114.77","-0.38","0.88","121.16","115.82","-105,553.64","25,943.60","-131,497.24","127.45","117.27","107.10","51.19","117.27","118.25","120.90","123.53","134.14","13.07","122.50","2.33","123.35","117.47","111.60","116.41","116.64","117.05","117.27","117.46","117.71","118.90","119.30","119.67","120.01","120.31","120.78","0.77","1.05","-0.62","0","122.50","116.30","0.29","-2.04","-648,803.06","-1.91","-1.97","-0.91","8.20","122.50","118.40","114.30","-1.22","-4.11","","","-2.79","-81.54","49.44","","-31.82","0.89","6.91","0.03","-5.53","-5.53","4.90","121.16","118.26","115.36","25.83","1.22","-0.12","-1.52","2.13","121.63","122.74","110.98","-71.43","21.43","92.86","119.93","118.88","118.26","18.02","26.03","21.61","701.41","21.48"
"2017-01-03T23:00:00.000Z","118.69","1.57","1.38","19,630,900","50.11","121.20","118.32","115.45","23.31","120.75","120.75","120.75","","-49.29","118.28","0.95","1.03","-34.05","-2,065,152.58","0.31","45.78","2.37","118.31","-0.05","2.80","-0.11","4.17","25.13","179,388,700.00","116.21","261.45","121.28","27.12","14.96","27.12","14.96","-38.43","-40.72","119.63","116.77","113.92","3.10","","","111.51","126.45","","14.31","50.11","44.03","-0.24","-0.19","-0.06","-2.86","1.49","0.83","39.68","-39.68","47.33","-0.20","40.00","10.20","-16.16","-21.54","-1.00","127.00","113.00","9,842,840.36","0.52","-1.35","-0.93","0.24","93.21","","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.92","121.78","39,347,100.00","123.96","","126.79","120.75","114.71","0.87","118.32","120.75","120.44","120.75","42.60","-1.62","118.37","23.23","0.12","-0.93","-0.98","0.04","114.77","-0.30","0.63","120.46","116.21","362,467.82","74,018.49","288,449.33","128.09","117.53","106.98","50.25","117.22","118.25","120.90","123.53","134.19","15.51","122.50","2.37","123.06","117.20","111.34","117.55","117.32","117.41","117.53","117.65","117.83","118.89","119.27","119.63","119.96","120.25","120.71","0.77","1.10","-0.77","-1.00","122.50","114.77","1.95","-0.42","4,575,966.37","-1.28","-1.91","-0.41","7.73","122.50","118.63","114.77","0.43","-3.03","","","-3.01","10.63","47.94","","-4.37","2.09","-2.94","-0.01","-5.51","-5.52","4.87","121.20","118.32","115.45","56.34","1.22","-0.13","-1.44","2.18","121.63","125.07","112.31","-71.43","14.29","85.71","119.85","118.74","117.97","22.33","23.64","20.27","962.86","23.31"
"2017-01-04T23:00:00.000Z","120.67","1.67","1.48","19,492,200","56.15","121.51","118.49","115.48","25.66","120.50","120.50","120.50","","-23.67","118.27","0.95","0.99","-24.78","-1,710,403.88","0.29","49.87","2.36","118.29","-0.02","2.63","-0.10","22.84","24.68","198,880,900.00","117.14","245.77","121.28","51.36","30.07","51.36","30.07","3.39","-32.70","120.41","117.52","114.63","3.19","","","116.08","113.90","","37.31","56.15","47.82","-0.16","-0.22","0.05","-1.52","1.40","0.61","57.84","-57.84","60.07","0.20","45.00","11.92","-12.37","-19.84","1.00","127.00","113.00","10,168,010.73","0.53","0.38","-0.62","1.14","93.21","","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.94","121.50","58,839,300.00","126.02","","126.52","120.50","114.47","2.79","118.49","120.50","120.49","120.50","40.93","0.46","118.32","23.53","0.13","-0.62","-0.90","0.28","114.77","-0.17","0.18","119.46","117.14","784,273.42","175,483.48","608,789.94","128.92","118.10","107.29","55.96","117.86","118.25","121.06","123.53","134.05","17.47","122.50","2.63","122.95","117.10","111.24","119.11","118.44","118.14","118.10","118.12","118.19","119.00","119.34","119.68","119.99","120.26","120.71","0.77","1.12","-1.05","0","122.50","114.77","2.82","0.19","9,435,752.99","-0.52","-1.28","0.16","7.73","122.50","118.63","114.77","2.08","-1.76","","","-2.44","82.86","47.64","","14.70","2.93","-6.25","0.02","-5.49","-5.51","5.08","121.51","118.49","115.48","86.14","1.16","-0.09","-1.08","2.21","121.63","127.36","113.98","-71.43","7.14","78.57","119.70","118.58","117.54","24.60","21.63","19.28","1,208.63","25.66"
"2017-01-05T23:00:00.000Z","123.41","2.27","2.08","28,545,300","62.86","122.45","118.77","115.08","29.04","120.32","120.32","120.32","","-5.16","118.40","0.98","0.92","41.74","-690,790.47","0.32","56.16","2.36","118.40","0.04","3.85","-0.08","46.75","29.09","227,426,200.00","118.81","328.83","114.75","73.96","50.81","73.96","50.81","42.05","-19.11","121.97","118.94","115.91","4.02","","","119.11","99.65","","60.13","62.86","53.05","-0.04","-0.18","0.14","0.79","2.11","0.35","65.11","-65.11","60.58","0.47","45.00","15.26","-7.34","-17.80","1.00","127.00","113.00","10,816,177.47","0.54","2.36","-0.15","2.09","95.32","","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.96","114.77","87,384,600.00","126.02","","126.33","120.32","114.30","5.18","118.77","120.32","120.54","120.32","43.18","2.84","118.38","23.80","0.13","-0.15","-0.75","0.60","114.77","0.06","0.01","117.97","118.81","1,360,166.63","344,723.93","1,015,442.70","130.73","119.07","107.41","59.12","119.32","118.94","121.06","123.53","133.85","20.10","122.50","3.85","123.16","117.30","111.43","121.26","120.10","119.31","119.07","118.93","118.84","119.29","119.57","119.86","120.14","120.39","120.80","0.77","1.13","-0.99","0","122.50","114.77","4.99","1.14","19,261,256.68","0.18","-0.52","1.59","7.73","122.50","118.63","114.77","4.21","0.22","","","-1.06","187.27","42.76","","49.30","3.73","2.91","0.02","-5.47","-5.49","6.20","122.45","118.77","115.08","113.08","1.38","-0.06","-0.22","2.33","121.63","131.07","115.75","28.57","100.00","71.43","119.49","118.36","117.36","30.68","19.08","19.57","1,537.46","29.04"
"2017-01-08T23:00:00.000Z","124.90","1.21","1.02","22,880,400","65.91","123.62","119.07","114.51","30.90","120.20","120.20","120.20","","-4.97","118.72","1.10","0.83","-9.65","-335,976.66","0.35","61.13","2.35","118.70","0.06","2.39","-0.05","66.47","36.57","250,306,600.00","120.68","186.84","117.03","88.73","71.35","88.73","71.35","65.50","-3.73","123.94","120.91","117.87","5.20","","","136.71","85.56","","78.91","65.91","58.97","0.08","-0.10","0.17","2.01","1.69","0.22","74.41","-74.41","51.50","0.51","45.00","19.46","-1.61","-15.29","1.00","127.00","113.00","11,092,425.31","0.55","4.20","0.33","2.57","95.32","100.44","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.97","114.95","110,265,000.00","127.55","113.60","126.20","120.20","114.19","6.19","119.07","120.20","120.60","120.20","53.82","5.03","118.66","23.90","0.10","0.33","-0.54","0.87","114.77","0.29","0.21","116.58","120.68","1,759,592.76","546,848.05","1,212,744.72","131.82","120.13","108.44","59.93","120.10","119.72","121.51","123.53","133.44","18.10","123.88","2.39","123.81","117.92","112.02","123.08","121.70","120.55","120.13","119.85","119.60","119.65","119.87","120.10","120.34","120.56","120.93","0.84","1.32","-0.45","0","122.50","114.77","5.68","3.29","21,379,898.17","0.79","0.18","3.71","9.11","123.88","119.32","114.77","5.15","0.95","","","0.87","228.59","37.02","","56.31","3.38","4.34","0.03","-5.44","-5.47","7.64","123.62","119.07","114.51","114.10","1.26","0.02","1.25","2.33","116.38","132.46","117.34","35.71","100.00","64.29","119.36","118.04","117.59","33.18","17.68","20.35","1,724.30","30.90"
"2017-01-09T23:00:00.000Z","124.35","-0.44","-0.63","17,324,600","63.82","124.40","119.30","114.20","29.75","120.09","120.09","120.09","","-10.72","119.10","1.17","0.78","8.84","-497,357.55","0.35","60.61","2.34","119.08","0.02","1.22","-0.02","80.22","45.30","232,982,000.00","122.18","-17.81","118.19","93.05","85.25","93.05","85.25","73.84","10.38","125.34","122.40","119.47","5.94","","","165.96","81.01","","89.45","63.82","51.19","0.17","0.01","0.15","2.00","1.59","0.48","70.93","-70.93","30.90","0.61","40.00","21.98","2.47","-12.63","1.00","127.00","113.00","11,016,135.62","0.55","4.29","0.67","2.34","95.32","100.42","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.97","115.37","92,940,400.00","126.98","113.70","126.09","120.09","114.08","5.19","119.30","120.09","120.65","120.09","61.07","5.11","119.05","23.93","0.07","0.67","-0.30","0.96","114.77","0.47","0.40","115.64","122.18","2,000,100.62","754,455.56","1,245,645.06","132.02","120.90","109.77","57.72","120.13","119.90","120.88","123.53","133.84","18.50","125.43","1.22","124.81","118.86","112.92","123.72","122.58","121.40","120.90","120.54","120.19","119.95","120.11","120.31","120.52","120.71","121.05","0.90","1.34","-0.13","0","122.50","114.77","5.10","3.88","16,964,400.88","1.34","0.79","4.83","10.66","125.43","120.10","114.77","4.37","-0.60","","","2.85","195.36","35.92","","47.46","1.74","-1.73","-0.03","-5.43","-5.45","8.55","124.40","119.30","114.20","99.52","1.24","0.01","2.69","2.25","117.86","131.13","117.57","42.86","100.00","57.14","119.21","117.87","118.00","32.12","17.00","21.09","1,706.49","29.75"
"2017-01-10T23:00:00.000Z","126.09","1.40","1.21","18,356,500","67.34","125.55","119.71","113.88","31.78","119.98","119.98","119.98","","-0.26","119.55","1.15","0.75","34.14","-535,810.87","0.38","67.95","2.31","119.52","0.07","2.06","0.01","94.70","55.18","251,338,500.00","123.96","202.60","118.47","94.68","92.15","94.68","92.15","82.98","23.58","126.81","123.88","120.96","6.93","","","172.40","74.97","","94.73","67.34","57.99","0.22","0.11","0.10","2.42","1.69","1.18","55.78","-55.78","30.89","0.91","45.00","26.81","8.50","-9.44","1.00","127.00","113.00","11,272,993.45","0.56","5.88","1.06","2.92","96.66","100.42","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.98","115.98","111,296,900.00","126.98","113.81","125.98","119.98","113.99","6.21","119.71","119.98","120.70","119.98","67.71","7.00","119.46","23.96","0.11","1.06","-0.02","1.09","114.77","0.66","0.60","114.66","123.96","2,236,796.75","966,218.59","1,270,578.16","132.89","121.84","110.79","65.09","120.44","120.44","120.88","123.53","133.53","18.90","125.50","2.06","126.07","120.07","114.07","124.90","123.75","122.44","121.84","121.39","120.93","120.35","120.45","120.59","120.76","120.92","121.21","0.90","1.08","-0.84","0","122.50","114.77","4.90","2.84","19,103,810.87","1.83","1.34","5.07","10.73","125.50","120.13","114.77","5.39","0.25","","","5.20","180.62","35.26","","65.45","1.69","1.68","0.06","-5.41","-5.43","9.75","125.55","119.71","113.88","104.61","1.19","0.10","3.86","2.24","117.86","132.75","119.43","50.00","100.00","50.00","119.02","117.94","118.79","31.99","15.88","21.99","1,909.09","31.78"
"2017-01-11T23:00:00.000Z","126.62","0.42","0.23","18,653,900","68.35","126.60","120.03","113.46","33.60","119.90","119.90","119.90","","-0.92","120.07","1.18","0.72","73.24","-536,107.80","0.42","71.20","2.29","120.03","0.10","1.93","0.05","100.00","64.14","269,992,400.00","125.67","80.18","119.26","96.03","94.59","96.03","94.59","89.22","35.51","127.97","125.07","122.18","7.79","","","156.60","76.25","","97.36","68.35","63.75","0.25","0.18","0.07","2.64","1.71","0.64","47.99","-47.99","22.95","1.23","45.00","32.60","15.43","-5.57","1.00","127.00","113.00","11,351,403.21","0.56","6.37","1.40","2.97","97.06","100.43","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.98","116.79","129,950,800.00","126.98","113.92","125.89","119.90","113.90","5.96","120.03","119.90","120.76","119.90","73.21","7.58","119.96","24.03","0.10","1.40","0.26","1.14","114.77","0.84","0.76","113.86","125.67","2,453,804.96","1,178,730.93","1,275,074.04","133.62","122.71","111.80","62.56","120.75","120.75","120.88","123.53","133.72","17.04","126.12","1.93","127.53","121.45","115.38","125.76","124.71","123.37","122.71","122.20","121.64","120.75","120.79","120.89","121.01","121.15","121.39","0.92","0.62","-1.72","0","122.50","114.77","4.74","2.81","17,787,078.82","2.30","1.83","5.78","11.35","126.12","120.44","114.77","5.35","-0.13","","","7.34","164.05","34.83","","73.51","0.75","8.60","0.07","-5.41","-5.42","10.94","126.60","120.03","113.46","100.17","1.03","0.13","4.97","2.22","119.25","133.11","120.13","57.14","100.00","42.86","118.78","118.16","119.88","31.97","14.89","23.02","1,989.27","33.60"
"2017-01-12T23:00:00.000Z","128.34","1.36","1.17","24,884,300","71.44","127.94","120.44","112.94","35.32","119.87","119.87","119.87","","-6.41","120.83","1.29","0.65","53.05","-33,218.97","0.47","72.17","2.18","120.79","0.11","2.65","0.09","100.00","71.31","294,876,700.00","127.37","251.37","121.61","97.47","96.06","97.47","96.06","89.89","45.40","128.99","126.06","123.13","8.66","0.73","0.93","184.87","77.78","21,146,071.00","98.68","71.44","68.55","0.30","0.23","0.07","3.16","2.32","0","37.56","-37.56","24.14","1.23","50.00","40.64","24.51","-0.64","-1.00","131.00","127.00","11,689,429.08","0.57","9.32","1.79","3.30","98.38","100.44","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.99","117.78","154,835,100.00","126.98","114.03","125.87","119.87","113.88","6.82","120.44","119.87","120.83","119.87","80.52","10.94","120.70","24.15","0.08","1.79","0.57","1.22","114.77","0.98","0.84","113.58","127.37","2,779,606.10","1,407,427.38","1,372,178.72","134.87","123.73","112.59","63.73","122.39","122.02","120.44","123.53","136.12","15.74","126.73","1.90","129.02","122.88","116.73","127.05","125.92","124.47","123.73","123.14","122.48","121.24","121.21","121.25","121.33","121.43","121.62","0.94","0.02","-2.25","0","122.50","114.77","6.37","4.47","21,360,472.78","2.74","2.30","7.97","11.96","126.73","120.75","114.77","6.10","0.72","","","10.19","178.52","28.21","12.25","92.36","0.76","3.77","0.08","-5.40","-5.41","12.46","127.94","120.44","112.94","102.67","1.33","0.21","6.02","2.25","119.83","135.12","121.56","64.29","100.00","35.71","118.62","118.63","120.88","37.34","13.64","24.70","2,240.64","35.32"
"2017-01-16T23:00:00.000Z","127.87","-0.37","-0.55","15,294,500","69.45","128.97","120.80","112.63","34.85","119.89","119.89","119.89","","-9.66","121.60","1.31","0.63","40.45","-403,837.48","0.50","69.58","2.05","121.56","0.11","0.94","0.13","100.00","77.05","310,171,200.00","128.61","-27.93","121.71","94.34","95.95","94.34","95.95","87.21","53.00","129.47","126.65","123.84","9.08","","","179.42","81.92","","99.34","69.45","60.98","0.37","0.28","0.09","3.39","1.76","0.71","36.83","-36.83","15.28","1.07","45.00","49.58","34.56","5.33","-1.00","131.00","127.00","11,633,419.13","0.57","9.04","2.03","2.98","98.38","100.45","117.18","120.37","111.87","125.68","108.68","128.87","103.37","0.99","119.16","139,540,600.00","126.52","114.12","125.88","119.89","113.89","5.44","120.80","119.89","120.89","119.89","78.79","10.60","121.48","24.18","0.06","2.03","0.86","1.17","114.77","1.06","0.89","113.77","128.61","2,209,172.22","1,521,962.36","687,209.86","134.98","124.48","113.99","62.31","123.28","122.02","120.40","123.53","135.36","13.44","129.27","0.94","130.37","124.16","117.96","127.46","126.57","125.23","124.48","123.87","123.15","121.67","121.58","121.57","121.62","121.68","121.82","1.01","0.73","-2.39","0","122.50","114.77","4.73","3.79","17,282,074.24","2.97","2.74","8.62","14.50","129.27","122.02","114.77","5.05","-0.37","","","12.57","139.22","27.81","","84.37","-0.58","-1.65","0.10","-5.42","-5.41","13.53","128.97","120.80","112.63","93.24","1.36","0.18","6.53","2.15","121.49","133.86","121.88","64.29","92.86","28.57","118.60","119.33","121.72","36.18","13.21","26.25","2,212.71","34.85"
