"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","338.54","0.65","0.96","14,537,900","52.59","349.21","334.47","319.72","10.04","332.12","332.12","332.12","333.94","-46.95","337.27","1.00","0.95","-36.65","-2,449,977.99","0.01","0.36","47.38","2.23","337.22","-0.09","4.73","0.10","98.27","94.69","101,839,800.00","341.68","50.84","319.19","57.06","63.93","57.06","63.93","20.76","29.88","353.64","341.68","329.72","11.87","","","113.47","118.36","","100.00","52.59","50.12","0.07","0.16","-0.09","1.73","0.73","1.15","30.06","-30.06","-14.16","-0.17","55.00","7.34","23.65","10.11","-1.00","347.00","337.00","4,270,711.47","0.71","1.21","2.60","0.13","101.09","","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.93","352.38","51,194,200.00","123.59","","348.73","332.12","315.52","1.16","334.47","332.12","335.75","332.12","53.96","4.05","337.11","24.86","0.27","2.60","1.80","0.80","322.53","0.65","0.20","332.52","341.68","662,444.33","337,282.36","325,161.96","382.32","338.54","294.76","69.02","338.23","326.10","336.39","343.35","232.00","29.24","352.71","3.89","357.15","340.14","323.13","339.27","339.69","339.14","338.54","337.92","337.10","335.07","334.97","335.04","335.22","335.46","335.99","1.29","1.37","-6.08","0","352.71","322.53","3.45","-0.44","5,197,739.15","0.96","1.15","36.62","53.21","352.71","326.10","299.50","0.33","2.70","6.83","52.28","54.34","","30.32","-0.93","-7.16","0","-5.47","-5.46","8.82","349.21","334.47","319.72","63.82","1.24","0.04","9.49","9.14","316.07","361.30","315.78","35.71","71.43","35.71","330.96","332.34","338.42","26.18","21.86","13.77","9,815.61","10.04"
"2022-01-03T23:00:00.000Z","336.53","-0.59","-0.29","15,998,000","50.98","348.03","335.40","322.77","3.48","332.36","332.36","332.36","","-53.61","337.58","0.98","0.90","-21.81","-2,268,209.80","0.03","0.36","43.11","2.28","337.56","-0.09","11.22","0.10","95.56","94.87","85,841,800.00","340.93","-216.42","319.19","48.41","55.79","48.41","55.79","10.50","26.36","351.88","339.74","327.61","11.71","","","123.17","116.47","","100.00","50.98","47.47","0.04","0.10","-0.06","1.56","1.25","1.95","36.08","-36.08","-26.06","-0.18","50.00","8.51","26.53","14.09","-1.00","347.00","331.00","4,175,726.73","0.70","0.84","2.30","-0.13","100.49","","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.92","352.06","35,196,200.00","123.59","","348.98","332.36","315.74","-0.99","335.40","332.36","335.96","332.36","54.86","2.79","337.52","24.87","0.70","2.30","1.90","0.40","322.53","0.51","0.12","333.83","340.93","270,555.64","327,749.97","-57,194.33","383.18","338.17","293.17","61.97","340.49","326.10","336.92","342.83","228.07","26.07","352.71","11.22","358.10","341.05","324.00","337.90","338.64","338.56","338.17","337.71","337.03","335.17","335.06","335.11","335.27","335.50","336.01","1.29","3.42","-5.37","0","352.71","322.53","5.61","-5.61","-138,528.76","0.66","0.96","38.63","46.37","352.71","329.52","306.34","-0.33","1.71","5.65","23.16","55.28","","6.40","-1.31","-3.54","-0.05","-5.49","-5.47","7.53","348.03","335.40","322.77","54.48","1.09","-0.03","7.51","9.29","316.07","361.47","311.59","35.71","64.29","28.57","331.00","334.41","339.78","23.92","24.07","12.81","9,599.19","3.48"
"2022-01-04T23:00:00.000Z","324.17","-3.67","-3.37","20,564,500","42.38","347.84","335.47","323.09","-8.88","332.27","332.27","332.27","","-94.57","336.84","0.94","1.00","-16.68","-1,735,671.07","0.01","0.34","28.53","2.85","336.99","-0.13","12.69","0.09","66.17","89.13","65,277,300.00","338.04","-1,701.00","319.19","34.96","46.81","34.96","46.81","-18.70","18.17","348.42","335.99","323.56","13.34","","","101.87","127.02","","50.00","42.38","44.20","0","0.06","-0.06","0.17","0.46","1.72","56.32","-56.32","-63.47","-1.92","45.00","4.03","23.81","17.33","-1.00","337.00","317.00","3,420,439.18","0.69","-5.12","1.05","-1.32","96.80","","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.91","351.25","14,631,700.00","123.59","","348.88","332.27","315.66","-12.55","335.47","332.27","336.13","332.27","45.90","-17.49","337.29","24.87","0.58","1.05","1.73","-0.68","322.53","0.26","0.02","334.46","338.04","-184,148.87","254,621.57","-438,770.44","382.48","335.63","288.77","54.88","338.27","326.10","336.92","340.83","219.55","29.32","352.71","11.92","357.67","340.64","323.60","331.04","333.82","335.36","335.63","335.63","335.42","334.46","334.45","334.58","334.79","335.06","335.62","1.29","4.71","-3.98","0","352.71","322.53","0.18","-11.74","-36,429,727.34","0.12","0.66","-0.36","31.71","352.71","336.85","321.00","-3.63","-8.64","3.25","-102.30","53.66","","-13.94","-4.28","-2.58","-0.08","-5.52","-5.49","7.38","347.84","335.47","323.09","4.35","1.31","-0.12","4.75","9.53","316.07","351.74","296.60","35.71","57.14","21.43","331.11","335.82","339.80","21.65","27.79","12.78","7,898.19","-8.88"
"2022-01-05T23:00:00.000Z","332.46","2.56","2.86","27,962,800","48.64","347.81","335.56","323.31","0.86","332.60","332.60","332.60","","-67.10","336.46","0.86","0.99","23.54","-708,482.37","0.02","0.34","36.28","2.99","336.54","-0.11","16.45","0.08","47.44","80.79","93,240,100.00","336.82","875.89","319.19","28.24","37.20","28.24","37.20","-30.17","9.38","346.63","333.61","320.59","13.48","","","129.21","113.93","","25.00","48.64","47.95","-0.04","0.02","-0.06","0.05","1.21","1.40","59.28","-59.28","-13.39","-1.63","45.00","-0.04","21.35","19.74","1.00","347.00","317.00","4,135,529.99","0.71","-0.73","0.72","-0.37","99.27","","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.93","349.61","42,594,500.00","123.59","","349.23","332.60","315.97","-4.84","335.56","332.60","336.38","332.60","46.94","-2.44","336.71","24.82","0.59","0.72","1.53","-0.81","322.53","0.09","0","335.50","336.82","442,687.73","281,488.16","161,199.57","385.44","335.05","284.66","56.97","337.71","326.10","334.80","339.76","217.70","31.80","352.71","16.45","356.51","339.54","322.56","331.75","333.36","334.72","335.05","335.14","335.05","334.33","334.34","334.47","334.69","334.96","335.52","1.29","4.97","-2.67","0","352.71","322.53","4.04","-12.41","1,890,376.22","-0.40","0.12","-16.03","30.18","352.71","337.62","322.53","-1.11","1.32","1.97","-58.37","55.36","","-5.73","-1.31","-0.40","-0.10","-5.54","-5.51","7.30","347.81","335.56","323.31","37.34","1.27","-0.05","2.27","10.03","316.07","364.38","300.54","35.71","50.00","14.29","332.02","337.00","339.66","21.54","24.54","12.34","8,774.08","0.86"
"2022-01-06T23:00:00.000Z","331.79","-0.20","0.11","14,722,000","48.18","347.76","335.66","323.57","-4.35","332.99","332.99","332.99","","-69.32","336.35","0.93","0.95","-63.21","-951,877.18","0.01","0.35","37.35","3.13","336.45","-0.12","8.12","0.07","28.46","70.33","78,518,100.00","335.34","54.54","319.19","23.01","28.74","23.01","28.74","-35.37","1.24","345.56","332.70","319.84","13.62","","","141.23","99.53","","12.50","48.18","44.61","-0.06","-0.02","-0.05","-0.08","0.87","0.92","42.68","-42.68","-9.02","-1.70","45.00","-3.51","19.00","20.90","1.00","347.00","317.00","4,105,861.79","0.71","-0.60","0.40","-0.43","99.27","109.10","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.93","347.46","27,872,500.00","123.34","109.17","349.64","332.99","316.34","-5.31","335.66","332.99","336.65","332.99","58.57","-2.00","336.64","24.80","0.55","0.40","1.30","-0.90","322.53","-0.11","0","336.90","335.34","727,962.46","345,270.20","382,692.26","383.87","334.46","285.05","56.23","337.71","326.10","331.51","334.57","221.00","30.95","352.71","8.12","354.71","337.82","320.93","331.77","332.84","334.07","334.46","334.62","334.64","334.16","334.20","334.34","334.56","334.83","335.40","1.29","4.03","-1.87","0","352.71","322.53","2.35","-5.77","211,252.71","-0.77","-0.40","-2.30","30.18","352.71","337.62","322.53","-1.27","2.63","1.05","-44.58","55.87","","-37.60","-1.07","6.52","-0.08","-5.55","-5.53","7.21","347.76","335.66","323.57","34.00","1.29","-0.07","1.06","9.89","316.07","362.20","301.38","35.71","42.86","7.14","333.33","337.35","339.23","20.28","23.10","11.92","8,828.62","-4.35"
"2022-01-09T23:00:00.000Z","328.07","-1.12","-0.81","24,942,400","45.63","347.86","335.58","323.30","-8.07","333.22","333.22","333.22","","-66.09","336.29","0.89","0.97","39.33","-316,420.95","0.01","0.37","44.82","3.19","336.30","-0.08","16.36","0.06","3.53","56.97","53,575,700.00","331.77","-283.53","319.19","32.50","27.92","32.50","27.92","-35.65","-5.46","344.02","330.60","317.19","13.09","","","118.71","89.42","","6.25","45.63","41.50","-0.08","-0.05","-0.03","-0.39","0.32","2.66","30.29","-30.29","-18.67","-0.86","45.00","-10.23","13.50","20.88","1.00","331.00","313.00","3,826,209.73","0.70","0.81","-0.15","-0.76","98.16","109.10","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.93","345.48","2,930,100.00","123.34","109.26","349.88","333.22","316.56","-8.83","335.58","333.22","336.87","333.22","56.90","2.62","336.33","24.78","0.52","-0.15","1.01","-1.16","322.53","-0.69","0.18","341.42","331.77","135,892.53","315,359.11","-179,466.58","385.95","333.30","280.65","59.37","332.56","326.10","330.51","333.62","216.54","25.69","352.71","12.91","352.51","335.72","318.94","329.92","331.25","332.74","333.30","333.62","333.82","333.77","333.86","334.04","334.28","334.57","335.16","1.29","3.30","-0.23","0","352.71","322.53","-5.37","-18.28","-13,074,034.60","-1.20","-0.77","-20.49","30.18","352.71","337.62","322.53","-2.43","1.28","0.13","-150.27","49.30","","-43.27","-1.13","6.05","-0.01","-5.55","-5.55","7.32","347.86","335.58","323.30","19.43","1.35","-0.02","-1.68","10.35","316.07","362.21","293.93","-64.29","35.71","100.00","334.27","337.58","337.34","17.99","29.77","12.83","8,545.09","-8.07"
"2022-01-10T23:00:00.000Z","334.37","1.92","2.23","16,226,800","50.42","347.85","335.57","323.29","1.02","333.43","333.43","333.43","","-49.20","336.30","0.95","0.96","0.68","-510,211.99","0.02","0.40","51.68","3.27","336.31","-0.04","9.35","0.05","3.41","46.26","69,802,500.00","330.99","704.68","319.19","38.46","31.32","38.46","31.32","-23.62","-8.77","343.51","330.17","316.84","13.08","","","130.77","83.28","","3.12","50.42","45.08","-0.07","-0.07","-0.01","-0.25","1.17","0.89","17.72","-17.72","14.88","0.04","45.00","-13.14","11.77","20.15","1.00","337.00","317.00","4,137,815.91","0.71","0.05","-0.08","-0.18","98.16","109.10","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.94","342.47","19,156,900.00","125.71","109.35","350.11","333.43","316.76","-2.46","335.57","333.43","337.09","333.43","56.92","0.17","336.33","24.71","0.58","-0.08","0.79","-0.87","315.43","-0.81","0.25","342.34","330.99","479,512.02","338,809.52","140,702.50","385.55","333.49","281.43","61.15","331.33","329.52","326.66","327.32","207.71","28.17","352.71","9.35","350.49","333.80","317.11","332.14","332.29","333.10","333.49","333.73","333.89","333.81","333.89","334.05","334.29","334.56","335.13","1.37","2.45","-1.50","0","352.71","322.53","0.82","-8.53","3,397,776.33","-1.23","-1.20","-7.14","37.28","352.71","334.07","315.43","-0.56","9.71","-0.89","-48.68","48.49","","-19.06","1.01","2.16","0.04","-5.54","-5.55","7.32","347.85","335.57","323.29","45.11","1.52","0","-2.68","10.28","316.07","367.30","301.44","-64.29","28.57","92.86","335.12","337.56","336.06","21.19","27.84","12.88","9,249.77","1.02"
"2022-01-11T23:00:00.000Z","333.26","-0.33","-0.03","14,104,900","49.59","347.84","335.55","323.25","-2.09","333.50","333.50","333.50","","-52.17","336.46","0.95","0.94","-15.86","-825,496.56","0.02","0.39","52.06","3.30","336.46","-0.04","6.34","0.04","0","37.01","55,697,600.00","329.39","-9.09","319.19","44.18","38.38","44.18","38.38","-12.05","-9.36","344.99","331.99","318.99","12.80","","","115.98","89.49","","1.56","49.59","42.57","-0.07","-0.07","0","-0.22","1.19","0.70","16.04","-16.04","8.60","0.64","45.00","-16.98","9.23","18.92","1.00","337.00","317.00","4,090,992.83","0.71","0.85","-0.11","-0.32","98.16","109.11","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.93","339.77","5,052,000.00","125.29","109.44","350.17","333.50","316.82","-2.49","335.55","333.50","337.31","333.50","63.59","2.81","336.46","24.68","0.45","-0.11","0.61","-0.72","315.43","-1.09","0.47","344.62","329.39","745,477.37","396,904.93","348,572.44","383.48","333.45","283.42","57.34","329.43","334.07","323.65","327.32","206.16","27.99","352.71","6.34","349.14","332.51","315.89","332.70","332.61","333.13","333.45","333.66","333.81","333.77","333.85","334.01","334.24","334.51","335.07","1.37","1.11","-1.16","-1.00","352.71","315.43","2.64","-3.70","675,775.09","-1.02","-1.23","-0.74","37.28","352.71","334.07","315.43","-0.95","11.20","-1.53","-26.73","48.52","","-24.85","1.16","-2.20","0.01","-5.53","-5.54","7.33","347.84","335.55","323.25","40.70","1.55","0.01","-1.87","10.00","316.07","363.40","303.12","-64.29","21.43","85.71","335.48","336.59","335.44","21.47","26.58","12.72","9,240.68","-2.09"
"2022-01-12T23:00:00.000Z","326.48","-2.03","-1.73","14,797,100","44.75","347.35","334.79","322.22","-11.24","333.47","333.47","333.47","","-70.36","336.09","0.92","0.96","5.79","-1,007,888.79","0.03","0.33","48.05","3.60","336.17","-0.07","9.87","0.03","0","29.60","40,900,500.00","326.65","-834.06","319.19","42.76","41.80","42.76","41.80","-11.06","-9.67","343.78","330.79","317.81","13.80","","","100.55","94.63","","0.78","44.75","40.54","-0.05","-0.07","0.01","-0.49","1.09","1.67","16.08","-16.08","-32.83","-0.46","40.00","-22.64","4.72","17.06","-1.00","337.00","317.00","3,789,953.65","0.70","-2.61","-0.68","-0.94","96.16","109.12","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.93","337.33","-9,745,100.00","125.29","109.54","350.14","333.47","316.79","-7.63","334.79","333.47","337.47","333.47","57.43","-8.76","336.33","24.68","0.67","-0.68","0.35","-1.03","315.43","-1.41","0.68","346.44","326.65","366,438.77","392,552.62","-26,113.85","382.14","332.18","282.22","47.39","329.26","334.07","323.65","327.32","202.08","28.89","352.71","9.87","348.23","331.64","315.06","329.59","330.57","331.66","332.18","332.55","332.89","333.30","333.44","333.65","333.90","334.19","334.79","1.37","0.13","-3.16","0","352.71","315.43","2.94","-6.93","-13,752,809.92","-0.78","-1.02","-17.47","37.28","352.71","334.07","315.43","-2.79","6.53","-2.83","-69.85","48.96","","-22.73","-0.05","1.32","-0.09","-5.52","-5.53","7.51","347.35","334.79","322.22","16.94","1.54","-0.09","-1.73","9.99","316.07","356.52","296.44","-64.29","14.29","78.57","335.76","335.89","332.73","19.96","27.75","12.98","8,406.62","-11.24"
"2022-01-13T23:00:00.000Z","331.90","1.66","1.97","16,868,500","49.03","347.27","334.64","322.01","-0.55","333.47","333.47","333.47","","-55.82","335.01","0.84","1.07","-5.21","-974,062.89","0.02","0.28","56.13","3.77","335.07","-0.03","11.52","0.01","0","23.68","57,769,000.00","327.11","382.46","319.19","40.55","42.50","40.55","42.50","-3.92","-8.63","343.93","330.82","317.70","12.65","0.88","1.04","93.22","91.19","24,113,812.00","0.39","49.03","43.31","-0.03","-0.06","0.02","-0.46","0.83","1.46","17.11","-17.11","7.30","1.24","45.00","-25.85","2.40","14.70","1.00","337.00","317.00","4,069,992.18","0.71","-4.13","-0.68","-0.29","97.76","109.14","329.52","359.54","306.33","382.73","276.31","412.75","253.12","0.94","336.37","7,123,400.00","125.29","109.64","350.15","333.47","316.80","-1.29","334.64","333.47","337.64","333.47","49.95","-14.28","335.19","24.74","0.68","-0.68","0.15","-0.83","315.43","-1.19","0.57","343.71","327.11","-23,311.91","333,143.40","-356,455.32","382.85","332.13","281.41","55.08","329.26","334.07","323.38","327.32","198.45","28.82","352.71","11.52","347.74","331.18","314.62","330.75","331.01","331.71","332.13","332.45","332.77","333.21","333.36","333.56","333.82","334.10","334.69","1.37","0.38","-3.35","1.00","336.37","315.43","0.15","-11.37","1,272,874.60","-0.71","-0.78","-76.90","37.28","352.71","334.07","315.43","-0.87","14.65","-3.92","-71.96","48.65","-8.76","-14.23","1.44","2.57","0","-5.51","-5.52","7.55","347.27","334.64","322.01","39.16","1.51","-0.08","-2.69","10.10","316.07","362.84","300.96","-64.29","7.14","71.43","335.89","335.52","332.17","18.33","28.71","13.63","8,789.09","-0.55"
