"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2024-01-01T23:00:00.000Z","346.29","-2.17","-2.40","19,042,200","55.42","367.08","340.02","312.96","191.61","328.94","328.94","328.94","386.12","-41.80","347.01","1.15","0.74","-26.20","-791,573.55","0","0.42","47.93","1.29","346.97","0.05","13.95","0.31","99.07","92.61","879,697,200.00","358.86","-1,077.98","340.32","76.90","87.01","76.90","87.01","52.04","64.41","364.43","354.25","344.06","17.88","","","92.32","83.57","","97.35","55.42","58.82","0.16","0.25","-0.08","7.48","1.19","2.52","45.88","-45.88","-61.08","-1.29","55.00","225.65","73.19","54.67","-1.00","359.00","337.00","67,431,973.33","0.73","6.46","7.42","-0.11","237.44","","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.04","361.90","691,281,100.00","116.92","","345.39","328.94","312.50","-2.96","340.02","328.94","286.89","328.94","77.12","21.01","346.89","25.10","0.69","7.42","6.87","0.55","320.00","1.80","0.66","333.63","358.86","471,841.19","849,549.72","-377,708.54","388.64","349.80","310.97","67.78","350.96","337.78","321.18","311.16","470.00","21.86","361.90","13.15","371.39","353.70","336.02","350.88","351.88","350.96","349.80","348.56","346.75","339.43","337.45","335.62","333.90","332.26","329.13","1.42","9.57","-8.98","1.00","361.90","313.66","5.21","-7.94","-8,078,142.14","2.22","3.53","51.05","48.24","361.90","337.78","313.66","-0.25","-10.77","","","15.98","35.81","39.22","","5.70","-3.63","1.27","0.13","-5.49","-5.46","15.92","367.08","340.02","312.96","61.58","1.21","0.11","17.70","7.82","335.46","370.04","322.54","85.71","85.71","0","330.02","339.59","348.57","26.09","25.66","23.57","33,081.94","191.61"
"2024-01-02T23:00:00.000Z","344.47","-0.53","-0.76","15,451,100","53.53","366.75","341.24","315.74","188.13","329.66","329.66","329.66","","-52.41","347.95","1.15","0.83","-16.42","-747,785.91","0","0.43","43.09","1.55","347.98","0.03","4.77","0.31","94.36","92.96","864,246,100.00","356.32","-171.95","340.32","62.28","76.36","62.28","76.36","23.43","56.96","362.10","352.17","342.25","16.49","","","95.13","83.57","","80.95","53.53","56.20","0.07","0.19","-0.12","6.63","0.83","1.24","75.45","-75.45","-60.47","-1.43","55.00","223.86","72.62","59.32","1.00","349.00","337.00","67,350,766.50","0.73","3.07","6.54","-0.46","237.44","","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.04","361.46","675,830,000.00","116.30","","346.14","329.66","313.18","-5.73","341.24","329.66","287.63","329.66","70.22","10.25","348.03","25.22","0.31","6.54","6.81","-0.26","324.56","1.30","0.40","338.13","356.32","31,115.59","732,630.56","-701,514.97","386.17","348.83","311.50","66.07","350.96","337.78","322.74","311.16","468.11","17.54","361.90","4.77","371.71","354.01","336.31","347.67","349.41","349.52","348.83","347.93","346.46","339.75","337.84","336.05","334.36","332.74","329.64","1.37","9.88","-9.28","0","361.90","313.66","0.50","-4.27","-10,941,424.00","1.06","2.22","31.30","48.24","361.90","337.78","313.66","-0.98","-13.60","","","14.17","23.80","41.71","","-23.22","-3.44","-1.92","0.06","-5.51","-5.48","14.95","366.75","341.24","315.74","56.33","1.12","0.04","15.28","7.60","335.46","366.33","322.61","78.57","78.57","0","331.66","341.54","350.83","24.92","24.51","21.94","32,910.00","188.13"
"2024-01-03T23:00:00.000Z","347.12","0.77","0.54","12,099,900","55.89","366.00","342.68","319.37","191.85","330.32","330.32","330.32","","-44.44","348.76","1.07","0.86","-26.01","-972,289.77","0","0.43","46.33","1.73","348.76","0.05","4.75","0.30","90.20","92.41","876,346,000.00","354.25","289.15","340.32","53.78","64.32","53.78","64.32","2.45","47.05","359.71","350.03","340.36","14.82","","","100.15","77.25","","40.48","55.89","58.31","-0.02","0.12","-0.13","6.26","1.04","1.19","71.12","-71.12","-27.69","-1.24","60.00","221.22","71.20","63.06","1.00","349.00","337.00","67,443,850.54","0.74","3.70","5.99","-0.23","237.44","","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.05","361.03","687,929,900.00","117.20","","346.84","330.32","313.81","-4.09","342.68","330.32","288.38","330.32","69.72","12.38","348.77","25.26","0.39","5.99","6.64","-0.65","328.64","0.85","0.21","342.42","354.25","220,730.15","659,501.93","-438,771.78","384.50","348.52","312.55","67.90","350.96","337.78","322.91","311.16","468.90","15.85","361.90","4.75","371.30","353.62","335.93","347.40","348.65","348.98","348.52","347.81","346.55","340.23","338.36","336.59","334.92","333.31","330.21","1.33","10.21","-8.35","-1.00","361.90","340.01","0.75","-4.00","-4,797,697.55","0.16","1.06","16.90","46.51","361.90","338.65","315.39","-0.47","-11.92","","","12.12","24.07","41.34","","-8.02","-2.06","-6.05","0.09","-5.52","-5.50","13.61","366.00","342.68","319.37","59.51","1.06","0.07","12.71","7.40","335.46","367.46","326.78","64.29","71.43","7.14","333.29","343.50","351.84","23.97","23.38","20.46","33,199.15","191.85"
"2024-01-04T23:00:00.000Z","351.95","1.39","1.16","13,920,700","59.88","364.94","344.41","323.88","197.54","331.11","331.11","331.11","","-32.43","350.08","1.14","0.77","-29.00","-991,853.89","0","0.43","49.98","1.74","350.08","0.07","7.24","0.29","87.23","91.37","890,266,700.00","352.85","643.66","340.32","56.91","57.66","56.91","57.66","-2.07","38.12","358.41","348.76","339.10","12.08","","","102.38","78.24","","20.24","59.88","60.33","-0.08","0.03","-0.11","6.30","2.13","0.98","56.96","-56.96","15.04","-0.35","65.00","219.94","70.66","66.10","1.00","359.00","337.00","67,637,550.76","0.75","5.64","5.88","0.26","240.75","","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.06","360.61","701,850,600.00","117.20","","347.67","331.11","314.55","0.13","344.41","331.11","289.13","331.11","77.55","18.78","350.07","25.22","0.52","5.88","6.49","-0.61","328.64","0.42","0.08","346.94","352.85","431,691.28","626,957.55","-195,266.27","385.14","349.15","313.15","74.17","350.96","337.78","322.91","311.16","460.12","17.26","361.90","7.24","370.40","352.76","335.12","349.67","349.75","349.64","349.15","348.45","347.22","340.99","339.11","337.34","335.66","334.04","330.92","1.33","10.64","-5.25","0","361.90","340.01","5.45","-1.79","5,493,004.80","-0.30","0.16","40.62","44.86","361.90","339.47","317.04","0.53","-8.39","","","10.57","46.15","44.83","","-7.94","-0.25","0.21","0.14","-5.52","-5.52","11.92","364.94","344.41","323.88","68.36","1.09","0.12","10.25","7.39","335.46","372.56","331.34","64.29","64.29","0","334.90","345.54","350.79","27.46","21.75","19.83","33,842.81","197.54"
"2024-01-07T23:00:00.000Z","358.66","1.91","1.67","13,890,200","64.67","365.72","346.01","326.30","204.25","332.29","332.29","332.29","","-13.02","351.67","1.17","0.76","-53.70","-998,311.76","0","0.41","53.93","1.71","351.62","0.10","7.03","0.29","84.10","89.92","904,156,900.00","352.88","849.24","340.32","70.04","60.24","70.04","60.24","13.76","33.69","359.32","349.70","340.08","9.46","","","119.12","68.19","","10.12","64.67","62.46","-0.08","-0.03","-0.05","6.81","1.84","0.56","55.07","-55.07","59.32","0.17","65.00","220.30","71.19","68.69","1.00","359.00","349.00","67,902,369.97","0.76","7.09","6.26","0.97","240.75","","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.07","360.20","715,740,800.00","119.43","","348.91","332.29","315.68","6.14","346.01","332.29","289.92","332.29","75.96","23.74","351.54","25.09","0.50","6.26","6.44","-0.19","331.22","0.17","0.02","350.55","352.88","621,959.13","626,243.49","-4,284.37","386.79","350.88","314.96","72.35","350.96","337.78","322.91","311.16","473.28","18.38","361.90","6.93","369.35","351.76","334.17","354.17","352.72","351.65","350.88","350.02","348.65","342.13","340.20","338.38","336.66","335.00","331.83","1.30","10.38","-2.91","0","361.90","340.01","9.41","2.48","18,023,021.73","-0.27","-0.30","54.91","44.13","361.90","339.83","317.77","1.95","-3.48","","","9.87","83.54","52.61","","15.98","1.61","0.71","0.15","-5.51","-5.52","11.39","365.72","346.01","326.30","82.09","0.97","0.14","9.44","7.36","335.46","379.37","337.95","57.14","57.14","0","336.46","346.84","349.75","30.91","20.26","19.90","34,692.05","204.25"
"2024-01-08T23:00:00.000Z","357.43","-0.34","-0.58","13,463,900","63.18","366.56","347.25","327.93","201.04","333.67","333.67","333.67","","-20.42","352.69","1.18","0.84","-29.11","-1,026,001.42","0","0.43","53.66","1.71","352.68","0.09","5.28","0.29","78.65","87.66","890,693,000.00","353.30","14.47","340.32","78.04","68.33","78.04","68.33","28.94","32.83","361.36","351.93","342.49","8.98","","","129.54","67.01","","5.61","63.18","58.92","-0.04","-0.06","0.02","7.01","1.57","0.51","69.20","-69.20","40.94","0.08","60.00","220.22","70.60","70.42","-1.00","367.00","353.00","67,856,196.03","0.75","3.72","6.39","0.69","240.75","220.67","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.06","340.01","702,276,900.00","119.02","96.22","350.36","333.67","316.99","4.23","347.25","333.67","290.69","333.67","75.38","12.81","352.66","24.98","0.39","6.39","6.43","-0.05","337.02","0.09","0.01","352.03","353.30","784,543.24","648,857.74","135,685.50","387.03","352.07","317.10","68.40","350.96","337.78","321.91","311.16","484.03","18.46","361.90","5.28","368.70","351.14","333.58","355.80","354.29","352.93","352.07","351.16","349.75","343.11","341.16","339.31","337.56","335.88","332.67","1.22","8.75","-2.15","0","361.90","340.01","9.95","4.67","13,082,483.64","0.03","-0.27","32.73","41.90","361.90","340.95","320.00","1.34","-6.69","","","8.45","87.12","54.56","","7.94","1.16","-6.00","0.10","-5.50","-5.51","11.13","366.56","347.25","327.93","76.36","0.96","0.10","10.97","7.21","335.85","377.16","337.70","50.00","50.00","0","338.05","346.81","348.95","30.93","19.20","20.15","34,706.53","201.04"
"2024-01-09T23:00:00.000Z","370.47","3.65","3.41","22,117,200","70.84","368.59","349.51","330.42","214.08","335.15","335.15","335.15","","-7.50","354.00","1.11","0.77","24.75","-345,711.54","0.18","0.50","62.06","1.71","353.95","0.13","15.51","0.29","83.45","86.82","912,810,200.00","357.53","1,914.81","341.96","86.35","78.14","86.35","78.14","50.85","36.10","367.28","357.13","346.97","12.68","","","165.53","63.23","","28.28","70.84","62.22","0.03","-0.05","0.08","8.52","3.33","0.30","58.03","-58.03","61.34","1.54","65.00","222.66","72.13","71.56","1.00","373.00","359.00","68,663,091.04","0.78","5.74","7.45","2.05","249.53","221.25","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.09","340.42","724,394,100.00","119.02","96.29","351.91","335.15","318.39","15.91","349.51","335.15","291.51","335.15","76.04","20.11","353.85","25.07","0.63","7.45","6.64","0.82","340.01","0.52","0.11","350.25","357.53","1,116,188.81","715,619.32","400,569.48","394.63","355.41","316.19","77.52","356.48","343.30","321.50","311.16","473.32","24.83","361.90","13.86","369.20","351.62","334.04","363.13","359.68","356.83","355.41","354.13","352.34","344.88","342.78","340.83","338.99","337.24","333.91","1.17","6.92","-2.49","0","361.90","340.01","19.42","5.56","52,414,768.40","0.49","0.03","44.43","41.90","361.90","340.95","320.00","4.61","3.57","","","8.35","157.12","41.67","","29.53","3.49","0.13","0.14","-5.48","-5.50","10.92","368.59","349.51","330.42","104.93","1.12","0.12","14.24","7.81","335.85","395.56","345.38","42.86","100.00","57.14","339.73","346.65","349.14","37.80","16.48","21.52","36,621.34","214.08"
"2024-01-10T23:00:00.000Z","369.67","-0.22","-0.45","17,205,400","69.88","370.93","351.28","331.63","210.97","336.49","336.49","336.49","","-9.93","355.32","1.12","0.79","5.10","-200,605.65","0","0.51","66.64","1.71","355.22","0.14","9.85","0.31","89.67","87.39","895,604,800.00","360.83","33.07","343.02","87.38","83.93","87.38","83.93","64.06","41.19","371.97","361.64","351.31","14.64","","","183.24","64.94","","52.07","69.88","56.48","0.09","0","0.09","8.99","1.65","0.65","77.40","-77.40","42.38","1.86","60.00","222.40","71.38","71.81","1.00","373.00","359.00","68,625,937.94","0.78","5.84","8.14","1.71","249.53","221.84","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.09","341.72","707,188,700.00","118.76","96.35","353.31","336.49","319.66","13.75","351.28","336.49","292.35","336.49","76.23","20.39","355.02","25.19","0.57","8.14","6.94","1.20","340.01","0.80","0.20","349.58","360.83","1,310,184.75","800,557.24","509,627.51","398.23","358.01","317.78","70.67","356.48","344.17","323.12","311.16","471.75","24.90","372.94","9.85","370.86","353.20","335.54","366.40","363.01","359.68","358.01","356.52","354.51","346.48","344.28","342.24","340.32","338.51","335.08","1.32","5.57","-3.87","0","361.90","340.01","16.96","7.11","42,960,642.92","0.98","0.49","45.67","48.38","372.94","348.75","324.56","3.96","-0.54","","","8.29","155.40","42.69","","26.33","2.39","8.91","0.11","-5.45","-5.48","11.19","370.93","351.28","331.63","96.80","1.08","0.09","17.77","7.95","346.85","395.66","343.68","42.86","92.86","50.00","340.97","346.54","350.41","34.46","15.02","22.79","36,654.41","210.97"
"2024-01-11T23:00:00.000Z","374.49","1.30","1.07","19,295,700","72.32","373.84","353.27","332.69","215.92","337.95","337.95","337.95","","-6.94","356.78","1.17","0.77","26.20","82,114.98","0","0.54","68.29","1.71","356.68","0.15","7.52","0.32","97.39","89.39","914,900,500.00","365.47","578.66","348.79","91.88","88.54","91.88","88.54","73.43","47.05","376.44","366.14","355.85","17.53","1.05","1.22","204.53","62.99","26,919,460.00","70.20","72.32","61.10","0.13","0.06","0.08","9.52","1.66","0.33","63.93","-63.93","38.99","3.03","60.00","223.57","72.04","71.67","1.00","379.00","367.00","68,877,526.71","0.79","5.76","8.97","2.14","252.78","222.43","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.10","342.97","726,484,400.00","118.76","96.42","354.85","337.95","321.06","16.93","353.27","337.95","293.21","337.95","76.81","20.40","356.49","25.31","0.39","8.97","7.34","1.63","340.01","1.29","0.35","347.37","365.47","1,528,680.99","904,574.92","624,106.07","400.96","361.00","321.04","72.31","358.54","347.05","324.09","311.16","468.03","25.29","372.94","7.52","373.68","355.88","338.09","370.45","366.84","362.97","361.00","359.28","357.00","348.28","345.96","343.81","341.81","339.92","336.37","1.32","5.55","-4.97","0","361.90","340.01","18.57","11.05","50,109,812.00","1.46","0.98","56.00","44.30","372.94","350.79","328.64","4.88","0.99","","","8.53","180.93","38.34","-1.94","47.12","2.41","3.13","0.14","-5.43","-5.45","11.65","373.84","353.27","332.69","101.57","1.23","0.12","21.50","7.92","346.85","399.79","349.19","57.14","100.00","42.86","341.41","346.96","351.93","35.98","14.00","24.30","37,233.07","215.92"
"2024-01-15T23:00:00.000Z","367.46","-1.88","-2.11","15,306,900","64.17","374.25","354.98","335.71","207.77","339.07","339.07","339.07","","-25.91","357.89","1.12","0.79","30.11","-15,510.91","0","0.51","61.25","1.78","357.83","0.10","8.38","0.34","100.00","91.51","899,593,600.00","367.61","-693.78","348.79","85.74","88.33","85.74","88.33","68.31","50.92","378.24","367.90","357.57","18.17","","","183.13","65.86","","85.10","64.17","54.65","0.15","0.10","0.05","9.12","1.49","1.31","48.52","-48.52","4.88","2.32","60.00","223.66","71.93","71.53","-1.00","379.00","367.00","68,590,182.62","0.77","3.98","8.96","1.15","252.78","223.02","343.17","372.69","324.45","391.41","294.93","420.93","276.21","1.08","345.02","711,177,500.00","116.53","96.48","356.02","339.07","322.11","9.10","354.98","339.07","294.03","339.07","69.81","14.07","357.72","25.32","0.55","8.96","7.67","1.29","340.01","1.47","0.42","347.05","367.61","982,730.16","915,739.95","66,990.21","402.33","362.18","322.02","66.50","360.12","347.41","323.82","311.16","486.13","26.57","377.06","8.38","377.03","359.07","341.12","368.95","367.05","363.97","362.18","360.54","358.31","349.52","347.15","344.96","342.93","341.00","337.39","1.37","6.30","-6.72","0","361.90","340.01","15.84","7.46","27,578,769.10","1.80","1.46","43.57","48.42","377.06","352.85","328.64","2.62","-9.05","","","8.18","138.97","39.22","","49.31","-0.04","2.76","0.06","-5.42","-5.43","10.85","374.25","354.98","335.71","82.39","1.34","0.09","23.73","7.95","350.65","392.73","342.19","57.14","92.86","35.71","341.73","348.03","354.75","33.27","15.02","25.26","36,539.30","207.77"
