"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2019-01-01T23:00:00.000Z","101.12","-0.44","-0.63","35,329,300","44.56","113.08","104.23","95.38","15.92","105.92","105.92","105.92","95.80","-58.64","102.47","0.82","1.15","-16.64","1,085,247.14","0.07","0.35","53.54","8.27","102.48","0","2.81","-0.25","0","8.36","868,750,500.00","98.10","36.98","108.41","40.82","40.25","40.82","40.25","-10.52","-33.15","105.83","100.96","96.10","7.74","","","84.30","92.02","","0.03","44.56","47.43","-0.12","-0.19","0.07","-4.49","0.96","1.72","25.53","-25.53","9.66","-0.13","50.00","-9.52","-54.17","-28.24","1.00","103.00","97.00","-3,964,059.57","0.40","-6.88","-2.00","-0.34","82.46","","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.04","102.91","97,683,000.00","142.67","","111.22","105.92","100.63","-0.15","104.23","105.92","103.51","105.92","45.31","-7.47","102.52","26.04","0.08","-2.00","-1.75","-0.25","93.96","-0.66","0.48","107.39","98.10","363,576.07","-156,532.25","520,108.32","120.53","101.43","82.34","37.48","100.42","103.69","105.60","107.76","105.67","45.06","111.27","2.81","104.73","99.75","94.76","101.01","100.84","101.10","101.43","101.80","102.33","104.19","104.60","104.95","105.25","105.49","105.83","1.08","2.95","-3.21","1.00","102.41","93.96","-0.23","-3.04","-20,361,327.92","-0.74","-1.17","-4.36","19.46","113.42","103.69","93.96","-1.26","-0.01","","","-14.68","-63.35","43.98","","-14.76","2.99","-4.97","-0.11","-5.52","-5.53","16.97","113.08","104.23","95.38","32.42","1.34","-0.17","-5.46","3.76","104.91","112.28","89.96","-64.29","7.14","71.43","107.15","104.20","101.00","17.09","26.61","20.60","674.39","15.92"
"2019-01-02T23:00:00.000Z","97.40","-3.68","-3.87","42,579,100","38.90","112.04","103.50","94.95","12.20","105.70","105.70","105.70","","-79.66","101.64","0.76","1.17","17.68","603,763.49","0.08","0.35","53.63","8.75","101.66","-0.05","3.92","-0.27","0","6.69","826,171,400.00","97.76","-476.56","108.41","35.22","39.00","35.22","39.00","-15.88","-30.01","105.21","100.33","95.45","7.18","","","76.65","98.13","","0.02","38.90","44.39","-0.09","-0.14","0.05","-4.90","0.72","1.62","17.89","-17.89","-29.45","-0.27","45.00","-20.33","-61.49","-35.10","-1.00","101.00","97.00","-5,530,458.89","0.40","-10.71","-2.20","-1.09","79.43","","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.02","102.40","55,103,900.00","142.67","","110.98","105.70","100.41","-3.15","103.50","105.70","103.53","105.70","39.81","-11.68","101.70","26.03","0.07","-2.20","-1.84","-0.36","93.96","-0.59","0.43","105.98","97.76","-539,939.06","-211,304.65","-328,634.41","119.85","100.70","81.55","35.93","99.13","103.69","105.22","107.76","105.25","47.51","111.27","2.99","104.74","99.75","94.76","99.20","99.70","100.28","100.70","101.12","101.71","103.75","104.20","104.59","104.90","105.17","105.55","1.08","3.37","-2.35","0","102.41","93.96","-1.14","-4.13","-40,080,324.50","-0.59","-0.74","-5.61","19.46","113.42","103.69","93.96","-4.11","-4.51","","","-14.88","-96.10","45.71","","-27.65","-0.37","0.11","-0.15","-5.51","-5.52","16.52","112.04","103.50","94.95","14.35","1.37","-0.18","-4.91","3.77","104.91","108.68","86.12","-64.29","0","64.29","106.72","103.34","100.99","15.82","27.93","21.10","197.82","12.20"
"2019-01-03T23:00:00.000Z","101.93","4.65","4.46","44,060,600","47.63","111.42","103.17","94.92","16.73","105.55","105.55","105.55","","-47.91","101.05","0.78","1.09","40.62","337,834.55","0.07","0.33","62.90","8.79","101.05","-0.01","5.11","-0.27","5.23","6.40","870,232,000.00","98.98","504.89","108.41","37.93","37.99","37.93","37.99","-3.29","-25.15","105.48","100.48","95.48","5.73","","","79.64","96.73","","14.55","47.63","47.71","-0.06","-0.10","0.04","-4.48","1.35","0.79","16.77","-16.77","21.75","0.43","50.00","-27.20","-65.47","-41.77","1.00","103.00","97.00","-3,481,234.45","0.40","-6.87","-1.97","0.22","83.12","","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.03","93.96","99,164,500.00","142.67","","110.82","105.55","100.27","1.46","103.17","105.55","103.57","105.55","45.21","-7.52","101.06","26.07","0.08","-1.97","-1.87","-0.11","93.96","-0.32","0.20","103.42","98.98","496,266.64","-110,223.03","606,489.68","120.71","100.92","81.13","42.21","98.48","103.69","104.95","107.76","106.89","53.63","110.87","3.58","104.89","99.89","94.90","100.57","100.44","100.64","100.92","101.25","101.74","103.63","104.08","104.46","104.78","105.04","105.43","1.07","3.44","-1.70","0","102.41","93.96","1.10","-2.48","-5,841,068.97","-0.20","-0.59","-4.23","18.68","112.64","103.30","93.96","0.88","-0.32","","","-13.63","-39.06","51.38","","1.67","2.90","3.88","-0.08","-5.48","-5.50","16.00","111.42","103.17","94.92","42.51","1.41","-0.13","-4.32","3.87","104.91","114.02","89.84","-57.14","0","57.14","106.22","102.77","101.08","18.61","25.29","20.68","702.71","16.73"
"2019-01-06T23:00:00.000Z","102.06","0.13","-0.06","35,656,100","47.86","110.59","102.81","95.03","17.81","105.42","105.42","105.42","","-37.31","100.72","0.87","1.05","-24.21","-544,808.74","0.09","0.33","57.97","8.68","100.71","-0.01","2.29","-0.27","15.04","8.13","905,888,100.00","99.95","42.07","108.41","45.04","39.40","45.04","39.40","15.82","-17.70","105.68","100.82","95.95","5.07","","","80.81","100.34","","57.27","47.86","50.92","-0.04","-0.08","0.03","-4.08","0.95","0.52","24.98","-24.98","18.55","0.92","50.00","-32.11","-67.61","-48.06","1.00","107.00","97.00","-3,435,760.15","0.40","-3.74","-1.76","0.34","83.12","","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.03","94.13","134,820,600.00","142.85","","110.70","105.42","100.15","1.75","102.81","105.42","103.62","105.42","51.01","-3.97","100.68","26.00","0.06","-1.76","-1.84","0.08","93.96","-0.12","0.04","101.69","99.95","1,257,258.74","85,131.50","1,172,127.23","120.09","101.13","82.18","37.86","98.61","103.69","104.95","107.76","106.81","52.62","109.26","2.29","105.19","100.18","95.17","101.31","100.98","100.96","101.13","101.37","101.78","103.53","103.97","104.34","104.66","104.92","105.32","1.03","2.88","-1.62","-1.00","102.41","97.20","1.77","-0.52","-4,344,459.82","0.31","-0.20","-2.23","17.31","111.27","102.61","93.96","1.29","-0.55","","","-11.84","-15.99","56.71","","17.45","2.06","-0.24","-0.13","-5.46","-5.49","15.14","110.59","102.81","95.03","45.18","1.40","-0.08","-3.97","3.76","104.91","113.10","91.02","-50.00","0","50.00","105.43","102.55","100.93","19.25","24.19","20.02","744.79","17.81"
"2019-01-07T23:00:00.000Z","102.80","0.73","0.54","31,514,400","49.23","110.44","102.71","94.98","18.90","105.43","105.43","105.43","","-31.58","100.68","0.95","0.98","-44.67","-1,560,521.77","0.11","0.34","52.57","8.40","100.66","-0.01","2.26","-0.27","30.09","12.52","937,402,500.00","100.78","58.55","108.41","61.07","48.01","61.07","48.01","35.23","-8.08","105.80","101.06","96.33","5.06","","","74.90","107.33","","78.64","49.23","54.07","-0.01","-0.05","0.04","-3.58","1.31","0.68","24.65","-24.65","21.15","0.22","55.00","-30.99","-64.00","-52.72","-1.00","107.00","101.00","-3,207,258.98","0.40","-0.09","-1.52","0.57","83.12","98.23","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.02","94.50","166,335,000.00","143.89","120.49","110.71","105.43","100.16","2.56","102.71","105.43","103.69","105.43","57.49","-0.09","100.62","25.93","0.07","-1.52","-1.78","0.26","93.96","0","0","100.72","100.78","1,857,823.78","338,373.26","1,519,450.52","119.62","101.43","83.24","41.37","98.97","103.69","105.57","107.76","106.90","49.59","106.88","2.26","105.56","100.54","95.51","102.06","101.59","101.37","101.43","101.59","101.91","103.48","103.90","104.26","104.58","104.84","105.24","0.97","2.40","-1.92","0","102.41","97.20","2.28","0.02","-392,275.69","0.84","0.31","-0.01","17.31","111.27","102.61","93.96","2.03","-0.33","","","-9.04","2.09","55.33","","46.64","1.96","-5.87","-0.10","-5.46","-5.47","15.05","110.44","102.71","94.98","50.59","1.36","-0.04","-3.59","3.65","104.91","112.99","92.61","-28.57","14.29","42.86","104.81","102.41","100.48","19.77","23.12","19.15","803.34","18.90"
"2019-01-08T23:00:00.000Z","104.27","1.43","1.24","32,280,800","51.93","109.98","102.54","95.10","20.37","105.35","105.35","105.35","","-20.20","100.71","0.96","0.94","-34.55","-2,277,387.28","0.08","0.34","55.36","8.18","100.69","0.01","2.08","-0.25","53.01","20.62","969,683,300.00","102.15","174.96","108.41","70.30","58.81","70.30","58.81","54.04","3.21","106.29","101.69","97.09","5.11","","","82.74","106.93","","89.32","51.93","56.14","0.06","-0.02","0.08","-2.76","1.40","0.32","44.74","-44.74","39.42","0.03","55.00","-25.21","-55.63","-55.62","-1.00","107.00","103.00","-2,745,658.12","0.40","0.29","-1.19","1.04","84.31","98.17","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.03","95.06","198,615,800.00","143.89","120.67","110.62","105.35","100.09","3.80","102.54","105.35","103.77","105.35","56.41","0.30","100.65","25.86","0.05","-1.19","-1.66","0.47","93.96","0.21","0.11","99.19","102.15","2,416,479.08","635,245.52","1,781,233.57","119.36","101.95","84.54","37.20","100.64","103.69","105.57","107.76","108.22","42.90","106.88","1.64","105.94","100.89","95.85","103.16","102.48","102.01","101.95","102.00","102.20","103.53","103.92","104.26","104.56","104.82","105.21","0.97","2.20","-1.62","0","102.41","97.20","2.82","1.18","6,442,702.14","1.34","0.84","0.50","17.31","111.27","102.61","93.96","3.47","0.85","","","-5.69","33.83","55.40","","27.22","2.04","-3.98","-0.13","-5.48","-5.47","14.51","109.98","102.54","95.10","61.61","1.35","-0.03","-2.74","3.54","104.91","113.67","94.87","-28.57","7.14","35.71","104.34","102.15","100.53","20.77","22.15","18.01","978.30","20.37"
"2019-01-09T23:00:00.000Z","103.60","-0.64","-0.83","30,067,600","50.61","109.22","102.29","95.37","19.70","105.29","105.29","105.29","","-11.72","100.67","0.95","0.99","-55.91","-2,989,632.48","0.05","0.36","55.89","7.93","100.64","0.02","1.89","-0.23","65.86","29.67","939,615,700.00","103.29","-41.18","108.41","78.83","70.07","78.83","70.07","62.41","13.98","107.39","102.93","98.47","5.10","","","78.53","107.83","","94.66","50.61","53.39","0.13","0.03","0.10","-2.58","0.94","1.20","48.42","-48.42","19.84","0.29","50.00","-24.30","-52.48","-57.45","-1.00","107.00","101.00","-2,938,860.75","0.40","-0.09","-0.97","0.89","84.31","98.10","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.02","95.85","168,548,200.00","142.96","120.83","110.55","105.29","100.02","2.68","102.29","105.29","103.82","105.29","48.98","-0.09","100.58","25.72","0.05","-0.97","-1.52","0.55","93.96","0.39","0.38","97.86","103.29","1,583,430.64","770,700.54","812,730.10","118.87","102.25","85.63","39.31","101.04","103.69","105.57","107.76","108.17","31.49","106.88","1.37","106.28","101.22","96.16","103.38","102.85","102.37","102.25","102.25","102.38","103.54","103.90","104.23","104.52","104.77","105.16","0.97","2.37","-0.87","0","102.41","97.20","1.47","0.10","2,644,425.13","1.53","1.34","-0.17","17.31","111.27","102.61","93.96","2.81","-0.22","","","-2.30","22.91","59.21","","17.69","0.30","-8.53","-0.09","-5.47","-5.47","13.54","109.22","102.29","95.37","59.43","1.34","-0.01","-1.78","3.42","104.91","112.26","94.94","-28.57","0","28.57","104.08","101.72","100.85","19.95","23.07","17.24","937.12","19.70"
"2019-01-10T23:00:00.000Z","102.80","-0.77","-0.96","28,314,200","49.00","108.18","101.98","95.78","18.90","105.27","105.27","105.27","","-19.05","100.76","0.98","0.94","-59.74","-3,653,461.83","0.07","0.36","54.59","7.53","100.72","0.02","1.96","-0.21","74.94","38.72","911,301,500.00","103.92","-89.32","108.41","83.01","77.38","83.01","77.38","61.43","22.60","107.44","103.11","98.78","5.19","","","70.87","106.76","","97.33","49.00","50.68","0.14","0.09","0.05","-2.50","0.87","1.15","36.80","-36.80","1.40","0.21","45.00","-24.84","-50.61","-58.03","-1.00","107.00","101.00","-3,157,501.97","0.40","1.27","-0.86","0.64","84.31","98.04","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.01","96.57","140,234,000.00","141.86","120.99","110.53","105.27","100.00","1.16","101.98","105.27","103.89","105.27","52.39","1.29","100.65","25.44","0.06","-0.86","-1.39","0.53","93.96","0.47","0.53","97.33","103.92","860,377.95","783,511.59","76,866.36","118.28","102.35","86.42","41.10","101.04","103.30","106.38","107.76","107.15","31.83","104.88","1.80","106.77","101.68","96.60","103.09","102.84","102.46","102.35","102.33","102.43","103.49","103.84","104.16","104.45","104.69","105.08","0.91","2.29","-0.35","1.00","104.88","97.20","1.09","-0.71","-969,239.94","1.47","1.53","1.04","17.31","111.27","102.61","93.96","1.92","-1.65","","","-0.51","19.21","56.52","","17.60","-1.09","-15.02","-0.04","-5.47","-5.47","12.16","108.18","101.98","95.78","56.62","1.35","-0.01","-1.46","3.31","104.91","110.90","94.70","64.29","85.71","21.43","103.88","101.59","101.25","19.11","23.69","16.77","847.80","18.90"
"2019-01-13T23:00:00.000Z","102.05","-0.73","-0.92","28,437,100","47.48","106.78","101.61","96.44","18.08","105.23","105.23","105.23","","-25.92","100.96","1.00","0.92","-74.44","-4,122,117.16","0.06","0.36","62.11","6.79","100.90","0.02","1.61","-0.19","100.00","50.98","882,864,400.00","103.85","-69.67","108.41","81.11","80.98","81.11","80.98","53.45","28.21","107.28","103.10","98.92","5.01","","","73.17","98.23","","98.66","47.48","48.14","0.10","0.12","-0.02","-2.50","0.80","1.11","22.38","-22.38","-12.14","0.03","40.00","-24.37","-47.67","-57.68","1.00","103.00","101.00","-3,364,971.08","0.40","3.89","-0.82","0.32","83.70","97.96","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.01","97.24","111,796,900.00","141.86","121.15","110.49","105.23","99.97","0.29","101.61","105.23","103.95","105.23","60.50","3.82","100.78","25.08","0.06","-0.82","-1.28","0.46","93.96","0.42","0.45","98.00","103.85","198,600.82","699,952.91","-501,352.10","117.44","102.30","87.15","41.55","101.04","102.61","107.05","107.76","109.41","31.79","104.88","1.61","107.22","102.12","97.01","102.57","102.57","102.37","102.30","102.29","102.38","103.40","103.74","104.06","104.34","104.59","104.98","0.91","1.95","-0.15","0","104.88","97.20","0.56","-1.05","-3,877,609.24","1.27","1.47","1.31","16.91","110.87","102.42","93.96","0.91","-2.78","","","1.18","16.50","53.32","","3.62","-1.76","-15.84","-0.03","-5.47","-5.47","10.17","106.78","101.61","96.44","54.27","1.34","0.04","-1.43","3.19","104.91","109.50","94.60","64.29","78.57","14.29","103.61","101.66","101.81","18.42","23.69","16.47","778.13","18.08"
"2019-01-14T23:00:00.000Z","105.01","2.90","2.71","31,587,600","53.60","106.57","101.56","96.55","21.21","105.20","105.20","105.20","","-0.36","101.61","1.10","0.75","-28.10","-4,190,999.64","0.06","0.33","64.26","5.66","101.51","0.06","3.17","-0.17","100.00","60.78","914,452,000.00","103.84","397.27","108.41","84.89","83.00","84.89","83.00","61.88","34.33","107.72","103.55","99.37","3.60","0.76","0.77","83.06","100.60","58,402,379.00","99.33","53.60","51.10","0.08","0.11","-0.03","-2.15","2.35","0.80","11.15","-11.15","24.72","0.68","45.00","-19.25","-40.83","-56.20","1.00","107.00","101.00","-2,448,760.75","0.40","11.56","-0.54","1.08","86.13","97.90","102.98","112.01","92.55","122.44","83.52","131.47","73.09","1.03","97.85","143,384,500.00","141.86","121.31","110.46","105.20","99.94","2.93","101.56","105.20","104.02","105.20","67.89","10.88","101.32","24.74","0.10","-0.54","-1.13","0.59","93.96","0.30","0.44","99.68","103.84","882,762.11","726,068.51","156,693.60","118.00","102.79","87.57","49.11","101.13","102.61","107.05","107.76","110.97","34.08","104.88","3.17","107.70","102.57","97.44","103.79","103.39","102.96","102.79","102.71","102.71","103.50","103.81","104.11","104.37","104.61","104.98","0.91","1.42","-0.25","0","104.88","97.20","2.35","-0.82","10,033,373.09","1.31","1.27","5.08","15.30","109.26","101.61","93.96","3.04","-0.03","","","4.64","95.08","51.81","4.43","24.67","1.11","-10.64","0.04","-5.46","-5.47","9.87","106.57","101.56","96.55","84.45","1.34","0.16","-1.32","3.19","104.91","112.87","97.15","92.86","100.00","7.14","103.23","101.81","102.06","22.00","22.01","15.29","1,175.40","21.21"
