"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","334.75","-0.47","-0.36","28,865,100","51.39","346.73","333.70","320.66","104.21","332.33","332.33","332.33","316.39","-35.30","332.74","0.93","0.99","-0.12","-2,360,033.68","0.09","0.22","53.95","3.43","332.63","0.10","8.22","0.05","100.00","70.50","134,497,000.00","340.38","-180.33","346.51","72.26","80.38","72.26","80.38","50.54","34.00","347.59","338.72","329.85","13.87","","","89.88","96.15","","98.45","51.39","43.35","0.18","0.15","0.03","3.81","1.24","2.73","22.38","-22.38","-18.10","0.90","50.00","160.79","1.93","-0.94","1.00","347.00","317.00","10,521,621.37","0.70","-1.37","2.06","0.26","100.84","","332.62","348.00","320.95","359.67","305.57","375.05","293.90","1.02","323.12","219,710,300.00","152.34","","348.94","332.33","315.71","1.43","333.70","332.33","288.00","332.33","41.95","-4.65","332.42","25.84","0.28","2.06","1.72","0.34","317.25","1.13","0.43","324.62","340.38","-1,019,802.66","-370,469.09","-649,333.57","369.40","335.98","302.56","60.88","332.05","330.77","334.75","314.96","311.21","20.07","344.30","8.22","354.36","337.48","320.61","336.44","336.89","336.41","335.98","335.60","335.12","332.83","331.84","330.74","329.57","328.34","325.79","1.25","1.51","-4.00","0","344.30","317.25","2.57","-5.65","-6,959,756.59","1.33","1.47","-0.81","27.05","344.30","330.77","317.25","0.51","8.92","2.27","12.41","51.40","","46.90","-1.68","-1.19","0.23","-5.46","-5.45","7.81","346.73","333.70","320.66","54.04","1.39","0.04","5.00","6.82","321.10","352.79","316.71","50.00","78.57","28.57","329.53","331.04","335.04","24.00","25.73","18.54","16,240.80","104.21"
"2022-01-03T23:00:00.000Z","329.01","-1.71","-1.60","32,674,300","46.07","346.60","333.84","321.08","98.02","332.72","332.72","332.72","","-56.52","332.81","1.00","0.98","-26.47","-1,446,475.83","0.08","0.22","51.69","3.41","332.71","0.07","9.08","0.05","90.04","74.41","101,822,700.00","338.66","-822.79","346.51","59.56","70.98","59.56","70.98","30.72","33.40","345.33","336.27","327.21","13.81","","","91.38","92.71","","74.22","46.07","40.78","0.18","0.17","0.01","3.17","0.97","1.84","54.80","-54.80","-55.25","-0.44","45.00","161.60","3.35","-0.57","1.00","337.00","317.00","9,961,352.03","0.69","0.20","1.38","-0.60","99.11","","332.62","348.00","320.95","359.67","305.57","375.05","293.90","1.00","324.39","187,036,000.00","152.34","","349.36","332.72","316.09","-4.65","333.84","332.72","288.46","332.72","43.29","0.67","332.51","25.75","0.28","1.38","1.65","-0.27","317.25","0.85","0.25","326.70","338.66","-1,688,197.07","-558,715.95","-1,129,481.13","369.33","334.71","300.09","54.58","335.02","330.77","333.46","314.96","302.38","21.20","344.30","9.08","355.19","338.28","321.36","332.73","334.26","334.76","334.71","334.58","334.36","332.59","331.68","330.66","329.54","328.37","325.90","1.25","2.88","-3.81","0","344.30","317.25","0.69","-8.39","-32,758,386.06","0.94","1.33","13.19","27.05","344.30","330.77","317.25","-1.23","5.48","2.29","-43.77","49.09","","5.73","-2.93","2.17","0.17","-5.50","-5.47","7.65","346.60","333.84","321.08","31.09","1.45","0.03","2.88","6.98","321.10","348.89","309.13","50.00","71.43","21.43","329.54","332.42","336.23","21.77","27.08","17.99","15,418.01","98.02"
"2022-01-04T23:00:00.000Z","316.38","-3.84","-3.73","40,054,300","37.01","347.75","332.91","318.07","85.39","332.89","332.89","332.89","","-98.59","331.84","0.87","1.04","13.21","-125,523.36","0.07","0.21","35.82","3.92","331.85","0","13.03","0.04","58.06","71.14","61,768,400.00","334.58","-1,884.67","343.98","36.53","56.12","36.53","56.12","-8.27","25.83","340.75","331.16","321.57","16.22","","","66.48","101.79","","49.59","37.01","37.27","0.11","0.17","-0.05","0.88","0.42","2.16","65.53","-65.53","-67.45","-1.87","40.00","157.73","0.41","-0.32","-1.00","331.00","313.00","8,423,751.38","0.68","-5.46","-0.17","-2.02","95.31","","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.98","344.30","146,981,700.00","152.34","","349.53","332.89","316.24","-16.66","332.91","332.89","288.86","332.89","33.20","-18.27","331.88","25.68","0.25","-0.17","1.29","-1.46","317.25","0.43","0.05","328.60","334.58","-2,450,587.92","-828,983.37","-1,621,604.55","369.05","331.38","293.71","45.85","330.14","330.14","333.48","314.96","295.04","26.37","344.30","10.09","354.38","337.51","320.63","324.55","328.30","330.68","331.38","331.78","332.11","331.54","330.83","329.96","328.97","327.90","325.59","1.25","3.69","-2.89","0","344.30","317.25","-5.85","-15.94","-100,348,045.85","0.33","0.94","-5.16","27.05","344.30","330.77","317.25","-4.65","-4.39","0.68","-151.07","48.23","","-45.81","-5.75","-2.08","0.06","-5.54","-5.50","8.91","347.75","332.91","318.07","-5.70","1.56","-0.08","-0.81","7.41","321.10","340.10","292.66","-35.71","64.29","100.00","329.92","333.61","336.50","19.03","33.45","18.67","13,533.34","85.39"
"2022-01-05T23:00:00.000Z","313.88","-0.79","-0.68","39,646,100","35.52","348.81","331.86","314.91","80.57","332.96","332.96","332.96","","-92.72","330.92","0.83","1.14","13.16","878,278.40","0.12","0.25","37.57","4.30","330.89","-0.02","7.21","0.01","33.74","63.66","22,122,300.00","328.99","-229.95","337.86","17.39","37.82","17.39","37.82","-39.72","13.91","335.64","326.07","316.49","18.40","","","69.13","98.49","","31.03","35.52","33.22","-0.02","0.12","-0.14","-0.85","0.21","1.88","81.17","-81.17","-53.55","-2.65","35.00","151.16","-5.04","-0.53","-1.00","331.00","311.00","8,110,472.26","0.67","-3.39","-1.59","-2.26","95.31","","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.98","343.73","107,335,600.00","151.14","","349.61","332.96","316.32","-18.66","331.86","332.96","289.25","332.96","32.93","-11.02","330.82","25.53","0.18","-1.59","0.71","-2.30","315.98","-0.31","0.02","333.35","328.99","-3,129,992.89","-1,157,699.02","-1,972,293.87","365.71","328.20","290.69","46.57","327.89","327.89","333.48","314.96","295.00","23.86","344.30","7.21","352.17","335.40","318.63","319.22","323.49","326.95","328.20","329.03","329.83","330.40","329.89","329.18","328.32","327.35","325.20","1.27","3.91","-1.45","0","344.30","317.25","-10.64","-17.85","-100,171,932.16","-0.29","0.33","-12.99","28.32","344.30","330.14","315.98","-5.18","-4.13","-0.99","-169.96","40.13","","-55.15","-4.81","-7.35","0","-5.57","-5.53","10.22","348.81","331.86","314.91","-3.03","1.57","-0.01","-5.26","7.40","337.82","337.19","290.57","-42.86","57.14","100.00","330.62","334.53","335.98","17.71","35.46","19.72","13,303.39","80.57"
"2022-01-06T23:00:00.000Z","314.04","0.05","0.16","32,720,000","35.70","349.53","330.90","312.28","84.52","332.78","332.78","332.78","","-88.45","330.29","0.87","1.04","-31.48","1,102,214.51","0.09","0.27","38.18","4.61","330.28","-0.01","6.41","-0.02","16.03","54.13","-10,597,700.00","323.59","16.53","335.55","6.75","20.22","6.75","20.22","-57.20","0.98","331.10","321.61","312.12","20.11","","","62.33","88.49","","15.52","35.70","41.17","-0.13","0.04","-0.17","-1.62","0.69","1.81","75.65","-75.65","-36.90","-2.43","40.00","145.45","-9.28","-1.30","1.00","317.00","307.00","8,127,151.62","0.67","-3.01","-2.67","-2.20","95.31","95.63","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.98","342.44","140,055,600.00","151.22","133.04","349.42","332.78","316.14","-17.40","330.90","332.78","289.66","332.78","34.38","-9.76","330.27","25.44","0.20","-2.67","0.04","-2.70","311.49","-1.03","0.17","338.08","323.59","-3,592,892.62","-1,505,583.82","-2,087,308.80","362.59","325.62","288.66","47.31","327.19","327.19","334.02","314.96","300.47","23.50","344.30","6.41","348.96","332.35","315.73","316.63","320.34","324.08","325.62","326.72","327.86","329.35","329.01","328.44","327.69","326.83","324.84","1.32","3.42","0","0","344.30","317.25","-10.66","-17.07","-85,113,753.30","-0.87","-0.29","-5.41","32.81","344.30","327.89","311.49","-4.93","-1.28","-2.75","-153.41","38.04","","-94.29","-3.04","-8.08","0.04","-5.59","-5.57","11.26","349.53","330.90","312.28","4.73","1.57","-0.04","-9.34","7.33","335.33","336.53","291.55","-50.00","50.00","100.00","331.50","334.92","334.92","16.60","34.61","20.83","13,319.91","84.52"
"2022-01-09T23:00:00.000Z","314.27","0.07","0.18","44,289,500","35.97","348.65","329.49","310.33","94.10","332.58","332.58","332.58","","-75.81","329.72","0.83","1.05","56.35","2,188,025.25","0.07","0.33","47.55","4.79","329.65","0.06","10.03","-0.05","6.31","44.57","-54,887,200.00","317.98","241.01","333.08","14.34","12.83","14.34","12.83","-59.28","-9.98","327.24","317.52","307.79","21.12","","","56.51","78.69","","7.76","35.97","48.00","-0.21","-0.07","-0.14","-1.87","0.72","1.99","62.23","-62.23","-22.92","-1.91","40.00","137.56","-15.77","-2.81","1.00","317.00","293.00","8,159,586.09","0.68","-1.76","-3.46","-2.02","95.38","95.62","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.98","340.50","184,345,100.00","151.22","133.24","349.21","332.58","315.95","-15.59","329.49","332.58","290.04","332.58","33.04","-5.64","329.52","25.25","0.23","-3.46","-0.66","-2.80","310.09","-1.84","0.49","343.69","317.98","-4,254,338.92","-1,898,263.12","-2,356,075.81","361.84","323.56","285.28","45.29","324.49","324.49","335.79","314.96","299.50","18.34","344.30","10.03","344.98","328.56","312.13","315.45","318.32","321.90","323.56","324.81","326.16","328.37","328.19","327.75","327.11","326.33","324.49","1.34","2.48","-2.65","0","344.30","317.25","-10.60","-20.63","-71,499,542.84","-1.39","-0.87","-10.03","34.21","344.30","327.19","310.09","-4.74","1.83","-4.12","-149.43","34.00","","-92.52","-1.18","3.94","0.05","-5.60","-5.59","11.63","348.65","329.49","310.33","10.28","1.50","-0.01","-13.18","7.52","335.33","338.28","290.26","-57.14","42.86","100.00","332.31","334.79","332.14","15.02","36.44","22.31","13,560.93","94.10"
"2022-01-10T23:00:00.000Z","314.98","0.23","0.34","29,386,800","36.87","347.86","328.27","308.68","99.19","332.25","332.25","332.25","","-74.02","328.90","0.86","1.08","18.78","1,824,977.54","0.11","0.33","50.48","5.11","328.86","0.08","6.72","-0.08","2.01","36.06","-25,500,400.00","313.76","149.69","333.08","20.57","13.89","20.57","13.89","-56.57","-18.45","324.37","314.71","305.05","22.47","","","59.22","71.11","","3.88","36.87","53.65","-0.22","-0.15","-0.07","-1.89","1.19","1.55","43.58","-43.58","-10.15","-1.39","45.00","130.87","-20.83","-5.04","1.00","317.00","307.00","8,225,978.92","0.67","-3.76","-3.99","-1.84","95.38","95.62","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.97","337.64","213,731,900.00","151.56","133.43","348.86","332.25","315.64","-13.24","328.27","332.25","290.44","332.25","33.69","-12.31","328.77","25.09","0.23","-3.99","-1.33","-2.66","304.69","-2.35","0.71","346.66","313.76","-3,268,254.92","-2,093,976.23","-1,174,278.69","359.81","322.00","284.19","47.28","323.91","324.49","333.85","314.96","290.73","18.94","344.30","6.72","340.78","324.56","308.33","315.21","317.21","320.36","322.00","323.29","324.76","327.51","327.46","327.12","326.58","325.89","324.18","1.39","1.30","-5.54","0","344.30","317.25","-7.23","-13.95","-58,304,569.04","-1.68","-1.39","-12.43","39.61","344.30","324.49","304.69","-4.27","5.28","-5.92","-112.24","33.52","","-92.46","0.39","4.05","0.11","-5.59","-5.59","11.93","347.86","328.27","308.68","16.08","1.48","-0.02","-15.74","7.46","335.33","338.22","291.74","-57.14","35.71","92.86","332.97","334.27","328.73","15.86","34.10","23.32","13,710.62","99.19"
"2022-01-11T23:00:00.000Z","318.27","1.04","1.15","34,372,200","40.98","347.83","327.77","307.70","102.48","332.03","332.03","332.03","","-65.72","328.03","0.85","1.06","38.42","1,917,436.71","0.07","0.32","47.49","5.40","328.05","0.07","8.43","-0.10","0","28.85","8,871,800.00","311.59","323.98","333.08","28.15","21.02","28.15","21.02","-48.84","-23.97","324.84","315.09","305.34","22.99","","","66.03","78.96","","1.94","40.98","57.99","-0.22","-0.20","-0.02","-1.85","2.01","1.18","27.19","-27.19","7.45","-1.29","50.00","125.14","-25.09","-7.69","-1.00","331.00","317.00","8,584,997.84","0.68","-4.48","-4.10","-1.25","96.37","95.61","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.98","335.00","248,104,100.00","151.56","133.62","348.63","332.03","315.42","-7.93","327.77","332.03","290.88","332.03","35.15","-14.93","328.09","25.00","0.18","-4.10","-1.88","-2.21","304.69","-2.52","0.78","346.87","311.59","-2,258,223.54","-2,117,440.13","-140,783.41","359.57","321.32","283.07","49.65","322.02","324.49","331.30","314.96","287.93","20.41","344.30","6.33","337.08","321.03","304.97","316.74","317.56","319.90","321.32","322.52","323.95","326.91","326.95","326.69","326.22","325.59","323.99","1.39","0.71","-6.97","-1.00","344.30","304.69","0.37","-5.96","-33,820,518.79","-1.56","-1.68","-16.61","39.61","344.30","324.49","304.69","-2.96","11.46","-7.37","-59.88","33.75","","-70.57","2.10","-2.93","0.09","-5.58","-5.59","12.24","347.83","327.77","307.70","26.34","1.41","-0.08","-15.41","7.53","335.33","341.92","294.62","-57.14","28.57","85.71","333.33","332.62","325.64","21.04","31.37","23.07","14,034.59","102.48"
"2022-01-12T23:00:00.000Z","304.80","-4.23","-4.12","45,366,000","31.83","348.40","326.27","304.14","86.40","331.46","331.46","331.46","","-98.01","326.17","0.69","1.10","131.25","2,845,023.39","0.08","0.31","40.51","6.12","326.29","0","16.88","-0.14","0","23.08","-36,494,200.00","306.59","-1,793.48","333.08","20.75","23.16","20.75","23.16","-58.20","-30.20","323.83","313.27","302.71","25.51","","","51.17","97.76","","0.97","31.83","52.79","-0.23","-0.22","-0.01","-2.56","1.11","2.30","18.89","-18.89","-31.71","-3.17","45.00","115.01","-33.55","-11.54","-1.00","331.00","293.00","6,664,992.51","0.66","-8.93","-5.21","-2.35","92.29","95.60","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.95","332.58","202,738,100.00","151.56","133.81","348.03","331.46","314.89","-18.36","326.27","331.46","291.22","331.46","28.23","-29.89","326.51","25.20","0.37","-5.21","-2.55","-2.66","304.69","-2.96","0.88","348.04","306.59","-3,043,986.59","-2,249,803.91","-794,182.68","361.18","318.32","275.45","35.99","321.00","324.15","331.25","314.96","287.72","26.70","344.30","16.88","333.95","318.04","302.14","310.77","313.31","316.54","318.32","319.80","321.56","325.49","325.72","325.62","325.29","324.77","323.36","1.39","2.95","-7.97","0","344.30","304.69","0.44","-16.44","-116,286,169.73","-1.60","-1.56","-43.85","39.61","344.30","324.49","304.69","-6.46","-0.60","-10.13","-115.97","37.96","","-78.21","-0.59","12.67","-0.03","-5.57","-5.58","13.56","348.40","326.27","304.14","1.48","1.58","-0.19","-15.25","8.20","335.33","333.85","275.75","-78.57","21.43","100.00","333.37","330.43","322.45","17.95","38.15","23.99","12,241.11","86.40"
"2022-01-13T23:00:00.000Z","310.20","1.77","1.88","39,846,400","37.82","348.75","325.54","302.33","92.85","330.98","330.98","330.98","","-84.09","323.89","0.66","1.25","99.76","3,099,033.20","0.07","0.31","47.78","6.60","324.01","0.05","7.07","-0.16","0","18.46","3,352,200.00","304.95","244.23","333.08","17.39","22.10","17.39","22.10","-61.57","-35.90","322.97","312.50","302.03","24.91","0.52","0.52","56.78","95.62","39,031,383.00","0.48","37.82","56.39","-0.25","-0.23","-0.03","-2.76","0.40","1.43","26.42","-26.42","-9.37","-1.70","50.00","107.10","-40.19","-16.22","1.00","311.00","293.00","7,370,935.88","0.67","-9.42","-5.59","-1.53","92.29","95.58","332.62","348.00","320.95","359.67","305.57","375.05","293.90","0.97","329.72","242,584,500.00","154.24","134.01","347.53","330.98","314.43","-10.32","325.54","330.98","291.56","330.98","22.20","-32.25","324.25","25.38","0.18","-5.59","-3.15","-2.43","304.00","-2.86","0.86","344.97","304.95","-3,633,900.17","-2,447,531.95","-1,186,368.22","358.95","316.84","274.73","46.34","319.48","324.02","331.25","314.96","280.27","29.93","344.30","7.07","331.57","315.78","299.99","310.49","312.27","315.13","316.84","318.32","320.14","324.50","324.85","324.87","324.63","324.20","322.92","1.40","4.88","-7.67","1.00","323.41","304.69","-8.15","-15.22","-68,935,069.37","-1.85","-1.60","-61.48","40.30","344.30","324.15","304.00","-4.12","5.80","-12.10","-111.97","37.47","-0.89","-55.63","1.69","14.59","0.07","-5.56","-5.57","14.26","348.75","325.54","302.33","16.96","1.51","-0.20","-15.70","8.12","328.03","337.68","282.72","-85.71","14.29","100.00","333.16","328.29","320.61","16.83","36.00","24.87","12,485.34","92.85"
