"Date","Close","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2015-01-01T23:00:00.000Z","0.50","113,680,000.00","47.64","0.53","0.51","0.49","0.04","0.50","0.50","0.50","0.51","-46.91","0.51","0.93","1.02","-16.20","-32,395,270.26","0.36","34.55","4.40","0.51","-0.01","0.01","0.06","83.03","68.28","0.51","-0.01","0.53","55.84","63.03","55.84","63.03","14.94","21.72","0.52","0.51","0.49","0.02","","","105.13","123.55","","19.97","47.64","45.08","-0.03","-0.06","0.03","3.20","0.88","1.69","68.39","-68.39","-36.00","0","35.00","45.40","4.94","15.79","1.00","0.53","0.47","136,087,966.06","0","-0.64","0","-0.21","112.56","","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.02","0.49","2,261,152,000.00","112.62","","0.53","0.50","0.48","0","0.51","0.50","0.47","0.50","46.69","0","0.51","24.91","0","0","0","0","0.48","0","0.30","0.49","0.51","-4,028,356.42","2,055,810.78","-6,084,167.19","0.56","0.51","0.46","27.68","0.51","0.50","0.49","0.47","0.52","14.45","0.53","0.01","0.54","0.51","0.49","0.50","0.51","0.51","0.51","0.51","0.51","0.51","0.50","0.50","0.50","0.50","0.50","-1.15","0.01","0","0","0.53","0.48","0","-0.01","-16,578.77","0.32","0.86","0","0.05","0.53","0.50","0.48","-0.43","0","0.35","-62.53","46.28","","-6.38","-2.28","2.87","-0.19","-5.51","-5.49","8.78","0.53","0.51","0.49","37.39","1.23","-0.18","0","0.01","0.48","0.53","0.47","28.57","57.14","28.57","0.50","0.51","0.51","19.43","24.40","21.06","17.03","0.04"
"2015-01-04T23:00:00.000Z","0.49","197,952,000.00","42.29","0.53","0.51","0.49","0.03","0.50","0.50","0.50","","-64.43","0.51","1.01","0.99","-38.90","-25,803,892.43","0.35","36.09","4.17","0.51","-0.04","0.01","0.05","58.30","66.28","0.51","-1.12","0.53","45.88","54.98","45.88","54.98","-11.46","15.69","0.52","0.50","0.49","0.02","","","97.42","128.03","","9.99","42.29","42.61","-0.08","-0.05","-0.03","2.49","0.81","1.58","58.42","-58.42","-48.69","0","35.00","42.24","0.96","12.27","-1.00","0.53","0.47","132,744,510.67","0","0.82","0","-1.04","110.66","","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.02","0.53","2,063,200,000.00","112.62","","0.53","0.50","0.48","-0.01","0.51","0.50","0.47","0.50","49.12","0","0.51","24.98","0","0","0","0","0.48","0","0.06","0.50","0.51","-7,826,100.90","644,109.11","-8,470,210.01","0.56","0.51","0.45","26.43","0.51","0.50","0.49","0.47","0.52","16.32","0.53","0.01","0.54","0.51","0.49","0.50","0.50","0.50","0.51","0.51","0.51","0.50","0.50","0.50","0.50","0.50","0.50","-1.15","0.01","0","0","0.53","0.48","0","-0.01","-254,580.94","-0.27","0.32","0","0.05","0.53","0.50","0.48","-2.16","0","0.38","-88.02","45.35","","-40.65","-3.06","1.43","-0.21","-5.53","-5.52","8.70","0.53","0.51","0.49","21.25","1.17","-0.18","0","0.01","0.48","0.53","0.46","28.57","50.00","21.43","0.50","0.51","0.51","17.87","24.24","20.63","15.91","0.03"
"2015-01-05T23:00:00.000Z","0.48","197,764,000.00","34.85","0.53","0.51","0.48","0.01","0.50","0.50","0.50","","-95.36","0.51","0.94","1.05","-22.35","-20,360,643.22","0.33","32.55","4.20","0.51","-0.09","0.02","0.02","29.83","58.99","0.50","-2.05","0.52","31.10","44.27","31.10","44.27","-43.19","4.98","0.51","0.50","0.48","0.02","","","84.76","154.70","","4.99","34.85","38.98","-0.17","-0.07","-0.10","0.74","0.49","2.08","60.18","-60.18","-55.44","0","30.00","36.58","-4.90","8.72","-1.00","0.53","0.47","126,748,639.60","0","-1.94","0","-2.23","110.66","","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.00","0.53","1,865,436,000.00","109.21","","0.53","0.50","0.48","-0.03","0.51","0.50","0.47","0.50","50.38","-0.01","0.51","25.16","0","0","0","0","0.48","0","0.05","0.51","0.50","-11,258,947.97","-1,056,327.62","-10,202,620.35","0.56","0.50","0.44","20.97","0.50","0.50","0.49","0.47","0.56","19.88","0.53","0.02","0.53","0.51","0.48","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.15","0","0","0","0.53","0.48","-0.01","-0.02","-641,991.83","-0.83","-0.27","0","0.05","0.53","0.50","0.48","-5.00","-0.02","-0.82","-159.43","45.11","","-88.83","-4.40","-1.71","-0.26","-5.56","-5.54","9.23","0.53","0.51","0.48","-4.34","1.23","-0.22","-0.01","0.01","0.48","0.51","0.44","28.57","42.86","14.29","0.51","0.51","0.51","15.97","30.06","21.35","13.86","0.01"
"2015-01-06T23:00:00.000Z","0.48","321,808,000.00","34.31","0.53","0.50","0.48","0","0.50","0.50","0.50","","-96.94","0.50","0.95","1.05","73.66","-5,968,711.30","0.33","31.54","4.12","0.51","-0.13","0.01","-0.01","13.26","49.84","0.49","-0.41","0.52","14.42","30.47","14.42","30.47","-64.99","-7.74","0.51","0.49","0.48","0.02","","","87.12","163.90","","2.50","34.31","35.23","-0.30","-0.14","-0.16","-0.43","0.49","1.72","76.14","-76.14","-45.59","0","30.00","30.84","-10.94","5.14","-1.00","0.53","0.47","125,910,162.04","0","-1.09","0","-2.33","110.37","","0.50","0.53","0.48","0.56","0.45","0.58","0.42","0.98","0.52","1,543,628,000.00","109.21","","0.53","0.50","0.48","-0.03","0.50","0.50","0.47","0.50","47.74","-0.01","0.51","25.26","0","0","0","0","0.48","0","0.47","0.52","0.49","-17,015,144.75","-3,336,158.64","-13,678,986.11","0.55","0.50","0.44","21.21","0.50","0.50","0.50","0.47","0.56","15.71","0.53","0.01","0.53","0.50","0.48","0.48","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.15","0","0","0","0.53","0.48","-0.01","-0.02","-607,744.37","-1.35","-0.83","0","0.05","0.53","0.50","0.48","-5.18","-0.02","-2.02","-161.15","44.12","","-88.30","-2.61","-2.19","-0.29","-5.57","-5.56","9.93","0.53","0.50","0.48","0.90","1.12","-0.22","-0.01","0.01","0.51","0.51","0.44","-64.29","35.71","100.00","0.51","0.51","0.51","14.91","29.48","22.17","13.45","0"
"2015-01-07T23:00:00.000Z","0.50","283,780,000.00","47.06","0.53","0.50","0.48","0.02","0.50","0.50","0.50","","-60.20","0.50","1.00","0.99","-17.89","2,341,465.70","0.31","37.82","4.09","0.50","-0.08","0.02","-0.03","4.03","40.68","0.49","2.48","0.52","15.83","20.45","15.83","20.45","-55.95","-16.50","0.51","0.49","0.48","0.02","","","111.13","141.90","","1.25","47.06","41.01","-0.37","-0.23","-0.14","-0.01","2.14","1.40","56.13","-56.13","12.24","0","35.00","30.27","-12.39","1.87","-1.00","0.53","0.47","136,585,257.85","0","-1.39","0","-0.61","110.37","","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.00","0.52","1,827,408,000.00","113.31","","0.53","0.50","0.48","-0.01","0.50","0.50","0.47","0.50","46.38","-0.01","0.51","25.42","0","0","0","0","0.48","0","0.59","0.52","0.49","-9,236,974.38","-4,179,132.31","-5,057,842.07","0.56","0.50","0.44","28.25","0.50","0.50","0.50","0.47","0.56","26.69","0.53","0.02","0.53","0.50","0.48","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.14","0","0","0","0.53","0.48","0","-0.02","208,795.32","-1.43","-1.35","0","0.05","0.53","0.50","0.48","-1.52","0","-2.81","-67.49","42.71","","-30.21","1.56","-8.52","-0.29","-5.56","-5.56","9.60","0.53","0.50","0.48","38.74","1.25","-0.19","-0.02","0.01","0.51","0.54","0.46","-64.29","28.57","92.86","0.51","0.51","0.51","20.22","25.77","21.45","15.93","0.02"
"2015-01-08T23:00:00.000Z","0.50","209,540,000.00","48.27","0.53","0.50","0.48","0.03","0.50","0.50","0.50","","-56.12","0.50","0.89","1.05","-7.35","2,903,325.56","0.31","41.25","4.07","0.50","-0.06","0.01","-0.05","0","32.55","0.49","0.22","0.52","28.91","19.72","28.91","19.72","-38.88","-20.57","0.50","0.49","0.47","0.03","","","113.27","141.97","","0.62","48.27","45.87","-0.36","-0.31","-0.05","0.33","1.13","0.98","35.60","-35.60","19.71","0","40.00","29.59","-13.83","-1.04","-1.00","0.53","0.47","137,429,328.06","0","-1.38","0","-0.42","110.37","106.35","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.02","0.52","2,036,948,000.00","113.77","110.18","0.53","0.50","0.48","0","0.50","0.50","0.48","0.50","45.90","-0.01","0.50","25.48","0","0","0","0","0.48","0","0.64","0.52","0.49","-3,737,195.05","-4,115,998.42","378,803.37","0.56","0.50","0.44","30.91","0.50","0.50","0.50","0.47","0.55","26.96","0.53","0.01","0.52","0.50","0.47","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.14","0","-0.01","-1.00","0.53","0.48","0","-0.01","238,836.11","-1.22","-1.43","0","0.05","0.53","0.50","0.48","-1.02","0","-3.38","-34.54","41.63","","-26.97","2.21","-9.78","-0.22","-5.55","-5.56","9.58","0.53","0.50","0.48","43.73","1.18","-0.17","-0.02","0.01","0.51","0.54","0.46","-64.29","21.43","85.71","0.51","0.51","0.50","20.57","24.10","20.48","16.15","0.03"
"2015-01-11T23:00:00.000Z","0.49","190,732,000.00","44.84","0.53","0.50","0.48","0.02","0.50","0.50","0.50","","-68.88","0.50","0.85","1.04","-41.41","1,810,089.54","0.31","42.72","4.21","0.50","-0.07","0.01","-0.06","0","26.04","0.49","-0.87","0.52","38.27","27.67","38.27","27.67","-31.04","-22.48","0.50","0.49","0.47","0.03","","","96.73","157.82","","0.31","44.84","42.46","-0.30","-0.34","0.04","0.24","0.94","1.35","26.55","-26.55","2.79","0","40.00","27.10","-16.66","-4.03","-1.00","0.53","0.47","135,038,006.32","0","-3.57","0","-0.82","110.37","106.39","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.01","0.52","1,846,216,000.00","112.34","110.23","0.53","0.50","0.48","-0.01","0.50","0.50","0.48","0.50","33.96","-0.02","0.50","25.53","0","0","0","0","0.48","0","0.67","0.52","0.49","-7,306,515.69","-4,571,786.60","-2,734,729.09","0.56","0.50","0.44","29.79","0.50","0.50","0.50","0.47","0.55","27.21","0.53","0.01","0.52","0.49","0.47","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.14","0","-0.01","0","0.53","0.48","0","-0.01","34,420.40","-1.03","-1.22","0","0.05","0.53","0.50","0.48","-2.01","0","-4.45","-57.18","42.65","","-33.08","1.36","-0.17","-0.20","-5.54","-5.55","9.68","0.53","0.50","0.48","32.36","1.20","-0.23","-0.02","0.01","0.51","0.53","0.45","-64.29","14.29","78.57","0.51","0.51","0.50","19.05","24.58","19.92","15.28","0.02"
"2015-01-12T23:00:00.000Z","0.49","236,720,000.00","44.43","0.53","0.50","0.48","0.01","0.50","0.50","0.50","","-70.41","0.50","0.83","1.05","58.90","4,601,496.20","0.31","36.47","4.37","0.50","-0.10","0.02","-0.08","0","20.83","0.49","-0.34","0.52","34.86","34.01","34.86","34.01","-26.38","-23.19","0.51","0.49","0.48","0.02","","","107.72","165.10","","0.16","44.43","39.74","-0.27","-0.33","0.05","0.16","1.49","0.98","22.81","-22.81","0.46","0","40.00","25.45","-19.13","-7.16","-1.00","0.53","0.47","134,677,333.41","0","-5.39","0","-0.68","110.20","106.43","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.01","0.51","1,609,496,000.00","112.34","110.26","0.53","0.50","0.48","-0.01","0.50","0.50","0.48","0.50","36.27","-0.03","0.50","25.72","0","0","0","0","0.48","0","0.61","0.52","0.49","-1,377,086.77","-4,115,400.91","2,738,314.14","0.56","0.50","0.43","30.97","0.49","0.50","0.51","0.47","0.56","27.21","0.53","0.02","0.52","0.49","0.47","0.49","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.14","0","-0.01","0","0.53","0.48","0.01","-0.01","4,140.16","-0.78","-1.03","0","0.05","0.53","0.50","0.48","-1.77","-0.01","-5.77","-44.57","44.30","","-28.74","1.28","7.64","-0.17","-5.52","-5.54","9.66","0.53","0.50","0.48","30.69","1.11","-0.31","-0.02","0.01","0.51","0.53","0.45","-64.29","7.14","71.43","0.51","0.51","0.50","20.54","22.01","18.75","14.94","0.01"
"2015-01-13T23:00:00.000Z","0.49","155,260,000.00","45.85","0.52","0.50","0.48","0.01","0.50","0.50","0.50","","-60.00","0.50","0.77","1.16","42.08","237,823.40","0.34","41.86","4.48","0.50","-0.07","0.01","-0.09","0","16.66","0.49","0.26","0.52","33.57","35.57","33.57","35.57","-20.80","-22.75","0.51","0.49","0.48","0.02","","","101.77","156.65","","0.08","45.85","43.06","-0.28","-0.30","0.02","0.17","0.56","1.17","22.54","-22.54","5.94","0","45.00","23.45","-22.29","-10.47","-1.00","0.53","0.47","135,309,114.96","0","-4.41","0","-0.41","110.20","106.47","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.02","0.51","1,764,756,000.00","112.80","110.32","0.53","0.50","0.48","0","0.50","0.50","0.48","0.50","30.83","-0.02","0.50","25.73","0","0","0","0","0.48","0","0.51","0.51","0.49","-4,382,907.85","-4,153,616.19","-229,291.66","0.56","0.50","0.43","37.39","0.49","0.50","0.51","0.47","0.55","27.36","0.53","0.01","0.52","0.49","0.47","0.49","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.14","0.01","-0.01","0","0.53","0.48","0","-0.01","47,908.80","-0.69","-0.78","0","0.05","0.53","0.50","0.48","-1.05","-0.01","-6.62","-70.07","50.77","","-13.90","1.58","4.49","-0.09","-5.51","-5.52","9.52","0.52","0.50","0.48","34.17","1.09","-0.20","-0.01","0.01","0.51","0.53","0.45","-64.29","0","64.29","0.51","0.50","0.50","19.33","22.48","17.94","15.21","0.01"
"2015-01-14T23:00:00.000Z","0.49","188,932,000.00","43.75","0.52","0.50","0.48","0","0.50","0.50","0.50","","-67.90","0.50","0.81","1.07","313.93","-497,633.33","0.34","42.88","4.62","0.50","-0.11","0.01","-0.10","0","13.33","0.49","-0.28","0.52","33.90","34.11","33.90","34.11","-17.70","-21.83","0.51","0.49","0.48","0.02","7.19","9.10","108.09","160.89","1,562,482,640.00","0.04","43.75","40.79","-0.26","-0.28","0.02","0.11","1.50","0.82","13.37","-13.37","-9.91","0","45.00","22.79","-24.18","-13.71","-1.00","0.53","0.47","133,969,177.53","0","-4.72","0","-0.57","109.42","106.50","0.50","0.53","0.48","0.56","0.45","0.58","0.42","1.02","0.51","1,575,824,000.00","112.80","110.37","0.53","0.50","0.48","0","0.50","0.50","0.48","0.50","36.60","-0.02","0.50","25.69","0","0","0","0","0.48","0","0.44","0.51","0.49","268,736.27","-3,521,851.55","3,790,587.82","0.55","0.49","0.43","36.74","0.49","0.50","0.51","0.48","0.56","26.65","0.52","0.01","0.52","0.49","0.47","0.49","0.49","0.49","0.49","0.50","0.50","0.50","0.50","0.50","0.50","0.50","0.50","-1.21","0.01","0","1.00","0.51","0.48","0","-0.01","-53,400.90","-0.43","-0.69","0","0.05","0.53","0.50","0.48","-1.40","-0.01","-7.30","-59.33","52.82","7.66","-23.14","0.88","3.63","-0.09","-5.50","-5.51","9.21","0.52","0.50","0.48","25.38","1.07","-0.20","-0.01","0.01","0.51","0.53","0.45","-57.14","0","57.14","0.51","0.50","0.50","21.13","21.11","16.67","14.93","0"
