"Date","Close","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","30.12","391,547,000.00","52.14","32.16","29.72","27.28","12.18","29.45","29.45","29.45","28.90","-28.89","29.35","1.06","0.96","-34.56","-45,049,099.72","0.10","0.24","47.97","9.76","29.35","-0.01","1.30","-0.04","100.00","54.90","28,467,505,000.00","30.18","87.93","33.04","61.19","58.78","61.19","58.78","27.38","8.14","31.77","29.89","28.01","1.92","","","83.09","107.94","","7.93","52.14","41.57","0","0.02","-0.01","5.26","1.97","0.75","16.67","-16.67","6.42","0.03","40.00","374.45","-31.33","-5.70","1.00","31.00","29.00","545,298,007.42","0.06","6.96","0.06","0.58","108.51","","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.16","27.84","8,682,211,000.00","207.08","","30.92","29.45","27.97","0.75","29.72","29.45","21.17","29.45","42.00","1.96","29.33","24.53","0","0.06","0.09","-0.03","27.15","0.12","0.27","28.44","30.18","-30,503,124.04","-37,159,807.38","6,656,683.34","36.66","29.76","22.86","44.81","29.37","30.28","30.02","27.10","26.70","35.56","31.33","0.93","31.38","29.89","28.39","29.88","29.84","29.78","29.76","29.76","29.78","29.59","29.40","29.17","28.93","28.67","28.14","0.54","0.05","-0.11","0","31.33","27.15","0.94","0.01","22,887,664.92","1.07","0.93","0.05","5.30","32.45","29.80","27.15","2.55","1.37","-1.12","36.71","58.63","","43.91","-0.20","-9.39","-0.01","-5.46","-5.44","16.42","32.16","29.72","27.28","58.27","2.75","0.06","-0.41","1.44","32.54","33.69","26.55","35.71","71.43","35.71","29.56","29.61","29.72","27.32","19.52","18.71","2,334.82","12.18"
"2022-01-03T23:00:00.000Z","29.29","527,154,000.00","48.28","32.12","29.68","27.24","11.00","29.58","29.58","29.58","","-48.75","29.44","1.03","0.89","-20.97","-32,481,525.38","0.07","0.23","47.51","9.00","29.44","-0.01","2.12","-0.04","96.41","63.20","27,940,351,000.00","30.01","-100.73","33.04","58.84","58.78","58.84","58.78","20.72","10.43","31.62","29.68","27.74","1.84","","","82.81","103.45","","4.37","48.28","40.09","0.04","0.02","0.02","5.07","0.93","1.82","24.49","-24.49","-29.23","-0.16","40.00","379.76","-27.45","-13.21","1.00","31.00","23.00","530,754,511.52","0.06","3.36","0.02","-0.11","105.52","","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.13","27.98","8,155,057,000.00","207.08","","31.06","29.58","28.10","-0.15","29.68","29.58","21.25","29.58","42.72","0.95","29.44","24.48","0","0.02","0.08","-0.06","27.15","0.09","0.15","28.78","30.01","-39,506,833.77","-37,495,096.87","-2,011,736.91","36.95","29.68","22.40","41.81","29.84","30.28","30.04","27.10","25.82","39.31","31.33","2.12","31.44","29.94","28.45","29.58","29.65","29.67","29.68","29.69","29.72","29.57","29.39","29.18","28.94","28.69","28.18","0.54","0.23","-0.04","0","31.33","27.15","0.77","-1.35","-42,962,664.96","0.90","1.07","0.05","5.30","32.45","29.80","27.15","-0.51","0.83","1.49","-25.71","59.94","","4.35","-2.47","-2.73","-0.08","-5.50","-5.46","16.46","32.12","29.68","27.24","42.02","3.16","0","-0.65","1.49","32.54","33.41","25.17","35.71","64.29","28.57","29.51","29.74","29.78","24.54","24.43","17.39","2,234.09","11.00"
"2022-01-04T23:00:00.000Z","27.60","498,064,000.00","41.54","31.69","29.44","27.18","9.19","29.67","29.67","29.67","","-89.03","29.31","0.96","1.03","-28.67","-24,585,545.19","0.07","0.23","35.18","9.15","29.34","-0.06","1.88","-0.06","60.37","62.63","27,442,287,000.00","29.69","-214.93","32.89","44.44","54.83","44.44","54.83","-8.57","6.98","31.17","29.20","27.23","1.97","","","67.54","120.30","","2.19","41.54","37.84","0.02","0.02","0","3.30","0.56","1.39","46.38","-46.38","-57.18","-0.31","35.00","374.93","-33.21","-19.31","1.00","31.00","23.00","502,084,785.06","0.06","-9.37","-0.15","-1.11","105.52","","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.08","31.33","7,656,993,000.00","195.16","","31.15","29.67","28.18","-1.82","29.44","29.67","21.32","29.67","33.03","-2.85","29.39","24.51","0","-0.15","0.03","-0.18","27.15","0.07","0.08","28.72","29.69","-46,988,876.32","-38,851,351.07","-8,137,525.25","36.78","29.30","21.81","33.72","29.43","30.25","30.16","27.10","23.95","43.18","31.33","1.88","31.32","29.83","28.34","28.59","28.97","29.21","29.30","29.37","29.46","29.44","29.29","29.10","28.88","28.65","28.16","0.54","0.24","-0.01","1.00","30.71","27.15","0.01","-1.87","-156,787,472.02","0.35","0.90","-0.01","5.30","32.45","29.80","27.15","-5.58","-0.54","0.11","-104.79","58.46","","-28.48","-7.54","-0.46","-0.18","-5.54","-5.50","15.32","31.69","29.44","27.18","9.32","2.93","-0.11","-0.90","1.52","32.54","32.03","23.17","35.71","57.14","21.43","29.53","29.77","29.76","22.36","26.11","16.70","2,019.17","9.19"
"2022-01-05T23:00:00.000Z","28.18","454,186,000.00","44.39","31.29","29.26","27.22","10.30","29.74","29.74","29.74","","-73.90","29.24","0.92","1.13","-35.79","-21,619,298.08","0.07","0.24","42.62","8.58","29.24","-0.03","1.37","-0.08","39.90","58.09","27,896,473,000.00","29.29","24.73","32.12","29.44","44.24","29.44","44.24","-26.31","0.92","30.88","28.92","26.96","2.00","","","74.09","116.12","","1.10","44.39","41.81","-0.07","0.01","-0.08","2.38","0.48","1.25","57.45","-57.45","-27.95","-0.41","40.00","367.53","-41.39","-24.34","1.00","29.00","23.00","511,529,158.80","0.06","-0.74","-0.23","-0.71","105.52","","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.10","31.25","8,111,179,000.00","199.22","","31.22","29.74","28.25","-1.29","29.26","29.74","21.40","29.74","34.53","-0.21","29.25","24.50","0","-0.23","-0.02","-0.21","27.15","0.01","0","29.14","29.29","-52,755,288.74","-40,837,627.88","-11,917,660.85","36.52","29.10","21.67","36.04","29.20","30.18","30.22","27.10","24.27","44.30","31.33","1.37","31.12","29.64","28.16","28.39","28.71","28.98","29.10","29.19","29.30","29.36","29.23","29.06","28.85","28.63","28.16","0.54","0.20","-0.06","0","30.71","27.15","-0.79","-2.16","-97,146,048.34","-0.24","0.35","-0.04","5.15","32.29","29.72","27.15","-3.57","0.38","-0.19","-116.15","54.32","","-22.02","-3.96","-12.40","-0.15","-5.57","-5.54","13.89","31.29","29.26","27.22","23.47","2.95","-0.02","-1.29","1.51","32.08","32.55","23.81","-50.00","50.00","100.00","29.60","29.80","29.86","20.91","26.62","16.36","2,043.89","10.30"
"2022-01-06T23:00:00.000Z","27.25","409,939,000.00","40.91","31.22","29.09","26.97","9.13","29.79","29.79","29.79","","-95.55","29.20","0.94","1.01","-42.57","-22,578,616.76","0.09","0.24","39.21","8.24","29.20","-0.06","1.37","-0.12","20.49","50.57","27,486,534,000.00","28.58","-92.96","32.07","13.84","29.24","13.84","29.24","-47.43","-7.87","30.44","28.49","26.54","2.13","","","73.05","111.66","","0.55","40.91","38.55","-0.15","-0.04","-0.11","0.69","0.99","1.12","51.29","-51.29","-39.63","-0.39","40.00","361.19","-47.80","-29.24","1.00","29.00","23.00","497,984,793.85","0.06","-1.99","-0.37","-1.34","105.52","94.29","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.07","31.09","7,701,240,000.00","192.64","154.50","31.28","29.79","28.30","-2.07","29.09","29.79","21.47","29.79","36.35","-0.55","29.21","24.50","0","-0.37","-0.09","-0.28","27.07","-0.09","0.12","29.87","28.58","-56,942,202.90","-43,138,281.46","-13,803,921.44","36.12","28.76","21.40","36.76","29.19","29.77","31.02","27.10","26.50","45.80","31.33","1.37","30.84","29.37","27.90","27.82","28.22","28.60","28.76","28.89","29.04","29.22","29.12","28.97","28.78","28.58","28.13","0.55","0.10","-0.02","0","30.71","27.15","-0.52","-1.89","-137,789,914.14","-0.81","-0.24","-0.03","5.14","32.21","29.64","27.07","-6.63","-0.16","-1.75","-126.66","54.67","","-59.02","-4.90","-7.78","-0.14","-5.60","-5.57","14.63","31.22","29.09","26.97","6.60","2.90","-0.05","-1.56","1.50","32.08","31.56","22.93","-57.14","42.86","100.00","29.68","29.78","29.77","19.54","24.93","16.06","1,950.93","9.13"
"2022-01-09T23:00:00.000Z","27.40","594,681,000.00","41.72","31.14","28.95","26.77","10.88","29.84","29.84","29.84","","-69.12","29.15","0.90","1.01","28.76","-8,335,659.97","0.06","0.30","48.28","7.89","29.14","0","1.83","-0.15","12.47","42.95","26,891,853,000.00","27.92","26.53","31.05","20.48","21.25","20.48","21.25","-49.28","-15.40","29.92","27.94","25.97","2.20","","","66.04","106.44","","0.27","41.72","43.22","-0.20","-0.10","-0.09","0","0.30","2.04","65.21","-65.21","-28.73","-0.26","45.00","355.35","-53.58","-34.38","1.00","29.00","23.00","501,324,101.71","0.06","-1.15","-0.46","-1.17","106.11","94.34","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.07","30.84","8,295,921,000.00","192.64","154.87","31.33","29.84","28.35","-1.75","28.95","29.84","21.54","29.84","35.67","-0.32","29.13","24.50","0","-0.46","-0.16","-0.30","27.06","-0.19","0.49","30.59","27.92","-64,591,425.47","-46,203,016.32","-18,388,409.15","36.05","28.51","20.97","41.74","28.18","29.05","31.11","27.10","26.51","37.99","31.33","1.83","30.47","29.02","27.57","27.61","27.95","28.33","28.51","28.66","28.84","29.11","29.02","28.89","28.72","28.53","28.10","0.55","0.14","-0.33","0","30.71","27.15","-1.25","-3.08","-105,107,623.49","-1.33","-0.81","-0.04","4.27","31.33","29.19","27.06","-6.03","0.42","-3.21","-158.46","45.54","","-50.41","-1.88","5.89","-0.05","-5.60","-5.59","15.10","31.14","28.95","26.77","14.46","3.06","-0.05","-2.12","1.52","31.69","31.95","22.85","-64.29","35.71","100.00","29.70","29.84","29.51","17.87","29.43","16.66","1,977.46","10.88"
"2022-01-10T23:00:00.000Z","27.82","404,089,000.00","43.97","31.15","28.94","26.72","11.86","29.89","29.89","29.89","","-61.78","29.07","0.95","1.04","-22.94","-12,285,575.20","0.09","0.28","51.39","7.86","29.07","0.03","1.23","-0.18","8.80","36.12","26,487,764,000.00","27.56","40.38","31.05","24.52","19.61","24.52","19.61","-40.36","-19.94","29.60","27.65","25.70","2.30","","","73.12","98.23","","0.14","43.97","47.30","-0.20","-0.16","-0.04","-0.11","1.33","1.02","50.24","-50.24","-5.71","-0.17","50.00","353.33","-55.53","-38.76","1.00","29.00","23.00","507,473,920.74","0.06","-4.33","-0.49","-0.86","106.11","94.39","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.08","30.43","8,700,010,000.00","195.57","155.22","31.38","29.89","28.39","-1.18","28.94","29.89","21.62","29.89","34.20","-1.26","29.07","24.42","0","-0.49","-0.23","-0.26","25.64","-0.23","0.66","30.81","27.56","-50,011,940.22","-46,747,148.30","-3,264,791.91","35.78","28.39","20.99","49.07","28.18","29.05","30.99","27.10","24.51","39.77","31.33","1.23","30.08","28.65","27.22","27.71","27.90","28.22","28.39","28.53","28.71","29.02","28.96","28.84","28.68","28.50","28.09","0.66","0.06","-0.63","0","30.71","27.15","-0.53","-1.76","-66,020,100.28","-1.45","-1.33","-0.04","5.69","31.33","28.49","25.64","-4.31","1.32","-5.48","-92.02","44.54","","-37.07","0.93","1.88","0.03","-5.59","-5.60","15.32","31.15","28.94","26.72","24.73","2.82","-0.05","-2.34","1.50","31.69","32.19","23.45","-64.29","28.57","92.86","29.72","29.79","29.16","19.66","27.71","16.68","2,017.84","11.86"
"2022-01-11T23:00:00.000Z","28.00","383,413,000.00","44.97","31.16","28.92","26.68","12.25","29.93","29.93","29.93","","-58.58","28.99","0.93","1.03","-2.98","-16,889,599.09","0.07","0.28","49.62","7.88","29.00","0.02","0.99","-0.21","0","28.89","26,104,351,000.00","27.33","19.02","31.05","36.84","27.28","36.84","27.28","-29.69","-21.71","29.63","27.73","25.82","2.36","","","88.02","109.04","","0.07","44.97","50.80","-0.18","-0.19","0.01","-0.16","1.43","0.81","30.03","-30.03","5.87","-0.14","50.00","352.40","-56.25","-42.01","1.00","29.00","23.00","509,982,516.00","0.06","-4.77","-0.50","-0.69","106.11","94.44","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.08","30.05","9,083,423,000.00","196.85","155.58","31.43","29.93","28.43","-0.75","28.92","29.93","21.69","29.93","33.90","-1.40","29.01","24.31","0","-0.50","-0.28","-0.22","25.64","-0.25","0.74","30.86","27.33","-37,097,502.22","-45,368,627.43","8,271,125.21","35.47","28.32","21.16","46.72","28.18","29.05","30.27","27.10","23.64","40.39","31.33","0.99","29.74","28.32","26.91","27.86","27.94","28.17","28.32","28.45","28.62","28.96","28.90","28.80","28.65","28.48","28.09","0.66","0.10","-0.75","-1.00","30.71","25.64","0.09","-0.90","-46,619,858.37","-1.27","-1.45","-0.04","5.69","31.33","28.49","25.64","-3.35","2.00","-7.23","-57.99","44.29","","-28.04","2.38","-3.31","-0.01","-5.58","-5.59","15.49","31.16","28.92","26.68","29.43","2.92","-0.09","-2.31","1.46","31.69","32.09","23.91","-64.29","21.43","85.71","29.72","29.62","28.87","21.30","26.38","16.25","2,036.86","12.25"
"2022-01-12T23:00:00.000Z","26.58","540,171,000.00","39.10","31.07","28.73","26.38","10.35","29.93","29.93","29.93","","-83.63","28.80","0.83","1.06","57.47","-7,799,354.57","0.07","0.28","44.04","8.43","28.82","-0.03","1.98","-0.24","0","23.12","25,564,180,000.00","26.81","-175.93","31.05","32.00","31.12","32.00","31.12","-35.68","-24.25","29.36","27.41","25.46","2.62","","","71.07","131.64","","0.03","39.10","47.19","-0.17","-0.19","0.02","-1.00","1.22","2.12","19.77","-19.77","-30.24","-0.41","45.00","345.28","-62.59","-45.46","1.00","29.00","23.00","482,509,985.79","0.06","-10.34","-0.61","-1.47","100.71","94.45","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.04","29.69","8,543,252,000.00","196.85","155.94","31.43","29.93","28.44","-1.86","28.73","29.93","21.76","29.93","27.03","-3.06","28.85","24.38","0","-0.61","-0.35","-0.26","25.64","-0.30","0.84","30.99","26.81","-45,071,282.56","-45,326,149.59","254,867.03","35.43","28.00","20.57","33.79","28.18","28.97","30.33","27.10","23.39","45.81","31.33","1.98","29.42","28.02","26.62","27.22","27.48","27.81","28.00","28.16","28.36","28.80","28.78","28.69","28.56","28.41","28.04","0.66","0.37","-0.98","0","30.71","25.64","0.25","-1.73","-149,846,076.97","-1.18","-1.27","-0.07","5.69","31.33","28.49","25.64","-7.56","0.92","-10.43","-104.64","46.94","","-41.05","-0.89","6.86","-0.14","-5.59","-5.59","16.31","31.07","28.73","26.38","4.10","2.71","-0.14","-2.23","1.50","31.69","31.04","22.11","-64.29","14.29","78.57","29.76","29.39","28.41","19.29","29.17","16.55","1,860.93","10.35"
"2022-01-13T23:00:00.000Z","26.94","395,832,000.00","41.23","31.12","28.65","26.19","11.08","29.94","29.94","29.94","","-77.17","28.53","0.80","1.18","-1.95","-12,102,708.81","0.12","0.29","49.47","8.86","28.55","-0.01","0.99","-0.27","0","18.49","25,168,348,000.00","26.66","10.25","30.92","26.87","31.90","26.87","31.90","-40.45","-27.19","29.25","27.35","25.44","2.47","1.02","1.06","76.66","127.85","255,243,960.00","0.02","41.23","50.84","-0.17","-0.18","0.01","-1.52","0.52","1.15","27.23","-27.23","-13.70","-0.20","50.00","339.20","-68.36","-49.57","1.00","29.00","23.00","487,976,394.60","0.06","-12.94","-0.66","-1.08","100.71","94.47","29.95","32.75","26.61","36.09","23.80","38.90","20.46","1.05","29.37","8,939,084,000.00","199.57","156.31","31.44","29.94","28.44","-1.24","28.65","29.94","21.83","29.94","19.99","-4.00","28.59","24.36","0","-0.66","-0.41","-0.25","25.64","-0.28","0.82","30.54","26.66","-49,135,952.69","-45,870,407.18","-3,265,545.51","34.99","27.81","20.63","44.35","28.06","28.92","30.47","27.10","22.39","47.26","31.33","0.99","29.15","27.76","26.37","27.08","27.30","27.62","27.81","27.97","28.19","28.68","28.67","28.61","28.49","28.35","28.01","0.66","0.55","-0.96","1.00","28.59","25.64","-0.85","-1.84","-107,686,663.33","-1.34","-1.18","-0.10","5.69","31.33","28.49","25.64","-5.35","1.74","-13.24","-115.28","46.04","16.33","-48.42","1.04","5.00","-0.06","-5.58","-5.58","17.22","31.12","28.65","26.19","15.30","2.47","-0.16","-2.28","1.46","31.03","31.10","22.78","-64.29","7.14","71.43","29.73","29.18","28.22","18.36","29.17","16.99","1,871.18","11.08"
