"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2023-01-02T23:00:00.000Z","14.31","-2.05","-2.57","401,277,000","39.05","18.44","16.04","13.63","-10.81","15.36","15.36","15.36","14.87","-91.21","15.77","0.65","1.16","-12.26","-29,416,960.11","0.05","0.38","40.83","14.72","15.79","0","0.90","-0.08","0","18.25","-20,256,025,000.00","13.80","-26.54","16.36","12.77","10.01","12.77","10.01","-70.78","-55.66","15.30","14.34","13.38","2.56","","","57.00","95.23","","0.04","39.05","35.61","-0.27","-0.31","0.04","-5.11","1.93","1.73","27.60","-27.60","-10.00","-0.16","35.00","-132.51","-11.24","78.67","-1.00","17.00","13.00","-240,353,529.89","0.04","-18.36","-0.37","-1.96","110.08","","15.76","17.64","12.74","20.67","10.86","22.55","7.83","0.97","16.29","-3,835,657,000.00","43.17","","16.13","15.36","14.59","-1.07","16.04","15.36","16.97","15.36","23.46","-3.22","15.81","24.97","0","-0.37","-0.04","-0.33","13.88","-0.30","0.89","17.98","13.80","-43,435,187.61","-27,845,536.88","-15,589,650.73","18.71","15.04","11.37","37.46","15.26","16.34","15.23","13.91","22.34","54.79","18.79","0.90","15.73","14.98","14.23","14.44","14.58","14.87","15.04","15.19","15.36","15.55","15.51","15.47","15.42","15.39","15.34","0.60","0.02","-0.80","0","16.63","13.88","-0.26","-1.16","-78,417,645.94","-2.11","-2.34","-0.03","4.91","18.79","16.34","13.88","-9.05","-0.81","","","-26.71","-106.81","29.55","","-49.38","3.61","-0.56","-0.06","-5.64","-5.65","29.98","18.44","16.04","13.63","14.16","2.08","-0.15","-1.67","0.74","16.31","16.45","12.18","-71.43","7.14","78.57","16.27","16.30","15.49","25.52","30.06","19.47","-1,992.16","-10.81"
"2023-01-03T23:00:00.000Z","14.75","3.03","2.51","431,324,000","43.37","18.40","15.95","13.49","-10.30","15.41","15.41","15.41","","-80.20","15.52","0.57","1.29","-34.31","-24,659,561.16","0.05","0.39","46.88","15.37","15.53","0.03","0.61","-0.16","0","14.60","-19,824,701,000.00","13.88","28.20","16.36","14.49","12.71","14.49","12.71","-62.60","-56.93","15.41","14.46","13.51","2.24","","","63.60","89.91","","0.02","43.37","40.37","-0.23","-0.29","0.06","-4.95","0.84","1.59","11.38","-11.38","10.26","-0.18","40.00","-145.70","-28.95","57.70","-1.00","17.00","13.00","-227,276,713.40","0.04","-18.39","-0.38","-1.06","113.41","","15.76","17.64","12.74","20.67","10.86","22.55","7.83","0.99","16.00","-3,404,333,000.00","43.17","","16.18","15.41","14.64","-0.45","15.95","15.41","16.91","15.41","18.66","-3.32","15.55","25.02","0","-0.38","-0.10","-0.27","13.88","-0.25","0.81","17.38","13.88","-30,283,596.74","-28,193,831.15","-2,089,765.59","18.60","14.99","11.38","39.33","15.26","16.34","15.24","13.91","21.26","58.61","18.79","0.61","15.48","14.74","14.01","14.59","14.64","14.84","14.99","15.12","15.28","15.50","15.47","15.43","15.40","15.36","15.32","0.60","0.20","-0.80","0","16.63","13.88","-0.33","-0.94","-40,473,036.15","-1.89","-2.11","-0.04","4.91","18.79","16.34","13.88","-4.85","-0.55","","","-28.36","-85.31","31.61","","-31.87","5.91","-3.30","0","-5.61","-5.63","30.76","18.40","15.95","13.49","25.61","2.29","-0.10","-1.62","0.73","16.31","16.83","12.67","-71.43","0","71.43","16.28","16.08","15.29","23.99","28.26","18.66","-1,963.96","-10.30"
"2023-01-04T23:00:00.000Z","14.27","-3.28","-3.80","389,168,000","39.96","18.42","15.86","13.30","-10.79","15.44","15.44","15.44","","-88.91","15.28","0.56","1.25","-21.68","-24,014,105.45","0.09","0.39","43.08","15.93","15.28","0.01","0.60","-0.22","0","11.68","-19,435,533,000.00","13.87","-59.83","16.36","13.23","13.50","13.23","13.50","-62.46","-57.93","15.45","14.51","13.57","1.97","","","60.82","87.33","","0.01","39.96","37.66","-0.21","-0.25","0.05","-5.11","0.53","1.53","3.95","-3.95","-8.81","-0.12","40.00","-163.80","-50.53","35.38","-1.00","17.00","13.00","-240,047,547.09","0.04","-19.29","-0.42","-1.43","113.41","","15.76","17.64","12.74","20.67","10.86","22.55","7.83","0.97","15.75","-3,793,501,000.00","41.76","","16.21","15.44","14.67","-0.74","15.86","15.44","16.85","15.44","19.36","-3.41","15.30","25.06","0","-0.42","-0.17","-0.25","13.88","-0.21","0.76","16.86","13.87","-35,846,553.21","-29,287,077.16","-6,559,476.05","18.41","14.86","11.31","41.08","15.01","16.34","15.24","13.91","21.79","59.69","18.25","0.42","15.32","14.59","13.86","14.43","14.51","14.71","14.86","14.99","15.15","15.42","15.41","15.38","15.35","15.32","15.29","0.56","0.39","-0.72","-1.00","15.00","14.10","-0.49","-0.90","-61,599,319.70","-1.83","-1.89","-0.04","4.91","18.79","16.34","13.88","-6.51","-1.27","","","-29.86","-90.91","39.82","","-52.49","2.77","-9.30","0","-5.59","-5.61","32.27","18.42","15.86","13.30","18.85","2.27","-0.11","-1.50","0.72","16.31","16.29","12.24","-64.29","0","64.29","16.22","15.83","15.12","22.56","27.50","18.04","-2,023.79","-10.79"
"2023-01-05T23:00:00.000Z","14.86","4.16","3.64","405,044,000","45.61","18.39","15.80","13.20","-9.96","15.47","15.47","15.47","","-69.12","15.11","0.64","1.15","-15.36","-21,968,279.97","0.05","0.38","55.60","16.09","15.12","0.04","0.98","-0.27","0","9.35","-19,030,489,000.00","14.01","52.67","16.36","20.59","16.10","20.59","16.10","-52.49","-56.94","15.52","14.56","13.60","1.74","","","67.08","79.88","","0","45.61","40.22","-0.19","-0.22","0.03","-4.87","1.43","1.25","9.54","-9.54","27.31","-0.07","40.00","-177.42","-67.76","13.69","-1.00","17.00","13.00","-223,181,365.91","0.04","-12.35","-0.40","-0.34","118.14","","15.76","17.64","12.74","20.67","10.86","22.55","7.83","0.99","15.52","-3,388,457,000.00","41.76","","16.25","15.47","14.70","-0.03","15.80","15.47","16.79","15.47","26.88","-2.09","15.12","24.99","0","-0.40","-0.21","-0.18","13.88","-0.17","0.62","16.38","14.01","-23,812,317.61","-28,504,968.65","4,692,651.04","18.54","14.86","11.18","41.38","14.61","16.34","15.17","13.91","22.97","62.48","17.32","0.98","15.23","14.51","13.78","14.64","14.63","14.75","14.86","14.97","15.12","15.38","15.37","15.35","15.32","15.30","15.27","0.47","0.48","-0.66","0","15.00","14.10","-0.01","-0.99","-18,428,548.26","-1.60","-1.83","-0.03","4.91","18.79","16.34","13.88","-1.65","-0.87","","","-28.83","-65.41","43.04","","-13.00","5.72","-0.66","0","-5.52","-5.57","32.82","18.39","15.80","13.20","31.92","2.22","-0.06","-1.44","0.74","16.31","17.06","12.66","-57.14","0","57.14","16.14","15.66","15.00","24.74","24.91","16.77","-1,971.11","-9.96"
"2023-01-08T23:00:00.000Z","15.63","5.18","4.65","504,231,000","51.91","18.23","15.72","13.20","-9.19","15.53","15.53","15.53","","-36.42","15.04","0.77","1.01","5.44","-12,202,721.21","0.06","0.37","58.03","15.99","15.04","0.05","1.20","-0.29","8.51","9.18","-18,526,258,000.00","14.35","107.75","16.36","35.18","23.00","35.18","23.00","-25.67","-51.26","15.76","14.76","13.76","1.57","","","68.24","91.56","","5.98","51.91","43.07","-0.16","-0.20","0.04","-3.29","2.07","0.72","48.50","-48.50","60.75","0.09","40.00","-180.92","-75.49","-6.57","1.00","17.00","13.00","-197,085,823.78","0.04","-5.69","-0.32","0.74","124.25","102.91","15.76","17.64","12.74","20.67","10.86","22.55","7.83","1.04","13.88","-2,884,226,000.00","41.76","60.04","16.30","15.53","14.75","0.78","15.72","15.53","16.74","15.53","36.24","-0.94","15.04","25.01","0","-0.32","-0.23","-0.08","13.88","-0.11","0.30","15.84","14.35","-10,696,954.79","-25,960,966.67","15,264,011.88","18.91","15.00","11.09","36.49","14.97","16.34","15.42","13.91","22.76","58.91","17.04","0.91","15.25","14.53","13.80","15.14","14.96","14.94","15.00","15.07","15.18","15.40","15.39","15.37","15.34","15.31","15.28","0.44","0.51","-0.60","0","15.00","14.10","0.95","0.03","39,597,482.34","-0.87","-1.60","-0.01","4.91","18.79","16.34","13.88","3.90","-0.33","","","-25.82","-7.37","50.49","","9.75","8.17","7.43","-0.05","-5.46","-5.53","31.99","18.23","15.72","13.20","48.19","2.16","0","-1.20","0.77","16.31","18.11","13.15","-50.00","0","50.00","16.02","15.51","14.91","31.68","22.15","16.84","-1,863.36","-9.19"
"2023-01-09T23:00:00.000Z","15.91","1.80","1.28","384,101,000","54.00","18.11","15.66","13.22","-8.76","15.58","15.58","15.58","","-26.18","15.00","0.83","0.98","8.49","-13,995,600.00","0.10","0.37","58.74","15.80","15.00","0.08","0.49","-0.30","23.66","12.08","-18,142,157,000.00","14.75","32.94","16.36","56.10","37.29","56.10","37.29","7.23","-40.62","16.06","15.08","14.10","1.50","","","69.02","91.35","","52.99","54.00","46.49","-0.10","-0.17","0.07","-1.39","1.25","0.49","66.75","-66.75","53.04","0.13","45.00","-179.75","-79.60","-24.31","1.00","17.00","13.00","-190,179,474.15","0.04","-2.12","-0.23","1.18","124.25","103.02","15.76","17.64","12.74","20.67","10.86","22.55","7.83","1.05","13.93","-2,500,125,000.00","42.51","59.82","16.36","15.58","14.80","1.11","15.66","15.58","16.68","15.58","43.28","-0.34","14.99","25.03","0","-0.23","-0.23","0.01","13.88","-0.04","0.05","15.33","14.75","-1,325,064.82","-22,441,552.12","21,116,487.30","18.93","15.16","11.40","41.06","14.97","16.34","15.58","14.04","22.00","59.06","16.63","0.49","15.35","14.62","13.89","15.52","15.28","15.16","15.16","15.20","15.27","15.43","15.42","15.39","15.36","15.34","15.30","0.38","0.48","-0.59","-1.00","15.00","14.03","0.74","0.25","49,359,618.25","-0.15","-0.87","-0.01","4.91","18.79","16.34","13.88","5.94","-0.38","","","-20.57","7.42","50.58","","50.74","7.30","3.46","0.03","-5.41","-5.46","31.25","18.11","15.66","13.22","55.00","2.17","0.11","-0.97","0.75","16.31","18.19","13.63","-28.57","14.29","42.86","15.87","15.39","14.80","30.21","21.12","16.90","-1,830.42","-8.76"
"2023-01-10T23:00:00.000Z","16.00","0.58","0.06","353,285,000","54.70","17.89","15.59","13.29","-8.32","15.63","15.63","15.63","","-22.82","14.99","0.86","0.94","-12.39","-17,699,039.51","0.07","0.40","59.15","15.54","14.98","0.11","0.47","-0.28","41.95","18.05","-17,788,872,000.00","15.15","16.70","16.36","71.53","54.27","71.53","54.27","36.89","-26.53","16.28","15.33","14.38","1.49","","","74.51","90.96","","76.50","54.70","50.14","0","-0.12","0.12","0.20","1.30","0.81","69.21","-69.21","41.00","0.12","45.00","-171.10","-76.69","-38.72","1.00","17.00","13.00","-188,136,486.85","0.04","-0.52","-0.15","1.38","124.25","103.13","15.76","17.64","12.74","20.67","10.86","22.55","7.83","1.04","13.97","-2,146,840,000.00","42.75","59.62","16.41","15.63","14.84","1.14","15.59","15.63","16.62","15.63","50.42","-0.08","14.97","25.02","0","-0.15","-0.21","0.07","13.88","0.02","0.01","14.85","15.15","6,538,065.89","-18,301,606.69","24,839,672.58","18.94","15.32","11.69","38.01","15.05","16.34","15.64","14.04","21.39","42.11","16.63","0.47","15.52","14.79","14.05","15.76","15.52","15.34","15.32","15.32","15.36","15.47","15.45","15.42","15.39","15.36","15.33","0.38","0.48","-0.54","1.00","16.06","14.03","0.69","0.23","46,951,370.76","0.50","-0.15","0","4.91","18.79","16.34","13.88","6.60","-0.64","","","-15.15","18.50","50.61","","55.65","5.30","0.36","0.01","-5.39","-5.42","29.51","17.89","15.59","13.29","58.99","2.11","0.13","-0.73","0.73","16.31","18.10","13.90","-28.57","7.14","35.71","15.76","15.28","14.74","29.48","20.16","17.03","-1,813.72","-8.32"
"2023-01-11T23:00:00.000Z","16.51","3.19","2.67","551,409,000","58.45","17.56","15.51","13.46","-7.30","15.69","15.69","15.69","","-4.58","14.98","0.84","0.92","69.65","-4,594,132.69","0.13","0.39","66.75","15.37","14.97","0.15","1.14","-0.25","66.56","27.75","-17,237,463,000.00","15.75","40.55","13.74","82.14","69.92","82.14","69.92","59.17","-10.95","16.77","15.78","14.79","1.49","","","78.79","80.53","","88.25","58.45","53.97","0.11","-0.04","0.16","1.82","2.31","1.15","66.54","-66.54","44.53","0.14","45.00","-158.52","-71.08","-50.17","1.00","17.00","13.00","-170,561,414.93","0.04","0.06","-0.04","1.94","128.21","103.25","15.76","17.64","12.74","20.67","10.86","22.55","7.83","1.07","14.01","-1,595,431,000.00","42.75","59.41","16.47","15.69","14.90","1.54","15.51","15.69","16.56","15.69","52.47","0.01","14.95","25.11","0","-0.04","-0.18","0.14","13.88","0.11","0.38","14.16","15.75","17,919,267.25","-13,127,196.13","31,046,463.38","19.37","15.53","11.70","44.64","15.34","16.34","15.65","14.04","20.66","41.73","16.63","1.14","15.76","15.00","14.25","16.14","15.85","15.60","15.53","15.51","15.51","15.54","15.51","15.47","15.44","15.41","15.37","0.38","0.49","-0.25","0","16.06","14.03","1.13","-0.01","80,418,134.39","1.08","0.50","0","4.91","18.79","16.34","13.88","9.99","-0.46","","","-8.10","54.50","52.60","","54.92","4.59","6.76","0.09","-5.37","-5.39","26.43","17.56","15.51","13.46","74.43","2.12","0.10","-0.40","0.76","16.31","18.88","14.14","71.43","100.00","28.57","15.66","15.17","14.91","32.03","17.99","17.82","-1,773.17","-7.30"
"2023-01-12T23:00:00.000Z","16.90","2.35","1.83","447,287,000","61.10","17.38","15.47","13.56","-6.57","15.75","15.75","15.75","","-0.76","15.07","1.05","0.87","-20.84","-2,580,429.25","0.06","0.39","70.28","14.82","15.06","0.19","0.76","-0.20","82.22","38.65","-16,790,176,000.00","16.28","38.30","14.23","90.61","81.43","90.61","81.43","75.63","4.79","17.18","16.19","15.20","1.78","1.55","1.61","86.92","71.04","381,383,290.00","94.12","61.10","58.06","0.20","0.05","0.15","3.26","1.51","0.41","62.95","-62.95","39.03","0.28","50.00","-146.22","-66.11","-58.60","1.00","17.00","13.00","-160,050,387.26","0.04","10.17","0.07","2.30","128.21","103.37","15.76","17.64","12.74","20.67","10.86","22.55","7.83","1.09","14.12","-1,148,144,000.00","43.76","59.21","16.54","15.75","14.97","1.70","15.47","15.75","16.50","15.75","61.90","1.56","15.02","25.22","0","0.07","-0.13","0.20","13.88","0.18","0.66","13.78","16.28","25,999,114.07","-7,537,723.24","33,536,837.31","19.61","15.78","11.95","51.76","15.48","16.34","15.75","14.04","20.75","40.12","16.64","0.76","16.05","15.28","14.52","16.52","16.20","15.89","15.78","15.72","15.68","15.62","15.59","15.54","15.50","15.47","15.42","0.38","0.49","-0.01","0","16.06","14.03","1.22","0.46","93,722,340.11","1.59","1.08","0.02","4.37","18.25","16.07","13.88","11.75","-0.46","","","0.51","98.79","45.78","-0.43","59.34","3.64","1.30","0.17","-5.34","-5.37","24.68","17.38","15.47","13.56","87.41","2.12","0.20","-0.01","0.76","14.24","19.25","14.55","78.57","100.00","21.43","15.57","15.08","15.08","32.43","16.71","18.83","-1,734.86","-6.57"
"2023-01-16T23:00:00.000Z","17.70","4.75","4.23","511,102,000","65.92","17.56","15.51","13.46","-5.76","15.84","15.84","15.84","","-0.68","15.24","1.12","0.73","46.31","4,117,320.50","0.09","0.37","76.23","14.21","15.22","0.23","0.83","-0.13","97.03","50.32","-16,279,074,000.00","16.96","114.53","14.97","98.00","90.25","98.00","90.25","86.52","19.65","17.60","16.60","15.61","2.22","","","96.47","68.43","","97.06","65.92","62.45","0.27","0.15","0.12","6.18","2.06","0.03","54.93","-54.93","41.22","0.36","55.00","-125.35","-52.96","-63.24","1.00","19.00","13.00","-135,764,059.99","0.04","16.41","0.23","3.08","134.30","103.51","15.76","17.64","12.74","20.67","10.86","22.55","7.83","1.15","14.29","-637,042,000.00","43.76","59.02","16.63","15.84","15.05","2.20","15.51","15.84","16.45","15.84","69.33","2.50","15.18","25.18","0","0.23","-0.06","0.28","13.88","0.26","0.86","13.39","16.96","34,659,583.74","-1,509,536.53","36,169,120.27","19.99","16.13","12.27","58.35","15.88","16.34","15.75","14.04","23.66","41.99","16.92","0.83","16.41","15.63","14.84","17.11","16.70","16.29","16.13","16.03","15.93","15.76","15.70","15.65","15.60","15.55","15.49","0.42","0.34","-0.07","0","16.06","14.03","1.74","0.91","138,964,098.47","2.07","1.59","0.03","3.44","17.32","15.60","13.88","15.69","-0.05","","","9.23","155.98","38.23","","77.77","4.19","-1.27","0.23","-5.31","-5.34","26.41","17.56","15.51","13.46","103.55","2.11","0.27","0.31","0.77","14.63","20.08","15.33","85.71","100.00","14.29","15.49","15.15","15.22","37.44","15.42","20.46","-1,620.34","-5.76"
