"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2016-01-03T23:00:00.000Z","14.89","-6.92","-6.91","102,406,500","44.97","16.08","15.28","14.48","2.26","14.91","14.91","14.91","15.76","-70.31","15.37","1.06","0.86","108.86","1,707,736.46","0.26","44.29","3.63","15.37","-0.06","1.40","0.15","82.56","83.95","-1,418,656,500.00","15.67","-163.12","14.71","65.95","78.14","65.95","78.14","21.18","32.28","16.27","15.57","14.87","0.80","","","108.00","96.46","","49.89","44.97","50.95","0.03","0.04","-0.01","0.50","0.67","4.56","33.71","-33.71","-64.26","-0.06","50.00","-35.16","33.34","36.63","-1.00","17.00","13.00","-13,386,032.56","0.07","2.94","0.14","-0.83","79.32","","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.95","16.24","-691,107,000.00","134.07","","15.66","14.91","14.16","-0.60","15.28","14.91","15.80","14.91","53.98","0.43","15.37","24.82","0.01","0.14","0.14","0","14.32","0.05","0.22","15.03","15.67","793,333.12","1,466,460.41","-673,127.30","18.22","15.44","12.67","46.84","15.42","15.28","14.48","15.79","9.58","41.12","16.24","0.83","16.26","15.49","14.71","15.38","15.46","15.46","15.44","15.42","15.39","15.26","15.24","15.23","15.24","15.25","15.29","0.25","0.16","-0.12","1.00","16.24","15.04","0.02","-0.81","-12,613,911.16","1.33","2.17","0.04","1.92","16.24","15.28","14.32","-3.12","0.17","","6.07","-69.12","50.74","","-20.08","-5.24","3.64","-0.04","-5.49","-5.48","10.46","16.08","15.28","14.48","25.59","1.22","-0.01","0.47","0.54","14.53","16.80","12.99","78.57","85.71","7.14","15.09","15.25","15.37","21.73","29.51","16.51","132.39","2.26"
"2016-01-04T23:00:00.000Z","14.90","0.01","0.02","47,802,000","44.99","16.08","15.26","14.44","2.49","14.93","14.93","14.93","","-78.81","15.40","1.08","0.85","12.72","1,571,514.01","0.27","45.24","3.49","15.40","-0.06","0.46","0.14","68.51","80.86","-1,466,458,500.00","15.44","-8.71","14.71","46.10","66.87","46.10","66.87","-9.61","24.67","16.19","15.50","14.80","0.72","","","91.85","105.52","","24.95","44.99","54.45","-0.06","0.03","-0.09","-0.80","0.41","1.26","74.27","-74.27","-53.86","-0.04","55.00","-38.76","31.16","35.73","-1.00","17.00","13.00","-13,381,753.56","0.07","2.22","0.09","-0.89","79.32","","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.95","16.23","-643,305,000.00","134.08","","15.67","14.93","14.18","-0.54","15.26","14.93","15.81","14.93","53.43","0.32","15.40","24.89","0.01","0.09","0.13","-0.04","14.32","0.01","0","15.35","15.44","-201,217.19","1,228,220.75","-1,429,437.94","18.07","15.34","12.62","46.23","15.42","15.28","14.59","15.79","10.03","40.92","16.24","0.46","16.28","15.50","14.73","15.14","15.27","15.34","15.34","15.34","15.33","15.23","15.22","15.22","15.22","15.24","15.27","0.25","0.13","-0.24","0","16.24","15.04","-0.21","-0.67","-10,802,819.37","0.50","1.33","0.05","1.92","16.24","15.28","14.32","-3.26","0.29","","4.96","-76.35","55.39","","-27.64","-3.64","4.27","-0.04","-5.51","-5.49","10.70","16.08","15.26","14.44","27.59","1.51","-0.06","0.37","0.53","14.53","16.70","13.09","78.57","78.57","0","15.12","15.25","15.49","20.39","27.70","16.42","123.68","2.49"
"2016-01-05T23:00:00.000Z","14.60","-1.96","-1.95","56,686,500","41.52","16.08","15.22","14.36","2.19","14.94","14.94","14.94","","-88.93","15.39","0.99","0.90","68.38","2,155,613.07","0.26","43.98","3.79","15.39","-0.07","0.50","0.12","52.36","75.16","-1,523,145,000.00","15.14","-42.86","16.21","20.65","44.23","20.65","44.23","-36.14","13.61","15.94","15.25","14.57","0.76","","","81.24","107.85","","12.47","41.52","49.83","-0.12","-0.02","-0.11","-2.33","0.07","1.58","65.20","-65.20","-52.01","-0.03","50.00","-46.27","25.46","34.31","-1.00","17.00","13.00","-14,495,541.05","0.07","-0.93","0.02","-1.41","77.76","","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.95","16.20","-699,991,500.00","134.08","","15.69","14.94","14.19","-0.75","15.22","14.94","15.81","14.94","46.50","-0.14","15.39","24.92","0","0.02","0.11","-0.08","14.53","-0.04","0.16","15.67","15.14","-1,295,417.58","867,700.99","-2,163,118.57","17.91","15.21","12.51","42.60","15.32","15.28","14.61","15.79","10.07","41.07","16.24","0.27","16.26","15.49","14.71","14.87","15.05","15.17","15.21","15.23","15.24","15.19","15.19","15.19","15.20","15.21","15.25","0.20","0.15","-0.31","0","16.24","15.04","-0.56","-0.83","-11,629,593.16","-0.23","0.50","0.02","1.92","16.24","15.28","14.32","-5.10","0.12","","3.17","-125.38","53.61","","-31.34","-3.67","0.69","-0.01","-5.53","-5.51","11.32","16.08","15.22","14.36","14.12","1.54","-0.06","0.15","0.53","14.53","16.34","12.86","-28.57","71.43","100.00","15.14","15.29","15.60","19.03","29.45","16.78","80.82","2.19"
"2016-01-06T23:00:00.000Z","14.38","-1.55","-1.54","53,314,500","39.02","16.12","15.18","14.25","1.97","14.94","14.94","14.94","","-93.39","15.31","0.93","1.02","-30.37","2,319,683.70","0.29","40.55","4.65","15.32","-0.08","0.36","0.09","40.71","68.27","-1,576,459,500.00","14.91","-19.55","15.99","12.95","26.57","12.95","26.57","-56.55","0.86","15.63","14.95","14.28","0.91","","","75.72","105.43","","6.24","39.02","44.92","-0.14","-0.08","-0.06","-3.52","0.33","1.46","69.34","-69.34","-44.88","-0.02","50.00","-53.31","20.50","32.51","-1.00","17.00","13.00","-15,320,668.96","0.07","-8.04","-0.05","-1.74","77.76","","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.96","16.13","-753,306,000.00","132.01","","15.69","14.94","14.19","-0.89","15.18","14.94","15.82","14.94","35.88","-1.26","15.33","24.89","0.01","-0.05","0.08","-0.12","14.40","-0.06","0.27","15.74","14.91","-2,215,345.86","427,265.73","-2,642,611.59","17.67","15.06","12.45","44.45","15.24","15.24","14.74","15.79","10.34","41.26","16.24","0.32","16.18","15.41","14.64","14.62","14.82","15.00","15.06","15.10","15.13","15.14","15.14","15.15","15.16","15.18","15.22","0.23","0.22","-0.11","0","16.24","15.04","-0.55","-0.87","-11,689,518.14","-0.85","-0.23","-0.03","1.92","16.24","15.28","14.32","-6.02","0.08","","-0.25","-134.45","47.53","","-37.02","-3.74","-9.49","-0.02","-5.56","-5.53","12.34","16.12","15.18","14.25","6.90","1.38","-0.10","-0.17","0.52","14.53","15.98","12.77","-35.71","64.29","100.00","15.16","15.38","15.48","18.09","30.12","17.37","61.27","1.97"
"2016-01-07T23:00:00.000Z","14.07","-2.16","-2.15","54,421,500","35.82","16.19","15.14","14.09","1.34","14.94","14.94","14.94","","-99.30","15.22","0.82","1.03","9.99","2,510,101.61","0.31","31.54","5.65","15.23","-0.12","0.64","0.05","24.68","59.55","-1,630,881,000.00","14.64","-25.01","15.99","6.13","13.24","6.13","13.24","-73.20","-12.61","15.25","14.57","13.88","1.09","","","68.93","123.89","","3.12","35.82","39.83","-0.12","-0.12","-0.01","-4.28","1.26","1.59","64.93","-64.93","-40.02","-0.05","50.00","-66.28","10.04","29.87","-1.00","17.00","13.00","-16,494,145.95","0.07","-9.59","-0.12","-2.07","76.08","94.59","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.95","16.01","-807,727,500.00","132.01","116.74","15.69","14.94","14.19","-1.08","15.14","14.94","15.82","14.94","27.56","-1.49","15.24","24.93","0.01","-0.12","0.04","-0.16","14.24","-0.09","0.40","15.83","14.64","-3,070,929.95","-72,476.51","-2,998,453.44","17.55","14.88","12.21","41.40","15.15","15.15","14.87","15.79","11.25","41.76","16.24","0.64","16.01","15.25","14.49","14.34","14.57","14.79","14.88","14.94","15.00","15.07","15.08","15.09","15.11","15.13","15.18","0.26","0.30","-0.10","0","16.24","15.04","-0.26","-0.91","-12,429,685.24","-1.40","-0.85","-0.06","2.00","16.24","15.24","14.24","-7.40","-0.05","","-3.87","-136.64","44.64","","-46.90","-4.04","-7.64","-0.09","-5.59","-5.56","13.91","16.19","15.14","14.09","-0.90","1.40","-0.15","-0.51","0.53","15.94","15.74","12.40","-42.86","57.14","100.00","15.17","15.46","15.37","16.51","30.11","18.21","36.26","1.34"
"2016-01-10T23:00:00.000Z","13.86","-1.49","-1.48","61,371,000","33.81","16.27","15.07","13.88","0.90","14.93","14.93","14.93","","-88.06","15.11","0.76","1.07","35.74","3,185,060.35","0.38","33.37","6.64","15.11","-0.12","0.76","0","11.55","49.95","-1,692,252,000.00","14.32","-32.19","15.65","6.42","8.50","6.42","8.50","-77.53","-24.41","15.06","14.36","13.65","1.28","","","69.51","117.88","","1.56","33.81","34.92","-0.13","-0.13","0","-5.22","0.38","1.80","58.43","-58.43","-32.98","-0.16","45.00","-77.59","1.50","26.26","-1.00","17.00","13.00","-17,410,348.25","0.07","-9.81","-0.20","-2.14","74.95","94.49","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.93","15.86","-869,098,500.00","132.01","116.87","15.68","14.93","14.19","-1.17","15.07","14.93","15.83","14.93","27.11","-1.51","15.13","25.04","0.01","-0.20","-0.01","-0.19","14.05","-0.12","0.55","15.97","14.32","-3,991,463.69","-632,331.82","-3,359,131.87","17.48","14.69","11.91","35.95","14.89","14.89","14.91","15.79","11.12","41.33","16.24","0.76","15.78","15.03","14.28","14.10","14.33","14.58","14.69","14.77","14.85","14.99","15.01","15.03","15.06","15.08","15.14","0.30","0.21","-0.21","0","16.24","15.04","-0.51","-1.27","-12,495,146.26","-1.89","-1.40","-0.09","2.19","16.24","15.15","14.05","-8.13","-0.09","","-7.44","-160.94","38.28","","-48.77","-3.32","7.22","-0.11","-5.62","-5.59","15.82","16.27","15.07","13.88","-1.08","1.36","-0.16","-0.70","0.54","15.65","15.65","12.06","-50.00","50.00","100.00","15.20","15.41","15.20","14.85","33.90","19.70","4.07","0.90"
"2016-01-11T23:00:00.000Z","14.00","1.02","1.03","46,378,500","36.40","16.31","15.05","13.80","1.21","14.93","14.93","14.93","","-82.85","15.00","0.78","1.08","58.30","2,481,594.29","0.40","35.06","7.43","15.00","-0.11","0.56","-0.05","0","39.96","-1,738,630,500.00","14.10","-0.93","15.65","9.93","7.49","9.93","7.49","-74.96","-33.60","14.89","14.18","13.47","1.37","","","69.56","114.11","","0.78","36.40","42.97","-0.15","-0.13","-0.02","-5.48","0.94","1.50","45.77","-45.77","-15.81","-0.19","50.00","-86.30","-4.50","21.72","-1.00","17.00","13.00","-16,937,302.34","0.07","-9.71","-0.25","-1.71","74.95","94.39","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.94","15.62","-822,720,000.00","133.35","117.00","15.68","14.93","14.19","-0.92","15.05","14.93","15.84","14.93","28.57","-1.51","15.02","25.18","0.01","-0.25","-0.06","-0.19","13.53","-0.13","0.63","15.99","14.10","-2,511,334.23","-900,760.74","-1,610,573.49","17.35","14.57","11.78","39.57","14.89","14.89","14.91","15.63","11.11","42.47","16.24","0.56","15.54","14.80","14.06","14.05","14.22","14.45","14.57","14.65","14.75","14.93","14.96","14.98","15.01","15.04","15.10","0.38","0.08","-0.30","1.00","14.70","15.04","-0.44","-1.00","-9,773,719.73","-2.28","-1.89","-0.09","2.71","16.24","14.89","13.53","-6.53","0.18","","-10.48","-135.18","39.31","","-73.29","-0.72","9.20","-0.05","-5.64","-5.62","16.69","16.31","15.05","13.80","8.07","1.21","-0.19","-0.87","0.55","15.47","15.77","12.22","-50.00","42.86","92.86","15.26","15.34","15.04","13.76","31.40","21.08","3.15","1.21"
"2016-01-12T23:00:00.000Z","13.35","-4.60","-4.59","61,896,000","30.53","16.44","14.99","13.54","0.39","14.92","14.92","14.92","","-99.29","14.86","0.76","1.09","110.37","3,140,028.64","0.41","33.08","8.63","14.87","-0.16","0.84","-0.11","0","31.97","-1,800,526,500.00","13.73","-81.02","15.59","9.93","8.76","9.93","8.76","-81.22","-42.26","14.66","13.93","13.20","1.59","","","68.42","128.61","","0.39","30.53","37.68","-0.22","-0.15","-0.07","-6.69","0.87","1.63","35.77","-35.77","-28.90","-0.30","45.00","-101.28","-17.11","15.47","-1.00","17.00","13.00","-19,784,925.35","0.07","-12.89","-0.33","-2.44","71.50","94.28","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.92","15.41","-884,616,000.00","133.35","117.13","15.67","14.92","14.18","-1.40","14.99","14.92","15.84","14.92","27.46","-1.98","14.89","25.32","0.01","-0.33","-0.11","-0.22","13.53","-0.17","0.74","16.11","13.73","-3,480,667.38","-1,269,318.83","-2,211,348.55","17.28","14.35","11.41","32.64","14.78","14.79","14.93","15.63","11.85","38.95","16.24","0.84","15.27","14.54","13.81","13.70","13.93","14.21","14.35","14.45","14.57","14.83","14.87","14.90","14.94","14.98","15.05","0.38","0.08","-0.33","0","14.70","15.04","-0.32","-1.16","-14,071,906.52","-2.69","-2.28","-0.11","2.71","16.24","14.89","13.53","-9.98","-0.32","","-14.41","-158.96","38.45","","-82.31","-2.83","9.65","-0.13","-5.65","-5.64","19.30","16.44","14.99","13.54","-6.56","1.33","-0.20","-1.00","0.57","15.47","15.28","11.43","-64.29","35.71","100.00","15.32","15.24","14.91","12.29","32.52","22.80","-77.88","0.39"
"2016-01-13T23:00:00.000Z","13.75","2.93","2.94","97,360,500","37.16","16.48","14.94","13.40","1.24","14.91","14.91","14.91","","-74.53","14.74","0.74","1.08","317.41","6,449,189.13","0.45","40.19","9.40","14.74","-0.10","1.11","-0.17","0","25.58","-1,897,887,000.00","13.52","16.29","15.50","14.45","11.44","14.45","11.44","-72.82","-47.82","14.58","13.80","13.02","1.65","","","70.64","116.93","","0.19","37.16","44.25","-0.28","-0.19","-0.09","-6.84","0.79","1.70","31.07","-31.07","-6.95","-0.21","45.00","-114.12","-28.46","7.99","-1.00","17.00","11.00","-16,931,822.17","0.07","-10.24","-0.37","-1.45","73.59","94.18","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.93","15.16","-787,255,500.00","133.35","117.26","15.66","14.91","14.17","-0.88","14.94","14.91","15.85","14.91","25.06","-1.57","14.75","25.63","0.01","-0.37","-0.16","-0.20","13.33","-0.18","0.81","16.11","13.52","-5,114,819.42","-1,818,676.06","-3,296,143.37","17.43","14.24","11.04","36.31","14.16","14.57","14.93","15.63","11.81","43.83","16.24","1.11","15.01","14.30","13.58","13.72","13.87","14.11","14.24","14.34","14.47","14.76","14.80","14.85","14.89","14.93","15.00","0.40","0.16","-0.43","0","14.70","15.04","-0.39","-1.50","-6,618,728.43","-3.10","-2.69","-0.12","2.91","16.24","14.79","13.33","-6.63","0.22","","-17.25","-144.90","36.50","","-67.86","1.63","16.84","-0.08","-5.63","-5.64","20.65","16.48","14.94","13.40","11.26","1.38","-0.15","-1.16","0.61","15.02","15.95","11.54","-71.43","28.57","100.00","15.30","15.14","14.71","10.69","33.48","24.86","-61.58","1.24"
"2016-01-14T23:00:00.000Z","13.67","-0.58","-0.57","83,679,000","36.40","16.45","14.84","13.24","1.16","14.91","14.91","14.91","","-76.90","14.61","0.77","1.09","687.94","7,876,939.50","0.45","44.29","10.17","14.61","-0.04","0.60","-0.22","0","20.46","-1,981,566,000.00","13.34","17.87","15.42","16.43","13.60","16.43","13.60","-63.18","-50.61","14.50","13.72","12.94","1.70","22.15","32.67","70.47","108.59","436,632,690.00","0.10","36.40","41.01","-0.32","-0.25","-0.07","-7.01","0.70","1.39","34.60","-34.60","-9.86","-0.13","40.00","-130.05","-43.23","-0.51","-1.00","17.00","13.00","-17,414,782.60","0.07","-11.09","-0.39","-1.41","73.59","94.09","15.52","16.72","14.80","17.44","13.61","18.64","12.89","0.95","14.85","-870,934,500.00","132.58","117.39","15.65","14.91","14.16","-0.78","14.84","14.91","15.85","14.91","23.03","-1.71","14.61","25.82","0.01","-0.39","-0.21","-0.18","12.89","-0.19","0.85","16.05","13.34","-6,296,950.37","-2,458,429.53","-3,838,520.84","17.30","14.13","10.96","30.74","14.01","14.57","15.06","15.63","11.93","42.53","16.24","0.52","14.80","14.09","13.39","13.69","13.80","14.01","14.13","14.24","14.37","14.69","14.74","14.79","14.83","14.88","14.96","0.46","0.22","-0.48","0","14.70","15.04","-0.62","-1.14","-6,621,546.06","-3.51","-3.10","-0.11","3.35","16.24","14.57","12.89","-6.40","0.27","","-19.70","-127.53","38.00","5.18","-53.48","2.37","14.52","-0.07","-5.59","-5.63","21.61","16.45","14.84","13.24","13.32","1.11","-0.10","-1.30","0.60","15.02","15.79","11.55","-71.43","21.43","92.86","15.27","15.04","14.56","9.93","31.13","26.77","-43.71","1.16"
