"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2018-01-01T23:00:00.000Z","21.37","2.95","2.88","65,283,000","48.99","23.21","21.57","19.93","7.88","21.25","21.25","21.25","22.40","-71.00","21.89","0.97","1.05","-45.17","-7,977,366.73","0.11","0.34","45.29","5.45","21.90","-0.01","0.74","0.09","7.03","48.72","1,354,507,500.00","20.81","71.27","22.46","16.38","13.99","16.38","13.99","-64.48","-19.45","21.78","21.02","20.25","1.45","","","99.53","86.20","","3.12","48.99","40.00","-0.39","-0.31","-0.08","-2.67","1.89","1.53","35.33","-35.33","12.75","-0.08","40.00","23.79","40.60","45.33","1.00","23.00","19.00","25,392,923.90","0.08","-2.55","-0.04","-0.90","111.94","","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.90","22.75","1,884,916,500.00","131.96","","22.31","21.25","20.18","-0.37","21.57","21.25","22.05","21.25","61.51","-0.56","21.91","24.35","0.01","-0.04","0.08","-0.12","20.64","-0.16","0.83","23.10","20.81","1,001,763.85","2,824,611.37","-1,822,847.52","24.22","21.38","18.54","54.83","21.70","21.58","21.36","22.74","21.02","26.63","23.16","0.74","22.55","21.47","20.40","21.15","21.19","21.32","21.38","21.42","21.44","21.47","21.50","21.54","21.58","21.62","21.71","0.35","0.26","-0.14","-1.00","23.16","20.64","0.04","-0.70","427,988.93","-1.71","-1.47","-0.01","3.16","23.16","21.58","20.00","-2.31","-0.20","","-0.27","-33.01","43.69","","-37.05","2.63","-2.87","0.04","-5.57","-5.58","15.22","23.21","21.57","19.93","43.88","2.92","-0.19","-0.22","0.58","22.54","23.02","19.72","-64.29","21.43","85.71","21.60","21.86","21.72","22.55","24.83","18.47","734.10","7.88"
"2018-01-02T23:00:00.000Z","21.15","-1.02","-1.09","67,822,500","46.76","23.17","21.61","20.05","7.34","21.21","21.21","21.21","","-79.66","21.80","0.87","1.12","-48.23","-7,814,848.56","0.11","0.35","38.38","5.82","21.81","-0.04","0.65","0.07","0","38.98","1,422,330,000.00","20.74","-8.48","22.46","18.04","13.98","18.04","13.98","-60.61","-26.94","21.78","21.02","20.25","1.41","","","97.38","94.49","","1.56","46.76","37.58","-0.35","-0.36","0.01","-2.68","1.28","1.22","25.87","-25.87","3.82","-0.08","40.00","15.34","35.20","45.89","1.00","23.00","19.00","24,698,888.62","0.08","-6.97","-0.06","-1.07","110.79","","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.89","22.62","1,817,094,000.00","131.96","","22.27","21.21","20.15","-0.48","21.61","21.21","22.07","21.21","59.06","-1.59","21.83","24.47","0.01","-0.06","0.05","-0.11","20.64","-0.16","0.80","22.93","20.74","2,202,484.88","2,735,736.15","-533,251.27","24.22","21.34","18.46","53.55","21.44","21.58","21.26","22.74","20.69","26.47","23.16","0.65","22.36","21.30","20.23","21.15","21.18","21.28","21.34","21.38","21.41","21.45","21.48","21.52","21.56","21.60","21.69","0.35","0.17","-0.25","0","23.16","20.64","0.29","-0.35","-1,751,810.82","-1.56","-1.71","-0.04","3.16","23.16","21.58","20.00","-2.80","-0.49","","-3.82","-30.54","42.78","","-30.77","1.92","-4.84","0.01","-5.55","-5.57","14.41","23.17","21.61","20.05","35.24","2.33","-0.29","-0.24","0.59","22.54","22.86","19.44","-64.29","14.29","78.57","21.62","21.79","21.54","23.32","22.87","17.22","725.62","7.34"
"2018-01-03T23:00:00.000Z","20.97","-0.83","-0.89","149,194,500","45.00","23.10","21.65","20.19","7.08","21.18","21.18","21.18","","-78.59","21.67","0.75","1.19","59.87","-1,107,247.73","0.08","0.36","45.58","6.24","21.68","0","0.86","0.05","0","31.18","1,571,524,500.00","20.66","-15.04","22.46","23.58","19.33","23.58","19.33","-54.44","-31.94","21.84","21.05","20.27","1.38","","","92.47","96.06","","0.78","45.00","35.47","-0.29","-0.36","0.07","-2.78","0.54","2.02","12.96","-12.96","-6.95","-0.08","40.00","5.67","29.06","44.91","1.00","23.00","19.00","23,462,069.55","0.08","-7.20","-0.09","-1.10","109.87","","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.88","22.50","1,667,899,500.00","131.96","","22.24","21.18","20.12","-0.49","21.65","21.18","22.09","21.18","48.08","-1.63","21.70","24.70","0.01","-0.09","0.02","-0.11","20.64","-0.15","0.78","22.78","20.66","-1,360,698.30","2,150,531.23","-3,511,229.54","24.30","21.27","18.25","53.57","21.31","21.58","21.26","22.74","21.05","25.03","23.16","0.86","22.23","21.17","20.12","21.06","21.11","21.21","21.27","21.31","21.35","21.42","21.45","21.49","21.53","21.58","21.67","0.35","0.03","-0.28","0","23.16","20.64","-0.09","-0.95","-5,238,512.52","-1.73","-1.56","-0.07","3.16","23.16","21.58","20.00","-3.09","-0.80","","-6.75","-77.14","40.74","","-31.55","1.49","2.94","0.05","-5.54","-5.55","13.48","23.10","21.65","20.19","26.99","2.24","-0.26","-0.27","0.61","22.54","22.85","19.10","-92.86","7.14","100.00","21.65","21.69","21.41","20.96","28.32","17.05","710.57","7.08"
"2018-01-04T23:00:00.000Z","21.11","0.62","0.56","68,868,000","46.62","23.10","21.66","20.22","7.39","21.15","21.15","21.15","","-73.45","21.56","0.79","1.24","-20.84","-2,247,198.67","0.09","0.36","52.30","6.57","21.56","0.03","0.35","0.03","0","24.95","1,640,392,500.00","20.65","7.31","22.46","22.77","21.46","22.77","21.46","-45.56","-34.41","21.84","21.07","20.30","1.31","","","92.20","93.78","","0.39","46.62","38.74","-0.21","-0.31","0.10","-2.79","0.90","1.16","9.49","-9.49","3.05","-0.05","40.00","-2.78","24.02","42.32","1.00","23.00","19.00","23,891,099.33","0.08","-6.31","-0.10","-0.76","109.87","","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.88","22.33","1,736,767,500.00","132.79","","22.21","21.15","20.09","-0.24","21.66","21.15","22.11","21.15","46.94","-1.42","21.57","24.65","0.01","-0.10","0","-0.10","20.38","-0.14","0.71","22.57","20.65","75,258.51","1,854,063.70","-1,778,805.19","24.14","21.24","18.35","46.85","21.22","21.58","21.18","22.74","21.58","25.58","23.16","0.35","22.15","21.10","20.04","21.08","21.11","21.19","21.24","21.28","21.32","21.40","21.43","21.47","21.52","21.56","21.65","0.39","0.09","-0.23","1.00","21.68","20.64","-0.15","-0.50","-3,204,616.94","-1.81","-1.73","-0.07","3.16","23.16","21.58","20.00","-2.03","-0.83","","-8.46","-65.72","39.71","","-33.66","2.16","-0.13","0.02","-5.53","-5.54","13.28","23.10","21.66","20.22","30.82","2.23","-0.24","-0.26","0.59","22.54","22.82","19.39","-92.86","0","92.86","21.67","21.58","21.35","20.07","27.11","16.90","717.89","7.39"
"2018-01-07T23:00:00.000Z","22.43","6.26","6.20","147,891,000","59.59","23.15","21.74","20.33","8.78","21.17","21.17","21.17","","-25.14","21.51","0.84","1.04","42.21","3,189,115.53","0.15","0.32","63.49","6.58","21.51","0.10","1.43","0.02","17.66","23.49","1,788,283,500.00","21.07","190.03","22.46","40.94","29.10","40.94","29.10","-7.39","-29.50","22.25","21.41","20.56","1.19","","","124.88","76.09","","10.61","59.59","42.50","-0.10","-0.24","0.14","-1.00","4.77","1.03","44.21","-44.21","72.71","0.18","45.00","-6.22","23.18","38.91","1.00","23.00","19.00","33,154,728.26","0.08","-2.05","0","1.33","116.75","116.37","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.93","20.38","1,884,658,500.00","132.79","124.86","22.22","21.17","20.11","1.06","21.74","21.17","22.14","21.17","48.82","-0.47","21.50","24.90","0.01","0","0","0","20.38","-0.07","0.21","22.01","21.07","3,074,003.41","2,028,340.80","1,045,662.61","24.78","21.46","18.14","56.95","21.42","21.58","21.06","22.74","21.49","40.00","23.12","1.43","22.16","21.11","20.05","21.76","21.55","21.47","21.46","21.46","21.46","21.47","21.49","21.52","21.56","21.60","21.67","0.38","0.15","-0.14","-1.00","21.68","20.38","1.01","-0.43","25,183,467.83","-1.14","-1.81","-0.01","2.78","23.16","21.77","20.38","4.27","0.33","","-7.73","28.01","43.81","","19.27","6.05","6.71","0.13","-5.48","-5.52","12.99","23.15","21.74","20.33","74.30","2.35","-0.18","-0.11","0.65","22.54","24.66","20.20","-78.57","7.14","85.71","21.65","21.49","21.35","31.43","22.83","16.83","907.92","8.78"
"2018-01-08T23:00:00.000Z","22.25","-0.81","-0.87","107,199,000","57.52","23.19","21.80","20.42","8.44","21.18","21.18","21.18","","-21.78","21.47","0.92","1.04","30.50","4,165,907.39","0.12","0.31","61.95","6.57","21.47","0.10","0.76","0.03","33.23","25.44","1,895,482,500.00","21.42","6.00","22.46","59.88","41.20","59.88","41.20","22.36","-20.07","22.43","21.58","20.73","1.11","","","117.37","77.38","","34.05","57.52","39.47","0.01","-0.15","0.16","0.03","1.45","0.55","75.01","-75.01","46.52","0.20","40.00","-12.18","19.78","35.01","1.00","23.00","19.00","32,287,983.49","0.08","-1.53","0.06","1.09","116.75","116.42","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.92","20.42","1,777,459,500.00","131.71","124.98","22.24","21.18","20.12","0.85","21.80","21.18","22.16","21.18","49.85","-0.35","21.46","25.17","0.01","0.06","0.01","0.05","20.38","-0.01","0.01","21.56","21.42","4,922,168.41","2,441,744.74","2,480,423.66","24.97","21.60","18.23","56.00","21.48","21.58","20.97","22.50","22.27","38.83","23.12","0.76","22.25","21.19","20.13","22.00","21.78","21.64","21.60","21.58","21.56","21.52","21.53","21.55","21.59","21.62","21.69","0.38","0.15","-0.20","0","21.68","20.38","1.01","0.25","18,808,861.81","-0.39","-1.14","0","2.78","23.16","21.77","20.38","3.55","-0.05","","-6.94","48.60","49.63","","30.96","3.73","13.58","0.13","-5.45","-5.49","12.72","23.19","21.80","20.42","65.98","2.30","-0.15","0.09","0.66","22.54","24.49","20.00","-78.57","0","78.57","21.59","21.45","21.24","30.12","20.94","16.91","913.92","8.44"
"2018-01-09T23:00:00.000Z","22.32","0.33","0.27","64,648,500","58.16","23.23","21.82","20.42","8.76","21.20","21.20","21.20","","-12.08","21.48","1.00","1.02","-36.85","1,489,383.56","0.08","0.33","65.76","6.50","21.47","0.11","0.47","0.04","52.95","30.94","1,960,131,000.00","21.71","6.82","22.46","80.33","60.38","80.33","60.38","43.45","-8.52","22.65","21.81","20.98","1.16","","","119.16","74.38","","61.22","58.16","44.33","0.11","-0.05","0.16","0.76","1.23","0.77","68.44","-68.44","37.09","0.19","40.00","-15.06","18.80","31.44","1.00","23.00","19.00","32,503,031.16","0.08","1.12","0.12","1.23","116.75","116.47","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.93","20.51","1,842,108,000.00","132.15","125.11","22.25","21.20","20.14","0.90","21.82","21.20","22.18","21.20","57.39","0.25","21.45","25.32","0.01","0.12","0.03","0.08","20.38","0.03","0.05","21.26","21.71","5,680,648.18","2,904,445.24","2,776,202.94","25.00","21.73","18.47","50.87","21.48","21.58","20.77","22.36","22.37","36.08","22.77","0.47","22.39","21.32","20.26","22.16","21.96","21.79","21.73","21.69","21.65","21.57","21.57","21.59","21.62","21.65","21.71","0.33","0.10","-0.25","0","21.68","20.38","0.79","0.32","16,805,303.05","0.29","-0.39","0.03","2.78","23.16","21.77","20.38","3.81","-0.13","","-5.03","48.82","51.38","","47.81","2.71","-1.51","0.08","-5.43","-5.45","12.87","23.23","21.82","20.42","67.72","1.95","-0.06","0.22","0.64","22.54","24.39","20.25","-71.43","0","71.43","21.53","21.43","21.19","28.56","19.85","16.99","920.74","8.76"
"2018-01-10T23:00:00.000Z","22.53","0.94","0.88","99,682,500","59.99","23.19","21.81","20.43","9.07","21.22","21.22","21.22","","-17.53","21.52","1.06","0.90","11.62","2,170,153.96","0.14","0.33","61.62","6.40","21.51","0.09","0.77","0.06","67.00","38.15","2,059,813,500.00","22.04","28.20","20.55","82.87","74.36","82.87","74.36","54.55","2.94","22.97","22.13","21.28","1.26","","","131.92","77.06","","80.61","59.99","49.03","0.19","0.06","0.13","1.38","2.12","0.53","62.59","-62.59","33.43","0.26","40.00","-14.95","19.90","28.27","1.00","23.00","19.00","33,440,908.59","0.08","2.73","0.18","1.45","117.85","116.52","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.93","20.59","1,941,790,500.00","132.15","125.23","22.28","21.22","20.16","1.04","21.81","21.22","22.20","21.22","65.74","0.60","21.50","25.48","0.01","0.18","0.06","0.11","20.38","0.08","0.24","20.97","22.04","7,109,381.02","3,505,150.35","3,604,230.67","25.20","21.88","18.55","46.68","21.68","21.58","20.76","22.32","22.32","33.90","22.59","0.77","22.58","21.51","20.43","22.35","22.15","21.95","21.88","21.82","21.76","21.63","21.63","21.64","21.66","21.68","21.74","0.30","0.13","-0.06","0","21.68","20.38","1.19","0.42","17,395,034.60","0.88","0.29","0.07","2.78","23.16","21.77","20.38","4.57","-0.05","","-2.17","81.94","46.07","","47.19","2.17","-0.54","0","-5.42","-5.43","12.66","23.19","21.81","20.43","76.00","1.90","-0.01","0.52","0.65","22.54","24.65","20.41","35.71","100.00","64.29","21.48","21.36","21.30","31.85","18.18","17.72","948.94","9.07"
"2018-01-11T23:00:00.000Z","22.41","-0.51","-0.58","72,376,500","58.48","23.16","21.80","20.44","8.79","21.23","21.23","21.23","","-21.95","21.55","1.05","0.93","10.03","500,533.57","0.12","0.33","63.29","6.34","21.54","0.08","0.45","0.08","79.66","46.45","2,132,190,000.00","22.35","-8.68","20.55","82.81","82.01","82.81","82.01","57.46","12.86","23.22","22.39","21.56","1.30","18.18","26.14","131.50","77.07","460,260,915.00","90.30","58.48","44.87","0.23","0.14","0.09","1.42","1.22","0.96","51.15","-51.15","15.28","0.17","40.00","-15.16","21.04","25.73","1.00","23.00","19.00","33,070,405.31","0.08","1.37","0.21","1.30","117.85","116.57","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.92","20.73","1,869,414,000.00","131.47","125.35","22.29","21.23","20.16","0.82","21.80","21.23","22.22","21.23","59.51","0.30","21.53","25.45","0.01","0.21","0.09","0.12","20.38","0.12","0.55","20.67","22.35","4,706,874.08","3,676,825.17","1,030,048.91","25.19","21.97","18.76","46.42","21.68","21.58","20.76","22.08","22.22","34.39","22.99","0.45","22.82","21.73","20.64","22.38","22.24","22.06","21.97","21.91","21.84","21.68","21.67","21.68","21.69","21.71","21.76","0.36","0.15","-0.17","0","21.68","20.38","0.81","0.36","13,717,538.34","1.32","0.88","0.05","2.78","23.16","21.77","20.38","3.93","-0.28","","0.43","70.53","46.13","0.82","54.55","0.31","2.92","0.01","-5.42","-5.43","12.49","23.16","21.80","20.44","72.48","1.64","-0.06","0.78","0.64","22.54","24.38","20.45","35.71","92.86","57.14","21.45","21.31","21.48","30.25","17.26","18.41","940.25","8.79"
"2018-01-15T23:00:00.000Z","22.67","1.14","1.08","97,114,500","60.84","23.19","21.81","20.43","9.14","21.25","21.25","21.25","","-12.56","21.61","1.08","0.89","53.57","1,160,124.05","0.09","0.33","62.46","6.18","21.60","0.08","0.68","0.10","92.47","55.66","2,229,304,500.00","22.65","24.37","20.69","82.65","82.78","82.65","82.78","62.74","21.93","23.27","22.44","21.60","1.42","","","133.51","85.49","","95.15","60.84","49.28","0.26","0.20","0.06","1.61","1.68","0.83","39.50","-39.50","21.36","0.22","45.00","-13.58","23.51","23.83","-1.00","29.00","19.00","34,179,561.30","0.08","4.57","0.26","1.58","119.20","116.63","21.31","22.61","19.45","24.47","18.14","25.78","16.29","0.93","20.87","1,966,528,500.00","131.47","125.47","22.31","21.25","20.19","0.92","21.81","21.25","22.24","21.25","66.11","0.99","21.59","25.45","0.01","0.26","0.12","0.13","20.38","0.16","0.77","20.47","22.65","6,144,898.12","4,029,407.02","2,115,491.11","25.34","22.10","18.87","49.46","21.69","21.77","20.75","21.85","23.08","32.88","22.99","0.68","23.06","21.96","20.86","22.53","22.38","22.19","22.10","22.03","21.95","21.74","21.73","21.72","21.73","21.75","21.79","0.36","0.08","-0.27","0","21.68","20.38","1.00","0.32","15,309,513.20","1.76","1.32","0.07","2.78","23.16","21.77","20.38","4.78","-0.15","","3.32","94.26","46.90","","48.52","0.11","3.32","0.05","-5.43","-5.42","12.63","23.19","21.81","20.43","81.23","1.27","0.01","0.91","0.64","22.54","24.65","20.69","50.00","100.00","50.00","21.45","21.36","21.63","31.37","15.95","19.42","964.62","9.14"
