"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Darvas ‌Darvas‌","Ghost ‌Darvas‌","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2019-01-01T23:00:00.000Z","20.67","-6.81","-6.96","174,879,000","41.62","25.87","22.83","19.78","-6.64","22.45","22.45","22.45","20.77","-80.87","22.28","0.73","1.09","84.80","5,766,345.06","0.04","0.31","51.60","12.80","22.28","0","2.27","-0.17","0","16.04","4,796,883,000.00","20.47","-188.09","23.65","37.61","38.12","37.61","38.12","-26.10","-35.08","23.18","21.59","20.00","3.00","","","69.44","92.03","","0.08","41.62","42.13","-0.16","-0.23","0.06","-0.71","0.46","2.90","30.36","-30.36","-28.45","0.04","45.00","-21.77","-54.20","16.80","-1.00","23.00","19.00","92,883,306.04","0.08","-15.44","-0.42","-1.15","108.73","","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.08","19.67","-1,721,100,000.00","88.98","","23.57","22.45","21.32","-1.18","22.83","22.45","20.83","22.45","34.66","-3.78","22.29","26.10","0.01","-0.42","-0.17","-0.24","19.61","-0.28","0.55","24.35","20.47","-8,997,800.63","-4,317,004.45","-4,680,796.18","28.32","21.76","15.20","40.15","21.37","22.45","21.94","20.48","20.39","84.05","25.19","1.09","22.35","21.28","20.22","21.31","21.43","21.62","21.76","21.89","22.06","22.31","22.28","22.23","22.17","22.11","21.98","0.65","0.57","-0.98","0","25.19","19.61","-0.94","-2.03","-29,945,293.55","-1.33","-1.37","-0.29","5.69","25.30","22.45","19.61","-7.17","-1.08","","","-23.10","-109.69","44.39","","-20.30","1.00","2.35","-0.02","-5.52","-5.55","26.66","25.87","22.83","19.78","14.63","1.35","-0.17","-1.67","1.24","22.78","25.18","16.17","-50.00","21.43","71.43","23.29","22.72","21.74","18.54","30.18","20.33","321.94","-6.64"
"2019-01-02T23:00:00.000Z","20.02","-3.15","-3.30","104,478,000","39.03","25.87","22.63","19.40","-7.30","22.50","22.50","22.50","20.02","-92.52","21.97","0.71","1.11","38.56","3,742,987.32","0.06","0.30","49.39","13.90","21.97","-0.02","0.85","-0.22","0","12.83","4,692,405,000.00","20.20","-76.62","23.65","24.27","33.90","24.27","33.90","-35.87","-35.22","22.80","21.24","19.69","2.96","","","69.40","89.64","","0.04","39.03","39.35","-0.12","-0.18","0.06","-2.71","0.31","1.23","53.33","-53.33","-50.23","0.08","40.00","-34.81","-68.14","-1.04","-1.00","23.00","19.00","89,595,204.45","0.08","-18.07","-0.54","-1.47","108.73","","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.07","19.73","-1,825,578,000.00","86.18","","23.62","22.50","21.37","-1.47","22.63","22.50","20.82","22.50","29.35","-4.42","21.98","25.97","0.01","-0.54","-0.25","-0.29","19.61","-0.27","0.54","23.98","20.20","-10,975,741.32","-5,268,252.57","-5,707,488.75","27.77","21.45","15.12","38.93","21.11","22.45","21.86","20.48","20.86","83.97","25.19","0.80","22.33","21.27","20.20","20.67","20.96","21.27","21.45","21.61","21.80","22.17","22.16","22.13","22.08","22.03","21.92","0.65","0.68","-0.71","1.00","22.61","19.61","-1.05","-1.85","-35,378,881.15","-1.55","-1.33","-0.31","5.69","25.30","22.45","19.61","-8.80","-1.96","","","-25.14","-113.15","45.22","","-23.58","-0.88","4.13","-0.04","-5.53","-5.53","28.57","25.87","22.63","19.40","9.64","1.34","-0.18","-1.69","1.21","22.78","24.14","15.91","-50.00","14.29","64.29","23.14","22.47","21.75","17.61","29.22","20.65","245.32","-7.30"
"2019-01-03T23:00:00.000Z","21.18","5.77","5.62","110,911,500","45.52","25.72","22.49","19.26","-6.14","22.57","22.57","22.57","","-71.83","21.68","0.72","1.09","0.38","2,628,294.08","0.04","0.29","57.92","14.33","21.68","0.02","1.18","-0.26","0","10.27","4,803,316,500.00","20.45","139.67","23.65","18.26","26.71","18.26","26.71","-31.18","-34.49","22.82","21.26","19.71","2.39","","","69.17","92.29","","0.02","45.52","43.09","-0.06","-0.14","0.08","-2.38","1.62","1.04","44.06","-44.06","0.18","0.16","40.00","-43.01","-76.88","-17.77","1.00","23.00","19.00","95,994,508.62","0.08","-15.69","-0.53","-0.38","115.01","","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.10","19.78","-1,714,666,500.00","86.18","","23.70","22.57","21.45","-0.14","22.49","22.57","20.83","22.57","28.48","-3.94","21.68","25.89","0.01","-0.53","-0.30","-0.23","19.61","-0.19","0.40","23.09","20.45","-8,136,163.94","-5,677,954.20","-2,458,209.75","27.68","21.40","15.11","41.70","21.11","22.45","21.85","20.48","20.79","89.92","25.19","1.02","22.34","21.28","20.21","20.92","21.03","21.25","21.40","21.54","21.72","22.10","22.10","22.08","22.04","21.99","21.89","0.65","0.74","-0.42","0","22.61","19.61","-0.41","-1.42","-12,019,088.44","-1.54","-1.55","-0.29","5.69","25.30","22.45","19.61","-2.29","-0.90","","","-24.80","-74.11","46.14","","1.67","3.43","4.13","0.01","-5.50","-5.52","28.72","25.72","22.49","19.26","29.66","1.60","-0.17","-1.66","1.21","22.78","25.17","17.18","-50.00","7.14","57.14","22.99","22.26","21.83","19.78","27.18","20.30","384.99","-6.14"
"2019-01-06T23:00:00.000Z","22.33","5.44","5.29","113,268,000","51.11","25.53","22.40","19.27","-4.99","22.63","22.63","22.63","","-42.93","21.50","0.79","1.02","19.15","1,912,989.76","0.04","0.29","57.43","14.35","21.49","0.06","1.27","-0.28","10.91","10.39","4,916,584,500.00","21.01","155.19","23.65","30.91","24.48","30.91","24.48","-6.35","-29.37","22.84","21.28","19.72","1.92","","","80.47","87.95","","9.37","51.11","46.96","0.03","-0.08","0.11","-0.64","1.93","0.79","37.91","-37.91","41.62","0.42","40.00","-44.33","-79.60","-33.12","1.00","23.00","19.00","102,151,897.41","0.09","-8.41","-0.43","0.62","121.26","","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.15","19.83","-1,601,398,500.00","86.18","","23.76","22.63","21.50","1.02","22.40","22.63","20.83","22.63","35.25","-2.05","21.47","25.94","0.01","-0.43","-0.33","-0.10","19.61","-0.08","0.11","22.13","21.01","-5,487,365.71","-5,650,727.27","163,361.56","27.86","21.57","15.28","43.68","21.11","22.45","21.85","20.48","20.54","89.52","25.19","1.27","22.40","21.33","20.26","21.63","21.47","21.49","21.57","21.66","21.80","22.12","22.12","22.09","22.05","22.01","21.91","0.65","0.58","-0.64","-1.00","22.61","19.83","0.74","-0.53","8,327,836.46","-0.99","-1.54","-0.19","5.69","25.30","22.45","19.61","3.73","0.10","","","-21.81","-19.07","52.82","","10.07","5.93","4.12","0.03","-5.48","-5.50","27.98","25.53","22.40","19.27","48.90","1.66","-0.07","-1.63","1.21","22.78","26.29","18.37","-50.00","0","50.00","22.79","22.20","21.56","25.67","25.15","18.92","540.18","-4.99"
"2019-01-07T23:00:00.000Z","22.36","0.12","-0.03","105,127,500","51.23","25.39","22.32","19.26","-4.43","22.69","22.69","22.69","","-28.19","21.42","0.89","0.95","-8.67","681,381.07","0.04","0.31","57.08","14.21","21.41","0.06","1.13","-0.28","26.00","13.52","5,021,712,000.00","21.46","1.17","23.65","52.35","33.84","52.35","33.84","18.06","-20.75","22.87","21.31","19.76","1.74","","","80.33","90.65","","54.68","51.23","50.81","0.10","-0.01","0.11","0.53","1.63","0.51","52.78","-52.78","35.64","0.15","45.00","-44.64","-81.18","-45.96","1.00","23.00","19.00","102,274,294.87","0.09","-3.75","-0.34","0.70","121.26","102.42","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.14","19.88","-1,496,271,000.00","86.28","96.91","23.83","22.69","21.56","1.03","22.32","22.69","20.84","22.69","42.16","-0.87","21.38","26.04","0.01","-0.34","-0.33","-0.01","19.61","0","0","21.47","21.46","-3,242,362.18","-5,306,675.11","2,064,312.94","27.94","21.71","15.48","44.76","21.27","22.45","22.01","20.48","20.25","89.45","24.38","1.13","22.41","21.35","20.28","21.99","21.76","21.68","21.71","21.77","21.87","22.13","22.13","22.10","22.07","22.02","21.92","0.59","0.43","-0.90","0","22.61","19.83","1.13","0","7,528,605.13","-0.31","-0.99","-0.05","5.69","25.30","22.45","19.61","4.15","0.28","","","-17.15","3.72","60.52","","31.49","4.00","0.25","0.10","-5.45","-5.48","27.42","25.39","22.32","19.26","50.53","1.69","-0.05","-1.57","1.20","22.78","26.20","18.51","-42.86","0","42.86","22.63","22.20","21.29","26.82","23.46","18.05","541.35","-4.43"
"2019-01-08T23:00:00.000Z","22.57","0.95","0.80","81,493,500","52.28","25.16","22.24","19.31","-3.96","22.72","22.72","22.72","","-16.02","21.42","0.94","0.90","-23.48","-2,176,652.87","0.05","0.31","55.14","13.93","21.40","0.06","0.80","-0.27","38.90","18.59","5,103,205,500.00","21.89","12.08","23.65","70.95","51.40","70.95","51.40","39.33","-9.82","23.21","21.69","20.17","1.76","","","85.66","87.84","","77.34","52.28","53.95","0.16","0.06","0.10","1.56","1.39","0.74","54.94","-54.94","36.64","0.20","45.00","-36.21","-73.90","-55.85","1.00","23.00","19.00","103,047,067.20","0.09","0.45","-0.25","0.91","121.26","102.50","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.14","20.00","-1,414,777,500.00","87.10","96.86","23.86","22.72","21.59","1.12","22.24","22.72","20.85","22.72","48.07","0.10","21.36","26.06","0.01","-0.25","-0.31","0.06","19.61","0.06","0.09","20.99","21.89","-1,701,067.41","-4,791,588.30","3,090,520.89","27.87","21.87","15.86","44.09","21.38","22.45","22.40","20.48","20.53","77.63","23.44","0.80","22.47","21.40","20.33","22.28","22.03","21.88","21.87","21.89","21.96","22.16","22.15","22.13","22.09","22.04","21.94","0.51","0.51","-0.81","0","22.61","19.83","0.99","0.19","8,921,177.73","0.34","-0.31","0.02","5.59","25.19","22.40","19.61","5.10","0.65","","","-12.24","17.01","62.85","","12.52","3.01","-4.20","0.07","-5.47","-5.47","26.28","25.16","22.24","19.31","55.70","1.69","0.02","-1.14","1.18","22.78","26.13","19.01","-35.71","0","35.71","22.48","21.98","21.17","25.52","22.31","17.24","553.43","-3.96"
"2019-01-09T23:00:00.000Z","23.00","1.90","1.75","90,846,000","54.40","24.93","22.16","19.40","-3.08","22.74","22.74","22.74","","-0.82","21.44","0.95","0.88","-26.80","-3,644,979.71","0.05","0.31","59.14","13.57","21.42","0.09","0.91","-0.25","51.39","25.15","5,194,051,500.00","22.39","39.76","23.65","84.99","69.43","84.99","69.43","59.07","2.70","23.78","22.29","20.79","1.89","","","82.68","87.16","","88.67","54.40","57.24","0.20","0.13","0.07","2.29","1.37","0.97","54.63","-54.63","35.04","0.20","45.00","-29.53","-69.35","-62.77","-1.00","29.00","19.00","104,775,266.85","0.09","3.60","-0.14","1.25","123.57","102.60","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.16","20.12","-1,323,931,500.00","87.10","96.81","23.88","22.74","21.60","1.41","22.16","22.74","20.87","22.74","55.06","0.80","21.36","26.02","0.01","-0.14","-0.28","0.14","19.61","0.13","0.31","20.54","22.39","-95,865.10","-4,120,770.70","4,024,905.60","27.93","22.07","16.21","48.06","21.43","22.45","22.66","20.48","20.38","63.57","23.13","0.91","22.59","21.51","20.44","22.64","22.35","22.13","22.07","22.06","22.09","22.21","22.20","22.17","22.13","22.08","21.98","0.48","0.67","-0.46","0","22.61","19.83","0.96","0.05","13,218,603.98","0.92","0.34","0.05","5.59","25.19","22.40","19.61","6.82","1.19","","","-5.52","34.91","63.52","","30.09","2.66","-3.82","0.11","-5.44","-5.45","24.96","24.93","22.16","19.40","65.09","1.70","0.09","-0.63","1.16","22.78","26.39","19.61","-28.57","0","28.57","22.43","21.76","21.30","24.86","21.06","16.60","593.19","-3.08"
"2019-01-10T23:00:00.000Z","23.15","0.66","0.51","75,586,500","55.17","24.70","22.10","19.49","-2.52","22.76","22.76","22.76","","-2.12","21.57","1.06","0.81","-44.45","-5,971,122.05","0.03","0.31","67.41","12.86","21.54","0.11","0.64","-0.21","70.22","34.16","5,269,638,000.00","22.73","25.30","23.65","93.68","83.21","93.68","83.21","73.41","15.56","24.13","22.68","21.23","2.04","","","74.94","83.59","","94.34","55.17","60.46","0.22","0.18","0.05","2.67","1.36","0.49","53.78","-53.78","26.71","0.29","50.00","-19.47","-61.95","-67.03","-1.00","29.00","19.00","105,277,033.97","0.09","10.11","-0.05","1.34","123.57","102.70","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.16","20.29","-1,248,345,000.00","87.68","96.76","23.90","22.76","21.62","1.27","22.10","22.76","20.89","22.76","62.18","2.13","21.47","25.88","0.01","-0.05","-0.23","0.19","19.61","0.16","0.40","20.47","22.73","1,036,765.00","-3,383,979.88","4,420,744.89","27.86","22.27","16.67","50.23","21.53","22.45","22.74","20.48","20.17","60.56","23.03","0.64","22.84","21.75","20.67","22.89","22.62","22.35","22.27","22.23","22.22","22.28","22.25","22.22","22.17","22.12","22.02","0.47","0.79","-0.11","0","22.61","19.83","1.01","0.36","12,978,751.94","1.44","0.92","0.14","5.59","25.19","22.40","19.61","6.77","1.38","","","-0.22","59.83","59.74","","16.65","1.82","-5.12","0.15","-5.43","-5.45","23.58","24.70","22.10","19.49","70.19","1.71","0.18","-0.19","1.12","19.61","26.25","20.05","78.57","100.00","21.43","22.41","21.63","21.51","25.13","20.20","16.19","618.49","-2.52"
"2019-01-13T23:00:00.000Z","22.29","-3.70","-3.85","78,709,500","50.09","24.17","21.96","19.75","-3.38","22.76","22.76","22.76","","-25.79","21.66","1.02","0.79","-34.55","-7,476,423.07","0.04","0.31","64.51","12.24","21.63","0.08","0.88","-0.18","92.67","45.87","5,190,928,500.00","22.83","-112.98","23.65","90.42","89.70","90.42","89.70","69.77","25.42","24.11","22.67","21.24","2.06","","","66.76","85.97","","97.17","50.09","55.92","0.23","0.21","0.02","2.63","1.17","1.49","34.96","-34.96","-7.84","0.19","45.00","-15.22","-59.17","-69.37","1.00","23.00","19.00","102,362,200.43","0.09","4.58","-0.04","0.51","118.99","102.76","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.12","20.53","-1,327,054,500.00","87.68","96.71","23.90","22.76","21.63","0.37","21.96","22.76","20.92","22.76","63.68","0.98","21.56","25.66","0.01","-0.04","-0.19","0.16","19.61","0.17","0.43","20.50","22.83","-1,241,924.91","-3,077,972.03","1,836,047.12","27.75","22.27","16.80","46.33","21.53","22.45","23.08","20.55","19.42","59.13","23.23","0.57","23.09","21.99","20.89","22.59","22.51","22.34","22.27","22.24","22.23","22.28","22.26","22.22","22.18","22.13","22.03","0.49","0.61","-0.06","0","22.61","19.83","0.60","0.04","1,484,595.77","1.69","1.44","0.13","5.59","25.19","22.40","19.61","2.49","0.62","","","3.16","38.37","60.06","","1.74","-2.43","-4.73","0.08","-5.42","-5.43","20.15","24.17","21.96","19.75","57.60","1.73","0.09","-0.03","1.10","19.83","25.30","19.28","78.57","92.86","14.29","22.26","21.65","21.71","23.69","21.10","15.45","505.51","-3.38"
"2019-01-14T23:00:00.000Z","22.96","3.00","2.85","90,849,000","53.67","23.86","21.89","19.91","-2.71","22.77","22.77","22.77","","-7.99","21.86","1.11","0.74","8.93","-7,602,195.40","0.05","0.30","63.47","10.80","21.82","0.09","0.96","-0.15","100.00","56.69","5,281,777,500.00","22.85","74.89","23.65","88.03","90.71","88.03","90.71","72.23","33.93","24.22","22.79","21.37","1.79","15.22","19.48","72.17","86.93","394,020,435.00","98.58","53.67","59.36","0.22","0.22","0","2.86","1.27","0.86","19.26","-19.26","9.75","0.32","50.00","-7.82","-53.55","-69.30","-1.00","29.00","19.00","105,087,127.81","0.09","16.60","0.02","0.92","122.56","102.83","22.36","25.12","19.43","28.06","16.67","30.82","13.74","1.14","20.75","-1,236,205,500.00","87.68","96.66","23.91","22.77","21.64","0.88","21.89","22.77","20.94","22.77","69.20","3.27","21.74","25.40","0.01","0.02","-0.15","0.17","19.61","0.13","0.36","20.99","22.85","322,258.39","-2,592,224.83","2,914,483.22","27.81","22.40","16.99","51.32","21.54","22.45","23.08","20.55","19.65","60.70","23.23","0.95","23.35","22.24","21.13","22.78","22.66","22.48","22.40","22.35","22.32","22.32","22.30","22.26","22.21","22.16","22.06","0.49","0.37","-0.14","0","22.61","19.83","0.92","-0.04","9,950,755.48","1.94","1.69","0.25","5.59","25.19","22.40","19.61","4.44","1.48","","","7.77","77.43","58.31","2.72","43.13","0.48","-3.27","0.13","-5.39","-5.41","18.05","23.86","21.89","19.91","77.23","1.74","0.21","0.03","1.09","19.83","25.95","19.98","92.86","100.00","7.14","22.11","21.74","21.88","24.95","19.78","15.17","580.39","-2.71"
