"Date","Close","% Change","% Change vs Average","Volume","RSI ‌rsi‌ (14)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)","Result ‌W Acc Dist‌ (n)","MA ‌ma‌ (50,ma,0)","MA ‌ma‌ (50,ma,0)-2","MA ‌ma‌ (50,ma,0)-3","Result ‌ZigZag‌ (10)","Result ‌Williams %R‌ (14)","Result ‌Weighted Close‌ (14)","+VI ‌Vortex‌ (14)","-VI ‌Vortex‌ (14)","Result ‌Vol ROC‌ (14)","Result ‌Vol Osc‌ (12,26,Points)","Visitor Trend","Result ‌VT HZ Filter‌ (28)","Result ‌Ultimate‌ (7,14,28)","Result ‌Ulcer‌ (14)","Result ‌Typical Price‌ (14)","Result ‌Twiggs‌ (21)","True Range ‌True Range‌","Result ‌TRIX‌ (14)","TII ‌Trend Int‌ (14,9)","Signal ‌Trend Int‌ (14,9)","Result ‌Trade Vol‌ (0.5)","Forecast ‌Time Fcst‌ (14)","Result ‌Swing‌ (0.5)","Trend ‌Supertrend‌ (7,3)","%K ‌stochastics‌ (14,y)","%D ‌stochastics‌ (14,y)","%K ‌Stochastics‌ (14,n,3,3)","%D ‌Stochastics‌ (14,n,3,3)","%K ‌Stch Mtm‌ (10,3,3,10,ema)","%D ‌Stch Mtm‌ (10,3,3,10,ema)","STARC Bands Top ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Median ‌STARC Bands‌ (15,5,1.3,y)","STARC Bands Bottom ‌STARC Bands‌ (15,5,1.3,y)","Result ‌STD Dev‌ (14,2,ma)","Short % of Outstanding","Short % of Float","Strong Ratio ‌Shinohara‌ (26)","Weak Ratio ‌Shinohara‌ (26)","Shares Short","Result ‌Schaff‌ (10,23,50,ema)","RSI ‌rsi‌ (14)-2","Rel Vol ‌Rel Vol‌ (10,14)","Rel Vig ‌Rel Vig‌ (10)","RelVigSignal ‌Rel Vig‌ (10)","‌Rel Vig‌ (10)_hist","‌RAVI‌ (vdma,7,65)_hist","Random Walk High ‌Random Walk‌ (14)","Random Walk Low ‌Random Walk‌ (14)","Over ‌Rainbow Osc‌ (2,10)","Under ‌Rainbow Osc‌ (2,10)","‌Rainbow Osc‌ (2,10)_hist","Result ‌QStick‌ (8,ma)","Result ‌PSY‌ (20)","Result ‌Pring Sp-K‌ (daily)","KST ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","KSTSignal ‌Pring KST‌ (10,10,15,10,20,10,30,15,9)","Result ‌Prime Number‌ (5)","Prime Bands Top ‌Prime Number Bands‌ (y)","Prime Bands Bottom ‌Prime Number Bands‌ (y)","Result ‌Price Vol‌","Result ‌P Rel‌ (SPY)","Result ‌Price ROC‌ (14)","Result ‌Price Osc‌ (12,26,ema,Points)","Result ‌Pretty Good‌ (14)","Index ‌Pos Vol‌ (255,ma)","MA ‌Pos Vol‌ (255,ma)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","Result ‌Perf Idx‌ (120,SPY)","Result ‌PSAR‌ (0.02,0.2)","Result ‌On Bal Vol‌","Index ‌Neg Vol‌ (255,ma)","MA ‌Neg Vol‌ (255,ma)","MA Env Top ‌MA Env‌ (50,percent,5,ma,y)","MA Env Median ‌MA Env‌ (50,percent,5,ma,y)","MA Env Bottom ‌MA Env‌ (50,percent,5,ma,y)","‌MA Dev‌ (12,ma,Points)_hist","MA 1 ‌MACross‌ (20,50,200,ma,0)","MA 2 ‌MACross‌ (20,50,200,ma,0)","MA 3 ‌MACross‌ (20,50,200,ma,0)","MA ‌ma‌ (50,ma,0)-4","Result ‌M Flow‌ (14)","Result ‌Momentum‌ (14)","Result ‌Med Price‌ (14)","Result ‌Mass Idx‌ (25,27)","‌W MFI‌ (6)_hist","MACD ‌macd‌ (12,26,9)","Signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist","Result ‌LLV‌ (14)","Slope ‌LR Slope‌ (14)","RSquared ‌Lin R2‌ (14)","Intercept ‌Lin Incpt‌ (14)","Forecast ‌Lin Fcst‌ (14)","Klinger ‌Klinger‌ (13,34,55)","KlingerSignal ‌Klinger‌ (13,34,55)","‌Klinger‌ (13,34,55)_hist","Keltner Top ‌Keltner‌ (10,5,ema,y)","Keltner Median ‌Keltner‌ (10,5,ema,y)","Keltner Bottom ‌Keltner‌ (10,5,ema,y)","Result ‌Intraday Mtm‌ (20)","Conversion Line ‌Ichimoku Clouds‌ (9,26,52,26)","Base Line ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span A ‌Ichimoku Clouds‌ (9,26,52,26)","Leading Span B ‌Ichimoku Clouds‌ (9,26,52,26)","Lagging Span ‌Ichimoku Clouds‌ (9,26,52,26)","Result ‌Hist Vol‌ (10,252,1)","Result ‌HHV‌ (14)","Result ‌High-Low‌","High Low Top ‌High Low‌ (10,5,y)","High Low Median ‌High Low‌ (10,5,y)","High Low Bottom ‌High Low‌ (10,5,y)","MA 3 ‌Guppy‌","MA 5 ‌Guppy‌","MA 8 ‌Guppy‌","MA 10 ‌Guppy‌","MA 12 ‌Guppy‌","MA 15 ‌Guppy‌","MA 30 ‌Guppy‌","MA 35 ‌Guppy‌","MA 40 ‌Guppy‌","MA 45 ‌Guppy‌","MA 50 ‌Guppy‌","MA 60 ‌Guppy‌","Result ‌GAPO‌ (14)","‌Gator‌ (13,8,8,5,5,3)_hist1","‌Gator‌ (13,8,8,5,5,3)_hist2","Result ‌Fractal Chaos‌","Fractal High ‌Fractal Chaos Bands‌ (y)","Fractal Low ‌Fractal Chaos Bands‌ (y)","‌Elder Ray‌ (13)_hist1","‌Elder Ray‌ (13)_hist2","Result ‌Elder Force‌ (13)","EF ‌Ehler Fisher‌ (10)","EF Trigger ‌Ehler Fisher‌ (10)","Result ‌EOM‌ (14,ma)","Result ‌Donchian Width‌ (20,20)","Donchian High ‌Donchian Channel‌ (20,20,y)","Donchian Median ‌Donchian Channel‌ (20,20,y)","Donchian Low ‌Donchian Channel‌ (20,20,y)","Result ‌Disparity‌ (14,ma)","Result ‌Detrended‌ (14,ma)","Result ‌Coppock‌ (10,11,14)","Result ‌CCI‌ (20)","Result ‌Choppiness‌ (14)","Change in short Interest 15 days","Result ‌Chande Mtm‌ (9)","Result ‌Chande Fcst‌ (14)","Result ‌Chaikin Vol‌ (14,2,ma)","Result ‌Chaikin MF‌ (20)","Center of Gravity ‌COG‌ (10)","Signal ‌COG‌ (10)","Bandwidth ‌Boll BW‌ (20,2,ma)","Bollinger Bands Top ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Median ‌Bollinger Bands‌ (20,2,ma,y)-2","Bollinger Bands Bottom ‌Bollinger Bands‌ (20,2,ma,y)-2","%b ‌Boll %b‌ (20,2,ma)","Result ‌Beta‌ (20,SPY)","Result ‌Bal Pwr‌ (14,ma)","‌Awesome‌_hist","ATR ‌ATR‌ (14)","All Stops ‌ATR Trailing Stop‌ (21,3,points,n)","ATR Bands Top ‌ATR Bands‌ (5,3,y)","ATR Bands Bottom ‌ATR Bands‌ (5,3,y)","Aroon Oscillator ‌Aroon Osc‌ (14)","Aroon Up ‌Aroon‌ (14)","Aroon Down ‌Aroon‌ (14)","Jaw ‌Alligator‌ (y,13,8,8,5,5,3,n)","Teeth ‌Alligator‌ (y,13,8,8,5,5,3,n)","Lips ‌Alligator‌ (y,13,8,8,5,5,3,n)","+DI ‌ADX‌ (14,14,y,n)","-DI ‌ADX‌ (14,14,y,n)","ADX ‌ADX‌ (14,14,y,n)","Result ‌Acc Swing‌ (0.5)","Result ‌W Acc Dist‌ (n)-2"
"2022-01-02T23:00:00.000Z","399.93","13.53","13.91","103,931,400","66.32","388.14","340.35","292.55","166.31","355.54","355.54","355.54","399.93","-0.41","339.63","1.09","0.79","32.24","-2,734,422.22","0.56","0.33","66.25","11.13","339.31","0.17","48.10","-0.07","100.00","64.24","1,000,803,900.00","377.99","7,285.77","327.22","83.99","82.46","83.99","82.46","70.83","29.04","392.40","366.77","341.14","55.24","","","114.24","88.79","","99.22","66.32","46.74","0.19","0.17","0.03","9.39","5.34","0","20.69","-20.69","38.04","5.61","50.00","377.80","-41.75","-81.41","1.00","401.00","373.00","82,536,744.19","0.84","24.15","6.37","2.88","152.87","","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.30","315.73","1,267,763,700.00","106.76","","373.32","355.54","337.76","56.33","340.35","355.54","261.58","355.54","57.17","77.79","338.69","24.07","0.21","6.37","0.01","6.36","295.37","5.76","0.71","297.39","377.99","-1,738,436.90","-4,618,649.95","2,880,213.05","458.38","357.43","256.47","57.70","347.86","347.86","356.63","327.02","310.67","74.76","373.00","21.68","371.62","353.92","336.22","377.59","369.26","361.09","357.43","354.84","352.35","347.30","345.56","343.50","341.19","338.69","333.42","1.65","0.64","-9.59","-1.00","373.00","351.05","46.50","24.82","846,591,283.73","1.80","1.49","108.98","77.63","373.00","334.19","295.37","17.43","38.38","17.30","183.41","35.39","","80.14","5.49","0.06","0.23","-5.32","-5.32","28.09","388.14","340.35","292.55","112.33","2.72","0.13","16.68","19.81","308.50","465.34","334.51","57.14","100.00","42.86","335.36","334.72","344.31","38.12","16.67","21.24","22,246.49","166.31"
"2022-01-03T23:00:00.000Z","383.20","-4.18","-3.81","100,248,300","59.99","393.94","342.69","291.44","146.84","357.14","357.14","357.14","","-18.15","344.49","1.09","0.75","41.58","-129,336.39","0.17","0.33","58.51","10.31","344.28","0.13","28.32","0.01","100.00","71.39","900,555,600.00","385.94","-1,492.51","327.22","84.91","82.78","84.91","82.78","71.17","36.70","397.22","370.85","344.47","57.97","","","109.38","90.00","","99.61","59.99","42.78","0.24","0.18","0.05","9.92","1.75","0.54","36.59","-36.59","16.64","2.14","50.00","408.03","-15.67","-73.93","-1.00","409.00","373.00","78,343,087.45","0.80","19.94","8.16","1.76","152.87","","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.24","322.50","1,167,515,400.00","102.30","","375.00","357.14","339.28","33.42","342.69","357.14","262.38","357.14","54.60","63.69","343.86","24.23","0.28","8.16","1.64","6.52","295.37","6.28","0.76","298.01","385.94","-3,894,231.05","-4,515,161.54","620,930.49","467.13","362.11","257.10","52.95","360.84","349.02","356.63","327.02","301.52","76.28","400.36","28.32","378.08","360.08","342.08","380.40","373.91","366.00","362.11","359.20","356.21","349.61","347.65","345.44","343.01","340.44","335.05","1.76","3.81","-8.41","0","373.00","351.05","44.62","16.30","486,056,077.43","2.15","1.80","119.19","104.98","400.36","347.86","295.37","11.03","22.70","23.96","139.75","36.79","","54.71","-0.72","8.85","0.17","-5.36","-5.34","29.91","393.94","342.69","291.44","89.52","2.99","0.07","19.57","20.42","342.76","452.52","313.87","64.29","100.00","35.71","334.85","338.66","347.08","34.34","16.54","22.23","20,753.97","146.84"
"2022-01-04T23:00:00.000Z","362.71","-5.35","-4.97","80,119,800","53.28","395.19","343.30","291.40","119.44","357.56","357.56","357.56","","-37.24","347.87","1.05","0.82","6.59","307,466.88","0.19","0.32","50.77","9.85","347.90","0.08","29.78","0.08","100.00","77.11","820,435,800.00","387.64","-2,318.34","327.22","81.40","83.43","81.40","83.43","55.98","40.20","398.17","370.97","343.78","57.52","","","91.39","104.72","","99.80","53.28","40.11","0.22","0.21","0.01","8.10","1.41","1.49","33.73","-33.73","-13.30","-2.80","45.00","430.25","3.94","-62.77","-1.00","397.00","359.00","74,058,984.50","0.77","11.49","7.83","0.66","152.87","","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.19","330.52","1,087,395,600.00","96.83","","375.44","357.56","339.68","8.61","343.30","357.56","263.09","357.56","47.23","37.38","347.96","24.47","0.37","7.83","2.88","4.96","295.37","6.13","0.74","301.81","387.64","-5,414,971.47","-4,643,705.81","-771,265.66","471.62","362.22","252.82","47.23","367.59","349.02","361.55","327.02","286.67","84.23","402.67","29.78","382.37","364.17","345.96","371.55","370.17","365.27","362.22","359.74","357.02","350.46","348.49","346.28","343.87","341.31","335.96","1.77","5.86","-7.38","0","373.00","351.05","31.40","1.62","182,097,506.43","2.03","2.15","81.10","107.29","402.67","349.02","295.37","4.29","3.59","27.27","82.86","38.48","","21.03","-6.87","12.68","0.09","-5.42","-5.36","30.23","395.19","343.30","291.40","68.70","3.14","-0.01","21.40","21.09","342.76","436.03","289.38","64.29","92.86","28.57","335.64","341.50","348.88","30.88","19.62","22.23","18,435.64","119.44"
"2022-01-05T23:00:00.000Z","354.90","-2.15","-1.78","90,336,600","50.94","395.05","343.22","291.40","111.63","357.87","357.87","357.87","","-44.52","350.65","0.98","0.93","9.14","1,461,203.15","0.11","0.32","54.77","8.95","350.52","0.10","22.54","0.12","100.00","81.69","730,099,200.00","383.92","-1,212.19","327.22","66.70","77.67","66.70","77.67","33.17","38.92","397.94","370.60","343.26","53.38","","","81.92","102.19","","99.17","50.94","37.92","0.13","0.21","-0.07","6.17","0.92","1.68","41.70","-41.70","-32.42","-4.16","40.00","443.19","14.43","-50.06","1.00","367.00","337.00","72,114,636.09","0.76","14.86","6.87","0.17","149.58","","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.16","337.73","997,059,000.00","96.83","","375.76","357.87","339.98","-3.78","343.22","357.87","263.82","357.87","46.51","45.93","350.24","24.61","0.25","6.87","3.67","3.19","295.37","5.05","0.58","313.16","383.92","-7,005,484.31","-4,981,102.74","-2,024,381.57","470.62","360.89","251.16","44.83","371.42","349.02","370.43","327.02","291.92","79.85","402.67","22.50","384.88","366.55","348.22","363.23","365.08","362.96","360.89","359.00","356.75","350.75","348.84","346.70","344.35","341.84","336.58","1.77","5.71","-13.43","1.00","402.67","351.05","4.50","-18.00","55,336,701.46","1.28","2.03","35.30","107.29","402.67","349.02","295.37","1.09","-2.06","28.86","28.10","38.25","","-0.67","-8.18","4.50","0.09","-5.47","-5.42","30.20","395.05","343.22","291.40","61.26","3.15","0.04","20.39","21.19","342.76","427.08","282.72","64.29","85.71","21.43","337.87","343.57","357.01","28.53","24.92","21.13","17,223.45","111.63"
"2022-01-06T23:00:00.000Z","342.32","-3.54","-3.17","84,164,700","47.34","395.29","343.61","291.93","93.64","357.80","357.80","357.80","","-56.24","353.09","0.99","0.90","-16.20","1,856,130.40","0.18","0.32","51.51","8.39","353.02","0.06","23.64","0.14","93.42","84.04","645,934,500.00","375.93","-1,663.55","327.22","54.00","67.36","54.00","67.36","2.62","32.32","396.18","368.61","341.04","48.88","","","80.37","97.15","","92.70","47.34","35.61","0","0.16","-0.15","3.55","0.89","1.44","47.30","-47.30","-42.44","-5.51","40.00","452.61","22.10","-36.85","-1.00","367.00","331.00","69,131,286.37","0.73","10.12","5.03","-0.48","149.58","110.50","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.12","402.67","912,894,300.00","93.39","96.50","375.69","357.80","339.91","-18.81","343.61","357.80","264.46","357.80","46.77","31.46","352.87","24.74","0.28","5.03","3.94","1.08","295.37","3.48","0.33","327.22","375.93","-8,305,000.70","-5,455,945.31","-2,849,055.40","468.09","357.51","246.93","45.08","369.67","349.02","373.84","327.02","307.48","77.14","402.67","23.64","386.31","367.92","349.52","352.77","357.50","358.38","357.51","356.43","354.95","350.20","348.48","346.49","344.26","341.86","336.77","1.77","5.09","-18.17","0","402.67","351.05","4.40","-19.24","-103,824,369.58","0.48","1.28","39.04","107.29","402.67","349.02","295.37","-3.11","-12.88","26.76","9.05","39.07","","-18.98","-9.82","1.76","0.09","-5.52","-5.47","30.08","395.29","343.61","291.93","48.75","3.06","-0.03","19.33","21.36","342.76","414.25","270.39","64.29","78.57","14.29","340.05","345.14","363.31","26.27","24.12","19.92","15,559.90","93.64"
"2022-01-09T23:00:00.000Z","352.71","3.03","3.41","91,815,000","50.45","396.07","344.30","292.52","119.68","357.67","357.67","357.67","","-46.56","356.31","0.98","0.90","62.56","2,754,674.19","0.21","0.32","57.64","7.60","356.05","0.12","26.37","0.15","89.67","85.16","737,749,500.00","368.15","793.52","327.22","50.89","57.19","50.89","57.19","-14.28","23.85","387.18","359.17","331.15","38.99","","","81.26","87.41","","80.68","50.45","39.66","-0.10","0.06","-0.17","3.20","0.72","1.46","45.70","-45.70","-16.35","-2.57","40.00","460.86","28.89","-23.61","1.00","359.00","317.00","71,917,132.83","0.76","17.58","4.36","-0.19","154.12","110.70","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.16","401.35","1,004,709,300.00","93.39","96.47","375.56","357.67","339.79","-9.79","344.30","357.67","265.19","357.67","45.01","52.73","355.54","24.81","0.29","4.36","4.03","0.33","295.37","1.70","0.12","344.31","368.15","-9,633,485.81","-6,052,736.81","-3,580,749.00","469.34","356.64","243.93","49.32","364.67","349.02","373.39","328.99","307.80","77.64","402.67","26.37","386.22","367.83","349.44","352.74","355.90","357.12","356.64","355.86","354.67","350.36","348.71","346.79","344.63","342.29","337.29","1.77","9.00","-15.00","0","402.67","351.05","-2.42","-28.78","47,243,537.23","-0.22","0.48","32.18","107.29","402.67","349.02","295.37","-1.22","0.20","25.40","1.00","40.71","","-8.01","-4.38","9.10","0.12","-5.53","-5.51","30.08","396.07","344.30","292.52","58.12","3.10","0.04","10.34","21.72","403.15","426.07","279.34","64.29","71.43","7.14","341.69","350.69","365.69","24.00","25.32","18.69","16,353.42","119.68"
"2022-01-10T23:00:00.000Z","354.80","0.59","0.97","66,063,300","51.08","396.86","345.93","295.00","128.21","357.34","357.34","357.34","","-57.22","359.53","1.06","0.90","-7.63","1,373,002.52","0.23","0.33","59.30","7.34","359.35","0.13","12.34","0.16","84.91","85.11","803,812,800.00","361.25","326.59","327.22","46.66","50.51","46.66","50.51","-21.61","15.58","380.70","353.49","326.27","30.44","","","89.97","78.11","","61.53","51.08","43.53","-0.15","-0.04","-0.12","3.13","1.21","0.97","39.28","-39.28","-6.28","-2.50","45.00","472.42","39.13","-10.16","1.00","359.00","337.00","72,309,220.14","0.76","13.41","3.95","-0.24","154.12","110.87","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.15","398.36","1,070,772,600.00","93.95","96.45","375.21","357.34","339.47","-7.63","345.93","357.34","265.95","357.34","45.21","41.96","358.98","24.77","0.19","3.95","4.01","-0.06","295.37","0.18","0","358.73","361.25","-7,438,556.18","-6,250,711.00","-1,187,845.18","463.91","356.30","248.70","52.95","364.67","349.02","368.69","330.44","292.12","77.75","402.67","12.34","383.89","365.61","347.33","353.77","355.53","356.60","356.30","355.70","354.69","350.65","349.05","347.18","345.07","342.78","337.86","1.77","12.46","-7.42","0","402.67","351.05","3.26","-9.08","60,250,433.21","-0.60","-0.22","45.86","107.29","402.67","349.02","295.37","-1.47","8.71","22.97","25.08","49.48","","-5.69","-1.82","4.36","0.16","-5.54","-5.53","29.45","396.86","345.93","295.00","58.71","2.87","0.04","4.21","21.05","403.15","420.90","288.70","64.29","64.29","0","342.95","355.42","362.84","24.89","24.26","17.45","16,680.02","128.21"
"2022-01-11T23:00:00.000Z","368.74","3.93","4.31","83,739,000","55.16","398.73","348.39","298.05","142.15","356.66","356.66","356.66","","-44.64","361.97","1.03","0.91","-10.57","1,684,876.83","0.17","0.32","53.65","7.48","361.82","0.15","16.81","0.17","75.37","83.16","887,551,800.00","360.08","1,995.46","327.22","50.52","49.36","50.52","49.36","-15.39","9.95","381.55","354.69","327.84","27.66","","","106.25","80.12","","38.02","55.16","47.21","-0.13","-0.11","-0.02","3.62","2.05","0.77","26.57","-26.57","20.47","-0.66","50.00","486.09","51.31","4.07","1.00","373.00","353.00","75,599,304.43","0.78","9.65","4.70","0.30","160.18","111.02","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.19","395.49","1,154,511,600.00","93.95","96.42","374.49","356.66","338.83","5.97","348.39","356.66","266.73","356.66","45.16","32.45","361.54","24.78","0.17","4.70","4.15","0.55","319.02","-0.36","0.01","365.07","360.08","-5,049,016.27","-6,079,040.33","1,030,024.06","463.82","358.57","253.31","53.97","364.67","349.02","360.42","331.34","285.66","80.14","402.67","14.08","381.07","362.92","344.78","361.25","359.94","359.30","358.57","357.70","356.44","351.82","350.15","348.23","346.10","343.79","338.87","1.68","13.93","-2.08","-1.00","402.67","326.67","14.35","0.26","218,403,494.81","-0.62","-0.60","23.90","107.29","402.67","349.02","295.37","1.75","28.16","20.63","60.09","52.00","","8.78","2.35","-3.89","0.16","-5.53","-5.54","28.90","398.73","348.39","298.05","70.21","2.95","0.03","2.35","20.75","403.15","431.71","305.77","57.14","57.14","0","343.96","357.89","359.97","27.92","22.86","16.91","18,675.48","142.15"
"2022-01-12T23:00:00.000Z","343.85","-6.75","-6.37","97,209,900","47.54","398.60","349.32","300.04","114.13","355.72","355.72","355.72","","-77.39","361.97","0.93","0.97","4.85","2,984,623.63","0.18","0.32","48.52","8.36","362.11","0.09","29.69","0.16","39.56","74.44","790,341,900.00","354.35","-2,951.50","327.22","40.25","45.81","40.25","45.81","-23.68","3.84","380.12","352.48","324.84","29.11","","","87.64","92.71","","19.01","47.54","43.95","-0.10","-0.13","0.03","2.90","1.41","1.75","11.96","-11.96","-20.52","-6.06","45.00","486.99","51.63","17.11","-1.00","373.00","337.00","69,038,503.94","0.74","-3.32","3.25","-0.79","149.37","111.14","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.12","392.74","1,057,301,700.00","93.95","96.43","373.51","355.72","337.94","-17.33","349.32","355.72","267.34","355.72","36.64","-11.81","362.39","24.93","0.31","3.25","3.97","-0.72","326.67","-1.11","0.09","369.87","354.35","-6,743,657.91","-6,173,985.70","-569,672.21","465.46","355.89","246.32","46.40","364.67","349.02","359.78","331.34","273.84","87.02","402.67","29.69","377.83","359.84","341.85","352.55","354.57","355.87","355.89","355.57","354.87","351.30","349.80","348.02","346.00","343.80","339.04","1.64","9.61","-1.14","0","402.67","326.67","16.52","-13.17","-158,401,219.85","-0.62","-0.62","-24.15","107.29","402.67","349.02","295.37","-4.90","6.86","14.77","11.92","52.57","","-5.37","-3.05","-0.33","0.06","-5.57","-5.55","28.22","398.60","349.32","300.04","44.46","3.43","-0.09","3.73","21.39","403.15","412.04","275.67","-28.57","50.00","78.57","347.47","357.08","355.94","25.15","25.72","15.78","15,723.98","114.13"
"2022-01-13T23:00:00.000Z","349.87","1.75","2.13","72,924,300","49.36","397.04","351.36","305.68","126.21","354.63","354.63","354.63","","-69.47","360.72","0.84","1.09","2.50","2,031,618.15","0.20","0.32","55.84","9.01","360.79","0.13","12.87","0.15","17.21","63.00","863,266,200.00","351.78","159.03","327.22","36.17","42.31","36.17","42.31","-29.58","-2.24","380.91","353.99","327.08","29.65","2.17","2.66","87.68","92.54","67,383,678.00","9.51","49.36","47.86","-0.10","-0.12","0.02","2.63","0.56","1.15","17.34","-17.34","-6.65","-3.16","50.00","488.55","52.68","27.60","1.00","353.00","337.00","70,314,515.73","0.75","-4.05","2.55","-0.50","149.37","111.26","346.19","397.01","301.44","441.77","250.62","492.59","205.87","1.13","390.10","1,130,226,000.00","95.59","96.43","372.36","354.63","336.90","-10.30","351.36","354.63","267.99","354.63","30.03","-14.78","360.93","24.97","0.18","2.55","3.69","-1.13","326.67","-1.34","0.13","370.55","351.78","-7,750,230.13","-6,399,163.47","-1,351,066.66","459.85","354.80","249.75","53.64","364.67","349.02","359.78","334.51","254.68","87.41","402.67","12.87","374.93","357.07","339.22","351.21","353.01","354.53","354.80","354.69","354.24","351.21","349.80","348.11","346.17","344.04","339.39","1.64","5.38","-0.76","0","402.67","326.67","-3.90","-16.78","-73,092,344.40","-0.83","-0.62","-70.53","107.29","402.67","349.02","295.37","-2.95","18.49","9.83","-18.39","52.10","-0.05","-43.55","-0.55","0.74","0.15","-5.59","-5.56","26.00","397.04","351.36","305.68","48.37","3.36","-0.07","3.49","20.78","403.15","412.14","287.60","-28.57","42.86","71.43","350.63","356.01","355.24","24.04","26.09","14.95","15,883.01","126.21"
