date,close,% change,% change vs average,volume,rsi ‌rsi‌ (14),"bollinger bands top ‌bollinger bands‌ (20,2,ma,y)","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)",result ‌w acc dist‌ (n),"ma ‌ma‌ (50,ma,0)","ma ‌ma‌ (50,ma,0)-2","ma ‌ma‌ (50,ma,0)-3",result ‌zigzag‌ (10),result ‌williams %r‌ (14),result ‌weighted close‌ (14),+vi ‌vortex‌ (14),-vi ‌vortex‌ (14),result ‌vol roc‌ (14),"result ‌vol osc‌ (12,26,points)",result ‌vt hz filter‌ (28),"result ‌ultimate‌ (7,14,28)",result ‌ulcer‌ (14),result ‌typical price‌ (14),result ‌twiggs‌ (21),true range ‌true range‌,result ‌trix‌ (14),"tii ‌trend int‌ (14,9)","signal ‌trend int‌ (14,9)",result ‌trade vol‌ (0.5),forecast ‌time fcst‌ (14),result ‌swing‌ (0.5),"trend ‌supertrend‌ (7,3)","%k ‌stochastics‌ (14,y)","%d ‌stochastics‌ (14,y)","%k ‌stochastics‌ (14,n,3,3)","%d ‌stochastics‌ (14,n,3,3)","%k ‌stch mtm‌ (10,3,3,10,ema)","%d ‌stch mtm‌ (10,3,3,10,ema)","starc bands top ‌starc bands‌ (15,5,1.3,y)","starc bands median ‌starc bands‌ (15,5,1.3,y)","starc bands bottom ‌starc bands‌ (15,5,1.3,y)","result ‌std dev‌ (14,2,ma)",short % of outstanding,short % of float,strong ratio ‌shinohara‌ (26),weak ratio ‌shinohara‌ (26),shares short,"result ‌schaff‌ (10,23,50,ema)",rsi ‌rsi‌ (14)-2,"rel vol ‌rel vol‌ (10,14)",rel vig ‌rel vig‌ (10),relvigsignal ‌rel vig‌ (10),‌rel vig‌ (10)_hist,"‌ravi‌ (vdma,7,65)_hist",random walk high ‌random walk‌ (14),random walk low ‌random walk‌ (14),"over ‌rainbow osc‌ (2,10)","under ‌rainbow osc‌ (2,10)","‌rainbow osc‌ (2,10)_hist","result ‌qstick‌ (8,ma)",result ‌psy‌ (20),result ‌pring sp-k‌ (daily),"kst ‌pring kst‌ (10,10,15,10,20,10,30,15,9)","kstsignal ‌pring kst‌ (10,10,15,10,20,10,30,15,9)",result ‌prime number‌ (5),prime bands top ‌prime number bands‌ (y),prime bands bottom ‌prime number bands‌ (y),result ‌price vol‌,result ‌p rel‌ (spy),result ‌price roc‌ (14),"result ‌price osc‌ (12,26,ema,points)",result ‌pretty good‌ (14),"index ‌pos vol‌ (255,ma)","ma ‌pos vol‌ (255,ma)","pivot ‌pivot points‌ (standard,n)","resistance 1 ‌pivot points‌ (standard,n)","support 1 ‌pivot points‌ (standard,n)","resistance 2 ‌pivot points‌ (standard,n)","support 2 ‌pivot points‌ (standard,n)","resistance 3 ‌pivot points‌ (standard,n)","support 3 ‌pivot points‌ (standard,n)","result ‌perf idx‌ (120,spy)","result ‌psar‌ (0.02,0.2)",result ‌on bal vol‌,"index ‌neg vol‌ (255,ma)","ma ‌neg vol‌ (255,ma)","ma env top ‌ma env‌ (50,percent,5,ma,y)","ma env median ‌ma env‌ (50,percent,5,ma,y)","ma env bottom ‌ma env‌ (50,percent,5,ma,y)","‌ma dev‌ (12,ma,points)_hist","ma 1 ‌macross‌ (20,50,200,ma,0)","ma 2 ‌macross‌ (20,50,200,ma,0)","ma 3 ‌macross‌ (20,50,200,ma,0)","ma ‌ma‌ (50,ma,0)-4",result ‌m flow‌ (14),result ‌momentum‌ (14),result ‌med price‌ (14),"result ‌mass idx‌ (25,27)",‌w mfi‌ (6)_hist,"macd ‌macd‌ (12,26,9)","signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist",result ‌llv‌ (14),slope ‌lr slope‌ (14),rsquared ‌lin r2‌ (14),intercept ‌lin incpt‌ (14),forecast ‌lin fcst‌ (14),"klinger ‌klinger‌ (13,34,55)","klingersignal ‌klinger‌ (13,34,55)","‌klinger‌ (13,34,55)_hist","keltner top ‌keltner‌ (10,5,ema,y)","keltner median ‌keltner‌ (10,5,ema,y)","keltner bottom ‌keltner‌ (10,5,ema,y)",result ‌intraday mtm‌ (20),"conversion line ‌ichimoku clouds‌ (9,26,52,26)","base line ‌ichimoku clouds‌ (9,26,52,26)","leading span a ‌ichimoku clouds‌ (9,26,52,26)","leading span b ‌ichimoku clouds‌ (9,26,52,26)","lagging span ‌ichimoku clouds‌ (9,26,52,26)","result ‌hist vol‌ (10,252,1)",result ‌hhv‌ (14),result ‌high-low‌,"high low top ‌high low‌ (10,5,y)","high low median ‌high low‌ (10,5,y)","high low bottom ‌high low‌ (10,5,y)",ma 3 ‌guppy‌,ma 5 ‌guppy‌,ma 8 ‌guppy‌,ma 10 ‌guppy‌,ma 12 ‌guppy‌,ma 15 ‌guppy‌,ma 30 ‌guppy‌,ma 35 ‌guppy‌,ma 40 ‌guppy‌,ma 45 ‌guppy‌,ma 50 ‌guppy‌,ma 60 ‌guppy‌,result ‌gapo‌ (14),"‌gator‌ (13,8,8,5,5,3)_hist1","‌gator‌ (13,8,8,5,5,3)_hist2",result ‌fractal chaos‌,fractal high ‌fractal chaos bands‌ (y),fractal low ‌fractal chaos bands‌ (y),‌elder ray‌ (13)_hist1,‌elder ray‌ (13)_hist2,result ‌elder force‌ (13),ef ‌ehler fisher‌ (10),ef trigger ‌ehler fisher‌ (10),"result ‌eom‌ (14,ma)","result ‌donchian width‌ (20,20)","donchian high ‌donchian channel‌ (20,20,y)","donchian median ‌donchian channel‌ (20,20,y)","donchian low ‌donchian channel‌ (20,20,y)","result ‌disparity‌ (14,ma)","result ‌detrended‌ (14,ma)",darvas ‌darvas‌,"result ‌coppock‌ (10,11,14)",result ‌cci‌ (20),result ‌choppiness‌ (14),change in short interest 15 days,result ‌chande mtm‌ (9),result ‌chande fcst‌ (14),"result ‌chaikin vol‌ (14,2,ma)",result ‌chaikin mf‌ (20),center of gravity ‌cog‌ (10),signal ‌cog‌ (10),"bandwidth ‌boll bw‌ (20,2,ma)","bollinger bands top ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)-2","%b ‌boll %b‌ (20,2,ma)","result ‌beta‌ (20,spy)","result ‌bal pwr‌ (14,ma)",‌awesome‌_hist,atr ‌atr‌ (14),"all stops ‌atr trailing stop‌ (21,3,points,n)","atr bands top ‌atr bands‌ (5,3,y)","atr bands bottom ‌atr bands‌ (5,3,y)",aroon oscillator ‌aroon osc‌ (14),aroon up ‌aroon‌ (14),aroon down ‌aroon‌ (14),"jaw ‌alligator‌ (y,13,8,8,5,5,3,n)","teeth ‌alligator‌ (y,13,8,8,5,5,3,n)","lips ‌alligator‌ (y,13,8,8,5,5,3,n)","+di ‌adx‌ (14,14,y,n)","-di ‌adx‌ (14,14,y,n)","adx ‌adx‌ (14,14,y,n)",result ‌acc swing‌ (0.5),result ‌w acc dist‌ (n)-2,source_file,ghost ‌darvas‌,visitor trend
2014-01-01 23:00:00+00:00,19.9,-0.21,-0.13,"42,756,000",60.01,20.33,19.61,18.88,7.52,18.72,18.72,18.72,19.83,-29.31,19.74,1.08,0.86,-12.79,"-3,703,182.72",0.39,56.0,1.57,19.74,0.16,0.27,0.32,100.0,96.76,"-41,206,000.00",20.14,-0.68,19.01,65.86,68.6,65.86,68.6,35.88,44.68,20.4,19.93,19.45,0.68,,,144.64,79.82,,23.42,60.01,50.75,0.02,0.07,-0.05,9.42,1.02,0.9,38.12,-38.12,-6.29,-0.03,50.0,288.72,66.12,72.94,-1.0,23.0,19.0,"41,766,393.58",0.11,4.13,0.38,0.42,156.87,,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.13,19.61,"1,147,420,000.00",98.15,,19.65,18.72,17.78,0.05,19.61,18.72,15.34,18.72,64.75,0.79,19.73,24.44,0.01,0.38,0.43,-0.05,18.98,0.06,0.5,19.3,20.14,"-1,905,620.25","-413,440.93","-1,492,179.32",21.62,19.84,18.05,47.66,19.95,19.47,17.64,16.74,18.04,19.64,20.28,0.27,20.98,19.98,18.99,19.89,19.9,19.87,19.84,19.79,19.72,19.29,19.13,18.97,18.81,18.66,18.37,0.1,0.57,-0.31,-1.0,20.28,19.62,0.2,-0.07,"2,246,122.81",1.1,1.47,0.01,1.31,20.28,19.63,18.98,0.75,0.01,,6.85,55.7,51.58,,5.8,-1.21,-2.64,0.08,-5.5,-5.49,7.43,20.33,19.61,18.88,70.07,0.98,0.0,0.69,0.36,19.08,20.93,18.87,71.43,78.57,7.14,18.95,19.52,19.84,22.79,10.8,42.87,865.09,7.52,AMZN_2014Y_day.csv,,
2014-01-02 23:00:00+00:00,19.82,-0.38,-0.3,"44,204,000",58.29,20.35,19.63,18.91,7.2,18.78,18.78,18.78,,-40.79,19.8,1.12,0.79,4.07,"-3,692,081.45",0.38,50.49,1.42,19.79,0.12,0.32,0.31,100.0,97.41,"2,998,000.00",20.06,-9.42,19.01,67.91,66.59,67.91,66.59,22.69,40.68,20.32,19.85,19.37,0.57,,,138.50,88.06,,11.71,58.29,48.69,0.0,0.04,-0.04,9.18,1.63,0.68,28.12,-28.12,-14.35,-0.08,45.0,289.4,64.99,70.94,-1.0,23.0,19.0,"41,596,450.96",0.11,3.98,0.36,0.05,156.26,,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.13,19.67,"1,103,216,000.00",98.15,,19.72,18.78,17.84,-0.06,19.63,18.78,15.37,18.78,70.73,0.76,19.79,24.47,0.01,0.36,0.42,-0.06,18.98,0.04,0.31,19.51,20.06,"-1,125,927.45","-515,224.72","-610,702.73",21.6,19.83,18.06,44.24,19.95,19.51,17.81,16.83,18.09,17.13,20.28,0.32,20.96,19.97,18.97,19.86,19.87,19.86,19.83,19.8,19.74,19.32,19.16,19.01,18.86,18.71,18.42,0.1,0.55,-0.24,0.0,20.28,19.62,0.36,0.03,"1,442,161.94",0.88,1.1,0.03,1.31,20.28,19.63,18.98,0.09,-0.06,,6.78,63.08,57.56,,3.53,-1.2,-0.66,0.03,-5.51,-5.5,7.33,20.35,19.63,18.91,63.17,0.98,-0.02,0.61,0.36,19.08,20.84,18.8,71.43,71.43,0.0,19.04,19.59,19.83,24.64,10.11,42.79,855.67,7.2,AMZN_2014Y_day.csv,,
2014-01-05 23:00:00+00:00,19.68,-0.71,-0.63,"63,412,000",55.16,20.35,19.66,18.96,7.03,18.85,18.85,18.85,,-53.26,19.83,1.03,0.91,4.81,"-2,109,046.76",0.31,53.02,1.46,19.82,0.12,0.43,0.29,89.5,95.83,"66,410,000.00",19.94,-19.43,19.01,58.88,64.22,58.88,64.22,4.64,34.13,20.28,19.8,19.32,0.47,,,121.15,91.76,,5.85,55.16,46.54,-0.04,0.01,-0.05,8.8,0.56,2.2,34.6,-34.6,-31.84,-0.09,45.0,289.66,63.69,69.28,-1.0,23.0,19.0,"41,146,978.12",0.11,2.44,0.32,-0.44,155.16,,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.12,20.28,"1,039,804,000.00",98.15,,19.79,18.85,17.91,-0.23,19.66,18.85,15.41,18.85,62.02,0.47,19.81,24.61,0.01,0.32,0.4,-0.08,19.16,0.02,0.08,19.72,19.94,"-2,720,802.82","-830,307.31","-1,890,495.51",21.61,19.81,18.0,44.2,19.85,19.63,18.07,16.94,17.46,17.46,20.28,0.43,20.92,19.93,18.93,19.77,19.81,19.82,19.81,19.78,19.73,19.34,19.19,19.04,18.89,18.74,18.46,0.05,0.53,-0.18,0.0,20.28,19.62,0.08,-0.34,"-36,639.89",0.32,0.88,0.0,1.31,20.28,19.63,18.98,-0.79,-0.17,,5.9,0.12,57.71,,-27.44,-1.33,4.05,0.04,-5.52,-5.51,7.08,20.35,19.66,18.96,51.89,0.99,-0.02,0.48,0.37,19.08,20.76,18.61,42.86,64.29,21.43,19.12,19.64,19.83,22.58,16.87,40.77,836.23,7.03,AMZN_2014Y_day.csv,,
2014-01-06 23:00:00+00:00,19.9,1.12,1.2,"38,320,000",58.88,20.37,19.68,18.99,7.25,18.91,18.91,18.91,,-33.73,19.86,1.08,0.92,-14.91,"-2,846,383.72",0.3,51.28,1.49,19.85,0.15,0.24,0.27,82.38,93.14,"104,730,000.00",19.9,25.51,19.01,57.4,61.4,57.4,61.4,1.24,28.15,20.32,19.85,19.38,0.42,,,119.30,92.29,,2.93,58.88,48.84,-0.09,-0.02,-0.07,8.66,1.17,0.79,21.28,-21.28,12.6,-0.05,45.0,290.16,62.25,67.66,-1.0,23.0,19.0,"41,575,321.85",0.11,2.33,0.31,0.09,155.16,,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.12,20.26,"1,078,124,000.00",99.25,,19.86,18.91,17.97,-0.02,19.68,18.91,15.44,18.91,61.71,0.45,19.84,24.68,0.01,0.31,0.38,-0.07,19.16,0.01,0.01,19.83,19.9,"-1,985,313.38","-995,308.17","-990,005.21",21.57,19.82,18.07,47.71,19.85,19.63,18.23,17.08,17.86,15.99,20.28,0.21,20.88,19.89,18.9,19.84,19.84,19.84,19.82,19.8,19.75,19.38,19.23,19.08,18.94,18.79,18.51,0.05,0.48,-0.16,1.0,20.14,19.62,0.14,-0.07,"1,172,943.92",0.01,0.32,0.0,1.31,20.28,19.63,18.98,0.15,0.05,,5.25,40.45,56.74,,-14.01,-0.01,0.45,0.05,-5.51,-5.51,6.99,20.37,19.68,18.99,65.88,1.14,-0.01,0.45,0.36,19.08,20.91,18.9,42.86,57.14,14.29,19.19,19.66,19.83,22.96,16.05,39.12,861.75,7.25,AMZN_2014Y_day.csv,,
2014-01-07 23:00:00+00:00,20.1,0.98,1.06,"46,330,000",61.89,20.41,19.73,19.05,7.55,18.95,18.95,18.95,,-16.47,19.9,1.08,0.87,-1.17,"-2,752,657.60",0.25,58.77,1.44,19.89,0.17,0.35,0.26,80.02,90.52,"151,060,000.00",19.89,20.51,19.01,65.51,60.6,65.51,60.6,13.82,25.54,20.35,19.88,19.41,0.33,,,110.92,92.06,,1.46,61.89,51.02,-0.13,-0.07,-0.07,8.66,1.8,0.58,34.06,-34.06,43.36,-0.04,50.0,290.12,60.64,66.18,-1.0,23.0,19.0,"42,028,111.00",0.11,3.68,0.31,0.51,156.67,123.08,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.13,20.25,"1,124,454,000.00",99.25,94.26,19.9,18.95,18.0,0.15,19.73,18.95,15.48,18.95,68.28,0.71,19.88,24.68,0.01,0.31,0.37,-0.06,19.16,0.0,0.01,19.96,19.89,"-1,140,923.87","-1,016,110.42","-124,813.45",21.62,19.87,18.12,52.82,19.85,19.63,18.44,17.26,17.87,16.77,20.28,0.35,20.87,19.87,18.88,19.97,19.92,19.89,19.87,19.84,19.79,19.43,19.28,19.13,18.99,18.84,18.56,0.05,0.43,-0.17,-1.0,20.14,19.42,0.32,-0.03,"2,292,692.45",0.12,0.01,0.01,1.31,20.28,19.63,18.98,0.87,0.19,,4.78,74.87,57.52,,7.75,1.01,-0.41,0.09,-5.5,-5.51,6.89,20.41,19.73,19.05,77.26,1.16,0.07,0.43,0.36,19.08,21.11,19.08,42.86,50.0,7.14,19.25,19.68,19.86,25.89,14.93,38.24,882.26,7.55,AMZN_2014Y_day.csv,,
2014-01-08 23:00:00+00:00,20.05,-0.23,-0.15,"42,060,000",60.77,20.43,19.76,19.08,7.25,18.99,18.99,18.99,,-31.84,19.93,1.14,0.87,-39.73,"-2,988,482.91",0.28,57.68,1.46,19.93,0.15,0.42,0.25,82.22,88.86,"193,120,000.00",19.91,-3.73,19.07,72.66,65.19,72.66,65.19,22.87,25.06,20.38,19.91,19.44,0.33,,,111.82,91.8,,0.73,60.77,48.71,-0.13,-0.1,-0.03,8.56,1.57,0.66,43.93,-43.93,27.06,-0.02,45.0,290.73,59.12,64.59,-1.0,23.0,19.0,"41,932,882.02",0.11,1.28,0.3,0.31,156.67,123.3,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.13,19.42,"1,082,394,000.00",99.02,94.26,19.94,18.99,18.05,0.11,19.76,18.99,15.52,18.99,67.05,0.25,19.92,24.7,0.01,0.3,0.35,-0.05,19.16,0.0,0.01,19.98,19.91,"-462,390.30","-937,007.54","474,617.24",21.69,19.9,18.12,47.62,19.88,19.66,18.75,17.39,17.68,16.14,20.28,0.42,20.86,19.87,18.88,20.01,19.97,19.93,19.9,19.88,19.83,19.47,19.32,19.18,19.03,18.89,18.61,0.05,0.39,-0.11,0.0,20.14,19.42,0.48,0.06,"1,691,776.15",0.49,0.12,0.02,1.31,20.28,19.63,18.98,0.56,0.13,,3.89,91.28,63.25,,-10.97,0.71,-2.68,0.05,-5.5,-5.51,6.84,20.43,19.76,19.08,71.61,1.22,0.01,0.44,0.36,19.08,21.11,18.99,100.0,100.0,0.0,19.31,19.7,19.81,27.57,13.69,37.92,878.53,7.25,AMZN_2014Y_day.csv,,
2014-01-09 23:00:00+00:00,19.88,-0.84,-0.75,"53,590,000",56.7,20.4,19.8,19.19,6.95,19.03,19.03,19.03,,-49.97,19.94,1.0,0.92,10.39,"-2,219,417.47",0.29,52.11,1.52,19.94,0.13,0.5,0.24,68.35,84.76,"246,710,000.00",19.87,-21.90,19.07,67.24,68.47,67.24,68.47,19.24,24.0,20.41,19.92,19.44,0.32,,,119.58,89.36,,0.37,56.7,46.9,-0.13,-0.13,-0.01,8.25,1.06,1.55,43.8,-43.8,-10.11,-0.01,45.0,289.17,55.29,62.85,-1.0,23.0,19.0,"41,485,192.32",0.11,0.63,0.28,-0.18,155.36,123.51,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.11,19.44,"1,028,804,000.00",99.02,94.26,19.98,19.03,18.08,-0.04,19.8,19.03,15.55,19.03,59.43,0.12,19.94,24.77,0.01,0.28,0.34,-0.06,19.42,-0.01,0.1,20.04,19.87,"-1,894,177.86","-1,073,746.16","-820,431.70",21.76,19.9,18.05,47.83,19.88,19.66,18.75,17.39,17.37,15.16,20.34,0.5,20.86,19.87,18.87,19.95,19.94,19.92,19.9,19.88,19.83,19.49,19.35,19.21,19.07,18.93,18.65,-0.03,0.39,-0.08,0.0,20.14,19.42,0.32,-0.17,"167,750.60",0.61,0.49,0.0,1.37,20.34,19.66,18.98,-0.33,-0.05,,3.01,38.09,65.24,,-1.51,0.08,0.51,0.08,-5.49,-5.5,6.14,20.4,19.8,19.19,57.06,1.09,-0.04,0.38,0.37,19.08,21.03,18.73,21.43,92.86,71.43,19.35,19.74,19.81,24.93,16.84,36.59,856.63,6.95,AMZN_2014Y_day.csv,,
2014-01-12 23:00:00+00:00,19.55,-1.68,-1.6,"56,898,000",49.57,20.34,19.82,19.3,6.51,19.06,19.06,19.06,,-86.14,19.91,0.92,1.04,-43.49,"-1,327,694.77",0.27,45.98,1.76,19.91,0.09,0.57,0.22,36.38,75.08,"303,608,000.00",19.79,-41.83,19.07,44.02,61.3,44.02,61.3,-4.92,18.74,20.4,19.9,19.4,0.36,,,108.00,96.71,,0.18,49.57,44.65,-0.15,-0.14,-0.02,7.42,0.65,1.54,49.74,-49.74,-64.07,-0.08,45.0,287.11,51.01,61.08,-1.0,23.0,19.0,"40,529,405.38",0.11,-2.79,0.23,-0.9,152.75,123.7,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.11,20.34,"971,906,000.00",99.02,94.25,20.01,19.06,18.11,-0.34,19.82,19.06,15.58,19.06,47.7,-0.56,19.92,24.95,0.01,0.23,0.32,-0.08,19.42,-0.02,0.17,20.05,19.79,"-3,262,955.77","-1,386,490.39","-1,876,465.38",21.79,19.84,17.88,43.1,19.88,19.66,18.79,17.39,17.49,15.45,20.34,0.57,20.87,19.88,18.88,19.75,19.81,19.84,19.84,19.83,19.8,19.5,19.37,19.23,19.09,18.95,18.68,-0.03,0.34,-0.12,1.0,20.34,19.42,0.17,-0.4,"-2,571,058.22",0.3,0.61,-0.03,1.37,20.34,19.66,18.98,-1.81,-0.35,,1.15,-54.82,65.89,,-8.02,-1.22,7.95,0.06,-5.5,-5.5,5.25,20.34,19.82,19.3,23.83,1.13,-0.13,0.35,0.39,19.08,20.81,18.29,21.43,85.71,64.29,19.39,19.72,19.85,22.31,20.03,34.36,814.81,6.51,AMZN_2014Y_day.csv,,
2014-01-13 23:00:00+00:00,19.88,1.68,1.76,"46,802,000",55.49,20.29,19.85,19.42,6.84,19.09,19.09,19.09,,-50.62,19.89,0.91,1.05,-12.01,"-1,419,300.13",0.28,52.68,1.82,19.89,0.12,0.38,0.2,34.69,67.0,"350,410,000.00",19.81,31.09,19.07,37.75,49.67,37.75,49.67,-9.94,13.53,20.39,19.89,19.39,0.34,,,122.83,92.43,,0.09,55.49,47.19,-0.16,-0.14,-0.01,7.23,0.9,0.91,45.2,-45.2,1.98,-0.04,45.0,285.22,47.09,58.91,-1.0,23.0,19.0,"41,314,668.26",0.11,-1.34,0.22,-0.03,152.75,123.89,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.11,20.33,"1,018,708,000.00",100.68,94.26,20.05,19.09,18.14,0.02,19.85,19.09,15.61,19.09,47.09,-0.27,19.89,25.13,0.01,0.22,0.3,-0.08,19.42,-0.01,0.08,19.98,19.81,"-2,278,624.36","-1,513,938.10","-764,686.26",21.79,19.84,17.9,47.82,19.88,19.66,18.83,17.39,17.34,16.67,20.34,0.37,20.89,19.89,18.9,19.81,19.83,19.85,19.84,19.83,19.81,19.52,19.39,19.26,19.12,18.99,18.72,-0.03,0.31,-0.17,0.0,20.34,19.42,0.1,-0.26,"-10,749.36",-0.04,0.3,-0.03,1.19,20.34,19.75,19.16,-0.06,0.01,,0.37,-19.91,66.55,,-4.04,0.32,3.87,0.15,-5.5,-5.5,4.43,20.29,19.85,19.42,52.53,1.18,-0.07,0.3,0.39,19.08,21.11,18.64,21.43,78.57,57.14,19.42,19.74,19.9,20.73,18.61,32.29,845.90,6.84,AMZN_2014Y_day.csv,,
2014-01-14 23:00:00+00:00,19.79,-0.42,-0.34,"53,566,000",53.76,20.27,19.87,19.47,6.67,19.13,19.13,19.13,,-59.66,19.88,0.95,1.03,94.02,"-935,317.99",0.28,51.94,1.89,19.88,0.11,0.34,0.19,37.71,61.14,"403,976,000.00",19.8,-5.71,19.07,34.52,38.77,34.52,38.77,-13.54,8.61,20.33,19.83,19.33,0.34,1.32,1.63,114.28,94.35,"121,061,360.00",0.05,53.76,44.98,-0.14,-0.15,0.01,6.96,1.05,0.8,35.9,-35.9,-10.32,-0.05,40.0,281.97,41.96,56.23,-1.0,23.0,19.0,"41,089,646.58",0.11,-0.83,0.2,-0.22,152.11,124.09,19.73,20.49,19.18,21.04,18.43,21.8,17.88,1.1,20.31,"965,142,000.00",100.68,94.26,20.09,19.13,18.17,-0.05,19.87,19.13,15.65,19.13,53.41,-0.17,19.88,25.27,0.01,0.2,0.28,-0.08,19.42,-0.01,0.08,19.97,19.8,"-1,234,093.19","-1,473,960.26","239,867.06",21.76,19.83,17.91,43.07,19.88,19.66,18.91,17.39,17.59,15.39,20.34,0.34,20.88,19.89,18.89,19.8,19.82,19.83,19.83,19.83,19.81,19.54,19.42,19.29,19.15,19.02,18.76,-0.03,0.3,-0.15,-1.0,20.34,19.42,0.14,-0.2,"-648,178.89",-0.26,-0.04,-0.02,1.19,20.34,19.75,19.16,-0.42,-0.06,,-0.05,-29.04,66.35,-3.1,-6.6,-0.03,0.93,0.14,-5.5,-5.5,4.02,20.27,19.87,19.47,40.18,1.11,-0.07,0.24,0.38,19.08,20.99,18.6,21.43,71.43,50.0,19.46,19.77,19.91,20.05,17.43,30.49,840.19,6.67,AMZN_2014Y_day.csv,,
