date,close,% change,% change vs average,volume,rsi ‌rsi‌ (14),"bollinger bands top ‌bollinger bands‌ (20,2,ma,y)","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)",result ‌w acc dist‌ (n),"ma ‌ma‌ (50,ma,0)","ma ‌ma‌ (50,ma,0)-2","ma ‌ma‌ (50,ma,0)-3",result ‌zigzag‌ (10),result ‌williams %r‌ (14),result ‌weighted close‌ (14),+vi ‌vortex‌ (14),-vi ‌vortex‌ (14),result ‌vol roc‌ (14),"result ‌vol osc‌ (12,26,points)",result ‌vt hz filter‌ (28),"result ‌ultimate‌ (7,14,28)",result ‌ulcer‌ (14),result ‌typical price‌ (14),result ‌twiggs‌ (21),true range ‌true range‌,result ‌trix‌ (14),"tii ‌trend int‌ (14,9)","signal ‌trend int‌ (14,9)",result ‌trade vol‌ (0.5),forecast ‌time fcst‌ (14),result ‌swing‌ (0.5),"trend ‌supertrend‌ (7,3)","%k ‌stochastics‌ (14,y)","%d ‌stochastics‌ (14,y)","%k ‌stochastics‌ (14,n,3,3)","%d ‌stochastics‌ (14,n,3,3)","%k ‌stch mtm‌ (10,3,3,10,ema)","%d ‌stch mtm‌ (10,3,3,10,ema)","starc bands top ‌starc bands‌ (15,5,1.3,y)","starc bands median ‌starc bands‌ (15,5,1.3,y)","starc bands bottom ‌starc bands‌ (15,5,1.3,y)","result ‌std dev‌ (14,2,ma)",short % of outstanding,short % of float,strong ratio ‌shinohara‌ (26),weak ratio ‌shinohara‌ (26),shares short,"result ‌schaff‌ (10,23,50,ema)",rsi ‌rsi‌ (14)-2,"rel vol ‌rel vol‌ (10,14)",rel vig ‌rel vig‌ (10),relvigsignal ‌rel vig‌ (10),‌rel vig‌ (10)_hist,"‌ravi‌ (vdma,7,65)_hist",random walk high ‌random walk‌ (14),random walk low ‌random walk‌ (14),"over ‌rainbow osc‌ (2,10)","under ‌rainbow osc‌ (2,10)","‌rainbow osc‌ (2,10)_hist","result ‌qstick‌ (8,ma)",result ‌psy‌ (20),result ‌pring sp-k‌ (daily),"kst ‌pring kst‌ (10,10,15,10,20,10,30,15,9)","kstsignal ‌pring kst‌ (10,10,15,10,20,10,30,15,9)",result ‌prime number‌ (5),prime bands top ‌prime number bands‌ (y),prime bands bottom ‌prime number bands‌ (y),result ‌price vol‌,result ‌p rel‌ (spy),result ‌price roc‌ (14),"result ‌price osc‌ (12,26,ema,points)",result ‌pretty good‌ (14),"index ‌pos vol‌ (255,ma)","ma ‌pos vol‌ (255,ma)","pivot ‌pivot points‌ (standard,n)","resistance 1 ‌pivot points‌ (standard,n)","support 1 ‌pivot points‌ (standard,n)","resistance 2 ‌pivot points‌ (standard,n)","support 2 ‌pivot points‌ (standard,n)","resistance 3 ‌pivot points‌ (standard,n)","support 3 ‌pivot points‌ (standard,n)","result ‌perf idx‌ (120,spy)","result ‌psar‌ (0.02,0.2)",result ‌on bal vol‌,"index ‌neg vol‌ (255,ma)","ma ‌neg vol‌ (255,ma)","ma env top ‌ma env‌ (50,percent,5,ma,y)","ma env median ‌ma env‌ (50,percent,5,ma,y)","ma env bottom ‌ma env‌ (50,percent,5,ma,y)","‌ma dev‌ (12,ma,points)_hist","ma 1 ‌macross‌ (20,50,200,ma,0)","ma 2 ‌macross‌ (20,50,200,ma,0)","ma 3 ‌macross‌ (20,50,200,ma,0)","ma ‌ma‌ (50,ma,0)-4",result ‌m flow‌ (14),result ‌momentum‌ (14),result ‌med price‌ (14),"result ‌mass idx‌ (25,27)",‌w mfi‌ (6)_hist,"macd ‌macd‌ (12,26,9)","signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist",result ‌llv‌ (14),slope ‌lr slope‌ (14),rsquared ‌lin r2‌ (14),intercept ‌lin incpt‌ (14),forecast ‌lin fcst‌ (14),"klinger ‌klinger‌ (13,34,55)","klingersignal ‌klinger‌ (13,34,55)","‌klinger‌ (13,34,55)_hist","keltner top ‌keltner‌ (10,5,ema,y)","keltner median ‌keltner‌ (10,5,ema,y)","keltner bottom ‌keltner‌ (10,5,ema,y)",result ‌intraday mtm‌ (20),"conversion line ‌ichimoku clouds‌ (9,26,52,26)","base line ‌ichimoku clouds‌ (9,26,52,26)","leading span a ‌ichimoku clouds‌ (9,26,52,26)","leading span b ‌ichimoku clouds‌ (9,26,52,26)","lagging span ‌ichimoku clouds‌ (9,26,52,26)","result ‌hist vol‌ (10,252,1)",result ‌hhv‌ (14),result ‌high-low‌,"high low top ‌high low‌ (10,5,y)","high low median ‌high low‌ (10,5,y)","high low bottom ‌high low‌ (10,5,y)",ma 3 ‌guppy‌,ma 5 ‌guppy‌,ma 8 ‌guppy‌,ma 10 ‌guppy‌,ma 12 ‌guppy‌,ma 15 ‌guppy‌,ma 30 ‌guppy‌,ma 35 ‌guppy‌,ma 40 ‌guppy‌,ma 45 ‌guppy‌,ma 50 ‌guppy‌,ma 60 ‌guppy‌,result ‌gapo‌ (14),"‌gator‌ (13,8,8,5,5,3)_hist1","‌gator‌ (13,8,8,5,5,3)_hist2",result ‌fractal chaos‌,fractal high ‌fractal chaos bands‌ (y),fractal low ‌fractal chaos bands‌ (y),‌elder ray‌ (13)_hist1,‌elder ray‌ (13)_hist2,result ‌elder force‌ (13),ef ‌ehler fisher‌ (10),ef trigger ‌ehler fisher‌ (10),"result ‌eom‌ (14,ma)","result ‌donchian width‌ (20,20)","donchian high ‌donchian channel‌ (20,20,y)","donchian median ‌donchian channel‌ (20,20,y)","donchian low ‌donchian channel‌ (20,20,y)","result ‌disparity‌ (14,ma)","result ‌detrended‌ (14,ma)",darvas ‌darvas‌,ghost ‌darvas‌,"result ‌coppock‌ (10,11,14)",result ‌cci‌ (20),result ‌choppiness‌ (14),change in short interest 15 days,result ‌chande mtm‌ (9),result ‌chande fcst‌ (14),"result ‌chaikin vol‌ (14,2,ma)",result ‌chaikin mf‌ (20),center of gravity ‌cog‌ (10),signal ‌cog‌ (10),"bandwidth ‌boll bw‌ (20,2,ma)","bollinger bands top ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)-2","%b ‌boll %b‌ (20,2,ma)","result ‌beta‌ (20,spy)","result ‌bal pwr‌ (14,ma)",‌awesome‌_hist,atr ‌atr‌ (14),"all stops ‌atr trailing stop‌ (21,3,points,n)","atr bands top ‌atr bands‌ (5,3,y)","atr bands bottom ‌atr bands‌ (5,3,y)",aroon oscillator ‌aroon osc‌ (14),aroon up ‌aroon‌ (14),aroon down ‌aroon‌ (14),"jaw ‌alligator‌ (y,13,8,8,5,5,3,n)","teeth ‌alligator‌ (y,13,8,8,5,5,3,n)","lips ‌alligator‌ (y,13,8,8,5,5,3,n)","+di ‌adx‌ (14,14,y,n)","-di ‌adx‌ (14,14,y,n)","adx ‌adx‌ (14,14,y,n)",result ‌acc swing‌ (0.5),result ‌w acc dist‌ (n)-2,source_file,visitor trend
2014-01-01 23:00:00+00:00,54.71,0.11,-0.06,"43,195,500",58.08,59.66,53.24,46.83,21.31,50.28,50.28,50.28,54.54,-48.86,55.01,1.1,0.73,-34.33,"-2,785,904.62",0.59,54.51,3.14,54.97,0.19,1.03,0.61,93.22,96.22,"2,431,015,500.00",56.22,6.50,52.71,53.85,61.97,53.85,61.97,-9.98,46.5,57.48,55.25,53.02,3.4,,,137.42,60.02,,15.44,58.08,65.63,0.05,0.19,-0.14,9.0,1.14,1.26,58.01,-58.01,-20.42,-0.16,65.0,764.95,157.97,124.96,-1.0,59.0,53.0,"160,595,291.23",0.3,10.79,1.83,-0.24,163.29,,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.14,58.11,"1,725,895,700.00",120.65,,52.8,50.28,47.77,-0.82,53.24,50.28,37.34,50.28,81.12,5.33,54.9,24.64,0.02,1.83,1.91,-0.08,49.01,0.17,0.16,53.83,56.22,"3,497,336.92","4,166,892.99","-669,556.07",63.31,54.88,46.45,65.33,56.01,51.07,48.96,48.63,63.55,37.0,58.58,1.03,59.06,56.25,53.44,54.79,55.04,55.06,54.88,54.63,54.2,52.4,51.95,51.54,51.14,50.74,49.95,0.86,2.81,-2.46,-1.0,58.58,53.43,0.73,-0.3,"7,586,312.87",0.14,0.96,0.58,12.32,58.58,52.42,46.26,-0.72,-1.78,,,23.54,37.94,43.62,,-9.91,-2.75,-8.33,0.37,-5.52,-5.5,24.11,59.66,53.24,46.83,61.41,0.36,0.13,5.04,1.71,52.61,59.51,49.91,64.29,64.29,0.0,50.19,53.0,55.46,28.2,20.02,32.71,"3,734.28",21.31,META_2014Y_day.csv,
2014-01-02 23:00:00+00:00,54.56,-0.27,-0.44,"38,246,200",57.39,59.62,53.54,47.47,20.22,50.32,50.32,50.32,,-55.52,55.24,1.1,0.8,-58.75,"-5,036,082.98",0.6,43.83,3.51,55.21,0.16,1.12,0.6,84.71,93.92,"2,469,261,700.00",55.61,-33.51,52.71,51.52,55.29,51.52,55.29,-26.46,33.23,56.79,54.61,52.44,2.9,,,158.57,58.87,,7.72,57.39,61.52,0.0,0.11,-0.1,8.77,1.42,1.12,48.39,-48.39,-14.23,-0.24,60.0,757.3,156.67,135.37,-1.0,59.0,53.0,"160,490,432.11",0.3,5.27,1.69,-0.47,163.29,,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.14,57.93,"1,687,649,500.00",120.32,,52.84,50.32,47.8,-1.03,53.54,50.32,37.49,50.32,80.29,2.73,55.17,24.47,0.03,1.69,1.87,-0.18,50.66,0.05,0.02,54.96,55.61,"3,516,397.09","4,073,965.01","-557,567.92",62.97,54.82,46.67,59.17,56.01,51.07,48.12,48.63,64.85,36.34,58.58,1.12,58.77,55.97,53.17,54.67,54.88,54.95,54.82,54.62,54.24,52.54,52.1,51.68,51.29,50.89,50.1,0.78,3.07,-1.62,0.0,58.58,53.43,1.15,0.03,"5,683,004.97",-0.36,0.14,0.5,12.32,58.58,52.42,46.26,-1.35,-1.91,,,19.28,38.28,44.57,,-5.9,-1.92,-4.47,0.32,-5.53,-5.52,22.7,59.62,53.54,47.47,58.38,0.43,0.06,4.26,1.67,52.61,59.07,50.05,57.14,57.14,0.0,50.54,53.61,55.23,28.69,19.06,31.82,"3,700.77",20.22,META_2014Y_day.csv,
2014-01-05 23:00:00+00:00,57.2,4.84,4.67,"68,852,600",65.22,59.76,53.99,48.21,23.37,50.43,50.43,50.43,,-24.34,55.49,1.05,0.8,-16.68,"-4,300,115.79",0.55,52.61,3.53,55.46,0.2,3.21,0.58,78.87,90.91,"2,538,114,300.00",55.81,317.91,52.71,57.09,54.15,57.09,54.15,-14.03,24.64,57.28,54.97,52.66,2.83,,,175.88,56.19,,15.31,65.22,64.03,0.0,0.04,-0.04,9.45,2.44,1.43,30.18,-30.18,49.27,-0.18,65.0,753.83,158.64,144.1,1.0,59.0,53.0,"163,822,008.68",0.31,7.28,1.77,0.9,171.19,,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.19,57.75,"1,756,502,100.00",120.32,,52.95,50.43,47.9,1.41,53.99,50.43,37.64,50.43,80.13,3.88,55.4,24.58,0.05,1.77,1.85,-0.08,51.34,0.04,0.01,55.32,55.81,"4,182,401.39","4,089,455.92","92,945.47",64.19,55.25,46.31,64.56,56.01,52.06,47.86,48.63,64.45,42.81,58.58,3.21,58.46,55.68,52.89,55.94,55.65,55.45,55.25,55.01,54.61,52.84,52.38,51.95,51.54,51.14,50.33,0.75,2.94,-1.09,0.0,58.58,53.43,2.38,-0.83,"30,838,407.40",-0.54,-0.36,0.49,10.87,58.58,53.15,47.71,2.91,0.77,,,16.63,68.32,55.49,,19.12,2.43,3.44,0.35,-5.53,-5.53,21.41,59.76,53.99,48.21,77.82,0.2,0.07,3.89,1.78,52.61,62.73,51.67,50.0,50.0,0.0,51.03,53.97,55.06,31.45,16.61,31.75,"4,018.68",23.37,META_2014Y_day.csv,
2014-01-06 23:00:00+00:00,57.92,1.26,1.09,"77,207,400",67.0,59.79,54.48,49.17,24.09,50.53,50.53,50.53,,-12.82,55.79,1.11,0.79,-9.29,"-3,008,019.38",0.56,53.74,3.53,55.76,0.19,1.35,0.58,72.34,87.19,"2,615,321,700.00",56.16,101.17,52.71,69.11,59.24,69.11,59.24,10.57,22.08,58.08,55.81,53.53,2.89,,,184.49,58.5,,38.4,67.0,66.52,0.01,0.01,0.0,10.3,1.43,0.28,66.6,-66.6,56.44,-0.11,70.0,751.32,161.52,150.72,1.0,59.0,53.0,"164,793,846.56",0.32,7.64,1.87,1.17,173.34,,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.19,53.43,"1,833,709,500.00",120.32,,53.06,50.53,48.01,1.93,54.48,50.53,37.8,50.53,80.1,4.11,55.7,24.73,0.02,1.87,1.85,0.02,52.91,0.04,0.01,55.55,56.16,"4,958,417.54","4,213,593.29","744,824.25",64.46,55.74,47.02,68.55,56.01,52.42,47.45,48.63,67.33,42.97,58.58,1.33,58.28,55.51,52.73,56.93,56.41,56.0,55.74,55.46,55.03,53.17,52.69,52.24,51.82,51.4,50.58,0.66,2.47,-0.98,0.0,58.58,53.43,3.23,1.9,"34,374,224.59",-0.18,-0.54,0.59,10.87,58.58,53.15,47.71,3.66,1.43,,,14.83,117.82,58.76,,1.68,3.04,3.62,0.37,-5.52,-5.53,19.49,59.79,54.48,49.17,82.36,0.36,0.06,4.35,1.75,52.61,63.16,52.68,42.86,42.86,0.0,51.55,54.01,54.99,34.99,15.69,32.2,"4,119.85",24.09,META_2014Y_day.csv,
2014-01-07 23:00:00+00:00,58.23,0.54,0.37,"56,682,400",67.77,59.83,54.95,50.08,25.09,50.66,50.66,50.66,,-6.8,56.02,1.08,0.84,-28.02,"-3,598,735.65",0.5,61.06,3.53,55.99,0.21,1.18,0.58,75.0,84.75,"2,672,004,100.00",56.62,37.99,52.83,85.35,70.52,85.35,70.52,35.55,24.53,58.75,56.52,54.3,3.06,,,174.40,57.34,,59.6,67.77,68.9,0.03,0.01,0.02,10.94,1.35,0.98,71.22,-71.22,46.36,0.04,70.0,743.36,159.89,154.97,1.0,59.0,53.0,"165,097,224.02",0.32,6.14,1.95,1.27,173.34,131.61,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.19,53.53,"1,890,391,900.00",120.97,97.87,53.19,50.66,48.13,1.98,54.95,50.66,37.97,50.66,79.75,3.37,55.92,24.82,0.02,1.95,1.87,0.08,53.43,0.08,0.04,55.54,56.62,"5,214,018.11","4,356,511.12","857,506.98",64.63,56.19,47.75,68.34,55.99,52.42,47.3,49.19,67.09,36.86,58.58,1.18,58.29,55.51,52.73,57.58,57.02,56.49,56.19,55.89,55.43,53.49,53.0,52.54,52.1,51.67,50.83,0.62,2.03,-0.95,-1.0,58.58,54.05,2.68,1.5,"31,973,852.77",0.31,-0.18,0.5,10.84,58.58,53.16,47.74,3.77,1.4,,,13.16,118.49,58.46,,2.98,2.77,-0.09,0.37,-5.49,-5.51,17.73,59.83,54.95,50.08,83.62,0.33,0.09,4.73,1.71,52.67,63.13,53.33,-21.43,35.71,57.14,52.03,54.06,55.01,33.26,14.92,32.62,"4,157.84",25.09,META_2014Y_day.csv,
2014-01-08 23:00:00+00:00,57.22,-1.73,-1.9,"92,253,300",62.67,59.76,55.3,50.85,23.35,50.8,50.8,50.8,,-31.46,56.18,1.07,0.85,21.38,"-1,182,971.64",0.48,59.67,3.56,56.17,0.17,2.31,0.58,84.7,84.74,"2,579,750,800.00",56.82,-100.37,52.83,82.97,79.14,82.97,79.14,42.24,27.75,59.3,57.03,54.75,3.1,,,166.56,62.68,,75.02,62.67,64.16,0.0,0.01,-0.01,10.73,1.48,1.49,62.3,-62.3,11.86,0.12,65.0,730.42,153.35,156.52,1.0,59.0,53.0,"163,497,092.15",0.31,2.97,1.91,0.56,170.34,131.87,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.16,53.63,"1,798,138,600.00",120.97,97.96,53.34,50.8,48.26,0.8,55.3,50.8,38.13,50.8,71.33,1.65,56.13,25.03,0.03,1.91,1.88,0.03,53.43,0.09,0.06,55.55,56.82,"2,244,285.83","4,054,764.65","-1,810,478.82",65.13,56.38,47.63,60.3,56.19,52.61,46.97,49.19,67.3,37.82,58.58,2.31,58.48,55.7,52.91,57.4,57.08,56.65,56.38,56.09,55.65,53.73,53.23,52.77,52.32,51.89,51.04,0.62,1.77,-1.0,0.0,58.58,54.05,3.01,0.7,"14,095,348.35",0.81,0.31,0.47,10.04,58.58,53.56,48.54,1.75,0.18,,,10.31,94.59,56.03,,-5.18,0.69,1.81,0.31,-5.46,-5.49,16.12,59.76,55.3,50.85,71.52,0.51,0.02,5.01,1.75,53.06,62.52,51.92,50.0,100.0,50.0,52.37,54.14,55.14,30.13,15.88,32.5,"4,057.47",23.35,META_2014Y_day.csv,
2014-01-09 23:00:00+00:00,57.94,1.26,1.09,"42,449,500",64.71,59.4,55.73,52.06,24.23,50.97,50.97,50.97,,-18.44,56.4,1.1,0.86,-52.70,"-3,249,750.58",0.48,59.1,3.55,56.38,0.18,1.24,0.57,87.84,85.36,"2,622,200,300.00",57.09,51.89,52.83,81.10,83.14,81.10,83.14,49.25,31.66,59.93,57.7,55.47,3.14,,,179.35,61.22,,85.15,64.71,66.67,-0.04,0.01,-0.04,10.75,1.06,0.82,46.82,-46.82,18.11,0.37,70.0,721.87,150.36,156.68,1.0,59.0,53.0,"164,031,232.82",0.31,5.25,1.92,0.89,170.34,132.13,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.17,53.85,"1,840,588,100.00",122.49,98.04,53.52,50.97,48.42,1.5,55.73,50.97,38.29,50.97,78.59,2.89,56.36,25.04,0.03,1.92,1.89,0.03,53.43,0.1,0.07,55.69,57.09,"2,426,162.13","3,822,107.15","-1,395,945.02",65.16,56.66,48.17,65.97,56.19,52.61,46.68,49.19,68.06,38.34,58.96,1.24,58.91,56.11,53.3,57.67,57.37,56.94,56.66,56.38,55.94,54.01,53.49,53.02,52.57,52.13,51.27,0.65,1.74,-1.43,0.0,58.58,54.05,2.07,0.83,"16,447,945.71",1.22,0.81,0.47,9.95,58.96,53.98,49.01,2.66,0.76,,,8.69,90.54,55.43,,30.19,1.46,0.74,0.35,-5.43,-5.46,13.19,59.4,55.73,52.06,80.07,0.21,0.02,5.21,1.71,53.06,62.93,52.95,50.0,92.86,42.86,52.52,54.26,55.69,28.57,15.06,32.4,"4,109.36",24.23,META_2014Y_day.csv,
2014-01-12 23:00:00+00:00,55.91,-3.5,-3.67,"63,010,900",55.5,59.14,55.93,52.72,21.89,51.11,51.11,51.11,,-55.15,56.5,1.02,0.87,-73.73,"-3,191,762.00",0.45,52.43,3.7,56.5,0.14,2.87,0.56,86.13,85.52,"2,559,189,400.00",56.77,-235.59,52.83,64.98,76.35,64.98,76.35,35.8,32.41,59.78,57.44,55.11,3.07,,,147.84,74.64,,54.29,55.5,62.04,-0.05,-0.02,-0.03,10.2,1.01,2.35,27.03,-27.03,-30.47,0.05,65.0,711.37,145.89,155.82,1.0,59.0,53.0,"161,823,568.80",0.31,1.43,1.74,-0.32,164.37,132.36,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.14,54.05,"1,777,577,200.00",122.49,98.14,53.66,51.11,48.55,-0.36,55.93,51.11,38.44,51.11,66.98,0.79,56.51,25.24,0.05,1.74,1.86,-0.12,53.43,0.04,0.01,56.18,56.77,"326,704.02","3,322,763.84","-2,996,059.82",65.61,56.53,47.45,57.78,56.43,53.33,46.99,49.19,69.63,37.09,58.96,2.87,59.41,56.58,53.75,56.79,56.88,56.71,56.53,56.31,55.93,54.13,53.63,53.16,52.71,52.27,51.42,0.65,1.77,-1.68,1.0,58.96,54.05,2.06,-0.81,"-4,174,910.83",1.28,1.22,0.19,8.3,58.96,54.81,50.66,-1.04,-1.26,,,6.34,30.9,58.41,,25.64,-1.54,8.47,0.29,-5.44,-5.44,11.48,59.14,55.93,52.72,49.63,1.11,-0.04,5.16,1.8,53.06,61.62,50.2,50.0,85.71,35.71,52.67,54.43,56.11,25.31,20.02,30.92,"3,873.77",21.89,META_2014Y_day.csv,
2014-01-13 23:00:00+00:00,57.74,3.27,3.11,"37,503,600",60.9,59.22,56.15,53.09,23.72,51.26,51.26,51.26,,-22.06,56.5,1.0,0.99,-61.85,"-5,144,726.36",0.42,58.22,3.71,56.51,0.16,1.87,0.54,94.19,87.25,"2,596,693,000.00",57.27,161.93,52.83,68.11,71.40,68.11,71.40,36.17,33.09,59.75,57.41,55.07,3.07,,,167.17,70.02,,33.98,60.9,64.4,-0.01,-0.03,0.02,10.23,0.84,0.77,22.2,-22.2,12.37,0.23,65.0,704.32,145.17,154.39,1.0,59.0,53.0,"163,051,106.93",0.31,-0.05,1.73,0.67,164.37,132.56,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.16,54.25,"1,815,080,800.00",126.5,98.25,53.82,51.26,48.7,1.47,56.15,51.26,38.6,51.26,64.42,-0.03,56.51,25.36,0.04,1.73,1.83,-0.11,53.43,0.12,0.1,55.6,57.27,"571,126.39","2,929,672.78","-2,358,546.39",65.85,56.75,47.64,56.93,56.5,53.33,46.99,49.19,68.59,35.41,58.96,1.68,59.83,56.99,54.14,57.26,57.17,56.94,56.75,56.53,56.16,54.36,53.86,53.38,52.93,52.49,51.62,0.65,2.04,-1.59,0.0,58.96,54.05,1.37,-0.31,"6,226,027.38",1.25,1.28,-0.23,7.62,58.96,55.15,51.34,2.21,0.83,,,5.59,56.99,56.4,,32.63,0.81,3.3,0.28,-5.45,-5.44,10.91,59.22,56.15,53.09,75.86,1.31,-0.04,4.67,1.8,53.06,63.43,52.05,50.0,78.57,28.57,52.82,54.86,56.45,23.43,18.53,29.54,"4,035.70",23.72,META_2014Y_day.csv,
2014-01-14 23:00:00+00:00,57.6,-0.24,-0.41,"33,663,400",60.3,59.27,56.34,53.42,22.75,51.42,51.42,51.42,,-24.59,56.5,0.99,0.97,-27.79,"-6,922,538.03",0.4,49.49,3.72,56.51,0.15,1.3,0.53,93.9,88.58,"2,630,356,400.00",57.76,-0.51,52.83,66.06,66.39,66.06,66.39,38.25,34.03,59.58,57.28,54.99,3.02,1.73,2.29,167.46,67.9,"43,981,885.00",23.81,60.3,60.73,0.05,-0.02,0.07,10.18,1.32,0.41,16.59,-16.59,6.7,0.24,60.0,693.04,140.62,152.46,1.0,59.0,53.0,"162,969,482.69",0.31,-0.62,1.68,0.64,164.37,132.77,53.16,60.07,47.75,65.48,40.84,72.39,35.43,1.14,54.44,"1,781,417,400.00",126.19,98.34,53.99,51.42,48.85,1.15,56.34,51.42,38.76,51.42,63.82,-0.36,56.52,25.43,0.04,1.68,1.8,-0.12,53.43,0.2,0.28,54.97,57.76,"709,895.65","2,612,561.76","-1,902,666.11",65.75,56.9,48.05,54.5,56.5,53.35,47.14,49.19,70.78,35.24,58.96,1.3,60.09,57.23,54.37,57.43,57.31,57.09,56.9,56.69,56.34,54.57,54.06,53.59,53.13,52.69,51.82,0.65,2.24,-1.47,-1.0,58.96,55.38,1.99,0.69,"4,663,311.49",1.48,1.25,-0.18,6.05,58.96,55.93,52.91,2.0,0.89,,,5.47,79.88,55.83,5.45,30.26,-0.29,-6.25,0.27,-5.46,-5.45,10.39,59.27,56.34,53.42,71.45,1.29,-0.05,4.32,1.77,53.06,62.93,52.27,50.0,71.43,21.43,53.0,55.23,56.7,25.4,17.56,28.74,"4,035.19",22.75,META_2014Y_day.csv,
