date,close,% change,% change vs average,volume,rsi ‌rsi‌ (14),"bollinger bands top ‌bollinger bands‌ (20,2,ma,y)","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)",result ‌w acc dist‌ (n),"ma ‌ma‌ (50,ma,0)","ma ‌ma‌ (50,ma,0)-2","ma ‌ma‌ (50,ma,0)-3",result ‌zigzag‌ (10),result ‌williams %r‌ (14),result ‌weighted close‌ (14),+vi ‌vortex‌ (14),-vi ‌vortex‌ (14),result ‌vol roc‌ (14),"result ‌vol osc‌ (12,26,points)",result ‌vt hz filter‌ (28),"result ‌ultimate‌ (7,14,28)",result ‌ulcer‌ (14),result ‌typical price‌ (14),result ‌twiggs‌ (21),true range ‌true range‌,result ‌trix‌ (14),"tii ‌trend int‌ (14,9)","signal ‌trend int‌ (14,9)",result ‌trade vol‌ (0.5),forecast ‌time fcst‌ (14),result ‌swing‌ (0.5),"trend ‌supertrend‌ (7,3)","%k ‌stochastics‌ (14,y)","%d ‌stochastics‌ (14,y)","%k ‌stochastics‌ (14,n,3,3)","%d ‌stochastics‌ (14,n,3,3)","%k ‌stch mtm‌ (10,3,3,10,ema)","%d ‌stch mtm‌ (10,3,3,10,ema)","starc bands top ‌starc bands‌ (15,5,1.3,y)","starc bands median ‌starc bands‌ (15,5,1.3,y)","starc bands bottom ‌starc bands‌ (15,5,1.3,y)","result ‌std dev‌ (14,2,ma)",short % of outstanding,short % of float,strong ratio ‌shinohara‌ (26),weak ratio ‌shinohara‌ (26),shares short,"result ‌schaff‌ (10,23,50,ema)",rsi ‌rsi‌ (14)-2,"rel vol ‌rel vol‌ (10,14)",rel vig ‌rel vig‌ (10),relvigsignal ‌rel vig‌ (10),‌rel vig‌ (10)_hist,"‌ravi‌ (vdma,7,65)_hist",random walk high ‌random walk‌ (14),random walk low ‌random walk‌ (14),"over ‌rainbow osc‌ (2,10)","under ‌rainbow osc‌ (2,10)","‌rainbow osc‌ (2,10)_hist","result ‌qstick‌ (8,ma)",result ‌psy‌ (20),result ‌pring sp-k‌ (daily),"kst ‌pring kst‌ (10,10,15,10,20,10,30,15,9)","kstsignal ‌pring kst‌ (10,10,15,10,20,10,30,15,9)",result ‌prime number‌ (5),prime bands top ‌prime number bands‌ (y),prime bands bottom ‌prime number bands‌ (y),result ‌price vol‌,result ‌p rel‌ (spy),result ‌price roc‌ (14),"result ‌price osc‌ (12,26,ema,points)",result ‌pretty good‌ (14),"index ‌pos vol‌ (255,ma)","ma ‌pos vol‌ (255,ma)","pivot ‌pivot points‌ (standard,n)","resistance 1 ‌pivot points‌ (standard,n)","support 1 ‌pivot points‌ (standard,n)","resistance 2 ‌pivot points‌ (standard,n)","support 2 ‌pivot points‌ (standard,n)","resistance 3 ‌pivot points‌ (standard,n)","support 3 ‌pivot points‌ (standard,n)","result ‌perf idx‌ (120,spy)","result ‌psar‌ (0.02,0.2)",result ‌on bal vol‌,"index ‌neg vol‌ (255,ma)","ma ‌neg vol‌ (255,ma)","ma env top ‌ma env‌ (50,percent,5,ma,y)","ma env median ‌ma env‌ (50,percent,5,ma,y)","ma env bottom ‌ma env‌ (50,percent,5,ma,y)","‌ma dev‌ (12,ma,points)_hist","ma 1 ‌macross‌ (20,50,200,ma,0)","ma 2 ‌macross‌ (20,50,200,ma,0)","ma 3 ‌macross‌ (20,50,200,ma,0)","ma ‌ma‌ (50,ma,0)-4",result ‌m flow‌ (14),result ‌momentum‌ (14),result ‌med price‌ (14),"result ‌mass idx‌ (25,27)",‌w mfi‌ (6)_hist,"macd ‌macd‌ (12,26,9)","signal ‌macd‌ (12,26,9)","‌macd‌ (12,26,9)_hist",result ‌llv‌ (14),slope ‌lr slope‌ (14),rsquared ‌lin r2‌ (14),intercept ‌lin incpt‌ (14),forecast ‌lin fcst‌ (14),"klinger ‌klinger‌ (13,34,55)","klingersignal ‌klinger‌ (13,34,55)","‌klinger‌ (13,34,55)_hist","keltner top ‌keltner‌ (10,5,ema,y)","keltner median ‌keltner‌ (10,5,ema,y)","keltner bottom ‌keltner‌ (10,5,ema,y)",result ‌intraday mtm‌ (20),"conversion line ‌ichimoku clouds‌ (9,26,52,26)","base line ‌ichimoku clouds‌ (9,26,52,26)","leading span a ‌ichimoku clouds‌ (9,26,52,26)","leading span b ‌ichimoku clouds‌ (9,26,52,26)","lagging span ‌ichimoku clouds‌ (9,26,52,26)","result ‌hist vol‌ (10,252,1)",result ‌hhv‌ (14),result ‌high-low‌,"high low top ‌high low‌ (10,5,y)","high low median ‌high low‌ (10,5,y)","high low bottom ‌high low‌ (10,5,y)",ma 3 ‌guppy‌,ma 5 ‌guppy‌,ma 8 ‌guppy‌,ma 10 ‌guppy‌,ma 12 ‌guppy‌,ma 15 ‌guppy‌,ma 30 ‌guppy‌,ma 35 ‌guppy‌,ma 40 ‌guppy‌,ma 45 ‌guppy‌,ma 50 ‌guppy‌,ma 60 ‌guppy‌,result ‌gapo‌ (14),"‌gator‌ (13,8,8,5,5,3)_hist1","‌gator‌ (13,8,8,5,5,3)_hist2",result ‌fractal chaos‌,fractal high ‌fractal chaos bands‌ (y),fractal low ‌fractal chaos bands‌ (y),‌elder ray‌ (13)_hist1,‌elder ray‌ (13)_hist2,result ‌elder force‌ (13),ef ‌ehler fisher‌ (10),ef trigger ‌ehler fisher‌ (10),"result ‌eom‌ (14,ma)","result ‌donchian width‌ (20,20)","donchian high ‌donchian channel‌ (20,20,y)","donchian median ‌donchian channel‌ (20,20,y)","donchian low ‌donchian channel‌ (20,20,y)","result ‌disparity‌ (14,ma)","result ‌detrended‌ (14,ma)",darvas ‌darvas‌,ghost ‌darvas‌,"result ‌coppock‌ (10,11,14)",result ‌cci‌ (20),result ‌choppiness‌ (14),change in short interest 15 days,result ‌chande mtm‌ (9),result ‌chande fcst‌ (14),"result ‌chaikin vol‌ (14,2,ma)",result ‌chaikin mf‌ (20),center of gravity ‌cog‌ (10),signal ‌cog‌ (10),"bandwidth ‌boll bw‌ (20,2,ma)","bollinger bands top ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands median ‌bollinger bands‌ (20,2,ma,y)-2","bollinger bands bottom ‌bollinger bands‌ (20,2,ma,y)-2","%b ‌boll %b‌ (20,2,ma)","result ‌beta‌ (20,spy)","result ‌bal pwr‌ (14,ma)",‌awesome‌_hist,atr ‌atr‌ (14),"all stops ‌atr trailing stop‌ (21,3,points,n)","atr bands top ‌atr bands‌ (5,3,y)","atr bands bottom ‌atr bands‌ (5,3,y)",aroon oscillator ‌aroon osc‌ (14),aroon up ‌aroon‌ (14),aroon down ‌aroon‌ (14),"jaw ‌alligator‌ (y,13,8,8,5,5,3,n)","teeth ‌alligator‌ (y,13,8,8,5,5,3,n)","lips ‌alligator‌ (y,13,8,8,5,5,3,n)","+di ‌adx‌ (14,14,y,n)","-di ‌adx‌ (14,14,y,n)","adx ‌adx‌ (14,14,y,n)",result ‌acc swing‌ (0.5),result ‌w acc dist‌ (n)-2,source_file,visitor trend
2014-01-01 23:00:00+00:00,10.01,-0.22,-0.41,"92,826,000",54.44,10.44,9.74,9.04,8.57,9.68,9.68,9.68,9.97,-40.58,9.93,0.96,0.85,-13.30,"-27,962,601.32",0.43,49.84,3.52,9.93,-0.05,0.4,0.26,99.64,94.95,"13,941,322,500.00",10.07,-2.64,9.01,64.0,69.74,64.0,69.74,27.78,31.23,10.72,10.13,9.54,0.52,,,244.19,109.5,,100.0,54.44,52.19,-0.16,-0.08,-0.08,0.64,0.84,1.46,21.02,-21.02,-7.0,-0.02,60.0,650.23,82.34,54.05,-1.0,11.0,9.7,"268,878,234.36",0.05,7.48,0.17,0.23,276.56,,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.93,10.53,"3,560,767,500.00",156.1,,10.17,9.68,9.2,0.08,9.74,9.68,8.18,9.68,58.72,0.7,9.94,23.34,0.0,0.17,0.1,0.07,9.24,0.02,0.14,9.73,10.07,"6,385,027.07","5,970,096.17","414,930.89",12.06,9.94,7.82,44.92,9.9,9.14,9.44,10.41,13.1,45.85,10.53,0.4,10.45,9.96,9.46,10.04,10.04,9.99,9.94,9.9,9.84,9.73,9.75,9.77,9.8,9.82,9.84,0.1,0.11,-0.33,0.0,10.53,9.27,0.29,-0.11,"5,282,919.89",0.84,1.08,0.0,1.76,10.53,9.65,8.77,0.93,0.0,,,12.43,46.48,57.66,,7.05,-0.66,1.16,-0.23,-5.45,-5.46,14.33,10.44,9.74,9.04,69.04,-0.87,-0.03,0.91,0.45,8.84,11.16,8.85,64.29,71.43,7.14,9.5,9.61,9.94,25.68,22.37,16.42,758.38,8.57,TSLA_2014Y_day.csv,
2014-01-02 23:00:00+00:00,9.97,-0.36,-0.55,"70,425,000",53.82,10.44,9.78,9.11,8.39,9.65,9.65,9.65,,-44.66,9.95,0.99,0.91,-56.40,"-28,949,209.60",0.43,48.14,3.67,9.96,-0.06,0.24,0.27,100.0,95.96,"14,011,747,500.00",10.07,-2.60,9.01,58.63,63.5,58.63,63.5,22.28,29.6,10.62,10.05,9.48,0.52,,,236.66,105.66,,100.0,53.82,49.26,-0.18,-0.13,-0.06,0.6,0.95,0.81,14.8,-14.8,-10.29,-0.04,60.0,633.34,84.72,62.88,-1.0,11.0,9.7,"268,624,871.51",0.05,1.42,0.16,0.12,276.56,,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.92,10.52,"3,490,342,500.00",155.53,,10.14,9.65,9.17,0.03,9.78,9.65,8.21,9.65,56.5,0.14,9.97,23.36,0.0,0.16,0.12,0.05,9.24,0.02,0.13,9.75,10.07,"7,792,525.87","6,230,443.27","1,562,082.59",11.98,9.95,7.92,49.31,9.99,9.14,9.36,10.41,13.11,43.41,10.53,0.24,10.52,10.02,9.52,10.01,10.01,9.98,9.95,9.91,9.85,9.75,9.76,9.78,9.81,9.83,9.85,0.1,0.21,-0.28,0.0,10.53,9.27,0.26,0.02,"4,166,028.80",0.66,0.84,0.0,1.59,10.53,9.74,8.95,0.47,-0.1,,,9.91,46.95,56.09,,37.84,-1.05,-4.95,-0.21,-5.45,-5.45,13.68,10.44,9.78,9.11,64.54,-0.9,-0.09,0.81,0.43,8.84,11.04,8.9,64.29,64.29,0.0,9.5,9.71,9.99,24.66,21.49,15.74,755.78,8.39,TSLA_2014Y_day.csv,
2014-01-05 23:00:00+00:00,9.8,-1.71,-1.91,"80,416,500",50.87,10.44,9.8,9.16,8.17,9.63,9.63,9.63,,-58.2,9.94,0.84,0.97,-49.38,"-28,595,245.03",0.42,43.43,3.95,9.95,-0.07,0.34,0.28,92.96,95.36,"14,092,164,000.00",10.03,-22.79,9.01,52.19,58.27,52.19,58.27,8.22,25.71,10.56,9.99,9.43,0.53,,,236.56,111.24,,100.0,50.87,46.94,-0.19,-0.16,-0.03,0.34,0.63,1.94,28.83,-28.83,-28.2,-0.05,55.0,617.26,87.12,70.17,-1.0,11.0,8.9,"267,248,392.04",0.05,-0.44,0.14,-0.32,271.82,,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.91,10.5,"3,409,926,000.00",155.53,,10.11,9.63,9.15,-0.11,9.8,9.63,8.25,9.63,49.03,-0.04,9.97,23.38,0.0,0.14,0.12,0.02,9.27,0.02,0.07,9.79,10.03,"5,823,979.82","6,172,377.07","-348,397.24",11.92,9.92,7.93,46.21,10.02,9.25,9.23,10.35,13.02,35.73,10.53,0.34,10.55,10.05,9.55,9.9,9.94,9.94,9.92,9.89,9.85,9.75,9.76,9.78,9.81,9.82,9.84,0.09,0.26,-0.23,0.0,10.53,9.27,0.15,-0.2,"1,610,250.65",0.4,0.66,-0.01,1.59,10.53,9.74,8.95,-1.22,-0.34,,,7.63,5.01,56.4,,16.07,-2.36,-6.96,-0.2,-5.48,-5.46,13.1,10.44,9.8,9.16,50.16,-0.72,-0.13,0.72,0.43,8.84,10.86,8.74,28.57,57.14,28.57,9.51,9.77,10.0,23.24,24.0,14.73,732.99,8.17,TSLA_2014Y_day.csv,
2014-01-06 23:00:00+00:00,9.96,1.61,1.41,"75,511,500",53.41,10.41,9.84,9.26,8.44,9.6,9.6,9.6,,-45.71,9.95,0.86,0.96,-24.59,"-28,383,332.68",0.41,45.42,4.09,9.95,-0.05,0.34,0.28,88.9,94.07,"14,167,675,500.00",10.03,9.53,9.01,50.48,53.77,50.48,53.77,-0.12,21.02,10.51,9.95,9.4,0.52,,,225.84,118.18,,100.0,53.41,49.08,-0.17,-0.18,0.01,0.31,1.0,1.12,27.93,-27.93,-3.39,-0.05,60.0,602.70,90.27,76.14,1.0,11.0,8.9,"268,460,678.46",0.05,0.96,0.14,0.08,271.82,,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.92,10.47,"3,485,437,500.00",158.03,,10.08,9.6,9.12,0.04,9.84,9.6,8.29,9.6,54.83,0.09,9.96,23.48,0.0,0.14,0.12,0.01,9.27,0.02,0.06,9.81,10.03,"7,363,638.51","6,342,557.27","1,021,081.24",11.9,9.93,7.96,51.83,10.11,9.4,9.19,10.35,13.31,35.57,10.53,0.34,10.56,10.05,9.55,9.93,9.95,9.95,9.93,9.9,9.86,9.76,9.77,9.79,9.81,9.83,9.85,0.09,0.26,-0.17,0.0,10.53,9.27,0.14,-0.21,"3,077,415.85",0.11,0.4,-0.01,1.59,10.53,9.74,8.95,0.3,-0.28,,,7.08,11.19,56.77,,22.83,-0.75,2.08,-0.15,-5.5,-5.48,11.65,10.41,9.84,9.26,60.42,-0.39,-0.09,0.63,0.42,8.84,11.01,8.9,28.57,50.0,21.43,9.56,9.82,10.0,21.88,22.6,13.79,742.52,8.44,TSLA_2014Y_day.csv,
2014-01-07 23:00:00+00:00,10.09,1.29,1.09,"92,448,000",55.42,10.42,9.87,9.32,8.61,9.57,9.57,9.57,,-35.56,9.94,0.89,0.96,-41.27,"-26,542,787.87",0.37,48.21,4.15,9.95,-0.05,0.33,0.28,87.29,92.71,"14,260,123,500.00",10.11,19.22,9.01,53.51,52.06,53.51,52.06,-3.53,16.55,10.51,9.96,9.42,0.52,,,224.20,113.17,,100.0,55.42,50.57,-0.12,-0.17,0.05,0.42,1.64,0.66,25.03,-25.03,19.81,-0.03,60.0,588.05,93.48,81.35,-1.0,11.0,9.7,"269,649,085.88",0.05,-0.77,0.14,0.44,275.32,220.16,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.93,10.44,"3,577,885,500.00",158.03,131.52,10.05,9.57,9.09,0.11,9.87,9.57,8.33,9.57,52.76,-0.08,9.97,23.61,0.0,0.14,0.13,0.01,9.27,0.03,0.2,9.71,10.11,"9,111,368.22","6,738,101.69","2,373,266.53",11.89,9.96,8.02,49.68,10.11,9.4,9.15,10.35,13.22,35.77,10.53,0.33,10.54,10.04,9.54,10.01,9.99,9.98,9.96,9.93,9.89,9.78,9.79,9.81,9.82,9.84,9.86,0.09,0.23,-0.15,-1.0,10.53,9.68,0.33,0.0,"4,328,266.16",-0.06,0.11,-0.01,1.59,10.53,9.74,8.95,1.64,-0.26,,,6.31,58.87,55.23,,-0.67,-0.21,-3.51,-0.21,-5.52,-5.5,11.19,10.42,9.87,9.32,69.49,-0.46,-0.1,0.59,0.41,8.84,11.13,9.04,28.57,42.86,14.29,9.63,9.85,10.0,24.44,21.32,13.29,761.74,8.61,TSLA_2014Y_day.csv,
2014-01-08 23:00:00+00:00,9.84,-2.48,-2.67,"80,730,000",50.8,10.41,9.89,9.37,8.22,9.55,9.55,9.55,,-55.4,9.94,0.87,0.97,-53.53,"-25,733,052.90",0.34,44.03,4.3,9.95,-0.07,0.44,0.28,70.62,88.29,"14,340,853,500.00",10.08,-23.12,9.01,54.44,52.81,54.44,52.81,-17.53,10.36,10.48,9.93,9.38,0.52,,,220.93,114.62,,100.0,50.8,48.88,-0.1,-0.15,0.04,0.23,1.15,1.39,13.37,-13.37,-21.89,-0.04,55.0,570.74,93.89,84.76,-1.0,11.0,9.7,"267,647,912.46",0.05,-0.3,0.12,-0.22,275.32,220.85,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.9,10.41,"3,497,155,500.00",154.11,131.73,10.03,9.55,9.08,-0.16,9.89,9.55,8.36,9.55,56.44,-0.03,9.97,23.6,0.01,0.12,0.13,0.0,9.27,0.02,0.14,9.74,10.08,"6,970,823.77","6,771,347.71","199,476.07",11.9,9.93,7.97,42.78,10.02,9.65,9.07,10.35,13.58,27.83,10.53,0.44,10.5,10.0,9.5,9.92,9.94,9.95,9.93,9.92,9.88,9.79,9.79,9.81,9.82,9.84,9.86,0.09,0.2,-0.11,0.0,10.53,9.68,0.32,-0.12,"826,728.14",-0.26,-0.06,-0.01,1.3,10.53,9.88,9.24,-0.86,-0.65,,,5.08,13.82,54.11,,-41.58,-2.45,-7.8,-0.23,-5.53,-5.52,10.57,10.41,9.89,9.37,44.96,-0.44,-0.12,0.55,0.42,8.84,10.93,8.74,28.57,35.71,7.14,9.67,9.87,9.97,22.6,21.9,12.45,738.61,8.22,TSLA_2014Y_day.csv,
2014-01-09 23:00:00+00:00,9.71,-1.23,-1.42,"111,691,500",48.69,10.37,9.91,9.45,8.0,9.53,9.53,9.53,,-74.79,9.96,0.91,0.94,-41.55,"-22,335,527.75",0.33,46.41,4.13,9.97,-0.07,0.44,0.26,43.2,79.28,"14,452,545,000.00",9.95,-19.72,9.01,44.75,50.9,44.75,50.9,-28.53,3.29,10.43,9.88,9.33,0.44,,,141.65,137.6,,50.0,48.69,47.39,-0.13,-0.13,0.0,-0.16,0.47,1.7,41.65,-41.65,-45.37,-0.07,55.0,551.34,91.96,87.3,1.0,10.1,8.9,"266,277,616.56",0.05,3.55,0.1,-0.59,271.94,221.52,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.89,10.38,"3,385,464,000.00",154.11,131.95,10.0,9.53,9.05,-0.29,9.91,9.53,8.4,9.53,59.7,0.33,9.98,23.64,0.0,0.1,0.12,-0.02,9.27,0.0,0.0,9.94,9.95,"4,346,988.82","6,425,010.72","-2,078,021.90",11.88,9.89,7.91,42.36,9.9,9.74,9.31,10.35,12.91,23.34,10.53,0.44,10.46,9.96,9.46,9.82,9.87,9.89,9.89,9.89,9.86,9.78,9.79,9.8,9.82,9.83,9.85,0.09,0.18,-0.06,1.0,10.25,9.68,0.05,-0.39,"-1,216,706.78",-0.66,-0.26,-0.01,1.3,10.53,9.88,9.24,-2.31,-0.92,,,3.61,-79.92,58.35,,-32.53,-2.38,-5.16,-0.18,-5.53,-5.53,9.27,10.37,9.91,9.45,28.92,-1.0,-0.1,0.44,0.42,8.84,10.86,8.57,28.57,28.57,0.0,9.71,9.89,9.95,20.88,25.48,12.27,718.89,8.0,TSLA_2014Y_day.csv,
2014-01-12 23:00:00+00:00,9.29,-4.38,-4.57,"94,741,500",42.05,10.41,9.88,9.35,7.49,9.5,9.5,9.5,9.29,-92.47,9.95,0.84,0.94,-14.79,"-20,771,249.89",0.25,40.23,4.71,9.96,-0.09,0.61,0.23,18.22,67.06,"14,547,286,500.00",9.72,-54.91,9.01,25.78,41.66,25.78,41.66,-46.79,-5.82,10.34,9.78,9.21,0.52,,,143.45,141.88,,25.0,42.05,44.8,-0.18,-0.13,-0.05,-2.11,0.71,1.67,50.04,-50.04,-61.71,-0.11,50.0,527.17,86.3,88.23,-1.0,10.1,8.9,"262,129,581.68",0.05,-2.72,0.04,-1.53,271.94,222.20,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.86,10.33,"3,290,722,500.00",147.37,132.14,9.98,9.5,9.03,-0.65,9.88,9.5,8.43,9.5,51.98,-0.26,9.97,23.86,0.01,0.04,0.11,-0.06,9.44,-0.03,0.24,10.16,9.72,"2,315,783.79","5,837,978.30","-3,522,194.51",11.88,9.78,7.69,28.1,9.72,9.74,9.31,10.35,14.0,28.01,10.53,0.61,10.41,9.92,9.42,9.55,9.67,9.76,9.78,9.79,9.79,9.75,9.76,9.78,9.8,9.81,9.83,0.03,0.15,-0.09,0.0,10.25,9.68,0.01,-0.61,"-6,799,574.24",-1.11,-0.66,-0.02,1.3,10.53,9.88,9.24,-6.41,-1.46,,,0.16,-167.11,53.19,,-60.48,-4.65,7.61,-0.28,-5.55,-5.54,10.77,10.41,9.88,9.35,-5.6,0.28,-0.19,0.33,0.43,8.84,10.57,8.01,-78.57,21.43,100.0,9.74,9.88,9.98,18.77,27.79,12.78,663.98,7.49,TSLA_2014Y_day.csv,
2014-01-13 23:00:00+00:00,10.75,15.74,15.54,"414,105,000",61.48,10.58,9.93,9.27,9.13,9.5,9.5,9.5,,-2.88,10.0,0.85,0.83,412.62,"6,167,323.92",0.26,58.58,4.44,10.0,0.05,1.69,0.23,46.57,62.97,"14,961,391,500.00",9.88,172.18,9.01,43.29,37.94,43.29,37.94,0.57,-4.66,10.61,9.94,9.26,0.63,,,164.96,99.54,,37.5,61.48,49.18,-0.16,-0.15,-0.01,3.27,2.63,1.3,21.92,-21.92,61.93,0.06,50.0,515.75,90.17,88.92,1.0,11.0,8.9,"327,303,415.30",0.06,12.34,0.12,1.27,314.74,223.05,9.61,10.95,8.68,11.88,7.34,13.23,6.41,0.99,9.19,"3,704,827,500.00",147.37,132.33,9.98,9.5,9.03,0.78,9.93,9.5,8.47,9.5,62.42,1.18,10.0,24.5,0.0,0.12,0.11,0.01,9.19,-0.02,0.06,10.16,9.88,"11,368,172.83","6,628,006.09","4,740,166.74",12.69,9.96,7.23,49.32,9.96,9.87,9.31,10.35,13.97,78.96,10.53,1.69,10.4,9.91,9.41,10.15,10.03,9.98,9.96,9.94,9.91,9.82,9.82,9.83,9.84,9.85,9.86,0.11,0.12,-0.1,0.0,10.25,9.68,0.87,-0.82,"80,660,574.33",-0.81,-1.11,-0.01,1.35,10.53,9.86,9.19,7.41,-0.11,,,3.14,93.99,53.45,,26.07,8.08,42.21,-0.03,-5.5,-5.53,13.15,10.58,9.93,9.27,113.18,1.97,-0.1,0.29,0.52,8.84,12.79,8.71,0.0,100.0,100.0,9.75,9.88,9.98,28.13,21.36,12.84,836.16,9.13,TSLA_2014Y_day.csv,
2014-01-14 23:00:00+00:00,10.94,1.77,1.58,"306,984,000",63.22,10.77,9.98,9.19,9.32,9.51,9.51,9.51,,-22.78,10.07,1.08,0.8,105.86,"18,657,496.30",0.37,55.17,4.44,10.07,0.0,0.73,0.25,65.52,63.48,"15,268,375,500.00",10.13,27.36,9.29,60.62,43.23,60.62,43.23,29.33,1.52,10.8,10.11,9.41,0.8,25.44,33.29,194.44,101.89,"469,691,175.00",56.25,63.22,54.36,-0.06,-0.14,0.08,6.79,1.41,0.0,63.44,-63.44,55.0,0.03,50.0,506.59,96.97,90.54,1.0,13.0,7.0,"332,747,555.46",0.06,8.4,0.19,1.44,314.74,223.90,9.61,10.95,8.68,11.88,7.34,13.23,6.41,1.0,9.11,"4,011,811,500.00",149.98,132.54,9.98,9.51,9.03,0.9,9.98,9.51,8.51,9.51,66.41,0.85,10.07,24.96,0.0,0.19,0.12,0.06,9.11,0.01,0.01,10.0,10.13,"17,279,806.80","8,149,691.91","9,130,114.89",12.96,10.14,7.32,46.82,10.3,10.21,9.31,10.35,14.51,78.47,10.8,0.68,10.43,9.93,9.44,10.55,10.34,10.19,10.14,10.09,10.04,9.89,9.88,9.88,9.89,9.89,9.9,0.2,0.13,-0.02,0.0,10.25,9.68,1.41,0.73,"77,499,315.87",-0.24,-0.81,0.0,1.69,10.8,9.96,9.11,8.66,-0.06,,,5.42,290.3,40.43,-1.06,31.81,7.38,36.54,-0.1,-5.45,-5.5,15.78,10.77,9.98,9.19,111.06,2.12,-0.15,0.42,0.54,9.21,13.01,8.87,7.14,100.0,92.86,9.78,9.9,9.93,34.47,19.28,13.95,863.52,9.32,TSLA_2014Y_day.csv,
