number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.5137711480516515,2025-07-06 20:36:55.171140,2025-07-06 20:36:55.766608,0 days 00:00:00.595468,2.8816146078361307,COMPLETE
1,0.5158799699727862,2025-07-06 20:36:55.769738,2025-07-06 20:36:55.933823,0 days 00:00:00.164085,9.04210610624934,COMPLETE
2,0.5276211841359543,2025-07-06 20:36:55.934851,2025-07-06 20:36:55.966130,0 days 00:00:00.031279,0.006774185520248003,COMPLETE
3,0.5316149603299188,2025-07-06 20:36:55.966508,2025-07-06 20:36:55.997929,0 days 00:00:00.031421,0.00418177540358586,COMPLETE
4,0.514951977750505,2025-07-06 20:36:55.998321,2025-07-06 20:36:56.054426,0 days 00:00:00.056105,0.07254917175697068,COMPLETE
5,0.5149565579426013,2025-07-06 20:36:56.054922,2025-07-06 20:36:56.307447,0 days 00:00:00.252525,6.689788367521858,COMPLETE
6,0.5134752975425978,2025-07-06 20:36:56.308298,2025-07-06 20:36:56.538813,0 days 00:00:00.230515,1.6218675445468542,COMPLETE
7,0.538009060716313,2025-07-06 20:36:56.539583,2025-07-06 20:36:56.557710,0 days 00:00:00.018127,0.0019581840742124343,COMPLETE
8,0.5149342803594024,2025-07-06 20:36:56.558061,2025-07-06 20:36:56.605752,0 days 00:00:00.047691,0.07075033784457138,COMPLETE
9,0.5139462781069083,2025-07-06 20:36:56.606110,2025-07-06 20:36:56.755473,0 days 00:00:00.149363,3.1533316343788793,COMPLETE
10,0.5408038767180817,2025-07-06 20:36:56.755878,2025-07-06 20:36:56.804326,0 days 00:00:00.048448,0.0013258262644001587,COMPLETE
11,0.541291558900772,2025-07-06 20:36:56.804802,2025-07-06 20:36:56.852389,0 days 00:00:00.047587,0.0011622287315136497,COMPLETE
12,0.5418960726778177,2025-07-06 20:36:56.853724,2025-07-06 20:36:56.907721,0 days 00:00:00.053997,0.0010237932561184748,COMPLETE
13,0.5199818033634285,2025-07-06 20:36:56.913041,2025-07-06 20:36:56.983859,0 days 00:00:00.070818,0.02020780552874342,COMPLETE
14,0.5137061075117416,2025-07-06 20:36:56.984217,2025-07-06 20:36:57.115493,0 days 00:00:00.131276,0.36184368669381134,COMPLETE
15,0.5223295146944432,2025-07-06 20:36:57.115908,2025-07-06 20:36:57.156436,0 days 00:00:00.040528,0.013899720811367486,COMPLETE
16,0.540995564326329,2025-07-06 20:36:57.157340,2025-07-06 20:36:57.175594,0 days 00:00:00.018254,0.0012623900373165376,COMPLETE
17,0.5296461654369009,2025-07-06 20:36:57.175979,2025-07-06 20:36:57.200556,0 days 00:00:00.024577,0.005430600011936497,COMPLETE
18,0.5185054511534518,2025-07-06 20:36:57.200909,2025-07-06 20:36:57.253467,0 days 00:00:00.052558,0.02660333352701306,COMPLETE
19,0.5135276150246609,2025-07-06 20:36:57.253992,2025-07-06 20:36:57.371923,0 days 00:00:00.117931,0.3942452694451088,COMPLETE
20,0.5351926820218625,2025-07-06 20:36:57.372286,2025-07-06 20:36:57.398186,0 days 00:00:00.025900,0.0027557000852760894,COMPLETE
21,0.5416113287948205,2025-07-06 20:36:57.399167,2025-07-06 20:36:57.472529,0 days 00:00:00.073362,0.001038383762362018,COMPLETE
22,0.5414778390735236,2025-07-06 20:36:57.472888,2025-07-06 20:36:57.487768,0 days 00:00:00.014880,0.0010861096985839368,COMPLETE
23,0.5253452780756488,2025-07-06 20:36:57.488900,2025-07-06 20:36:57.523597,0 days 00:00:00.034697,0.009164576850025708,COMPLETE
24,0.5348433941262094,2025-07-06 20:36:57.524574,2025-07-06 20:36:57.542024,0 days 00:00:00.017450,0.002992976676874245,COMPLETE
25,0.5172458693326919,2025-07-06 20:36:57.542884,2025-07-06 20:36:57.575301,0 days 00:00:00.032417,0.03794495002682353,COMPLETE
26,0.5365342941316912,2025-07-06 20:36:57.576445,2025-07-06 20:36:57.598790,0 days 00:00:00.022345,0.0023448852267969416,COMPLETE
27,0.5419250207603663,2025-07-06 20:36:57.599621,2025-07-06 20:36:57.639131,0 days 00:00:00.039510,0.0010123863991092746,COMPLETE
28,0.524811855584867,2025-07-06 20:36:57.640582,2025-07-06 20:36:57.673176,0 days 00:00:00.032594,0.009880994119268618,COMPLETE
29,0.5141714994262302,2025-07-06 20:36:57.674003,2025-07-06 20:36:57.770322,0 days 00:00:00.096319,0.2513072484327824,COMPLETE
