number,value,datetime_start,datetime_complete,duration,params_alpha,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
0,0.621150572066209,2025-07-04 18:43:28.220686,2025-07-04 18:44:24.310950,0 days 00:00:56.090264,2.0271244122895685e-05,0.0002588678187825876,2,224,161.0,,COMPLETE
1,0.629560508063142,2025-07-04 18:44:24.312338,2025-07-04 18:45:30.594851,0 days 00:01:06.282513,0.002241894358740989,0.00013934295530186475,2,166,169.0,,COMPLETE
2,0.6240301531466507,2025-07-04 18:45:30.595814,2025-07-04 18:45:51.874576,0 days 00:00:21.278762,6.608194310299536e-05,0.0028799687781668436,2,214,234.0,,COMPLETE
3,0.6026691627428385,2025-07-04 18:45:51.875036,2025-07-04 18:46:42.425517,0 days 00:00:50.550481,4.742048903676116e-05,0.0002910441334340967,2,68,251.0,,COMPLETE
4,0.617728648756529,2025-07-04 18:46:42.428160,2025-07-04 18:47:04.577791,0 days 00:00:22.149631,0.006697749375727652,0.0015149053108672885,2,142,175.0,,COMPLETE
5,0.651819734992952,2025-07-04 18:47:04.578622,2025-07-04 18:47:28.234081,0 days 00:00:23.655459,2.267933632425446e-05,0.00012737691331347366,2,86,40.0,,COMPLETE
6,0.6065074841480386,2025-07-04 18:47:28.234920,2025-07-04 18:47:37.767237,0 days 00:00:09.532317,0.000978745008806262,0.0013104714500878959,3,166,55.0,197.0,COMPLETE
7,0.6181586276020538,2025-07-04 18:47:37.767715,2025-07-04 18:47:54.874084,0 days 00:00:17.106369,0.00028130637443228194,0.0007617008737511927,3,122,109.0,171.0,COMPLETE
8,0.6200933796248042,2025-07-04 18:47:54.874900,2025-07-04 18:49:32.979131,0 days 00:01:38.104231,0.0004923136409694396,0.00010199933836982125,3,173,241.0,151.0,COMPLETE
9,0.6288670504936831,2025-07-04 18:49:32.980615,2025-07-04 18:49:40.631214,0 days 00:00:07.650599,3.101066538524267e-05,0.0024221417186726327,1,101,,,COMPLETE
10,0.6480081130476213,2025-07-04 18:49:40.632508,2025-07-04 18:49:42.821795,0 days 00:00:02.189287,1.2008927775388177e-05,0.008487202110344094,1,34,,,COMPLETE
11,0.6300729395002833,2025-07-04 18:49:42.822489,2025-07-04 18:49:45.779687,0 days 00:00:02.957198,1.4011689694992703e-05,0.006191180217846642,1,34,,,COMPLETE
12,0.6495216664807503,2025-07-04 18:49:45.780163,2025-07-04 18:49:47.391718,0 days 00:00:01.611555,0.00011476658212567995,0.008907569903500967,1,33,,,COMPLETE
13,0.6501163071112578,2025-07-04 18:49:47.392196,2025-07-04 18:50:12.522832,0 days 00:00:25.130636,0.0001679760293591349,0.0005030048424137539,1,78,,,COMPLETE
14,0.6422662248534948,2025-07-04 18:50:12.524254,2025-07-04 18:50:29.546022,0 days 00:00:17.021768,0.00015854737986409966,0.00050275166474621,1,91,,,COMPLETE
15,0.6563752134281216,2025-07-04 18:50:29.546849,2025-07-04 18:50:43.898921,0 days 00:00:14.352072,9.629204801705122e-05,0.00023782902818507347,1,71,,,COMPLETE
16,0.6075157451711076,2025-07-04 18:50:43.899707,2025-07-04 18:51:17.276678,0 days 00:00:33.376971,7.121646874720599e-05,0.00020775697141054304,3,66,39.0,51.0,COMPLETE
17,0.6376892061054197,2025-07-04 18:51:17.277529,2025-07-04 18:52:15.148086,0 days 00:00:57.870557,2.6524780850017196e-05,0.0001665201533443272,2,113,92.0,,COMPLETE
18,0.6409921643745138,2025-07-04 18:52:15.148969,2025-07-04 18:52:33.293563,0 days 00:00:18.144594,0.0005051627143312608,0.0003729308917524307,1,132,,,COMPLETE
19,0.6438483106517287,2025-07-04 18:52:33.294043,2025-07-04 18:52:58.268290,0 days 00:00:24.974247,4.965771991845397e-05,0.00010406772899710883,2,65,90.0,,COMPLETE
20,0.6272215858187116,2025-07-04 18:52:58.269667,2025-07-04 18:53:16.576761,0 days 00:00:18.307094,0.00143567475753655,0.0008252495985336514,3,193,117.0,46.0,COMPLETE
21,0.6282896815507755,2025-07-04 18:53:16.577589,2025-07-04 18:53:30.848883,0 days 00:00:14.271294,0.0001934699183548087,0.0004969931508635949,1,94,,,COMPLETE
22,0.6421548037047259,2025-07-04 18:53:30.850070,2025-07-04 18:53:44.631078,0 days 00:00:13.781008,8.886023004861364e-05,0.0004703717269662617,1,70,,,COMPLETE
23,0.6630082508344513,2025-07-04 18:53:44.631535,2025-07-04 18:53:57.952932,0 days 00:00:13.321397,0.00028935208804148924,0.0001886294064538071,1,79,,,COMPLETE
24,0.653320657809479,2025-07-04 18:53:57.953394,2025-07-04 18:54:25.460090,0 days 00:00:27.506696,0.0004719882268260431,0.00018086879508754153,1,252,,,COMPLETE
25,0.6729371510225519,2025-07-04 18:54:25.461817,2025-07-04 18:54:36.943600,0 days 00:00:11.481783,0.000523425013121865,0.00020123422755458708,1,52,,,COMPLETE
26,0.6717895626165035,2025-07-04 18:54:36.944079,2025-07-04 18:54:48.329641,0 days 00:00:11.385562,0.0010763747592230034,0.00026727260469425966,1,52,,,COMPLETE
27,0.6508448028687627,2025-07-04 18:54:48.330839,2025-07-04 18:55:00.452273,0 days 00:00:12.121434,0.0037301792266934432,0.000333155924800843,1,53,,,COMPLETE
28,0.6599067819124138,2025-07-04 18:55:00.453955,2025-07-04 18:55:10.989622,0 days 00:00:10.535667,0.0008120213543742419,0.0001836667317511761,1,45,,,COMPLETE
29,0.6733578743686405,2025-07-04 18:55:10.990078,2025-07-04 18:55:22.123224,0 days 00:00:11.133146,0.002113027869953217,0.000240111143099349,1,52,,,COMPLETE
