number,value,datetime_start,datetime_complete,duration,params_alpha,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,state
0,0.7065636603186011,2025-07-04 18:42:57.257446,2025-07-04 18:42:58.100938,0 days 00:00:00.843492,0.0019229103403142953,0.0004809618701174233,2,87,101.0,,COMPLETE
1,0.7138459695771949,2025-07-04 18:42:58.102264,2025-07-04 18:42:58.409714,0 days 00:00:00.307450,0.002680804206057449,0.0012064026451793037,1,128,,,COMPLETE
2,0.7158701640915078,2025-07-04 18:42:58.410151,2025-07-04 18:42:58.735906,0 days 00:00:00.325755,0.002977182700497834,0.0014575152300489594,3,52,127.0,46.0,COMPLETE
3,0.7532279314888011,2025-07-04 18:42:58.736794,2025-07-04 18:42:59.930760,0 days 00:00:01.193966,5.480925218761823e-05,0.00016023112425788647,1,205,,,COMPLETE
4,0.7151275601868488,2025-07-04 18:42:59.931204,2025-07-04 18:43:00.133197,0 days 00:00:00.201993,0.00031277394424105614,0.00670879912828172,1,163,,,COMPLETE
5,0.6853275841418133,2025-07-04 18:43:00.133951,2025-07-04 18:43:01.547569,0 days 00:00:01.413618,0.00023885514361092852,0.00020305249043235126,3,109,65.0,193.0,COMPLETE
6,0.6874236435501259,2025-07-04 18:43:01.548043,2025-07-04 18:43:02.135878,0 days 00:00:00.587835,0.008401184698045079,0.001989642877050117,3,208,208.0,70.0,COMPLETE
7,0.6964426877470355,2025-07-04 18:43:02.137096,2025-07-04 18:43:04.753767,0 days 00:00:02.616671,1.1829616208442348e-05,0.00013086392580990473,3,160,225.0,32.0,COMPLETE
8,0.674428075218589,2025-07-04 18:43:04.754517,2025-07-04 18:43:05.042702,0 days 00:00:00.288185,5.077223763317753e-05,0.005043479985891093,3,140,155.0,251.0,COMPLETE
9,0.6914361001317523,2025-07-04 18:43:05.043177,2025-07-04 18:43:06.468814,0 days 00:00:01.425637,1.538698937727289e-05,0.00043744678232373387,2,217,210.0,,COMPLETE
10,0.7269493352497305,2025-07-04 18:43:06.469318,2025-07-04 18:43:07.277598,0 days 00:00:00.808280,7.382471013202532e-05,0.00035993837414309077,1,235,,,COMPLETE
11,0.7262905737214037,2025-07-04 18:43:07.278423,2025-07-04 18:43:08.145879,0 days 00:00:00.867456,8.869672544176613e-05,0.0003072415037467756,1,250,,,COMPLETE
12,0.7561264822134387,2025-07-04 18:43:08.147185,2025-07-04 18:43:09.087491,0 days 00:00:00.940306,5.767537451353292e-05,0.00012941066705938288,1,253,,,COMPLETE
13,0.7450473110552162,2025-07-04 18:43:09.092499,2025-07-04 18:43:10.644761,0 days 00:00:01.552262,3.482392128977355e-05,0.00010282997416408755,2,189,36.0,,COMPLETE
14,0.7462211043238712,2025-07-04 18:43:10.645998,2025-07-04 18:43:11.381186,0 days 00:00:00.735188,0.00017156273176055576,0.00018175161004557681,1,191,,,COMPLETE
15,0.7123487842855433,2025-07-04 18:43:11.381648,2025-07-04 18:43:12.199550,0 days 00:00:00.817902,0.00076414752698804,0.0006862290296549018,1,248,,,COMPLETE
16,0.692933285423404,2025-07-04 18:43:12.200011,2025-07-04 18:43:14.480121,0 days 00:00:02.280110,2.9260048113062445e-05,0.0002136214361850983,2,224,256.0,,COMPLETE
17,0.708072823092586,2025-07-04 18:43:14.481285,2025-07-04 18:43:14.760732,0 days 00:00:00.279447,0.00011683785368257486,0.002653569511540846,1,187,,,COMPLETE
18,0.7033177626063001,2025-07-04 18:43:14.761296,2025-07-04 18:43:15.876346,0 days 00:00:01.115050,0.0006178500713313999,0.0006847591594932511,2,251,170.0,,COMPLETE
19,0.7557432027787759,2025-07-04 18:43:15.877462,2025-07-04 18:43:16.646285,0 days 00:00:00.768823,2.0832758120860275e-05,0.00014002303323924905,1,206,,,COMPLETE
20,0.7241226494190922,2025-07-04 18:43:16.646741,2025-07-04 18:43:17.299039,0 days 00:00:00.652298,2.1514098246314507e-05,0.0002504730420007674,1,173,,,COMPLETE
21,0.7516109713738173,2025-07-04 18:43:17.300557,2025-07-04 18:43:17.951252,0 days 00:00:00.650695,4.990868669493729e-05,0.00013473275610067923,1,204,,,COMPLETE
22,0.7588932806324111,2025-07-04 18:43:17.952344,2025-07-04 18:43:19.819951,0 days 00:00:01.867607,2.3037874973487588e-05,0.00013033372347406072,1,231,,,COMPLETE
23,0.7438974727512276,2025-07-04 18:43:19.820868,2025-07-04 18:43:20.634816,0 days 00:00:00.813948,1.700614790275714e-05,0.0001003098665386805,1,227,,,COMPLETE
24,0.6964546652293689,2025-07-04 18:43:20.635281,2025-07-04 18:43:22.066622,0 days 00:00:01.431341,1.0157312578677824e-05,0.000294482803954621,2,234,95.0,,COMPLETE
25,0.7094382560785722,2025-07-04 18:43:22.067091,2025-07-04 18:43:22.968018,0 days 00:00:00.900927,2.592461967315541e-05,0.0005681989048187337,1,252,,,COMPLETE
26,0.7600910288657324,2025-07-04 18:43:22.969090,2025-07-04 18:43:23.679745,0 days 00:00:00.710655,0.00012883807356274163,0.00013923676378797635,1,232,,,COMPLETE
27,0.6771469637082285,2025-07-04 18:43:23.680621,2025-07-04 18:43:24.286031,0 days 00:00:00.605410,0.0004801903349391369,0.0009056176628783631,2,46,178.0,,COMPLETE
28,0.731237273925021,2025-07-04 18:43:24.286575,2025-07-04 18:43:25.051762,0 days 00:00:00.765187,0.00014702145445302954,0.00023872626146292936,1,234,,,COMPLETE
29,0.700275482093664,2025-07-04 18:43:25.052249,2025-07-04 18:43:25.984165,0 days 00:00:00.931916,8.448424132303511e-05,0.00044217663703466424,2,84,125.0,,COMPLETE
