number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.5232749587624149,2025-07-07 00:37:57.934228,2025-07-07 00:37:58.359202,0 days 00:00:00.424974,0.012281218384550116,COMPLETE
1,0.5163205364306486,2025-07-07 00:37:58.361154,2025-07-07 00:37:58.973777,0 days 00:00:00.612623,0.04781928688447337,COMPLETE
2,0.5410766658919753,2025-07-07 00:37:58.975905,2025-07-07 00:37:59.159594,0 days 00:00:00.183689,0.0012029782606923526,COMPLETE
3,0.5134773090216194,2025-07-07 00:37:59.160035,2025-07-07 00:37:59.600444,0 days 00:00:00.440409,1.8261779914355507,COMPLETE
4,0.5306983637705446,2025-07-07 00:37:59.601529,2025-07-07 00:37:59.621852,0 days 00:00:00.020323,0.004608264653845143,COMPLETE
5,0.5270988447133665,2025-07-07 00:37:59.623283,2025-07-07 00:37:59.647053,0 days 00:00:00.023770,0.007059482309864167,COMPLETE
6,0.5195065117102963,2025-07-07 00:37:59.647403,2025-07-07 00:37:59.682040,0 days 00:00:00.034637,0.02148249048364806,COMPLETE
7,0.5140132050879546,2025-07-07 00:37:59.683100,2025-07-07 00:37:59.718560,0 days 00:00:00.035460,0.14102480999501305,COMPLETE
8,0.5153163254627421,2025-07-07 00:37:59.719171,2025-07-07 00:37:59.886517,0 days 00:00:00.167346,7.27110525116267,COMPLETE
9,0.5129591900806902,2025-07-07 00:37:59.887207,2025-07-07 00:37:59.978280,0 days 00:00:00.091073,0.6362799249908935,COMPLETE
10,0.5405772301480838,2025-07-07 00:37:59.979269,2025-07-07 00:37:59.999918,0 days 00:00:00.020649,0.001381366946994709,COMPLETE
11,0.5389274676068067,2025-07-07 00:38:00.000306,2025-07-07 00:38:00.045850,0 days 00:00:00.045544,0.0017002022941250549,COMPLETE
12,0.5413904919561227,2025-07-07 00:38:00.048517,2025-07-07 00:38:00.083548,0 days 00:00:00.035031,0.001102499260490988,COMPLETE
13,0.5415476899477242,2025-07-07 00:38:00.084595,2025-07-07 00:38:00.100241,0 days 00:00:00.015646,0.0010575126918728394,COMPLETE
14,0.5136797272361961,2025-07-07 00:38:00.100905,2025-07-07 00:38:00.144821,0 days 00:00:00.043916,0.17369567937359243,COMPLETE
15,0.5334494609100311,2025-07-07 00:38:00.145223,2025-07-07 00:38:00.179523,0 days 00:00:00.034300,0.003505392066885956,COMPLETE
16,0.5172976205199854,2025-07-07 00:38:00.179891,2025-07-07 00:38:00.213223,0 days 00:00:00.033332,0.03741517119307447,COMPLETE
17,0.5346228925340151,2025-07-07 00:38:00.213631,2025-07-07 00:38:00.247047,0 days 00:00:00.033416,0.0030440536779849166,COMPLETE
18,0.5222135882656476,2025-07-07 00:38:00.247917,2025-07-07 00:38:00.272056,0 days 00:00:00.024139,0.013961807616438155,COMPLETE
19,0.5135218052933611,2025-07-07 00:38:00.273226,2025-07-07 00:38:00.353426,0 days 00:00:00.080200,0.3907567163820714,COMPLETE
20,0.5413672865555733,2025-07-07 00:38:00.353870,2025-07-07 00:38:00.505071,0 days 00:00:00.151201,0.0011014183922860446,COMPLETE
21,0.5418380088894688,2025-07-07 00:38:00.505901,2025-07-07 00:38:00.560020,0 days 00:00:00.054119,0.0010261697490455972,COMPLETE
22,0.5348202557749608,2025-07-07 00:38:00.562906,2025-07-07 00:38:00.611815,0 days 00:00:00.048909,0.002996399514857227,COMPLETE
23,0.5274991797786557,2025-07-07 00:38:00.612809,2025-07-07 00:38:00.635878,0 days 00:00:00.023069,0.006827025079022048,COMPLETE
24,0.541536036960474,2025-07-07 00:38:00.636233,2025-07-07 00:38:00.656002,0 days 00:00:00.019769,0.001049732443562569,COMPLETE
25,0.5359883470127499,2025-07-07 00:38:00.656887,2025-07-07 00:38:00.679191,0 days 00:00:00.022304,0.0024772686645372147,COMPLETE
26,0.5254730586395969,2025-07-07 00:38:00.679647,2025-07-07 00:38:00.773450,0 days 00:00:00.093803,0.009035638506755764,COMPLETE
27,0.516107420228321,2025-07-07 00:38:00.774449,2025-07-07 00:38:00.926151,0 days 00:00:00.151702,0.05199895210519403,COMPLETE
28,0.537852566742369,2025-07-07 00:38:00.927151,2025-07-07 00:38:00.956427,0 days 00:00:00.029276,0.0020226577216346272,COMPLETE
29,0.5206766914431954,2025-07-07 00:38:00.963575,2025-07-07 00:38:00.996750,0 days 00:00:00.033175,0.018094535696403954,COMPLETE
