number,value,datetime_start,datetime_complete,duration,params_C,state
0,0.5549407114624505,2025-07-07 00:08:51.516545,2025-07-07 00:08:51.525341,0 days 00:00:00.008796,0.0021877100409224554,COMPLETE
1,0.6259791591807402,2025-07-07 00:08:51.525751,2025-07-07 00:08:51.536793,0 days 00:00:00.011042,2.058292002302073,COMPLETE
2,0.6319199904180142,2025-07-07 00:08:51.537202,2025-07-07 00:08:51.548363,0 days 00:00:00.011161,5.250235672975055,COMPLETE
3,0.5914121451670858,2025-07-07 00:08:51.548788,2025-07-07 00:08:51.554876,0 days 00:00:00.006088,0.02204666965502178,COMPLETE
4,0.631297161336687,2025-07-07 00:08:51.555259,2025-07-07 00:08:51.563449,0 days 00:00:00.008190,1.4224564821764598,COMPLETE
5,0.5534315486884657,2025-07-07 00:08:51.563754,2025-07-07 00:08:51.569818,0 days 00:00:00.006064,0.0016465630148472478,COMPLETE
6,0.631297161336687,2025-07-07 00:08:51.570191,2025-07-07 00:08:51.578027,0 days 00:00:00.007836,1.3755114480283686,COMPLETE
7,0.5644867648820219,2025-07-07 00:08:51.578342,2025-07-07 00:08:51.583849,0 days 00:00:00.005507,0.0035215430932908787,COMPLETE
8,0.6419092106839142,2025-07-07 00:08:51.584209,2025-07-07 00:08:51.597027,0 days 00:00:00.012818,9.493942690775551,COMPLETE
9,0.6285423404000477,2025-07-07 00:08:51.597332,2025-07-07 00:08:51.605004,0 days 00:00:00.007672,0.7561033770994887,COMPLETE
10,0.6218109953287819,2025-07-07 00:08:51.605353,2025-07-07 00:08:51.613056,0 days 00:00:00.007703,0.1297472156085296,COMPLETE
11,0.6404599353215954,2025-07-07 00:08:51.613353,2025-07-07 00:08:51.627632,0 days 00:00:00.014279,9.005834453594183,COMPLETE
12,0.6405916876272607,2025-07-07 00:08:51.628025,2025-07-07 00:08:51.642885,0 days 00:00:00.014860,9.910239511419555,COMPLETE
13,0.6359204695173074,2025-07-07 00:08:51.643237,2025-07-07 00:08:51.651525,0 days 00:00:00.008288,0.3297992407018179,COMPLETE
14,0.6419092106839142,2025-07-07 00:08:51.651886,2025-07-07 00:08:51.666513,0 days 00:00:00.014627,9.586150226790881,COMPLETE
15,0.595903701042041,2025-07-07 00:08:51.666873,2025-07-07 00:08:51.673820,0 days 00:00:00.006947,0.03159616105053642,COMPLETE
16,0.6331656485806684,2025-07-07 00:08:51.674121,2025-07-07 00:08:51.682086,0 days 00:00:00.007965,0.3590852889486708,COMPLETE
17,0.6288896873877111,2025-07-07 00:08:51.682399,2025-07-07 00:08:51.694925,0 days 00:00:00.012526,4.046591726766137,COMPLETE
18,0.6047550604862858,2025-07-07 00:08:51.695271,2025-07-07 00:08:51.702815,0 days 00:00:00.007544,0.060546866854726475,COMPLETE
19,0.5729787998562702,2025-07-07 00:08:51.703163,2025-07-07 00:08:51.709785,0 days 00:00:00.006622,0.0069108021025360705,COMPLETE
20,0.6288178224937119,2025-07-07 00:08:51.710103,2025-07-07 00:08:51.721882,0 days 00:00:00.011779,3.2832357710228424,COMPLETE
21,0.6419092106839142,2025-07-07 00:08:51.722231,2025-07-07 00:08:51.736557,0 days 00:00:00.014326,9.365374360937855,COMPLETE
22,0.6404599353215954,2025-07-07 00:08:51.736910,2025-07-07 00:08:51.751349,0 days 00:00:00.014439,8.784374212550041,COMPLETE
23,0.6273565696490597,2025-07-07 00:08:51.751750,2025-07-07 00:08:51.760278,0 days 00:00:00.008528,0.6898394201825335,COMPLETE
24,0.6316445083243503,2025-07-07 00:08:51.760599,2025-07-07 00:08:51.772524,0 days 00:00:00.011925,3.630445970895047,COMPLETE
25,0.6301233680680322,2025-07-07 00:08:51.772874,2025-07-07 00:08:51.784000,0 days 00:00:00.011126,2.3914839168354445,COMPLETE
26,0.6271649299317282,2025-07-07 00:08:51.784360,2025-07-07 00:08:51.793127,0 days 00:00:00.008767,0.794598798155582,COMPLETE
27,0.6305425799496945,2025-07-07 00:08:51.793450,2025-07-07 00:08:51.806528,0 days 00:00:00.013078,5.86267626358844,COMPLETE
28,0.6257156545694095,2025-07-07 00:08:51.806883,2025-07-07 00:08:51.817503,0 days 00:00:00.010620,1.571666395570389,COMPLETE
29,0.6358605821056414,2025-07-07 00:08:51.817862,2025-07-07 00:08:51.826054,0 days 00:00:00.008192,0.3026852247775334,COMPLETE
