Cross-Validation Results:
 fold                start_date                  end_date     rmse      mae        r2
    0 2015-10-06 22:00:00+00:00 2017-12-12 23:00:00+00:00 0.014140 0.011071  0.783856
    1 2017-07-11 22:00:00+00:00 2019-09-17 22:00:00+00:00 0.028766 0.020097  0.393113
    2 2019-04-14 22:00:00+00:00 2021-06-20 22:00:00+00:00 0.079444 0.056445 -2.159391
    3 2021-01-13 23:00:00+00:00 2023-03-22 23:00:00+00:00 0.051739 0.041297 -0.675761
    4 2022-10-11 22:00:00+00:00 2024-12-19 23:00:00+00:00 0.032041 0.026151  0.076850

Last Fold Prediction Sample:
               date    y_true    y_pred  residual
2022-10-11 22:00:00  0.039902  0.056180 -0.016279
2022-10-12 22:00:00  0.002797  0.021527 -0.018729
2022-10-13 22:00:00  0.064243  0.084970 -0.020727
2022-10-16 22:00:00  0.049435  0.041456  0.007979
2022-10-17 22:00:00  0.059757  0.046855  0.012902
2022-10-18 22:00:00  0.038162  0.063987 -0.025825
2022-10-19 22:00:00  0.009833  0.085588 -0.075754
2022-10-20 22:00:00  0.057513  0.032305  0.025208
2022-10-23 22:00:00  0.026029  0.000134  0.025895
2022-10-24 22:00:00 -0.011094 -0.060696  0.049602
