number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,0.7864773815219742,2025-06-28 15:13:48.406842,2025-06-28 15:13:59.903462,0 days 00:00:11.496620,18,,88,COMPLETE
1,0.7697105116016679,2025-06-28 15:13:59.904555,2025-06-28 15:14:27.588175,0 days 00:00:27.683620,16,,206,COMPLETE
2,0.769465192827823,2025-06-28 15:14:27.589195,2025-06-28 15:15:05.399262,0 days 00:00:37.810067,14,,296,COMPLETE
3,0.7648371501195864,2025-06-28 15:15:05.399866,2025-06-28 15:15:35.225335,0 days 00:00:29.825469,19,,222,COMPLETE
4,0.7798819358810715,2025-06-28 15:15:35.226401,2025-06-28 15:15:57.008275,0 days 00:00:21.781874,14,,168,COMPLETE
5,0.7226095993823488,2025-06-28 15:15:57.008906,2025-06-28 15:15:58.771389,0 days 00:00:01.762483,7,log2,171,COMPLETE
6,0.7108912569864799,2025-06-28 15:15:58.771874,2025-06-28 15:16:02.464901,0 days 00:00:03.693027,20,sqrt,204,COMPLETE
7,0.6936649122027999,2025-06-28 15:16:02.465406,2025-06-28 15:16:04.725552,0 days 00:00:02.260146,16,sqrt,128,COMPLETE
8,0.7677523977359643,2025-06-28 15:16:04.726048,2025-06-28 15:16:36.184876,0 days 00:00:31.458828,16,,242,COMPLETE
9,0.8314430023832692,2025-06-28 15:16:36.185374,2025-06-28 15:17:02.568168,0 days 00:00:26.382794,7,,290,COMPLETE
10,0.7467208602654357,2025-06-28 15:17:02.568682,2025-06-28 15:17:02.963609,0 days 00:00:00.394927,3,log2,62,COMPLETE
11,0.8043463678641435,2025-06-28 15:17:02.964146,2025-06-28 15:17:11.564662,0 days 00:00:08.600516,9,,79,COMPLETE
12,0.7988193979661444,2025-06-28 15:17:11.565170,2025-06-28 15:17:39.877625,0 days 00:00:28.312455,9,,264,COMPLETE
13,0.8318217292644583,2025-06-28 15:17:39.878137,2025-06-28 15:17:50.156184,0 days 00:00:10.278047,7,,115,COMPLETE
14,0.735246336498931,2025-06-28 15:17:50.156688,2025-06-28 15:17:51.042066,0 days 00:00:00.885378,4,log2,128,COMPLETE
15,0.7118979163320326,2025-06-28 15:17:51.042596,2025-06-28 15:17:52.592801,0 days 00:00:01.550205,7,sqrt,123,COMPLETE
16,0.8556738190717326,2025-06-28 15:17:52.593339,2025-06-28 15:18:04.464445,0 days 00:00:11.871106,6,,149,COMPLETE
17,0.882508398821158,2025-06-28 15:18:04.464979,2025-06-28 15:18:16.519303,0 days 00:00:12.054324,5,,150,COMPLETE
18,0.7582571238115499,2025-06-28 15:18:16.521261,2025-06-28 15:18:18.127157,0 days 00:00:01.605896,5,sqrt,155,COMPLETE
19,0.6708977767308908,2025-06-28 15:18:18.127657,2025-06-28 15:18:20.030895,0 days 00:00:01.903238,11,log2,150,COMPLETE
20,0.8889450959448176,2025-06-28 15:18:20.031455,2025-06-28 15:18:34.217749,0 days 00:00:14.186294,5,,196,COMPLETE
21,0.8885776802241918,2025-06-28 15:18:34.219415,2025-06-28 15:18:50.489193,0 days 00:00:16.269778,5,,195,COMPLETE
22,0.8993593583979921,2025-06-28 15:18:50.490094,2025-06-28 15:18:59.298336,0 days 00:00:08.808242,3,,196,COMPLETE
23,0.9019570911446017,2025-06-28 15:18:59.298958,2025-06-28 15:19:10.709907,0 days 00:00:11.410949,4,,195,COMPLETE
24,0.900437994301118,2025-06-28 15:19:10.710441,2025-06-28 15:19:21.829673,0 days 00:00:11.119232,3,,238,COMPLETE
25,0.900370092784962,2025-06-28 15:19:21.832396,2025-06-28 15:19:32.666383,0 days 00:00:10.833987,3,,239,COMPLETE
26,0.9011714090292017,2025-06-28 15:19:32.666907,2025-06-28 15:19:43.891115,0 days 00:00:11.224208,3,,251,COMPLETE
27,0.7155442495612517,2025-06-28 15:19:43.891625,2025-06-28 15:19:48.369143,0 days 00:00:04.477518,9,sqrt,265,COMPLETE
28,0.7569849270245971,2025-06-28 15:19:48.370197,2025-06-28 15:19:49.998188,0 days 00:00:01.627991,3,log2,260,COMPLETE
29,0.7747689485239051,2025-06-28 15:19:49.998760,2025-06-28 15:20:16.686590,0 days 00:00:26.687830,11,,224,COMPLETE
