number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,0.7187800097966814,2025-06-27 16:40:53.437163,2025-06-27 16:40:55.263714,0 days 00:00:01.826551,7,sqrt,161,COMPLETE
1,0.7838344536691698,2025-06-27 16:40:55.265125,2025-06-27 16:41:07.285081,0 days 00:00:12.019956,11,,108,COMPLETE
2,0.7025844856015165,2025-06-27 16:41:07.285575,2025-06-27 16:41:10.680311,0 days 00:00:03.394736,14,sqrt,217,COMPLETE
3,0.700989535558063,2025-06-27 16:41:10.680779,2025-06-27 16:41:12.545830,0 days 00:00:01.865051,11,sqrt,127,COMPLETE
4,0.6760324184793829,2025-06-27 16:41:12.546303,2025-06-27 16:41:14.832747,0 days 00:00:02.286444,13,log2,186,COMPLETE
5,0.7270466262275425,2025-06-27 16:41:14.833182,2025-06-27 16:41:17.118292,0 days 00:00:02.285110,7,sqrt,203,COMPLETE
6,0.7032118447149841,2025-06-27 16:41:17.118720,2025-06-27 16:41:20.272593,0 days 00:00:03.153873,11,sqrt,217,COMPLETE
7,0.7265291315887964,2025-06-27 16:41:20.273043,2025-06-27 16:41:21.205930,0 days 00:00:00.932887,18,log2,72,COMPLETE
8,0.7782006718419656,2025-06-27 16:41:21.206373,2025-06-27 16:41:47.750821,0 days 00:00:26.544448,12,,234,COMPLETE
9,0.7269966448302497,2025-06-27 16:41:47.751307,2025-06-27 16:41:50.224833,0 days 00:00:02.473526,8,sqrt,201,COMPLETE
10,0.9000254190051379,2025-06-27 16:41:50.225299,2025-06-27 16:42:02.269088,0 days 00:00:12.043789,3,,294,COMPLETE
11,0.9006016640493953,2025-06-27 16:42:02.269540,2025-06-27 16:42:13.578418,0 days 00:00:11.308878,3,,280,COMPLETE
12,0.899833316809035,2025-06-27 16:42:13.578879,2025-06-27 16:42:25.635859,0 days 00:00:12.056980,3,,299,COMPLETE
13,0.9004774976920923,2025-06-27 16:42:25.636286,2025-06-27 16:42:37.510356,0 days 00:00:11.874070,3,,286,COMPLETE
14,0.8919021264573835,2025-06-27 16:42:37.510818,2025-06-27 16:42:53.995951,0 days 00:00:16.485133,5,,260,COMPLETE
15,0.89195347719339,2025-06-27 16:42:53.996380,2025-06-27 16:43:10.843205,0 days 00:00:16.846825,5,,255,COMPLETE
16,0.7602158720708405,2025-06-27 16:43:10.843742,2025-06-27 16:43:43.769736,0 days 00:00:32.925994,19,,268,COMPLETE
17,0.7793941535812269,2025-06-27 16:43:43.770195,2025-06-27 16:44:03.479450,0 days 00:00:19.709255,16,,163,COMPLETE
18,0.7100713383704135,2025-06-27 16:44:03.479900,2025-06-27 16:44:06.430831,0 days 00:00:02.950931,9,log2,279,COMPLETE
19,0.8916026442084787,2025-06-27 16:44:06.431295,2025-06-27 16:44:21.793000,0 days 00:00:15.361705,5,,241,COMPLETE
20,0.9007506684123165,2025-06-27 16:44:21.793447,2025-06-27 16:44:33.485789,0 days 00:00:11.692342,3,,281,COMPLETE
21,0.9009526650969096,2025-06-27 16:44:33.486224,2025-06-27 16:44:45.101775,0 days 00:00:11.615551,3,,278,COMPLETE
22,0.8917862863823517,2025-06-27 16:44:45.102209,2025-06-27 16:45:00.486028,0 days 00:00:15.383819,5,,243,COMPLETE
23,0.9046844357875274,2025-06-27 16:45:00.486478,2025-06-27 16:45:14.710163,0 days 00:00:14.223685,4,,273,COMPLETE
24,0.8634696425089241,2025-06-27 16:45:14.710593,2025-06-27 16:45:34.386832,0 days 00:00:19.676239,6,,263,COMPLETE
25,0.7102686245350909,2025-06-27 16:45:34.387272,2025-06-27 16:45:37.584176,0 days 00:00:03.196904,9,log2,300,COMPLETE
26,0.9037600751896094,2025-06-27 16:45:37.584614,2025-06-27 16:45:49.324118,0 days 00:00:11.739504,4,,225,COMPLETE
27,0.8620322219206349,2025-06-27 16:45:49.324572,2025-06-27 16:46:06.417898,0 days 00:00:17.093326,6,,229,COMPLETE
28,0.9037336843637851,2025-06-27 16:46:06.418382,2025-06-27 16:46:19.685287,0 days 00:00:13.266905,4,,250,COMPLETE
29,0.7240811322736329,2025-06-27 16:46:19.685782,2025-06-27 16:46:21.392432,0 days 00:00:01.706650,7,log2,182,COMPLETE
