Cross-Validation Results:
 fold start_date   end_date     rmse      mae        r2
    0 2015-10-26 2017-12-21 2.971155 2.132721 -0.098512
    1 2017-07-20 2019-09-18 2.740947 2.115542 -0.077428
    2 2019-04-15 2021-06-11 2.643699 2.096101 -0.311131
    3 2021-01-06 2023-03-07 2.342199 1.879851 -0.066818
    4 2022-09-29 2024-11-27 2.572490 1.906281  0.001403

Last Fold Prediction Sample:
      date    y_true   y_pred  residual
2022-09-29  0.902692 0.218615  0.684076
2022-09-30  0.581871 0.177603  0.404269
2022-10-03 -0.584066 0.047927 -0.631992
2022-10-04 -1.971704 0.030694 -2.002398
2022-10-05 -2.235307 0.065629 -2.300936
2022-10-06 -0.671412 0.083551 -0.754963
2022-10-07 -0.467789 0.109889 -0.577677
2022-10-10  0.546125 0.061929  0.484196
2022-10-11  1.418098 0.134245  1.283853
2022-10-12  1.908784 0.212209  1.696575
