number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,0.6086509135075067,2025-07-06 17:54:46.470060,2025-07-06 17:54:47.515610,0 days 00:00:01.045550,8,log2,100,COMPLETE
1,0.5930585499749091,2025-07-06 17:54:47.516146,2025-07-06 17:54:50.727698,0 days 00:00:03.211552,12,log2,252,COMPLETE
2,0.65346954566668,2025-07-06 17:54:50.728150,2025-07-06 17:55:27.889671,0 days 00:00:37.161521,18,,287,COMPLETE
3,0.5857338512499155,2025-07-06 17:55:27.890370,2025-07-06 17:55:28.568629,0 days 00:00:00.678259,12,log2,53,COMPLETE
4,0.569997760618209,2025-07-06 17:55:28.569056,2025-07-06 17:55:30.196163,0 days 00:00:01.627107,16,sqrt,92,COMPLETE
5,0.5838440761509048,2025-07-06 17:55:30.196605,2025-07-06 17:55:32.268609,0 days 00:00:02.072004,20,log2,139,COMPLETE
6,0.6109518921888442,2025-07-06 17:55:32.269092,2025-07-06 17:55:33.840097,0 days 00:00:01.571005,6,log2,190,COMPLETE
7,0.6022304925285334,2025-07-06 17:55:33.840542,2025-07-06 17:55:37.308870,0 days 00:00:03.468328,10,sqrt,234,COMPLETE
8,0.5963159309195746,2025-07-06 17:55:37.309310,2025-07-06 17:55:40.438873,0 days 00:00:03.129563,14,sqrt,182,COMPLETE
9,0.6956078852520081,2025-07-06 17:55:40.439313,2025-07-06 17:56:05.473087,0 days 00:00:25.033774,7,,300,COMPLETE
10,0.7118905099542451,2025-07-06 17:56:05.473525,2025-07-06 17:56:17.314268,0 days 00:00:11.840743,3,,284,COMPLETE
11,0.7117820830676465,2025-07-06 17:56:17.321661,2025-07-06 17:56:29.495944,0 days 00:00:12.174283,3,,295,COMPLETE
12,0.7125993765898849,2025-07-06 17:56:29.496374,2025-07-06 17:56:39.173762,0 days 00:00:09.677388,3,,240,COMPLETE
13,0.7123889475245256,2025-07-06 17:56:39.174211,2025-07-06 17:56:48.843576,0 days 00:00:09.669365,3,,236,COMPLETE
14,0.7064775742204494,2025-07-06 17:56:48.844023,2025-07-06 17:57:03.531746,0 days 00:00:14.687723,5,,230,COMPLETE
15,0.7129699675590765,2025-07-06 17:57:03.532206,2025-07-06 17:57:12.395342,0 days 00:00:08.863136,3,,219,COMPLETE
16,0.6876217589334184,2025-07-06 17:57:12.395913,2025-07-06 17:57:32.638641,0 days 00:00:20.242728,8,,215,COMPLETE
17,0.7038247130302405,2025-07-06 17:57:32.639087,2025-07-06 17:57:42.197520,0 days 00:00:09.558433,5,,150,COMPLETE
18,0.6777390844506201,2025-07-06 17:57:42.197971,2025-07-06 17:58:09.993907,0 days 00:00:27.795936,10,,261,COMPLETE
19,0.7070019102447974,2025-07-06 17:58:09.994430,2025-07-06 17:58:23.121309,0 days 00:00:13.126879,5,,203,COMPLETE
20,0.6038324848770545,2025-07-06 17:58:23.121759,2025-07-06 17:58:26.939147,0 days 00:00:03.817388,10,sqrt,257,COMPLETE
21,0.7125078595550631,2025-07-06 17:58:26.939602,2025-07-06 17:58:36.053875,0 days 00:00:09.114273,3,,226,COMPLETE
22,0.7085077159587404,2025-07-06 17:58:36.054324,2025-07-06 17:58:44.265971,0 days 00:00:08.211647,4,,157,COMPLETE
23,0.6942951551019473,2025-07-06 17:58:44.266456,2025-07-06 17:59:02.299233,0 days 00:00:18.032777,7,,216,COMPLETE
24,0.7126348407838128,2025-07-06 17:59:02.299683,2025-07-06 17:59:09.223950,0 days 00:00:06.924267,3,,171,COMPLETE
25,0.704619499248268,2025-07-06 17:59:09.224402,2025-07-06 17:59:20.067440,0 days 00:00:10.843038,5,,168,COMPLETE
26,0.6940005395566278,2025-07-06 17:59:20.067991,2025-07-06 17:59:36.117933,0 days 00:00:16.049942,7,,192,COMPLETE
27,0.7097994714983838,2025-07-06 17:59:36.118386,2025-07-06 17:59:50.001030,0 days 00:00:13.882644,4,,265,COMPLETE
28,0.617832915867217,2025-07-06 17:59:50.001468,2025-07-06 17:59:51.341403,0 days 00:00:01.339935,6,sqrt,128,COMPLETE
29,0.6806261015165832,2025-07-06 17:59:51.341837,2025-07-06 18:00:00.843648,0 days 00:00:09.501811,8,,103,COMPLETE
