number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,0.6522358457135753,2025-07-06 18:10:11.568350,2025-07-06 18:10:31.963418,0 days 00:00:20.395068,0.014436654040744564,9,123,0.9988932992814936,COMPLETE
1,0.787464708334045,2025-07-06 18:10:31.964052,2025-07-06 18:10:48.923535,0 days 00:00:16.959483,0.0289020045850963,9,127,0.79724662167228,COMPLETE
2,0.8563411977801966,2025-07-06 18:10:48.924014,2025-07-06 18:11:06.050900,0 days 00:00:17.126886,0.1304579606705279,7,152,0.8252592798333245,COMPLETE
3,0.8592453366048204,2025-07-06 18:11:06.051371,2025-07-06 18:11:15.842612,0 days 00:00:09.791241,0.11135835163898473,7,106,0.6563079762230846,COMPLETE
4,0.7753286736751054,2025-07-06 18:11:15.843309,2025-07-06 18:11:28.480214,0 days 00:00:12.636905,0.01037322849123856,7,133,0.7164049513616965,COMPLETE
5,0.858927208661613,2025-07-06 18:11:28.480671,2025-07-06 18:11:41.700306,0 days 00:00:13.219635,0.222908555058744,4,287,0.5694246347485773,COMPLETE
6,0.8314982211152593,2025-07-06 18:11:41.700779,2025-07-06 18:12:05.320744,0 days 00:00:23.619965,0.07776304645169246,9,152,0.9177644543690601,COMPLETE
7,0.9193477506233729,2025-07-06 18:12:05.321224,2025-07-06 18:12:11.419566,0 days 00:00:06.098342,0.020981460359390466,3,166,0.5694163405632798,COMPLETE
8,0.8500485056830388,2025-07-06 18:12:11.420569,2025-07-06 18:12:25.473753,0 days 00:00:14.053184,0.04166994386453499,10,142,0.5392828088513915,COMPLETE
9,0.871211077220484,2025-07-06 18:12:25.474223,2025-07-06 18:12:53.871902,0 days 00:00:28.397679,0.1906302460384227,7,295,0.7017626302318881,COMPLETE
10,0.8972502571572258,2025-07-06 18:12:53.872385,2025-07-06 18:12:55.764592,0 days 00:00:01.892207,0.021380596082603374,3,51,0.6105932977309702,COMPLETE
11,0.9099002359680445,2025-07-06 18:12:55.765060,2025-07-06 18:13:03.888484,0 days 00:00:08.123424,0.02325661349453142,3,218,0.6108090796755703,COMPLETE
12,0.8742647386996829,2025-07-06 18:13:03.888945,2025-07-06 18:13:16.110970,0 days 00:00:12.222025,0.04105256611977662,5,222,0.544086331315216,COMPLETE
13,0.9176437404599823,2025-07-06 18:13:16.112988,2025-07-06 18:13:22.766281,0 days 00:00:06.653293,0.019843738561760166,3,213,0.5086158712376483,COMPLETE
14,0.8793600497142382,2025-07-06 18:13:22.766749,2025-07-06 18:13:33.062931,0 days 00:00:10.296182,0.015273816107268875,5,208,0.5131270215288766,COMPLETE
15,0.8815070400474735,2025-07-06 18:13:33.063447,2025-07-06 18:13:45.170859,0 days 00:00:12.107412,0.056808900368165396,5,196,0.6258080082669565,COMPLETE
16,0.8977912110192179,2025-07-06 18:13:45.171360,2025-07-06 18:13:55.071435,0 days 00:00:09.900075,0.010818809422966896,4,252,0.500482661712811,COMPLETE
17,0.9113990544409823,2025-07-06 18:13:55.071894,2025-07-06 18:14:01.459253,0 days 00:00:06.387359,0.03095219287228186,3,181,0.577686096441237,COMPLETE
18,0.8938988886972128,2025-07-06 18:14:01.459715,2025-07-06 18:14:15.628185,0 days 00:00:14.168470,0.017901996411093767,4,251,0.6893457042504981,COMPLETE
19,0.8769674216843694,2025-07-06 18:14:15.629030,2025-07-06 18:14:37.735421,0 days 00:00:22.106391,0.061605486472020576,6,242,0.7741075559794821,COMPLETE
20,0.9029090705316257,2025-07-06 18:14:37.735896,2025-07-06 18:14:42.223572,0 days 00:00:04.487676,0.03501960999197278,3,84,0.8549989067193913,COMPLETE
21,0.9173702892491257,2025-07-06 18:14:42.224049,2025-07-06 18:14:48.457811,0 days 00:00:06.233762,0.027785914703722228,3,178,0.5747490445104636,COMPLETE
22,0.9051437696864206,2025-07-06 18:14:48.458307,2025-07-06 18:14:56.324210,0 days 00:00:07.865903,0.02398314980948279,4,170,0.5795950120959047,COMPLETE
23,0.9116434677989237,2025-07-06 18:14:56.324677,2025-07-06 18:15:03.581923,0 days 00:00:07.257246,0.01429409175339459,3,180,0.6537450917219279,COMPLETE
24,0.9018712612083685,2025-07-06 18:15:03.582763,2025-07-06 18:15:10.998194,0 days 00:00:07.415431,0.019508154227089677,4,168,0.5318428768258257,COMPLETE
25,0.8839600150282672,2025-07-06 18:15:10.999190,2025-07-06 18:15:24.559886,0 days 00:00:13.560696,0.044696678049036015,6,200,0.5752519822744775,COMPLETE
26,0.8764031802452289,2025-07-06 18:15:24.560579,2025-07-06 18:15:41.813074,0 days 00:00:17.252495,0.026724816976873428,5,233,0.7364225704481896,COMPLETE
27,0.9110473184072463,2025-07-06 18:15:41.813986,2025-07-06 18:15:49.240123,0 days 00:00:07.426137,0.0182235516539724,3,186,0.6572731758175294,COMPLETE
28,0.8943620015718404,2025-07-06 18:15:49.240613,2025-07-06 18:16:02.080360,0 days 00:00:12.839747,0.012777084600809147,4,261,0.6128315082588974,COMPLETE
29,0.9060293127462606,2025-07-06 18:16:02.080861,2025-07-06 18:16:08.440493,0 days 00:00:06.359632,0.03353103007336163,3,111,0.9362756201908086,COMPLETE
