number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,-0.41625093270982566,2025-07-06 19:01:02.146489,2025-07-06 19:01:03.112184,0 days 00:00:00.965695,0.023664410295026958,4,255,0.723072604772766,COMPLETE
1,-0.23142868008467965,2025-07-06 19:01:03.112689,2025-07-06 19:01:03.657040,0 days 00:00:00.544351,0.018344868386369503,7,86,0.8052862005613424,COMPLETE
2,-0.2885843079445279,2025-07-06 19:01:03.657480,2025-07-06 19:01:04.779464,0 days 00:00:01.121984,0.012171907881223108,4,252,0.9060722583960277,COMPLETE
3,-0.586317763972498,2025-07-06 19:01:04.779994,2025-07-06 19:01:05.472555,0 days 00:00:00.692561,0.06244173222385228,6,118,0.8286167344964198,COMPLETE
4,-0.6665712397788282,2025-07-06 19:01:05.472995,2025-07-06 19:01:06.072575,0 days 00:00:00.599580,0.11380691630066474,6,100,0.865073570839781,COMPLETE
5,-0.25424110502150055,2025-07-06 19:01:06.073011,2025-07-06 19:01:06.915153,0 days 00:00:00.842142,0.010323132093967454,8,154,0.6031602903748992,COMPLETE
6,-0.42064472585126,2025-07-06 19:01:06.915587,2025-07-06 19:01:07.825985,0 days 00:00:00.910398,0.029269446803480228,5,163,0.9480023497972019,COMPLETE
7,-0.7480256707032993,2025-07-06 19:01:07.826471,2025-07-06 19:01:08.754817,0 days 00:00:00.928346,0.25683212679931094,8,147,0.705490361960127,COMPLETE
8,-0.5711847767030228,2025-07-06 19:01:08.755258,2025-07-06 19:01:10.168959,0 days 00:00:01.413701,0.03299177338098179,9,210,0.6923620373567256,COMPLETE
9,-0.29373051956798163,2025-07-06 19:01:10.169440,2025-07-06 19:01:11.018127,0 days 00:00:00.848687,0.011721869728544358,10,107,0.7766366671150537,COMPLETE
10,-0.21067665963971746,2025-07-06 19:01:11.018569,2025-07-06 19:01:11.164649,0 days 00:00:00.146080,0.07377442810923533,3,55,0.5437812014984061,COMPLETE
11,-0.3041597880050492,2025-07-06 19:01:11.165083,2025-07-06 19:01:11.316080,0 days 00:00:00.150997,0.08516594569352702,3,60,0.5068130570743403,COMPLETE
12,-0.49601944908324097,2025-07-06 19:01:11.316527,2025-07-06 19:01:11.590853,0 days 00:00:00.274326,0.15107047736225493,7,53,0.6147415720791394,COMPLETE
13,-0.25423057339772276,2025-07-06 19:01:11.591327,2025-07-06 19:01:11.897389,0 days 00:00:00.306062,0.04677374066738171,3,78,0.9910585428765362,COMPLETE
14,-0.4183382748268671,2025-07-06 19:01:11.897831,2025-07-06 19:01:12.819667,0 days 00:00:00.921836,0.021930852445054903,7,208,0.5228401031457643,COMPLETE
15,-0.3208465259206881,2025-07-06 19:01:12.820126,2025-07-06 19:01:13.247087,0 days 00:00:00.426961,0.050020035210170746,5,87,0.7934654871088596,COMPLETE
16,-0.3402879297267803,2025-07-06 19:01:13.247665,2025-07-06 19:01:13.951110,0 days 00:00:00.703445,0.01802415945927289,8,122,0.6394485674414851,COMPLETE
17,-0.5646006820260713,2025-07-06 19:01:13.951558,2025-07-06 19:01:14.149064,0 days 00:00:00.197506,0.164155300179256,5,52,0.566838227832049,COMPLETE
18,-0.6618895797368141,2025-07-06 19:01:14.149504,2025-07-06 19:01:16.181357,0 days 00:00:02.031853,0.07748178242390971,10,290,0.6565496336867414,COMPLETE
19,-0.5173524326689204,2025-07-06 19:01:16.181859,2025-07-06 19:01:17.017419,0 days 00:00:00.835560,0.045368300876026585,4,189,0.8705104389098466,COMPLETE
20,-0.30920052878860566,2025-07-06 19:01:17.017895,2025-07-06 19:01:17.739313,0 days 00:00:00.721418,0.016087476018588596,6,135,0.7586191968320096,COMPLETE
21,-0.20282983579924138,2025-07-06 19:01:17.739762,2025-07-06 19:01:18.053817,0 days 00:00:00.314055,0.037570430280440555,3,81,0.9834247350447102,COMPLETE
22,-0.17976239100435562,2025-07-06 19:01:18.054285,2025-07-06 19:01:18.383775,0 days 00:00:00.329490,0.0330783140497975,3,84,0.996493887573552,COMPLETE
23,-0.14345356935381984,2025-07-06 19:01:18.384212,2025-07-06 19:01:18.663499,0 days 00:00:00.279287,0.03415151384486573,3,73,0.9570809619763082,COMPLETE
24,-0.1862908857301803,2025-07-06 19:01:18.663967,2025-07-06 19:01:18.957260,0 days 00:00:00.293293,0.035650688252663924,3,75,0.9928844168813298,COMPLETE
25,-0.2620351435533614,2025-07-06 19:01:18.957721,2025-07-06 19:01:19.438600,0 days 00:00:00.480879,0.02661963357112187,4,102,0.9363215945972843,COMPLETE
26,-0.32378651527465774,2025-07-06 19:01:19.439052,2025-07-06 19:01:19.925115,0 days 00:00:00.486063,0.03740626479115425,3,130,0.9472716948427373,COMPLETE
27,-0.3815944796698995,2025-07-06 19:01:19.925585,2025-07-06 19:01:20.262336,0 days 00:00:00.336751,0.06180546614939681,4,67,0.9996573683741549,COMPLETE
28,-0.4092440403474435,2025-07-06 19:01:20.262784,2025-07-06 19:01:20.820019,0 days 00:00:00.557235,0.03950822131699687,5,101,0.9217207369696452,COMPLETE
29,-0.10851972969747876,2025-07-06 19:01:20.820475,2025-07-06 19:01:21.135304,0 days 00:00:00.314829,0.02266806387956284,4,70,0.8766637289897534,COMPLETE
