number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,-0.03503164355148095,2025-07-06 18:59:15.511078,2025-07-06 18:59:15.721102,0 days 00:00:00.210024,3,log2,101,COMPLETE
1,-0.06660507302824066,2025-07-06 18:59:15.721590,2025-07-06 18:59:16.342297,0 days 00:00:00.620707,5,log2,248,COMPLETE
2,-0.22753962820919948,2025-07-06 18:59:16.342776,2025-07-06 18:59:16.693457,0 days 00:00:00.350681,13,log2,89,COMPLETE
3,-0.24996262695562374,2025-07-06 18:59:16.693902,2025-07-06 18:59:17.060162,0 days 00:00:00.366260,16,sqrt,84,COMPLETE
4,-0.050538574589414985,2025-07-06 18:59:17.060606,2025-07-06 18:59:17.273770,0 days 00:00:00.213164,3,,63,COMPLETE
5,-0.10424536003790912,2025-07-06 18:59:17.274208,2025-07-06 18:59:18.234942,0 days 00:00:00.960734,4,,246,COMPLETE
6,-0.43771950412761224,2025-07-06 18:59:18.235405,2025-07-06 18:59:18.888298,0 days 00:00:00.652893,11,,86,COMPLETE
7,-0.48009915990666263,2025-07-06 18:59:18.888739,2025-07-06 18:59:20.858180,0 days 00:00:01.969441,15,,219,COMPLETE
8,-0.10042114601027292,2025-07-06 18:59:20.858618,2025-07-06 18:59:21.347028,0 days 00:00:00.488410,4,,120,COMPLETE
9,-0.15822273777073578,2025-07-06 18:59:21.347478,2025-07-06 18:59:21.653114,0 days 00:00:00.305636,9,log2,94,COMPLETE
10,-0.2331912187378907,2025-07-06 18:59:21.653530,2025-07-06 18:59:22.402479,0 days 00:00:00.748949,19,sqrt,161,COMPLETE
11,-0.08459968182528847,2025-07-06 18:59:22.402966,2025-07-06 18:59:22.560549,0 days 00:00:00.157583,7,log2,53,COMPLETE
12,-0.04928819739633172,2025-07-06 18:59:22.560973,2025-07-06 18:59:23.039280,0 days 00:00:00.478307,3,,144,COMPLETE
13,-0.10468280225933342,2025-07-06 18:59:23.039709,2025-07-06 18:59:23.484572,0 days 00:00:00.444863,7,log2,155,COMPLETE
14,-0.10974951331918747,2025-07-06 18:59:23.485040,2025-07-06 18:59:24.052534,0 days 00:00:00.567494,7,sqrt,198,COMPLETE
15,-0.3999103799503753,2025-07-06 18:59:24.052974,2025-07-06 18:59:25.028302,0 days 00:00:00.975328,10,,135,COMPLETE
16,-0.10481601661355551,2025-07-06 18:59:25.028777,2025-07-06 18:59:25.528098,0 days 00:00:00.499321,6,log2,187,COMPLETE
17,-0.033653165733875,2025-07-06 18:59:25.528527,2025-07-06 18:59:25.776580,0 days 00:00:00.248053,3,log2,122,COMPLETE
18,-0.2685247075759543,2025-07-06 18:59:25.777004,2025-07-06 18:59:26.336458,0 days 00:00:00.559454,20,log2,115,COMPLETE
19,-0.1588864397658131,2025-07-06 18:59:26.336902,2025-07-06 18:59:27.301409,0 days 00:00:00.964507,9,log2,297,COMPLETE
20,-0.21879065590396993,2025-07-06 18:59:27.301852,2025-07-06 18:59:27.767148,0 days 00:00:00.465296,13,log2,117,COMPLETE
21,-0.03382154783602117,2025-07-06 18:59:27.767588,2025-07-06 18:59:28.059394,0 days 00:00:00.291806,3,log2,143,COMPLETE
22,-0.05780417698156234,2025-07-06 18:59:28.059833,2025-07-06 18:59:28.464397,0 days 00:00:00.404564,5,log2,164,COMPLETE
23,-0.03586800280638491,2025-07-06 18:59:28.464826,2025-07-06 18:59:28.730961,0 days 00:00:00.266135,3,log2,131,COMPLETE
24,-0.05924511944351463,2025-07-06 18:59:28.731384,2025-07-06 18:59:28.991881,0 days 00:00:00.260497,5,log2,104,COMPLETE
25,-0.15940494060100474,2025-07-06 18:59:28.992316,2025-07-06 18:59:29.211442,0 days 00:00:00.219126,8,log2,69,COMPLETE
26,-0.033976606278960375,2025-07-06 18:59:29.211909,2025-07-06 18:59:29.574303,0 days 00:00:00.362394,3,sqrt,179,COMPLETE
27,-0.10667274922761427,2025-07-06 18:59:29.574722,2025-07-06 18:59:30.062500,0 days 00:00:00.487778,6,sqrt,183,COMPLETE
28,-0.06668138831641775,2025-07-06 18:59:30.062961,2025-07-06 18:59:30.589182,0 days 00:00:00.526221,5,sqrt,214,COMPLETE
29,-0.034176452013162884,2025-07-06 18:59:30.589606,2025-07-06 18:59:30.938656,0 days 00:00:00.349050,3,sqrt,172,COMPLETE
