number,value,datetime_start,datetime_complete,duration,params_learning_rate,params_max_depth,params_n_estimators,params_subsample,state
0,-1.50698447786521,2025-07-06 18:42:05.529870,2025-07-06 18:42:05.625771,0 days 00:00:00.095901,0.1754550130662829,10,138,0.5810142346636271,COMPLETE
1,-0.8226840213870646,2025-07-06 18:42:05.626218,2025-07-06 18:42:05.776456,0 days 00:00:00.150238,0.01712346815702686,3,247,0.9342270141063467,COMPLETE
2,-1.0253698268051918,2025-07-06 18:42:05.776931,2025-07-06 18:42:05.871666,0 days 00:00:00.094735,0.21785048147519515,9,139,0.8159124966651157,COMPLETE
3,-0.5719638744149825,2025-07-06 18:42:05.872049,2025-07-06 18:42:06.063794,0 days 00:00:00.191745,0.06937517078780718,10,269,0.6819976583267295,COMPLETE
4,-0.364163801025217,2025-07-06 18:42:06.064237,2025-07-06 18:42:06.122621,0 days 00:00:00.058384,0.011660375089250281,7,91,0.6470127213038506,COMPLETE
5,-0.8377416641236232,2025-07-06 18:42:06.123048,2025-07-06 18:42:06.291387,0 days 00:00:00.168339,0.013409902224239777,6,231,0.9401714535712039,COMPLETE
6,-0.7441001450204515,2025-07-06 18:42:06.291827,2025-07-06 18:42:06.462831,0 days 00:00:00.171004,0.05009667988961881,7,225,0.9753740887271153,COMPLETE
7,-0.9528345995145829,2025-07-06 18:42:06.463274,2025-07-06 18:42:06.601930,0 days 00:00:00.138656,0.05333933931476128,9,176,0.9517862888968619,COMPLETE
8,-0.701130547470366,2025-07-06 18:42:06.602369,2025-07-06 18:42:06.694243,0 days 00:00:00.091874,0.22431165448906934,5,149,0.6775702456788355,COMPLETE
9,-0.44437696140169325,2025-07-06 18:42:06.694648,2025-07-06 18:42:06.764318,0 days 00:00:00.069670,0.052686193970681645,9,87,0.9848860788891092,COMPLETE
10,-0.3477133832417713,2025-07-06 18:42:06.764764,2025-07-06 18:42:06.804504,0 days 00:00:00.039740,0.023906141927168417,7,53,0.524763561364876,COMPLETE
11,-0.28599521153538715,2025-07-06 18:42:06.804907,2025-07-06 18:42:06.843791,0 days 00:00:00.038884,0.023200010394491738,7,52,0.5219510610009312,COMPLETE
12,-0.3083589291787725,2025-07-06 18:42:06.844194,2025-07-06 18:42:06.880799,0 days 00:00:00.036605,0.025389422411836417,5,51,0.5023942164047183,COMPLETE
13,-0.3723629215994298,2025-07-06 18:42:06.881244,2025-07-06 18:42:06.918627,0 days 00:00:00.037383,0.023959463546923968,4,52,0.5240056936472544,COMPLETE
14,-0.7676922372465066,2025-07-06 18:42:06.919030,2025-07-06 18:42:06.984049,0 days 00:00:00.065019,0.031976968826231224,5,86,0.7863750942214838,COMPLETE
15,-0.793944617420868,2025-07-06 18:42:06.984514,2025-07-06 18:42:07.058731,0 days 00:00:00.074217,0.09167741366478124,6,109,0.5835454340174837,COMPLETE
16,-1.0121917309451363,2025-07-06 18:42:07.059140,2025-07-06 18:42:07.196298,0 days 00:00:00.137158,0.03224804068792598,8,205,0.6107819736825466,COMPLETE
17,-0.3950060260400859,2025-07-06 18:42:07.196773,2025-07-06 18:42:07.236987,0 days 00:00:00.040214,0.0190687486854599,5,57,0.5041534509750063,COMPLETE
18,-0.7374966143614478,2025-07-06 18:42:07.237403,2025-07-06 18:42:07.404674,0 days 00:00:00.167271,0.035474627857945244,3,294,0.7189749383486258,COMPLETE
19,-0.44290034204244866,2025-07-06 18:42:07.405147,2025-07-06 18:42:07.483309,0 days 00:00:00.078162,0.11154645251221884,4,104,0.8766258712807776,COMPLETE
20,-0.5648590626534685,2025-07-06 18:42:07.483751,2025-07-06 18:42:07.592610,0 days 00:00:00.108859,0.01542817188700816,8,172,0.5596086973354908,COMPLETE
21,-0.2941281570260767,2025-07-06 18:42:07.593055,2025-07-06 18:42:07.637015,0 days 00:00:00.043960,0.02331792484730062,7,62,0.5000635426796451,COMPLETE
22,-0.4026672233915956,2025-07-06 18:42:07.637414,2025-07-06 18:42:07.688772,0 days 00:00:00.051358,0.021563056391558883,6,73,0.5406398390613857,COMPLETE
23,-0.4259430167292229,2025-07-06 18:42:07.689209,2025-07-06 18:42:07.763474,0 days 00:00:00.074265,0.010712154541859972,8,117,0.5009833326889886,COMPLETE
24,-0.622632146006743,2025-07-06 18:42:07.763917,2025-07-06 18:42:07.818212,0 days 00:00:00.054295,0.03990857612173386,6,74,0.6105539045790609,COMPLETE
25,-0.4591659453874907,2025-07-06 18:42:07.818631,2025-07-06 18:42:07.868454,0 days 00:00:00.049823,0.02849890276027366,4,69,0.632943865388712,COMPLETE
26,-0.714972796211797,2025-07-06 18:42:07.868925,2025-07-06 18:42:07.949922,0 days 00:00:00.080997,0.040929004467338,7,121,0.5643214051949522,COMPLETE
27,-0.41589944062507017,2025-07-06 18:42:07.950350,2025-07-06 18:42:08.012589,0 days 00:00:00.062239,0.015212684079780242,5,95,0.5462175839891175,COMPLETE
28,-0.49631097338046515,2025-07-06 18:42:08.013048,2025-07-06 18:42:08.056830,0 days 00:00:00.043782,0.025980031542094103,8,50,0.725270733622115,COMPLETE
29,-0.7773041115798357,2025-07-06 18:42:08.057223,2025-07-06 18:42:08.141493,0 days 00:00:00.084270,0.07354834286470419,6,126,0.5870315433543438,COMPLETE
