number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_n_estimators,state
0,-0.71513288485575,2025-07-06 18:41:56.016376,2025-07-06 18:41:56.137545,0 days 00:00:00.121169,13,,77,COMPLETE
1,-0.34413017909449733,2025-07-06 18:41:56.138091,2025-07-06 18:41:56.519992,0 days 00:00:00.381901,4,log2,300,COMPLETE
2,-0.6690547977003639,2025-07-06 18:41:56.520447,2025-07-06 18:41:56.772782,0 days 00:00:00.252335,6,,175,COMPLETE
3,-0.6949616869505283,2025-07-06 18:41:56.773219,2025-07-06 18:41:57.114393,0 days 00:00:00.341174,20,,232,COMPLETE
4,-0.6824389397963587,2025-07-06 18:41:57.114838,2025-07-06 18:41:57.527529,0 days 00:00:00.412691,4,,296,COMPLETE
5,-0.6914601342037123,2025-07-06 18:41:57.527969,2025-07-06 18:41:57.931336,0 days 00:00:00.403367,8,,279,COMPLETE
6,-0.6775184801134057,2025-07-06 18:41:57.931797,2025-07-06 18:41:58.032333,0 days 00:00:00.100536,17,,60,COMPLETE
7,-0.7321242958875548,2025-07-06 18:41:58.032776,2025-07-06 18:41:58.254873,0 days 00:00:00.222097,20,,150,COMPLETE
8,-0.37620794923166323,2025-07-06 18:41:58.255362,2025-07-06 18:41:58.524588,0 days 00:00:00.269226,17,sqrt,206,COMPLETE
9,-0.3346667357844284,2025-07-06 18:41:58.525022,2025-07-06 18:41:58.814547,0 days 00:00:00.289525,14,log2,219,COMPLETE
10,-0.389783316210696,2025-07-06 18:41:58.814993,2025-07-06 18:41:58.991211,0 days 00:00:00.176218,11,log2,126,COMPLETE
11,-0.32798381880183475,2025-07-06 18:41:58.991649,2025-07-06 18:41:59.389302,0 days 00:00:00.397653,12,log2,245,COMPLETE
12,-0.32803409707734227,2025-07-06 18:41:59.390458,2025-07-06 18:41:59.735080,0 days 00:00:00.344622,12,log2,241,COMPLETE
13,-0.33215133062712054,2025-07-06 18:41:59.735552,2025-07-06 18:42:00.111595,0 days 00:00:00.376043,10,log2,256,COMPLETE
14,-0.323191435270713,2025-07-06 18:42:00.112061,2025-07-06 18:42:00.458160,0 days 00:00:00.346099,15,log2,251,COMPLETE
15,-0.3829907873251271,2025-07-06 18:42:00.458646,2025-07-06 18:42:00.721586,0 days 00:00:00.262940,15,sqrt,196,COMPLETE
16,-0.31482541623013793,2025-07-06 18:42:00.722015,2025-07-06 18:42:01.070832,0 days 00:00:00.348817,9,log2,261,COMPLETE
17,-0.31437071992801313,2025-07-06 18:42:01.071284,2025-07-06 18:42:01.425053,0 days 00:00:00.353769,9,log2,267,COMPLETE
18,-0.3319107223997625,2025-07-06 18:42:01.425480,2025-07-06 18:42:01.784087,0 days 00:00:00.358607,8,log2,272,COMPLETE
19,-0.3704748102749876,2025-07-06 18:42:01.784520,2025-07-06 18:42:01.955385,0 days 00:00:00.170865,9,sqrt,127,COMPLETE
20,-0.3189440080396002,2025-07-06 18:42:01.955849,2025-07-06 18:42:02.195555,0 days 00:00:00.239706,6,log2,181,COMPLETE
21,-0.32283916648819483,2025-07-06 18:42:02.196007,2025-07-06 18:42:02.433844,0 days 00:00:00.237837,6,log2,179,COMPLETE
22,-0.29413807427883293,2025-07-06 18:42:02.434286,2025-07-06 18:42:02.573178,0 days 00:00:00.138892,6,log2,102,COMPLETE
23,-0.33950642610226917,2025-07-06 18:42:02.573602,2025-07-06 18:42:02.689310,0 days 00:00:00.115708,7,log2,84,COMPLETE
24,-0.3405570415907155,2025-07-06 18:42:02.689749,2025-07-06 18:42:02.880635,0 days 00:00:00.190886,3,log2,147,COMPLETE
25,-0.3760390226027905,2025-07-06 18:42:02.881048,2025-07-06 18:42:03.018660,0 days 00:00:00.137612,10,log2,101,COMPLETE
26,-0.31479055496478137,2025-07-06 18:42:03.019133,2025-07-06 18:42:03.373765,0 days 00:00:00.354632,9,sqrt,269,COMPLETE
27,-0.3381399346510489,2025-07-06 18:42:03.374185,2025-07-06 18:42:03.663587,0 days 00:00:00.289402,5,sqrt,220,COMPLETE
28,-0.343562044352852,2025-07-06 18:42:03.664044,2025-07-06 18:42:04.033976,0 days 00:00:00.369932,8,sqrt,279,COMPLETE
29,-0.30907483701548405,2025-07-06 18:42:04.034409,2025-07-06 18:42:04.107926,0 days 00:00:00.073517,10,sqrt,50,COMPLETE
